,https://roic.ai/company/ABMD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,6902000,8571429,9166667,10555556,12222222,12750000,13000000,12500000,13023554,13991328,14324694,16148300,17238200,17578522,20583363,20869160,20993598,21153014,21844759,25649038,27124000,32465000,34882000,36677778,37167000,38374000,39113000,39334000,40632000,42204000,43238000,44153000,44911000,45179000,45140000
28,Weighted Average Shares Outstanding Diluted,6902000,8571429,9166667,10555556,12222222,12750000,13000000,12500000,13023554,13991328,14324694,16148300,17238200,17578522,20583363,20869160,20993598,21153014,21844759,25649038,27124000,32465000,34882000,36677778,37167000,40172000,41052000,41606000,42858000,44895000,44658000,45849000,46151000,45816000,45674000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815094/000095010995002477/0000950109-95-002477-index.html,https://www.sec.gov/Archives/edgar/data/815094/000095010996004013/0000950109-96-004013-index.html,https://www.sec.gov/Archives/edgar/data/815094/000092701697001801/0000927016-97-001801-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/815094/000091205700029599/0000912057-00-029599-index.html,https://www.sec.gov/Archives/edgar/data/815094/000091205701521860/0000912057-01-521860-index.html,- -,https://www.sec.gov/Archives/edgar/data/815094/000104746903020694/0001047469-03-020694-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000110465904015644/0001104659-04-015644-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000110465905028230/0001104659-05-028230-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312506129882/0001193125-06-129882-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312507134975/0001193125-07-134975-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312508134401/0001193125-08-134401-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312509127074/0001193125-09-127074-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312510134997/0001193125-10-134997-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312511157312/0001193125-11-157312-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312512258595/0001193125-12-258595-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312513237523/0001193125-13-237523-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312514214835/0001193125-14-214835-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312515204302/0001193125-15-204302-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459016020014/0001564590-16-020014-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459017011690/0001564590-17-011690-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459018014310/0001564590-18-014310-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/0001564590-19-020329-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/0001564590-20-026547-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459021029314/0001564590-21-029314-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,13300000,10400000,24600000,8100000,4700000,700000,500000,600000,2938332,1616696,2683151,9279210,101917000,90462000,45667000,44572000,6893000,7618000,7832000,69646000,2042000,1785000,4788000,5831000,5990000,9451000,20916000,22401000,48231000,39040000,42975000,121021000,192341000,232710000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7709110,7744664,23714641,8902031,4467000,2036000,25654000,9877000,20432000,33887000,23003000,5479000,36257000,55394000,53477000,54481000,71233000,67256000,55663000,109557000,163822000,190908000,319274000,370677000,250775000,350985000
33,Cash and Short-Term Investments,2400000,13300000,10400000,24600000,8100000,4700000,700000,500000,600000,10647442,9361360,26397792,18181241,106384000,92498000,71321000,54449000,27325000,41505000,30835000,75125000,38299000,57179000,58265000,60312000,77223000,76707000,76579000,131958000,212053000,229948000,362249000,491698000,443116000,583695000
34,Net Receivables,200000,500000,800000,700000,700000,600000,800000,1700000,1800000,2606289,4816500,5356348,6437225,6691000,10028000,7341000,5394000,5972000,8635000,8880000,10932000,14071000,15724000,13516000,15376000,20458000,22946000,24357000,31828000,42821000,54055000,70010000,90809000,84650000,97179000
35,Inventory,400000,600000,900000,1100000,1200000,900000,1500000,2200000,1400000,1653512,1820783,2327442,2895857,3546000,3674000,4233000,2856000,2695000,3877000,4868000,8567000,17428000,14777000,9211000,7505000,11142000,14930000,13948000,16774000,26740000,34931000,50204000,80942000,90088000,81059000
36,Other Current Assets,400000,- -,100000,200000,14000000,13800000,9000000,2700000,3900000,92280,173172,208387,335403,526000,766000,825000,884000,987000,1207000,1860000,1758000,1705000,809000,1676000,1544000,1716000,2022000,3082000,39579000,6778000,8024000,11808000,13748000,18009000,26032000
37,Total Current Assets,3400000,14400000,12200000,26600000,24000000,20000000,12000000,7100000,7700000,14999523,16171815,34289969,27849726,117147000,106966000,83720000,63583000,36979000,55224000,46443000,96382000,71503000,88489000,82668000,84737000,110539000,116605000,117966000,220139000,288392000,326958000,494271000,677197000,635863000,787965000
38,PP&E,300000,300000,300000,1100000,1100000,600000,700000,600000,500000,582752,1889778,3687059,3863359,3951000,4752000,4707000,4008000,3201000,2804000,4824000,5764000,7551000,7792000,6753000,6273000,6378000,6549000,6889000,9127000,23184000,87777000,117167000,145005000,164931000,203238000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19106000,26708000,31563000,31295000,37170000,38946000,36846000,35410000,37990000,31534000,33003000,31045000,35808000,32601000,31969000,78568000
40,Intangible Assets,- -,- -,- -,- -,300000,200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,746000,765000,921000,8164000,7329000,6921000,4359000,2979000,1632000,115000,- -,- -,14711000,15396000,14482000,16705000,15208000,14913000,47473000
41,Intangible Assets,- -,- -,- -,- -,300000,200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,746000,765000,921000,27270000,34037000,38484000,35654000,40149000,40578000,36961000,35410000,37990000,46245000,48399000,45527000,52513000,47809000,46882000,126041000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3721000,- -,- -,- -,11406000,41761000,13996000,1000000,47143000,37502000,21718000,207795000,365735000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45206000,58534000,34723000,70746000,77502000,43336000,11380000
44,Other Non-Current Assets,- -,- -,- -,- -,4500000,5000000,9500000,7600000,6500000,627154,484997,638176,1268536,690000,6295000,1097000,- -,18216000,2112000,- -,- -,493000,302000,- -,- -,33000,29000,801000,3654000,4422000,8286000,14176000,85115000,117655000,- -
45,Total Non-Current Assets,300000,300000,300000,1100000,5900000,5800000,10400000,8300000,7000000,1209906,2374775,4325235,5131895,4641000,11047000,5804000,4754000,22182000,5837000,32094000,39801000,46528000,47469000,46902000,46851000,43372000,53394000,87441000,118228000,135539000,223456000,292104000,377149000,580599000,706394000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3700000,14700000,12500000,27700000,29900000,25800000,22400000,15400000,14700000,16209429,18546590,38615204,32981621,121788000,118013000,89524000,68337000,59161000,61061000,78537000,136183000,118031000,135958000,129570000,131588000,153911000,169999000,205407000,338367000,423931000,550414000,786375000,1054346000,1216462000,1494359000
48,Accounts Payable,- -,- -,- -,- -,300000,400000,500000,400000,200000,777943,1289024,2057473,874648,1553000,2129000,1975000,1050000,1368000,1132000,3070000,5185000,9024000,5550000,3764000,6283000,6910000,7696000,7746000,10389000,9381000,20620000,23565000,32185000,32774000,34842000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000,242000,54000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,799000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000,2107000,1445000,1506000,2527000,3180000,4562000,12262000,21641000,5914000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,996000,2606000,1045000,190000,127000,484000,695000,1162000,1211000,1289000,1982000,3025000,4198000,4766000,7036000,8778000,10495000,14970000,16393000,19147000,24322000
52,Other Current Liabilities,1400000,1200000,1200000,1300000,600000,800000,700000,700000,1200000,1486981,2032506,2872288,4830620,6360000,5600000,5564000,4152000,3267000,3623000,5185000,7017000,9290000,10818000,13011000,14078000,12480000,15162000,17899000,21894000,28382000,37703000,46147000,57420000,79964000,69805000
53,Total Current Liabilities,1400000,1200000,1200000,1300000,900000,1200000,1200000,1100000,1400000,2264924,3321530,4929761,5705268,8149000,8967000,10199000,6247000,4825000,4882000,8739000,12897000,19476000,17579000,18064000,22343000,22415000,27056000,30411000,39319000,46541000,69617000,84682000,105998000,131885000,128969000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000,1191000,4740000,2086000,3040000,4010000,4799000,5554000,6415000,795000,832000,783000,903000,822000,806000,847000
57,Other Non-Current Liabilities,-100000,- -,- -,- -,7800000,8300000,8700000,3700000,- -,- -,-3,667466,204816,715000,368000,- -,- -,- -,- -,- -,- -,221000,310000,510000,492000,400000,309000,228000,6693000,7783000,27943000,11266000,10636000,18305000,34868000
58,Total Non-Current Liabilities,-100000,- -,- -,- -,7800000,8300000,8700000,3700000,- -,- -,-3,667466,204816,715000,368000,- -,- -,- -,- -,310000,1191000,4961000,2396000,3550000,4502000,5199000,5863000,6643000,7488000,8615000,28726000,12169000,11458000,19111000,35715000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16338000,- -,- -,- -,- -
61,Total Liabilities,1300000,1200000,1200000,1300000,8700000,9500000,9900000,4800000,1400000,2264924,3321527,5597227,5910084,8864000,9335000,10199000,6247000,4825000,4882000,9049000,14088000,24437000,19975000,21614000,26845000,27614000,32919000,37054000,46807000,55156000,98343000,96851000,117456000,150996000,164684000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,69460,70082,86670,86508,102000,208000,210000,210000,214000,221000,265000,323000,328000,367000,375000,377000,393000,397000,411000,413000,426000,437000,444000,451000,451000,453000
64,Retained Earnings,-600000,-1100000,-3400000,-5300000,-11900000,-17000000,-20900000,-22900000,-23200000,-22750176,-22014912,-24522676,-31234877,-41689000,-53090000,-84443000,-102071000,-111517000,-113859000,-143308000,-171189000,-212394000,-243991000,-263015000,-274770000,-273275000,-258261000,-250910000,-137222000,-99075000,-46959000,140457000,399473000,602482000,828007000
65,Other Comprehensive Income/Loss,-300000,-500000,-700000,-800000,-1100000,-1400000,-1600000,-1900000,-2100000,-2331145,-2618603,-2724442,-3884088,-5375000,-7129000,-7046000,-8550000,-57000,-278000,-2069000,610000,4989000,-1663000,-1002000,745000,-1765000,-3737000,-730000,-17330000,-14540000,-20606000,-4204000,-14689000,-11189000,-11445000
66,Other Total Stockholders Equity,3300000,15100000,15400000,32500000,34200000,34700000,35000000,35400000,38600000,38956366,39788496,60178425,62103994,159886000,168689000,170604000,172501000,165696000,170095000,214600000,292351000,300671000,361270000,371598000,378391000,400944000,398681000,419582000,445699000,481964000,519199000,552827000,551655000,473722000,512660000
67,Total Stockholders Equity,2400000,13500000,11300000,26400000,21200000,16300000,12500000,10600000,13300000,13944505,15225063,33017977,27071537,112924000,108678000,79325000,62090000,54336000,56179000,69488000,122095000,93594000,115983000,107956000,104743000,126297000,137080000,168353000,291560000,368775000,452071000,689524000,936890000,1065466000,1329675000
68,Total Liabilities And Stockholders Equity,3700000,14700000,12500000,27700000,29900000,25800000,22400000,15400000,14700000,16209429,18546590,38615204,32981621,121788000,118013000,89524000,68337000,59161000,61061000,78537000,136183000,118031000,135958000,129570000,131588000,153911000,169999000,205407000,338367000,423931000,550414000,786375000,1054346000,1216462000,1494359000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3700000,14700000,12500000,27700000,29900000,25800000,22400000,15400000,14700000,16209429,18546590,38615204,32981621,121788000,118013000,89524000,68337000,59161000,61061000,78537000,136183000,118031000,135958000,129570000,131588000,153911000,169999000,205407000,338367000,423931000,550414000,786375000,1054346000,1216462000,1494359000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815094/000095010995002477/0000950109-95-002477-index.html,https://www.sec.gov/Archives/edgar/data/815094/000095010996004013/0000950109-96-004013-index.html,https://www.sec.gov/Archives/edgar/data/815094/000092701697001801/0000927016-97-001801-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/815094/000091205700029599/0000912057-00-029599-index.html,https://www.sec.gov/Archives/edgar/data/815094/000091205701521860/0000912057-01-521860-index.html,- -,https://www.sec.gov/Archives/edgar/data/815094/000104746903020694/0001047469-03-020694-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000110465904015644/0001104659-04-015644-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000110465905028230/0001104659-05-028230-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312506129882/0001193125-06-129882-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312507134975/0001193125-07-134975-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312508134401/0001193125-08-134401-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312509127074/0001193125-09-127074-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312510134997/0001193125-10-134997-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312511157312/0001193125-11-157312-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312512258595/0001193125-12-258595-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312513237523/0001193125-13-237523-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312514214835/0001193125-14-214835-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000119312515204302/0001193125-15-204302-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459016020014/0001564590-16-020014-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459017011690/0001564590-17-011690-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459018014310/0001564590-18-014310-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/0001564590-19-020329-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/0001564590-20-026547-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459021029314/0001564590-21-029314-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-6600000,-5100000,-3900000,-2000000,-400000,491124,735264,-2507764,-6712201,-10454000,-11401000,-21676000,-18171000,-9446000,-2342000,-29449000,-27881000,-40930000,-31597000,-19024000,-11755000,1495000,15014000,7351000,113688000,38147000,52116000,112170000,259016000,203009000,225525000
74,Depreciation and Amortization,- -,- -,- -,- -,300000,600000,300000,300000,400000,349756,429612,876939,1385988,1685000,2968000,1771000,1704000,1388000,1240000,2742000,3915000,6124000,5016000,4898000,3948000,4336000,2723000,2508000,2770000,3277000,6202000,11005000,14121000,20430000,24097000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000,475000,527000,721000,954000,970000,789000,755000,860000,-87094000,22296000,25803000,42624000,-7745000,32953000,29380000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8834000,5365000,5421000,7773000,9501000,11218000,16520000,29053000,32866000,40353000,54494000,39781000,47006000
77,Change in Working Capital,- -,- -,- -,- -,-700000,-4800000,300000,6434599,115686,16509923,-7215750,86853542,-10999000,-24478000,-16185000,-25182000,18188000,-12638000,45781000,-31458000,18883000,-6306000,-2210000,25730000,1425000,-1994000,93265000,61031000,15490000,152248000,161610000,-67221000,155018000,98469000,745000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2539000,2210000,-1923000,-5284000,-2586000,-1312000,-7970000,-10930000,-11550000,-15289000,-22023000,5551000,-12059000
79,Inventory,- -,- -,- -,- -,-100000,300000,-700000,-700000,800000,-244232,-167271,-858704,-568415,-650000,-128000,-689000,1377000,198000,-1166000,-177000,-4095000,-11078000,-1598000,927000,-1508000,-6229000,-5315000,-622000,-6967000,-11473000,-12284000,-15686000,-37181000,-13237000,2535000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2402000,-1387000,2480000,287000,1183000,-54000,3372000,-2645000,7565000,4412000,7976000,2581000,2629000
81,Other Working Capital,- -,- -,- -,- -,10800000,6000000,6300000,12734599,12850285,29360208,22144458,108998000,97999000,73521000,57336000,32154000,50342000,37704000,83485000,52027000,70910000,64604000,62394000,88124000,89549000,87555000,180820000,241851000,257341000,409589000,571199000,503978000,658996000,757465000,758210000
82,Other Non-Cash Items,- -,- -,- -,- -,3000000,5900000,-1000000,-8134599,784314,-16783895,5813982,-85910071,8894794,25941000,12659000,25019000,-17905000,10560000,-49843000,48516000,-15212000,11711000,931000,-25285000,1565000,-8765000,-94859000,-59502000,-18084000,-168226000,-163481000,53615000,-222707000,-79722000,-52175000
