,https://roic.ai/company/PKG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62900000,58275000,88400000,85500000,91800000,102600000,97200000,128800000,93500000,152400000
14,Depreciation and Amortization,95000000,112200000,148216000,146367000,153413000,158822000,159592000,158352000,152411000,145670000,- -,- -,- -,- -,- -,- -,- -,- -,- -,391400000,- -,- -,409900000,417000000
15,EBITDA,213900000,189900000,424307000,320697000,231027000,133948000,270507000,246352000,347135000,413538000,210143000,316971000,153104000,243504000,443459000,473607000,702700000,750000000,780300000,1322600000,1067700000,1045800000,1136100000,1678100000
16,EBITDA ratio,0.1362,0.1504,0.2208,0.1792,0.1331,0.0772,0.1431,0.1236,0.1587,0.1786,0.0890,0.1476,0.0629,0.0929,0.1559,0.1292,0.1201,0.1306,0.1350,0.2052,0.1522,0.1502,0.1706,0.2171
17,Operating Income,109200000,181200000,344838000,253761000,153349000,124006000,140491000,116126000,225927000,293452000,241812000,352454000,185382000,272749000,443459000,473607000,702700000,750000000,780300000,931200000,1067700000,1053700000,723900000,1241400000
18,Operating Income ratio,0.0695,0.1435,0.1794,0.1418,0.0883,0.0715,0.0743,0.0582,0.1033,0.1267,0.1024,0.1641,0.0761,0.1041,0.1559,0.1292,0.1201,0.1306,0.1350,0.1445,0.1522,0.1513,0.1087,0.1606
19,Total Other Income Expenses (Gains),9700000,-96600000,-57687000,-78327000,-75735000,-148880000,-29576000,-28126000,-31203000,-25584000,-31669000,-35483000,-32278000,-29245000,-62900000,-58275000,-88400000,-85500000,-91800000,-102600000,-97200000,-136700000,-91200000,-132700000
20,Income Before Tax,118900000,84600000,287151000,175434000,77614000,-24874000,110915000,88000000,194724000,267868000,210143000,316971000,153104000,243504000,380559000,415332000,614300000,664500000,688500000,828600000,970500000,917000000,632700000,1108700000
21,Income Before Tax Ratio,0.0757,0.0670,0.1494,0.0980,0.0447,-0.0143,0.0587,0.0441,0.0890,0.1157,0.0890,0.1476,0.0629,0.0929,0.1338,0.1133,0.1050,0.1157,0.1191,0.1286,0.1384,0.1317,0.0950,0.1434
22,Income Tax expense (Gain),47500000,37200000,114190000,67912000,29435000,-10516000,42185000,35400000,69692000,97802000,74534000,51076000,-52331000,85477000,216739000,-20951000,221700000,227700000,238900000,160000000,232500000,220600000,171700000,267600000
23,Net Income,71400000,40500000,161901000,106418000,48179000,-14358000,68730000,52600000,125032000,170066000,135609000,265895000,205435000,158027000,163820000,436283000,392600000,436800000,449600000,668600000,738000000,696400000,461000000,841100000
24,Net Income ratio,0.0454,0.0321,0.0842,0.0595,0.0278,-0.0083,0.0364,0.0264,0.0572,0.0734,0.0574,0.1238,0.0843,0.0603,0.0576,0.1190,0.0671,0.0761,0.0778,0.1037,0.1052,0.1000,0.0692,0.1088
25,EPS,0.76,0.34,1.37,1.00,0.46,-0.14,0.65,0.49,1.21,1.63,1.32,2.62,2.02,1.59,1.70,4.57,3.99,4.47,4.76,7.09,7.82,7.36,4.86,8.87
26,EPS Diluted,0.76,0.32,1.33,0.98,0.45,-0.14,0.64,0.49,1.20,1.61,1.31,2.60,2.00,1.57,1.68,4.52,3.99,4.47,4.75,7.07,7.80,7.34,4.84,8.87
27,Weighted Average Shares Outstanding,93947368,91764706,104890000,106277000,105053000,104628000,106358000,107334000,103599000,104483000,102753000,101577000,101700000,99300000,96400000,96579000,98395990,97718121,93529412,93511989,93644501,94619565,94855967,94541485
28,Weighted Average Shares Outstanding Diluted,93947368,97500000,107518000,108801000,107208000,104628000,107570000,108098000,104485000,105459000,103593000,102358000,102600000,100400000,97500000,97547000,98395990,97718121,93700000,93700000,93900000,94619565,94855967,94541485
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/75677/000091205701008509/0000912057-01-008509-index.html,- -,https://www.sec.gov/Archives/edgar/data/75677/000104746903009199/a2104290z10-k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465904007269/a04-2873_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465905010147/a05-2046_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465906010794/a06-1847_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465907015513/a07-3305_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000104746908001511/a2182363z10-k.htm,https://www.sec.gov/Archives/edgar/data/75677/000095013709001376/0000950137-09-001376-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095012310013747/0000950123-10-013747-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095012311016543/c61761e10vk.htm,https://www.sec.gov/Archives/edgar/data/75677/000119312512070269/0001193125-12-070269-index.html,https://www.sec.gov/Archives/edgar/data/75677/000119312513083569/0001193125-13-083569-index.html,https://www.sec.gov/Archives/edgar/data/75677/000007567714000009/pkg1231201310k.htm,https://www.sec.gov/Archives/edgar/data/75677/000007567715000007/pkg1231201410k.htm,https://www.sec.gov/Archives/edgar/data/75677/000007567716000030/0000075677-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/75677/000007567717000004/0000075677-17-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/75677/000156459019005284/0001564590-19-005284-index.html,https://www.sec.gov/Archives/edgar/data/75677/000156459020006774/0001564590-20-006774-index.html,https://www.sec.gov/Archives/edgar/data/75677/000156459021008051/0001564590-21-008051-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017022001913/0000950170-22-001913-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10300000,7892000,82465000,131305000,172022000,213321000,112669000,161837000,228143000,149397000,260727000,196556000,156313000,207393000,190960000,124900000,184200000,239300000,216900000,361500000,679500000,974600000,618000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87900000,105600000,86000000
33,Cash and Short-Term Investments,- -,10300000,7892000,82465000,131305000,172022000,213321000,112669000,161837000,228143000,149397000,260727000,196556000,156313000,207393000,190960000,124900000,184200000,239300000,216900000,361500000,767400000,1080200000,704000000
34,Net Receivables,- -,209100000,215994000,170175000,175716000,191405000,216594000,213181000,263159000,275921000,254898000,375921000,293159000,319988000,417630000,666041000,651200000,664700000,703100000,900200000,918600000,872100000,837500000,1071000000
35,Inventory,- -,163900000,159712000,170173000,160549000,166312000,179348000,191828000,195946000,204356000,206954000,213396000,241142000,254675000,268767000,522523000,664900000,676800000,723600000,762500000,795600000,794100000,787900000,902000000
36,Other Current Assets,- -,19600000,20111000,25404000,41984000,37338000,67798000,35811000,25776000,24617000,21924000,35170000,67184000,81087000,43243000,107680000,137600000,28800000,30300000,35500000,39400000,44800000,44700000,55000000
37,Total Current Assets,- -,402900000,403709000,448217000,509554000,567077000,677061000,553489000,646718000,733037000,633173000,885214000,798041000,812063000,937033000,1487204000,1578600000,1554500000,1696300000,1915100000,2115100000,2478400000,2750300000,2732000000
38,PP&E,- -,1662600000,1455990000,1451224000,1408980000,1372823000,1345154000,1320511000,1252291000,1215298000,1221019000,1182504000,1337986000,1476654000,1366069000,2805704000,2857600000,2832100000,2895700000,2924900000,3108600000,3386000000,3427600000,3767000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,37200000,37163000,37163000,38854000,38854000,58214000,67160000,526789000,546800000,544000000,737900000,883200000,917300000,918700000,863500000,923000000
40,Intangible Assets,- -,1500000,1758000,4037000,3854000,5495000,22108000,63713000,14711000,13753000,12669000,11790000,10975000,25042000,38283000,310539000,293500000,270800000,367100000,410000000,378300000,338800000,295900000,308000000
41,Intangible Assets,- -,1500000,1758000,4037000,3854000,5495000,22108000,63713000,51911000,50916000,49832000,50644000,49829000,83256000,105443000,837328000,840300000,814800000,1105000000,1293200000,1295600000,1257500000,1159400000,1231000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58100000,42700000,60000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000000
44,Other Non-Current Assets,- -,86200000,80655000,68302000,60163000,39731000,38451000,35585000,36056000,36606000,35717000,34478000,38418000,40526000,45223000,69738000,72000000,83200000,80000000,64300000,50400000,55800000,53200000,-419000000
45,Total Non-Current Assets,- -,1750300000,1538403000,1523563000,1472997000,1418049000,1405713000,1419809000,1340258000,1302820000,1306568000,1267626000,1426233000,1600436000,1516735000,3712770000,3769900000,3730100000,4080700000,4282400000,4454600000,4757400000,4682900000,5104000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2153200000,1942112000,1971780000,1982551000,1985126000,2082774000,1973298000,1986976000,2035857000,1939741000,2152840000,2224274000,2412499000,2453768000,5199974000,5348500000,5284600000,5777000000,6197500000,6569700000,7235800000,7433200000,7836000000
48,Accounts Payable,- -,127400000,113701000,93873000,85807000,126924000,128953000,124851000,119397000,132197000,101064000,126813000,154130000,154855000,117510000,357432000,330500000,294200000,323800000,402900000,382200000,351900000,387000000,452000000
49,Short-Term Debt,- -,800000,239000,54000,113094000,112763000,109168000,118030000,119147000,278747000,109000000,109000000,109000000,15000000,15000000,39000000,6500000,6500000,25800000,151300000,- -,- -,70500000,86000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,- -,- -,16500000,7000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,99300000,104608000,97968000,97905000,103290000,96983000,129213000,149794000,151633000,151918000,135144000,142428000,206645000,127336000,264107000,274000000,261200000,275800000,278500000,311400000,371900000,325100000,346000000
53,Total Current Liabilities,- -,227500000,218548000,191895000,296806000,342977000,335104000,372094000,388338000,562577000,361982000,370957000,405558000,376500000,259846000,660539000,611000000,561900000,625400000,832700000,693600000,723800000,782600000,884000000
54,Long-Term Debt,- -,1329200000,869175000,795163000,629119000,585198000,585724000,577173000,567770000,398501000,548400000,548749000,549099000,793448000,778630000,2508845000,2348900000,2302700000,2620000000,2499400000,2483700000,2476800000,2667400000,60000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000000
56,Deferred Tax Liabilities,- -,69800000,151728000,194452000,241372000,230949000,306569000,292710000,260968000,240707000,208879000,205227000,9190000,11924000,227160000,434835000,409900000,347000000,334700000,239500000,285200000,340100000,379400000,465000000
57,Other Non-Current Liabilities,- -,7500000,15237000,20436000,19379000,28522000,37807000,49901000,78129000,73211000,136531000,129062000,251426000,301717000,218671000,282740000,457300000,439700000,437100000,443300000,434800000,624100000,357500000,1470000000
58,Total Non-Current Liabilities,- -,1406500000,1036140000,1010051000,889870000,844669000,930100000,919784000,906867000,712419000,893810000,883038000,809715000,1107089000,1224461000,3226420000,3216100000,3089400000,3391800000,3182200000,3203700000,3441000000,3404300000,2460000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,78129000,- -,23735000,23129000,22502000,21832000,25868000,24904000,23900000,22800000,21600000,20300000,19000000,257700000,258500000,- -
61,Total Liabilities,- -,1634000000,1254688000,1201946000,1186676000,1187646000,1265204000,1291878000,1295205000,1274996000,1255792000,1253995000,1215273000,1483589000,1484307000,3886959000,3827100000,3651300000,4017200000,4014900000,3897300000,4164800000,4186900000,3344000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,900000,1062000,1056000,1045000,1056000,1070000,1037000,1046000,1050000,1024000,1030000,1023000,983000,981000,982000,1000000,1000000,900000,900000,900000,900000,900000,- -
64,Retained Earnings,- -,31200000,174468000,280886000,329065000,298869000,303662000,248404000,269296000,334060000,342072000,546355000,690111000,673960000,703728000,975296000,1242200000,1317300000,1447100000,1867400000,2315800000,2704800000,2835500000,3102000000
65,Other Comprehensive Income/Loss,- -,-842500000,-954985000,-1065425000,-1173421000,-1301669000,-1437061000,19000000,-8000000,-7000000,-38000000,-36000000,-44000000,-98000000,-114000000,-65000000,-154000000,-125000000,-140000000,-156900000,-139000000,-160000000,-144500000,-75000000
66,Other Total Stockholders Equity,- -,1329600000,1466879000,1553317000,1639186000,1799224000,1949899000,412979000,429429000,432751000,378853000,387460000,361867000,351967000,378752000,401737000,432200000,440000000,451800000,- -,494700000,525300000,554400000,580000000
67,Total Stockholders Equity,- -,519200000,687424000,769834000,795875000,797480000,817570000,681420000,691771000,760861000,683949000,898845000,1009001000,928910000,969461000,1313015000,1521400000,1633300000,1759800000,2182600000,2672400000,3071000000,3246300000,3607000000
68,Total Liabilities And Stockholders Equity,- -,2153200000,1942112000,1971780000,1982551000,1985126000,2082774000,1973298000,1986976000,2035857000,1939741000,2152840000,2224274000,2412499000,2453768000,5199974000,5348500000,5284600000,5777000000,6197500000,6569700000,7235800000,7433200000,6951000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,885000000
70,Total Liabilities & Equity,- -,2153200000,1942112000,1971780000,1982551000,1985126000,2082774000,1973298000,1986976000,2035857000,1939741000,2152840000,2224274000,2412499000,2453768000,5199974000,5348500000,5284600000,5777000000,6197500000,6569700000,7235800000,7433200000,7836000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/75677/000091205701008509/0000912057-01-008509-index.html,- -,https://www.sec.gov/Archives/edgar/data/75677/000104746903009199/a2104290z10-k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465904007269/a04-2873_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465905010147/a05-2046_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465906010794/a06-1847_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465907015513/a07-3305_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000104746908001511/a2182363z10-k.htm,https://www.sec.gov/Archives/edgar/data/75677/000095013709001376/0000950137-09-001376-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095012310013747/0000950123-10-013747-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095012311016543/c61761e10vk.htm,https://www.sec.gov/Archives/edgar/data/75677/000119312512070269/0001193125-12-070269-index.html,https://www.sec.gov/Archives/edgar/data/75677/000119312513083569/0001193125-13-083569-index.html,https://www.sec.gov/Archives/edgar/data/75677/000007567714000009/pkg1231201310k.htm,https://www.sec.gov/Archives/edgar/data/75677/000007567715000007/pkg1231201410k.htm,https://www.sec.gov/Archives/edgar/data/75677/000007567716000030/0000075677-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/75677/000007567717000004/0000075677-17-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/75677/000156459019005284/0001564590-19-005284-index.html,https://www.sec.gov/Archives/edgar/data/75677/000156459020006774/0001564590-20-006774-index.html,https://www.sec.gov/Archives/edgar/data/75677/000156459021008051/0001564590-21-008051-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017022001913/0000950170-22-001913-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,71400000,40500000,161901000,106418000,48179000,-14358000,68730000,52600000,125032000,170066000,135609000,265895000,205435000,158027000,163820000,436283000,392600000,436800000,449600000,668600000,738000000,696400000,461000000,841100000
74,Depreciation and Amortization,95000000,112200000,148216000,146367000,153413000,158822000,159592000,158352000,152411000,145670000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409900000,417000000
75,Deferred Income Tax,71300000,33200000,83276000,46354000,36006000,-10202000,43415000,15788000,-20142000,-11024000,-10814000,-13819000,-120579000,27347000,106921000,-87269000,2600000,1700000,-4000000,-84500000,38700000,60300000,34700000,59000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8695000,7261000,7006000,9736000,11687000,14761000,15600000,18200000,19700000,20600000,23500000,30400000,30000000,35000000
77,Change in Working Capital,-25100000,175400000,9761000,71161000,-43574000,11352000,117857000,-160562000,76985000,-87920000,100731000,243066000,-121774000,43080000,241624000,149478000,140935000,25000000,78300000,11500000,339100000,333100000,213100000,-119700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21023000,13602000,-50256000,-16946000,-24995000,-31191000,-8500000,9500000,-3600000,-115100000,-56100000,56400000,13200000,-227000000
79,Inventory,5100000,-5600000,5207000,-9821000,9624000,-5507000,-9072000,-10149000,-3526000,-8494000,-2598000,-5498000,-28352000,-8333000,-12212000,33304000,-72400000,-11900000,-25700000,-21000000,-35600000,1400000,6300000,-105000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31133000,22475000,25367000,-694000,-40448000,54222000,-36000000,-37300000,16600000,41000000,-17600000,-32400000,39700000,12000000
81,Other Working Capital,- -,175400000,185161000,256322000,212748000,224100000,341957000,181395000,258380000,170460000,271191000,514257000,392483000,435563000,677187000,826665000,967600000,992600000,1070900000,1082400000,1421500000,1754600000,1967700000,1848000000
82,Other Non-Cash Items,-17200000,-106900000,-64106000,-56874000,45992000,99263000,-174251000,176568000,-87654000,83357000,35101000,-196272000,379832000,107324000,-119847000,94948000,184365000,280900000,257600000,239900000,40800000,87200000,-115900000,-138400000
83,Cash Provided by Operating Activities,195400000,254400000,339048000,313426000,240016000,244877000,215343000,242746000,246632000,300149000,269322000,306131000,349920000,345514000,404205000,608201000,736100000,762600000,801200000,856100000,1180100000,1207400000,1032800000,1094000000
84,CAPEX,-103400000,-94200000,-133739000,-131158000,-107404000,-113216000,-108614000,-125331000,-88221000,-113446000,-132972000,-114197000,-322827000,-293268000,-128524000,-234422000,-420200000,-314500000,-274300000,-343000000,-551400000,-399500000,-421200000,-605000000
85,Acquisitions Net,- -,- -,- -,-4827000,- -,-3819000,-38376000,-48671000,-4314000,- -,- -,-3136000,- -,-57340000,-35393000,-1174506000,-20500000,23000000,-485400000,-273800000,-56300000,- -,- -,-194000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146100000,-110100000,-127000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107000000,126000000
88,Other Investing Activites,-74300000,17800000,252640000,1974000,-2221000,-894000,30176000,12524000,-1420000,-741000,-1564000,-1991000,1513000,443000,56407000,-2480000,-10400000,-6600000,-9900000,7700000,-500000,-1000000,-1800000,6000000
89,Cash Used for Investing Activites,-177700000,-76400000,118901000,-134011000,-109625000,-117929000,-116814000,-161478000,-93955000,-113187000,-134536000,-119324000,-321314000,-350165000,-107510000,-1411408000,-451100000,-298100000,-769600000,-609100000,-608200000,-546600000,-426100000,-794000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-170320000,-606000,-626000,-670000,-437184000,-1074774000,-592500000,-47600000,-37500000,-1011900000,-151300000,-923400000,-1500000,-757000000
91,Common Stock Issued,- -,333000000,128175000,7725000,4482000,11638000,10398000,8221000,7754000,20336000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-124746000,-38328000,-32987000,-17517000,-63729000,-93105000,- -,-30528000,-70052000,- -,-38901000,-115117000,-45162000,-7799000,- -,-154700000,-100300000,- -,- -,- -,- -,-193000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-96867000,-105052000,-105048000,-125057000,-76898000,-61798000,-76012000,-117851000,-109145000,-157400000,-200800000,-216100000,-237600000,-268100000,-298700000,-299600000,-379000000
94,Other Financing Activites,-17700000,-500800000,-463786000,-74239000,-53046000,-80352000,-3899000,-169000,-6211000,-5416000,151897000,2027000,8548000,156207000,354582000,1978492000,398800000,-2100000,377400000,980100000,-7900000,879300000,-10500000,674000000
95,Cash Used/Provided by Financing Activities,-17700000,-167800000,-460357000,-104842000,-81551000,-86231000,-57230000,-181920000,-103509000,-120656000,-213532000,-75477000,-92777000,-35592000,-245615000,786774000,-351100000,-405200000,23500000,-269400000,-427300000,-342800000,-311600000,-655000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-17700000,-167800000,-2408000,74573000,48840000,40717000,41299000,-100652000,49168000,66306000,-78746000,111330000,-64171000,-40243000,51080000,-16433000,-66100000,59300000,55100000,-22400000,144600000,318000000,295100000,-356000000
98,Cash at the End of Period,- -,10300000,7892000,82465000,131305000,172022000,213321000,112669000,161837000,228143000,149397000,260727000,196556000,156313000,207393000,190960000,124900000,184200000,239300000,216900000,361500000,679500000,974600000,618000000
99,Cash at the Beginning of Period,- -,- -,10300000,7892000,82465000,131305000,172022000,213321000,112669000,161837000,228143000,149397000,260727000,196556000,156313000,207393000,191000000,124900000,184200000,239300000,216900000,361500000,679500000,974000000
100,Free Cash Flow,92000000,160200000,205309000,182268000,132612000,131661000,106729000,117415000,158411000,186703000,136350000,191934000,27093000,52246000,275681000,373779000,315900000,448100000,526900000,513100000,628700000,807900000,611600000,489000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/75677/000091205701008509/0000912057-01-008509-index.html,- -,https://www.sec.gov/Archives/edgar/data/75677/000104746903009199/a2104290z10-k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465904007269/a04-2873_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465905010147/a05-2046_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465906010794/a06-1847_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000110465907015513/a07-3305_110k.htm,https://www.sec.gov/Archives/edgar/data/75677/000104746908001511/a2182363z10-k.htm,https://www.sec.gov/Archives/edgar/data/75677/000095013709001376/0000950137-09-001376-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095012310013747/0000950123-10-013747-index.html,https://www.sec.gov/Archives/edgar/data/75677/000095012311016543/c61761e10vk.htm,https://www.sec.gov/Archives/edgar/data/75677/000119312512070269/0001193125-12-070269-index.html,https://www.sec.gov/Archives/edgar/data/75677/000119312513083569/0001193125-13-083569-index.html,https://www.sec.gov/Archives/edgar/data/75677/000007567714000009/pkg1231201310k.htm,https://www.sec.gov/Archives/edgar/data/75677/000007567715000007/pkg1231201410k.htm,https://www.sec.gov/Archives/edgar/data/75677/000007567716000030/0000075677-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/75677/000007567717000004/0000075677-17-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/75677/000156459019005284/0001564590-19-005284-index.html,https://www.sec.gov/Archives/edgar/data/75677/000156459020006774/0001564590-20-006774-index.html,https://www.sec.gov/Archives/edgar/data/75677/000156459021008051/0001564590-21-008051-index.htm,https://www.sec.gov/Archives/edgar/data/75677/000095017022001913/0000950170-22-001913-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
