,https://roic.ai/company/NOVC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,200000,1103700000,934700000,640900000,433482000,315480000,184518000,159370000,-28528000,33417000,1857860000,2936392000,1919191000,1438001000,5913000,8764000,64824000,4502000,-22792000,-10246000,-9697000,-11370000,95000,445000,4000
45,Total Non-Current Assets,13400000,1103700000,934700000,640900000,433482000,315480000,363397000,541657000,603800000,582800000,2599363000,3078966000,1939064000,1445991000,14861000,14100000,71900000,11400000,23035000,8651000,26791000,16802000,15278000,10134000,5112000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59800000,1126300000,1002200000,690500000,494482000,512380000,1452497000,1399957000,1861300000,2335700000,5028263000,3230766000,1978464000,1459491000,37861000,44600000,106700000,34000000,61211000,31939000,42630000,39837000,31130000,19417000,12176000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57208000,33928000,15401000,4590000,7077000,9605000,3453000,- -,- -,- -,- -,657000,524000,315000
49,Short-Term Debt,- -,596700000,- -,- -,- -,143350000,1025536000,872536000,905528000,1418569000,2152208000,45488000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3333000,1948000,- -,1948000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1528000,2314000,731000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13400000,4200000,5000000,2300000,29100000,19950000,43964000,94264000,139572000,151731000,201392000,115904000,139272000,171299000,58910000,6495000,9481000,9216000,6205000,3923000,5518000,7950000,4533000,3696000,673000
53,Total Current Liabilities,13400000,600900000,5000000,2300000,29100000,163300000,1069500000,966800000,1045100000,1570300000,2353600000,218600000,173200000,186700000,63500000,15100000,21400000,13400000,6205000,3923000,5518000,11283000,7138000,4220000,2936000
54,Long-Term Debt,- -,408900000,909900000,586900000,382437000,219048000,199692000,132980000,389894000,245625000,2160050000,3280142000,2682050000,77815000,78086000,79654000,81728000,83867000,85937000,88385000,- -,86050000,85969000,86824000,90115000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1101000,968000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-24937000,52000,8000,-80000,6000,-44425000,50000,-56442000,-50000,2271185000,2514000,2746000,3472000,3932000,1451000,2224000,86311000,386000,979000,432000,215000
58,Total Non-Current Liabilities,- -,408900000,909900000,586900000,357500000,219100000,199700000,132900000,389900000,201200000,2160100000,3223700000,2682000000,2349000000,80600000,82400000,85200000,88900000,88356000,90609000,86311000,86436000,86948000,87256000,90330000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,399440000,265833000,- -,402414000,- -,- -,5364037000,4698343000,161504000,- -,172568000,- -,177680000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,348000
61,Total Liabilities,13400000,1009800000,914900000,589200000,386563000,382383000,1269240000,1099733000,1434967000,1771514000,4513693000,3442254000,2855237000,2536043000,144404000,97357000,108768000,102262000,95529000,94532000,91829000,97719000,94086000,91476000,93266000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,30000,30000,30000,51000,51000,51000,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,61000,58000,105000,245000,277000,322000,373000,94000,94000,94000,94000,913000,915000,915000,915000,928000,928000,971000,991000,1123000,1146000
64,Retained Earnings,-300000,-2900000,-32800000,-41500000,-37976000,-15887000,-12026000,-15522000,-85354000,-128554000,-263572000,-996649000,-1671984000,-1868398000,-898195000,-803400000,-744213000,-811742000,-780803000,-809532000,-804319000,-815184000,-809050000,-819294000,-828463000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000000,37000000,-1000000,9000000,5000000,4000000,3000000,3000000,3000000,3000000,1000000,9000000,11000000,- -,- -,- -
66,Other Total Stockholders Equity,46700000,119400000,120100000,142700000,145834000,145826000,195178000,315501000,511391000,580422000,740739000,786016000,786066000,787030000,787774000,746543000,740472000,739571000,743538000,745011000,745192000,745331000,745103000,746112000,746227000
67,Total Stockholders Equity,46400000,116500000,87300000,101300000,107919000,129997000,183257000,300224000,426344000,564220000,514570000,-211488000,-876773000,-1076223000,-106276000,-52944000,174000,-68256000,-33350000,-62593000,-49199000,-57882000,-62956000,-72059000,-81090000
68,Total Liabilities And Stockholders Equity,59800000,1126300000,1002200000,690500000,494482000,512380000,1452497000,1399957000,1861311000,2335734000,5028263000,3230766000,1978464000,1459820000,38128000,44413000,108942000,34006000,62179000,31939000,42630000,39837000,31130000,19417000,12176000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-11000,-34000,- -,- -,- -,-329000,-267000,187000,-2242000,-6000,-968000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,59800000,1126300000,1002200000,690500000,494482000,512380000,1452497000,1399957000,1861300000,2335700000,5028263000,3230766000,1978464000,1459491000,37861000,44600000,106700000,34000000,61211000,31939000,42630000,39837000,31130000,19417000,12176000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025953/000095013103001400/0000950131-03-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312504035498/0001193125-04-035498-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312505052759/0001193125-05-052759-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312506055131/0001193125-06-055131-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312507044212/0001193125-07-044212-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312508072216/0001193125-08-072216-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000114420409029636/0001144204-09-029636-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000120677410000814/0001206774-10-000814-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000120677411000589/0001206774-11-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595312000013/0001025953-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595313000004/0001025953-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595314000004/0001025953-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595315000005/0001025953-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595316000180/0001025953-16-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595317000007/0001025953-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595318000011/0001025953-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000143774919005938/0001437749-19-005938-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000143774920005915/0001437749-20-005915-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000143774921004939/0001437749-21-004939-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,-1100000,-21800000,-7100000,5626000,32308000,48761000,111996000,115389000,139124000,72938000,-724277000,-660482000,-181102000,986702000,7763000,59187000,-67529000,30939000,-28729000,5213000,-10865000,6134000,-10225000,-9169000
74,Depreciation and Amortization,- -,3400000,12200000,10400000,6085000,6361000,6711000,15087000,28759000,41856000,54722000,2865000,1124000,869000,937000,1991000,3275000,3565000,1582000,148000,- -,496000,1528000,1221000,1155000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-5848000,-1322000,-19659000,-8589000,- -,- -,- -,- -,- -,-63100000,63100000,-7645000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,707000,-63000,710000,374000,284000,372000,471000,637000,669000,274000,107000,187000,224000,138000
77,Change in Working Capital,50000,-8100000,-13500000,4900000,4356000,-23949000,-58276000,-28224000,-55111000,-33753000,-3276453000,99753000,25894000,-3249000,-1406000,-4845000,4693000,-3921000,4848000,-2210000,4504000,-2885000,-1285000,-1954000,8000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3267000,244000,-4883000,-1564000,2818000,-466000,- -,- -,-457000,1800000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-988000,-146000,-209000
81,Other Working Capital,33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97093000,6327000,-4170000,1827000,-1182000,566000,87000,5345000,-1348000,382000,478000,-1318000,-626000,-621000
82,Other Non-Cash Items,-10000,3500000,33300000,21600000,5152000,-126961000,-951204000,-84670000,-653421000,-854749000,-353528000,175164000,663093000,249990000,-979992000,-2804000,349000,526000,-42658000,5375000,-9990000,4421000,-11620000,5566000,7191000
83,Cash Provided by Operating Activities,-260000,-2300000,10200000,29800000,21219000,-112241000,-954008000,8341000,-565706000,-727181000,-3510910000,-445788000,29566000,67218000,6615000,2389000,4776000,-3788000,-12297000,-24747000,1000,-8726000,-5056000,-5168000,-677000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-7029000,-5315000,-7680000,-3132000,-25000,-1324000,-496000,-2248000,-2761000,-2686000,-3510000,-4000,- -,- -,- -,-96000,-15000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60105000,- -,-710000,2000,-4198000,-559000,-353000,- -,54748000,- -,7643000,-23337000,- -,- -,- -
86,Purchases of Investments,- -,-659400000,-375100000,- -,- -,- -,- -,- -,- -,- -,-1922000,-21957000,- -,- -,-657000,-224000,- -,- -,-55367000,- -,-39520000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,158800000,871100000,900000,3653000,57110000,100497000,200024000,346558000,453750000,327218000,242594000,89763000,18479000,5855000,2035000,1082000,750000,12685000,26995000,33468000,26847000,13031000,- -,- -
88,Other Investing Activites,- -,-595300000,-400800000,274100000,188617000,147177000,80381000,55820000,29657000,13267000,544116000,855558000,404551000,229459000,34134000,1321000,3087000,988000,460000,-4488000,230000,- -,- -,26000,- -
89,Cash Used for Investing Activites,- -,-1095900000,95200000,275000000,192270000,204287000,180878000,255844000,376215000,467017000,809307000,1073063000,493579000,246616000,34638000,325000,1055000,-948000,9016000,22503000,1821000,3510000,13031000,-70000,-15000
90,Debt Repayment,- -,-15800000,-179900000,- -,- -,-139411000,-86434000,-120083000,-254867000,-371683000,-583976000,-797101000,-523150000,-331670000,-35341000,- -,-1000000,-380000,-255000,- -,- -,-6892000,-57003000,-10664000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,46700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-600000,-6100000,-3900000,-2100000,-5986000,-32890000,-99256000,-138611000,-202413000,-242342000,-7058000,- -,- -,- -,-788000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1068100000,80500000,-298600000,-211266000,81650000,941379000,-6408000,733352000,830391000,3413749000,4714000,-19000,150000,-434000,-3005000,28000,-1979000,-77000,-232000,-205000,10043000,55537000,8685000,- -
95,Cash Used/Provided by Financing Activities,46700000,1051700000,-105500000,-302500000,-213366000,-63747000,822055000,-225747000,339874000,256295000,2587431000,-752433000,-523719000,-331520000,-35775000,-3793000,-972000,-2359000,-332000,-232000,- -,3151000,-1466000,-1979000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,46430000,1051700000,-105500000,-302500000,123000,28299000,48925000,38438000,150383000,-3869000,-114172000,-125158000,-574000,-17686000,5478000,-1079000,4859000,-7095000,-3613000,-2476000,1822000,-2065000,6509000,-7217000,-692000
98,Cash at the End of Period,46430000,- -,- -,2400000,2518000,30817000,79742000,118180000,268563000,264694000,150522000,25364000,24790000,7104000,12582000,11503000,16362000,9267000,5654000,3178000,5000000,2740000,9249000,2032000,1340000
99,Cash at the Beginning of Period,- -,46400000,- -,- -,2395000,2518000,30817000,79742000,118180000,268563000,264694000,150522000,25364000,24790000,7104000,12582000,11503000,16362000,9267000,5654000,3178000,4805000,2740000,9249000,2032000
100,Free Cash Flow,-260000,-2300000,10200000,29800000,21219000,-112241000,-954008000,8341000,-572735000,-732496000,-3518590000,-448920000,29541000,65894000,6119000,141000,2015000,-6474000,-15807000,-24751000,1000,-8726000,-5056000,-5264000,-692000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025953/000095013103001400/0000950131-03-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312504035498/0001193125-04-035498-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312505052759/0001193125-05-052759-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312506055131/0001193125-06-055131-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312507044212/0001193125-07-044212-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000119312508072216/0001193125-08-072216-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000114420409029636/0001144204-09-029636-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000120677410000814/0001206774-10-000814-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000120677411000589/0001206774-11-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595312000013/0001025953-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595313000004/0001025953-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595314000004/0001025953-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595315000005/0001025953-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595316000180/0001025953-16-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595317000007/0001025953-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000102595318000011/0001025953-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000143774919005938/0001437749-19-005938-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000143774920005915/0001437749-20-005915-index.htm,https://www.sec.gov/Archives/edgar/data/1025953/000143774921004939/0001437749-21-004939-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
