,https://roic.ai/company/HP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,41700000,41600000,40300000,47700000,48600000,50100000,77100000,61100000,72500000,89800000,110700000,112386000,88787000,62569000,82693000,94435000,96300000,101583000,146042000,210766000,236437000,262658000,315468000,387549000,455623000,523549000,606992000,598587000,585543000,583802000,562803000,481885000,419726000
15,EBITDA,24200000,2600000,32100000,26500000,74200000,111400000,73800000,67100000,90600000,85300000,91900000,159400000,202200000,247700000,179200000,252370000,326068000,166659000,115215000,103159000,311369000,549832000,846287000,928061000,835853000,588283000,1019408000,1306218000,1591235000,1624470000,1287628000,544995000,420343000,613570000,535623000,-128244000,13810000
16,EBITDA ratio,0.1434,0.0162,0.2086,0.1700,0.4334,0.4671,0.3876,0.2799,0.2875,0.2593,0.2821,0.4114,0.3904,0.3891,0.3176,0.3999,0.3943,0.3262,0.2236,0.1661,0.3889,0.4489,0.5193,0.4557,0.4413,0.3137,0.4007,0.4144,0.4697,0.4367,0.4068,0.3355,0.2329,0.2467,0.1914,-0.0723,0.0113
17,Operating Income,7900000,11000000,38800000,32800000,38300000,67600000,11900000,24700000,43300000,30700000,14200000,64500000,131700000,153000000,71400000,139839000,235070000,92200000,46231000,72211000,179206000,417286000,632319000,703945000,583532000,451796000,702511000,890376000,956661000,1054787000,675750000,-25966000,-172541000,31602000,20582000,-620187000,-428549000
18,Operating Income ratio,0.0468,0.0686,0.2521,0.2104,0.2237,0.2834,0.0625,0.1030,0.1374,0.0933,0.0436,0.1665,0.2543,0.2403,0.1265,0.2216,0.2843,0.1805,0.0897,0.1163,0.2238,0.3407,0.3880,0.3457,0.3081,0.2409,0.2762,0.2825,0.2824,0.2836,0.2135,-0.0160,-0.0956,0.0127,0.0074,-0.3496,-0.3517
19,Total Other Income Expenses (Gains),16300000,-8400000,-6700000,-6300000,-5800000,2200000,21600000,-5300000,-1300000,500000,600000,6700000,-2000000,4900000,-2900000,-3076000,32000,-980000,-12289000,-64211000,33451000,23695000,58034000,-4016000,-7717000,-13560000,-15444000,12204000,157636000,41527000,-10103000,-46701000,-12057000,-15761000,-71804000,-16311000,-12631000
20,Income Before Tax,24200000,2600000,32100000,26500000,32500000,69800000,33500000,19400000,42000000,31200000,14800000,71200000,129700000,157900000,68500000,136763000,235102000,91220000,33942000,8000000,212657000,440981000,690353000,699929000,575815000,438236000,687067000,902580000,1114297000,1096314000,665647000,-72667000,-184598000,15841000,-51222000,-636498000,-441180000
21,Income Before Tax Ratio,0.1434,0.0162,0.2086,0.1700,0.1898,0.2927,0.1759,0.0809,0.1333,0.0948,0.0454,0.1837,0.2504,0.2480,0.1214,0.2167,0.2843,0.1785,0.0659,0.0129,0.2656,0.3600,0.4236,0.3437,0.3040,0.2337,0.2701,0.2864,0.3289,0.2947,0.2103,-0.0447,-0.1023,0.0064,-0.0183,-0.3588,-0.3620
22,Income Tax expense (Gain),5700000,-4400000,10100000,6300000,9800000,22200000,12300000,8600000,17400000,10200000,5000000,25800000,45500000,56700000,25700000,57684000,93027000,40573000,14649000,4365000,87463000,154391000,250984000,255557000,232381000,152155000,252399000,328971000,392844000,387548000,243375000,-19677000,-56735000,-477169000,-18712000,-140106000,-103721000
23,Net Income,18500000,7000000,22000000,20200000,22700000,47600000,21200000,10800000,24600000,25000000,9800000,72500000,84200000,101200000,42800000,82300000,144254000,63517000,17873000,4359000,127606000,293858000,449261000,461738000,353545000,156312000,434186000,581045000,736639000,708719000,422225000,-56828000,-128212000,482672000,-33656000,-494497000,-326150000
24,Net Income ratio,0.1096,0.0436,0.1429,0.1296,0.1326,0.1996,0.1113,0.0451,0.0781,0.0760,0.0301,0.1871,0.1626,0.1590,0.0758,0.1304,0.1745,0.1243,0.0347,0.0070,0.1594,0.2399,0.2757,0.2267,0.1867,0.0834,0.1707,0.1844,0.2175,0.1905,0.1334,-0.0350,-0.0710,0.1941,-0.0120,-0.2788,-0.2677
25,EPS,0.05,0.02,0.06,0.05,0.06,0.12,0.06,0.03,0.06,0.07,0.10,0.73,0.42,1.01,0.43,0.83,1.44,0.64,0.18,0.04,1.25,2.81,4.35,4.43,3.36,1.47,4.06,5.42,6.89,6.54,3.90,-0.54,-1.20,4.39,-0.34,-4.60,-3.04
26,EPS Diluted,0.05,0.02,0.06,0.05,0.06,0.12,0.06,0.03,0.06,0.07,0.10,0.73,0.42,1.00,0.43,0.82,1.42,0.63,0.17,0.04,1.23,2.77,4.27,4.34,3.32,0.77,3.99,5.34,6.79,6.46,3.87,-0.54,-1.20,4.37,-0.34,-4.60,-3.04
27,Weighted Average Shares Outstanding,100584000,106944000,107056000,107056000,96688000,97940000,107056000,98304000,98548000,98840000,98144000,98760000,199116000,99896000,98486000,99068000,100192000,99650000,100078000,100624000,102174000,104658000,103338000,104284000,105364000,105814000,106643000,106819000,106286000,107800000,107754000,107996000,108500000,108851000,109216000,108009000,107818000
28,Weighted Average Shares Outstanding Diluted,100584000,106944000,107056000,107056000,96688000,97940000,107056000,98304000,98548000,98840000,98144000,394656000,199116000,101130000,99634000,100070000,101544000,100690000,101192000,101666000,104066000,106091000,105128000,106424000,106650000,107452000,108632000,108377000,107879000,109141000,108570000,107996000,108500000,109387000,109216000,108009000,107818000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013494001530/0000950134-94-001530-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013495003420/0000950134-95-003420-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013496007092/0000950134-96-007092-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013497009511/0000950134-97-009511-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013498009926/0000950134-98-009926-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013499011418/0000950134-99-011418-index.html,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013401509830/0000950134-01-509830-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013404019175/d20886e10vk.htm,https://www.sec.gov/Archives/edgar/data/46765/000120677405002004/d18056.htm,https://www.sec.gov/Archives/edgar/data/46765/000104746906014971/a2175096z10-k.htm,https://www.sec.gov/Archives/edgar/data/46765/000104746907009574/0001047469-07-009574-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746908012608/0001047469-08-012608-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746909010426/0001047469-09-010426-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746910010040/0001047469-10-010040-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746911009738/0001047469-11-009738-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746912010732/0001047469-12-010732-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746913010895/0001047469-13-010895-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746914009586/0001047469-14-009586-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746915008958/0001047469-15-008958-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746916016935/0001047469-16-016935-index.html,https://www.sec.gov/Archives/edgar/data/46765/000155837017009052/0001558370-17-009052-index.html,https://www.sec.gov/Archives/edgar/data/46765/000155837018009412/0001558370-18-009412-index.html,https://www.sec.gov/Archives/edgar/data/46765/000004676519000019/0000046765-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/46765/000004676520000032/0000046765-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/46765/000004676521000044/0000046765-21-000044-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,29400000,19700000,16900000,28000000,24500000,21800000,108087000,122962000,46883000,38189000,65296000,288752000,33853000,89215000,121513000,141486000,63020000,364246000,96095000,447868000,360909000,717977000,905561000,521375000,284355000,347943000,487884000,917534000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48673000,352000,- -,12500000,- -,- -,- -,- -,- -,45543000,44148000,44491000,41461000,52960000,89335000,198700000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,29400000,19700000,16900000,28000000,24500000,21800000,108087000,122962000,46883000,38189000,65296000,288752000,82526000,89567000,121513000,153986000,63020000,364246000,96095000,447868000,360909000,763520000,949709000,565866000,325816000,400903000,577219000,1116234000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,68900000,59300000,75400000,98700000,119400000,99600000,106630000,147235000,92604000,91088000,133262000,162646000,289479000,339819000,462833000,246790000,457659000,460540000,620489000,621420000,705214000,449344000,375169000,477074000,565202000,497753000,194990000,233407000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,21300000,16900000,19600000,25400000,25200000,25598000,28934000,22511000,22533000,20826000,21313000,26165000,29145000,33098000,44723000,43402000,54407000,78777000,88866000,106241000,128729000,124325000,137204000,158134000,149653000,104180000,84057000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,14700000,5200000,11700000,15000000,14000000,24829000,32281000,16753000,45721000,26502000,27086000,30521000,40433000,73203000,77433000,88723000,77120000,99867000,100057000,105002000,97414000,123483000,55123000,66398000,66777000,86938000,152868000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,122900000,115000000,114400000,158000000,184300000,160600000,265144000,331412000,178751000,197531000,245886000,499797000,428691000,498964000,690647000,522932000,652804000,956313000,895228000,1258211000,1277366000,1439007000,1572686000,1235267000,1115550000,1115086000,963327000,1586566000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,400700000,423800000,463500000,539000000,692400000,691200000,673605000,818404000,897445000,1058205000,998674000,981965000,1483134000,2152616000,2682251000,3265907000,3275020000,3677070000,4351571000,4676103000,5188544000,55902000,59173000,49851000,4857382000,4502084000,3675123000,2745579000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51705000,64777000,82786000,45653000,45653000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50785000,73207000,86716000,81027000,73838000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102490000,137984000,169502000,126680000,119491000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,218000000,223000000,199000000,356404000,320712000,347924000,451144000,316154000,236644000,104354000,84955000,84026000,98696000,31991000,31585000,135444000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,101200000,171400000,244000000,336600000,213700000,257900000,320743000,214691000,151117000,160099000,162284000,3588000,4887000,10789000,16147000,15781000,16834000,22584000,23142000,14359000,19307000,5552749000,5115205000,4968354000,5255000,20852000,32906000,447048000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,501900000,595200000,707500000,875600000,906100000,949100000,994348000,1033095000,1048562000,1218304000,1160958000,1163553000,1706021000,2386405000,2897398000,3638092000,3612566000,4047578000,4825857000,5006616000,5444495000,5713005000,5259333000,5204721000,5099317000,4724429000,3866294000,3447562000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,624800000,710200000,821900000,1033600000,1090400000,1109700000,1259492000,1364507000,1227313000,1415835000,1406844000,1663350000,2134712000,2885369000,3588045000,4161024000,4265370000,5003891000,5721085000,6264827000,6721861000,7152012000,6832019000,6439988000,6214867000,5839515000,4829621000,5034128000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,22600000,26400000,25600000,42600000,41900000,25700000,32279000,67595000,41045000,29630000,28012000,44854000,138750000,124556000,153851000,70218000,80534000,103852000,159420000,144379000,182031000,110704000,95422000,135628000,132664000,123146000,36468000,71996000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000,5000000,5000000,44800000,5000000,- -,- -,- -,30000000,- -,- -,28721000,- -,26733000,105000000,- -,115000000,40000000,115000000,40000000,39094000,- -,- -,- -,- -,11364000,496110000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44934000,- -,37167000,38328000,53149000,38992000,31443000,43649000,58058000,69843000,39762000,26210000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6438000,- -,11280000,23898000,21247000,60857000,52604000,35721000,30189000,40163000,14971000,13208000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,21500000,32000000,47600000,38800000,41200000,46615000,53626000,31854000,28988000,31891000,44627000,97077000,102056000,128373000,126688000,145666000,197877000,170464000,168996000,264248000,140573000,182094000,173036000,214315000,246929000,156333000,284992000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,46700000,69600000,62600000,95200000,125500000,71900000,78894000,121221000,72899000,88618000,59903000,89481000,264548000,226612000,308957000,301906000,232638000,416729000,381164000,452273000,507526000,351228000,330120000,344385000,377168000,410238000,219136000,866306000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,50000000,50000000,50000000,100000000,200000000,200000000,200000000,175000000,445000000,475000000,420000000,360000000,235000000,195000000,80000000,40000000,492443000,491847000,492902000,493968000,479356000,480727000,579861000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6766000,9848000,3818000,39469000,24781000,7689000,2738000,9471000,2955000,1003000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,44500000,66000000,98300000,141300000,103500000,116600000,156650000,144439000,131401000,181737000,194573000,246975000,269919000,363534000,479963000,681542000,771383000,975280000,1221224000,1222981000,1215259000,1295065000,1342456000,1332689000,853136000,806611000,650675000,563437000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,12200000,15000000,16500000,18300000,23100000,18245000,22370000,27843000,28229000,38258000,47656000,43353000,34707000,58651000,74567000,93884000,106835000,81933000,55998000,64281000,76355000,81890000,97732000,105122000,121616000,157614000,110903000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,53800000,78200000,113300000,157800000,171800000,189700000,224895000,216809000,259244000,409966000,432831000,494631000,488272000,843241000,1013614000,1176109000,1225267000,1317115000,1504923000,1368827000,1323358000,1903332000,1940974000,1931012000,1454964000,1417054000,1291971000,1255204000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45250000,50488000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100500000,147800000,175900000,253000000,297300000,261600000,303789000,338030000,332143000,498584000,492734000,584112000,752820000,1069853000,1322571000,1478015000,1457905000,1733844000,1886087000,1821100000,1830884000,2254560000,2271094000,2275397000,1832132000,1827292000,1511107000,2121510000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,5353000,5353000,5353000,5353000,5353000,5353000,10706000,10706000,10706000,10706000,10706000,10724000,10760000,10874000,11051000,11099000,11140000,11196000,11201000,11208000,11215000,11222000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,496300000,495700000,557500000,629600000,716900000,746000000,813885000,943105000,838929000,840776000,828763000,939380000,1215127000,1645766000,2082518000,2414942000,2547917000,2954210000,3505295000,4102663000,4525797000,4649952000,4289807000,3855686000,4027779000,3714307000,3010012000,2573375000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-542500000,-587000000,-606900000,-621900000,-686200000,-757100000,-806785000,-868163000,-541877000,33658000,36252000,47410000,69645000,75885000,38407000,112451000,84107000,98908000,166807000,132530000,83126000,-1377000,-204000,2300000,16550000,-28635000,-26188000,-20244000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,570500000,653700000,695400000,772900000,762400000,853800000,943250000,946182000,592765000,37464000,43742000,87095000,86414000,83159000,133843000,144910000,164735000,206205000,152136000,197660000,271003000,237778000,260182000,295409000,327205000,315343000,323475000,348265000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,524300000,562400000,646000000,780600000,793100000,848100000,955703000,1026477000,895170000,917251000,914110000,1079238000,1381892000,1815516000,2265474000,2683009000,2807465000,3270047000,3834998000,4443727000,4890977000,4897452000,4560925000,4164591000,4382735000,4012223000,3318514000,2912618000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,624800000,710200000,821900000,1033600000,1090400000,1109700000,1259492000,1364507000,1227313000,1415835000,1406844000,1663350000,2134712000,2885369000,3588045000,4161024000,4265370000,5003891000,5721085000,6264827000,6721861000,7152012000,6832019000,6439988000,6214867000,5839515000,4829621000,5034128000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,624800000,710200000,821900000,1033600000,1090400000,1109700000,1259492000,1364507000,1227313000,1415835000,1406844000,1663350000,2134712000,2885369000,3588045000,4161024000,4265370000,5003891000,5721085000,6264827000,6721861000,7152012000,6832019000,6439988000,6214867000,5839515000,4829621000,5034128000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/46765/000095013494001530/0000950134-94-001530-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013495003420/0000950134-95-003420-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013496007092/0000950134-96-007092-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013497009511/0000950134-97-009511-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013498009926/0000950134-98-009926-index.html,https://www.sec.gov/Archives/edgar/data/46765/000095013499011418/0000950134-99-011418-index.html,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013401509830/0000950134-01-509830-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/46765/000095013404019175/d20886e10vk.htm,https://www.sec.gov/Archives/edgar/data/46765/000120677405002004/d18056.htm,https://www.sec.gov/Archives/edgar/data/46765/000104746906014971/a2175096z10-k.htm,https://www.sec.gov/Archives/edgar/data/46765/000104746907009574/0001047469-07-009574-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746908012608/0001047469-08-012608-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746909010426/0001047469-09-010426-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746910010040/0001047469-10-010040-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746911009738/0001047469-11-009738-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746912010732/0001047469-12-010732-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746913010895/0001047469-13-010895-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746914009586/0001047469-14-009586-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746915008958/0001047469-15-008958-index.html,https://www.sec.gov/Archives/edgar/data/46765/000104746916016935/0001047469-16-016935-index.html,https://www.sec.gov/Archives/edgar/data/46765/000155837017009052/0001558370-17-009052-index.html,https://www.sec.gov/Archives/edgar/data/46765/000155837018009412/0001558370-18-009412-index.html,https://www.sec.gov/Archives/edgar/data/46765/000004676519000019/0000046765-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/46765/000004676520000032/0000046765-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/46765/000004676521000044/0000046765-21-000044-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,22700000,47600000,21200000,10800000,24600000,25000000,9800000,72500000,84200000,101200000,42800000,82300000,144254000,63517000,17873000,4359000,127606000,293858000,449261000,461738000,353545000,156312000,434186000,581045000,736639000,708719000,422225000,-56828000,-128212000,482672000,-33656000,-494497000,-326150000
74,Depreciation and Amortization,- -,- -,- -,- -,41700000,41600000,40300000,47700000,48600000,50100000,77100000,61100000,72500000,89800000,110700000,112386000,88787000,62569000,82693000,94435000,96300000,101583000,146042000,210766000,236437000,262658000,315468000,387549000,455623000,523549000,606992000,598587000,585543000,583802000,562803000,481885000,419726000
75,Deferred Income Tax,- -,- -,- -,- -,-1200000,-1700000,1500000,-2900000,5600000,3700000,-1700000,-2700000,7500000,-1200000,600000,21133000,21641000,24133000,41225000,8257000,54571000,7994000,88401000,129591000,158153000,105691000,187651000,196931000,29557000,27124000,131580000,60088000,-24111000,-486758000,-44554000,-157555000,-89752000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8348000,15855000,12101000,18078000,23271000,26703000,25195000,24383000,26183000,31687000,34292000,36329000,27858000
77,Change in Working Capital,- -,- -,- -,- -,3700000,- -,- -,- -,- -,76200000,-30800000,6400000,11000000,-4000000,29900000,97550000,23941000,-104339000,3061000,77070000,224333000,-246173000,108209000,109338000,-160664000,199140000,119418000,-25520000,291874000,-36098000,317939000,154787000,-351684000,-152500000,-33534000,39343000,37614000
