,https://roic.ai/company/SGC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,21800000,22100000,23600000,25200000,26000000,27800000,27900000,29200000,32600000,31400000,33900000,36700000,37300000,41500000,45400000,48852728,40682374,40640473,38616045,38524803,37610557,35812406,33784794,34263750,30402389,31696430,34646000,33886000,43873000,50724000,52018000,66396000,71816000,97095000,109244000,137470000,- -
11,COGS and Expenses,90100000,88400000,94600000,100500000,101200000,108200000,103900000,112300000,117400000,117800000,121400000,126200000,129100000,143600000,152100000,153889311,141380846,135861486,124823951,134804587,131207385,123687442,114622386,117666331,99985432,100107813,106760000,113609000,142811000,178236000,190902000,232010000,242278000,321748000,357016000,475402000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321126,119607,23041,27000,30000,195000,484000,519000,688000,802000,3207000,4399000,2003000,1220000
14,Depreciation and Amortization,1100000,1200000,1300000,1700000,1600000,1900000,2100000,2200000,2500000,2900000,3700000,4400000,4400000,4500000,4200000,4868004,4772846,4217197,3602074,3489772,3936752,3810767,3358646,3235980,2947911,2554137,2982000,2300000,2582000,3839000,3873000,4935000,5653000,7906000,8272000,8132000,9291000
15,EBITDA,8300000,8000000,9800000,12900000,13000000,15700000,14900000,18100000,14600000,19200000,12400000,18300000,18800000,17000000,18500000,16521329,14974552,7810282,12405984,11628459,5430937,7368034,7717974,7540879,5764400,8324178,8595000,6951000,11267000,21852000,23288000,25521000,31237000,32508000,27957000,61591000,43638000
16,EBITDA ratio,0.0843,0.0832,0.0944,0.1148,0.1142,0.1276,0.1268,0.1406,0.1122,0.1421,0.0917,0.1294,0.1300,0.1058,0.1101,0.0985,0.0977,0.0539,0.0924,0.0810,0.0407,0.0577,0.0641,0.0609,0.0561,0.0786,0.0765,0.0582,0.0744,0.1113,0.1107,0.1010,0.1171,0.0939,0.0742,0.1169,0.0813
17,Operating Income,8400000,7800000,9200000,11900000,12600000,14800000,13600000,16400000,12700000,17300000,13800000,15200000,15500000,17100000,15900000,13821088,11824722,9137768,9500414,8762886,2104966,4008293,5835505,6078870,2816489,5770041,5613000,5877000,8685000,18013000,19415000,20586000,24536000,24602000,19685000,51295000,33127000
18,Operating Income ratio,0.0853,0.0811,0.0886,0.1059,0.1107,0.1203,0.1157,0.1274,0.0976,0.1281,0.1021,0.1075,0.1072,0.1064,0.0946,0.0824,0.0772,0.0630,0.0707,0.0610,0.0158,0.0314,0.0484,0.0491,0.0274,0.0545,0.0499,0.0492,0.0573,0.0918,0.0923,0.0815,0.0920,0.0710,0.0523,0.0974,0.0617
19,Total Other Income Expenses (Gains),-1200000,-1000000,-700000,-700000,-1200000,-1000000,-800000,-500000,-600000,-1000000,-5100000,-1300000,-1100000,-4600000,-1600000,-2167763,-1623016,-853081,-696504,-624199,-610781,-451026,-329674,-1938537,-119607,-23041,-27000,-1256000,-195000,-484000,-519000,-688000,246000,-3207000,-4399000,161000,- -
20,Income Before Tax,7200000,6800000,8500000,11200000,11400000,13800000,12800000,15900000,12100000,16300000,8700000,13900000,14400000,12500000,14300000,11653325,10201706,8284687,8803910,8138687,1494185,3557267,5505831,4140333,2696882,5747000,5586000,4621000,8490000,17529000,18896000,19898000,24782000,21395000,15286000,51456000,33127000
21,Income Before Tax Ratio,0.0731,0.0707,0.0819,0.0996,0.1002,0.1122,0.1089,0.1235,0.0930,0.1207,0.0643,0.0983,0.0996,0.0778,0.0851,0.0695,0.0666,0.0571,0.0655,0.0567,0.0112,0.0279,0.0457,0.0335,0.0262,0.0543,0.0497,0.0387,0.0560,0.0893,0.0898,0.0788,0.0929,0.0618,0.0406,0.0977,0.0617
22,Income Tax expense (Gain),3200000,3200000,3600000,4100000,4200000,5100000,4800000,6000000,4400000,6200000,4900000,5200000,5200000,4600000,5200000,4250000,3730000,3000000,3100000,2760000,250000,1360000,1810000,1850000,730000,1940000,1450000,1590000,2640000,6180000,5830000,5260000,9760000,4420000,3220000,10430000,5887000
23,Net Income,4000000,3600000,4900000,7100000,7200000,8700000,8000000,9900000,7700000,10100000,3800000,8700000,9200000,7900000,9100000,7403325,6471706,593085,5703910,5378687,1244185,2197267,2549328,2133773,1966882,3807000,4136000,3031000,5850000,11349000,13066000,14638000,15022000,16975000,12066000,41026000,27240000
24,Net Income ratio,0.0406,0.0374,0.0472,0.0632,0.0633,0.0707,0.0681,0.0769,0.0592,0.0748,0.0281,0.0615,0.0636,0.0492,0.0542,0.0441,0.0422,0.0041,0.0425,0.0375,0.0093,0.0172,0.0212,0.0172,0.0191,0.0360,0.0368,0.0254,0.0386,0.0578,0.0621,0.0580,0.0563,0.0490,0.0320,0.0779,0.0507
25,EPS,0.05,0.05,0.06,0.09,0.10,0.13,0.12,0.57,0.45,0.58,0.23,0.54,0.57,0.51,0.58,0.52,0.46,0.04,0.40,0.36,0.09,0.16,0.19,0.17,0.17,0.32,0.34,0.25,0.47,0.42,0.95,1.04,1.04,1.14,0.81,2.72,1.75
26,EPS Diluted,0.05,0.05,0.06,0.09,0.10,0.13,0.12,0.57,0.45,0.58,0.23,0.54,0.57,0.50,0.58,0.52,0.46,0.04,0.39,0.35,0.09,0.16,0.19,0.17,0.17,0.32,0.34,0.24,0.46,0.41,0.90,0.98,0.99,1.10,0.79,2.65,1.69
27,Weighted Average Shares Outstanding,19448000,19520000,19720000,18136000,17696000,16880000,17158000,17217391,17303371,17264957,16888889,16261682,16000000,15643564,15555556,14375388,14223530,14827125,14440278,14940797,14637471,13662546,13417516,12945510,11920497,11828100,11974124,12123382,12523176,13514566,13753684,14082243,14510156,14937786,14945165,15075134,15528534
28,Weighted Average Shares Outstanding Diluted,19448000,19520000,19720000,18136000,17696000,16880000,17158000,17217391,17303371,17380952,16888889,16261682,16140351,15800000,15555556,14375388,14223530,14827125,14625410,15151231,14637471,13739812,13417516,12953840,11920497,11939676,12189828,12285994,12687208,13514566,14517778,14897489,15118768,15472133,15266408,15508420,16099850
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95574/000095014499003122/0000950144-99-003122-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95574/000102140803004278/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312504042348/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312505052469/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312506052184/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312507053528/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312508043085/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312509040742/0001193125-09-040742-index.html,https://www.sec.gov/Archives/edgar/data/95574/000119312510042475/0001193125-10-042475-index.html,https://www.sec.gov/Archives/edgar/data/95574/000119312511046657/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312512077267/0001193125-12-077267-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774913002849/0001437749-13-002849-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774914003074/sgc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774915003455/sgc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774916026016/0001437749-16-026016-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774917003024/0001437749-17-003024-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774918003029/0001437749-18-003029-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774919003013/0001437749-19-003013-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774920003101/0001437749-20-003101-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774921004782/0001437749-21-004782-index.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774922006982/0001437749-22-006982-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,700000,500000,700000,400000,900000,6400000,2600000,3000000,11200000,5400000,4700000,8900000,500000,3000000,188288,3214592,7470719,14915079,150563,3220174,3920276,769715,133152,6365557,9107461,2804000,3554000,5316000,4586000,1036000,3649000,8130000,5362000,9038000,5172000,8935000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,600000,700000,500000,700000,400000,900000,6400000,2600000,3000000,11200000,5400000,4700000,8900000,500000,3000000,188288,3214592,7470719,14915079,150563,3220174,3920276,769715,133152,6365557,9107461,2804000,3554000,5316000,4586000,1036000,3649000,8130000,5362000,9038000,5172000,8935000
34,Net Receivables,17600000,16400000,16000000,18600000,18500000,19300000,18200000,20300000,20900000,23400000,24800000,23300000,25600000,32500000,30700000,31379396,24601519,20413202,24419287,25263744,25706970,25692752,18670466,17464279,17944529,17797270,19687000,19650000,26868000,32091000,33176000,44908000,52417000,114997000,119362000,142489000,107053000
35,Inventory,24100000,24400000,29000000,30600000,32500000,33900000,33900000,38900000,39600000,41000000,41100000,44100000,42500000,50800000,46100000,57910294,48093159,42655934,36380470,45741410,37186779,33251964,46463662,43410146,32053504,31029947,41208000,39246000,49486000,58282000,63573000,69240000,64979000,67301000,73379000,89766000,120555000
36,Other Current Assets,600000,600000,400000,600000,400000,400000,700000,400000,700000,900000,1100000,1300000,1100000,1900000,1900000,1449697,3561501,3270339,2156065,2632918,2765979,2807564,4083590,2590350,2764434,4030708,2525000,2794000,6012000,4497000,6214000,7214000,11011000,9552000,9934000,11030000,62252000
37,Total Current Assets,42900000,42100000,45900000,50500000,51800000,54500000,59200000,62200000,64200000,76500000,72400000,73400000,78100000,85700000,81700000,90927675,79470771,73810194,77870901,73788635,68879902,65672556,69987433,63597927,59128024,61965386,66224000,65244000,87682000,99456000,103999000,125011000,136537000,197212000,211713000,248457000,298795000
38,PP&E,10800000,11400000,11500000,12500000,13600000,13100000,13500000,16600000,20900000,26200000,30700000,29000000,26800000,27900000,29500000,27648843,22108935,20059164,18289436,22062359,18079292,15393879,13320218,12587454,10868296,9463884,8412000,8723000,13160000,16285000,22524000,27533000,26844000,28769000,38270000,40470000,57936000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7806492,- -,- -,- -,- -,1617411,1617411,- -,- -,- -,- -,- -,4135000,4135000,4135000,11269000,16032000,33961000,36292000,36116000,39434000
40,Intangible Assets,900000,900000,900000,900000,900000,900000,800000,800000,800000,800000,800000,800000,800000,2800000,8600000,8225098,- -,741929,741929,3105903,2867744,1012175,774016,535857,1295859,911225,2749000,559000,18353000,16288000,14222000,23238000,29061000,66312000,62536000,58746000,60420000
41,Intangible Assets,900000,900000,900000,900000,900000,900000,800000,800000,800000,800000,800000,800000,800000,2800000,8600000,8225098,7806492,741929,741929,3105903,2867744,2629586,2391427,535857,1295859,911225,2749000,559000,22488000,20423000,18357000,34507000,45093000,100273000,98828000,94862000,99854000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2610000,2060000,1680000,3455000,4205000,2009000,3636000,4980000,6800000,2900000,- -,- -,- -,- -
44,Other Non-Current Assets,500000,400000,600000,600000,700000,700000,1000000,1000000,1300000,1400000,2200000,2500000,2700000,2600000,3100000,3237588,3528365,5215665,6071667,7322229,7434119,1462753,2204434,260039,215684,173403,107000,182000,155000,137000,1940000,2997000,7564000,8832000,10122000,10135000,13186000
45,Total Non-Current Assets,12200000,12700000,13000000,14000000,15200000,14700000,15300000,18400000,23000000,28400000,33700000,32300000,30300000,33300000,41200000,39111529,33443792,26016758,25103032,32490491,28381155,19486218,17916079,15993350,14439839,12228512,14723000,13669000,37812000,40481000,47801000,71837000,82401000,137874000,147220000,145467000,170976000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55100000,54800000,58900000,64500000,67000000,69200000,74500000,80600000,87200000,104900000,106100000,105700000,108400000,119000000,122900000,130039204,112914563,99826952,102973933,106279126,97261057,85158774,87903512,79591277,73567863,74193898,80947000,78913000,125494000,139937000,151800000,196848000,218938000,335086000,358933000,393924000,469771000
48,Accounts Payable,- -,- -,- -,- -,7600000,6900000,6700000,6600000,7100000,7500000,6600000,6400000,6800000,10700000,9000000,8970663,6801799,5191993,5400401,7177596,6046575,5025981,6635412,4626789,5426433,5103768,5941000,6629000,8363000,9706000,11775000,13507000,19752000,24685000,33271000,39327000,52340000
49,Short-Term Debt,800000,800000,800000,700000,1000000,1000000,1300000,1000000,800000,600000,600000,2300000,2300000,2300000,3200000,4224950,2698481,1104080,1179021,1593807,1683029,1777734,1551202,650604,- -,- -,- -,- -,1750000,2375000,2750000,5893000,6000000,6000000,15286000,16410000,15286000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,670000,473000,437000,1821000,5074000,- -
52,Other Current Liabilities,9800000,7900000,11700000,11700000,3300000,3400000,3400000,3300000,3200000,4100000,10100000,4400000,5300000,5700000,6800000,3371489,4852931,5825422,5078982,3761660,3182159,2457839,2549680,2518956,2226653,3713038,4499000,3222000,7768000,10184000,10094000,11834000,14997000,15271000,18978000,44061000,43496000
53,Total Current Liabilities,10600000,8700000,12500000,12400000,11900000,11300000,11400000,10900000,11100000,12200000,17300000,13100000,14400000,18700000,19000000,16567102,14353211,12121495,11658404,12533063,10911763,9261554,10736294,7796349,7653086,8816806,10440000,9851000,17881000,22265000,24619000,31904000,41222000,46393000,69356000,104872000,111122000
54,Long-Term Debt,9700000,8400000,4100000,10400000,9400000,8900000,7100000,5000000,4200000,18600000,18000000,15700000,13500000,17600000,19500000,29530239,13549147,7445068,6266047,5662569,3979540,2201806,2445604,3379000,- -,- -,640000,- -,24500000,22660000,21200000,36227000,32933000,111522000,104003000,73971000,104574000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1100000,1300000,1600000,1400000,1400000,1300000,1300000,1700000,1000000,900000,1300000,2600000,2400000,2300000,1700000,2300000,2250000,150000,165000,1015000,845000,485000,750000,- -,- -,- -,- -,70000,130000,191000,- -,- -,- -,8475000,7042000,450000,2085000
57,Other Non-Current Liabilities,- -,-100000,100000,- -,- -,- -,- -,-100000,2300000,2300000,- -,100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,1108223,1526184,7721055,5795817,4277470,8821000,11204000,11048000,14409000,13291000,18167000,19815000,17775000,20978000,23001000,27200000
58,Total Non-Current Liabilities,10800000,9600000,5800000,11800000,10800000,10200000,8400000,6600000,7500000,21800000,19300000,18400000,15900000,19800000,21200000,31830239,15799147,7595068,6431047,6677569,4824540,3795029,4721788,11100055,5795817,4277470,9461000,11274000,35678000,37260000,34491000,54394000,52748000,137772000,132023000,97422000,133859000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3726000,2723000,- -
61,Total Liabilities,21400000,18300000,18300000,24200000,22700000,21500000,19800000,17500000,18600000,34000000,36600000,31500000,30300000,38500000,40200000,48397341,30152358,19716563,18089451,19210632,15736303,13056583,15458082,18896404,13448903,13094276,19901000,21125000,53559000,59525000,59110000,86298000,93970000,184165000,201379000,202294000,244981000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7123,7033,7131,7371,7437,7202,6605,6670,6056,5915,5960,6000,6000,6000,13000,14000,15000,15000,15000,15000,15000,16000
64,Retained Earnings,28600000,31300000,35100000,35200000,39200000,42500000,48700000,54300000,59600000,60800000,59600000,64400000,68100000,69800000,72400000,71883890,73767383,70387185,71883888,72126195,66378323,57753587,56178511,50641401,48483697,48402710,48590000,44451000,49315000,56843000,65392000,74283000,83129000,103032000,107581000,141972000,161636000
65,Other Comprehensive Income/Loss,-7800000,-8600000,-9700000,-11100000,-12600000,-13500000,-14500000,-15800000,-17600000,-19800000,-20300000,-23500000,-27400000,-30300000,-30300000,-34073347,-37077972,-39761227,-37233724,-37643412,-36892492,-1000000,-1000000,-5000000,-4000000,-4000000,-7000000,-8000000,-3000000,-6000000,-7000000,-6000000,-7000000,-8000000,-7000000,-12201000,- -
66,Other Total Stockholders Equity,12900000,13800000,15200000,16200000,17700000,18700000,20500000,24600000,26600000,29900000,30200000,33300000,37400000,41000000,40600000,43824197,46065761,49477300,50226947,52578274,52031721,15341999,17260249,15047416,15629348,16690952,19450000,21331000,25614000,29556000,34284000,42252000,48824000,55874000,56958000,61844000,63138000
67,Total Stockholders Equity,33700000,36500000,40600000,40300000,44300000,47700000,54700000,63100000,68600000,70900000,69500000,74200000,78100000,80500000,82700000,81641863,82762205,80110389,84884482,87068494,81524754,72102191,72445430,60694873,60118960,61099622,61046000,57788000,71935000,80412000,92690000,110550000,124968000,150921000,157554000,191630000,224790000
68,Total Liabilities And Stockholders Equity,55100000,54800000,58900000,64500000,67000000,69200000,74500000,80600000,87200000,104900000,106100000,105700000,108400000,119000000,122900000,130039204,112914563,99826952,102973933,106279126,97261057,85158774,87903512,79591277,73567863,74193898,80947000,78913000,125494000,139937000,151800000,196848000,218938000,335086000,358933000,393924000,469771000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55100000,54800000,58900000,64500000,67000000,69200000,74500000,80600000,87200000,104900000,106100000,105700000,108400000,119000000,122900000,130039204,112914563,99826952,102973933,106279126,97261057,85158774,87903512,79591277,73567863,74193898,80947000,78913000,125494000,139937000,151800000,196848000,218938000,335086000,358933000,393924000,469771000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95574/000095014499003122/0000950144-99-003122-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95574/000102140803004278/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312504042348/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312505052469/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312506052184/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312507053528/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312508043085/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312509040742/0001193125-09-040742-index.html,https://www.sec.gov/Archives/edgar/data/95574/000119312510042475/0001193125-10-042475-index.html,https://www.sec.gov/Archives/edgar/data/95574/000119312511046657/d10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000119312512077267/0001193125-12-077267-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774913002849/0001437749-13-002849-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774914003074/sgc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774915003455/sgc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774916026016/0001437749-16-026016-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774917003024/0001437749-17-003024-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774918003029/0001437749-18-003029-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774919003013/0001437749-19-003013-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774920003101/0001437749-20-003101-index.html,https://www.sec.gov/Archives/edgar/data/95574/000143774921004782/0001437749-21-004782-index.htm,https://www.sec.gov/Archives/edgar/data/95574/000143774922006982/0001437749-22-006982-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,7200000,8700000,8000000,9900000,7700000,10100000,3800000,8700000,9200000,7900000,9100000,7403325,6471706,593085,5703910,5378687,1244185,2197267,2549328,2133773,1966882,3807000,4136000,3031000,5850000,11349000,13066000,14638000,15022000,16975000,12066000,41026000,27240000
74,Depreciation and Amortization,- -,- -,- -,- -,1600000,1900000,2100000,2200000,2500000,2900000,3700000,4400000,4400000,4500000,4200000,4868004,4772846,4217197,3602074,3489772,3936752,3810767,3358646,3235980,2947911,2554137,2982000,2300000,2582000,3839000,3873000,4935000,5653000,7906000,8272000,8132000,9291000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,- -,300000,-600000,-100000,400000,1300000,-200000,-100000,-600000,645000,-50000,460000,15000,850000,-170000,112000,29000,-513000,-365000,505000,-317000,-131000,-249000,1000,-1216000,-1940000,5114000,-665000,-1595000,-4987000,-998000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263146,274793,532220,1005000,893000,788000,1404000,1361000,1638000,1664000,2264000,1484000,2530000,4010000
77,Change in Working Capital,- -,- -,- -,- -,-2400000,3300000,4600000,3500000,1800000,11200000,-9200000,5200000,3400000,3300000,-4300000,11660573,-9243013,-3428861,4523798,-4956925,-3287433,-1557137,2840137,-3449561,-4326640,1673642,2635420,-391000,14408000,7390000,2189000,13727000,2208000,55504000,-8462000,1228000,44088000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1016187,128410,33567,-2129000,-787000,-1569000,-5418000,-2224000,-7244000,-4731000,-4886000,-17104000,-29251000,2260000
79,Inventory,- -,- -,- -,- -,-1900000,-1400000,-100000,-4900000,-800000,-1400000,-100000,-3000000,1600000,-7100000,6400000,-11847255,9817135,5437225,6275464,-7295496,8554631,3934815,-8849134,3053516,12419515,1023557,-10178000,1962000,134000,-8796000,-5291000,-5427000,4250000,3501000,-4984000,-16763000,-21753000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2008623,46634,-322665,837000,688000,1734000,1343000,2069000,87000,3291000,-1344000,10904000,32690000,1007000
81,Other Working Capital,- -,- -,- -,- -,39900000,43200000,47800000,51300000,53100000,64300000,55100000,60300000,63700000,67000000,62700000,74360573,65117560,61688699,66212497,61255572,57968139,56411002,59251139,55801578,51474938,53148580,55784000,55393000,69801000,77191000,79380000,93107000,95315000,150819000,142357000,143585000,187673000
