,https://roic.ai/company/ADI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,148400000,171000000,198000000,219600000,236000000,281500000,300600000,294500000,312600000,277300000,319200000,373700000,387800000,413800000,471900000,694000000,861100000,786300000,750400000,854500000,866800000,954400000,953000000,952200000,780164000,899300000,914500000,917000000,939300000,1077700000,1428421000,1185377000,2005480000,2350807000,2303142000,2139897000,2748355000
11,COGS and Expenses,275800000,294000000,336000000,383800000,409600000,479000000,520300000,541200000,603600000,671700000,783800000,966600000,1010300000,1055900000,1207500000,1810500000,1869200000,1589300000,1673600000,1934500000,1872800000,2021400000,1979900000,1957900000,1676435000,1861400000,1921300000,1877100000,1880600000,2112300000,2604251000,2379613000,4083593000,4325100000,4280457000,4052475000,5541629000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15621000,9837000,9060000,14448000,12753000,12173000,8625000,21221000,30333000,9383000,10229000,4305000,1220000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-7100000,3900000,5100000,3900000,- -,17500000,57600000,70200000,-44458000,-32230000,-224000,-27000,-52000,77000000,41000000,4094000,-600000,-10100000,26422000,27102000,34784000,27030000,88757000,250840000,253589000,229075000,193305000,184825000
14,Depreciation and Amortization,23000000,28400000,33700000,36600000,41500000,46800000,52700000,55000000,59800000,61300000,64100000,83800000,103600000,127600000,142600000,156671000,210490000,238002000,168283000,152630000,155564000,172163000,154783000,153472000,139870000,120911000,118219000,109833000,110416000,141970000,222240000,209790000,584059000,799063000,811251000,810923000,1074634000
15,EBITDA,62100000,60500000,59300000,88200000,77900000,33200000,62100000,73900000,115400000,151100000,227500000,319600000,343400000,241000000,417600000,1079971000,787990000,333944000,517953000,885106000,743237000,835311000,887083000,1121672000,441772000,1022811000,1176119000,949755000,952818000,906054000,1059384000,1255468000,1769646000,2653966000,2526054000,2315845000,2588173000
16,EBITDA ratio,0.1926,0.1809,0.1601,0.2008,0.1718,0.0684,0.1155,0.1303,0.1732,0.1953,0.2416,0.2677,0.2762,0.1958,0.2879,0.4190,0.3461,0.1956,0.2530,0.3361,0.3111,0.3246,0.3484,0.4343,0.2193,0.3704,0.3929,0.3516,0.3618,0.3163,0.3084,0.3669,0.3373,0.4264,0.4216,0.4133,0.3537
17,Operating Income,46600000,40400000,34400000,55400000,43800000,6200000,17400000,26100000,62700000,101800000,157800000,227100000,233400000,157700000,242900000,767097000,407686000,118238000,373709000,699323000,515987000,551806000,566186000,625025000,284817000,900074000,1072025000,824048000,753075000,752484000,830841000,1028112000,1055134000,1881735000,1710608000,1498244000,1692201000
18,Operating Income ratio,0.1445,0.1208,0.0929,0.1261,0.0966,0.0128,0.0324,0.0460,0.0941,0.1316,0.1676,0.1902,0.1877,0.1281,0.1675,0.2976,0.1791,0.0692,0.1825,0.2655,0.2160,0.2144,0.2224,0.2420,0.1414,0.3259,0.3581,0.3051,0.2859,0.2627,0.2419,0.3005,0.2011,0.3023,0.2855,0.2674,0.2312
19,Total Other Income Expenses (Gains),-7500000,-8300000,-8800000,-3800000,-7400000,-19800000,-8000000,-7200000,-7100000,-4900000,1600000,3600000,2500000,-7200000,14600000,98603000,99514000,22162000,8091000,33377000,71713000,110594000,92714000,41075000,12627000,1626000,-10625000,-10548000,62225000,-23184000,-20727000,-71191000,-120387000,-226421000,-224880000,-186627000,-363487000
20,Income Before Tax,39100000,32100000,25600000,51600000,36400000,-13600000,9400000,18900000,55600000,96900000,159400000,230700000,235900000,150500000,257500000,865700000,507200000,140400000,381800000,732700000,587700000,662400000,658900000,666100000,297444000,901700000,1061400000,813500000,815300000,729300000,810114000,956921000,934747000,1655314000,1485728000,1311617000,1328714000
21,Income Before Tax Ratio,0.1213,0.0960,0.0691,0.1175,0.0803,-0.0280,0.0175,0.0333,0.0834,0.1253,0.1693,0.1932,0.1897,0.1223,0.1775,0.3359,0.2228,0.0822,0.1865,0.2782,0.2460,0.2574,0.2588,0.2579,0.1476,0.3265,0.3546,0.3012,0.3096,0.2546,0.2358,0.2797,0.1782,0.2659,0.2480,0.2341,0.1816
22,Income Tax expense (Gain),9400000,8700000,6900000,13600000,8500000,-700000,1200000,4000000,11100000,22400000,40200000,58800000,57700000,31000000,60700000,258600000,150900000,35100000,83600000,162000000,172900000,113700000,158400000,140900000,50036000,190400000,200600000,162300000,141800000,100000000,113236000,95257000,129368000,94334000,122717000,90856000,-61708000
23,Net Income,29700000,23400000,18700000,38000000,27900000,-12900000,8200000,14900000,44500000,74500000,119300000,171900000,178200000,82400000,196800000,607100000,356400000,105300000,298300000,570700000,414800000,549500000,496900000,786300000,247772000,712100000,867400000,651200000,673500000,629300000,696878000,861664000,805379000,1506980000,1363011000,1220761000,1390422000
24,Net Income ratio,0.0921,0.0700,0.0505,0.0865,0.0615,-0.0266,0.0153,0.0263,0.0668,0.0963,0.1267,0.1440,0.1433,0.0670,0.1357,0.2355,0.1565,0.0617,0.1457,0.2167,0.1736,0.2135,0.1952,0.3044,0.1230,0.2579,0.2898,0.2411,0.2557,0.2197,0.2029,0.2518,0.1535,0.2421,0.2275,0.2179,0.1900
25,EPS,0.11,0.09,0.07,0.13,0.10,-0.05,0.03,0.06,0.15,0.26,0.40,0.56,0.57,0.26,0.58,1.71,1.00,0.29,0.82,1.52,1.12,1.53,1.54,2.69,0.85,2.39,2.90,2.18,2.19,2.01,2.23,2.79,2.09,4.02,3.68,3.31,3.50
26,EPS Diluted,0.11,0.09,0.07,0.13,0.10,-0.05,0.03,0.06,0.15,0.24,0.38,0.52,0.52,0.25,0.55,1.59,0.93,0.28,0.78,1.45,1.08,1.48,1.50,2.67,0.85,2.33,2.81,2.13,2.14,1.98,2.20,2.76,2.07,3.97,3.65,3.28,3.46
27,Weighted Average Shares Outstanding,270000000,260000000,267142857,292307692,279000000,258000000,273333333,248333333,296666667,463162000,475918000,456770000,342578000,323148000,336482000,353363000,359113000,364194000,365485000,375031000,371791000,358762000,323255000,292688000,291385000,297387000,299417000,298761000,307763000,313195000,312660000,308736000,346371000,370430000,369133000,368633000,397462000
28,Weighted Average Shares Outstanding Diluted,270000000,260000000,267142857,292307692,279000000,258000000,273333333,248333333,296666667,463162000,475918000,456770000,342578000,355750000,362904000,381157000,381962000,381245000,382227000,392854000,383474000,370964000,332301000,297110000,292698000,305861000,308236000,306191000,314041000,318027000,316872000,312308000,350484000,374938000,372871000,371973000,401288000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013595000029/0000950135-95-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013597000278/0000950135-97-000278-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013501000177/0000950135-01-000177-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013502000307/0000950135-02-000307-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013503000473/b45351ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013503006138/b48618aie10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013504005529/b52531ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013505006610/b57812ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013506007047/b63086ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013507007253/0000950135-07-007253-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013508007596/0000950135-08-007596-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012309065635/0000950123-09-065635-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012310107816/0000950123-10-107816-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012311099928/0000950123-11-099928-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628112000010/0000006281-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628113000040/0000006281-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628114000039/0000006281-14-000039-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628115000044/0000006281-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628116000097/0000006281-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628117000144/0000006281-17-000144-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628118000126/0000006281-18-000126-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/0000006281-19-000144-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628120000156/0000006281-20-000156-index.htm,https://www.sec.gov/Archives/edgar/data/6281/000000628121000294/0000006281-21-000294-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11300000,6300000,5800000,22700000,30100000,8300000,16500000,17700000,80700000,109000000,69000000,210000000,290000000,263300000,356000000,1736000000,1365000000,1614000000,518000000,519000000,628000000,344000000,425000000,594000000,639729000,1070000000,1405000000,529000000,392000000,569000000,884353000,921132000,226160000,148000000,152432000,1055860000,1977964000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,82000000,90000000,51000000,41600000,407000000,499000000,1428000000,1284000000,1599000000,2166000000,2313000000,1785000000,657000000,717000000,1176244000,1618000000,2187000000,3372000000,4291000000,2297000000,2144575000,3134661000,- -,- -,- -,86729000,- -
33,Cash and Short-Term Investments,11300000,6300000,5800000,22700000,30100000,8300000,16500000,17700000,80700000,182000000,151000000,300000000,341000000,304900000,763000000,2235000000,2793000000,2898000000,2117000000,2685000000,2941000000,2129000000,1082000000,1311000000,1815973000,2688000000,3592000000,3901000000,4683000000,2866000000,3028928000,4055793000,226160000,148000000,152432000,1142589000,1977964000
34,Net Receivables,56500000,65600000,76300000,87900000,81700000,97600000,95100000,111700000,145700000,162000000,181000000,242000000,256000000,207400000,267000000,464000000,218000000,228000000,295000000,329000000,321000000,329000000,336000000,315000000,301036000,387000000,348000000,340000000,325000000,397000000,466527000,477609000,688953000,640000000,635136000,737536000,1459056000
35,Inventory,77100000,79100000,83800000,97400000,97500000,107600000,117100000,142500000,150400000,131000000,144000000,219000000,226000000,275100000,249000000,332000000,247000000,306000000,288000000,346000000,326000000,379000000,348000000,315000000,253161000,277000000,295000000,314000000,283000000,368000000,412314000,376555000,550816000,587000000,609886000,608260000,1200610000
36,Other Current Assets,7000000,10700000,10600000,13300000,13700000,18900000,20200000,25100000,26400000,30000000,50000000,59000000,72000000,116100000,100000000,137000000,177000000,192000000,186000000,169000000,144000000,174000000,213000000,149000000,120466000,127000000,151000000,141000000,181000000,181000000,171779000,64906000,885409000,737000000,587672000,29303000,740687000
37,Total Current Assets,151900000,161700000,176500000,221300000,223000000,232400000,248900000,297000000,403200000,505000000,526000000,820000000,895000000,903500000,1379000000,3168000000,3435000000,3624000000,2886000000,3529000000,3732000000,3011000000,1979000000,2090000000,2490636000,3479000000,4386000000,4696000000,5472000000,3812000000,4079548000,4974863000,2351338000,2112000000,1985126000,2517688000,5378317000
38,PP&E,160800000,173200000,186200000,200700000,208700000,223900000,224000000,237400000,248400000,282000000,432000000,583000000,662000000,703400000,643000000,779000000,907942000,780904000,671140000,667779000,599906000,562625000,556939000,567439000,476516000,472665000,478839000,500867000,508171000,622422000,644110000,636116000,1107304000,1154328000,1219989000,1120561000,1979051000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000000,229000000,175000000,163000000,163000000,163000000,256000000,279000000,235000000,250881000,256000000,275000000,284000000,284000000,1642000000,1636526000,1679116000,12217455000,12253000000,12256880000,12278425000,26918470000
40,Intangible Assets,3400000,2800000,2300000,1700000,1100000,25800000,25800000,23400000,21300000,19000000,17000000,17000000,15000000,15800000,31000000,- -,- -,- -,9000000,6000000,4000000,43000000,24000000,12000000,6855000,1000000,12000000,29000000,29000000,671000000,583517000,549368000,5319425000,4778000000,4217224000,3650280000,15267170000
41,Intangible Assets,3400000,2800000,2300000,1700000,1100000,25800000,25800000,23400000,21300000,19000000,17000000,17000000,15000000,15800000,31000000,193000000,229000000,175000000,172000000,169000000,167000000,299000000,303000000,247000000,257736000,257000000,287000000,313000000,313000000,2313000000,2220043000,2228484000,17536880000,17031000000,16474104000,15928705000,42185640000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,68000000,131000000,- -,119000000,218000000,4000000,- -,- -,- -,- -,- -,- -,- -,1485000,1317000,2951000,1816000,3816000,13397000,17482000,21937000,24838000,28730000,30170000,86729000,127856000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,5000000,17000000,21000000,- -,40000000,51000000,51000000,23000000,17000000,11000000,2000000,3000000,10000000,14000000,73646000,2000000,1000000,1000000,6000000,236000000,33280000,36005000,1674683000,927000000,2088212000,1503064000,2267269000
44,Other Non-Current Assets,31600000,31300000,32300000,25700000,19700000,5100000,4600000,4100000,5600000,7000000,8000000,11000000,40000000,239000000,6000000,2000000,258058000,377096000,346860000,343221000,82094000,111375000,123061000,172561000,104275000,117018000,122210000,107317000,79013000,-136819000,67715000,72873000,-1553749000,-803058000,-404960000,311856000,383938000
45,Total Non-Current Assets,195800000,207300000,220800000,228100000,229500000,254800000,254400000,264900000,275300000,311000000,476000000,696000000,869000000,958200000,839000000,1243000000,1450000000,1356000000,1207000000,1191000000,851000000,976000000,993000000,1001000000,913658000,850000000,892000000,924000000,910000000,3048000000,2982630000,2995415000,18789956000,18338000000,19407515000,18950915000,46943754000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,347700000,369000000,397300000,449400000,452500000,487200000,503300000,561900000,678500000,816000000,1002000000,1516000000,1764000000,1861700000,2218000000,4411000000,4885000000,4980000000,4093000000,4720000000,4583000000,3987000000,2972000000,3091000000,3404294000,4329000000,5278000000,5620000000,6382000000,6860000000,7062178000,7970278000,21141294000,20450000000,21392641000,21468603000,52322071000
48,Accounts Payable,- -,- -,- -,- -,26300000,35000000,37400000,43300000,48800000,75000000,100000000,90000000,98000000,59100000,103000000,213000000,80000000,91000000,99000000,127000000,128000000,125000000,159000000,130000000,107334000,133000000,113000000,117000000,120000000,139000000,174247000,171439000,236629000,261000000,225270000,227273000,443434000
49,Short-Term Debt,12700000,9700000,7300000,8400000,8500000,11100000,5800000,2700000,2300000,23000000,2000000,- -,- -,14500000,82000000,16000000,6000000,3745000,- -,- -,- -,- -,- -,- -,- -,- -,14500000,14500000,- -,- -,374839000,- -,300000000,67000000,299667000,- -,569239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121844000,- -,- -,- -,- -,- -,- -,- -,6445000,60421000,6584000,6097000,45490000,62770000,15062000,4100000,86905000,93722000,187879000,182080000,332685000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51345000,110271000,121345000,157951000,121802000,149543000,151730000,175358000,149278000,242848000,233249000,238541000,247428000,278435000,300087000,351538000,473972000,487417000,227000000,1919595000,- -
52,Other Current Liabilities,46600000,50200000,50300000,64400000,28400000,60200000,53800000,53600000,81700000,108000000,152000000,180000000,176000000,247300000,294000000,421000000,390655000,278984000,242655000,282049000,569198000,216457000,237270000,263642000,130001000,267152000,164251000,154959000,203572000,291565000,264657000,259957000,585731000,590583000,756695000,-781882000,1757639000
53,Total Current Liabilities,59300000,59900000,57600000,72800000,63200000,106300000,97000000,99600000,132800000,206000000,254000000,270000000,274000000,320900000,479000000,650000000,528000000,484000000,463000000,567000000,819000000,491000000,548000000,569000000,386613000,643000000,525000000,525000000,571000000,709000000,1113830000,782934000,1596332000,1406000000,1508632000,1364986000,2770312000
54,Long-Term Debt,42900000,29100000,30100000,23000000,12200000,24100000,36800000,70600000,100300000,80000000,80000000,354000000,349000000,310000000,16000000,1213000000,1206000000,1274000000,- -,- -,- -,- -,- -,- -,379626000,401000000,872000000,807000000,872000000,873000000,498497000,1732177000,7551084000,6266000000,5192252000,5145102000,6253212000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7400000,8800000,11200000,11000000,12100000,10900000,11700000,12700000,8500000,- -,- -,- -,- -,31800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36232000,- -,- -,1130000,6037000,235791000,227376000,109931000,1674683000,927065000,2088212000,1919595000,3938830000
57,Other Non-Current Liabilities,300000,900000,900000,1400000,1600000,3200000,3400000,4000000,4900000,8000000,12000000,29000000,53000000,70600000,107000000,245000000,308000000,322000000,342000000,354000000,73000000,60000000,86000000,102000000,72674000,85000000,85000000,121870000,192963000,284209000,149516000,179618000,157655000,861935000,894357000,1040975000,1367175000
58,Total Non-Current Liabilities,50600000,38800000,42200000,35400000,25900000,38200000,51900000,87300000,113700000,88000000,92000000,383000000,402000000,412400000,123000000,1458000000,1514000000,1596000000,342000000,354000000,73000000,60000000,86000000,102000000,488532000,486000000,957000000,930000000,1071000000,1393000000,875389000,2021726000,9383422000,8055000000,8174821000,8105672000,11559217000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52576000
61,Total Liabilities,109900000,98700000,99800000,108200000,89100000,144500000,148900000,186900000,246500000,294000000,346000000,653000000,676000000,733300000,602000000,2108000000,2042000000,2080000000,805000000,921000000,892000000,551000000,634000000,671000000,875145000,1129000000,1482000000,1455000000,1642000000,2102000000,1989219000,2804660000,10979754000,9461000000,9683453000,9470658000,14329529000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,19000000,26000000,27000000,27300000,30000000,60000000,61000000,61000000,62000000,63000000,61000000,57000000,51000000,49000000,48645000,50000000,50000000,50000000,52000000,52000000,52011000,51363000,61441000,62000000,61385000,61582000,87554000
64,Retained Earnings,125100000,148500000,167200000,205100000,233000000,220100000,228300000,243200000,287700000,362000000,481000000,653000000,832000000,914000000,1111000000,1718000000,2074000000,2180000000,2478000000,2974000000,3269000000,3379000000,2253000000,2420000000,2490752000,2897000000,3482000000,3789000000,4056000000,4231000000,4437315000,4785799000,4910939000,5703000000,6899253000,7236238000,7517316000
65,Other Comprehensive Income/Loss,-75000000,-98100000,-129500000,-158600000,-186600000,-228900000,-251600000,-293900000,-343500000,12000000,12000000,14000000,14000000,-664000000,24000000,6000000,-1058000000,-1908000,2966000,3749000,-19264000,-207000,34098000,-48178000,-10248000,-33595000,-26169000,-64394000,-80546000,-168526000,-50851000,-73814000,-61359000,-58440000,-187799000,-249461000,-186565000
66,Other Total Stockholders Equity,187700000,219900000,259800000,294700000,317000000,351500000,377700000,425700000,487800000,135000000,144000000,170000000,215000000,851100000,451000000,520000000,1766000000,660924000,745108000,758823000,380765000,- -,43000,-559000,- -,286312000,289582000,390753000,712122000,643423000,634484000,402270000,5250519000,5281980000,4936349000,4949586000,30574237000
67,Total Stockholders Equity,237800000,270300000,297500000,341200000,363400000,342700000,354400000,375000000,432000000,522000000,656000000,863000000,1088000000,1128400000,1616000000,2304000000,2843000000,2900016000,3288074000,3799572000,3691501000,3435793000,2338141000,2420263000,2529149000,3199717000,3795413000,4165359000,4739576000,4757897000,5072959000,5165618000,10161540000,10988540000,11709188000,11997945000,37992542000
68,Total Liabilities And Stockholders Equity,347700000,369000000,397300000,449400000,452500000,487200000,503300000,561900000,678500000,816000000,1002000000,1516000000,1764000000,1861700000,2218000000,4412000000,4885000000,4980016000,4093074000,4720572000,4583501000,3986793000,2972141000,3091263000,3404294000,4328717000,5277413000,5620359000,6381576000,6859897000,7062178000,7970278000,21141294000,20449540000,21392641000,21468603000,52322071000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-16000,-74000,-572000,-501000,207000,-141000,-263000,- -,283000,587000,-359000,424000,103000,- -,- -,- -,460000,- -,- -,- -
70,Total Liabilities & Equity,347700000,369000000,397300000,449400000,452500000,487200000,503300000,561900000,678500000,816000000,1002000000,1516000000,1764000000,1861700000,2218000000,4411000000,4885000000,4980000000,4093000000,4720000000,4583000000,3987000000,2972000000,3091000000,3404294000,4329000000,5278000000,5620000000,6382000000,6860000000,7062178000,7970278000,21141294000,20450000000,21392641000,21468603000,52322071000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013595000029/0000950135-95-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013597000278/0000950135-97-000278-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6281/000095013501000177/0000950135-01-000177-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013502000307/0000950135-02-000307-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013503000473/b45351ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013503006138/b48618aie10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013504005529/b52531ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013505006610/b57812ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013506007047/b63086ade10vk.htm,https://www.sec.gov/Archives/edgar/data/6281/000095013507007253/0000950135-07-007253-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095013508007596/0000950135-08-007596-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012309065635/0000950123-09-065635-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012310107816/0000950123-10-107816-index.html,https://www.sec.gov/Archives/edgar/data/6281/000095012311099928/0000950123-11-099928-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628112000010/0000006281-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628113000040/0000006281-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628114000039/0000006281-14-000039-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628115000044/0000006281-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628116000097/0000006281-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628117000144/0000006281-17-000144-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628118000126/0000006281-18-000126-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/0000006281-19-000144-index.html,https://www.sec.gov/Archives/edgar/data/6281/000000628120000156/0000006281-20-000156-index.htm,https://www.sec.gov/Archives/edgar/data/6281/000000628121000294/0000006281-21-000294-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,27900000,-12900000,8200000,14900000,44500000,74500000,119300000,171900000,178200000,82400000,196800000,607100000,356400000,105300000,298300000,570700000,414800000,549500000,496900000,786300000,247772000,712100000,867400000,651200000,673500000,629300000,696878000,861664000,805379000,1506980000,1363011000,1220761000,1390422000
74,Depreciation and Amortization,- -,- -,- -,- -,41500000,46800000,52700000,55000000,59800000,61300000,64100000,83800000,103600000,127600000,142600000,156671000,210490000,238002000,168283000,152630000,155564000,172163000,154783000,153472000,139870000,120911000,118219000,109833000,110416000,141970000,222240000,209790000,584059000,799063000,811251000,810923000,1074634000
