,https://roic.ai/company/EAT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.05,0.07,0.08,0.11,0.15,0.18,0.23,0.31,0.37,0.44,0.20,0.36,0.45,0.52,0.78,0.95,1.01,1.13,1.05,1.15,1.62,1.85,0.49,0.77,1.34,1.53,1.87,2.20,2.26,3.05,3.42,2.94,2.72,3.96,0.63,2.83
27,Weighted Average Shares Outstanding,89955022,97451274,101199400,116608362,123347417,144927536,157421289,159376833,167787000,167136750,175279500,168300000,147973500,148333500,147669750,148651500,146793000,145644000,144108000,132795000,128766000,121062000,103101000,101852000,102287000,90807000,78559000,71788000,66251000,63072000,57895000,50638000,45702000,38300000,38200000,45500000
28,Weighted Average Shares Outstanding Diluted,89955022,97451274,101199400,123467678,123347417,144927536,157421289,159376833,168003000,167276250,175581000,168606000,151762500,153276750,151672500,153147000,150847500,148702500,146908500,141343500,130933500,124116000,104897000,102713000,103044000,92320000,80664000,74158000,68152000,64404000,58684000,51250000,46264000,39100000,38900000,46600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703351/000070335194000027/0000703351-94-000027-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335195000016/0000703351-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335196000017/0000703351-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335197000009/0000703351-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335198000014/0000703351-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335199000014/0000703351-99-000014-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335100000013/0000703351-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/703351/000091205701531833/0000912057-01-531833-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335102000022/0000703351-02-000022-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335103000069/form10k03.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335104000063/form10k04_f1.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335105000088/form10k051.htm,https://www.sec.gov/Archives/edgar/data/703351/000110465906056762/a06-18312_110k.htm,https://www.sec.gov/Archives/edgar/data/703351/000104746907006683/0001047469-07-006683-index.html,https://www.sec.gov/Archives/edgar/data/703351/000104746908009621/0001047469-08-009621-index.html,https://www.sec.gov/Archives/edgar/data/703351/000104746909007949/0001047469-09-007949-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312510195848/0001193125-10-195848-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312511235557/0001193125-11-235557-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312512369923/0001193125-12-369923-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335113000009/0000703351-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335114000020/0000703351-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335115000046/0000703351-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335116000098/0000703351-16-000098-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335117000030/0000703351-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335118000036/0000703351-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335119000037/eat2019062610k.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335120000059/0000703351-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335121000031/0000703351-21-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,27100000,7300000,4100000,7100000,6500000,10100000,5500000,3600000,38800000,27100000,23200000,31100000,12600000,12300000,13300000,10100000,33500000,226762000,42300000,55600000,85200000,54700000,94200000,344624000,82000000,59100000,59400000,57700000,55121000,31446000,9064000,10872000,13400000,43900000,23900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2600000,27100000,7300000,4100000,7100000,6500000,10100000,5500000,3600000,38800000,27100000,47700000,31200000,12600000,12300000,13300000,10100000,33500000,226762000,42300000,55600000,85200000,54700000,94200000,344624000,82000000,59100000,59400000,57700000,55121000,31446000,9064000,10872000,13400000,43900000,23900000
34,Net Receivables,2400000,4000000,5000000,4800000,4200000,5400000,5100000,5800000,12600000,18000000,14100000,15300000,18800000,21400000,20400000,31400000,38300000,34600000,37934000,45200000,52500000,49900000,52300000,91100000,45140000,42800000,44400000,42800000,47900000,46588000,45612000,44658000,53659000,69600000,87700000,88200000
35,Inventory,1000000,2700000,3000000,4400000,3500000,4200000,5300000,6500000,8200000,10300000,10800000,13000000,13800000,15000000,16400000,27400000,25200000,24400000,38113000,49500000,40300000,33500000,35500000,36700000,26735000,25400000,25400000,24600000,23600000,23035000,25104000,24997000,24242000,23200000,78900000,81500000
36,Other Current Assets,6200000,5500000,7800000,9700000,8400000,26200000,10400000,13100000,22800000,26900000,36400000,36400000,41700000,54200000,54500000,65100000,68400000,74000000,98111000,103200000,93900000,195600000,312200000,147200000,84568000,71200000,65900000,71800000,81700000,62480000,76280000,65606000,67511000,70800000,13900000,13600000
37,Total Current Assets,12200000,39300000,23100000,23000000,23200000,42300000,30900000,30900000,47200000,94000000,88400000,112400000,105500000,103200000,103600000,137200000,142000000,166500000,400920000,240200000,242300000,364200000,454700000,369200000,501067000,221400000,194800000,198600000,210900000,187224000,178442000,144325000,156284000,177000000,224400000,207200000
38,PP&E,44700000,62900000,79300000,103000000,146400000,189000000,260200000,350400000,434200000,568100000,611200000,749600000,708600000,813400000,888100000,1084700000,1355400000,1499600000,1566846000,1708200000,1792700000,1770600000,1531000000,1400400000,1129077000,1056300000,1043600000,1035800000,1056500000,1032044000,1043152000,1000614000,938929000,755100000,1859900000,1782200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73300000,78300000,76300000,- -,71600000,138100000,193900000,185100000,- -,135800000,145500000,138900000,140400000,130700000,124089000,124100000,125600000,142100000,133400000,132381000,164007000,163953000,163808000,165500000,187600000,188200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56600000,99000000,74200000,99000000,82200000,- -,- -,158068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,16642000,30225000,27512000,23977000,22300000,23000000,21100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73300000,134900000,175300000,74200000,170600000,220300000,193900000,185100000,158068000,135800000,145500000,138900000,140400000,130700000,124089000,124100000,125600000,142100000,152200000,149023000,194232000,191465000,187785000,187800000,210600000,209300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,34700000,70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,12100000,13500000,12900000,7400000,8300000,- -,7700000,12500000,17300000,55100000,- -,56200000,7000000,- -,- -,4300000,44213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,38200000,50900000
44,Other Non-Current Assets,6200000,9100000,24900000,27700000,28100000,35000000,46200000,54000000,65200000,22500000,33000000,-7400000,-8300000,94800000,-7700000,-12400000,74700000,37000000,85957000,15700000,34300000,44300000,67000000,44300000,53658000,82800000,72100000,76100000,71000000,67582000,42624000,67229000,64342000,138400000,22900000,25300000
45,Total Non-Current Assets,50900000,72000000,104200000,130700000,174500000,224000000,306400000,404400000,511500000,638800000,800400000,884500000,883900000,982400000,1058700000,1305100000,1641300000,1776800000,1810871000,1915900000,1979500000,1953800000,1738400000,1579700000,1351037000,1263200000,1241300000,1254000000,1279700000,1248649000,1280008000,1259308000,1191056000,1081300000,2131600000,2067700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63100000,111300000,127300000,153700000,197700000,266300000,337300000,435300000,558700000,732800000,888800000,996900000,989400000,1085600000,1162300000,1442300000,1783300000,1943300000,2211791000,2156100000,2221800000,2318000000,2193100000,1948900000,1852104000,1484600000,1436100000,1452600000,1490600000,1435873000,1458450000,1403633000,1347340000,1258300000,2356000000,2274900000
48,Accounts Payable,- -,- -,- -,10300000,14300000,15300000,24300000,30200000,45000000,34300000,58900000,76600000,97600000,74100000,104500000,89400000,118400000,108100000,96795000,133100000,151200000,167800000,168600000,121500000,112824000,87500000,100500000,93300000,102900000,92947000,95414000,104231000,104662000,97500000,104900000,127700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,- -,14600000,- -,- -,- -,17629000,18099000,1805000,2197000,1761000,1973000,1815000,16866000,22091000,27334000,27596000,27884000,3439000,3563000,9649000,7088000,9700000,129500000,119200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19647000,43674000,33042000,32732000,41109000,47783000,60856000,53330000,33337000,31900000,36200000,46700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7295000,- -,- -,- -,- -,8638000,16100000,71595000,50785000,- -,11524000,2918000,24064000,16170000,2493000,27003000,37029000,33613000,112000000,109900000,106400000
52,Other Current Liabilities,9800000,13600000,18500000,18500000,27300000,24800000,37900000,44700000,58400000,62100000,64500000,79100000,100500000,101400000,126500000,144805000,183800000,184471000,264268000,284995000,335365000,339439000,284032000,234800000,320187000,284485000,270948000,245240000,319146000,319596000,309671000,285452000,288977000,202400000,153600000,218300000
53,Total Current Liabilities,9800000,13600000,18500000,28800000,41600000,40100000,62200000,74900000,103400000,96400000,138400000,155700000,198100000,190100000,231000000,241500000,302200000,310200000,379162000,419900000,497400000,525100000,526200000,408900000,449877000,405600000,401700000,390200000,466100000,418475000,435651000,436361000,434340000,421600000,497900000,571600000
54,Long-Term Debt,10700000,43300000,43100000,40300000,12200000,4800000,4200000,3800000,5700000,103100000,102800000,287500000,147300000,183200000,110300000,231000000,426700000,353800000,639291000,406500000,500500000,826900000,901600000,727400000,524511000,502600000,587900000,780100000,832300000,970825000,1110693000,1319829000,1499624000,1206600000,2270100000,1924600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3800000,5200000,5100000,5900000,7800000,8700000,11500000,8900000,- -,- -,- -,- -,- -,9100000,- -,- -,- -,- -,81902000,- -,- -,- -,- -,- -,- -,11524000,2918000,845000,- -,2493000,- -,- -,- -,- -,12900000,27200000
57,Other Non-Current Liabilities,300000,200000,300000,200000,3700000,5200000,5300000,13000000,32300000,36500000,39500000,30000000,50200000,41800000,58800000,69500000,77300000,139000000,85363000,229400000,148000000,160900000,170200000,165700000,148968000,125976000,133682000,132055000,129100000,122540000,137682000,141124000,131685000,408300000,54200000,54800000
58,Total Non-Current Liabilities,14800000,48700000,48500000,46400000,23700000,18700000,21000000,25700000,38000000,139600000,142300000,317500000,197500000,234100000,169100000,300500000,504000000,492800000,806556000,635900000,648500000,987800000,1071800000,893100000,673479000,640100000,724500000,913000000,961400000,1095858000,1248375000,1460953000,1631309000,1614900000,2337200000,2006600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1191100000,1125900000
61,Total Liabilities,24600000,62300000,67000000,75200000,65300000,58800000,83200000,100600000,141400000,236000000,280700000,473200000,395600000,424200000,400100000,542000000,806200000,803000000,1185718000,1055800000,1145900000,1512900000,1598000000,1302000000,1123356000,1045700000,1126200000,1303200000,1427500000,1514333000,1684026000,1897314000,2065649000,2036500000,2835100000,2578200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,7100000,7200000,7700000,7800000,7800000,7800000,7800000,11800000,11800000,11800000,11750000,11800000,11800000,17600000,17600000,17600000,17625000,17600000,17600000,17600000,17600000,17625000,17625000,17625000,17625000,17600000,7000000,7000000
64,Retained Earnings,12100000,18400000,27200000,41800000,59700000,85200000,120000000,167500000,228000000,300100000,334500000,395000000,464100000,542900000,660800000,802000000,954700000,1123300000,1277298000,1421900000,1608700000,1791300000,1800300000,1834300000,1923561000,2013200000,2112900000,2217600000,2306500000,2431683000,2545716000,2627073000,2683033000,2771200000,-397500000,-266100000
65,Other Comprehensive Income/Loss,-10200000,-18800000,-29300000,-39500000,-52300000,-68000000,-84600000,-112900000,-400000,-1500000,-600000,300000,-337800000,-403900000,-6000000,-6000000,-3800000,-1377000,-613000,700000,773000,-37000,-168000,- -,-970272000,-1033900000,-1076200000,-1147900000,-940000,-8630000,-11594000,-11921000,-5836000,-5600000,-6200000,-4700000
66,Other Total Stockholders Equity,36600000,49400000,62400000,76200000,125000000,190300000,218700000,280100000,182600000,191000000,266600000,120600000,459600000,514600000,99600000,92500000,14400000,6527000,-262362000,-334118000,-545441000,-1003774000,-1222643000,-1204976000,-242166000,-557990000,-744427000,-937943000,-2260066000,-2519138000,-2764846000,-3126458000,-3413131000,-3561400000,-82400000,-39500000
67,Total Stockholders Equity,38500000,49000000,60300000,78500000,132400000,207500000,254100000,334700000,417300000,496800000,608200000,523700000,593700000,661400000,762200000,900300000,977100000,1140250000,1026073000,1100282000,1075832000,805089000,595089000,646924000,728748000,438910000,309873000,149357000,63094000,-78460000,-213099000,-493681000,-718309000,-778200000,-479100000,-303300000
68,Total Liabilities And Stockholders Equity,63100000,111300000,127300000,153700000,197700000,266300000,337300000,435300000,558700000,732800000,888900000,996900000,989300000,1085600000,1162300000,1442300000,1783300000,1943250000,2211791000,2156082000,2221732000,2317989000,2193089000,1948924000,1852104000,1484610000,1436073000,1452557000,1490594000,1435873000,1470927000,1403633000,1347340000,1258300000,2356000000,2274900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,- -,- -,- -,50000,- -,18000,68000,11000,11000,-24000,- -,-10000,27000,43000,6000,- -,-12477000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,63100000,111300000,127300000,153700000,197700000,266300000,337300000,435300000,558700000,732800000,888800000,996900000,989400000,1085600000,1162300000,1442300000,1783300000,1943300000,2211791000,2156100000,2221800000,2318000000,2193100000,1948900000,1852104000,1484600000,1436100000,1452600000,1490600000,1435873000,1458450000,1403633000,1347340000,1258300000,2356000000,2274900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703351/000070335194000027/0000703351-94-000027-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335195000016/0000703351-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335196000017/0000703351-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335197000009/0000703351-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335198000014/0000703351-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335199000014/0000703351-99-000014-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335100000013/0000703351-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/703351/000091205701531833/0000912057-01-531833-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335102000022/0000703351-02-000022-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335103000069/form10k03.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335104000063/form10k04_f1.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335105000088/form10k051.htm,https://www.sec.gov/Archives/edgar/data/703351/000110465906056762/a06-18312_110k.htm,https://www.sec.gov/Archives/edgar/data/703351/000104746907006683/0001047469-07-006683-index.html,https://www.sec.gov/Archives/edgar/data/703351/000104746908009621/0001047469-08-009621-index.html,https://www.sec.gov/Archives/edgar/data/703351/000104746909007949/0001047469-09-007949-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312510195848/0001193125-10-195848-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312511235557/0001193125-11-235557-index.html,https://www.sec.gov/Archives/edgar/data/703351/000119312512369923/0001193125-12-369923-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335113000009/0000703351-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335114000020/0000703351-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335115000046/0000703351-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335116000098/0000703351-16-000098-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335117000030/0000703351-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335118000036/0000703351-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/703351/000070335119000037/eat2019062610k.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335120000059/0000703351-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335121000031/0000703351-21-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,14000000,18100000,26100000,35700000,48900000,61600000,72700000,34400000,60500000,69100000,78800000,117800000,145100000,152700000,168600000,153961000,160200000,212400000,230000000,51700000,79200000,137704000,141100000,151200000,163400000,154000000,194659000,200620000,150823000,125882000,154900000,24400000,131600000
74,Depreciation and Amortization,- -,- -,- -,15100000,17400000,21300000,27300000,36700000,51500000,58600000,64600000,78800000,86400000,82400000,92771000,101371000,138354000,169874000,184767000,195254000,190167000,189032000,165512000,161800000,135832000,128447000,125054000,131481000,136081000,145242000,156368000,156409000,151392000,147600000,162300000,150200000
75,Deferred Income Tax,- -,- -,- -,1500000,2400000,1700000,3600000,-6000000,-2300000,1600000,-8300000,4700000,-1200000,2000000,1985000,3213000,24166000,39194000,3329000,-14852000,-34219000,-18823000,-68064000,47654000,-25516000,15277000,11808000,-4793000,-23041000,13140000,21523000,-22704000,3421000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18054000,15595000,12789000,13461000,15909000,16074000,14802000,15159000,14568000,14245000,16400000,14800000,16400000
