,https://roic.ai/company/ADBE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,700000,1600000,3300000,5600000,11100000,15200000,19000000,26000000,53200000,60435000,55621000,59384000,56264000,50770000,43275000,56645000,63481000,49014000,60808000,64335000,307822000,315464000,270269000,282400000,292738000,270205000,299766000,321227000,313590000,339473000,331535000,325997000,346492000,736669000,757000000,788000000
15,EBITDA,7900000,18500000,39100000,60400000,77400000,98800000,88500000,117000000,93200000,252435000,398621000,420384000,266264000,540770000,523275000,363576000,345481000,430014000,685808000,867335000,1115822000,1262654000,1359288000,987807000,1185738000,1372157000,1486047000,744735000,734322000,1277438000,1837115000,2538040000,3229610000,4095669000,5049000000,6606000000
16,EBITDA ratio,0.4907,0.4707,0.4683,0.4975,0.4588,0.4301,0.3328,0.3732,0.1559,0.3313,0.5065,0.4609,0.2975,0.5328,0.4133,0.2957,0.2966,0.3321,0.4114,0.4412,0.4333,0.3998,0.3797,0.3353,0.3120,0.3255,0.3375,0.1837,0.1771,0.2664,0.3138,0.3476,0.3577,0.3666,0.3924,0.4185
17,Operating Income,6900000,16100000,34200000,51700000,62100000,78000000,74800000,81000000,118700000,134571000,146786000,230756000,125347000,259853000,408083000,378457000,287027000,379447000,591794000,728434000,551293000,857585000,1028271000,690513000,993074000,1099299000,1180191000,422723000,412685000,903095000,1493602000,2168095000,2840369000,3268121000,4237000000,5802000000
18,Operating Income ratio,0.4286,0.4097,0.4096,0.4259,0.3681,0.3396,0.2813,0.2584,0.1986,0.1766,0.1865,0.2530,0.1401,0.2560,0.3223,0.3078,0.2464,0.2930,0.3550,0.3705,0.2141,0.2716,0.2872,0.2344,0.2613,0.2607,0.2680,0.1042,0.0995,0.1883,0.2551,0.2969,0.3145,0.2925,0.3293,0.3676
19,Total Other Income Expenses (Gains),300000,800000,1600000,3100000,4200000,5600000,-5300000,10000000,-78700000,29429000,98214000,65244000,42653000,114147000,35917000,-71526000,-2027000,553000,17206000,37566000,128707000,89605000,50729000,11487000,-50074000,-64299000,-61397000,-66723000,-51685000,-29314000,-58464000,-30454000,-46493000,-63380000,-61000000,-97000000
20,Income Before Tax,7200000,16900000,35800000,54800000,66300000,83600000,69500000,91000000,40000000,164000000,245000000,296000000,168000000,374000000,444000000,306931000,285000000,380000000,609000000,766000000,680000000,947190000,1079000000,702000000,943000000,1035000000,1118794000,356000000,361000000,873781000,1435138000,2137641000,2793876000,3204741000,4176000000,5705000000
21,Income Before Tax Ratio,0.4472,0.4300,0.4287,0.4514,0.3930,0.3640,0.2614,0.2903,0.0669,0.2152,0.3113,0.3246,0.1877,0.3685,0.3507,0.2496,0.2446,0.2934,0.3653,0.3896,0.2641,0.2999,0.3014,0.2383,0.2482,0.2455,0.2541,0.0878,0.0871,0.1822,0.2451,0.2928,0.3094,0.2869,0.3245,0.3614
22,Income Tax expense (Gain),3600000,7900000,14700000,21100000,26200000,32000000,25900000,34000000,33700000,70000000,92000000,109000000,63000000,137000000,156000000,101287000,93000000,114000000,158000000,163000000,174000000,223383000,207000000,315000000,168000000,202000000,286019000,66000000,93000000,244230000,266356000,443687000,203102000,250328000,-1084000000,883000000
23,Net Income,3600000,9000000,21100000,33700000,40100000,51600000,43600000,57000000,6300000,93000000,153000000,187000000,105000000,238000000,288000000,205644000,191000000,266000000,450000000,603000000,506000000,723807000,872000000,387000000,775000000,833000000,832775000,290000000,268000000,629551000,1168782000,1693954000,2590774000,2951458000,5260000000,4822000000
24,Net Income ratio,0.2236,0.2290,0.2527,0.2776,0.2377,0.2246,0.1640,0.1818,0.0105,0.1220,0.1944,0.2050,0.1173,0.2345,0.2275,0.1672,0.1639,0.2054,0.2699,0.3067,0.1965,0.2292,0.2436,0.1314,0.2039,0.1976,0.1891,0.0715,0.0646,0.1313,0.1996,0.2320,0.2869,0.2642,0.4088,0.3055
25,EPS,0.01,0.03,0.07,0.10,0.12,0.14,0.12,0.15,0.01,0.16,0.25,0.31,0.20,0.49,0.60,0.43,0.41,0.57,0.94,1.23,0.85,1.24,1.62,0.74,1.49,1.67,1.68,0.58,0.51,1.26,2.35,3.43,5.28,6.07,10.94,10.02
26,EPS Diluted,0.01,0.03,0.07,0.10,0.12,0.14,0.12,0.15,0.01,0.16,0.25,0.31,0.19,0.46,0.56,0.41,0.40,0.55,0.91,1.19,0.83,1.21,1.59,0.73,1.47,1.65,1.66,0.56,0.50,1.24,2.32,3.38,5.20,6.00,10.83,9.94
27,Weighted Average Shares Outstanding,240000000,300000000,324615385,337000000,348695652,355862069,363333333,367741935,499532635,601944121,608518626,600963215,531464000,483144000,476584000,476922000,473668000,468492000,477658000,489921000,593750000,584203000,539373000,524470000,519045000,497469000,494731000,501372000,497867000,498764000,498345000,493632000,490564000,486291000,481000000,481000000
28,Weighted Average Shares Outstanding Diluted,240000000,300000000,324615385,337000000,348695652,355862069,363333333,367741935,499532635,601944121,608518626,600963215,543792000,516820000,511548000,498290000,486238000,482900000,495626000,508070000,612222000,598775000,548553000,530610000,525824000,503921000,502721000,513476000,508480000,507164000,504299000,501123000,497843000,491572000,485000000,485000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/796343/000091205796002896/0000912057-96-002896-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/796343/000091205701006700/0000912057-01-006700-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000091205702007164/0000912057-02-007164-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000117494703000004/0001174947-03-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746904003345/0001047469-04-003345-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746905002143/0001047469-05-002143-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746906001601/0001047469-06-001601-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000110465907007286/0001104659-07-007286-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746908000497/0001047469-08-000497-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634309000007/0000796343-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634310000003/0000796343-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634311000003/0000796343-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634312000003/0000796343-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634313000008/0000796343-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634314000004/0000796343-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634315000022/0000796343-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634316000224/0000796343-16-000224-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634317000031/0000796343-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634318000015/0000796343-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634319000019/0000796343-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/0000796343-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/0000796343-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12900000,17400000,35200000,13100000,19500000,30300000,47200000,94700000,190100000,58000000,111000000,268000000,111000000,171000000,237000000,218662000,184000000,190000000,376000000,421000000,773000000,946422000,886000000,999000000,750000000,990000000,1425052000,835000000,1117400000,876560000,1012000000,2306000000,1642775000,2650221000,4478000000,3844000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,453000000,235000000,162000000,328000000,443000000,362951000,434000000,907000000,937000000,1280000000,1508000000,1047432000,1133000000,905000000,1718000000,1922000000,2113301000,2339000000,2622091000,3111524000,3750000000,3514000000,1586187000,1526755000,1514000000,1954000000
33,Cash and Short-Term Investments,12900000,17400000,35200000,13100000,19500000,30300000,47200000,94700000,190100000,516000000,564000000,503000000,273000000,499000000,680000000,581613000,618000000,1097000000,1313000000,1701000000,2281000000,1993854000,2019000000,1904000000,2468000000,2912000000,3538353000,3174000000,3739491000,3988084000,4762000000,5820000000,3228962000,4176976000,5992000000,5798000000
34,Net Receivables,3600000,7500000,14600000,24000000,31300000,37900000,48900000,49800000,96600000,133000000,127000000,131000000,141000000,79000000,160000000,142405000,147000000,174000000,167000000,205000000,409000000,362811000,513000000,411000000,554000000,634000000,617233000,600000000,591800000,672006000,833000000,1218000000,1315578000,1598709000,1398000000,1878000000
35,Inventory,- -,500000,1100000,1500000,4000000,3900000,4800000,4100000,9600000,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,100000,600000,38700000,54300000,89500000,123500000,155700000,236100000,37000000,46000000,45000000,42000000,45000000,38000000,43346000,49000000,58000000,71000000,103000000,194000000,216312000,203000000,159000000,194000000,225000000,175774000,272000000,271037000,161802000,245000000,210000000,312499000,719240000,756000000,993000000
37,Total Current Assets,16600000,25500000,51500000,77300000,109100000,161600000,224400000,304300000,532400000,693000000,737000000,679000000,456000000,623000000,878000000,767364000,814000000,1329000000,1551000000,2009000000,2884000000,2572977000,2735000000,2474000000,3216000000,3771000000,4331360000,4046000000,4602328000,4821892000,5840000000,7248000000,4857039000,6494925000,8146000000,8669000000
38,PP&E,1700000,3700000,8100000,9600000,12100000,17600000,20700000,23300000,39100000,52000000,80000000,81000000,94000000,69000000,64268000,80993000,71090000,77007000,99675000,103549000,227197,289758,313037000,388132000,448881000,527828000,664302000,659774000,785123000,787421000,816264000,936976000,1075072000,1293015000,2004000000,2116000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,96000000,110000000,119000000,2149000000,2148102000,2135000000,3495000000,3642000000,3849000000,4133259000,4772000000,4721962000,5366881000,5406000000,5822000000,10581048000,10691199000,10742000000,12668000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,17700000,11800000,- -,- -,- -,- -,- -,- -,- -,- -,1029000,15000000,16000000,16000000,506000000,402619000,306000000,612000000,529000000,546000000,545036000,605000000,469662000,510007000,414000000,386000000,2069001000,1720565000,1359000000,1820000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,17700000,11800000,- -,- -,- -,- -,- -,- -,- -,- -,100000000,111000000,126000000,135000000,2655000000,2550721000,2441000000,4107000000,4171000000,4395000000,4678295000,5377000000,5191624000,5876888000,5820000000,6208000000,12650049000,12411764000,12101000000,14488000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207239000,207239000,207239000,207239000,207239000,80439000,80439000,80439000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,24000000,2000000,11594000,- -,18000000,79000000,79000000,71000000,- -,117000000,252000000,103000000,182000000,- -,376000000,342315000,208209000,218000000,280000000,- -,140498000,1370000000,1085000000
44,Other Non-Current Assets,1700000,3100000,5900000,7200000,24500000,42000000,18500000,13500000,54000000,140000000,191000000,180000000,217000000,88000000,124732000,70672000,66910000,19993000,103325000,113451000,352772803,589691242,215963000,-146371000,-5120000,-92067000,93327000,-286013000,-216000000,-48377000,-67703000,-136976000,186522000,422198000,663000000,883000000
45,Total Non-Current Assets,3400000,6800000,14000000,16800000,36600000,59600000,56900000,48600000,93100000,192000000,275000000,261000000,311000000,181000000,191000000,163259000,238000000,226000000,408000000,431000000,3079000000,3140702000,3087000000,4808000000,4925000000,5220000000,5643163000,6334000000,6183501000,6904580000,6867000000,7288000000,13911643000,14267475000,16138000000,18572000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000000,32300000,65500000,94100000,145700000,221200000,281300000,352900000,625500000,885000000,1012000000,940000000,767000000,804000000,1069000000,930623000,1052000000,1555000000,1959000000,2440000000,5963000000,5713679000,5822000000,7282000000,8141000000,8991000000,9974523000,10380000000,10785829000,11726472000,12707000000,14536000000,18768682000,20762400000,24284000000,27241000000
48,Accounts Payable,- -,- -,- -,4600000,4200000,6100000,4600000,9800000,30800000,26000000,43000000,58000000,49000000,36000000,40000000,30891000,38000000,37000000,43000000,41000000,55000000,66867000,56000000,59000000,52000000,87000000,49759000,62000000,68377000,93307000,88000000,114000000,186258000,209499000,306000000,312000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8799000,9212000,11217000,14676000,603229000,- -,- -,- -,- -,3149343000,92000000,97000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74768000,- -,- -,- -,- -,- -,- -,- -,- -,46634000,75515000,42634000,76050000,28447000,48578000,34161000,81475000,63746000,93234000,138550000,158000000,173000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23460000,21701000,-2360000,-2360000,51751000,58710000,155613000,183318000,110713000000,77417000,83247000,476402000,561463000,775544000,1097923000,1434200000,1945619000,2405950000,2915974000,3377986000,3629000000,4733000000
52,Other Current Liabilities,5100000,7900000,19000000,29500000,32800000,30800000,52200000,63900000,137900000,160000000,188000000,167000000,202000000,232000000,251540000,261059000,341360000,402360000,356249000,380290000,466387000,602225000,-110006000000,708583000,923954000,678386000,649313000,673780000,724906000,686049000,778381000,1007050000,1198894000,1454110000,1485000000,1790000000
53,Total Current Liabilities,5100000,7900000,19000000,34100000,37000000,36900000,56800000,73700000,168700000,186000000,231000000,225000000,251000000,268000000,315000000,313651000,377000000,437000000,451000000,480000000,677000000,852410000,763000000,845000000,1068000000,1251000000,1271752000,1526000000,2494435000,2213556000,2812000000,3527000000,4301126000,8190938000,5512000000,6932000000
54,Long-Term Debt,- -,- -,900000,500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000000,1000000000,1514000000,1505000000,1495312000,1499000000,911086000,1907231000,1902000000,1881000000,4124800000,988924000,4616000000,4576000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55303000,58102000,53268000,57401000,51094000,69131000,88592000,137630000,122727000,130000000,145000000
56,Deferred Tax Liabilities,1200000,800000,1300000,800000,700000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24450000,- -,- -,- -,- -,148943000,- -,- -,- -,181602000,265106000,375634000,342315000,208209000,217660000,279941000,46702000,140498000,10000000,5000000
57,Other Non-Current Liabilities,- -,100000,- -,-100000,- -,- -,-100000,6900000,- -,- -,75000000,- -,- -,24000000,2000000,11594000,- -,17000000,84000000,96000000,134000000,62344000,298000000,547000000,367000000,215095000,219069000,202098000,73747000,85459000,281209000,299467000,796310000,789158000,752000000,786000000
58,Total Non-Current Liabilities,1200000,900000,2200000,1200000,900000,1500000,-100000,6900000,- -,- -,75000000,- -,- -,24000000,2000000,11594000,24450000,17000000,84000000,96000000,134000000,211287000,648000000,1547000000,1881000000,1957000000,2037589000,2130000000,1384549000,2251993000,2470000000,2549000000,5105442000,2041307000,5508000000,5512000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900038000,4763329000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28492000,9212000,12843000,17945000,- -,- -,- -,- -,- -,- -,591000000,550000000
61,Total Liabilities,6300000,8800000,21200000,35300000,37900000,38400000,56700000,80600000,168700000,186000000,306000000,225000000,251000000,292000000,317000000,313651000,377000000,454000000,535000000,576000000,811000000,1063697000,1411000000,2392000000,2949000000,3208000000,3309341000,3656000000,4009924000,4724892000,5282000000,6076000000,9406568000,10232245000,11020000000,12444000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000000,149000000,291000000,307000000,369000000,531000000,625386000,30000000,30000000,30000000,30000000,61,61000,61000000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,- -,- -
64,Retained Earnings,4400000,13300000,31900000,58600000,93700000,138300000,174700000,222700000,319700000,391000000,530000000,664000000,733000000,896000000,1173000000,1366205000,1546000000,1800000000,2239000000,2839000000,3318000000,4041592000,4913000000,5300000000,5981000000,6529000000,7003003000,6929000000,6924294000,7253431000,8115000000,9574000000,11815597000,14828562000,19611000000,23905000000
65,Other Comprehensive Income/Loss,-1100000,-2000000,-4100000,-3800000,-12700000,-19300000,-28100000,-39200000,-74200000,15000000,29000000,-1000000,-2000000,80000000,-2000000,-138366000,-3950000,-999000,-2289000,-914000,6344000,27948000,57222000,24446000,17428000,29950000,30712000,46103000,-8094000,-169080000,-173602000,-111821000,-148130000,-188034000,-158000000,-137000000
66,Other Total Stockholders Equity,10400000,12200000,16500000,4000000,26800000,63800000,78000000,88800000,211300000,- -,- -,- -,- -,- -,- -,- -,-897729000,-728201000,-843234000,-1003760000,1827531939,580381000,-620868000,-433939000,-806102000,-775898000,-368594000,-250530000,-140356000,-82832000,-516624000,-1002371000,-2305414000,-4110434000,- -,- -
67,Total Stockholders Equity,13700000,23500000,44300000,58800000,107800000,182800000,224600000,272300000,456800000,698000000,707000000,715000000,516000000,512000000,753000000,616972000,674321000,1100800000,1423477000,1864326000,5151876000,4649982000,4410354000,4890568000,5192387000,5783113000,6665182000,6724634000,6775905000,7001580000,7424835000,8459869000,9362114000,10530155000,13264000000,14797000000
68,Total Liabilities And Stockholders Equity,20000000,32300000,65500000,94100000,145700000,221200000,281300000,352900000,625500000,884000000,1013000000,940000000,767000000,804000000,1070000000,930623000,1051321000,1554800000,1958477000,2440326000,5962876000,5713679000,5821354000,7282568000,8141387000,8991113000,9974523000,10380634000,10785829000,11726472000,12706835000,14535869000,18768682000,20762400000,24284000000,27241000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,-1000000,- -,- -,- -,-1000000,- -,679000,200000,523000,-326000,124000,- -,646000,-568000,-387000,-113000,- -,-634000,- -,- -,165000,131000,- -,- -,- -,- -
70,Total Liabilities & Equity,20000000,32300000,65500000,94100000,145700000,221200000,281300000,352900000,625500000,885000000,1012000000,940000000,767000000,804000000,1069000000,930623000,1052000000,1555000000,1959000000,2440000000,5963000000,5713679000,5822000000,7282000000,8141000000,8991000000,9974523000,10380000000,10785829000,11726472000,12707000000,14536000000,18768682000,20762400000,24284000000,27241000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/796343/000091205796002896/0000912057-96-002896-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/796343/000091205701006700/0000912057-01-006700-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000091205702007164/0000912057-02-007164-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000117494703000004/0001174947-03-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746904003345/0001047469-04-003345-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746905002143/0001047469-05-002143-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746906001601/0001047469-06-001601-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000110465907007286/0001104659-07-007286-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000104746908000497/0001047469-08-000497-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634309000007/0000796343-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634310000003/0000796343-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634311000003/0000796343-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634312000003/0000796343-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634313000008/0000796343-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634314000004/0000796343-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634315000022/0000796343-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634316000224/0000796343-16-000224-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634317000031/0000796343-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634318000015/0000796343-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634319000019/0000796343-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/0000796343-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/0000796343-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,33700000,40100000,51600000,43600000,57000000,6300000,93000000,153000000,187000000,105000000,238000000,288000000,205644000,191000000,266000000,450000000,603000000,506000000,723807000,872000000,387000000,775000000,833000000,832775000,290000000,268000000,629551000,1168782000,1693954000,2590774000,2951458000,5260000000,4822000000
74,Depreciation and Amortization,- -,- -,- -,5600000,11100000,15200000,19000000,26000000,53200000,60435000,55621000,59384000,56264000,50770000,43275000,56645000,63481000,49014000,60808000,64335000,307822000,315464000,270269000,282400000,292738000,270205000,299766000,321227000,313590000,339473000,331535000,325997000,346492000,736669000,757000000,788000000
75,Deferred Income Tax,- -,- -,- -,-2100000,900000,1700000,-10000000,-1000000,-12500000,-6828000,-6715000,-4172000,-6774000,694000,1398000,-17600000,-5486000,36460000,46270000,-7068000,-4264000,58385000,46584000,49590000,-161222000,60983000,89212000,29704000,-26089000,-69657000,24222000,51605000,-468936000,2707000,-1501000000,183000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167581000,231086000,286103000,298502000,328987000,333701000,335859000,349912000,451451000,609562000,787705000,909000000,1069000000
