,https://roic.ai/company/OII,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,31408000,32008000,85644000,85188000,89092000,89496000,90108000,94292000,95984000,95652174,93584906,192000000,94184000,91552000,92144000,95660000,98732000,97812000,102740000,107296000,109982000,111510000,111444000,110052000,109534000,109001000,108617000,108731000,107091000,98808000,98424000,98764000,98539215,98930836,99308363,99798705
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73756/000095012904001083/h13268e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012905002449/h23415e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012906002636/h33938e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012907001045/h44064e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012908001240/h54295e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012909000581/0000950129-09-000581-index.html,https://www.sec.gov/Archives/edgar/data/73756/000119312510038885/0001193125-10-038885-index.html,https://www.sec.gov/Archives/edgar/data/73756/000119312511046600/d10k.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375612000003/0000073756-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375613000007/0000073756-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375614000006/oii_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375615000004/oii_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375616000068/0000073756-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375617000013/0000073756-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375618000013/0000073756-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375619000011/0000073756-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375620000018/0000073756-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375621000023/0000073756-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375622000018/0000073756-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3300000,2500000,11500000,23900000,37800000,40100000,23300000,34000000,26500000,12900000,9400000,23000000,9100000,8400000,- -,10474000,66201000,18396000,16781000,26308000,26228000,27110000,11200000,162351000,245219000,106142000,120549000,91430000,430714000,385235000,450193000,430316000,354259000,373655000,452016000,538114000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10179000,10179000,10179000,- -
33,Cash and Short-Term Investments,3300000,2500000,11500000,23900000,37800000,40100000,23300000,34000000,26500000,12900000,9400000,23000000,9100000,8400000,- -,10474000,66201000,18396000,16781000,26308000,26228000,27110000,11200000,162351000,245219000,106142000,120549000,91430000,430714000,385235000,450193000,430316000,364438000,383834000,462195000,538114000
34,Net Receivables,30300000,21200000,25400000,31000000,32300000,30100000,40500000,50400000,51600000,58400000,96400000,120100000,114900000,103800000,- -,128559000,124112000,151206000,206122000,269497000,315255000,370612000,446719000,435151000,424014000,549812000,666930000,768842000,778372000,612785000,489749000,476903000,625086000,642648000,518211000,- -
35,Inventory,4000000,2700000,2100000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139893000,225410000,235582000,232217000,236517000,255095000,331280000,441789000,375588000,328453000,280130000,215282000,194507000,174744000,141241000,- -
36,Other Current Assets,1500000,2100000,1600000,1700000,1500000,1900000,3100000,4400000,2700000,4500000,4700000,5700000,7100000,16900000,- -,66185000,42757000,55163000,53973000,98428000,42269000,47437000,54204000,44420000,77752000,73073000,84231000,131214000,128876000,191020000,42523000,64901000,60858000,43210000,48616000,649889000
37,Total Current Assets,39100000,28500000,40600000,57300000,71600000,72100000,66900000,88800000,80800000,75800000,110500000,148800000,131100000,129100000,- -,205218000,233070000,224765000,276876000,394233000,523645000,670569000,747705000,874139000,983502000,984122000,1202990000,1433275000,1713550000,1517493000,1262595000,1187402000,1244889000,1244436000,1170263000,1188003000
