,https://roic.ai/company/CB,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11613000000,10329000000,10826000000,11835000000,11773000000,12144000000,14542000000,14710000000,14748000000,15404000000,15358000000,25422000000,27604000000,27360000000,- -,- -,- -
11,COGS and Expenses,46100000,52200000,62600000,72500000,559265000,549289000,826751000,2623343000,4629767000,6847105000,7162143000,8993913000,10917353000,11787000000,10505000000,11001000000,12065000000,11998000000,12339000000,14743000000,14960000000,15023000000,15684000000,15691000000,26519000000,28521000000,28060000000,28937000000,31832000000,31147000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,19000000,11000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,25459000,105138000,221450000,199182000,193494000,177425000,182984000,174000000,176000000,175000000,230000000,225000000,224000000,250000000,250000000,275000000,280000000,300000000,605000000,607000000,641000000,552000000,516000000,492000000
14,Depreciation and Amortization,- -,- -,5400000,-12600000,-7847000,-6104000,-9696000,45350000,78820000,79571000,- -,- -,107156000,90000000,10000000,-6000000,- -,- -,- -,- -,51000000,95000000,108000000,171000000,1559000000,260000000,339000000,305000000,290000000,287000000
15,EBITDA,10500000,223500000,-40300000,225000000,281886000,455250000,595954000,544135000,937160000,53665000,154355000,1873254000,1704912000,1565000000,3013000000,3322000000,1797000000,3302000000,3891000000,2341000000,3277000000,4608000000,3875000000,3767000000,7114000000,4589000000,5637000000,6106000000,4968000000,10595000000
16,EBITDA ratio,0.0202,0.4155,-0.0750,0.3405,0.3320,0.4505,0.4236,0.1804,0.1779,0.0081,0.0217,0.1752,0.1382,0.1196,0.2261,0.2347,0.1318,0.2190,0.2431,0.1391,0.1827,0.2392,0.2021,0.1984,0.2261,0.1423,0.1723,0.1786,0.1380,0.2586
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),245800000,218300000,146400000,232100000,- -,- -,- -,- -,- -,- -,-20552000,-27262000,- -,- -,- -,- -,39000000,201000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,580191000,393647000,636890000,-202418000,-39139000,1695829000,1414772000,1301000000,2823000000,3153000000,1567000000,3077000000,3667000000,2091000000,2976000000,4238000000,3487000000,3296000000,4950000000,3722000000,4657000000,5249000000,4162000000,9816000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.4124,0.1305,0.1209,-0.0305,-0.0055,0.1586,0.1147,0.0994,0.2118,0.2228,0.1150,0.2041,0.2291,0.1242,0.1659,0.2200,0.1819,0.1736,0.1573,0.1154,0.1423,0.1535,0.1156,0.2396
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,20040000,28684000,93908000,-78674000,-115688000,278347000,275683000,273000000,522000000,575000000,370000000,528000000,559000000,506000000,270000000,480000000,634000000,462000000,815000000,-139000000,695000000,795000000,629000000,1277000000
23,Net Income,10500000,223500000,-45700000,237600000,289733000,461354000,560151000,364963000,542982000,-146414000,76549000,1417482000,1139089000,1028000000,2305000000,2578000000,1197000000,2549000000,3108000000,1585000000,2706000000,3758000000,2853000000,2834000000,4135000000,3861000000,3962000000,4454000000,3533000000,8539000000
24,Net Income ratio,0.0202,0.4155,-0.0850,0.3596,0.3413,0.4565,0.3981,0.1210,0.1031,-0.0220,0.0107,0.1326,0.0924,0.0785,0.1729,0.1821,0.0878,0.1691,0.1942,0.0942,0.1509,0.1951,0.1488,0.1493,0.1314,0.1197,0.1211,0.1303,0.0982,0.2085
25,EPS,0.10,1.83,-0.32,2.02,1.94,2.67,3.03,1.88,2.37,-0.74,0.19,5.10,3.90,3.36,7.02,7.79,3.52,7.54,9.15,4.68,7.96,11.02,8.50,8.71,8.94,8.26,8.55,9.85,7.84,20.02
26,EPS Diluted,0.10,1.83,-0.32,2.00,1.94,2.67,2.96,1.85,2.31,-0.74,0.19,5.01,3.83,3.31,6.91,7.66,3.52,7.54,9.11,4.65,7.89,10.92,8.42,8.62,8.87,8.19,8.49,9.71,7.79,19.27
27,Weighted Average Shares Outstanding,105000000,122131148,142812500,117623762,149440884,172481013,184868317,194129255,229106329,197856757,281833333,277937647,292074103,305952381,328347578,330937099,328264771,336501257,339685143,338159409,339843438,340906490,335609899,325589361,462519789,467145716,463629203,451971567,450732625,426572612
28,Weighted Average Shares Outstanding Diluted,105000000,122131148,142812500,118800000,149440884,173607705,189240203,197277297,235057143,197856757,291898810,282930539,297412272,310574018,333574530,336553525,332500000,337500000,341246387,340780224,342746950,344147575,338986287,328835378,465949399,471196901,466802348,458900000,453400000,443200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20171/000095012301002702/0000950123-01-002702-index.html,https://www.sec.gov/Archives/edgar/data/20171/000095012302003105/0000950123-02-003105-index.html,- -,https://www.sec.gov/Archives/edgar/data/896159/000119312504040912/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312505052345/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312506056531/0001193125-06-056531-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312507043123/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312508042242/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312509040758/0001193125-09-040758-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312510040605/0001193125-10-040605-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312511047473/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312512078111/0001193125-12-078111-index.html,https://www.sec.gov/Archives/edgar/data/20171/000119312513084095/0001193125-13-084095-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615914000003/ace-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615915000006/ace-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615916000027/0000896159-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615917000004/0000896159-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615918000002/0000896159-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615919000005/0000896159-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615920000003/0000896159-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615921000003/0000896159-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615922000005/0000896159-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,53374000,106336000,- -,599232000,608069000,671381000,663355000,561650000,533995000,512000000,565000000,510000000,867000000,669000000,772000000,614000000,615000000,579000000,655000000,1775000000,985000000,728000000,1247000000,1537000000,1747000000,1659000000
32,Short-Term Investments,- -,- -,- -,- -,376680000,364432000,- -,1192875000,1369784000,1796801000,1884760000,2927407000,3199169000,3054000000,2456000000,2631000000,3350000000,1667000000,1983000000,2301000000,49534000000,51017000000,51717000000,54033000000,83117000000,82500000000,81486000000,89779000000,95044000000,96254000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,430054000,470768000,- -,1792107000,1977853000,2468182000,2548115000,3489057000,3733164000,3566000000,3021000000,3141000000,4217000000,2336000000,2755000000,2915000000,50149000000,51596000000,52372000000,55808000000,84102000000,83228000000,82733000000,91316000000,96791000000,97913000000
34,Net Receivables,- -,6500000,9000000,21000000,85033000,135815000,- -,11392732000,11479509000,14162732000,16896399000,17108851000,18722096000,19003000000,18160000000,17902000000,3453000000,3671000000,4233000000,4387000000,16466000000,16471000000,17635000000,16896000000,22729000000,24552000000,26270000000,25735000000,26278000000,28901000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26244055000,31274727000,37168000000,43223000000,48316000000,60640000000,68042000000,49424000000,53375000000,-14547000000,-13208000000,-1022000000,645000000,2218000000,4726000000,3287000000,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46841963000,53729987000,59737000000,64404000000,69359000000,68310000000,74049000000,56412000000,60677000000,52068000000,54859000000,68985000000,73349000000,109049000000,112506000000,112290000000,- -,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,201742000,196667000,- -,2822718000,2846709000,2772094000,2716860000,2710830000,2612449000,2703000000,2731000000,2731000000,- -,- -,- -,- -,- -,- -,- -,- -,15332000000,15541000000,15271000000,15296000000,15400000000,15213000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3747000000,3931000000,- -,4831000000,5589000000,5940000000,6190000000,6078000000,7118000000,6839000000,6438000000,6369000000,6074000000,5691000000
41,Intangible Assets,- -,- -,- -,- -,201742000,196667000,- -,2822718000,2846709000,2772094000,2716860000,2710830000,2612449000,2703000000,2731000000,2731000000,3747000000,3931000000,4664000000,4831000000,5589000000,5940000000,6190000000,6078000000,22450000000,22380000000,21709000000,21665000000,21474000000,20904000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16715532000,22116485000,26167226000,30199000000,33585000000,38530000000,39185000000,45573000000,50075000000,53362000000,58002000000,58422000000,60062000000,63613000000,95241000000,98434000000,96369000000,104504000000,113537000000,114284000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22116485000,-26167226000,-30199000000,-33585000000,-38530000000,-39185000000,-45573000000,-27796000000,-31365000000,-23114000000,-24711000000,-36989000000,-40674000000,-66954000000,-66298000000,-62597000000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2710830000,2612449000,2703000000,2731000000,2731000000,3747000000,3931000000,26943000000,26828000000,40477000000,39651000000,29263000000,29017000000,50737000000,54516000000,55481000000,- -,- -,- -
46,Other Assets,2019000000,2293600000,2632400000,3240000000,4574358000,5001546000,- -,30122888000,31689526000,37186764000,43450937000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176943000000,190774000000,200054000000
47,Total Assets,2019000000,2293600000,2632400000,3240000000,4574358000,5001546000,- -,30122888000,31689526000,37186764000,43450937000,49552793000,56342436000,62440000000,67135000000,72090000000,72057000000,77980000000,83355000000,87505000000,92545000000,94510000000,98248000000,102366000000,159786000000,167022000000,167771000000,176943000000,190774000000,200054000000
48,Accounts Payable,- -,- -,- -,- -,54913000,63014000,- -,3420681000,2635540000,2884128000,3337512000,3424591000,4548721000,6231000000,7291000000,8575000000,2841000000,3295000000,3282000000,3542000000,8849000000,8438000000,9821000000,10475000000,14254000000,15413000000,16909000000,17957000000,20760000000,22247000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1074585000,364509000,495408000,145940000,545727000,146295000,300000000,578000000,372000000,471000000,161000000,1300000000,1251000000,1401000000,1901000000,2552000000,- -,500000000,1013000000,509000000,1299000000,- -,999000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,111000000,138000000,111000000,116000000,159000000,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,19752734000,21844951000,26351464000,31829548000,35398682000,39793984000,42286000000,43428000000,44655000000,51493000000,51699000000,52441000000,54836000000,51404000000,51230000000,52622000000,53000000000,83839000000,87560000000,87646000000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,24248000000,24845000000,29731000000,35313000000,39369000000,44489000000,48817000000,51297000000,53602000000,54805000000,55155000000,57023000000,59629000000,61654000000,61569000000,64995000000,63475000000,98593000000,103986000000,105064000000,19256000000,- -,23246000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1424228000,1424228000,1349473000,1748937000,1349202000,1848927000,1811000000,1560000000,1811000000,2806000000,3158000000,3358000000,3360000000,3669000000,4116000000,3666000000,9756000000,12918000000,11864000000,12395000000,13559000000,14948000000,15169000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,988000000,699000000,304000000,804000000,892000000,389000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-228000,-228000,-473000,63000,-202000,73000,- -,- -,- -,- -,- -,- -,- -,-309000000,- -,- -,-60000000,-988000000,-699000000,-304000000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1424000000,1424000000,1349000000,1749000000,1349000000,1849000000,1811000000,1560000000,1811000000,2806000000,3158000000,3358000000,3360000000,3360000000,4116000000,3666000000,9696000000,12918000000,11864000000,12395000000,14363000000,15840000000,15558000000
59,Other Liabilities,917000000,925400000,1543700000,1797300000,2330080000,2382352000,- -,2848328000,2848315000,2698057000,3498251000,- -,3866624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19452000000,- -,- -,- -,116719000000,147173000000,132652000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,917000000,925400000,1543700000,1797300000,2330080000,2382352000,- -,25672328000,26269315000,31080057000,37062251000,40717997000,46506624000,50628000000,52857000000,55413000000,57611000000,58313000000,60381000000,62989000000,65014000000,65685000000,68661000000,73231000000,111511000000,115850000000,117459000000,121612000000,131333000000,140340000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2300000,2000000,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,7271000,6911000,- -,9061000,9681000,10828000,10945000,11662000,11853000,13000000,14000000,14000000,10827000000,10503000000,10161000000,10095000000,9591000000,8899000000,8055000000,7833000000,11121000000,11121000000,11121000000,11121000000,11064000000,10985000000
64,Retained Earnings,566500000,701100000,598700000,795500000,1020700000,1314403000,- -,2321570000,2733633000,2321576000,2199313000,3380619000,4242174000,4965000000,6906000000,9080000000,74000000,2818000000,5926000000,7511000000,10033000000,13791000000,16644000000,19478000000,23613000000,27474000000,31700000000,36142000000,39337000000,47365000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439892000,719772000,736426000,332000000,716000000,769000000,-1916000000,823000000,1594000000,1911000000,2887000000,1152000000,1191000000,-735000000,-314000000,543000000,-2448000000,619000000,2869000000,350000000
66,Other Total Stockholders Equity,535500000,667100000,490000000,647200000,1216307000,1297880000,- -,2119929000,2676897000,3774303000,3738536000,4720443000,4843059000,6500000000,6640000000,6812000000,5461000000,5523000000,5293000000,4999000000,5020000000,4983000000,3697000000,2559000000,13855000000,12034000000,9939000000,7449000000,6171000000,- -
67,Total Stockholders Equity,1102000000,1368200000,1088700000,1442700000,2244278000,2619194000,- -,4450560000,5420211000,6106707000,6388686000,8834796000,9835812000,11812000000,14278000000,16677000000,14446000000,19667000000,22974000000,24516000000,27531000000,28825000000,29587000000,29135000000,48275000000,51172000000,50312000000,55331000000,59441000000,59714000000
68,Total Liabilities And Stockholders Equity,2019000000,2293600000,2632400000,3240000000,4574358000,5001546000,- -,30122888000,31689526000,37186764000,43450937000,49552793000,56342436000,62440000000,67135000000,72090000000,72057000000,77980000000,83355000000,87505000000,92545000000,94510000000,98248000000,102366000000,159786000000,167022000000,167771000000,176943000000,190774000000,200054000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2019000000,2293600000,2632400000,3240000000,4574358000,5001546000,- -,30122888000,31689526000,37186764000,43450937000,49552793000,56342436000,62440000000,67135000000,72090000000,72057000000,77980000000,83355000000,87505000000,92545000000,94510000000,98248000000,102366000000,159786000000,167022000000,167771000000,176943000000,190774000000,200054000000
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/20171/000095012301002702/0000950123-01-002702-index.html,https://www.sec.gov/Archives/edgar/data/20171/000095012302003105/0000950123-02-003105-index.html,- -,https://www.sec.gov/Archives/edgar/data/896159/000119312504040912/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312505052345/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312506056531/0001193125-06-056531-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312507043123/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312508042242/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312509040758/0001193125-09-040758-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312510040605/0001193125-10-040605-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312511047473/d10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000119312512078111/0001193125-12-078111-index.html,https://www.sec.gov/Archives/edgar/data/20171/000119312513084095/0001193125-13-084095-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615914000003/ace-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615915000006/ace-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615916000027/0000896159-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615917000004/0000896159-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615918000002/0000896159-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615919000005/0000896159-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615920000003/0000896159-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/896159/000089615921000003/0000896159-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/896159/000089615922000005/0000896159-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10500000,223500000,-45700000,237600000,289733000,461354000,560151000,364963000,542982000,-146414000,76549000,1417482000,1139089000,1028000000,2305000000,2578000000,1197000000,2549000000,3108000000,1585000000,2706000000,3758000000,2853000000,2834000000,4135000000,3861000000,3962000000,4454000000,3533000000,8539000000
74,Depreciation and Amortization,- -,- -,5400000,-12600000,-7847000,-6104000,-9696000,45350000,78820000,79571000,- -,- -,107156000,90000000,10000000,-6000000,- -,- -,- -,- -,51000000,95000000,108000000,171000000,1559000000,260000000,339000000,305000000,290000000,287000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,52240000,-46853000,33827000,-118058000,-145120000,206050000,-20503000,-15000000,57000000,25000000,-141000000,-19000000,116000000,19000000,-7000000,240000000,145000000,113000000,96000000,-527000000,16000000,-97000000,-333000000,-74000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,-24248000000,-597000000,-4886000000,-5582000000,42785963000,1768024000,1679013000,2187000000,2650000000,-2252000000,5389000000,-19505000000,1659000000,-10634000000,2876000000,10700000000,5884000000,582000000,-1936000000,-1294000000,717000000,5690000000,5869000000
78,Accounts Receivable,- -,-5100000,800000,-7700000,3500000,-50800000,-116900000,-33500000,141298000,-449585000,1458244000,423345000,-997235000,-1640000000,403000000,533000000,- -,- -,- -,- -,759000000,186000000,-346000000,198000000,-974000000,-1491000000,-2146000000,568000000,-450000000,-2937000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,381500000,1000000,11300000,-23300000,-180100000,-751200000,-789043000,160646000,643662000,-253586000,4946308000,4769000000,1129000000,1333000000,- -,- -,-172000000,216000000,-193000000,213000000,389000000,447000000,751000000,-246000000,1097000000,-509000000,437000000,1118000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-24248000000,-24845000000,-29731000000,-35313000000,7472963000,9240987000,10920000000,13107000000,15757000000,13505000000,18894000000,-611000000,1048000000,-9586000000,-6710000000,3990000000,9874000000,10456000000,8520000000,7226000000,- -,- -,- -
82,Other Non-Cash Items,245600000,-100200000,377100000,212000000,339474000,-173127000,-535925000,23423688000,-485801000,6423906000,8075559000,-40184929000,1959572000,1525987000,-454000000,-546000000,5297000000,-4584000000,19827000000,207000000,11879000000,-2947000000,-9310000000,-5138000000,-1080000000,2845000000,2457000000,963000000,605000000,-3472000000
83,Cash Provided by Operating Activities,256100000,123300000,336800000,437000000,621360000,282123000,66770000,-460852000,-427172000,1353005000,2424988000,4224566000,4953338000,4308000000,4105000000,4701000000,4101000000,3335000000,3546000000,3470000000,3995000000,4022000000,4496000000,3864000000,5292000000,4503000000,5480000000,6342000000,9785000000,11149000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-11572000,-27098000,-967758000,-2679216000,- -,- -,- -,- -,958564000,7000000,- -,- -,-2521000000,- -,-1139000000,-606000000,-98000000,-977000000,-766000000,264000000,-14248000000,- -,-357000000,-1344000000,-3547000000,-3655000000
86,Purchases of Investments,-3265900000,-3534900000,-6610800000,-7888000000,-9003772000,-7070607000,-8148481000,-18361280000,-12102076000,-17147971000,-18168675000,-20659675000,-26410829000,-32963000000,-42569000000,-49387000000,-44843000000,-38086000000,-32666000000,-25227000000,-24648000000,-22580000000,-16904000000,-24528000000,-31411000000,-27074000000,-25382000000,-28426000000,-33113000000,-32202000000
87,Sales/Maturities of Investments,2990900000,3341400000,6366700000,7494900000,8489410000,7030797000,8461215000,19412623000,12384046000,14983349000,16396344000,15939537000,20849177000,27509000000,42529000000,45276000000,43848000000,34855000000,30066000000,23346000000,21862000000,19508000000,15440000000,18233000000,40334000000,24746000000,23337000000,23712000000,28702000000,28114000000
88,Other Investing Activites,14200000,38500000,-2900000,14000000,26678000,57076000,-9287000,68311000,-48227000,-21976000,-169272000,-1339000,-198763000,-146000000,-3730000000,-419000000,-608000000,7000000,-442000000,-549000000,-555000000,-393000000,-274000000,-263000000,10000000,-114000000,-533000000,153000000,437000000,1084000000
89,Cash Used for Investing Activites,-260800000,-155000000,-247000000,-379100000,-499256000,-9832000,-664311000,-1559562000,233743000,-2186598000,-1941603000,-4721477000,-4801851000,-5593000000,-3770000000,-4530000000,-4124000000,-3224000000,-4181000000,-3036000000,-3439000000,-4442000000,-2504000000,-6294000000,-5315000000,-2442000000,-2935000000,-5905000000,-7521000000,-6659000000
90,Debt Repayment,-97600000,-151000000,- -,- -,- -,- -,-385000000,-198816000,-1024699000,- -,- -,-213000,-474432000,-249000000,-300000000,- -,-89000000,-466000000,-659000000,-5288000000,-2783000000,-2572000000,-2478000000,-1150000000,- -,-501000000,-2001000000,-510000000,-1301000000,- -
91,Common Stock Issued,- -,45300000,- -,200000,28000,6347000,611097000,6823000,432889000,1174618000,52034000,69450000,91041000,1613000000,75000000,74000000,10000000,10000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
