,https://roic.ai/company/SLG,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.8271,0.2150,0.2080,0.3743,0.2445,0.3020,0.3177,0.6001,0.3576,0.3997,0.6263,0.3669,0.0569,0.2729,0.5124,0.1418,0.0937,0.3426,0.1750,0.1401,0.0746,0.2107,0.2271,0.3608,0.5415
25,EPS,0.31,1.22,1.41,3.23,2.04,2.20,2.88,5.07,3.39,4.63,11.22,6.92,0.56,3.57,7.59,1.80,1.13,5.40,2.79,2.42,0.91,2.75,3.19,4.88,6.37
26,EPS Diluted,0.31,1.22,1.41,3.02,2.00,2.15,2.74,4.89,3.29,4.51,11.09,6.89,0.56,3.55,7.54,1.79,1.13,5.38,2.78,2.41,0.90,2.75,3.19,4.87,6.31
27,Weighted Average Shares Outstanding,11943484,19117154,23506084,23681952,26227667,29378718,31350190,38060384,40608043,43328654,57076488,58625293,69924576,75885630,81387096,86606506,91418379,93112284,96494945,97345426,95424569,92503709,83569415,72772999,67751613
28,Weighted Average Shares Outstanding Diluted,11943484,19179340,25923541,30915864,28962853,36714653,37865083,41856609,44213825,47120021,60130374,58879864,70001336,76215990,81870004,87104245,91628255,93468354,96852333,97706879,96521403,92555206,84107707,77243000,72934498
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1040971/000091205700011919/0000912057-00-011919-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040971/000091205702009989/0000912057-02-009989-index.html,https://www.sec.gov/Archives/edgar/data/1040971/000110465903005012/0001104659-03-005012-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465904007465/0001104659-04-007465-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465905011116/0001104659-05-011116-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465906016962/0001104659-06-016962-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465907015007/0001104659-07-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465908013434/0001104659-08-013434-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746909001984/0001047469-09-001984-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746910000912/0001047469-10-000912-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746911001531/0001047469-11-001531-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746912001784/0001047469-12-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746913001830/0001047469-13-001830-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097114000005/0001040971-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097115000003/0001040971-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097116000016/0001040971-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097117000005/0001040971-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097118000006/0001040971-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097119000007/0001040971-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097120000006/0001040971-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097121000007/0001040971-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097122000014/0001040971-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12782000,6236000,21561000,10793000,13193000,58020000,38546000,35795000,24104000,117178000,45964000,726889000,343715000,332830000,138192000,189984000,206692000,281409000,255399000,279443000,127888000,129475000,166070000,266059000,251417000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131095000,2243338000,- -,58785000,34052000,25323000,- -,- -,- -,- -,- -,- -,- -,- -,28570000,34752000
33,Cash and Short-Term Investments,12782000,6236000,21561000,10793000,13193000,58020000,38546000,35795000,24104000,1248273000,2289302000,726889000,402500000,366882000,163515000,189984000,206692000,281409000,255399000,279443000,127888000,129475000,166070000,294629000,286169000
34,Net Receivables,738000,3951000,5747000,7580000,60648000,67186000,82906000,76550000,106723000,138302000,198692000,38558000,31053000,33349000,36108000,396822000,455431000,444048000,572917000,511807000,446020000,405607000,348100000,381955000,325337000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-60648000,-67186000,-102548000,-76550000,-98990000,-1351084000,-2442030000,-749816000,261476000,338990000,445120000,140972000,142051000,611606000,268559000,90524000,460492000,149638000,467024000,106736000,226422000
37,Total Current Assets,- -,- -,- -,- -,13193000,58020000,18904000,35795000,31837000,35491000,45964000,15631000,695029000,739221000,644743000,727778000,804174000,1337063000,1096875000,881774000,1034400000,684720000,981194000,783320000,837928000
38,PP&E,315018000,659706000,877718000,828273000,883599000,890644000,1189663000,1579866000,2003627000,2775723000,8240986000,7655244000,7518678000,7973771000,10010548000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17079000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17079000
42,Investments,- -,- -,- -,- -,- -,364263000,809053000,907116000,943265000,1131095000,2243338000,1655297000,1842989000,1595342000,1879875000,2389446000,2418057000,2580824000,2873878000,3530598000,4477030000,5118413000,4493148000,4899864000,4086657000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-1997642000,- -,-2945795000,-3905625000,- -,- -,430881000,991960000,948686000,11270530000,11736770000,13178700000,15887188000,11445415000,8471474000,6948225000,7291978000,6024383000,6124965000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,1074000,- -,1097000,1193000,- -,- -,9792548000,10561073000,12839109000,13659976000,14154827000,15759524000,18761066000,14976013000,12948504000,12066638000,11785126000,10924247000,10228701000
46,Other Assets,382775000,777796000,1071242000,1161154000,1358384000,1415150000,- -,2716086000,- -,- -,11384114000,10968722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,382775000,777796000,1071242000,1161154000,1371577000,1473170000,19978000,2751881000,32934000,36684000,11430078000,10984353000,10487577000,11300294000,13483852000,14387754000,14959001000,17096587000,19857941000,15857787000,13982904000,12751358000,12766320000,11707567000,11066629000
48,Accounts Payable,367000,63000,40675000,50654000,53475000,73259000,62482000,72298000,118493000,179098000,135704000,- -,125982000,81058000,142428000,159598000,145889000,173246000,196213000,190583000,137142000,147060000,166905000,151309000,157571000
49,Short-Term Debt,- -,111300000,113600000,- -,- -,- -,- -,- -,- -,- -,- -,1389067000,1374076000,650000000,350000000,70000000,220000000,385000000,994000000,- -,30336000,492196000,234013000,105262000,381334000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349669000,307678000,- -,- -,- -,- -,- -,- -,- -,- -,- -,118572000,107275000
52,Other Current Liabilities,77633000,-10363000,-35275000,83346000,88525000,119741000,129518000,181702000,189507000,242902000,1744296000,62933000,-1658992000,-217198000,154533000,132641000,189062000,470115000,321456000,125906000,130593000,107187000,101430000,50285000,264190000
53,Total Current Liabilities,78000000,101000000,119000000,134000000,142000000,193000000,192000000,254000000,308000000,422000000,1880000000,1452000000,190735000,821538000,646961000,362239000,554951000,1028361000,1511669000,316489000,298071000,746443000,502348000,425428000,910370000
54,Long-Term Debt,128820000,74662000,435693000,460716000,409900000,541503000,1119449000,1150376000,1442252000,1715379000,5623082000,4227306000,4892688000,4601013000,5685397000,6450420000,6699908000,7793787000,9411748000,6481666000,5824796000,5049505000,5274124000,4853249000,4589980000
55,Deferred Revenue,- -,- -,306000,1112000,1381000,3096000,8526000,- -,25691000,43721000,819022000,427936000,349669000,307678000,357193000,321764000,263261000,187148000,399102000,217955000,208119000,94453000,114052000,118572000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,180000,87338000,1000,-828000,93719000,-2599000,-8975000,-376000,74057000,55900000,-719104000,926758000,141356000,88183000,145962000,83771000,108979000,87436000,109383000,314874000,298775000,224870000,665451000,814092000,247699000
58,Total Non-Current Liabilities,129000000,162000000,436000000,461000000,505000000,542000000,1119000000,1150000000,1542000000,1815000000,5723000000,5582000000,5383713000,4996874000,6188552000,6855955000,7072148000,8068371000,9920233000,7014495000,6331690000,5368828000,6053627000,5785913000,4837679000
59,Other Liabilities,- -,392479000,940644000,989755000,1075239000,1150807000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,15862000,16168000,16442000,16260000,16394000,16542000,16704000,16883000,17044000,17112000,37518000,47671000,20822000,41360000,42132000,42843000,43616000,426119000,491979000,954284000
61,Total Liabilities,172661000,331479000,623644000,662755000,712239000,801807000,1256268000,1253873000,1751275000,2109451000,6888796000,6449875000,5574448000,5818412000,6835513000,7218194000,7627099000,9096732000,11431902000,7330984000,6629761000,6115271000,6555975000,6211341000,5748049000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,151981000,248302000,248302000,248302000,248302000,248302000,248302000,370343000,370343000,402305000,271482000,221932000,221932000,221932000,221932000,221932000,221932000,221932000,221932000
63,Common Stock,123000,240000,242000,246000,300000,304000,360000,409000,425000,498000,601000,604000,809000,817000,892000,950000,986000,1010000,1001000,1017000,939000,847000,803000,716000,672000
64,Retained Earnings,-2584000,-8559000,-9422000,31166000,39684000,50058000,78966000,191182000,235540000,322219000,791861000,1023071000,949669000,1172963000,1704506000,1701092000,1619150000,1752404000,1643546000,1578893000,1139329000,1278998000,1084719000,1015462000,975781000
65,Other Comprehensive Income/Loss,-23800000,-37355000,-56983000,-78432000,-100776000,-126669000,-156768000,-176238000,15000000,14000000,5000000,-55000000,-34000000,-23000000,-28000000,-30000000,-15000000,-7000000,-9000000,22000000,19000000,15000000,-28000000,- -,-46758000
66,Other Total Stockholders Equity,202469000,450500000,472267000,502093000,673700000,702952000,876243000,1084225000,960174000,1809864000,2781111000,2694759000,3223658000,3357961000,3927806000,4345455000,4698337000,4969028000,5429986000,5500633000,4843893000,4384744000,4161861000,3671653000,3613249000
67,Total Stockholders Equity,176208000,404826000,406104000,455073000,612908000,626645000,950782000,1347880000,1459441000,2394883000,3826875000,3911736000,4388438000,4879084000,5975547000,6419802000,6574955000,6937374000,7287465000,7324475000,6225093000,5901521000,5441315000,4909763000,4764876000
68,Total Liabilities And Stockholders Equity,348869000,736305000,1029748000,1117828000,1325147000,1428452000,2207050000,2601753000,3210716000,4504334000,10715671000,10361611000,9962886000,10697496000,12811060000,13637996000,14202054000,16034106000,18719367000,14655459000,12854854000,12016792000,11997290000,11121104000,10512925000
69,Minority Interest,33906000,41491000,41494000,43326000,46430000,44718000,-2187072000,150128000,-3177782000,-4467650000,714407000,622742000,524691000,602798000,672792000,749758000,756947000,1062481000,1138574000,1202328000,1128050000,734566000,769030000,586463000,553704000
70,Total Liabilities & Equity,382775000,777796000,1071242000,1161154000,1371577000,1473170000,19978000,2751881000,32934000,36684000,11430078000,10984353000,10487577000,11300294000,13483852000,14387754000,14959001000,17096587000,19857941000,15857787000,13982904000,12751358000,12766320000,11707567000,11066629000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1040971/000091205700011919/0000912057-00-011919-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040971/000091205702009989/0000912057-02-009989-index.html,https://www.sec.gov/Archives/edgar/data/1040971/000110465903005012/0001104659-03-005012-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465904007465/0001104659-04-007465-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465905011116/0001104659-05-011116-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465906016962/0001104659-06-016962-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465907015007/0001104659-07-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000110465908013434/0001104659-08-013434-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746909001984/0001047469-09-001984-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746910000912/0001047469-10-000912-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746911001531/0001047469-11-001531-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746912001784/0001047469-12-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104746913001830/0001047469-13-001830-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097114000005/0001040971-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097115000003/0001040971-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097116000016/0001040971-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097117000005/0001040971-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097118000006/0001040971-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097119000007/0001040971-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097120000006/0001040971-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097121000007/0001040971-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1040971/000104097122000014/0001040971-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,27237000,29452000,42856000,86217000,63001000,74331000,98159000,209430000,157419000,220719000,660410000,409759000,57544000,300575000,647410000,198512000,137631000,520806000,291051000,261131000,112775000,258646000,281345000,379802000,457059000
74,Depreciation and Amortization,3626000,15404000,27260000,32511000,38336000,39063000,47282000,59466000,65108000,79510000,204831000,229510000,235200000,240445000,292311000,351539000,357599000,400001000,588238000,845605000,419818000,291915000,284011000,325462000,228293000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1087000,-23000000,-18000000,-15000000,5193000,-6173000,-38116000,-45109000,-57958000,-110346000,-1447527000,397667000,1940663000,-586611000,80099000,367757000,-116316000,59479000,-723496000,980079000,171044000,-798052000,540569000,-120954000,-120415000
78,Accounts Receivable,-6300000,-17600000,-25000000,-18241000,-7248000,-9268000,-28349000,-7686000,-56885000,-69446000,-87380000,- -,- -,- -,- -,-10998000,-7570000,1978000,-6405000,4780000,-5717000,6968000,-4968000,-17074000,-20561000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4800000,400000,12500000,3527000,-2486000,21437000,-1465000,21411000,24902000,35906000,88115000,- -,- -,- -,- -,9389000,-1473000,-7796000,8634000,-35628000,-11790000,4410000,-25597000,132171000,-66387000
81,Other Working Capital,-78000000,-101000000,-119000000,-134000000,-128807000,-134980000,-173096000,-218205000,-276163000,-386509000,-1834036000,-1436369000,504294000,-82317000,-2218000,365539000,249223000,308702000,-414794000,565285000,736329000,-61723000,478846000,357892000,-11844000
82,Other Non-Cash Items,-23399000,809000,-4103000,-49922000,-25942000,174000,-29075000,-107523000,-26171000,35761000,988991000,-652384000,-1958196000,366649000,-706960000,-564065000,7289000,-489905000,370691000,-1452101000,-155264000,689028000,-729452000,-30074000,-308958000
83,Cash Provided by Operating Activities,8551000,22665000,48013000,53806000,80588000,107395000,78250000,116264000,138398000,225644000,406705000,384552000,275211000,321058000,312860000,353743000,386203000,490381000,526484000,634714000,548373000,441537000,376473000,554236000,255979000
84,CAPEX,-224576000,-357243000,-223240000,-55475000,-417786000,-32123000,-103746000,-618604000,-484453000,-625142000,-4282080000,-200126000,-107030000,-378759000,-605856000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-81214000,-388157000,-435740000,- -,- -,412460000,- -,- -,- -,-215174000,-150274000,-382010000,-161712000,-84456000,-389249000,-400429000,-128682000,-70315000,-88872000
86,Purchases of Investments,- -,-19350000,-24686000,-51935000,-30724000,-94371000,-387428000,-79827000,-127740000,-166892000,-919998000,- -,-252104000,-238252000,-435929000,-498784000,-54656000,-638902000,-780514000,-1020754000,-1129970000,-731216000,-615713000,-360953000,-105695000
87,Sales/Maturities of Investments,- -,- -,- -,25550000,26909000,- -,- -,193144000,- -,- -,- -,- -,- -,- -,- -,- -,104998000,585175000,521644000,919186000,893373000,664131000,1092383000,795730000,211752000
88,Other Investing Activites,1852000,- -,19248000,43161000,1540000,68718000,81019000,473441000,582259000,5122000,2867741000,183885000,13755000,635826000,302188000,-456435000,-528503000,-361098000,-1845329000,2308594000,606995000,1149176000,-233494000,691968000,976396000
89,Cash Used for Investing Activites,-222724000,-376593000,-228678000,-38699000,-420061000,-57776000,-491369000,-220851000,-465674000,-786912000,-2334337000,396219000,-345379000,18815000,-739597000,-1170393000,-628435000,-796835000,-2265911000,2122570000,-18851000,681662000,114494000,1056430000,993581000
90,Debt Repayment,-77041000,-449368000,-228944000,-388940000,-504105000,-217427000,-564294000,-911973000,-969175000,-1149315000,-124339000,-1548886000,-823487000,-1243478000,-2843541000,-2269619000,-2105435000,-3638737000,-2487243000,-4156907000,-3179242000,-3442760000,-1800076000,-3062661000,-2183478000
91,Common Stock Issued,228704000,242055000,- -,4361000,153659000,6647000,7592000,260334000,24184000,814726000,12917000,- -,387138000,122041000,516168000,201279000,297819000,185321000,124761000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150719000,-151986000,- -,-13012000,-5486000,-214163000,-192533000,-2000000,-200000,-3299000,-806577000,-1014721000,-430036000,-638575000,-373146000
93,Dividends Paid,-2348000,-32144000,-46389000,-47942000,-53062000,-66593000,-70868000,-85240000,-94740000,-118146000,-188285000,-203134000,-100108000,-58984000,-63866000,-121238000,-148407000,-214823000,-257378000,-314079000,-333543000,-313230000,-306386000,-293996000,-271075000
94,Other Financing Activites,77701000,586839000,471323000,406646000,745381000,272580000,1021215000,838715000,1355316000,1107077000,2306844000,1804160000,223451000,842675000,2628824000,3272183000,2407496000,4051410000,4333477000,1741045000,3638285000,3676599000,2007848000,2515931000,1542328000
95,Cash Used/Provided by Financing Activities,227016000,347382000,195990000,-25875000,341873000,-4793000,393645000,101836000,315585000,654342000,1856418000,-99846000,-313006000,-350758000,232099000,868442000,258940000,381171000,1713417000,-2733240000,-681077000,-1094112000,-528650000,-1479301000,-1285371000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12306000,-6546000,15325000,-10768000,2400000,44827000,-19474000,-2751000,-11691000,93074000,-71214000,680925000,-383174000,-10885000,-194638000,51792000,16708000,74717000,-26010000,24044000,-151555000,29087000,-37683000,131365000,-35811000
98,Cash at the End of Period,12782000,6236000,21561000,10793000,13193000,58020000,38546000,35795000,24104000,117178000,45964000,726889000,343715000,332830000,138192000,189984000,206692000,281409000,255399000,279443000,127888000,279113000,241430000,372795000,336984000
99,Cash at the Beginning of Period,476000,12782000,6236000,21561000,10793000,13193000,58020000,38546000,35795000,24104000,117178000,45964000,726889000,343715000,332830000,138192000,189984000,206692000,281409000,255399000,279443000,250026000,279113000,241430000,372795000
100,Free Cash Flow,-216025000,-334578000,-175227000,-1669000,-337198000,75272000,-25496000,-502340000,-346055000,-399498000,-3875375000,184426000,168181000,-57701000,-292996000,353743000,386203000,490381000,526484000,634714000,548373000,441537000,376473000,554236000,255979000
