,https://roic.ai/company/IVC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1674000,724000,1444000,685000,384000,507000,165000,265000,473000,534000,429000,93000,-1000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33150000,20647000,7963000,9121000,3508000,3039000,2911000,15875000,22907000,28336000,29076000,28499000,24306000
14,Depreciation and Amortization,1700000,2200000,2700000,3200000,5000000,6600000,8100000,10000000,12300000,12700000,14200000,17900000,18300000,23800000,26000000,31469000,33448000,26638000,27235000,32316000,40524000,37711000,43717000,43744000,40562000,36804000,38883000,38593000,36789000,32789000,19430000,14635000,14631000,15556000,24490000,21268000,16821000
15,EBITDA,400000,7500000,7500000,11600000,10000000,20500000,31000000,37500000,45800000,54600000,66100000,81700000,23600000,98900000,94000000,129685000,99838000,123168000,133644000,142688000,111826000,-271813000,58207000,95245000,120991000,95492000,52433000,67784000,86008000,-14692000,10861000,953000,-28712000,9790000,9541000,25328000,2009000
16,EBITDA ratio,0.0042,0.0673,0.0573,0.0721,0.0537,0.0892,0.1178,0.1229,0.1253,0.1328,0.1312,0.1319,0.0361,0.1240,0.1070,0.1280,0.0948,0.1131,0.1072,0.1017,0.0731,-0.1814,0.0363,0.0542,0.0715,0.0555,0.0291,0.0466,0.0636,-0.0116,0.0095,0.0009,-0.0297,0.0101,0.0103,0.0298,0.0023
17,Operating Income,- -,5200000,6400000,10800000,8800000,16800000,23700000,27600000,36900000,43800000,54000000,65400000,38300000,80900000,93600000,106832000,113801000,107102000,112646000,121468000,99428000,25947000,69867000,87689000,78755000,57964000,12106000,30399000,-24357000,-36525000,-7023000,-15215000,-40159000,-18294000,-10410000,11327000,-24234000
18,Operating Income ratio,- -,0.0466,0.0489,0.0672,0.0473,0.0731,0.0900,0.0904,0.1010,0.1065,0.1071,0.1056,0.0586,0.1014,0.1066,0.1054,0.1080,0.0983,0.0903,0.0866,0.0650,0.0173,0.0436,0.0499,0.0465,0.0337,0.0067,0.0209,-0.0180,-0.0288,-0.0061,-0.0145,-0.0416,-0.0188,-0.0112,0.0133,-0.0278
19,Total Other Income Expenses (Gains),1500000,100000,-1600000,-2400000,-3800000,-2900000,-800000,-100000,-3400000,-1900000,-2100000,-1600000,-33000000,-5800000,-25600000,-8616000,-47411000,-10572000,-6237000,-11096000,-28126000,-335471000,-55377000,-36188000,-31476000,-19923000,-6519000,-20425000,-13983000,-26685000,-4717000,-14342000,-26091000,-15808000,-33615000,-35766000,-14884000
20,Income Before Tax,-1300000,5300000,4800000,8400000,5000000,13900000,22900000,27500000,33500000,41900000,51900000,63800000,5300000,75100000,68000000,98216000,66390000,96530000,106409000,110372000,71302000,-309524000,14490000,51501000,47279000,38041000,5587000,9974000,-38340000,-63210000,-11740000,-29557000,-66250000,-34102000,-44025000,-24439000,-39118000
21,Income Before Tax Ratio,-0.0138,0.0475,0.0367,0.0522,0.0269,0.0605,0.0870,0.0901,0.0917,0.1019,0.1030,0.1030,0.0081,0.0942,0.0774,0.0969,0.0630,0.0886,0.0853,0.0787,0.0466,-0.2066,0.0090,0.0293,0.0279,0.0221,0.0031,0.0069,-0.0284,-0.0498,-0.0103,-0.0282,-0.0685,-0.0351,-0.0474,-0.0287,-0.0448
22,Income Tax expense (Gain),-200000,1900000,2400000,3300000,2400000,6300000,8800000,9800000,11400000,15500000,19700000,24900000,3700000,29300000,26500000,38305000,31200000,31760000,35000000,35175000,22450000,8250000,13300000,12950000,6100000,12700000,9700000,18243000,12660000,5550000,14710000,13299000,10291000,9820000,9302000,3841000,6445000
23,Net Income,-1100000,3400000,2400000,5100000,2600000,7600000,14100000,17700000,22100000,26400000,32200000,38900000,1600000,45800000,41500000,59911000,35190000,64770000,71409000,75197000,48852000,-317774000,1190000,38551000,41179000,25341000,-4113000,1827000,33051000,-56070000,-26190000,-42856000,-76541000,-43922000,-53327000,-28280000,-45563000
24,Net Income ratio,-0.0117,0.0305,0.0183,0.0317,0.0140,0.0331,0.0536,0.0580,0.0605,0.0642,0.0639,0.0628,0.0024,0.0574,0.0473,0.0591,0.0334,0.0595,0.0573,0.0536,0.0319,-0.2121,0.0007,0.0220,0.0243,0.0147,-0.0023,0.0013,0.0244,-0.0441,-0.0229,-0.0409,-0.0792,-0.0452,-0.0575,-0.0332,-0.0522
25,EPS,-0.01,0.04,0.03,0.06,0.03,0.08,0.27,0.33,0.39,0.89,1.07,1.28,0.05,1.53,1.38,1.99,1.15,2.10,2.31,2.41,1.55,-10.00,0.04,1.21,1.29,0.78,-0.13,0.06,1.04,-1.75,-0.81,-1.32,-2.34,-1.33,-1.59,-0.83,-1.31
26,EPS Diluted,-0.01,0.04,0.03,0.06,0.03,0.08,0.27,0.32,0.38,0.89,1.07,1.28,0.05,1.50,1.36,1.95,1.11,2.05,2.25,2.33,1.51,-10.00,0.04,1.21,1.29,0.78,-0.13,0.06,1.03,-1.75,-0.81,-1.32,-2.34,-1.33,-1.59,-0.83,-1.31
27,Weighted Average Shares Outstanding,22224000,22276000,22276000,22276000,22552000,23112000,27328000,28712000,28814000,29662921,30077000,30393000,29569000,29932000,30138000,30128000,30620000,30867000,30862000,31153000,31555000,31789000,31840000,31902000,31969000,32393000,31958000,31641000,31915000,32009000,32171000,32471000,32752000,33124000,33594000,34266000,34875000
28,Weighted Average Shares Outstanding Diluted,22224000,22276000,22276000,22276000,22552000,23112000,27328000,28712000,28814000,29662921,30077000,30393000,30374000,30583000,30619000,30761000,31683000,31664000,31729000,32347000,32452000,31789000,31927000,31953000,31996000,32694000,31958000,31871000,32043000,32197000,32683000,32590000,33216000,33543000,33642000,34375000,35274000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211296000005/0000742112-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211201000006/0000742112-01-000006-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211208000010/0000742112-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000119312509040670/0001193125-09-040670-index.htm,- -,https://www.sec.gov/Archives/edgar/data/742112/000119312511046991/0001193125-11-046991-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211212000012/0000742112-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211213000015/0000742112-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211214000017/0000742112-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211215000023/0000742112-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211216000102/0000742112-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211217000019/0000742112-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211218000023/0000742112-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211219000010/0000742112-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211220000015/0000742112-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211221000012/0000742112-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211222000012/0000742112-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1200000,900000,3100000,2400000,1300000,1000000,1500000,8200000,9400000,7400000,4100000,4400000,5700000,9500000,18300000,12357000,16683000,13086000,16074000,32567000,25624000,82203000,62200000,47516000,37501000,48462000,34924000,38791000,29785000,38931000,60055000,124234000,176528000,116907000,80063000,105298000,83745000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,845000,1188000,1350000,214000,199000,252000,190000,255000,72000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1200000,900000,3100000,2400000,1300000,1000000,1500000,8200000,9400000,7400000,4100000,4400000,5700000,9500000,19900000,13202000,17871000,14436000,16288000,32766000,25876000,82393000,62455000,47588000,37501000,48462000,34924000,38791000,29785000,38931000,60055000,124234000,176528000,116907000,80063000,105298000,83745000
34,Net Receivables,19500000,21100000,27500000,34900000,43400000,50900000,66700000,87400000,89500000,110000000,130700000,157400000,163700000,217000000,252000000,268031000,255267000,221341000,263289000,301372000,300890000,311967000,302227000,299272000,266579000,255963000,254645000,225173000,212348000,183002000,153198000,132514000,143464000,138476000,140013000,137277000,117115000
35,Inventory,21700000,23700000,26500000,34300000,40300000,42400000,42200000,47900000,44000000,50000000,54500000,78900000,75700000,81700000,108500000,105295000,111868000,111382000,130979000,175883000,176925000,201756000,195604000,178737000,172222000,174375000,192761000,183246000,155637000,155876000,132807000,135644000,121933000,128123000,120500000,115484000,144274000
36,Other Current Assets,1200000,3500000,3800000,4400000,6500000,9500000,9400000,8400000,13300000,12400000,15400000,18000000,30100000,28500000,38200000,45880000,43395000,51653000,64166000,55130000,66956000,59642000,30799000,25461000,52162000,47359000,46440000,120739000,21769000,17533000,16061000,16680000,14989000,13904000,15301000,16407000,40254000
37,Total Current Assets,43600000,49200000,60900000,76000000,91500000,103800000,119800000,151900000,156200000,179800000,204700000,258700000,275200000,336700000,418600000,432408000,428401000,398812000,474722000,565151000,570647000,655758000,591085000,551058000,528464000,526159000,528770000,567949000,419539000,395342000,362121000,409072000,456914000,397410000,355877000,374466000,385388000
38,PP&E,9700000,12000000,17300000,24100000,29700000,32100000,35300000,51000000,52500000,55900000,65100000,77800000,90600000,112900000,137100000,134913000,132202000,130963000,150051000,191163000,176206000,173945000,169376000,143512000,141633000,130763000,129712000,118231000,106149000,85555000,78683000,75359000,80016000,74306000,92183000,135366000,73521000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490429000,543183000,474686000,556093000,507083000,496605000,462200000,462226000,425711000,361680000,360602000,401283000,381273000,373403000,402461000,355875000
40,Intangible Assets,200000,- -,- -,- -,- -,- -,- -,50400000,60400000,72900000,102400000,123600000,107600000,226700000,328200000,310229000,303536000,325897000,430177000,816176000,720873000,103973000,104736000,84766000,85305000,70911000,83320000,71652000,62584000,38070000,31000000,29023000,30244000,26506000,26447000,27763000,26356000
41,Intangible Assets,200000,- -,- -,- -,- -,- -,- -,50400000,60400000,72900000,102400000,123600000,107600000,226700000,328200000,310229000,303536000,325897000,430177000,816176000,720873000,594402000,647919000,559452000,641398000,577994000,579925000,533852000,524810000,463781000,392680000,389625000,431527000,407779000,399850000,430224000,382231000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1171000,998000,249000,160000,108000,103000,90000,85000,85000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1582000,4741000,613000,908000,837000,518000,352000,928000,2048000,- -
44,Other Non-Current Assets,2000000,2800000,1800000,2200000,1700000,2400000,7200000,9100000,17300000,28900000,36600000,49500000,56500000,62500000,71400000,74305000,50398000,51031000,53263000,55634000,155227000,66346000,91662000,60451000,48006000,45484000,42647000,39509000,40197000,18191000,3591000,28742000,96955000,5918000,3203000,3792000,68391000
45,Total Non-Current Assets,11900000,14800000,19100000,26300000,31400000,34500000,42500000,110500000,130200000,157700000,204100000,250900000,254700000,402100000,536700000,519447000,486136000,507891000,633491000,1062973000,1052306000,834693000,908957000,763415000,831037000,754241000,752284000,694345000,676895000,568389000,476022000,494671000,609119000,488445000,496249000,571515000,524143000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55500000,64000000,80000000,102300000,122900000,138300000,162300000,262400000,286400000,337500000,408800000,509600000,529900000,738800000,955300000,951855000,914537000,906703000,1108213000,1628124000,1622953000,1490451000,1500042000,1314473000,1359501000,1280400000,1281054000,1262294000,1096434000,963731000,838143000,903743000,1066033000,885855000,852126000,945981000,909531000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,15900000,30800000,23300000,29900000,33800000,40700000,42500000,47600000,58400000,81316000,74133000,80511000,110178000,149413000,133106000,163041000,150170000,119633000,141059000,143753000,160926000,133048000,116704000,120151000,105608000,88236000,90566000,92469000,88003000,85424000,130036000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,4600000,5200000,8500000,6400000,5807000,9083000,4479000,2171000,2062000,80228000,124243000,24510000,18699000,1091000,7974000,5044000,5427000,14102000,967000,2028000,15261000,2040000,2110000,9362000,15330000,3107000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5884000,8502000,24502000,27313000,36784000,37446000,39012000,26463000,29388000,26959000,22539000,36069000,3914000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1446000,2770000,2416000,6644000,3516000,- -
52,Other Current Liabilities,17200000,22200000,23800000,25800000,29800000,42800000,26200000,37400000,37600000,40500000,50900000,52500000,61900000,77900000,112700000,116313000,92207000,82463000,116255000,106666000,119554000,160692000,151931000,146666000,148177000,138581000,121969000,161260000,145359000,169109000,140008000,115918000,122688000,101213000,114648000,126116000,114111000
53,Total Current Liabilities,17200000,22200000,23800000,25800000,29800000,42800000,42100000,68200000,60900000,70400000,84900000,97800000,109600000,134000000,177500000,203436000,175423000,167453000,228604000,258141000,332888000,447976000,326611000,284998000,290327000,290308000,287939000,299735000,276165000,290227000,247644000,220861000,218064000,198208000,218657000,230386000,247254000
54,Long-Term Debt,20900000,19400000,30000000,44300000,58800000,51500000,31800000,78600000,90400000,102700000,122500000,173300000,184000000,311300000,440800000,384316000,342724000,234134000,232038000,547974000,457753000,448883000,513342000,460121000,272234000,238090000,260440000,229375000,58233000,19377000,45092000,176796000,347973000,257604000,219464000,311275000,305022000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6978000,6703000,6419000,9648000,5819000,5502000,- -
56,Deferred Tax Liabilities,- -,1500000,1700000,2000000,2300000,2200000,1800000,1500000,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34593000,77222000,25664000,- -,- -,- -,30123000,36328000,30423000,32115000,31079000,28890000,24681000,23376000,23234000,- -
57,Other Non-Current Liabilities,-100000,- -,- -,100000,-100000,-100000,-100000,100000,- -,100000,100000,-100000,-100000,12600000,18100000,14330000,14840000,24804000,34383000,68571000,- -,73635000,28824000,63162000,95703000,99591000,106150000,82072000,54899000,58382000,43496000,45917000,41393000,36567000,76294000,41738000,- -
58,Total Non-Current Liabilities,20800000,20900000,31700000,46400000,61000000,53600000,33500000,80200000,90500000,103100000,122600000,173200000,183900000,323900000,458900000,398646000,357564000,258938000,266421000,616545000,457753000,557111000,619388000,548947000,367937000,337681000,366590000,341570000,149460000,108182000,127681000,260495000,424675000,328500000,324953000,381749000,305022000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47844000,81552000,- -
61,Total Liabilities,38000000,43100000,55500000,72200000,90800000,96400000,75600000,148400000,151400000,173500000,207500000,271000000,293500000,457900000,636400000,602082000,532987000,426391000,495025000,874686000,790641000,1005087000,945999000,833945000,658264000,627989000,654529000,641305000,425625000,398409000,375325000,481356000,642739000,526708000,543610000,612135000,552276000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,7644000,7744000,7858000,7964000,8081000,8203000,- -,- -,- -,- -,- -,- -,8775000,8811000,8863000,8999000,9157000,9306000,9421000,9590000,9818000,- -
64,Retained Earnings,-1700000,1600000,4000000,9100000,11700000,19300000,33400000,51100000,73200000,99100000,130100000,167600000,167600000,212000000,252000000,310367000,344032000,407235000,477113000,550753000,598025000,276750000,276344000,313296000,346272000,370001000,364300000,364546000,396016000,338362000,310583000,266144000,187999000,142447000,87475000,58538000,22645000
65,Other Comprehensive Income/Loss,-3700000,-5700000,-8200000,-11400000,-17700000,-23900000,-30900000,-38900000,-47600000,-56500000,-68400000,-80300000,-78000000,-92000000,-110300000,-121483000,-121483000,-19933000,44483000,103072000,45788000,99188000,164969000,50789000,174204000,112631000,124876000,112743000,125156000,71619000,-9387000,-19335000,36870000,12793000,3128000,45436000,16988000
66,Other Total Stockholders Equity,22900000,25000000,28700000,32400000,38100000,46500000,84200000,101800000,109400000,121400000,139600000,151300000,146800000,160900000,169600000,153245000,151257000,85152000,83628000,91532000,100672000,109614000,112699000,116232000,- -,169410000,137225000,134925000,140826000,146478000,152623000,166421000,189119000,194486000,208323000,220054000,178856000
67,Total Stockholders Equity,17500000,20900000,24500000,30100000,32100000,41900000,86700000,114000000,135000000,164000000,201300000,238600000,236400000,280900000,318900000,349773000,381550000,480312000,613188000,753438000,752688000,485364000,554043000,480528000,701237000,652411000,626525000,620989000,670809000,565322000,462818000,422387000,423294000,359147000,308516000,333846000,357255000
68,Total Liabilities And Stockholders Equity,55500000,64000000,80000000,102300000,122900000,138300000,162300000,262400000,286400000,337500000,408800000,509600000,529900000,738800000,955300000,951855000,914537000,906703000,1108213000,1628124000,1543329000,1490451000,1500042000,1314473000,1359501000,1280400000,1281054000,1262294000,1096434000,963731000,838143000,903743000,1066033000,885855000,852126000,945981000,909531000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55500000,64000000,80000000,102300000,122900000,138300000,162300000,262400000,286400000,337500000,408800000,509600000,529900000,738800000,955300000,951855000,914537000,906703000,1108213000,1628124000,1622953000,1490451000,1500042000,1314473000,1359501000,1280400000,1281054000,1262294000,1096434000,963731000,838143000,903743000,1066033000,885855000,852126000,945981000,909531000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211296000005/0000742112-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211201000006/0000742112-01-000006-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742112/000074211208000010/0000742112-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000119312509040670/0001193125-09-040670-index.htm,- -,https://www.sec.gov/Archives/edgar/data/742112/000119312511046991/0001193125-11-046991-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211212000012/0000742112-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211213000015/0000742112-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211214000017/0000742112-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211215000023/0000742112-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211216000102/0000742112-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211217000019/0000742112-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211218000023/0000742112-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211219000010/0000742112-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211220000015/0000742112-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211221000012/0000742112-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/742112/000074211222000012/0000742112-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2600000,7600000,14100000,17700000,22100000,26400000,32200000,38900000,1600000,45800000,41500000,59911000,35190000,64770000,71409000,75197000,48852000,-317774000,1190000,38551000,41179000,25341000,-4113000,1827000,33051000,-56070000,-26190000,-42856000,-76541000,-43922000,-53327000,-28280000,-45563000
74,Depreciation and Amortization,- -,- -,- -,- -,5000000,6600000,8100000,10000000,12300000,12700000,14200000,17900000,18300000,23800000,26000000,31469000,33448000,26638000,27235000,32316000,40524000,37711000,43717000,43744000,40562000,36804000,38883000,38593000,36789000,32789000,19430000,14635000,14631000,15556000,24490000,21268000,16821000
75,Deferred Income Tax,- -,- -,- -,- -,400000,-1300000,-1200000,400000,-800000,- -,-3300000,-600000,-18900000,6400000,16700000,-178000,6220000,-3050000,3205000,4250000,-100000,4285000,6030000,1420000,1785000,-2467000,-7552000,4316000,2017000,-2387000,3588000,901000,-4370000,-2800000,-830000,-2192000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4495000,6135000,6640000,6545000,5957000,5626000,4013000,6894000,7347000,5283000,11110000,8645000,4323000
77,Change in Working Capital,- -,- -,- -,- -,-8900000,16700000,6000000,11600000,14100000,10400000,41100000,4700000,37100000,38400000,-12128000,24006000,-21619000,14759000,60892000,-69251000,-29977000,56692000,1586000,-27923000,-2286000,4980000,27383000,-124840000,-38259000,9362000,73734000,50639000,-39648000,-61982000,6860000,2838000,-8784000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6452000,-5839000,-1514000,-214000,9706000,17211000,9164000,10210000,2395000,-666000,1474000,7692000,- -
79,Inventory,- -,- -,- -,- -,-6500000,-600000,200000,-1100000,4200000,-3200000,3100000,-16400000,-1800000,-2200000,-7500000,-6494000,-7010000,6208000,-4607000,-15781000,-12919000,-15932000,14542000,-292000,20515000,-6352000,-16389000,-16620000,23797000,-9527000,11610000,-9944000,22263000,-11497000,6466000,8955000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12532000,5534000,2299000,2560000,-19013000,8329000,-7240000,-13648000,-2168000,4505000,-3603000,-2359000,- -
81,Other Working Capital,- -,- -,- -,- -,61000000,77700000,83700000,95300000,109400000,119800000,160900000,165600000,202700000,241100000,228972000,252978000,231359000,246118000,307010000,237759000,207782000,264474000,266060000,238137000,235851000,240831000,268214000,143374000,105115000,114477000,188211000,238850000,199202000,137220000,144080000,146918000,138134000
