,https://roic.ai/company/CLDX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-19.0000,-0.7273,-0.4348,-0.2051,-0.1743,-0.4314,-0.7121,-1.0444,-1.3571,-2.9500,-10.7273,-6.4167,-3.5909,-8.0514,-20.2317,-7.3407,-2.1525,-2.5328,-1.9803,-6.1085,-4.5360,-4.4788,-6.5396,-2.4275,-0.1379,-4.6842,-5.1845,-19.8108,-34.1411,-23.6389,-19.5868,-9.5368,-16.4013,-15.4019,-8.5406,-15.3178
19,Total Other Income Expenses (Gains),- -,100000,900000,800000,700000,800000,900000,800000,1200000,-2100000,3600000,1000000,-5500000,-43800000,635200,-6534200,1808400,602700,239800,378600,768448,2113327,1096200,-13500491,-204000,3922000,-1400000,-1046000,-108000,4350000,2344000,4386000,4214000,4487000,4153000,2407000,505000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20253932,-21758761,- -,-37054000,-2533000,-44799000,-59123000,-81550000,-118080000,-127197000,-128530000,-117313000,-151949000,-50878000,-60947000,-70738000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4.1074,-4.2640,- -,-2.4410,-0.0541,-4.8353,-5.2779,-19.8370,-32.9281,-23.2111,-18.9405,-9.2061,-15.9309,-14.2396,-8.2161,-15.2092
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,-120000,- -,-529000,- -,- -,- -,- -,- -,- -,- -,-24282000,-765000,- -,-1167000,-227000
23,Net Income,- -,-1700000,-800000,-1200000,-1100000,-1000000,-3400000,-3600000,-7800000,-11600000,-8300000,-10800000,-13100000,-51800000,-11309100,-21975000,-22753000,-13829200,-12669500,-13203700,-18096569,-20373932,-21638761,-47500571,-36525000,-2533000,-44799000,-59123000,-81550000,-118080000,-127197000,-128530000,-93031000,-151184000,-50878000,-59780000,-70511000
24,Net Income ratio,- -,-17.0000,-0.3636,-0.2609,-0.1410,-0.0917,-0.3333,-0.5455,-0.8667,-1.6571,-2.0750,-9.8182,-10.9167,-23.5455,-7.6233,-28.7932,-6.8003,-2.0626,-2.7347,-1.9251,-5.8596,-4.1317,-4.2405,-6.3712,-2.4061,-0.0541,-4.8353,-5.2779,-19.8370,-32.9281,-23.2111,-18.9405,-7.3006,-15.8507,-14.2396,-8.0588,-15.1604
25,EPS,- -,-1187.99,-237.60,-302.40,-280.80,-259.20,-734.40,-583.20,-1209.59,-1468.79,-84.60,-90.00,-93.60,-280.80,-46.80,-75.60,-70.20,-41.40,-36.00,-32.40,-43.20,-48.60,-621.00,-50.10,-27.60,-1.20,-16.95,-15.30,-15.30,-19.80,-19.65,-19.05,-10.80,-14.48,-3.51,-2.02,-1.64
26,EPS Diluted,- -,-1187.99,-237.60,-302.40,-280.80,-259.20,-734.40,-583.20,-1209.59,-1468.79,-84.60,-90.00,-93.60,-280.80,-46.80,-75.60,-70.20,-41.40,-36.00,-32.40,-43.20,-48.60,-621.00,-50.10,-27.60,-1.20,-16.95,-15.30,-15.30,-19.80,-19.65,-19.05,-10.80,-14.48,-3.51,-2.02,-1.64
27,Weighted Average Shares Outstanding,- -,45689,45750,45772,46217,52933,58672,74589,94573,94656,97123,120518,139666,184317,244869,291323,322121,335898,347294,405359,411908,412314,417700,947830,1321539,2124543,2633413,3847552,5318493,5959963,6470099,6768633,8569576,10442000,14507000,29640000,42870000
28,Weighted Average Shares Outstanding Diluted,- -,45689,45750,45772,46217,52933,58672,74589,94573,94656,97123,120518,139666,184317,244869,291323,322121,335898,347294,405359,411908,412314,417700,947830,1321539,2124543,2633413,3847552,5318493,5959963,6470099,6768633,8569576,10442000,14507000,29640000,42870000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744218/000091205701008484/0000912057-01-008484-index.html,https://www.sec.gov/Archives/edgar/data/744218/000091205702011869/0000912057-02-011869-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746903010068/0001047469-03-010068-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746904007780/0001047469-04-007780-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746905006822/0001047469-05-006822-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465906017401/0001104659-06-017401-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465907019897/0001104659-07-019897-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746908003032/0001047469-08-003032-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746909002264/0001047469-09-002264-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746910002142/0001047469-10-002142-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746911001901/0001047469-11-001901-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746912002276/0001047469-12-002276-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746913002403/0001047469-13-002403-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746914001653/0001047469-14-001653-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746915001081/0001047469-15-001081-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746916010308/0001047469-16-010308-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746917001564/0001047469-17-001564-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746918001363/0001047469-18-001363-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746919000992/0001047469-19-000992-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746920001809/0001047469-20-001809-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465921043161/0001104659-21-043161-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465922028070/0001104659-22-028070-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2400000,13500000,10800000,9600000,11300000,8700000,- -,28300000,7600000,12300000,12600000,6400000,8900000,13619000,50177000,42665900,25070700,20251000,31741500,23419434,40911539,15657980,44257286,57002000,21287000,11899000,24897000,169402000,28020000,72108000,42461000,40288000,24310000,11232000,43836000,39143000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25451000,39811000,41413000,59065000,133581000,173023000,217781000,147315000,99139000,69712000,53151000,150586000,369107000
33,Cash and Short-Term Investments,- -,2400000,13500000,10800000,9600000,11300000,8700000,- -,28300000,7600000,12300000,12600000,6400000,8900000,13619000,50177000,42665900,25070700,20251000,31741500,23419434,40911539,15657980,44257286,82453000,61098000,53312000,83962000,302983000,201043000,289889000,189776000,139427000,94022000,64383000,194422000,408250000
34,Net Receivables,- -,- -,300000,400000,600000,700000,1100000,- -,500000,600000,300000,400000,- -,- -,431700,153500,267200,230900,1472800,2230300,418380,320941,331672,1826685,544000,324000,170000,44000,489000,427000,970000,1784000,1880000,3162000,1015000,1802000,172000
35,Inventory,- -,- -,- -,100000,200000,400000,300000,- -,400000,400000,400000,- -,- -,- -,- -,59200,71500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,400000,200000,300000,300000,300000,500000,- -,300000,9100000,600000,300000,1000000,6700000,439000,1416900,338800,558400,585200,567900,767082,1171014,423061,992473,979000,1525000,1202000,1108000,1717000,3515000,4077000,4009000,3449000,1895000,1300000,1619000,2417000
37,Total Current Assets,- -,2800000,14000000,11600000,10700000,12700000,10600000,- -,29500000,17700000,13600000,13300000,7400000,15600000,14489700,51806600,43343400,25860000,22309000,34539700,24604896,42403494,16412713,47076444,83976000,62947000,54684000,85114000,305189000,204985000,294936000,195569000,144756000,99079000,66698000,197843000,410839000
38,PP&E,- -,400000,600000,900000,2000000,2200000,2000000,- -,1800000,1100000,1200000,500000,400000,1100000,1256800,1037900,987800,1119500,912700,4164300,5743663,13967800,16440677,13567180,11489000,10832000,9093000,7205000,9973000,10535000,11461000,13192000,10372000,6111000,7504000,7264000,6521000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1036285,1036285,- -,8965000,8965000,8965000,8965000,8965000,8965000,8965000,90976000,90976000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10718500,9153500,8169000,7998600,7099500,6103358,3976982,3111751,2472440,29979000,26836000,24923000,23833000,22820000,21807000,20794000,81487000,67591000,48690000,48690000,30690000,27190000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10718500,9153500,8169000,7998600,7099500,6103358,5013267,4148036,2472440,38944000,35801000,33888000,32798000,31785000,30772000,29759000,172463000,158567000,48690000,48690000,30690000,27190000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,500000,500000,700000,600000,- -,1800000,1900000,3700000,3400000,2000000,6000000,4136200,- -,- -,84700,84800,- -,- -,94981,646989,6677171,5955000,363000,329000,424000,148000,1722000,1428000,2134000,1929000,1929000,41000,41000,104000
45,Total Non-Current Assets,- -,400000,600000,1400000,2500000,2900000,2600000,- -,3600000,3000000,4900000,3900000,2400000,7100000,5393000,11756400,10141300,9373200,8996100,11263800,11847021,19076048,21235702,22716791,56388000,46996000,43310000,40427000,41906000,43029000,42648000,187789000,170868000,56730000,56235000,37995000,33815000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3200000,14600000,13000000,13200000,15600000,13200000,- -,33100000,20700000,18500000,17200000,9800000,22700000,19882700,63563000,53484700,35233200,31305100,45803500,36451917,61479542,37648415,69793235,140364000,109943000,97994000,125541000,347095000,248014000,337584000,383358000,315624000,155809000,122933000,235838000,444654000
48,Accounts Payable,- -,- -,- -,- -,- -,800000,500000,- -,500000,800000,700000,300000,200000,400000,575300,902300,1129500,836000,475800,1752300,1140578,2552089,1261831,2153393,1445000,931000,935000,745000,2243000,2603000,1506000,1740000,1715000,1069000,1174000,1048000,1228000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1000000,293700,274500,- -,- -,- -,- -,217457,477606,579629,161008,2156000,1111000,6355000,5592000,- -,2592000,4418000,- -,6566000,4526000,1944000,1327000,1746000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1660400,497700,1456200,11700,- -,4380074,4846052,4931327,5191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,500000,1700000,1300000,2500000,1700000,2300000,- -,2900000,1800000,1700000,1300000,1800000,1900000,1331500,4221200,2732600,2098900,1453400,3686900,2334708,2674544,3145653,6855858,5615000,18166000,7008000,11348000,18107000,19296000,24316000,33483000,19455000,7007000,8525000,11831000,13554000
53,Total Current Liabilities,- -,500000,1700000,1300000,2500000,2500000,2800000,- -,3400000,2600000,2400000,1600000,2800000,3300000,2200500,5398000,5522500,3432600,3385400,5450900,3692743,10084313,9833165,14101586,14407000,20208000,14298000,17685000,20350000,24491000,30240000,35223000,27736000,12602000,11643000,14206000,16528000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,200000,- -,800000,600000,269200,- -,- -,- -,- -,- -,- -,4165126,4588430,825537,11684000,8889000,9008000,5746000,- -,- -,- -,- -,- -,- -,- -,- -,1296000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34191000,- -,- -,- -,- -,- -,16587000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4661000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5200000,2500000,2400000,2300000,- -,- -,- -,100000,- -,-100000,- -,-100000,- -,- -,4233000,2693400,456200,- -,1944900,11870051,45069123,42270431,36732433,6315000,5591000,5966000,6336000,6950000,11863000,-4009000,82704000,51519000,19147000,17264000,12275000,7354000
58,Total Non-Current Liabilities,- -,5200000,2500000,2400000,2300000,- -,- -,- -,600000,500000,100000,- -,700000,600000,269200,4233000,2693400,456200,- -,1944900,11870051,49234249,46858861,37557970,52190000,14480000,14974000,12082000,6950000,11863000,17239000,82704000,51519000,19147000,17264000,12275000,8650000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3657000,3481000,3042000
61,Total Liabilities,- -,5700000,4200000,3700000,4800000,2500000,2800000,- -,4000000,3100000,2500000,1600000,3500000,3900000,2469700,9631000,8215900,3888800,3385400,7395800,15562794,59318562,56692026,51659556,66597000,34688000,29272000,29767000,27300000,36354000,47479000,117927000,79255000,31749000,28907000,26481000,25178000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48100,57100,60400,60500,64900,74300,74387,74403,6201,15790,32000,32000,44000,64000,89000,90000,99000,121000,139000,12000,17000,40000,47000
64,Retained Earnings,- -,-2900000,-3700000,-4900000,-6000000,-7000000,-10500000,- -,-26500000,-38100000,-46300000,-57100000,-70200000,-122000000,-133345400,-155320400,-178073400,-191902600,-204572100,-217775800,-235872473,-256246405,-277885166,-121149018,-157674000,-160207000,-205006000,-264129000,-345679000,-463759000,-590956000,-719486000,-812517000,-962438000,-1013316000,-1073096000,-1143607000
65,Other Comprehensive Income/Loss,- -,-100000,-200000,-500000,-700000,-1200000,-1700000,- -,-3300000,-3000000,-3200000,-2500000,-2700000,-2900000,-3453500,-4080400,-3958400,-4394400,-989000,-1493000,-1225000,-5368810,70084,2605726,2546000,2751000,2652000,2745000,2668000,2590000,2307000,2541000,2564000,2583000,2619000,2589000,1894000
66,Other Total Stockholders Equity,- -,500000,14300000,14700000,15100000,21300000,22600000,- -,58900000,58700000,65500000,75200000,79200000,143700000,154163800,213275700,227240200,227580900,233415900,257602200,257912209,263701792,258765270,136661181,228863000,232679000,271032000,357094000,662717000,672739000,878655000,982255000,1046183000,1083903000,1104706000,1279824000,1561142000
67,Total Stockholders Equity,- -,-2500000,10400000,9300000,8400000,13100000,10400000,- -,29100000,17600000,16000000,15600000,6300000,18800000,17413000,53932000,45268800,31344400,27919700,38407700,20889123,2160980,-19043611,18133679,73767000,75255000,68722000,95774000,319795000,211660000,290105000,265431000,236369000,124060000,94026000,209357000,419476000
68,Total Liabilities And Stockholders Equity,- -,3200000,14600000,13000000,13200000,15600000,13200000,- -,33100000,20700000,18500000,17200000,9800000,22700000,19882700,63563000,53484700,35233200,31305100,45803500,36451917,61479542,37648415,69793235,140364000,109943000,97994000,125541000,347095000,248014000,337584000,383358000,315624000,155809000,122933000,235838000,444654000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3200000,14600000,13000000,13200000,15600000,13200000,- -,33100000,20700000,18500000,17200000,9800000,22700000,19882700,63563000,53484700,35233200,31305100,45803500,36451917,61479542,37648415,69793235,140364000,109943000,97994000,125541000,347095000,248014000,337584000,383358000,315624000,155809000,122933000,235838000,444654000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744218/000091205701008484/0000912057-01-008484-index.html,https://www.sec.gov/Archives/edgar/data/744218/000091205702011869/0000912057-02-011869-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746903010068/0001047469-03-010068-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746904007780/0001047469-04-007780-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746905006822/0001047469-05-006822-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465906017401/0001104659-06-017401-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465907019897/0001104659-07-019897-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746908003032/0001047469-08-003032-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746909002264/0001047469-09-002264-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746910002142/0001047469-10-002142-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746911001901/0001047469-11-001901-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746912002276/0001047469-12-002276-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746913002403/0001047469-13-002403-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746914001653/0001047469-14-001653-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746915001081/0001047469-15-001081-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746916010308/0001047469-16-010308-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746917001564/0001047469-17-001564-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746918001363/0001047469-18-001363-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746919000992/0001047469-19-000992-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000104746920001809/0001047469-20-001809-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465921043161/0001104659-21-043161-index.htm,https://www.sec.gov/Archives/edgar/data/744218/000110465922028070/0001104659-22-028070-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-800000,-1200000,-1100000,-1000000,-3400000,-3600000,-7800000,-11600000,-8300000,-10800000,-13100000,-51800000,-11309100,-21975000,-22753000,-13829200,-12669500,-13203700,-18096569,-20373932,-21638761,-47500571,-36525000,-2533000,-44799000,-59123000,-81550000,-118080000,-127197000,-128530000,-93031000,-151184000,-50878000,-59780000,-70511000
74,Depreciation and Amortization,- -,- -,200000,200000,300000,500000,600000,600000,900000,800000,700000,500000,400000,1000000,1988600,1310800,2257300,1622100,1527000,1716200,2129659,2095617,2687365,2537433,3532000,5861000,4161000,3137000,2945000,3401000,4011000,4092000,5310000,3801000,4858000,3929000,3068000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24282000,-765000,- -,-1167000,-227000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3058000,2802000,2342000,2298000,4548000,6852000,12774000,15317000,12312000,8081000,4551000,3915000,8953000
77,Change in Working Capital,- -,- -,- -,-10000000,10000000,-2000000,-2100000,-2400000,18300000,-11000000,-3900000,500000,-7100000,7700000,-10800,34119400,-8587700,-15393500,-3503800,10165200,-8176647,11407028,-25739633,26395310,36594142,-26830000,-2353000,27043000,217410000,-104345000,84202000,-104350000,-43326000,-30543000,-31422000,128582000,-1054000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000,- -,62000,- -,- -,- -,-777000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-200000,100000,- -,200000,- -,- -,- -,- -,- -,- -,2400,-12300,71500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
