,https://roic.ai/company/LEVI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94845/000119312504032389/0001193125-04-032389-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000119312505031592/0001193125-05-031592-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095013406002782/0000950134-06-002782-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095014907000037/0000950149-07-000037-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095013408002299/0000950134-08-002299-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000089161809000035/0000891618-09-000035-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095012310010373/0000950123-10-010373-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095012311010218/0000950123-11-010218-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000119312512043484/0001193125-12-043484-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484513000003/0000094845-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484514000009/0000094845-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484515000008/0000094845-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484516000047/0000094845-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484517000012/0000094845-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484518000013/0000094845-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484519000006/0000094845-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484520000008/0000094845-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484521000009/0000094845-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484522000010/0000094845-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,117100000,102800000,96500000,203900000,299600000,239600000,279500000,155900000,210800000,270800000,269700000,204500000,406100000,489300000,298255000,318571000,375563000,633622000,713120000,934237000,1497155000,810266000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80741000,96531000,91550000
33,Cash and Short-Term Investments,117100000,102800000,96500000,203900000,299600000,239600000,279500000,155900000,210800000,270800000,269700000,204500000,406100000,489300000,298255000,318571000,375563000,633622000,713120000,1014978000,1593686000,901816000
34,Net Receivables,660100000,621200000,660500000,555100000,607700000,614400000,590000000,607000000,546500000,552300000,553400000,654900000,500700000,446700000,780200000,498196000,479018000,485485000,534164000,782846000,540227000,707625000
35,Inventory,652200000,610200000,591700000,680100000,554900000,540200000,550100000,515900000,542700000,451300000,579900000,611400000,518900000,603900000,600900000,606859000,716181000,759396000,883773000,884192000,817692000,897950000
36,Other Current Assets,419500000,300200000,310200000,236000000,216900000,176500000,189700000,210700000,205300000,231500000,248100000,272400000,252700000,299800000,-20855000,104523000,115385000,118724000,157002000,188170000,174636000,202510000
37,Total Current Assets,1848900000,1634400000,1658900000,1675100000,1679100000,1570700000,1609300000,1489500000,1505300000,1505900000,1651100000,1743200000,1678400000,1839700000,1658500000,1528149000,1686147000,1997227000,2288059000,2870186000,3126241000,2709901000
38,PP&E,574000000,514700000,482400000,486700000,416300000,380200000,404400000,447300000,411900000,430100000,488600000,502400000,458800000,439900000,392100000,390829000,393605000,424463000,460613000,529558000,1443333000,1606267000
39,Goodwill,217500000,208700000,199900000,199900000,199900000,202300000,204000000,206500000,204700000,241800000,241500000,241000000,240000000,241200000,238900000,235041000,234280000,237327000,236246000,235788000,264768000,386880000
40,Intangible Assets,47500000,45500000,43500000,44700000,46800000,45700000,42800000,42800000,42800000,103200000,84700000,71800000,59900000,49100000,45900000,43350000,42946000,42893000,42835000,42782000,47426000,291332000
41,Intangible Assets,265000000,254200000,243400000,244600000,246700000,248000000,246800000,249300000,247500000,345000000,326200000,312800000,299900000,290300000,284800000,278391000,277226000,280220000,279081000,278570000,312194000,678212000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497556000,573114000
44,Other Non-Current Assets,517800000,580200000,632600000,577400000,543900000,614700000,543600000,664600000,612200000,708400000,669300000,721200000,733000000,557500000,588700000,687026000,630118000,655928000,514907000,554104000,261917000,332575000
45,Total Non-Current Assets,1356800000,1349100000,1358400000,1308700000,1206900000,1242900000,1194800000,1361200000,1271600000,1483500000,1484100000,1536400000,1491700000,1287700000,1265600000,1356246000,1300949000,1360611000,1254601000,1362232000,2515000000,3190168000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3205700000,2983500000,3017300000,2983800000,2886000000,2813600000,2804100000,2850700000,2776900000,2989400000,3135200000,3279600000,3170100000,3127400000,2924100000,2884395000,2987096000,3357838000,3542660000,4232418000,5641241000,5900069000
48,Accounts Payable,269500000,234200000,233800000,296200000,279400000,235500000,245600000,243600000,203200000,198200000,212900000,204900000,225700000,254500000,234900000,238309000,270293000,289505000,351329000,360324000,375450000,524838000
49,Short-Term Debt,- -,- -,95225000,34700000,75165000,95797000,11100000,10300000,20300000,18700000,46400000,154700000,59800000,41900000,131500000,147603000,38922000,38451000,31935000,7621000,254773000,251231000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9378000,16739000,11301000,9432000,6567000,9652000,16020000,15466000,24050000,56541000,62755000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1025300000,749000000,755775000,565900000,715435000,582003000,546600000,588400000,568100000,510100000,500200000,512700000,511400000,489100000,514600000,460255000,452528000,551114000,668935000,799259000,918659000,1093549000
53,Total Current Liabilities,1294800000,983200000,1084800000,896800000,1070000000,913300000,803300000,842300000,791600000,727000000,759500000,872300000,796900000,785500000,881000000,846167000,761743000,879070000,1052199000,1167204000,1548882000,1869618000
54,Long-Term Debt,1895100000,1795500000,1751800000,2281700000,2254600000,2235000000,2209400000,1884700000,1768200000,1839700000,1820300000,1819600000,1669700000,1514300000,1104100000,1017258000,1021616000,1055384000,1020219000,1006745000,2404993000,1990182000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,573844000,490021000,455303000,499647000,457105000,511128000,526069000,601526000,559053000,42991000,40356000,30683000,35821000,26312000,20150000,20457000,9805000,10486000,- -,- -
57,Other Non-Current Liabilities,1114400000,1140700000,602456000,708379000,476997000,387753000,326395000,6472000,39931000,152374000,207047000,703209000,762144000,586717000,672279000,595607000,594686000,578982000,501184000,484452000,387891000,374608000
58,Total Non-Current Liabilities,3009500000,2936200000,2928100000,3480100000,3186900000,3122400000,2992900000,2402300000,2334200000,2593600000,2586400000,2565800000,2472200000,2131700000,1812200000,1639177000,1636452000,1654823000,1531208000,1501683000,2792884000,2364790000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12320000,15360000,16524000,- -,- -,1095435000,1214851000
61,Total Liabilities,4304300000,3919400000,4012900000,4376900000,4256900000,4035700000,3796200000,3244600000,3125800000,3320600000,3345900000,3438100000,3269100000,2917200000,2693200000,2485344000,2398195000,2533893000,2583407000,2668887000,4341766000,4234408000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,375000,375000,375000,376000,394000,398000,400000
64,Retained Earnings,-1171900000,-1020900000,-995900000,-1384800000,-1354400000,-1198500000,-959500000,-499100000,-275000000,-123200000,33300000,150800000,274000000,476000000,528200000,705668000,935049000,1100916000,1084321000,1310464000,1114280000,1474874000
65,Other Comprehensive Income/Loss,-31800000,-8600000,-177800000,-195000000,-211400000,-113000000,-125000000,8000000,-128000000,-250000000,-272000000,-346000000,-415000000,-312000000,-375000000,705668000,935049000,-404381000,-424584000,-404986000,-441446000,-394387000
66,Other Total Stockholders Equity,104700000,93200000,177700000,186200000,194500000,89000000,92000000,96800000,53700000,41600000,27700000,36200000,41600000,45800000,77300000,-1012660000,-1281572000,127035000,189140000,657659000,626243000,- -
67,Total Stockholders Equity,-1098600000,-935900000,-995600000,-1393200000,-1370900000,-1222100000,-992100000,-393900000,-348900000,-331200000,-210600000,-158600000,-99000000,210200000,230900000,399051000,588901000,823945000,849253000,1563531000,1299475000,1665661000
68,Total Liabilities And Stockholders Equity,3205700000,2983500000,3017300000,2983700000,2886000000,2813600000,2804100000,2850700000,2776900000,2989400000,3135300000,3279500000,3170100000,3127400000,2924100000,2884395000,2987096000,3357838000,3432660000,4232418000,5641241000,5900069000
69,Minority Interest,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,- -,110000000,- -,- -,- -
70,Total Liabilities & Equity,3205700000,2983500000,3017300000,2983800000,2886000000,2813600000,2804100000,2850700000,2776900000,2989400000,3135200000,3279600000,3170100000,3127400000,2924100000,2884395000,2987096000,3357838000,3542660000,4232418000,5641241000,5900069000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94845/000119312504032389/0001193125-04-032389-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000119312505031592/0001193125-05-031592-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095013406002782/0000950134-06-002782-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095014907000037/0000950149-07-000037-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095013408002299/0000950134-08-002299-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000089161809000035/0000891618-09-000035-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095012310010373/0000950123-10-010373-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095012311010218/0000950123-11-010218-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000119312512043484/0001193125-12-043484-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484513000003/0000094845-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484514000009/0000094845-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484515000008/0000094845-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484516000047/0000094845-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484517000012/0000094845-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484518000013/0000094845-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484519000006/0000094845-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484520000008/0000094845-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484521000009/0000094845-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484522000010/0000094845-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,223400000,151000000,25000000,-349300000,30400000,155900000,239000000,460400000,229300000,151900000,156500000,138000000,143900000,229200000,106078000,209436000,291052000,281403000,283142000,394612000,-127141000,553541000
74,Depreciation and Amortization,91000000,80600000,71100000,64200000,62600000,59400000,62200000,67500000,78000000,84600000,104900000,117800000,122600000,115700000,109474000,102044000,103878000,117387000,120205000,123942000,141795000,143167000
75,Deferred Income Tax,55200000,7800000,-102300000,-98800000,-2600000,1800000,39500000,-150100000,75800000,-5100000,31100000,16200000,19900000,37500000,-28177000,58386000,66078000,-486000,134258000,-14963000,-95244000,-87945000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2985000,4977000,6832000,7822000,6438000,8439000,5965000,8249000,12441000,15137000,9333000,25809000,18407000,55188000,50947000,60069000
77,Change in Working Capital,-216000000,97100000,-77100000,204200000,-169200000,48300000,148600000,-158800000,66500000,65200000,112700000,-20700000,10600000,172700000,-276700000,-95518000,242422000,193753000,117703000,467122000,-125623000,-23772000
78,Accounts Receivable,99200000,38900000,-39300000,116352000,-88094000,-21365000,46572000,-18071000,61707000,27568000,-30259000,-116003000,145717000,65955000,-51367000,4060000,6150000,3981000,-60474000,-82344000,234217000,-181547000
79,Inventory,19300000,42000000,18500000,-77072000,100942000,3130000,-6095000,40422000,-21777000,113014000,-148533000,-6848000,87547000,-63920000,-6184000,28566000,-121379000,-14409000,-147389000,-22434000,93096000,-84670000
80,Accounts Payable,-7100000,35300000,400000,80470000,105110000,-38444000,18536000,16168000,-93012000,-55649000,39886000,-55300000,46578000,3107000,-28871000,-80224000,43040000,35714000,161039000,18054000,12507000,150507000
81,Other Working Capital,554100000,651200000,574100000,778300000,609100000,657400000,806000000,647200000,713700000,778900000,891600000,870900000,881500000,1054200000,777500000,681982000,924404000,1118157000,1235860000,1702982000,1577359000,-5870000
82,Other Non-Cash Items,152300000,-194600000,275000000,17500000,278700000,-309200000,-230385000,78323000,-231632000,84378000,-265338000,-257939000,228035000,-152049000,309793000,-71153000,-406213000,-91925000,-253344000,-613713000,624852000,92204000
83,Cash Provided by Operating Activities,305900000,141900000,191700000,-162200000,199900000,-43800000,261900000,302300000,224800000,388800000,146300000,1800000,531000000,411300000,232909000,218332000,306550000,525941000,420371000,412188000,469586000,737264000
84,CAPEX,-28000000,-22500000,-59100000,-68608000,-16299000,-41868000,-77080000,-92519000,-80350000,-82938000,-154632000,-130580000,-83855000,-91771000,-73396000,-104579000,-102950000,-118778000,-159413000,-175356000,-130383000,-166944000
85,Acquisitions Net,- -,- -,- -,- -,- -,-3000000,-2000000,-3000000,-1000000,-100270000,-12242000,- -,-491000,-400000,-318000,- -,- -,- -,- -,- -,-54570000,-390915000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-489000,-603000,-5744000,- -,- -,- -,- -,- -,-114247000,-109663000,-140880000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34094000,106057000,126929000
88,Other Investing Activites,182200000,5300000,-300000,-15892000,3399000,10168000,9480000,-11781000,54550000,-49792000,-14926000,-9931000,9749000,5115000,1865000,23746000,34602000,-5613000,-19974000,12166000,- -,- -
89,Cash Used for Investing Activites,154200000,-17200000,-59400000,-84500000,-12900000,-34700000,-69600000,-107300000,-26800000,-233000000,-181800000,-141000000,-75200000,-92800000,-71849000,-80833000,-68348000,-124391000,-179387000,-243343000,-188559000,-571810000
90,Debt Repayment,- -,- -,- -,-1192162000,-13532000,-979253000,-620146000,-984333000,-94904000,-72870000,-866051000,-21275000,694000,3711000,-594933000,-905034000,-336860000,-560995000,-28230000,-53025000,-300000000,-1035514000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254329000,- -,7674000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-500000,-600000,-5700000,-5314000,-4175000,-2563000,-25102000,-56039000,-43982000,-56243000,-85864000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-3141000,-50000000,-20000000,-20000000,-20000000,-20000000,-25100000,-30003000,-50000000,-60000000,-70000000,-90000000,-113914000,-63639000,-104431000
94,Other Financing Activites,-527100000,-139900000,-140300000,1541262000,-18568000,1002353000,464946000,661974000,9404000,-4330000,918451000,119475000,-230994000,-203411000,288574000,864314000,225874000,504364000,26045000,11610000,705877000,377247000
95,Cash Used/Provided by Financing Activities,-527100000,-139900000,-140300000,349100000,-32100000,23100000,-155200000,-325500000,-135500000,-97200000,32300000,77700000,-250900000,-230500000,-341676000,-94895000,-173549000,-151733000,-148224000,55018000,285995000,-840888000
96,Effect of Forex Changes on Cash,-8800000,1000000,1600000,5000000,1300000,-4700000,2900000,7000000,-7600000,1400000,2100000,-3800000,-3200000,-4800000,-10387000,-22288000,-7661000,8242000,-13262000,-2808000,-4127000,-11634000
97,Net Change In Cash,-75800000,-14200000,-6400000,107500000,156200000,-60000000,39900000,-123600000,54900000,60000000,-1100000,-65200000,201600000,83100000,-191003000,20316000,56992000,258059000,79498000,220539000,562402000,-687382000
98,Cash at the End of Period,117000000,102900000,96400000,204000000,360100000,239600000,279500000,155900000,210800000,270800000,269700000,204500000,406100000,489200000,298255000,318571000,375563000,633622000,713120000,934237000,1497155000,810266000
99,Cash at the Beginning of Period,192800000,117100000,102800000,96500000,203900000,299600000,239600000,279500000,155900000,210800000,270800000,269700000,204500000,406100000,489258000,298255000,318571000,375563000,633622000,713698000,934753000,1497648000
100,Free Cash Flow,277900000,119400000,132600000,-230800000,183600000,-85700000,184800000,209800000,144400000,305900000,-8300000,-128800000,447100000,319500000,159513000,113753000,203600000,407163000,260958000,236832000,339203000,570320000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94845/000119312504032389/0001193125-04-032389-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000119312505031592/0001193125-05-031592-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095013406002782/0000950134-06-002782-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095014907000037/0000950149-07-000037-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095013408002299/0000950134-08-002299-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000089161809000035/0000891618-09-000035-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095012310010373/0000950123-10-010373-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000095012311010218/0000950123-11-010218-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000119312512043484/0001193125-12-043484-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484513000003/0000094845-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484514000009/0000094845-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484515000008/0000094845-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484516000047/0000094845-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484517000012/0000094845-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484518000013/0000094845-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484519000006/0000094845-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484520000008/0000094845-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484521000009/0000094845-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94845/000009484522000010/0000094845-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
