,https://roic.ai/company/TTWO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,-400000,8100000,13266000,-2200000,49383000,67197000,31232000,6221000,407000,10191000,15046000,4521000,12680000,9819000,3863000,5050000,14459000,6590000,-30048000,9662000,-36908000,-101052000,53980000,88930000
23,Net Income,-4200000,6000000,16300000,24963000,5990000,71565000,98118000,65378000,37475000,-184889000,-138406000,97097000,-137930000,42593000,48458000,-108816000,-29491000,361605000,-279470000,-8302000,67303000,173533000,333837000,404459000,588886000
24,Net Income ratio,-0.2211,0.0314,0.0533,0.0645,0.0133,0.0901,0.0949,0.0580,0.0312,-0.1781,-0.1410,0.0632,-0.1424,0.0367,0.0426,-0.1318,-0.0243,0.1538,-0.2581,-0.0059,0.0378,0.0968,0.1251,0.1309,0.1746
25,EPS,-0.36,0.29,0.53,0.61,-0.17,1.25,1.56,0.97,0.54,-2.60,-1.93,1.29,-1.80,0.50,0.56,-1.31,-0.34,3.79,-3.48,-0.10,0.73,1.57,2.95,3.58,5.14
26,EPS Diluted,-0.36,0.25,0.51,0.59,-0.17,1.21,1.51,0.95,0.53,-2.60,-1.93,1.28,-1.80,0.50,0.56,-1.31,-0.34,3.20,-3.48,-0.10,0.72,1.54,2.90,3.54,5.09
27,Weighted Average Shares Outstanding,12509143,20570277,31034526,40960500,50941500,57045000,62947500,67104000,69859000,71012000,71860000,75039000,76815000,84975000,86127000,83356000,85581000,95347000,80367000,83417000,90180000,110210000,113176000,113096000,114602000
28,Weighted Average Shares Outstanding Diluted,12517767,24044205,32271937,42495000,50941500,59355000,64945500,68523000,70899000,71012000,71860000,75943000,76815000,84975000,86139000,83356000,85581000,124710000,80367000,83417000,94073000,112864000,115198000,114136000,115744000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946581/000112528202003845/b320556.htm,- -,https://www.sec.gov/Archives/edgar/data/946581/000112528204006450/b401856_10k.htm,https://www.sec.gov/Archives/edgar/data/946581/000112528206000471/b411065-10k.htm,https://www.sec.gov/Archives/edgar/data/946581/000110465907015029/a07-5041_110k.htm,https://www.sec.gov/Archives/edgar/data/946581/000104746907010213/0001047469-07-010213-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746908013277/0001047469-08-013277-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746909010820/0001047469-09-010820-index.html,- -,https://www.sec.gov/Archives/edgar/data/946581/000104746911005488/0001047469-11-005488-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746912006226/a2209413z10-k.htm,https://www.sec.gov/Archives/edgar/data/946581/000104746913006006/0001047469-13-006006-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746914004898/0001047469-14-004898-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746915004959/0001047469-15-004959-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746916013278/0001047469-16-013278-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828017005833/0001628280-17-005833-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828018006877/0001628280-18-006877-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828019006691/0001628280-19-006691-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828020008291/ttwo-20200331.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828021010627/0001628280-21-010627-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,2700000,10400000,5245000,6056000,108369000,183477000,155095000,107195000,132480000,77757000,280277000,102083000,251180000,280359000,420279000,402502000,935400000,911120000,798742000,943396000,808973000,826525000,1357664000,1422884000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186929000,470820000,448932000,615406000,744485000,644003000,1308692000
33,Cash and Short-Term Investments,1900000,2700000,10400000,5245000,6056000,108369000,183477000,155095000,107195000,132480000,77757000,280277000,102083000,251180000,280359000,420279000,402502000,935400000,1098049000,1269562000,1392328000,1424379000,1571010000,2001667000,2731576000
34,Net Receivables,4700000,48900000,108800000,134877000,94950000,108441000,166536000,285709000,198068000,143199000,104937000,157458000,199395000,165542000,84217000,45035000,189596000,53143000,217860000,168527000,219558000,247649000,395729000,592555000,552762000
35,Inventory,1100000,25800000,41300000,44922000,61937000,74391000,101748000,154345000,136227000,95520000,99331000,104235000,93996000,30305000,24578000,22477000,30218000,29780000,20051000,15888000,16323000,15162000,28200000,19108000,17742000
36,Other Current Assets,5200000,17200000,28500000,29864000,59931000,38684000,61641000,109792000,171752000,173674000,216498000,181804000,232750000,229385000,177449000,255826000,243836000,381117000,445348000,591299000,567033000,721987000,832896000,880021000,918435000
37,Total Current Assets,12900000,94600000,189000000,214908000,222874000,329885000,513402000,704941000,613242000,544873000,498523000,723774000,628224000,676412000,566603000,743617000,866152000,1399440000,1781308000,2045276000,2195242000,2409177000,2827835000,3493351000,4220515000
38,PP&E,1200000,1900000,4100000,5260000,11033000,15319000,22260000,34291000,48617000,47496000,44986000,32361000,27392000,22307000,19632000,18949000,25362000,42572000,69792000,77127000,67300000,102478000,127882000,286172000,314127000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,187681000,204845000,230809000,220881000,221746000,225170000,228169000,225992000,226705000,217288000,217080000,359115000,399530000,381717000,386494000,535306000
40,Intangible Assets,6300000,8400000,30900000,90505000,88175000,116822000,146334000,171581000,240889000,74602000,65729000,88114000,98745000,120560000,156153000,121021000,104068000,114619000,129098000,219440000,492172000,743050000,676551000,453038000,612483000
41,Intangible Assets,6300000,8400000,30900000,90505000,88175000,116822000,146334000,171581000,240889000,262283000,270574000,318923000,319626000,342306000,381323000,349190000,330060000,341324000,346386000,436520000,851287000,1142580000,1058268000,839532000,1147789000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,5506000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134732000,116676000,90206000
44,Other Non-Current Assets,4700000,3600000,8700000,40968000,32915000,30934000,25302000,39700000,24622000,14154000,17060000,8294000,33329000,7231000,4101000,37671000,56265000,16294000,33614000,31354000,35325000,83606000,94348000,213101000,255581000
45,Total Non-Current Assets,12200000,13900000,43700000,136733000,132123000,163075000,193896000,245572000,319634000,323933000,332620000,359578000,380347000,371844000,405056000,405810000,411687000,400190000,449792000,545001000,953912000,1328664000,1415230000,1455481000,1807703000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25100000,108500000,232700000,351641000,354997000,492960000,707298000,950513000,932876000,868806000,831143000,1083352000,1008571000,1048256000,971659000,1149427000,1277839000,1799630000,2231100000,2590277000,3149154000,3737841000,4243065000,4948832000,6028218000
48,Accounts Payable,5300000,31600000,71200000,47972000,60223000,79660000,106172000,163961000,133353000,123947000,128782000,156167000,172976000,73549000,56153000,46681000,79932000,16452000,38789000,30448000,31892000,35029000,72797000,65684000,71001000
49,Short-Term Debt,5600000,30500000,56100000,84694000,54172000,95000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25187000,31595000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41669000,- -,12481000,38490000,53261000,21954000,11343000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,11317000,36544000,56163000,6334000,10352000,13434000,13864000,26919000,61195000,482733000,582484000,903125000,777152000,843302000,777784000,928029000
52,Other Current Liabilities,3400000,10800000,20200000,19357000,20250000,52677000,58972000,145849000,100922000,128282000,146835000,153089000,174983000,217574000,161301000,158180000,230148000,397173000,444738000,607479000,750875000,914748000,1035695000,1169884000,1204090000
53,Total Current Liabilities,14300000,72900000,147500000,152023000,134645000,132432000,165247000,309810000,234275000,263546000,312161000,365419000,354293000,301475000,230888000,218725000,336999000,474820000,966260000,1220411000,1685892000,1726929000,1951794000,2038539000,2234715000
54,Long-Term Debt,800000,200000,100000,12616000,- -,- -,- -,- -,- -,- -,18000000,70000000,138000000,104050000,107239000,316340000,335202000,454031000,476057000,497935000,251929000,8068000,- -,- -,159671000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164618000,216319000,10406000,355589000,21058000,28339000,37302000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,3885000,8486000,5233000,- -,- -,- -,- -,10146000,9059000,2961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,291000,201000,73000,- -,2467000,54868000,29828000,32815000,- -,12489000,15292000,18635000,17643000,68973000,61077000,74227000,197199000,158285000,229633000,342710000,264638000
58,Total Non-Current Liabilities,900000,200000,100000,12616000,291000,4086000,8559000,5233000,2467000,54868000,47828000,102815000,148146000,125598000,125492000,334975000,352845000,523004000,701752000,788481000,459534000,521942000,250691000,371049000,461611000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,201000,73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177246000,191266000
61,Total Liabilities,15200000,73100000,147600000,164639000,134936000,136518000,173806000,315043000,236742000,318414000,359989000,468234000,502439000,427073000,356380000,553700000,689844000,997824000,1668012000,2008892000,2145426000,2248871000,2202485000,2409588000,2696326000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,312000,366000,404000,442000,454000,707000,727000,743000,777000,819000,846000,861000,902000,937000,1052000,1046000,1038000,1198000,1327000,1346000,1359000,1376000
64,Retained Earnings,-5700000,1900000,18400000,43365000,16239000,87804000,185024000,250402000,287877000,60659000,-77747000,18275000,-119655000,-79586000,-102523000,-211339000,-240830000,120775000,-158695000,-166997000,-99694000,73516000,877626000,1282085000,1870971000
65,Other Comprehensive Income/Loss,-700000,-1600000,-1900000,-3279000,-5533000,-5268000,-2826000,2458000,-10503000,6902000,34861000,-7513000,8192000,5901000,10459000,6733000,-4572000,2116000,-30624000,-37896000,-47142000,-15732000,-37189000,-58376000,-8664000
66,Other Total Stockholders Equity,16300000,35100000,68400000,146604000,208989000,273502000,350852000,382156000,418053000,482104000,513297000,603579000,616776000,694022000,706482000,799431000,832460000,677863000,751361000,785240000,1149366000,1429859000,1198797000,1314176000,1468209000
67,Total Stockholders Equity,9900000,35400000,85100000,187002000,220061000,356442000,533492000,635470000,696134000,550392000,471154000,615118000,506132000,621183000,615279000,595727000,587995000,801806000,563088000,581385000,1003728000,1488970000,2040580000,2539244000,3331892000
68,Total Liabilities And Stockholders Equity,25100000,108500000,232700000,351641000,354997000,492960000,707298000,950513000,932876000,868806000,831143000,1083352000,1008571000,1048256000,971659000,1149427000,1277839000,1799630000,2231100000,2590277000,3149154000,3737841000,4243065000,4948832000,6028218000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25100000,108500000,232700000,351641000,354997000,492960000,707298000,950513000,932876000,868806000,831143000,1083352000,1008571000,1048256000,971659000,1149427000,1277839000,1799630000,2231100000,2590277000,3149154000,3737841000,4243065000,4948832000,6028218000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946581/000112528202003845/b320556.htm,- -,https://www.sec.gov/Archives/edgar/data/946581/000112528204006450/b401856_10k.htm,https://www.sec.gov/Archives/edgar/data/946581/000112528206000471/b411065-10k.htm,https://www.sec.gov/Archives/edgar/data/946581/000110465907015029/a07-5041_110k.htm,https://www.sec.gov/Archives/edgar/data/946581/000104746907010213/0001047469-07-010213-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746908013277/0001047469-08-013277-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746909010820/0001047469-09-010820-index.html,- -,https://www.sec.gov/Archives/edgar/data/946581/000104746911005488/0001047469-11-005488-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746912006226/a2209413z10-k.htm,https://www.sec.gov/Archives/edgar/data/946581/000104746913006006/0001047469-13-006006-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746914004898/0001047469-14-004898-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746915004959/0001047469-15-004959-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746916013278/0001047469-16-013278-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828017005833/0001628280-17-005833-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828018006877/0001628280-18-006877-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828019006691/0001628280-19-006691-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828020008291/ttwo-20200331.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828021010627/0001628280-21-010627-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4200000,6000000,16300000,24963000,5990000,71565000,98118000,65378000,37475000,-184889000,-138406000,97097000,-137930000,42593000,48458000,-108816000,-29491000,361605000,-279470000,-8302000,67303000,173533000,333837000,404459000,588886000
74,Depreciation and Amortization,1600000,3000000,3300000,10244000,14775000,17092000,21817000,36647000,122028000,166380000,145966000,174207000,124622000,176555000,162737000,163806000,248382000,282450000,154854000,163432000,259356000,144919000,264826000,236543000,232813000
75,Deferred Income Tax,- -,- -,- -,1339000,-8307000,6702000,8203000,-12693000,-5531000,17360000,-1718000,-391000,3432000,2275000,-1095000,1878000,-841000,-19036000,2279000,-270000,3020000,-32523000,110603000,-3486000,10631000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25933000,30387000,28765000,33494000,35765000,78118000,65246000,69996000,81879000,116349000,247700000,257881000,110472000
77,Change in Working Capital,-5200000,23100000,19800000,21385000,25344000,109224000,150702000,46976000,-16164000,-97640000,-94965000,171993000,-84424000,101006000,-39222000,189177000,4261000,395467000,-109572000,9817000,-315515000,172898000,193793000,578771000,530988000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41937000,15523000,-10082000,39182000,-144561000,136453000,-164717000,49348000,-41956000,-26998000,-98075000,-195484000,47195000
79,Inventory,-800000,-5200000,-10800000,-3631000,-4034000,-12852000,-25146000,-50532000,18099000,40707000,-10203000,-4904000,10239000,-3934000,-99000,2101000,-7741000,438000,9729000,3809000,-4942000,3917000,-14403000,8489000,2503000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83734000,194228000,78585000,170162000,189344000,198733000,201152000,299733000,78673000
81,Other Working Capital,-1400000,21700000,41500000,62885000,88229000,197453000,348155000,395131000,378967000,281327000,186362000,358355000,273931000,374937000,335715000,524892000,529153000,924620000,815048000,824865000,509350000,682248000,876041000,1454812000,1985800000
82,Other Non-Cash Items,100000,-39800000,-56100000,-113190000,-10483000,-59585000,-198212000,-115850000,-97828000,142151000,25078000,-291480000,-141837000,-236647000,-64845000,-364503000,-262643000,-398342000,379477000,26632000,235386000,-181229000,-307244000,-788490000,-561472000
83,Cash Provided by Operating Activities,-7700000,-7700000,-16700000,-55259000,27319000,144998000,80628000,20458000,39980000,43362000,-64045000,151426000,-210204000,116169000,134798000,-84964000,-4567000,700262000,212814000,261305000,331429000,393947000,843515000,685678000,912318000
84,CAPEX,-100000,-1800000,-17500000,-2910000,-8568000,-10466000,-15464000,-21586000,-29031000,-25084000,-21594000,-12277000,-16989000,-10158000,-9653000,-10786000,-16820000,-29813000,-49501000,-37280000,-21167000,-87522000,-66969000,-53384000,-68923000
85,Acquisitions Net,- -,- -,- -,-4294000,-5125000,-3788000,-30048000,-39336000,-37753000,-191000,-3017000,-4503000,- -,3596000,2075000,-4101000,- -,-1000000,- -,- -,-130669000,-9401000,-28149000,-12040000,-102469000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192616000,-150501000,-223556000,-374998000,-453591000,-527882000,-1229091000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21976000,45997000,157286000,241012000,325133000,597355000,593759000
88,Other Investing Activites,-900000,- -,-4000000,-5702000,214000,-10000000,-369000,-3500000,-24250000,- -,- -,- -,-5813000,37250000,- -,725000,- -,- -,- -,-182732000,89076000,-66883000,- -,- -,- -
89,Cash Used for Investing Activites,-1000000,-1800000,-21500000,-12906000,-13479000,-18084000,-45881000,-64422000,-91034000,-25275000,-24611000,-16780000,-16989000,30688000,-7578000,-14162000,-16820000,-30813000,-220141000,-324516000,-129030000,-271827000,-223576000,4049000,-806724000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48576000,- -,- -,- -,- -,-221650000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,7500000,100000,24500000,6921000,22931000,23308000,44865000,16683000,31223000,2808000,9503000,25962000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10515000,14214000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-24929000,- -,- -,- -,- -,- -,- -,- -,- -,-276836000,- -,-26552000,- -,-154792000,-362392000,- -,- -
93,Dividends Paid,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2800000,9600000,22300000,64643000,-34721000,-55296000,-303000,-368000,-71000,163000,16191000,51038000,94364000,53000,734000,243364000,- -,364802000,928000,-21495000,-49772000,-126675000,-101293000,-87968000,-71552000
95,Cash Used/Provided by Financing Activities,10100000,9700000,46800000,71564000,-11790000,-31988000,44562000,16315000,6223000,2971000,25694000,77000000,45788000,53000,734000,243364000,- -,-133684000,928000,-48047000,-49772000,-281467000,-463685000,-77453000,-57338000
96,Effect of Forex Changes on Cash,-100000,100000,-900000,-8528000,-1239000,7387000,-4201000,-733000,-3069000,4227000,8239000,-9126000,3211000,2187000,6567000,-4318000,3610000,-2867000,-17881000,-1120000,-7973000,24924000,-10639000,-10868000,18599000
97,Net Change In Cash,10100000,9700000,7600000,-5129000,811000,102313000,75108000,-28382000,-47900000,25285000,-54723000,202520000,-178194000,149097000,134521000,139920000,-17777000,532898000,-24280000,-112378000,144654000,-134423000,145615000,601406000,66855000
98,Cash at the End of Period,- -,- -,10400000,5245000,6056000,108369000,183477000,155095000,107195000,132480000,77757000,280277000,102083000,251180000,280359000,420279000,402502000,935400000,911120000,798742000,943396000,808973000,1391986000,1993392000,2060247000
99,Cash at the Beginning of Period,700000,2400000,2800000,10374000,5245000,6056000,108369000,183477000,155095000,107195000,132480000,77757000,280277000,102083000,145838000,280359000,420279000,402502000,935400000,911120000,798742000,943396000,1246371000,1391986000,1993392000
100,Free Cash Flow,-7800000,-9500000,-34200000,-58169000,18751000,134532000,65164000,-1128000,10949000,18278000,-85639000,139149000,-227193000,106011000,125145000,-95750000,-21387000,670449000,163313000,224025000,310262000,306425000,776546000,632294000,843395000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946581/000112528202003845/b320556.htm,- -,https://www.sec.gov/Archives/edgar/data/946581/000112528204006450/b401856_10k.htm,https://www.sec.gov/Archives/edgar/data/946581/000112528206000471/b411065-10k.htm,https://www.sec.gov/Archives/edgar/data/946581/000110465907015029/a07-5041_110k.htm,https://www.sec.gov/Archives/edgar/data/946581/000104746907010213/0001047469-07-010213-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746908013277/0001047469-08-013277-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746909010820/0001047469-09-010820-index.html,- -,https://www.sec.gov/Archives/edgar/data/946581/000104746911005488/0001047469-11-005488-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746912006226/a2209413z10-k.htm,https://www.sec.gov/Archives/edgar/data/946581/000104746913006006/0001047469-13-006006-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746914004898/0001047469-14-004898-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746915004959/0001047469-15-004959-index.html,https://www.sec.gov/Archives/edgar/data/946581/000104746916013278/0001047469-16-013278-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828017005833/0001628280-17-005833-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828018006877/0001628280-18-006877-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828019006691/0001628280-19-006691-index.html,https://www.sec.gov/Archives/edgar/data/946581/000162828020008291/ttwo-20200331.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828021010627/0001628280-21-010627-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
