,https://roic.ai/company/ADP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000091205794002935/0000912057-94-002935-index.html,https://www.sec.gov/Archives/edgar/data/8670/000091205795007958/0000912057-95-007958-index.html,https://www.sec.gov/Archives/edgar/data/8670/000095011296003416/0000950112-96-003416-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000000867000000026/0000008670-00-000026-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000120677406001911/adp_10k1.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677407002085/0001206774-07-002085-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677408001519/0001206774-08-001519-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677409001642/0001206774-09-001642-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677410001881/0001206774-10-001881-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/0001206774-11-001935-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/0001206774-12-003634-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/0000008670-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/0000008670-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867015000021/0000008670-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867016000053/q4fy1610kinq4fy16.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867017000010/0000008670-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867018000011/0000008670-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/0000008670-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/0000008670-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/0000008670-21-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,505900000,480900000,526400000,240500000,247900000,139100000,304000000,180800000,238600000,313600000,314400000,590600000,752200000,861300000,1227637000,1275356000,798810000,1410218000,712998000,975400000,1900600000,1746100000,917500000,2265300000,1643300000,1389400000,1548100000,1699100000,1983600000,1639300000,3191100000,2780400000,2170000000,1949200000,1908500000,2575200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231200000,596792000,515245000,677005000,595166000,416077000,695800000,367900000,70400000,666300000,30800000,27900000,36300000,30400000,28000000,2032200000,26600000,23500000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,505900000,480900000,526400000,240500000,247900000,139100000,304000000,180800000,238600000,313600000,314400000,590600000,752200000,1092500000,1824429000,1790601000,1475815000,2005384000,1129075000,1671200000,2268500000,1816500000,1583800000,2296100000,1671200000,1425700000,1578500000,1727100000,4015800000,1665900000,3214600000,2780400000,2170000000,1949200000,1908500000,2575200000
34,Net Receivables,164500000,182300000,206700000,240700000,262000000,225400000,243600000,294300000,298100000,377100000,507200000,605100000,727900000,860800000,899314000,976638000,1045170000,1005833000,1057938000,2172400000,2039200000,1041900000,1034600000,1055400000,1127700000,1364800000,1399300000,1598300000,1800400000,1546900000,1742800000,1703600000,1984200000,2439300000,2441300000,2727400000
35,Inventory,29700000,29600000,29600000,38600000,35700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,69400000,62100000,69200000,208600000,189500000,257300000,186100000,296200000,448700000,520400000,632700000,609600000,349200000,241000000,340709000,316221000,296272000,664284000,574576000,597500000,452400000,505800000,16190500000,17352400000,19517800000,25793000000,22177800000,22875600000,20017200000,25596400000,34543000000,28174700000,27895800000,29953800000,27214300000,35439200000
37,Total Current Assets,769500000,754900000,831900000,728400000,735100000,621800000,733700000,771300000,985400000,1211100000,1454300000,1805300000,1829300000,2194300000,3064452000,3083460000,2817257000,3675501000,2761589000,4441100000,4760100000,3364200000,18808900000,20703900000,22316700000,28583500000,25155600000,26201000000,25833400000,28809200000,39500400000,32658700000,32050000000,34342300000,31564100000,40741800000
38,PP&E,363600000,350100000,422300000,432800000,400300000,372300000,356600000,361200000,395800000,416000000,468300000,519300000,583700000,579300000,597269000,614650000,596451000,614701000,642353000,684800000,782000000,723000000,742000000,734000000,673000000,716000000,706000000,728000000,777000000,672000000,685000000,779000000,793000000,764000000,1197600000,1146700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2466200000,2353600000,2426700000,2375500000,2383300000,3073600000,3155300000,3052600000,3113800000,1793500000,1682000000,1741000000,2243500000,2323000000,2309400000,2338400000
40,Intangible Assets,134500000,201500000,216100000,214100000,201600000,257300000,555800000,575200000,609000000,705700000,1247100000,1314800000,1653000000,1532400000,1623701000,1601410000,1877198000,2651022000,2931820000,3143300000,618000000,688000000,637100000,580100000,542400000,715700000,711200000,643200000,632300000,503200000,534200000,620200000,886400000,1071500000,1215800000,1210100000
41,Intangible Assets,134500000,201500000,216100000,214100000,201600000,257300000,555800000,575200000,609000000,705700000,1247100000,1314800000,1653000000,1532400000,1623701000,1601410000,1877198000,2651022000,2931820000,3143300000,3084200000,3041600000,3063800000,2955600000,2925700000,3789300000,3866500000,3695800000,3746100000,2296700000,2216200000,2361200000,3129900000,3394500000,3525200000,3548500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92400000,104300000,98000000,86900000,314000000,54100000,28900000,7800000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,45800000,138400000,183200000,304000000,355300000,313500000,523200000,731700000,715400000,868300000,670200000,743400000,1109400000,1518800000,11565394000,12589570000,12985616000,12892447000,14784797000,19346200000,18863800000,19520100000,1119700000,865800000,842500000,1051500000,1000500000,1329300000,1641100000,1303700000,1260600000,1381100000,1115800000,3386900000,2878600000,3335500000
45,Total Non-Current Assets,543900000,690000000,821600000,950900000,957200000,943100000,1435600000,1668100000,1720200000,1990000000,2385600000,2577500000,3346100000,3630500000,13786364000,14805630000,15459265000,16158170000,18358970000,23174300000,22730000000,23284700000,4925500000,4647800000,4545500000,5654800000,5659900000,6067100000,6218300000,4301300000,4169600000,4521300000,5038700000,7545400000,7601400000,8030700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1313400000,1444900000,1653500000,1679300000,1692300000,1564900000,2169300000,2439400000,2705600000,3201100000,3839900000,4382800000,5175400000,5824800000,16850816000,17889090000,18276522000,19833671000,21120559000,27615400000,27490100000,26648900000,23734400000,25351700000,26862200000,34238300000,30815500000,32268100000,32051700000,33110500000,43670000000,37180000000,37088700000,41887700000,39165500000,48772500000
48,Accounts Payable,- -,- -,- -,41500000,43100000,28400000,34300000,65500000,56200000,66000000,96400000,110300000,119800000,130500000,129436000,156324000,148694000,173988000,175175000,224100000,207300000,125900000,126900000,130300000,150000000,153300000,167700000,157300000,169700000,194500000,152300000,149700000,135400000,125500000,102000000,141100000
49,Short-Term Debt,20900000,19700000,28000000,22300000,33600000,10700000,8300000,1400000,2200000,9600000,96000000,130300000,239800000,67000000,21523000,- -,- -,- -,- -,- -,- -,- -,- -,730000000,- -,- -,- -,245900000,2173000000,- -,- -,- -,- -,262000000,1015400000,23500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230700000,60000000,28600000,39300000,39500000,20400000,27200000,28200000,49000000,43900000,54800000,40100000,58200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299100000,356100000,329800000,321500000,350900000,334100000,316400000,332600000,228600000,233200000,232900000,226500000,220700000,212500000,203900000
52,Other Current Liabilities,252400000,265200000,310700000,312800000,305500000,312600000,324400000,349400000,419800000,467600000,643200000,779300000,861400000,1088900000,1145709000,1179949000,1262408000,1824795000,1593249000,2576600000,2385400000,1365800000,16858600000,17566200000,19580700000,26282600000,22737600000,24013200000,21232700000,26690600000,35461900000,29433300000,30051700000,32019500000,28796700000,37726300000
53,Total Current Liabilities,273300000,284900000,338700000,376600000,382200000,351700000,367000000,416300000,478200000,543200000,835600000,1019900000,1221000000,1286400000,1296668000,1336273000,1411102000,1998783000,1768424000,2800700000,2592700000,1790800000,17341600000,18756300000,20052200000,26786800000,23239400000,24732800000,23908000000,27113700000,35847400000,29815900000,30413600000,32627700000,30126600000,38094800000
54,Long-Term Debt,312100000,205700000,244700000,259900000,82100000,53800000,333200000,347600000,373000000,390200000,403700000,401200000,192100000,145800000,132017000,110227000,90648000,84674000,76200000,75800000,74300000,43500000,52100000,42700000,39800000,34200000,16800000,14700000,11500000,9200000,2007700000,2002400000,2002400000,2002200000,1347200000,3328200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498500000,456900000,477200000,468100000,493200000,513200000,362700000,381100000,391400000,377800000,399300000,370600000,362400000
56,Deferred Tax Liabilities,15000000,20200000,29700000,38800000,57700000,66900000,62900000,74900000,33600000,18800000,112900000,102800000,147400000,138200000,151337000,207928000,237633000,320796000,283781000,290500000,123700000,127700000,170000000,254500000,306400000,373500000,391300000,234400000,288800000,172100000,251100000,163100000,107300000,659900000,731900000,482900000
57,Other Non-Current Liabilities,48200000,59000000,58100000,54500000,43300000,39900000,109500000,106100000,129500000,152300000,172400000,198300000,208400000,246500000,10687976000,11533665000,11422934000,12057945000,13574484000,18664600000,18687800000,19539000000,1083500000,477100000,528000000,556200000,585900000,603100000,660000000,644300000,701100000,830200000,728000000,798700000,837000000,834100000
58,Total Non-Current Liabilities,375300000,284900000,332500000,353200000,183100000,160600000,505600000,528600000,536100000,561300000,689000000,702300000,547900000,530500000,10971330000,11851820000,11751215000,12463415000,13934465000,19030900000,18885800000,19710200000,1305600000,1272800000,1331100000,1441100000,1462100000,1345400000,1473500000,1188300000,3341000000,3387100000,3215500000,3860100000,3286700000,5007600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344400000,343200000
61,Total Liabilities,648600000,569800000,671200000,729800000,565300000,512300000,872600000,944900000,1014300000,1104500000,1524600000,1722200000,1768900000,1816900000,12267998000,13188093000,13162317000,14462198000,15702889000,21831600000,21478500000,21501000000,18647200000,20029100000,21383300000,28227900000,24701500000,26078200000,25381500000,28302000000,39188400000,33203000000,33629100000,36487800000,33413300000,43102400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62900000,63144000,63870000,63870000,63870000,63870000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000,63900000
64,Retained Earnings,479400000,582000000,716600000,864300000,1029800000,1206900000,1405300000,1630100000,1883400000,2182800000,2538000000,2922300000,3374700000,3848400000,4477141000,5153408000,5977318000,6710863000,7326918000,7966000000,9111400000,9378500000,10029800000,10716600000,11252000000,11803900000,12438300000,13020300000,13632900000,13460300000,14003300000,14728200000,15271300000,17500600000,18436300000,19451100000
65,Other Comprehensive Income/Loss,-342500000,-399600000,-460000000,-482300000,-514200000,-537600000,-586700000,-550700000,-605400000,-682200000,-764300000,-832400000,-932200000,-821500000,-952715000,-1029984000,-1099073000,158819000,-19510000,700000,-126300000,-33400000,276200000,156000000,209500000,367100000,230200000,15400000,178200000,-260600000,-215100000,-379200000,-680800000,-257300000,-14800000,10600000
66,Other Total Stockholders Equity,527900000,692700000,725700000,567500000,611400000,383300000,478100000,415100000,413300000,596000000,541600000,570700000,964000000,918100000,995248000,513703000,172090000,-1562079000,-1953608000,-2246800000,-3037400000,-4261100000,-5282700000,-5613900000,-6046500000,-6224500000,-6618400000,-6909700000,-7204800000,-8455100000,-9370500000,-10435900000,-11194800000,-11907300000,-12733200000,-13855500000
67,Total Stockholders Equity,664800000,875100000,982300000,949500000,1127000000,1052600000,1296700000,1494500000,1691300000,2096600000,2315300000,2660600000,3406500000,4007900000,4582818000,4700997000,5114205000,5371473000,5417670000,5783800000,6011600000,5147900000,5087200000,5322600000,5478900000,6010400000,6114000000,6189900000,6670200000,4808500000,4481600000,3977000000,3459600000,5399900000,5752200000,5670100000
68,Total Liabilities And Stockholders Equity,1313400000,1444900000,1653500000,1679300000,1692300000,1564900000,2169300000,2439400000,2705600000,3201100000,3839900000,4382800000,5175400000,5824800000,16850816000,17889090000,18276522000,19833671000,21120559000,27615400000,27490100000,26648900000,23734400000,25351700000,26862200000,34238300000,30815500000,32268100000,32051700000,33110500000,43670000000,37180000000,37088700000,41887700000,39165500000,48772500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1313400000,1444900000,1653500000,1679300000,1692300000,1564900000,2169300000,2439400000,2705600000,3201100000,3839900000,4382800000,5175400000,5824800000,16850816000,17889090000,18276522000,19833671000,21120559000,27615400000,27490100000,26648900000,23734400000,25351700000,26862200000,34238300000,30815500000,32268100000,32051700000,33110500000,43670000000,37180000000,37088700000,41887700000,39165500000,48772500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000091205794002935/0000912057-94-002935-index.html,https://www.sec.gov/Archives/edgar/data/8670/000091205795007958/0000912057-95-007958-index.html,https://www.sec.gov/Archives/edgar/data/8670/000095011296003416/0000950112-96-003416-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000000867000000026/0000008670-00-000026-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8670/000120677406001911/adp_10k1.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677407002085/0001206774-07-002085-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677408001519/0001206774-08-001519-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677409001642/0001206774-09-001642-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677410001881/0001206774-10-001881-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/0001206774-11-001935-index.html,https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/0001206774-12-003634-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/0000008670-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/0000008670-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867015000021/0000008670-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867016000053/q4fy1610kinq4fy16.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867017000010/0000008670-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867018000011/0000008670-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/0000008670-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/0000008670-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/0000008670-21-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,187600000,211700000,227700000,256200000,294200000,329300000,394800000,454700000,513500000,605300000,696800000,840800000,924720000,1100770000,1018150000,935570000,1055400000,1554000000,1138700000,1235700000,1332600000,1211400000,1254200000,1388500000,1405800000,1515900000,1452500000,1492500000,1733400000,1620800000,2292800000,2466500000,2598500000
74,Depreciation and Amortization,- -,- -,- -,123600000,113500000,114500000,116100000,140200000,148300000,172500000,201600000,223400000,244600000,272800000,284282000,320856000,279077000,274682000,436694000,424400000,364000000,329300000,361800000,308100000,309200000,318200000,323300000,317000000,336200000,277900000,288600000,316100000,377600000,409000000,480000000,510700000
75,Deferred Income Tax,- -,- -,- -,9100000,18900000,9200000,-4000000,12000000,4900000,-11100000,13900000,-35300000,-4800000,-23200000,8885000,29450000,8680000,-15775000,109155000,18900000,33900000,15100000,-92700000,-47900000,96100000,107600000,38100000,24600000,-50300000,-15300000,700000,10000000,500000,9300000,26000000,-251100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,67600000,76300000,78700000,96400000,138400000,143200000,137600000,138900000,175400000,167300000,130800000,175300000
