,https://roic.ai/company/EXTR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,24300000,56900000,118786000,311893000,366533000,200631000,188400000,191900000,189200000,206800000,204200000,189700000,177900000,176800000,164344000,154448000,291435000,322707000,284203000,303217000,510687000,557427000,562654000,546147000
11,COGS and Expenses,37700000,99500000,245702000,593125000,601030000,413552000,361100000,372600000,353900000,364400000,360700000,334700000,310800000,331300000,307219000,291165000,543660000,595910000,541804000,576850000,959312000,1001981000,992834000,970442000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3360000,1481000,1304000,1239000,1070000,751000,541000,113000,689000,2847000,2232000,1420000,352000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,141000,132000,75000,- -,2085000,3177000,3098000,4086000,13923000,12597000,23750000,22856000
14,Depreciation and Amortization,1600000,5900000,14163000,56858000,78754000,26652000,26246000,23879000,16590000,11974000,8542000,5902000,5588000,8891000,7166000,6031000,39399000,48783000,43172000,26340000,49056000,52873000,63821000,55317000
15,EBITDA,-12300000,6000000,44532000,-34693000,-158048000,-35742000,27722000,40322000,26888000,-86000,19120000,11321000,5519000,12722000,24309000,17382000,-11637000,-14876000,18722000,26249000,16332000,39596000,-32921000,88358000
16,EBITDA ratio,-0.5212,0.0612,0.1700,-0.0706,-0.3579,-0.0984,0.0788,0.1052,0.0750,-0.0003,0.0528,0.0337,0.0178,0.0380,0.0753,0.0581,-0.0224,-0.0269,0.0354,0.0439,0.0166,0.0398,-0.0347,0.0875
17,Operating Income,-14100000,-1500000,16254000,-101893000,-232991000,-66215000,-9281000,10757000,4692000,-21583000,1172000,859000,-1424000,3114000,13909000,10852000,-50232000,-62994000,-25550000,-733000,-38210000,-14726000,-98899000,34376000
18,Operating Income ratio,-0.5975,-0.0153,0.0620,-0.2074,-0.5276,-0.1823,-0.0264,0.0281,0.0131,-0.0630,0.0032,0.0026,-0.0046,0.0093,0.0431,0.0363,-0.0967,-0.1139,-0.0484,-0.0012,-0.0389,-0.0148,-0.1043,0.0341
19,Total Other Income Expenses (Gains),400000,1600000,14115000,10342000,-3811000,3821000,10681000,5743000,5608000,9483000,9428000,4441000,1224000,586000,3159000,499000,-2889000,-3842000,-1998000,-3444000,-8437000,-11148000,-21593000,-24191000
20,Income Before Tax,- -,100000,30369000,-91551000,-236802000,-62394000,1400000,16500000,10300000,-12100000,10600000,5300000,-200000,3700000,17068000,11351000,-53121000,-66836000,-27548000,-4177000,-46647000,-25874000,-120492000,10185000
21,Income Before Tax Ratio,- -,0.0010,0.1159,-0.1864,-0.5362,-0.1718,0.0040,0.0430,0.0287,-0.0353,0.0293,0.0158,-0.0006,0.0111,0.0529,0.0379,-0.1022,-0.1209,-0.0521,-0.0070,-0.0474,-0.0260,-0.1271,0.0101
22,Income Tax expense (Gain),- -,1700000,10321000,-22668000,-52840000,134786000,3176000,3543000,1798000,2140000,2178000,2472000,-410000,999000,1196000,1678000,4189000,4807000,4336000,4340000,145000,-21000,6353000,8249000
23,Net Income,-13900000,-1600000,20048000,-68883000,-183962000,-197180000,-1700000,12900000,8500000,-14200000,8400000,2800000,200000,2700000,15872000,9673000,-57310000,-71643000,-31884000,-8517000,-46792000,-25853000,-126845000,1936000
24,Net Income ratio,-0.5890,-0.0163,0.0765,-0.1402,-0.4166,-0.5428,-0.0048,0.0337,0.0237,-0.0414,0.0232,0.0083,0.0006,0.0081,0.0492,0.0323,-0.1103,-0.1296,-0.0603,-0.0142,-0.0476,-0.0260,-0.1338,0.0019
25,EPS,-1.59,-0.09,0.20,-0.64,-1.63,-1.71,-0.01,0.11,0.07,-0.12,0.07,0.03,0.00,0.03,0.17,0.10,-0.60,-0.72,-0.31,-0.08,-0.41,-0.22,-1.06,0.02
26,EPS Diluted,-1.59,-0.09,0.18,-0.64,-1.63,-1.71,-0.01,0.10,0.07,-0.12,0.07,0.03,0.00,0.03,0.17,0.10,-0.60,-0.72,-0.31,-0.08,-0.41,-0.22,-1.06,0.02
27,Weighted Average Shares Outstanding,8742138,18924000,100516000,108353000,112925000,115186000,118348000,121225000,121286000,114122000,115002000,94225000,89281000,91423000,93451000,93954000,95515000,99000000,103074000,108273000,114221000,117954000,119814000,124019000
28,Weighted Average Shares Outstanding Diluted,8742138,18924000,111168000,108353000,112925000,115186000,118348000,124219000,123049000,114122000,115784000,94284000,89477000,92795000,94490000,95044000,95515000,99000000,103074000,108273000,114221000,117954000,119814000,127669000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1078271/000101287099003353/0001012870-99-003353-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000101287000005060/0001012870-00-005060-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000101287001502006/0001012870-01-502006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1078271/000119312504152272/0001193125-04-152272-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312505181688/d10k.htm,https://www.sec.gov/Archives/edgar/data/1078271/000119312507144835/d10k.htm,https://www.sec.gov/Archives/edgar/data/1078271/000119312507193082/0001193125-07-193082-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312508193042/0001193125-08-193042-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312509183942/0001193125-09-183942-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312510194128/0001193125-10-194128-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827111000066/0001078271-11-000066-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827112000048/0001078271-12-000048-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827113000049/0001078271-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827114000053/0001078271-14-000053-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827115000120/0001078271-15-000120-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459016024924/0001564590-16-024924-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459017018633/0001564590-17-018633-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459018022453/0001564590-18-022453-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459019033615/0001564590-19-033615-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459020042032/0001564590-20-042032-index.htm,https://www.sec.gov/Archives/edgar/data/1078271/000156459021046138/0001564590-21-046138-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9500000,107100000,116721000,87722000,- -,44340000,59200000,127500000,92600000,71600000,70400000,46200000,49000000,50000000,54596000,95803000,73190000,76225000,94122000,130450000,121139000,169607000,193872000,246894000
32,Short-Term Investments,- -,16400000,66640000,69374000,- -,119277000,162100000,127900000,297700000,91600000,42900000,9000000,64900000,41400000,23358000,43034000,32692000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9500000,123500000,183361000,157096000,- -,163617000,221300000,255400000,390300000,163200000,113300000,55200000,113900000,91400000,77954000,138837000,105882000,76225000,94122000,130450000,121139000,169607000,193872000,246894000
34,Net Receivables,7800000,20800000,60996000,75738000,- -,26794000,33000000,30800000,27700000,23100000,64400000,44300000,42100000,33700000,41166000,47642000,124664000,92737000,81419000,120770000,212423000,174414000,122727000,156476000
35,Inventory,100000,2600000,23801000,60529000,- -,18710000,25900000,25900000,19300000,25300000,13900000,12400000,21800000,21600000,26609000,16167000,57109000,58014000,40989000,45880000,63867000,63589000,62589000,32885000
36,Other Current Assets,11600000,2100000,34326000,57398000,- -,16878000,8000000,12400000,9400000,14400000,5000000,4500000,4300000,10700000,23380000,6135000,15201000,11018000,12438000,27867000,30484000,34379000,35019000,51340000
37,Total Current Assets,29000000,149000000,302484000,350761000,- -,225999000,288200000,324500000,446700000,226000000,196600000,116400000,182100000,157400000,169109000,208781000,302856000,237994000,228968000,324967000,427913000,441989000,414207000,487595000
38,PP&E,4500000,6500000,26750000,57251000,- -,73767000,59800000,50400000,46500000,43200000,43300000,44200000,43600000,41900000,25180000,23644000,46554000,39862000,29580000,30240000,78519000,73554000,110087000,91931000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70877000,70877000,70877000,80216000,139082000,138577000,331159000,331159000
40,Intangible Assets,- -,- -,49782000,113886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,5106000,4243000,87459000,52132000,19762000,25337000,77092000,51112000,68394000,36038000
41,Intangible Assets,- -,- -,49782000,113886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,5106000,4243000,158336000,123009000,90639000,105553000,216174000,189689000,399553000,367197000
42,Investments,- -,- -,- -,- -,- -,- -,204400000,185000000,42800000,52700000,112400000,72231000,18561000,55648000,75561000,66776000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,40028000,- -,- -,800000,800000,600000,700000,400000,600000,700000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,16300000,136914000,126431000,- -,250491000,26100000,22900000,22100000,19300000,13100000,13169000,14939000,11052000,9634000,7980000,18686000,27795000,25662000,22586000,47642000,51642000,55241000,63370000
45,Total Non-Current Assets,4700000,22800000,213446000,337596000,- -,324258000,291100000,259100000,112000000,115900000,169200000,130200000,77800000,113600000,115481000,102643000,223576000,190666000,145881000,158379000,342335000,314885000,564881000,522498000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33700000,171800000,515930000,688357000,- -,550257000,579300000,583600000,558700000,341900000,365800000,246600000,259900000,271000000,284590000,311424000,526432000,428660000,374849000,483346000,770248000,756874000,979088000,1010093000
48,Accounts Payable,10000000,13400000,39023000,35890000,- -,19020000,19000000,18300000,20100000,21300000,16900000,12800000,18500000,15100000,19437000,27163000,37308000,40135000,30711000,31587000,75689000,65704000,48439000,60142000
49,Short-Term Debt,- -,1600000,- -,- -,- -,- -,- -,- -,200000000,- -,- -,- -,- -,- -,- -,- -,29688000,11375000,17875000,12280000,9007000,9011000,35712000,42464000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,22042000,57372000,- -,48298000,886000,430000,500000,1118000,254000,244000,392000,681000,47088000,50572000,106727000,117426000,99751000,122573000,130865000,144230000,190226000,212412000
52,Other Current Liabilities,5300000,14900000,35538000,46067000,- -,62455000,108314000,86170000,78900000,81882000,99346000,79956000,80608000,84119000,30223000,34767000,72585000,66494000,63436000,89382000,144311000,137084000,123444000,140682000
53,Total Current Liabilities,15300000,29900000,96603000,139329000,- -,129773000,128200000,104900000,299500000,104300000,116500000,93000000,99500000,99900000,96748000,112502000,246308000,235430000,211773000,255822000,359872000,356029000,397821000,455700000
54,Long-Term Debt,2600000,- -,306000,- -,- -,200000000,200300000,200000000,- -,- -,- -,- -,- -,- -,- -,- -,91875000,55500000,37625000,80422000,188749000,169739000,394585000,348380000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7559000,8270000,22942000,23231000,21926000,25293000,43660000,59012000,100961000,133172000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,673000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2979000,4693000,6576000,6135000,1957000,2334000,3828000
57,Other Non-Current Liabilities,-100000,- -,- -,266000,- -,20575000,21200000,30700000,23000000,21400000,17200000,12100000,11300000,9800000,643000,1507000,8595000,7285000,8635000,8526000,59100000,54150000,77989000,14545000
58,Total Non-Current Liabilities,2500000,- -,306000,266000,- -,221248000,221500000,230700000,23000000,21400000,17200000,12100000,11300000,9800000,8202000,9777000,123412000,88995000,72879000,120817000,297644000,284858000,575869000,499925000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69434000,51258000
61,Total Liabilities,17800000,29900000,96909000,139595000,- -,351021000,349700000,335600000,322500000,125700000,133700000,105100000,110800000,109700000,104950000,122279000,369720000,324425000,284652000,376639000,657516000,640887000,973690000,955625000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,106000,640655000,- -,652091000,687200000,693200000,927800000,934500000,943300000,100000,100000,100000,134000,94000,97000,100000,105000,111000,116000,122000,127000,133000
64,Retained Earnings,-21900000,-23500000,-3428000,-72311000,- -,-453453000,-455200000,-442300000,-656400000,-670600000,-662200000,-659400000,-659200000,-656400000,-640576000,-630903000,-688213000,-759856000,-791740000,-800257000,-828078000,-853434000,-980279000,-978343000
65,Other Comprehensive Income/Loss,-1800000,-7500000,-9170000,-23898000,- -,598000,-2457000,-2887000,-1567000,572000,-723000,1323000,1100000,3703000,-861000,-1377000,-439000,-1291000,-2874000,-2302000,-1703000,-2473000,-6378000,-2811000
66,Other Total Stockholders Equity,39600000,172900000,431513000,4316000,- -,- -,15000,-1000,-33652000,-48247000,-48323000,799487000,807195000,813883000,820943000,821331000,845267000,865282000,884706000,909155000,942397000,971772000,991928000,1035489000
67,Total Stockholders Equity,15900000,141900000,419021000,548762000,- -,199236000,229558000,248012000,236181000,216225000,232054000,141510000,149195000,161286000,179640000,189145000,156712000,104235000,90197000,106707000,112732000,115987000,5398000,54468000
68,Total Liabilities And Stockholders Equity,33700000,171800000,515930000,688357000,- -,550257000,579258000,583612000,558681000,341925000,365754000,246610000,259995000,270986000,284590000,311424000,526432000,428660000,374849000,483346000,770248000,756874000,979088000,1010093000
69,Minority Interest,- -,- -,- -,- -,- -,- -,42000,-12000,19000,-25000,46000,-10000,-95000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33700000,171800000,515930000,688357000,- -,550257000,579300000,583600000,558700000,341900000,365800000,246600000,259900000,271000000,284590000,311424000,526432000,428660000,374849000,483346000,770248000,756874000,979088000,1010093000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1078271/000101287099003353/0001012870-99-003353-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000101287000005060/0001012870-00-005060-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000101287001502006/0001012870-01-502006-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1078271/000119312504152272/0001193125-04-152272-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312505181688/d10k.htm,https://www.sec.gov/Archives/edgar/data/1078271/000119312507144835/d10k.htm,https://www.sec.gov/Archives/edgar/data/1078271/000119312507193082/0001193125-07-193082-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312508193042/0001193125-08-193042-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312509183942/0001193125-09-183942-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312510194128/0001193125-10-194128-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827111000066/0001078271-11-000066-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827112000048/0001078271-12-000048-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827113000049/0001078271-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827114000053/0001078271-14-000053-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827115000120/0001078271-15-000120-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459016024924/0001564590-16-024924-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459017018633/0001564590-17-018633-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459018022453/0001564590-18-022453-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459019033615/0001564590-19-033615-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459020042032/0001564590-20-042032-index.htm,https://www.sec.gov/Archives/edgar/data/1078271/000156459021046138/0001564590-21-046138-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13900000,-1600000,20048000,-68883000,-183962000,-197180000,-1700000,12900000,8500000,-14200000,8400000,2800000,200000,2700000,15872000,9673000,-57310000,-71643000,-31884000,-8517000,-46792000,-25853000,-126845000,1936000
74,Depreciation and Amortization,1600000,5900000,14163000,56858000,78754000,26652000,26246000,23879000,16590000,11974000,8542000,5902000,5588000,8891000,7166000,6031000,39399000,48783000,43172000,26340000,49056000,52873000,63821000,55317000
75,Deferred Income Tax,- -,- -,- -,-64173000,-56771000,133563000,-188000,451000,-249000,64000,578000,170000,21000,-928000,37000,-35000,-61000,1871000,- -,- -,-4677000,-5766000,1760000,1785000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3854000,6235000,5248000,6189000,7353000,15922000,17801000,14792000,12633000,27633000,32897000,37842000,39051000
77,Change in Working Capital,4100000,105400000,86781000,5551000,-3251000,16858000,63800000,59600000,-72400000,-25500000,-41600000,-56700000,59200000,-25100000,14861000,23918000,-39731000,-53984000,14631000,51950000,-1104000,17919000,-69574000,15509000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19907000,-4414000,8376000,-7603000,-6304000,-56116000,27681000,10178000,-25050000,-69518000,36331000,62151000,-34158000
79,Inventory,-100000,-2500000,-21175000,-69481000,28306000,5617000,-8431000,-1114000,5405000,-8990000,5567000,-706000,-11236000,-1977000,-6115000,10442000,-7280000,-904000,17025000,8587000,17343000,278000,19951000,22729000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4150000,5773000,-3453000,3918000,7726000,-4234000,2827000,-9562000,2064000,18844000,-9850000,-26080000,10810000
81,Other Working Capital,13700000,119100000,205881000,211432000,- -,- -,160000000,219600000,147200000,121700000,80100000,23400000,82600000,57500000,72361000,96279000,56548000,2564000,17195000,69145000,68041000,85960000,16386000,31895000
82,Other Non-Cash Items,-100000,-106900000,-96173000,65994000,185699000,30188000,-66690000,-80372000,75596000,27392000,40246000,48676000,-61938000,25966000,-30312000,-14703000,14938000,94595000,-10345000,-23123000,-5073000,32875000,128880000,30937000
83,Cash Provided by Operating Activities,-8300000,2800000,24819000,-4653000,20469000,10081000,21468000,16458000,28037000,-270000,16166000,4702000,9306000,16777000,13813000,32237000,-26843000,37423000,30366000,59283000,19043000,104945000,35884000,144535000
84,CAPEX,-2500000,-7500000,-27236000,-51224000,-82819000,-14716000,-6263000,-7127000,-7969000,-4637000,-7683000,-6877000,-5109000,-5697000,-5512000,-13362000,-22460000,-7774000,-5327000,-10425000,-40411000,-22730000,-15268000,-17176000
85,Acquisitions Net,- -,- -,- -,1179000,-14920000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180000000,-3000000,- -,-61327000,-97581000,- -,-219458000,- -
86,Purchases of Investments,-11000000,-35700000,-158770000,- -,-390911000,-582910000,-306365000,-297051000,-273986000,-210711000,-307442000,-44479000,-51552000,-111798000,-75851000,-57712000,-9045000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,14000000,- -,8398000,247546000,553775000,292980000,350084000,247726000,408673000,294071000,121735000,49079000,95416000,70953000,44895000,85316000,32372000,- -,- -,5521000,921000,45249000,- -
88,Other Investing Activites,- -,100000,-8970000,-7750000,- -,- -,- -,- -,- -,- -,1000,-6877000,-5109000,-5697000,-5512000,29297000,-22460000,-7774000,-5327000,-10425000,-40411000,-22730000,-15268000,-17176000
89,Cash Used for Investing Activites,-13500000,-29100000,-194976000,-49397000,-241104000,-43851000,-19648000,45906000,-34229000,193325000,-21053000,70379000,-7582000,-22079000,-10410000,16480000,-126189000,21598000,-5327000,-71752000,-132471000,-21809000,-189477000,-17176000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26437000,-78688000,-26375000,-10038000,-193713000,-19875000,-34517000,-74000000
91,Common Stock Issued,20400000,126600000,181383000,25051000,11206000,6280000,13004000,5942000,5020000,523000,3684000,2107000,1085000,1530000,1392000,7084000,8017000,2218000,4637000,11822000,3341000,11484000,8789000,4516000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-33700000,-14603000,- -,-101363000,- -,- -,- -,-14475000,- -,- -,- -,- -,- -,-15000000,-30000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,800000,-2600000,-1648000,- -,193537000,- -,- -,- -,- -,-200000000,- -,- -,- -,1000000,1001000,- -,148000000,24000000,15000000,46924000,295118000,-11051000,234220000,-5298000
95,Cash Used/Provided by Financing Activities,21200000,124000000,179735000,25051000,204743000,6280000,13004000,5942000,-28680000,-214080000,3684000,-99256000,1085000,2530000,2393000,-7391000,129580000,-52470000,-6738000,48708000,104746000,-34442000,178492000,-74782000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,-1172000,-119000,839000,-3516000,-404000,89000,-629000,-226000,-634000,445000
97,Net Change In Cash,21200000,97600000,9578000,-28999000,-15892000,-27490000,14824000,68306000,-34872000,-21025000,-1203000,-24175000,2809000,-1972000,4624000,41207000,-22613000,3035000,17897000,36328000,-9311000,48468000,24265000,53022000
98,Cash at the End of Period,- -,107100000,116721000,87722000,71830000,44340000,59164000,127470000,92598000,71573000,70370000,46195000,49004000,49972000,54596000,95803000,73190000,76225000,94122000,130450000,121139000,169607000,193872000,246894000
99,Cash at the Beginning of Period,10000000,9500000,107143000,116721000,87722000,71830000,44340000,59164000,127470000,92598000,71573000,70370000,46195000,51944000,49972000,54596000,95803000,73190000,76225000,94122000,130450000,121139000,169607000,193872000
100,Free Cash Flow,-10800000,-4700000,-2417000,-55877000,-62350000,-4635000,15205000,9331000,20068000,-4907000,8483000,-2175000,4197000,11080000,8301000,18875000,-49303000,29649000,25039000,48858000,-21368000,82215000,20616000,127359000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1078271/000101287099003353/0001012870-99-003353-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000101287000005060/0001012870-00-005060-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000101287001502006/0001012870-01-502006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1078271/000119312504152272/0001193125-04-152272-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312505181688/d10k.htm,https://www.sec.gov/Archives/edgar/data/1078271/000119312507144835/d10k.htm,https://www.sec.gov/Archives/edgar/data/1078271/000119312507193082/0001193125-07-193082-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312508193042/0001193125-08-193042-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312509183942/0001193125-09-183942-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000119312510194128/0001193125-10-194128-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827111000066/0001078271-11-000066-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827112000048/0001078271-12-000048-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827113000049/0001078271-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827114000053/0001078271-14-000053-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000107827115000120/0001078271-15-000120-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459016024924/0001564590-16-024924-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459017018633/0001564590-17-018633-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459018022453/0001564590-18-022453-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459019033615/0001564590-19-033615-index.html,https://www.sec.gov/Archives/edgar/data/1078271/000156459020042032/0001564590-20-042032-index.htm,https://www.sec.gov/Archives/edgar/data/1078271/000156459021046138/0001564590-21-046138-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
