,https://roic.ai/company/PLAB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,2400000,3300000,2400000,-400000,4700000,9400000,15100000,12000000,13000000,23500000,39500000,47100000,70800000,76900000,57700000,71744000,65949000,71287000,37821000,133080000,136606000,130440000,125696000,-112091000,66652000,122242000,125810000,124804000,98979000,115401000,138480000,131976000,110282000,135985000,125307000,151259000,170720000
16,EBITDA ratio,0.2449,0.2773,0.1727,-0.0213,0.1697,0.2513,0.3578,0.2906,0.2686,0.2912,0.3152,0.2942,0.3006,0.2856,0.2579,0.2166,0.1745,0.1843,0.1084,0.3365,0.3099,0.2867,0.2982,-0.2653,0.1844,0.2873,0.2457,0.2771,0.2344,0.2534,0.2642,0.2730,0.2447,0.2540,0.2276,0.2481,0.2572
17,Operating Income,1300000,2000000,1000000,-2500000,1600000,6400000,8700000,5900000,7100000,14300000,23600000,32200000,40500000,39300000,20800000,43772000,6981000,7793000,-29922000,51300000,58674000,41833000,22968000,-205853000,-12495000,39475000,75467000,44415000,30669000,28795000,72233000,52475000,31868000,65627000,52121000,63928000,94554000
18,Operating Income ratio,0.1327,0.1681,0.0719,-0.1330,0.0578,0.1711,0.2062,0.1429,0.1467,0.1772,0.1883,0.2011,0.1720,0.1459,0.0930,0.1322,0.0185,0.0201,-0.0858,0.1297,0.1331,0.0920,0.0545,-0.4872,-0.0346,0.0928,0.1474,0.0986,0.0726,0.0632,0.1378,0.1085,0.0707,0.1226,0.0947,0.1049,0.1425
19,Total Other Income Expenses (Gains),- -,-100000,- -,-200000,-300000,-100000,2300000,900000,300000,1000000,6200000,1700000,9300000,3600000,-3800000,-28896000,-9302000,-13293000,-11778000,-10255000,-3374000,3567000,932000,-6347000,-24605000,-6922000,-39567000,-3815000,-3869000,12505000,-2193000,7999000,-5303000,2944000,-1420000,-2327000,7452000
20,Income Before Tax,1300000,1900000,1000000,-2700000,1300000,6300000,11000000,6800000,7400000,15300000,29800000,33900000,49800000,42900000,17000000,14876000,-2321000,-5500000,-41700000,41045000,55300000,45400000,23900000,-212200000,-37100000,32553000,35900000,40600000,26800000,41300000,70040000,60474000,26565000,68571000,50701000,61601000,102006000
21,Income Before Tax Ratio,0.1327,0.1597,0.0719,-0.1436,0.0469,0.1684,0.2607,0.1646,0.1529,0.1896,0.2378,0.2117,0.2115,0.1593,0.0760,0.0449,-0.0061,-0.0142,-0.1195,0.1038,0.1255,0.0998,0.0567,-0.5022,-0.1027,0.0765,0.0701,0.0901,0.0635,0.0907,0.1336,0.1251,0.0589,0.1281,0.0921,0.1010,0.1537
22,Income Tax expense (Gain),200000,700000,400000,-1000000,400000,2300000,4200000,2400000,2500000,5200000,11200000,12900000,18900000,16300000,6300000,4700000,-3000000,-7000000,924000,5761000,10058000,10462000,3178000,2778000,-4323000,7471000,15691000,10793000,7229000,9295000,13181000,4798000,5276000,7335000,10210000,21258000,23190000
23,Net Income,1100000,1200000,600000,-1700000,900000,4000000,6800000,4400000,4900000,10300000,18600000,21000000,31000000,26600000,10700000,10176000,-4026000,-4900000,-48200000,24466000,38700000,29300000,24500000,-210800000,-41900000,23922000,16200000,27900000,18000000,26000000,44625000,46200000,13130000,42055000,29793000,33820000,55449000
24,Net Income ratio,0.1122,0.1008,0.0432,-0.0904,0.0325,0.1070,0.1611,0.1065,0.1012,0.1276,0.1484,0.1312,0.1316,0.0988,0.0478,0.0307,-0.0107,-0.0127,-0.1381,0.0619,0.0878,0.0644,0.0581,-0.4989,-0.1159,0.0562,0.0316,0.0619,0.0426,0.0571,0.0851,0.0956,0.0291,0.0786,0.0541,0.0555,0.0835
25,EPS,0.15,0.16,0.07,-0.18,0.09,0.35,0.45,0.28,0.30,0.55,0.83,0.87,1.07,0.84,0.45,0.35,-0.13,-0.16,-1.50,0.75,1.09,0.71,0.59,-5.06,-0.97,0.45,0.28,0.46,0.30,0.42,0.67,0.68,0.19,0.61,0.45,0.52,0.90
26,EPS Diluted,0.15,0.16,0.07,-0.18,0.09,0.35,0.45,0.28,0.30,0.53,0.83,0.87,1.03,0.84,0.45,0.34,-0.13,-0.16,-1.50,0.68,0.95,0.66,0.56,-5.06,-0.97,0.43,0.28,0.44,0.29,0.41,0.63,0.64,0.19,0.59,0.44,0.52,0.89
27,Weighted Average Shares Outstanding,7333333,7500000,8571429,9444444,10000000,11428571,15111111,15714286,16333333,18727273,22414000,24202000,23925234,24404762,23958000,28761000,29919000,31278000,32144000,32564000,35519000,41369000,41539000,41658000,43210000,53433000,57030000,60055000,60644000,61779000,66331000,67539000,68436000,68829000,66347000,64866000,61407000
28,Weighted Average Shares Outstanding Diluted,7333333,7500000,8571429,9444444,10000000,11428571,15111111,15714286,16333333,19433962,22414000,24202000,24854369,24404762,23958000,29831000,29919000,31278000,32144000,42339000,45256000,51072000,51282000,41658000,43210000,65803000,58458000,76464000,61599000,66679000,78383000,76354000,69288000,74821000,69155000,65470000,61999000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810136/000081013604000002/plab_10-k2003.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013605000003/plab_10k-2004.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013606000009/plab_10k-2005.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013607000002/plab_10k-2006.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013608000003/plab_10k-2007.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013609000008/0000810136-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/810136/000081013610000003/0000810136-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/810136/000120677411000053/photronics_10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036112002364/0001140361-12-002364-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036113001560/0001140361-13-001560-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036114000609/form10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036115000753/form10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036116047150/0001140361-16-047150-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036117000934/0001140361-17-000934-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036117046903/0001140361-17-046903-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036118045611/0001140361-18-045611-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036119023041/0001140361-19-023041-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036121001225/0001140361-21-001225-index.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036121042251/0001140361-21-042251-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,3800000,4800000,1500000,3000000,6700000,7000000,9700000,8200000,25100000,35600000,18800000,57800000,23800000,16300000,38182000,34684000,113900000,214800000,142300000,196000000,129400000,146000000,83800000,88500000,98945000,189900000,218000000,215600000,192900000,205867000,314074000,308021000,329277000,206530000,278665000,276670000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28200000,7500000,- -,- -,- -,15100000,17000000,84628000,90600000,69900000,5700000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2600000,3800000,4800000,1500000,3000000,6700000,7000000,9700000,8200000,25100000,35600000,18800000,86000000,31300000,16300000,38182000,34684000,129000000,231800000,226928000,286600000,199300000,151700000,85100000,88500000,98945000,189900000,218000000,215600000,192900000,205867000,314074000,308021000,329277000,206530000,278665000,276670000
34,Net Receivables,800000,1500000,2300000,3500000,4500000,5900000,5900000,4900000,9800000,10200000,17900000,24800000,34600000,31500000,41300000,64019000,70704000,62500000,59600000,68737000,70000000,84300000,68200000,68100000,66900000,82951000,85500000,75700000,73400000,94500000,110056000,92636000,105320000,120515000,134454000,157322000,208519000
35,Inventory,300000,300000,700000,1300000,800000,1000000,1400000,1600000,2900000,2500000,6400000,8000000,11300000,14100000,13900000,18486000,21492000,19900000,14300000,16066000,20500000,19200000,17700000,17500000,14800000,15502000,22100000,17700000,18800000,22500000,24157000,22081000,23703000,29180000,48155000,57269000,55249000
36,Other Current Assets,200000,700000,400000,1000000,900000,3200000,13600000,8500000,4700000,4700000,19600000,14000000,7000000,10500000,14700000,17906000,24516000,37700000,34200000,33995000,7200000,16100000,9400000,11800000,9800000,8404000,7700000,8400000,10700000,26600000,20680000,12795000,12080000,23759000,38388000,6883000,10178000
37,Total Current Assets,3900000,6300000,8200000,7300000,9200000,16800000,27900000,24700000,25600000,42500000,79500000,65600000,138900000,87400000,86200000,138593000,151396000,249100000,339900000,345726000,384300000,318900000,247000000,182500000,180000000,205802000,305200000,319800000,318500000,336500000,360760000,441586000,449124000,502731000,427527000,500139000,550616000
38,PP&E,6700000,5200000,8500000,11100000,11500000,14800000,17100000,24200000,40200000,36900000,72100000,123700000,203800000,249400000,282200000,395281000,402776000,443900000,388000000,396461000,412400000,443600000,531600000,436500000,347900000,369814000,368700000,380800000,422700000,550100000,547284000,506434000,535197000,571781000,632441000,631475000,696553000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115900000,- -,136300000,138500000,138500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5800000,5500000,10300000,9300000,8200000,24500000,28400000,59277000,93199000,121200000,- -,115906000,- -,71800000,68800000,62400000,55100000,47748000,42500000,37400000,34100000,30300000,24616000,19854000,17122000,12368000,7870000,3437000,774000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5800000,5500000,10300000,9300000,8200000,24500000,28400000,59277000,93199000,121200000,115900000,115906000,136300000,210300000,207300000,62400000,55100000,47748000,42500000,37400000,34100000,30300000,24616000,19854000,17122000,12368000,7870000,3437000,774000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,6700000,- -,- -,- -,- -,- -,- -,- -,64400000,67900000,65700000,60945000,61127000,79984000,93252000,93124000,93122000,93021000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,11200000,- -,- -,12840000,44500000,42400000,- -,7900000,9700000,8100000,1800000,1500000,- -,700000,- -,1000000,- -,2209000,1491000,2049000,18109000,20779000,22070000,24353000
44,Other Non-Current Assets,1000000,500000,1000000,1000000,1000000,1000000,2900000,3100000,2800000,13400000,12300000,13300000,-6600000,-7700000,13600000,16410000,13327000,-26300000,-20700000,14778000,4800000,-1200000,-2100000,9100000,18255000,19388000,20816000,17948000,16476000,19178000,15486000,18623000,17302000,5020000,30048000,31061000,21906000
45,Total Non-Current Assets,7700000,5700000,9500000,12100000,12500000,15800000,20000000,27300000,48800000,55800000,94700000,146300000,226300000,284100000,324200000,470968000,522142000,583300000,525600000,527145000,561400000,726800000,812800000,575500000,483700000,498077000,512700000,529400000,567400000,692700000,682616000,546402000,571670000,607278000,691138000,688043000,743586000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11600000,12000000,17700000,19400000,21700000,32600000,47900000,52000000,74400000,98300000,174200000,211900000,365200000,371500000,410400000,609561000,673538000,832400000,865500000,872871000,945700000,1045700000,1059800000,758000000,663700000,703879000,817900000,849200000,885900000,1029200000,1043376000,987988000,1020794000,1110009000,1118665000,1188182000,1294202000
48,Accounts Payable,- -,- -,- -,- -,2100000,2900000,2800000,2400000,5500000,5100000,17900000,34200000,34200000,31400000,45600000,37917000,37142000,57400000,44000000,57746000,42900000,53900000,114200000,69800000,59200000,77630000,54800000,53000000,59200000,86500000,79143000,48906000,50834000,89149000,91379000,75378000,81534000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,849000,33918000,- -,- -,3018000,- -,- -,- -,- -,- -,11467000,- -,- -,- -,- -,- -,- -,- -,57453000,10873000,15853000,24521000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6989000,4754000,4993000,4029000,6200000,3100000,- -,- -,13357000,18136000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21270000,27469000,- -,1280000,2623000,3071000,2843000,3264000,- -,609000,1199000,1082000,7223000,3354000,16322000,5700000,7834000,11542000,9299000,14717000
52,Other Current Liabilities,1700000,1700000,2300000,4200000,3200000,2800000,1600000,1500000,2500000,5000000,11900000,9800000,23300000,19100000,11100000,12803000,31604000,28330000,9931000,29900000,39620000,134677000,33129000,43457000,28036000,30132000,40491000,31301000,44318000,45377000,110195000,16089000,25242000,36640000,38160000,42409000,55376000
53,Total Current Liabilities,1700000,1700000,2300000,4200000,5300000,5700000,4400000,3900000,8000000,10100000,29800000,44000000,57500000,50500000,57000000,51569000,102664000,107000000,81400000,90664000,83800000,191200000,150400000,116100000,90500000,119229000,95900000,85500000,104600000,139100000,192692000,81317000,81776000,191076000,151954000,142939000,176148000
54,Long-Term Debt,6100000,5500000,4800000,7000000,7000000,2500000,1800000,1700000,1100000,500000,1800000,2000000,106200000,104300000,116700000,202797000,188021000,296800000,368300000,315888000,238900000,170300000,191300000,203000000,112100000,78852000,152600000,169000000,182200000,131800000,67120000,61860000,57337000,- -,41887000,54980000,89446000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,500000,- -,100000,400000,1800000,2100000,2200000,2600000,7100000,8300000,7500000,- -,- -,19900000,30927000,38190000,- -,- -,43886000,- -,- -,- -,- -,- -,499000,737000,661000,1007000,3045000,4388000,1491000,2049000,643000,- -,- -,- -
57,Other Non-Current Liabilities,500000,100000,700000,100000,200000,100000,200000,200000,100000,200000,300000,2000000,15500000,16300000,9100000,3162000,12492000,89500000,107500000,8236000,61200000,69900000,63800000,56100000,61300000,9356000,57563000,42639000,12793000,127155000,132621000,132957000,135068000,13721000,13732000,27997000,28046000
58,Total Non-Current Liabilities,6800000,6100000,5500000,7200000,7600000,4400000,4100000,4100000,3800000,7800000,10400000,11500000,121700000,120600000,145700000,236886000,238703000,386300000,475800000,368010000,300100000,240200000,255100000,259100000,173400000,88707000,210900000,212300000,196000000,262000000,204129000,196308000,194454000,14364000,55619000,82977000,117492000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4639000,- -,- -,2175000,40645000
61,Total Liabilities,8500000,7800000,7800000,11400000,12900000,10100000,8500000,8000000,11800000,17900000,40200000,55500000,179200000,171100000,202700000,288455000,341367000,493300000,557200000,458674000,383900000,431400000,405500000,375200000,263900000,207936000,306800000,297800000,300600000,401100000,396821000,277625000,276230000,205440000,207573000,225916000,293640000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,200000,297000,303000,300000,300000,327000,400000,400000,400000,400000,500000,538000,600000,600000,600000,700000,666000,681000,687000,697000,656000,631000,600000
64,Retained Earnings,3000000,4200000,4800000,3100000,4000000,8000000,-200000,19100000,24000000,34300000,53000000,74000000,99600000,120100000,130800000,167246000,163220000,158400000,110200000,134667000,173300000,202700000,227200000,15400000,-26500000,-2624000,13600000,41500000,59400000,85400000,130060000,176260000,189390000,231445000,253922000,279037000,317849000
65,Other Comprehensive Income/Loss,-3100000,-4400000,-5700000,-7600000,-10000000,-13100000,-15200000,-19800000,-24500000,-69400000,-40900000,-52700000,1000000,-4600000,-139700000,-231426000,-291160000,-30400000,-3400000,-544905000,14000000,33000000,45000000,-18000000,-6000000,7000000,10000000,16000000,26000000,22000000,-11000000,-8000000,7000000,-5000000,-9000000,17958000,20571000
66,Other Total Stockholders Equity,3200000,4400000,10800000,12500000,14800000,27600000,54800000,44700000,63100000,115500000,121900000,135100000,85200000,84700000,216400000,357863000,414798000,210815000,201229000,759384000,374175000,378182000,381684000,384982000,431755000,436887000,486847000,493286000,499314000,519950000,526829000,541422000,547487000,532529000,524314000,507336000,484672000
67,Total Stockholders Equity,3100000,4200000,9900000,8000000,8800000,22500000,39400000,44000000,62600000,80400000,134000000,156400000,186000000,200400000,207700000,293980000,287161000,339115000,308329000,349473000,561875000,614282000,654284000,382782000,399755000,441801000,511047000,551386000,585314000,628050000,646555000,710363000,744564000,759671000,769892000,804962000,823692000
68,Total Liabilities And Stockholders Equity,11600000,12000000,17700000,19400000,21700000,32600000,47900000,52000000,74400000,98300000,174200000,211900000,365200000,371500000,410400000,582435000,628528000,832415000,865529000,808147000,945775000,1045682000,1059784000,757982000,663655000,649737000,817847000,849186000,885914000,1029150000,1043376000,987988000,1020794000,965111000,977465000,1030878000,1117332000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27126000,45010000,-15000,-29000,64724000,-75000,18000,16000,18000,45000,54142000,53000,14000,-14000,50000,- -,- -,- -,144898000,141200000,157304000,176870000
70,Total Liabilities & Equity,11600000,12000000,17700000,19400000,21700000,32600000,47900000,52000000,74400000,98300000,174200000,211900000,365200000,371500000,410400000,609561000,673538000,832400000,865500000,872871000,945700000,1045700000,1059800000,758000000,663700000,703879000,817900000,849200000,885900000,1029200000,1043376000,987988000,1020794000,1110009000,1118665000,1188182000,1294202000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810136/000081013604000002/plab_10-k2003.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013605000003/plab_10k-2004.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013606000009/plab_10k-2005.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013607000002/plab_10k-2006.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013608000003/plab_10k-2007.htm,https://www.sec.gov/Archives/edgar/data/810136/000081013609000008/0000810136-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/810136/000081013610000003/0000810136-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/810136/000120677411000053/photronics_10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036112002364/0001140361-12-002364-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036113001560/0001140361-13-001560-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036114000609/form10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036115000753/form10k.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036116047150/0001140361-16-047150-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036117000934/0001140361-17-000934-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036117046903/0001140361-17-046903-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036118045611/0001140361-18-045611-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036119023041/0001140361-19-023041-index.html,https://www.sec.gov/Archives/edgar/data/810136/000114036121001225/0001140361-21-001225-index.htm,https://www.sec.gov/Archives/edgar/data/810136/000114036121042251/0001140361-21-042251-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,900000,4000000,6800000,4400000,4900000,10300000,18600000,21000000,31000000,26600000,10700000,10176000,-4026000,-4900000,-48200000,24466000,38700000,29300000,24500000,-210800000,-41900000,23922000,16200000,27900000,18000000,26000000,44625000,46200000,13130000,42055000,29793000,33820000,55449000
74,Depreciation and Amortization,- -,- -,- -,- -,2600000,3100000,4100000,5200000,5600000,8000000,9700000,13200000,20900000,34000000,40700000,56868000,72975000,83187000,85097000,88130000,87848000,90678000,98018000,95931000,90474000,81374000,86661000,78623000,65994000,72859000,75684000,77613000,86573000,84333000,83879000,93814000,90396000
75,Deferred Income Tax,- -,- -,- -,- -,300000,1400000,400000,-100000,300000,800000,-800000,1000000,1000000,300000,7200000,1251000,-6031000,-938000,-2661000,845000,4636000,965000,-961000,-1944000,-2943000,168000,-224000,-615000,-266000,4215000,3401000,-3816000,1633000,-273000,-3662000,-445000,-2110000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2136000,1883000,2458000,3160000,3975000,4071000,3689000,3827000,3627000,3180000,3680000,4927000,5348000
77,Change in Working Capital,- -,- -,- -,- -,100000,7200000,12400000,-2700000,-3200000,14800000,17300000,-28100000,59800000,-44500000,-7700000,57824000,-38292000,93368000,116400000,-3438000,45438000,-172800000,-31100000,-30200000,23100000,-2927000,122727000,25000000,-20400000,-16500000,-29332000,192201000,7079000,-55693000,-36082000,81627000,-21678000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2709000,-13352000,-1806000,11190000,2400000,5271000,-21815000,18807000,-9625000,-18553000,-12321000,6986000,-36620000
79,Inventory,- -,- -,- -,- -,-100000,-200000,-400000,-200000,-300000,400000,-2900000,-1200000,-3200000,-2400000,100000,596000,1353000,2194000,6196000,-1248000,-1672000,3302000,2008000,-2622000,3111000,-84000,-6544000,4683000,-891000,-2552000,-2893000,2268000,-602000,-6162000,-23088000,-6938000,2987000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4409000,-12224000,14098000,-36462000,-7189000,18537000,-11962000,-3490000,25427000
