,https://roic.ai/company/CLAR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/913277/000093176399001021/0000931763-99-001021-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913277/000114420406009357/0001144204-06-009357-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420407012745/0001144204-07-012745-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420408014061/0001144204-08-014061-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420409011778/0001144204-09-011778-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420410013483/0001144204-10-013483-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420411014717/0001144204-11-014717-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420412013098/0001144204-12-013098-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420413014342/0001144204-13-014342-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420414013105/0001144204-14-013105-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420415016399/0001144204-15-016399-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420416088182/0001144204-16-088182-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420417013023/0001144204-17-013023-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420418014109/0001144204-18-014109-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420419011981/0001144204-19-011981-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465920030817/0001104659-20-030817-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465921033312/0001104659-21-033312-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465922031076/0001104659-22-031076-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14800000,14100000,118303000,55628000,42225000,15045000,48377000,23270000,1731000,41886000,19342000,58363000,2767000,2400000,5111000,4478000,31034000,88401000,94738000,1856000,2486000,1703000,17789000,19465000
32,Short-Term Investments,- -,- -,50209000,65264000,52885000,73685000,35119000,61601000,82634000,45223000,66670000,24059000,- -,- -,- -,- -,9902000,9824000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14800000,14100000,168512000,120892000,95110000,88730000,83496000,84871000,84365000,87109000,86012000,82422000,2767000,2400000,5111000,4478000,40936000,98225000,94738000,1856000,2486000,1703000,17789000,19465000
34,Net Receivables,9000000,10500000,8126000,2566000,467000,507000,350000,320000,402000,15000,24000,6000,20669000,22718000,31584000,40365000,44067000,29324000,23317000,35817000,35967000,41950000,50592000,66180000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34942000,47137000,60664000,54054000,64481000,51496000,45410000,58138000,64933000,73432000,68356000,129354000
36,Other Current Assets,600000,7700000,8052000,2863000,1310000,132000,182000,135000,207000,175000,109000,667000,4225000,4742000,7183000,7484000,9076000,3337000,3480000,3633000,5115000,3787000,5385000,11947000
37,Total Current Assets,24400000,32300000,184690000,126321000,96887000,89369000,84028000,85326000,84974000,87299000,86145000,83095000,62603000,76997000,104542000,106381000,158560000,182382000,166945000,99444000,108501000,120872000,142122000,226946000
38,PP&E,3500000,4100000,7619000,7352000,809000,38000,2367000,1996000,1699000,1381000,1032000,696000,14740000,14019000,17508000,17401000,13760000,10790000,11055000,24345000,23401000,22919000,26956000,42826000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40601000,38226000,57481000,57703000,41983000,- -,- -,17745000,18090000,18090000,26715000,118090000
40,Intangible Assets,12000000,6600000,58214000,10815000,- -,- -,- -,- -,- -,- -,- -,- -,50089000,48758000,89562000,87209000,60512000,33578000,32310000,65081000,61110000,57446000,66939000,73683000
41,Intangible Assets,12000000,6600000,58214000,10815000,- -,- -,- -,- -,- -,- -,- -,- -,90690000,86984000,147043000,144912000,102495000,33578000,32310000,82826000,79200000,75536000,93654000,191773000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43582000,48429000,49631000,50666000,37877000,- -,- -,- -,- -,7904000,11113000,22433000
44,Other Non-Current Assets,200000,5700000,16381000,786000,68000,38000,42000,956000,- -,- -,- -,- -,1064000,1298000,2062000,2063000,2821000,1843000,147000,834000,2026000,3034000,6846000,147849000
45,Total Non-Current Assets,15700000,16400000,82214000,18953000,877000,76000,2409000,2952000,1699000,1381000,1032000,696000,150076000,150730000,216244000,215042000,156953000,46211000,43512000,108005000,104627000,109393000,138569000,404881000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40100000,48700000,266904000,145274000,97764000,89445000,86437000,88278000,86673000,88680000,87177000,83791000,212679000,227727000,320786000,321423000,315513000,228593000,210457000,207449000,213128000,230265000,280691000,631827000
48,Accounts Payable,7400000,6400000,11059000,588000,1936000,1520000,- -,- -,- -,- -,- -,- -,- -,16090000,22178000,27349000,28639000,21446000,17740000,19456000,21489000,24304000,34665000,31488000
49,Short-Term Debt,500000,6000000,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,308000,673000,4059000,1910000,3875000,- -,21898000,- -,41000,- -,4000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,- -,- -,- -,- -,969000,328000,210000,260000,956000,116000
51,Deferred Revenue,- -,- -,- -,5206000,1248000,1106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11113000,- -
52,Other Current Liabilities,7400000,3100000,2295000,5918000,220000,- -,1468000,1461000,680000,618000,383000,1713000,19208000,254000,- -,- -,26000,- -,969000,328000,210000,260000,-10157000,41495000
53,Total Current Liabilities,15300000,15500000,13354000,11712000,8404000,2626000,1468000,1461000,680000,618000,383000,1713000,19516000,17017000,26237000,29259000,32540000,21446000,40607000,19784000,21740000,24564000,39621000,72983000
54,Long-Term Debt,200000,- -,5000000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,29456000,37397000,36429000,36131000,18562000,20133000,- -,20842000,22105000,22670000,30621000,131948000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,277000,343000,410000,446000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35280000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8114000,6786000,5076000,8969000,8966000,3666000,2919000,1224000,1227000,35280000
57,Other Non-Current Liabilities,2500000,600000,1728000,2234000,- -,- -,115000,208000,- -,- -,- -,- -,785000,1139000,2000000,1997000,2142000,2042000,76000,175000,159000,615000,4628000,-13832000
58,Total Non-Current Liabilities,2700000,600000,6728000,7234000,- -,- -,115000,208000,277000,343000,410000,446000,30241000,38536000,46543000,44914000,25780000,31144000,9042000,24683000,25183000,24509000,36476000,188676000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,18000000,16100000,20082000,18946000,8404000,2626000,1583000,1669000,957000,961000,793000,2159000,49757000,55553000,72780000,74173000,58320000,52590000,49649000,44467000,46923000,49073000,76097000,261659000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,4000,4000
64,Retained Earnings,-38700000,-44100000,-114769000,-234623000,-272436000,-276767000,-279656000,-280947000,-282238000,-282121000,-284523000,-289368000,-238178000,-233286000,-231334000,-237204000,-223197000,-299168000,-309717000,-310390000,-304577000,-288592000,-286100000,-263342000
65,Other Comprehensive Income/Loss,-3100000,-4300000,-7048000,-6941000,81000,-3445000,-130000,-88000,- -,13000,403000,6000,1625000,2744000,5711000,6563000,-2412000,-1210000,-1005000,499000,477000,-303000,500000,-5050000
66,Other Total Stockholders Equity,63900000,81000000,368637000,367890000,361713000,367029000,364638000,367642000,367952000,369825000,370502000,370992000,399473000,402714000,473626000,477888000,482799000,476378000,471527000,472870000,470302000,470084000,490190000,638556000
67,Total Stockholders Equity,22100000,32600000,246822000,126328000,89360000,86819000,84854000,86609000,85716000,87719000,86384000,81632000,162922000,172174000,248006000,247250000,257193000,176003000,160808000,162982000,166205000,181192000,204594000,370168000
68,Total Liabilities And Stockholders Equity,40100000,48700000,266904000,145274000,97764000,89445000,86437000,88278000,86673000,88680000,87177000,83791000,212679000,227727000,320786000,321423000,315513000,228593000,210457000,207449000,213128000,230265000,280691000,631827000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40100000,48700000,266904000,145274000,97764000,89445000,86437000,88278000,86673000,88680000,87177000,83791000,212679000,227727000,320786000,321423000,315513000,228593000,210457000,207449000,213128000,230265000,280691000,631827000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/913277/000093176399001021/0000931763-99-001021-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913277/000114420406009357/0001144204-06-009357-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420407012745/0001144204-07-012745-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420408014061/0001144204-08-014061-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420409011778/0001144204-09-011778-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420410013483/0001144204-10-013483-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420411014717/0001144204-11-014717-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420412013098/0001144204-12-013098-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420413014342/0001144204-13-014342-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420414013105/0001144204-14-013105-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420415016399/0001144204-15-016399-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420416088182/0001144204-16-088182-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420417013023/0001144204-17-013023-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420418014109/0001144204-18-014109-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420419011981/0001144204-19-011981-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465920030817/0001104659-20-030817-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465921033312/0001104659-21-033312-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465922031076/0001104659-22-031076-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10700000,-5400000,-70647000,-119854000,-37813000,-4331000,-2889000,-1291000,-1291000,117000,-2402000,-4845000,51190000,4892000,1952000,-5870000,14007000,-75971000,-8978000,-673000,7301000,18972000,5545000,26093000
74,Depreciation and Amortization,2200000,3400000,8132000,12212000,14603000,1049000,186000,334000,647000,803000,356000,342000,2709000,4682000,5953000,8279000,7494000,5573000,3339000,5259000,8296000,8102000,8871000,15819000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71055000,-3272000,-1702000,-1911000,4977000,50404000,-512000,-5476000,-1098000,-8995000,-3201000,-14423000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,677000,490000,5109000,3091000,1766000,3010000,1853000,449000,227000,1181000,2652000,2949000,6791000,9477000
77,Change in Working Capital,-4800000,154536000,-56727000,-26126000,-1740000,-4183000,1305000,429000,2387000,-919000,-4380000,-38295000,16893000,18325000,-1183000,48898000,34916000,-34598000,-46678000,7101000,9547000,6193000,40554000,10908000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4338000,-2317000,-5589000,-8903000,-7866000,1726000,2765000,-8673000,-766000,-6163000,-7665000,-6464000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2908000,-11582000,-2391000,7430000,-20685000,-558000,5382000,1360000,-7203000,-9145000,11007000,-34071000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2746000
81,Other Working Capital,16800000,171336000,114609000,88483000,86743000,82560000,83865000,84294000,86681000,85762000,81382000,43087000,59980000,78305000,77122000,126020000,160936000,126338000,79660000,86761000,96308000,102501000,143055000,153963000
82,Other Non-Cash Items,11500000,-169836000,68293000,91353000,-2438000,4609000,-697000,-1250000,-4702000,-1587000,2324000,38656000,-18597000,-32785000,-10227000,-44935000,-91922000,57812000,57412000,-16312000,-15305000,-17699000,-29168000,-48178000
83,Cash Provided by Operating Activities,-1800000,-17300000,-50949000,-42415000,-27388000,-2856000,-2095000,-1778000,-2959000,-1586000,-3425000,-3652000,-13751000,-5067000,-3441000,7471000,-28675000,3669000,4810000,-8920000,11393000,9522000,29392000,-304000
84,CAPEX,-10900000,-3200000,-5871000,-3463000,-182000,-38000,-2515000,-17000,-49000,-48000,-7000,-7000,-2086000,-2784000,-5496000,-5114000,-2879000,-2804000,-2566000,-2847000,-3365000,-4116000,-5411000,229000
85,Acquisitions Net,- -,- -,-33098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82560000,- -,-50327000,- -,81140000,60875000,-921000,-79238000,-720000,- -,-30498000,- -
86,Purchases of Investments,- -,- -,-59259000,-97527000,-123611000,-117881000,-59754000,-93887000,-161004000,-150803000,-110105000,-48943000,-22065000,- -,- -,- -,-9994000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6000000,80185000,135860000,96918000,97242000,68116000,142473000,191147000,90993000,91623000,46124000,- -,- -,- -,- -,- -,10235000,- -,- -,- -,- -,- -
88,Other Investing Activites,-500000,11600000,1864000,- -,1389000,11000,- -,-135000,- -,7000,- -,- -,-2086000,30000,31000,-712000,12000,335000,22000,53000,6000,20000,327000,-178371000
89,Cash Used for Investing Activites,-11400000,8400000,-90364000,-20805000,13456000,-20990000,34973000,-25923000,-18580000,40303000,-19119000,42673000,-60587000,-2754000,-55792000,-5076000,68279000,58406000,6770000,-82032000,-4079000,-4096000,-35582000,-178142000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5526000,-361000,-3082000,-13929000,-15909000,-21000,- -,-22727000,-152375000,-131638000,-57501000,-985000
91,Common Stock Issued,22900000,2000000,247536000,458000,519000,1666000,454000,2594000,- -,- -,- -,- -,3908000,- -,65323000,- -,- -,- -,- -,- -,- -,- -,11476000,80264000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184000,-6990000,-5222000,-17000,-5687000,-4167000,-1520000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1488000,-2987000,-1520000,-3335000
94,Other Financing Activites,-2100000,6300000,-2028000,- -,- -,-5000000,- -,- -,- -,2876000,- -,- -,20121000,7771000,- -,11404000,3242000,2509000,- -,20687000,152991000,132506000,71319000,104733000
95,Cash Used/Provided by Financing Activities,20800000,8300000,245508000,458000,519000,-3334000,454000,2594000,- -,2876000,- -,- -,18503000,7410000,62241000,-2525000,-12851000,-4502000,-5222000,-2057000,-6559000,-6286000,22254000,180677000
96,Effect of Forex Changes on Cash,- -,- -,-19000,87000,10000,- -,- -,- -,- -,- -,- -,- -,239000,44000,-297000,-503000,-197000,-206000,-21000,127000,-125000,77000,22000,-555000
97,Net Change In Cash,20800000,-700000,104176000,-62675000,-13403000,-27180000,33332000,-25107000,-21539000,40155000,-22544000,39021000,-55596000,-367000,2711000,-633000,26556000,57367000,6337000,-92882000,630000,-783000,16086000,1676000
98,Cash at the End of Period,- -,14100000,118303000,55628000,42225000,15045000,48377000,23270000,1731000,41886000,19342000,58363000,2767000,2400000,5111000,4478000,31034000,88401000,94738000,1856000,2486000,1703000,17789000,19465000
99,Cash at the Beginning of Period,7200000,14800000,14127000,118303000,55628000,42225000,15045000,48377000,23270000,1731000,41886000,19342000,58363000,2767000,2400000,5111000,4478000,31034000,88401000,94738000,1856000,2486000,1703000,17789000
100,Free Cash Flow,-12700000,-20500000,-56820000,-45878000,-27570000,-2894000,-4610000,-1795000,-3008000,-1634000,-3432000,-3659000,-15837000,-7851000,-8937000,2357000,-31554000,865000,2244000,-11767000,8028000,5406000,23981000,-75000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/913277/000093176399001021/0000931763-99-001021-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913277/000114420406009357/0001144204-06-009357-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420407012745/0001144204-07-012745-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420408014061/0001144204-08-014061-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420409011778/0001144204-09-011778-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420410013483/0001144204-10-013483-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420411014717/0001144204-11-014717-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420412013098/0001144204-12-013098-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420413014342/0001144204-13-014342-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420414013105/0001144204-14-013105-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420415016399/0001144204-15-016399-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420416088182/0001144204-16-088182-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420417013023/0001144204-17-013023-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420418014109/0001144204-18-014109-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000114420419011981/0001144204-19-011981-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465920030817/0001104659-20-030817-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465921033312/0001104659-21-033312-index.htm,https://www.sec.gov/Archives/edgar/data/913277/000110465922031076/0001104659-22-031076-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
