,https://roic.ai/company/WSTL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,20110000,2708000,2168000,15050000,15604000,12051000,3832000,10995000,6786000,11147000,7828000,3005000,7487000,4276000,12985000,10766000,4304000,3918000,4522000,1900000,1409000,816000,1706000,1298000,1352000
37,Total Current Assets,- -,81932000,68734000,33391000,117025000,123983000,62178000,49782000,62118000,90332000,107401000,124585000,108749000,94550000,104532000,137090000,161669000,135798000,95582000,70504000,61483000,47773000,46652000,43829000,33021000,27667000
38,PP&E,- -,14638000,13488000,13351000,26369000,36230000,29626000,20434000,17609000,16518000,14283000,12329000,8752000,6895000,4665000,3250000,1197000,1081000,1946000,3603000,3977000,1984000,1601000,1298000,1704000,3363000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10613000,12592000,3264000,2009000,2162000,2197000,801000,- -,30697000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,175482000,139373000,16312000,15398000,12489000,13883000,7866000,7791000,6215000,4333000,4063000,3473000,2728000,5063000,32356000,25942000,20388000,15624000,11435000,3278000,2728000,1142000
41,Intangible Assets,- -,- -,- -,- -,175482000,139373000,16312000,15398000,12489000,13883000,18479000,20383000,9479000,6342000,6225000,5670000,3529000,5063000,63053000,25942000,20388000,15624000,11435000,3278000,2728000,1142000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,11479000,16183000,17665000,23694000,15553000,18037000,23860000,37565000,59357000,51650000,50053000,7248000,7777000,6412000,55119000,30740000,2735000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24612000,- -,258000,291000,495000,393000,258000,183000,160000,771000,492000,73000,80000
45,Total Non-Current Assets,- -,26117000,29671000,31016000,225545000,191156000,63975000,59692000,67663000,89758000,84412000,82765000,25479000,45626000,17302000,64297000,35757000,9374000,65392000,29803000,24548000,17768000,13807000,5068000,4505000,4585000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,108049000,98405000,64407000,342570000,315139000,126153000,109474000,129781000,180090000,191813000,207350000,134228000,140176000,121834000,201387000,197426000,145172000,160974000,100307000,86031000,65541000,60459000,48897000,37526000,32252000
48,Accounts Payable,- -,7111000,7472000,7616000,21528000,57577000,15702000,11802000,14163000,19671000,14880000,15287000,10145000,17883000,15195000,23664000,3142000,4126000,6726000,4011000,7856000,4163000,1903000,2313000,1065000,1920000
49,Short-Term Debt,- -,2121000,1407000,2189000,1633000,103000,11186000,17057000,3416000,318000,51000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000,450000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,413000,414000,413000,- -,- -,- -,- -,- -,1234000,722000,879000,307000,2119000,860000,232000,- -,- -,1774000,2415000,1601000,2359000,1790000,1217000,1099000,874000
52,Other Current Liabilities,- -,7182000,11960000,10960000,29529000,27525000,18479000,15262000,16913000,14589000,15206000,19983000,19233000,9479000,9203000,10491000,3328000,3953000,9880000,6476000,7780000,5444000,3391000,3567000,2797000,2915000
53,Total Current Liabilities,- -,16827000,21253000,21178000,52690000,85205000,45367000,44121000,34492000,35812000,30859000,36154000,29685000,29481000,25258000,34387000,6470000,8079000,18380000,12902000,17237000,11966000,7084000,7097000,5300000,6159000
54,Long-Term Debt,- -,4366000,3013000,2625000,7728000,28451000,39469000,17760000,326000,- -,10000,- -,- -,- -,- -,- -,4592000,- -,- -,- -,- -,- -,- -,- -,- -,1637000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25258000,174000,- -,- -,- -,787000,751000,1236000,1102000,846000,444000,221000,105000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072000,1019000,10000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,668000,998000,1480000,2489000,3658000,5044000,4100000,1201000,2080000,829000,807000,7738000,9079000,8671000,7719000,- -,6016000,1102000,2451000,864000,299000,234000,176000,344000,2192000
58,Total Non-Current Liabilities,- -,5034000,4011000,4105000,10217000,32109000,44513000,21860000,1527000,2080000,839000,807000,7738000,34337000,8845000,7719000,4592000,6016000,2961000,4221000,2110000,1401000,1080000,620000,565000,3934000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000,2346000
61,Total Liabilities,- -,21861000,25264000,25283000,62907000,117314000,89880000,65981000,36019000,37892000,31698000,36961000,37423000,63818000,34103000,42106000,11062000,14095000,21341000,17123000,19347000,13367000,8164000,7717000,5865000,10093000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,363000,364000,364000,592000,615000,649000,650000,679000,689000,703000,712000,714000,686000,675000,687000,643000,589000,598000,607000,611000,620000,156000,154000,157000,110000
64,Retained Earnings,- -,-10293000,-24264000,-59256000,-67438000,-161294000,-328723000,-321449000,-286572000,-246878000,-234031000,-226546000,-302776000,-319460000,-309043000,-240854000,-198872000,-242910000,-237543000,-295991000,-313735000,-329676000,-329645000,-340698000,-350800000,-353534000
65,Other Comprehensive Income/Loss,- -,-15293000,-20816000,-25531000,-30435000,-41726000,-54029000,-122000,-485000,-3148000,-1992000,86000,926000,-206000,645000,965000,619000,608000,608000,608000,608000,608000,- -,-6811000,-6911000,- -
66,Other Total Stockholders Equity,- -,111411000,117857000,123547000,376944000,400230000,418376000,364414000,378143000,388995000,392596000,393087000,394631000,395338000,395454000,398483000,383974000,372790000,375970000,377960000,379200000,380622000,381784000,388535000,389215000,375583000
67,Total Stockholders Equity,- -,86188000,73141000,39124000,279663000,197825000,36273000,43493000,91765000,139658000,157276000,167339000,93495000,76358000,87731000,159281000,186364000,131077000,139633000,83184000,66684000,52174000,52295000,41180000,31661000,22159000
68,Total Liabilities And Stockholders Equity,- -,108049000,98405000,64407000,342570000,315139000,126153000,109474000,127784000,177550000,188974000,204300000,130918000,140176000,121834000,201387000,197426000,145172000,160974000,100307000,86031000,65541000,60459000,48897000,37526000,32252000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,1997000,2540000,2839000,3050000,3310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,108049000,98405000,64407000,342570000,315139000,126153000,109474000,129781000,180090000,191813000,207350000,134228000,140176000,121834000,201387000,197426000,145172000,160974000,100307000,86031000,65541000,60459000,48897000,37526000,32252000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1002135/000091476097000118/0000914760-97-000118-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002135/000091476099000130/0000914760-99-000130-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000091476000000180/0000914760-00-000180-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1002135/000091476003000127/0000914760-03-000127-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000091476004000098/0000914760-04-000098-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002135/000091476006000103/k43183_k06.htm,https://www.sec.gov/Archives/edgar/data/1002135/000091476007000113/0000914760-07-000113-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000091476008000105/0000914760-08-000105-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000091476009000129/0000914760-09-000129-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000119312510130633/0001193125-10-130633-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000119312511157274/0001193125-11-157274-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000119312512249292/d333674d10k.htm,https://www.sec.gov/Archives/edgar/data/1002135/000100213513000018/0001002135-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213514000017/0001002135-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213515000015/0001002135-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213516000069/0001002135-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213517000037/0001002135-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213518000018/0001002135-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213519000017/0001002135-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1002135/000100213520000020/0001002135-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1002135/000100213521000011/0001002135-21-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2075000,-14706000,-13971000,-34992000,-8182000,-93856000,-167429000,7274000,34877000,39694000,12847000,8694000,-76230000,-16684000,10327000,67936000,41982000,-44038000,5367000,-58007000,-16212000,-15941000,31000,-11382000,-10102000,-2734000
74,Depreciation and Amortization,4286000,6175000,6953000,7022000,8439000,43941000,8439000,13318000,9324000,9415000,9476000,7978000,7852000,5821000,3793000,2700000,2053000,1381000,5530000,7416000,7098000,6144000,4957000,4026000,1900000,1294000
75,Deferred Income Tax,-2080000,-9190000,-4714000,- -,-7222000,- -,-7222000,230000,-18585000,-18820000,8438000,5214000,53615000,- -,- -,-54200000,12438000,29865000,-9312000,-127000,-36000,-10000,-697000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2192000,1529000,1021000,1205000,1407000,1871000,2605000,1265000,1594000,1271000,1171000,774000,515000
77,Change in Working Capital,6101000,-4869000,-17624000,-35268000,52122000,-25557000,-21967000,898000,-3075000,-11491000,-1332000,15624000,-315000,-8625000,1389000,6828000,-11418000,-3765000,-2235000,4341000,1554000,-3163000,1802000,699000,3914000,2147000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1780000,3349000,-6426000,12396000,-979000,-2139000,3986000,-4476000,4281000,3200000,2007000,2807000,-431000
79,Inventory,3509000,177000,980000,-552000,-7271000,-42451000,-7271000,6363000,-4232000,-10344000,6653000,6809000,895000,-2587000,-812000,3702000,1852000,-2002000,457000,8186000,2707000,987000,3289000,-579000,2994000,1868000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29180000,23000,-3223000,-3492000,660000,-8320000,-4057000,528000,-1745000,2932000
81,Other Working Capital,- -,65105000,47481000,12213000,64335000,38778000,16811000,5661000,27626000,54520000,76542000,88431000,79064000,65069000,79274000,102703000,155199000,127719000,77202000,57602000,44246000,35807000,39568000,36732000,27721000,-341000
82,Other Non-Cash Items,232000,98000,25110000,31942000,-67415000,36857000,165921000,1024000,5154000,2544000,2289000,1950000,13224000,2592000,468000,-50000,-51216000,3025000,376000,34485000,724000,4365000,-419000,4726000,1242000,-1127000
83,Cash Provided by Operating Activities,6464000,-22492000,-4246000,-31296000,-22258000,-38615000,-22258000,22744000,27695000,21342000,31718000,39460000,-1854000,-14704000,17506000,24235000,-4956000,-12125000,1597000,-9287000,-5607000,-7011000,6945000,-760000,-2272000,95000
84,CAPEX,-5992000,-20457000,-5802000,-5985000,-11434000,-22172000,-11434000,-2766000,-5311000,-6720000,-4489000,-3835000,-4713000,-2206000,-948000,-785000,-819000,-379000,-443000,-2137000,-1932000,-596000,-408000,-290000,-2135000,-72000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,29805000,- -,-532000,- -,-13962000,-6246000,-22000,-175000,- -,- -,40331000,-2524000,-66170000,-304000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-7663000,- -,- -,- -,- -,- -,- -,- -,-610000,-677000,-697000,-618000,- -,- -,-490000,-23687000,-33507000,-23431000,-33083000,-12720000,-2066000,-5011000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,10166000,684000,- -,1951000,- -,- -,- -,- -,- -,- -,- -,2602000,- -,- -,9722000,23613000,32196000,24761000,26071000,12621000,2232000,2779000,- -,- -
88,Other Investing Activites,58000,4000,16125000,16000,30229000,190000,424000,1518000,75000,2135000,130000,50000,2292000,-3560000,- -,- -,29603000,4966000,2500000,- -,264000,- -,2000,- -,11000,- -
89,Cash Used for Investing Activites,-5934000,-28116000,20489000,-5285000,18795000,-20031000,18795000,-1248000,-5768000,-5195000,-18998000,-10728000,-3061000,-3339000,-948000,-1275000,55150000,-7831000,-55348000,-10763000,11683000,9959000,-3185000,2489000,-2124000,-72000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,33329000,61919000,896000,307000,7526000,6008000,7526000,96000,8206000,2438000,2147000,321000,443000,- -,- -,- -,-17385000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000,-1634000,-1429000,-561000,-17502000,-12733000,-359000,-863000,-108000,-163000,-574000,-1233000,-192000,-7283000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-12514000,-1543000,-2067000,-506000,16478000,25804000,16478000,-16773000,-30543000,-3424000,-331000,14000,-75000,242000,4000,2580000,19214000,87000,1677000,-847000,-808000,-175000,- -,- -,- -,3275000
95,Cash Used/Provided by Financing Activities,20815000,60376000,-1171000,-199000,24004000,31812000,24004000,-16677000,-22337000,-986000,1816000,335000,316000,-1392000,-1468000,2019000,-15673000,-12646000,1318000,-1710000,-916000,-338000,-574000,-1233000,-192000,-4008000
96,Effect of Forex Changes on Cash,-6000,67000,6000,-20000,2000,-19000,2000,-32000,177000,-52000,42000,188000,163000,-254000,167000,114000,-97000,3000,-7000,-7000,-17000,-1000,-1000,-2000,- -,- -
97,Net Change In Cash,21339000,9835000,15078000,-36800000,20543000,-26853000,20543000,4787000,-233000,15109000,14578000,29255000,-4436000,-19689000,15257000,25093000,34424000,-32599000,-52440000,-21767000,5143000,2609000,3185000,494000,-4588000,-3985000
98,Cash at the End of Period,21789000,28437000,43515000,6715000,27258000,405000,27258000,11474000,11241000,26350000,40928000,70183000,65747000,46058000,61315000,86408000,120832000,88233000,35793000,14026000,19169000,21778000,24963000,25457000,20869000,16884000
99,Cash at the Beginning of Period,450000,18602000,28437000,43515000,6715000,27258000,6715000,6687000,11474000,11241000,26350000,40928000,70183000,65747000,46058000,61315000,86408000,120832000,88233000,35793000,14026000,19169000,21778000,24963000,25457000,20869000
100,Free Cash Flow,472000,-42949000,-10048000,-37281000,-33692000,-60787000,-33692000,19978000,22384000,14622000,27229000,35625000,-6567000,-16910000,16558000,23450000,-5775000,-12504000,1154000,-11424000,-7539000,-7607000,6537000,-1050000,-4407000,23000
