,https://roic.ai/company/SRE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1510000000,1390500000,1506700000,1712600000,4874000000,4622000000,6132000000,7036000000,5033000000,6948000000,8138000000,10653000000,9977000000,9765000000,9532000000,6803000000,7476000000,8255000000,8062000000,8673000000,9253000000,8321000000,8562000000,8877000000,9294000000,8202000000,8537000000,10007000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,- -,75000000,109000000,- -,45000000,21000000,16000000,26000000,25000000,25000000,28000000,32000000,30000000,49000000,106000000,101000000,110000000,75000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286000000,- -,- -,308000000,- -,311000000,351000000,- -,253000000,367000000,436000000,465000000,493000000,559000000,554000000,561000000,553000000,659000000,925000000,1077000000,1081000000,1198000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687000000,775000000,867000000,978000000,1090000000,1113000000,1156000000,1250000000,1312000000,1490000000,1549000000,1569000000,1666000000,1855000000
15,EBITDA,202700000,213200000,179100000,189400000,187100000,207800000,208100000,210700000,218700000,293600000,368000000,382700000,411800000,432000000,573000000,985000000,731000000,737000000,1004000000,1088000000,1273000000,2398000000,1623000000,2491000000,2683000000,2144000000,3166000000,2507000000,3047000000,3172000000,3502000000,3625000000,3682000000,3620000000,5159000000,6929000000,4470000000
16,EBITDA ratio,0.1166,0.1306,0.1152,0.0912,0.0898,0.1173,0.1163,0.1126,0.1104,0.1481,0.1967,0.1920,0.1857,0.0788,0.1069,0.1400,0.0910,0.1224,0.1273,0.1156,0.1085,0.2039,0.1419,0.2315,0.3310,0.2381,0.3155,0.2599,0.2886,0.2874,0.3423,0.3560,0.3285,0.3097,0.4764,0.6094,0.3477
17,Operating Income,1738700000,1632700000,1555200000,2076100000,2082500000,1771900000,1789000000,1870900000,1980100000,472000000,480100000,486800000,504400000,607000000,738000000,905000000,993000000,987000000,939000000,1272000000,1084000000,1784000000,1673000000,1226000000,1303000000,1527000000,1781000000,1585000000,1884000000,1782000000,1910000000,1621000000,2330000000,2393000000,2627000000,2833000000,1463000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2381,0.2567,0.2442,0.2275,0.1107,0.1377,0.1286,0.1237,0.1640,0.1191,0.1352,0.0924,0.1517,0.1463,0.1140,0.1607,0.1696,0.1775,0.1643,0.1785,0.1615,0.1867,0.1592,0.2079,0.2048,0.2426,0.2492,0.1138
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-178400000,-112200000,-104100000,-92600000,-175000000,-165000000,-206000000,-262000000,-266000000,-197000000,-159000000,-113000000,-52000000,-24000000,335000000,173000000,-741000000,-60000000,-642000000,-454000000,-258000000,-206000000,209000000,-745000000,-1347000000,-893000000,-1344000000,-1244000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,293600000,367900000,382700000,411800000,432000000,573000000,699000000,731000000,721000000,742000000,1113000000,971000000,1732000000,1649000000,1561000000,1476000000,786000000,1721000000,943000000,1430000000,1524000000,1704000000,1830000000,1585000000,1046000000,1734000000,1489000000,219000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1481,0.1967,0.1920,0.1857,0.0788,0.1069,0.0993,0.0910,0.1198,0.0941,0.1183,0.0827,0.1473,0.1442,0.1451,0.1821,0.0873,0.1715,0.0978,0.1355,0.1381,0.1666,0.1797,0.1414,0.0895,0.1601,0.1310,0.0170
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,150100000,134600000,151800000,160200000,138000000,179000000,270000000,213000000,146000000,47000000,193000000,42000000,641000000,524000000,438000000,422000000,102000000,366000000,59000000,366000000,300000000,341000000,389000000,1276000000,96000000,315000000,249000000,99000000
23,Net Income,202700000,213200000,179100000,189400000,187100000,207800000,208100000,210700000,218700000,143500000,233400000,230900000,251600000,294000000,394000000,429000000,518000000,591000000,649000000,895000000,920000000,1406000000,1099000000,1113000000,1119000000,739000000,1357000000,865000000,1009000000,1162000000,1350000000,1371000000,257000000,1050000000,2198000000,3933000000,1318000000
24,Net Income ratio,0.1166,0.1306,0.1152,0.0912,0.0898,0.1173,0.1163,0.1126,0.1104,0.0724,0.1248,0.1158,0.1135,0.0536,0.0735,0.0610,0.0645,0.0982,0.0823,0.0951,0.0784,0.1195,0.0961,0.1035,0.1380,0.0821,0.1352,0.0897,0.0956,0.1053,0.1320,0.1346,0.0229,0.0898,0.2030,0.3459,0.1025
25,EPS,1.63,1.71,1.48,1.59,1.58,1.76,1.77,1.77,1.81,1.17,1.94,1.98,2.20,1.24,1.66,2.06,2.54,2.88,3.07,3.92,3.74,5.48,4.24,4.50,4.60,3.02,5.66,3.56,4.10,4.72,5.43,5.48,1.02,3.45,7.40,12.93,4.03
26,EPS Diluted,1.63,1.71,1.48,1.59,1.58,1.76,1.77,1.77,1.81,1.17,1.94,1.98,2.20,1.24,1.66,2.06,2.52,2.87,3.03,3.83,3.65,5.38,4.16,4.43,4.52,2.98,5.62,3.48,4.01,4.63,5.37,5.46,1.01,3.42,7.29,12.88,4.01
27,Weighted Average Shares Outstanding,109754601,124678363,111756757,111761006,111329114,111875000,111638418,113615819,116077348,116068376,116340206,116616162,114363636,237096774,237349398,208155000,203593000,205003000,211740000,228271000,245906000,256477000,259269000,247387000,243339000,244736000,239720000,241347000,243863000,245891000,248249000,250217000,251545000,268072000,277904000,291077000,311755000
28,Weighted Average Shares Outstanding Diluted,109754601,124678363,111756757,111761006,111329114,111875000,111638418,113615819,116077348,116068376,116340206,116616162,114363636,237096774,237349398,208345000,205338000,206062000,214482000,233852000,252088000,261368000,264004000,251159000,247384000,247942000,241523000,246693000,249332000,250655000,250923000,251155000,252300000,269852000,282033000,292252000,313036000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032208/000008652199000003/0000086521-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652100000007/0000086521-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/75527/000008652101000009/0000086521-01-000009-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652102000006/0000086521-02-000006-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652103000005/0000086521-03-000005-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652104000004/0000086521-04-000004-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652105000014/0000086521-05-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652106000008/se10k12312005.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652107000014/se10k123106.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652108000015/sempra10k2007.htm,https://www.sec.gov/Archives/edgar/data/75527/000008652109000012/0000086521-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652110000019/0000086521-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652111000017/sre2010_10k2.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652112000010/0000086521-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652113000014/0000086521-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652114000011/sre10k02272014.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652115000011/sre10k02262015.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652116000091/0000086521-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000017/0000086521-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652118000019/0000086521-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652119000014/0000086521-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000103220820000006/0001032208-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000103220821000007/0001032208-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1032208/000103220822000007/0001032208-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000000,487000000,637000000,605000000,455000000,432000000,419000000,772000000,924000000,669000000,331000000,110000000,912000000,252000000,475000000,904000000,570000000,403000000,349000000,288000000,190000000,108000000,960000000,559000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12440000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000000,487000000,637000000,605000000,455000000,432000000,419000000,772000000,924000000,669000000,507000000,110000000,912000000,252000000,475000000,904000000,570000000,403000000,349000000,288000000,190000000,108000000,13400000000,559000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745000000,701000000,1231000000,945000000,889000000,1221000000,1032000000,1192000000,4082000000,3961000000,1176000000,1665000000,1614000000,1355000000,1618000000,1611000000,1477000000,1509000000,1623000000,1731000000,1957000000,1860000000,2114000000,2571000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,148000000,145000000,289000000,134000000,147000000,172000000,212000000,215000000,224000000,320000000,197000000,258000000,346000000,408000000,287000000,396000000,298000000,258000000,307000000,296000000,277000000,308000000,389000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1138000000,1704000000,4412000000,2969000000,5532000000,6086000000,7153000000,11142000000,6795000000,6484000000,473000000,323000000,569000000,379000000,1194000000,1195000000,1741000000,681000000,880000000,1015000000,1202000000,1094000000,-11311000000,856000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2458000000,3040000000,6425000000,4808000000,7010000000,7886000000,8776000000,13318000000,12016000000,11338000000,2476000000,2295000000,3353000000,2332000000,3695000000,3997000000,4184000000,2891000000,3110000000,3341000000,3645000000,3339000000,4511000000,4375000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5441000000,5394000000,5726000000,6217000000,6832000000,10474000000,11086000000,12101000000,13175000000,14884000000,16865000000,18281000000,19876000000,23572000000,25191000000,25460000000,25902000000,28039000000,32931000000,36503000000,36796000000,37043000000,40546000000,44488000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,- -,- -,1036000000,1111000000,1024000000,931000000,819000000,2364000000,2397000000,2373000000,1602000000,1602000000,1602000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000000,- -,- -,448000000,436000000,426000000,415000000,404000000,548000000,596000000,272000000,213000000,202000000,370000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539000000,524000000,540000000,1484000000,1547000000,1450000000,1346000000,1223000000,2912000000,2993000000,2645000000,1815000000,1804000000,1972000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3825000000,5609000000,4320000000,3166000000,2424000000,2609000000,3979000000,3968000000,3123000000,3560000000,12963000000,15096000000,15210000000,15815000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000000,170000000,151000000,155000000,136000000,151000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2557000000,2836000000,3461000000,4131000000,3915000000,3649000000,3781000000,3794000000,3758000000,3869000000,2695000000,1803000000,2194000000,2802000000,3642000000,3728000000,4321000000,5029000000,5476000000,3887000000,4438000000,8217000000,4416000000,5244000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7998000000,8230000000,9187000000,10348000000,10747000000,14123000000,14867000000,15895000000,16933000000,18753000000,23924000000,26217000000,26930000000,31024000000,32804000000,33247000000,35548000000,38259000000,44676000000,47113000000,56993000000,62326000000,62112000000,67670000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10456000000,11270000000,15612000000,15156000000,17757000000,22009000000,23643000000,29213000000,28949000000,30091000000,26400000000,28512000000,30283000000,33356000000,36499000000,37244000000,39732000000,41150000000,47786000000,50454000000,60638000000,65665000000,66623000000,72045000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000000,737000000,1279000000,816000000,744000000,879000000,1126000000,1412000000,1587000000,1563000000,856000000,693000000,755000000,983000000,976000000,1088000000,1198000000,1133000000,1346000000,1350000000,1324000000,1234000000,1359000000,1849000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,337000000,936000000,1117000000,851000000,1461000000,803000000,1062000000,933000000,1071000000,913000000,1191000000,507000000,785000000,1271000000,1692000000,2202000000,1529000000,2692000000,2967000000,3752000000,5031000000,2425000000,3577000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,145000000,129000000,142000000,143000000,154000000,153000000,153000000,158000000,162000000,- -,- -,136000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1721000000,2253000000,5252000000,3591000000,5652000000,6008000000,7153000000,9683000000,7829000000,7760000000,1673000000,1859000000,2395000000,2253000000,1868000000,1435000000,1516000000,1797000000,1731000000,2156000000,2447000000,2885000000,2919000000,4609000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2466000000,3327000000,7467000000,5524000000,7247000000,8348000000,9082000000,12157000000,10349000000,10394000000,3612000000,3888000000,3786000000,4163000000,4258000000,4369000000,5069000000,4612000000,5927000000,6635000000,7523000000,9150000000,6839000000,10035000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2795000000,2902000000,3268000000,3436000000,4083000000,3841000000,4192000000,4823000000,4525000000,4553000000,6544000000,7460000000,8980000000,10078000000,11621000000,11253000000,12167000000,13134000000,14429000000,16445000000,21611000000,20785000000,21781000000,21068000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,146000000,154000000,142000000,144000000,155000000,144000000,149000000,152000000,150000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,781000000,721000000,927000000,942000000,890000000,718000000,498000000,318000000,479000000,592000000,1003000000,1372000000,1611000000,1603000000,2146000000,2846000000,3040000000,3189000000,3773000000,2795000000,2595000000,2598000000,2871000000,3477000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1501000000,1334000000,1256000000,2362000000,2512000000,5212000000,5006000000,5755000000,6085000000,6213000000,6698000000,6395000000,6514000000,7129000000,7568000000,6771000000,7212000000,7487000000,8264000000,9289000000,9661000000,11327000000,10198000000,10046000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5077000000,4957000000,5451000000,6740000000,7485000000,9771000000,9696000000,10896000000,11089000000,11358000000,14400000000,15373000000,17259000000,18952000000,21479000000,21025000000,22563000000,23959000000,26618000000,28679000000,33867000000,34710000000,34850000000,34591000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7339000000,8080000000,12310000000,12264000000,14732000000,18119000000,18778000000,23053000000,21438000000,21752000000,18012000000,19261000000,21045000000,23115000000,25737000000,25394000000,27632000000,28571000000,32545000000,35314000000,41390000000,43860000000,41689000000,44626000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,- -,- -,- -,- -,- -,2258000000,2258000000,3147000000,889000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1883000000,1966000000,1420000000,1495000000,1436000000,2028000000,2301000000,2958000000,3245000000,- -,- -,- -,- -,- -,2217000000,2409000000,2484000000,2621000000,2982000000,3149000000,5540000000,7480000000,7053000000,11862000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1075000000,1101000000,1162000000,1475000000,1861000000,2298000000,2961000000,3588000000,4681000000,5464000000,6235000000,6971000000,7329000000,8225000000,8441000000,8827000000,9339000000,9994000000,10717000000,10147000000,10104000000,11130000000,13673000000,13548000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5794000000,-5733000000,-6163000000,-6589000000,-6984000000,-4843000000,-5117000000,-358000000,-390000000,-301000000,-513000000,-369000000,-330000000,-489000000,-376000000,-228000000,-497000000,-806000000,-748000000,-626000000,-764000000,-939000000,-31000000,-318000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5749000000,5652000000,6479000000,6511000000,6512000000,4407000000,4720000000,-28000000,-25000000,3176000000,2247000000,2405000000,2028000000,2102000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,-449000000,20000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2913000000,2986000000,2898000000,2892000000,3025000000,3890000000,4865000000,6160000000,7511000000,8339000000,7969000000,9007000000,9027000000,9838000000,10381000000,11028000000,11346000000,11829000000,12971000000,12690000000,17158000000,19949000000,23393000000,26001000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10252000000,11066000000,15208000000,15156000000,17757000000,22009000000,23643000000,29213000000,28949000000,30091000000,25981000000,28268000000,30072000000,32953000000,36118000000,36422000000,38978000000,40400000000,45516000000,48004000000,58548000000,63809000000,65082000000,70627000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,204000000,404000000,- -,- -,- -,- -,- -,- -,- -,419000000,244000000,211000000,403000000,381000000,822000000,754000000,750000000,2270000000,2450000000,2090000000,1856000000,1541000000,1418000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10456000000,11270000000,15612000000,15156000000,17757000000,22009000000,23643000000,29213000000,28949000000,30091000000,26400000000,28512000000,30283000000,33356000000,36499000000,37244000000,39732000000,41150000000,47786000000,50454000000,60638000000,65665000000,66623000000,72045000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1032208/000008652199000003/0000086521-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652100000007/0000086521-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/75527/000008652101000009/0000086521-01-000009-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652102000006/0000086521-02-000006-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652103000005/0000086521-03-000005-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652104000004/0000086521-04-000004-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652105000014/0000086521-05-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652106000008/se10k12312005.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652107000014/se10k123106.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652108000015/sempra10k2007.htm,https://www.sec.gov/Archives/edgar/data/75527/000008652109000012/0000086521-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652110000019/0000086521-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652111000017/sre2010_10k2.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652112000010/0000086521-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652113000014/0000086521-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652114000011/sre10k02272014.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652115000011/sre10k02262015.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652116000091/0000086521-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000017/0000086521-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652118000019/0000086521-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000008652119000014/0000086521-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000103220820000006/0001032208-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1032208/000103220821000007/0001032208-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1032208/000103220822000007/0001032208-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,143500000,233400000,230900000,251600000,294000000,394000000,429000000,518000000,591000000,649000000,895000000,920000000,1406000000,1099000000,1113000000,1119000000,739000000,1357000000,865000000,1009000000,1162000000,1350000000,1371000000,257000000,1050000000,2198000000,3933000000,1318000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687000000,775000000,867000000,978000000,1090000000,1113000000,1156000000,1250000000,1312000000,1490000000,1549000000,1569000000,1666000000,1855000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54200000,-30700000,-6900000,18700000,-199000000,-43000000,258000000,106000000,-92000000,-73000000,13000000,-283000000,77000000,149000000,324000000,295000000,48000000,-24000000,-43000000,334000000,146000000,239000000,217000000,1160000000,-182000000,189000000,159000000,-78000000
