,https://roic.ai/company/SCCO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,47800000,23500000,34800000,29500000,39884000,44422000,61417000,78875000,328425000,500655000,578507000,512120000,314112000,308722000,570357000,544137000,371569000,282847000,401238000,273600000,414800000,508500000,542900000,478400000,719600000,1358400000
53,Total Current Liabilities,- -,105300000,85100000,97000000,111200000,132380000,220953000,100794000,187197000,461447000,795632000,859571000,927190000,737463000,602425000,1139018000,992877000,857135000,783584000,1150905000,920200000,999000000,1168300000,1216300000,1476500000,1384800000,2250000000
54,Long-Term Debt,- -,82900000,234200000,220500000,199300000,322914000,273121000,299043000,289043000,256729000,1162065000,1518111000,1289754000,1279972000,1270252000,2750401000,2735732000,4203863000,4204915000,4006031000,5951500000,5954200000,5957100000,5960100000,6541000000,7452600000,7090300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,49400000,44800000,56700000,79900000,94891000,88615000,88566000,110075000,116277000,259089000,194759000,219501000,169342000,169709000,113232000,125191000,141426000,244875000,385545000,196000000,162600000,38500000,202600000,178300000,159400000,118300000
57,Other Non-Current Liabilities,- -,4800000,62200000,26700000,15200000,14253000,15252000,14792000,21121000,30494000,132016000,123379000,279308000,182148000,126532000,214959000,172618000,392225000,415228000,172830000,226300000,247600000,466800000,493000000,1353400000,673700000,631200000
58,Total Non-Current Liabilities,- -,137100000,341200000,303900000,294400000,432058000,376988000,402401000,420239000,403500000,1553170000,1836249000,1788563000,1631462000,1566493000,3078592000,3033541000,4737514000,4865018000,4564406000,6373800000,6364400000,6462400000,6655700000,8072700000,8285700000,7839800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046400000,979000000,842400000
61,Total Liabilities,- -,242400000,426300000,400900000,405600000,564438000,597941000,503195000,607436000,864947000,2348802000,2695820000,2715753000,2368925000,2168918000,4217610000,4026418000,5594649000,5648602000,5715311000,7294000000,7363400000,7630700000,7872000000,9549200000,9670500000,10089800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,800000,802000,802000,802000,802000,802000,1474000,2949000,2949000,8846000,8846000,8846000,8846000,8846000,8846000,8846000,8800000,8800000,8800000,8800000,8800000,8800000,3462900000
64,Retained Earnings,- -,749300000,833600000,847200000,864400000,930071000,947830000,979649000,1053528000,1458941000,2648359000,3010307000,3220857000,2916517000,3469930000,3595983000,3852054000,2350126000,3394827000,4346818000,4812100000,5455300000,5726200000,6186900000,6435600000,6846400000,- -
65,Other Comprehensive Income/Loss,- -,-883700000,-878100000,-913300000,-973000000,-962800000,-1046900000,-1099500000,-1151000000,-1219000000,-13000000,-22000000,-27000000,-23000000,-13000000,-126000000,13000000,4000000,6000000,5000000,1000000,-2000000,1000000,-2000000,-10000000,-8400000,7760300000
66,Other Total Stockholders Equity,- -,1149400000,1142100000,1174700000,1233700000,1223582000,1307723000,1360424000,1412073000,1480156000,689244000,675349000,651314000,478896000,409852000,411619000,141404000,2402168000,2123989000,1443796000,441000000,370200000,371700000,373700000,375900000,378000000,- -
67,Total Stockholders Equity,- -,1015000000,1097600000,1108600000,1125900000,1191655000,1209455000,1241375000,1315403000,1720899000,3326077000,3666605000,3848120000,3381259000,3875628000,3890448000,4015304000,4765140000,5533662000,5804460000,5262900000,5832300000,6107700000,6567400000,6810300000,7224800000,8149200000
68,Total Liabilities And Stockholders Equity,- -,1257400000,1523900000,1509500000,1531500000,1756093000,1807396000,1744570000,1922839000,2585846000,5674879000,6362425000,6563873000,5750184000,6044546000,8108058000,8041722000,10359789000,11182264000,11519771000,12556900000,13195700000,13738400000,14439400000,16359500000,16895300000,18239000000
69,Minority Interest,- -,22400000,19400000,16300000,14000000,14465000,14021000,7676000,7913000,11284000,12695000,13989000,16685000,14140000,18026000,19961000,20979000,23929000,28158000,32137000,36300000,38600000,41700000,45400000,47900000,51200000,58600000
70,Total Liabilities & Equity,- -,1279800000,1543300000,1525800000,1545500000,1770558000,1821417000,1752246000,1930752000,2597130000,5687574000,6376414000,6580558000,5764324000,6062572000,8128019000,8062701000,10383718000,11210422000,11551908000,12593200000,13234300000,13780100000,14484800000,16407400000,16946500000,18297600000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001838/000091205700011674/0000912057-00-011674-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000100547701002441/0001005477-01-002441-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000091205702011721/0000912057-02-011721-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465903005490/0001104659-03-005490-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465904007184/0001104659-04-007184-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465905011512/0001104659-05-011512-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465906016193/a06-2301_110k.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465907015479/a07-5714_110k.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465908014154/a08-2675_110k.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465909013233/0001104659-09-013233-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465910010334/0001104659-10-010334-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465911011083/a11-2140_110k.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465912013068/0001104659-12-013068-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465913015720/0001104659-13-015720-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000110465914014124/a13-26010_110k.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465915015406/a14-26204_110k.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465916100568/0001104659-16-100568-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000104746917001143/0001047469-17-001143-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000104746918001211/0001047469-18-001211-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000104746919000845/0001047469-19-000845-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000155837020001781/0001558370-20-001781-index.html,https://www.sec.gov/Archives/edgar/data/1001838/000155837021001894/0001558370-21-001894-index.htm,https://www.sec.gov/Archives/edgar/data/1001838/000155837022002968/0001558370-22-002968-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,180500000,185700000,54600000,29400000,92917000,46551000,60555000,122313000,596773000,1400148000,2037640000,2216370000,1406593000,929381000,1554051000,2336424000,1934632000,1618517000,1332973000,736400000,776500000,728500000,1543000000,1485800000,1570400000,3397100000
74,Depreciation and Amortization,- -,41600000,46700000,60900000,74200000,77447000,76285000,67840000,73579000,77753000,292313000,275062000,327898000,327302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775600000,- -
75,Deferred Income Tax,- -,12000000,-7300000,14400000,21800000,15047000,-3253000,3920000,23602000,6250000,-42268000,-33693000,66596000,-100115000,41231000,-40426000,-117946000,55807000,-97188000,-233794000,-153200000,-117000000,641500000,-51500000,-21000000,-63500000,-126300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-56500000,178700000,-163400000,-155200000,151567000,-103775000,4386000,78676000,263352000,366616000,664584000,125013000,-892089000,359474000,1388235000,-455313000,1322198000,-798358000,-1293582000,225116000,3100000,434700000,-38100000,744500000,722200000,190700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299631000,-308079000,-135552000,-14739000,136107000,-7019000,91600000,-143300000,-298700000,68300000,-10500000,-236000000,- -
79,Inventory,- -,-15000000,10000000,19700000,-21200000,-4760000,13900000,9151000,15188000,-20249000,-43468000,-17807000,-34632000,-3314000,-4525000,-48815000,-204225000,-180684000,-143575000,-260063000,-260300000,-207900000,-201900000,-190800000,-88700000,223600000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,297800000,476500000,313100000,157900000,309467000,205692000,210078000,288754000,552106000,918722000,1583306000,1708319000,816230000,1175704000,2563939000,2108626000,3430824000,2632466000,1338884000,1564000000,1567100000,2001800000,1963700000,2708200000,3430400000,- -
82,Other Non-Cash Items,- -,-18800000,-126200000,214900000,120100000,-153384000,182615000,4945000,-107184000,-226831000,-372614000,-884210000,-32421000,978903000,-366908000,-981149000,307007000,-1308675000,1134253000,1550296000,71484000,260500000,171900000,781700000,-297400000,-221100000,830900000
83,Cash Provided by Operating Activities,- -,158800000,277600000,181400000,90300000,183594000,198423000,141646000,190986000,717297000,1644195000,2059383000,2703456000,1720594000,963178000,1920711000,2070172000,2003962000,1857224000,1355893000,879800000,923100000,1976600000,2235100000,1911900000,2783600000,4292400000
84,CAPEX,- -,-120800000,-184000000,-258700000,-250300000,-131745000,-161048000,-76866000,-49834000,-171688000,-470636000,-455818000,-315741000,-516654000,-414822000,-408734000,-612905000,-1051900000,-1703349000,-1529799000,-1149600000,-1118500000,-1023500000,-1121400000,-707500000,-592200000,-892300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33276000,- -,- -,- -,-100400000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-204600000,-40900000,-55000000,- -,- -,- -,- -,-69409000,- -,-280000000,-217903000,- -,- -,-88381000,-532188000,-152441000,-73970000,-436649000,-956900000,-129800000,-61300000,-310600000,-284400000,-450300000,- -
87,Sales/Maturities of Investments,- -,41500000,1000000,228800000,77100000,542000,83000,- -,55000,24142000,45267000,- -,287398000,45188000,43781000,14673000,82663000,558298000,- -,306328000,692100000,681900000,62300000,147300000,417500000,120200000,- -
88,Other Investing Activites,- -,-100000,50000000,100000,700000,- -,- -,226000,- -,- -,- -,10532000,267000,60613000,-403067000,-400063000,-600330000,-1074427000,-1670936000,-1524875000,-1095800000,-1004100000,-1020000000,-1132900000,-707100000,-585700000,-972900000
89,Cash Used for Investing Activites,- -,-79400000,-337600000,-70700000,-227500000,-131203000,-160965000,-76640000,-49779000,-216955000,-425369000,-725286000,-245979000,-410853000,-359286000,-473771000,-1083131000,-668570000,-1744906000,-1655196000,-1461000000,-452000000,-1019000000,-1296200000,-574000000,-915800000,-972900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-10000000,-15250000,-10000000,-10000000,- -,-266000000,- -,- -,- -,- -,-400000000,- -
91,Common Stock Issued,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,216438000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-6500000,-3400000,-1512000,-851000,-8745000,-526000,-21000,-37714000,- -,- -,-384656000,-71903000,-271000,-273690000,-147344000,-281438000,-682774000,-1004400000,-71700000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-122000000,-103600000,-41700000,-12200000,-27200000,-28792000,-21494000,-45352000,-191360000,-853887000,-1509099000,-2002312000,-1710813000,-377118000,-1427998000,-2080353000,-3139971000,-573816000,-380982000,-271200000,-139300000,-456100000,-1082300000,-1273400000,-1159600000,-2473800000
94,Other Financing Activites,- -,-5600000,115400000,-11300000,-11900000,117609000,57611000,-101457000,49681000,-66997000,-163998000,344729000,-86035000,-169005000,998000,1474879000,-5732000,3575413000,-75000,-714000,2033800000,300000,- -,-1100000,1011200000,-3700000,-6400000
95,Cash Used/Provided by Financing Activities,- -,-127600000,11800000,-59500000,-27300000,88897000,27968000,-131696000,3803000,-258378000,-1055599000,-1164370000,-2088347000,-2048036000,-458023000,36610000,-2375025000,278098000,-865329000,-1064470000,492200000,-210700000,-456100000,-1083400000,-262200000,-1563300000,-2480200000
96,Effect of Forex Changes on Cash,- -,1800000,1500000,-1700000,-900000,-2796000,-1657000,1370000,2925000,8593000,2069000,-22952000,17364000,45763000,-90303000,-63179000,43425000,-2120000,-33782000,55048000,-500000,11100000,-42700000,-15700000,4800000,-46000000,-20900000
97,Net Change In Cash,- -,-127600000,11800000,-59500000,-165300000,138492000,63769000,-65320000,147935000,250557000,165296000,146775000,386494000,-692532000,55566000,1420371000,-1344559000,1611370000,-786793000,-1308725000,-89500000,271500000,458800000,-160200000,1080500000,258500000,-2480200000
98,Cash at the End of Period,- -,- -,- -,- -,10600000,149088000,212857000,147537000,295472000,546029000,876003000,1022778000,1409272000,716740000,772306000,2192677000,848118000,2459488000,1672695000,363970000,274500000,546000000,1004800000,844600000,1925100000,2183600000,- -
