,https://roic.ai/company/PX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,502000000,639000000,682000000,818000000,820000000,730000000,830000000,896000000,928000000,921000000,864000000,791000000,906000000,972000000,- -,106000,1103000,401000
49,Short-Term Debt,454000000,231000000,130000000,788000000,642000000,227000000,32000000,387000000,39000000,3000000,2000000,6000000,164000000,979000000,- -,104963000,258196000,90659000
50,Tax Payable,- -,- -,- -,- -,- -,- -,90000000,145000000,123000000,168000000,119000000,144000000,133000000,242000000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7706000,10347000,12953000
52,Other Current Liabilities,919000000,- -,946000000,1044000000,1517000000,856000000,1248000000,1252000000,1512000000,1740000000,1624000000,1096000000,1408000000,1356000000,- -,6527000,14959000,16540000
53,Total Current Liabilities,1875000000,870000000,1758000000,2650000000,2979000000,1813000000,2110000000,2535000000,2479000000,2664000000,2490000000,1893000000,2478000000,3307000000,- -,119302000,284605000,120553000
54,Long-Term Debt,195000000,290000000,56000000,40000000,674000000,71000000,5155000000,5838000000,6685000000,8026000000,8669000000,8975000000,8917000000,7783000000,- -,47461000,39541000,137537000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,695000000,523000000,768000000,1205000000,1198000000,1328000000,1209000000,1167000000,- -,- -,- -,- -
57,Other Non-Current Liabilities,949000000,833000000,931000000,1048000000,1356000000,1377000000,953000000,1228000000,1276000000,859000000,1176000000,1155000000,1213000000,1588000000,- -,- -,198439000,22963000
58,Total Non-Current Liabilities,1144000000,1123000000,987000000,1088000000,2030000000,1448000000,6803000000,7589000000,8729000000,10090000000,11043000000,11458000000,11339000000,10538000000,- -,47461000,237980000,160500000
59,Other Liabilities,5314000000,6640000000,5555000000,6357000000,7794000000,8304000000,14175000000,15922000000,18276000000,21072000000,22732000000,23495000000,23172000000,21649000000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6578000,7682000,15700000
61,Total Liabilities,6045000000,6387000000,6326000000,7919000000,8743000000,8669000000,9482000000,10868000000,12026000000,13646000000,14179000000,13930000000,14311000000,14418000000,- -,166763000,522585000,281053000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,- -,89000,89000,117000
64,Retained Earnings,3529000000,4022000000,4687000000,5325000000,6068000000,6831000000,7475000000,8510000000,9534000000,10528000000,11461000000,12229000000,12879000000,13224000000,- -,-287345000,-264259000,-255085000
65,Other Comprehensive Income/Loss,-1180000000,-1257000000,-1127000000,-672000000,-1768000000,-1155000000,-1018000000,-1746000000,-1852000000,-1981000000,-3185000000,-4596000000,-4600000000,-4098000000,- -,- -,- -,- -
66,Other Total Stockholders Equity,1259000000,1137000000,990000000,485000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323297000,324011000,- -
67,Total Stockholders Equity,3608000000,3902000000,4554000000,5142000000,4009000000,5315000000,5792000000,5488000000,6064000000,6609000000,5623000000,4389000000,5021000000,6018000000,- -,36041000,59841000,395164000
68,Total Liabilities And Stockholders Equity,9653000000,10289000000,10880000000,13061000000,12752000000,13984000000,15274000000,16356000000,18090000000,20255000000,19802000000,18319000000,19332000000,20436000000,- -,202804000,582426000,676217000
69,Minority Interest,-324000000,-422000000,-443000000,-589000000,-499000000,-559000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9329000000,9867000000,10437000000,12472000000,12253000000,13425000000,15274000000,16356000000,18090000000,20255000000,19802000000,18319000000,19332000000,20436000000,- -,202804000,582426000,676217000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/884905/000088490505000075/0000884905-05-000075-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000088490506000030/0000884905-06-000030-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312507042590/0001193125-07-042590-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312508039697/0001193125-08-039697-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312509037218/0001193125-09-037218-index.html,https://www.sec.gov/Archives/edgar/data/884905/000119312510038766/0001193125-10-038766-index.html,https://www.sec.gov/Archives/edgar/data/884905/000119312511043054/0001193125-11-043054-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312512087618/0001193125-12-087618-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490513000011/0000884905-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490514000013/0000884905-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000088490515000016/0000884905-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000088490516000108/0000884905-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490517000007/0000884905-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490518000014/0000884905-18-000014-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1841968/000095017022004180/0000950170-22-004180-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,697000000,726000000,988000000,1177000000,1211000000,1442000000,1195000000,1672000000,1692000000,1755000000,1694000000,1547000000,1500000000,1247000000,- -,11941000,23806000,10767000
74,Depreciation and Amortization,3987000000,665000000,696000000,774000000,850000000,846000000,925000000,1003000000,1001000000,1109000000,1170000000,1106000000,1122000000,1184000000,- -,10582000,15571000,30703000
75,Deferred Income Tax,- -,200000000,90000000,37000000,-23000000,-221000000,-133000000,3000000,-258000000,-101000000,-55000000,-99000000,13000000,-3000000,- -,-10909000,-30274000,-8140000
76,Stock Based Compensation,- -,- -,- -,42000000,45000000,39000000,47000000,62000000,70000000,70000000,51000000,30000000,39000000,59000000,- -,417000,714000,4924000
77,Change in Working Capital,-463000000,1394000000,-962000000,-543000000,-436000000,1088000000,-142000000,-196000000,241000000,-61000000,97000000,384000000,-331000000,-424000000,- -,2099000,-1187000,-6867000
78,Accounts Receivable,- -,-165000000,-90000000,-223000000,119000000,39000000,-114000000,-108000000,-36000000,-84000000,-80000000,1000000,-33000000,-92000000,- -,-319000,1943000,407000
79,Inventory,- -,-41000000,-15000000,-71000000,21000000,58000000,-26000000,-31000000,-18000000,-54000000,-42000000,-23000000,-13000000,-22000000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,163000000,44000000,-34000000,107000000,13000000,-40000000,92000000,22000000,- -,23000,619000,-702000
81,Other Working Capital,-131000000,1263000000,301000000,-242000000,-678000000,410000000,268000000,72000000,313000000,252000000,349000000,733000000,402000000,-22000000,- -,1586000,-5960000,2606000
82,Other Non-Cash Items,-4221000000,-1510000000,940000000,471000000,391000000,-1026000000,13000000,-89000000,6000000,145000000,-89000000,-286000000,430000000,978000000,- -,2683000,2040000,17632000
83,Cash Provided by Operating Activities,- -,1475000000,1752000000,1958000000,2038000000,2168000000,1905000000,2455000000,2752000000,2917000000,2868000000,2682000000,2773000000,3041000000,- -,16813000,10670000,49019000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1388000000,-1797000000,-2180000000,-2020000000,-1689000000,-1541000000,-1465000000,-1311000000,- -,-30000,-34000,-159000
85,Acquisitions Net,- -,- -,- -,- -,- -,-131000000,-148000000,-294000000,-280000000,-1323000000,-206000000,-82000000,-363000000,-33000000,- -,-625000,-213909000,-44689000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-587000000,-937000000,-623000000,-590000000,-862000000,-725000000,-228000000,-12000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-887000000,-988000000,-1813000000,-1687000000,-1321000000,639000000,1023000000,701000000,669000000,954000000,1045000000,286000000,42000000,- -,- -,-250000,-2582000
89,Cash Used for Investing Activites,- -,-887000000,-988000000,-1813000000,-1687000000,-1452000000,-1484000000,-2005000000,-2382000000,-3264000000,-1803000000,-1303000000,-1770000000,-1314000000,- -,-655000,-214193000,-47400000
90,Debt Repayment,- -,-232000000,-338000000,524000000,-45000000,-455000000,-1515000000,-580000000,-1522000000,-1347000000,-764000000,-1000000000,-770000000,-583000000,- -,-25393000,-4798000,-341253000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,183000000,195000000,164000000,154000000,103000000,88000000,139000000,120000000,- -,- -,46353000,138000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-587000000,-937000000,-623000000,-590000000,-862000000,-725000000,-228000000,-12000000,- -,- -,- -,- -
93,Dividends Paid,- -,-233000000,-323000000,-381000000,-468000000,-491000000,-551000000,-602000000,-655000000,-708000000,-759000000,-819000000,-856000000,-901000000,- -,- -,- -,-2313000
94,Other Financing Activites,- -,27000000,-244000000,-313000000,180000000,235000000,2051000000,1544000000,2333000000,2819000000,1274000000,1159000000,1072000000,-280000000,- -,19750000,155286000,234646000
95,Cash Used/Provided by Financing Activities,- -,-438000000,-905000000,-170000000,-333000000,-711000000,-419000000,-380000000,-303000000,328000000,-1008000000,-1297000000,-643000000,-1656000000,- -,-5643000,196841000,29080000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-8000000,-19000000,-4000000,-27000000,-69000000,-61000000,17000000,22000000,- -,- -,- -,- -
97,Net Change In Cash,- -,148000000,-137000000,-19000000,15000000,13000000,-6000000,51000000,67000000,-19000000,-12000000,21000000,377000000,93000000,- -,10515000,-6683000,30699000
98,Cash at the End of Period,- -,173000000,36000000,17000000,32000000,45000000,39000000,90000000,157000000,138000000,126000000,147000000,524000000,617000000,- -,19466000,12783000,43482000
99,Cash at the Beginning of Period,- -,25000000,173000000,36000000,17000000,32000000,45000000,39000000,90000000,157000000,138000000,126000000,147000000,524000000,- -,8951000,19466000,12783000
100,Free Cash Flow,- -,1475000000,1752000000,1958000000,2038000000,2168000000,517000000,658000000,572000000,897000000,1179000000,1141000000,1308000000,1730000000,- -,16783000,10636000,48860000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/884905/000088490505000075/0000884905-05-000075-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000088490506000030/0000884905-06-000030-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312507042590/0001193125-07-042590-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312508039697/0001193125-08-039697-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312509037218/0001193125-09-037218-index.html,https://www.sec.gov/Archives/edgar/data/884905/000119312510038766/0001193125-10-038766-index.html,https://www.sec.gov/Archives/edgar/data/884905/000119312511043054/0001193125-11-043054-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000119312512087618/0001193125-12-087618-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490513000011/0000884905-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490514000013/0000884905-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000088490515000016/0000884905-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/884905/000088490516000108/0000884905-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490517000007/0000884905-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/884905/000088490518000014/0000884905-18-000014-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1841968/000095017022004180/0000950170-22-004180-index.htm
102,false,,,,,,,,,,,,,,,,,,
