,https://roic.ai/company/MAA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-23300000,-45300000,96594000,87631000,140246000,152121000,152874000,155070000,166115000,177165000,181401000,198766000,213153000,231056000,28636000,28540000,134453000,154428000,13762000,15569000,20909000,25716000,29040000,40194000,34786000,46121000,99158000,108616000
11,COGS and Expenses,-23300000,-45300000,96594000,87631000,140246000,152121000,152874000,155070000,166115000,177165000,181401000,198766000,213153000,231056000,273954000,284264000,309073000,345944000,365308000,478945000,747144000,751871000,809447000,1154221000,1166766000,1210820000,1250471000,1313214000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,509000,385000,837000,574000,430000,488000,908000,-368000,724000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62010000,57094000,55996000,58612000,58751000,75915000,119464000,122344000,129947000,154751000,173594000,179847000,167562000,156881000
14,Depreciation and Amortization,9200000,17300000,22243000,28746000,48369000,52757000,54602000,54403000,57975000,61080000,70406000,77061000,81424000,88580000,93181000,98393000,106692000,119329000,132195000,192736000,306233000,294897000,323283000,494540000,490995000,497790000,511678000,534415000
15,EBITDA,16200000,27100000,36503000,39973000,75126000,86329000,84389000,83101000,74116000,81286000,95604000,96805000,102369000,128526000,185440000,192698000,192449000,226762000,296169000,384825000,575727000,751201000,667151000,980289000,890099000,1035144000,937529000,1238724000
16,EBITDA ratio,0.3158,0.2859,0.3263,0.2873,0.3485,0.3814,0.3757,0.3644,0.3179,0.3374,0.3570,0.3254,0.3140,0.3641,0.5014,0.5091,0.4785,0.5050,0.5957,0.6063,0.5820,0.7204,0.5928,0.6411,0.5665,0.6308,0.5587,0.6967
17,Operating Income,74600000,140100000,15288000,51485000,75297000,74201000,71766000,72969000,67024000,63741000,66786000,76464000,87332000,93052000,95897000,93330000,90644000,99729000,130276000,116891000,228217000,288131000,272150000,354776000,404580000,430197000,427513000,464868000
18,Operating Income ratio,1.4542,1.4778,0.1366,0.3701,0.3493,0.3279,0.3195,0.3200,0.2875,0.2646,0.2494,0.2571,0.2679,0.2636,0.2593,0.2465,0.2254,0.2221,0.2620,0.1842,0.2307,0.2763,0.2418,0.2320,0.2575,0.2622,0.2548,0.2614
19,Total Other Income Expenses (Gains),- -,- -,2200000,- -,400000,10200000,- -,- -,397000,2942000,6740000,3708000,-501000,5741000,-2673000,-4233000,-2526000,-7278000,-62488000,-79059000,-83108000,64289000,-46290000,-12991000,-172779000,-61537000,-161672000,98260000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67788000,37832000,145109000,352420000,225860000,341785000,231801000,368660000,265841000,563128000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1363,0.0596,0.1467,0.3380,0.2007,0.2235,0.1475,0.2247,0.1584,0.3167
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,893000,2050000,1673000,1699000,2619000,2611000,3696000,3327000,13637000
23,Net Income,7000000,9800000,14260000,11227000,26757000,33572000,29787000,28698000,16141000,20206000,25198000,19744000,20945000,39946000,30249000,37211000,29761000,48821000,105223000,115281000,147980000,332287000,212222000,328379000,222899000,353811000,254962000,533791000
24,Net Income ratio,0.1365,0.1034,0.1275,0.0807,0.1241,0.1483,0.1326,0.1258,0.0692,0.0839,0.0941,0.0664,0.0642,0.1132,0.0818,0.0983,0.0740,0.1087,0.2116,0.1816,0.1496,0.3187,0.1886,0.2148,0.1419,0.2156,0.1519,0.3002
25,EPS,1.01,1.00,1.21,0.43,0.82,0.93,0.78,0.72,-0.11,-0.07,0.51,0.25,0.30,1.01,0.64,0.86,0.57,1.32,2.56,1.54,1.97,4.41,2.69,2.86,1.93,3.07,2.20,4.79
26,EPS Diluted,1.01,1.00,1.21,0.43,0.82,0.93,0.78,0.72,-0.11,-0.07,0.50,0.25,0.29,1.01,0.64,0.85,0.56,1.31,2.56,1.54,1.97,4.41,2.69,2.86,1.93,3.07,2.19,4.78
27,Weighted Average Shares Outstanding,6930693,9800000,10966942,13895349,18725000,18784000,17544000,17427000,17561000,18374000,20317000,21405000,23474000,25296000,27046000,28341000,31856000,36995000,41039000,74830726,74982000,75176000,78502000,113407000,113638000,113854000,114188000,114933000
28,Weighted Average Shares Outstanding Diluted,6930693,9800000,10966942,13895349,18770000,18808000,17597000,17532000,17561000,18374000,20652000,21607000,23698000,25462000,27046000,28348000,31977000,39086000,42937000,74830726,74982000,75176000,78800000,113687000,113836000,114113000,114500000,115229000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912595/000120677404000135/d14130.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677405000343/d16501_10-k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677406000351/d18659_10k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677407000529/midamerica_10-k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677408000381/midamerica_10k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677409000321/0001206774-09-000321-index.html,- -,https://www.sec.gov/Archives/edgar/data/912595/000114420411010787/0001144204-11-010787-index.html,https://www.sec.gov/Archives/edgar/data/912595/000114420412010851/0001144204-12-010851-index.html,https://www.sec.gov/Archives/edgar/data/912595/000091259513000003/0000912595-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/912595/000091259514000003/maa12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/912595/000091259515000007/maa12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/1581776/000091259516000032/0000912595-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1581776/000091259517000005/0000912595-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/912595/000091259518000011/0000912595-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1581776/000091259519000015/0000912595-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1581776/000156459020005582/0001564590-20-005582-index.html,https://www.sec.gov/Archives/edgar/data/912595/000156459021006666/0001564590-21-006666-index.htm,https://www.sec.gov/Archives/edgar/data/912595/000095017022001423/0000950170-22-001423-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4053000,14805000,7237000,14092000,16095000,12192000,10594000,10152000,9133000,14064000,5545000,17192000,9426000,13819000,45942000,57317000,9075000,89333000,25401000,37559000,33536000,10750000,34259000,20476000,25198000,54302000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,4053000,14805000,7237000,14092000,16095000,12192000,10594000,10152000,9133000,14064000,9263000,17192000,9426000,13819000,45942000,57317000,9075000,89333000,25401000,37559000,33536000,10750000,34259000,20476000,25198000,54302000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1390619000,1507774000,1551342000,1732332000,1762524000,414000,561000,1514000,1362000,808000,83122000,64633000,26082000,88264000,83438000,17414000,50065000,10417000,76296000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400771000,1516907000,1565406000,1741595000,1779716000,9840000,14380000,47456000,58679000,9883000,172455000,90034000,63641000,121800000,94188000,51673000,70541000,35615000,130598000
38,PP&E,- -,- -,592335000,1134704000,1315368000,1248051000,1244475000,1216933000,1192223000,1351849000,1459952000,1510289000,1669539000,1720553000,1844507000,1925296000,2068135000,2406802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5762000,5400000,5051000,5051000,4106000,4106000,4106000,4106000,4106000,4106000,4106000,2321000,1607000,1239000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,50300000,4600000,6100000,42400000,11200000,3900000,- -,1300000,900000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5762000,5400000,5051000,5051000,4106000,4106000,4106000,4106000,4106000,5706000,54406000,6921000,7707000,43639000,11200000,3900000,- -,1300000,900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6824000,8619000,17505000,17006000,4837000,5499000,1791000,1811000,44493000,44956000,44181000,43674000,43325000,42827000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1351849000,-1459952000,-1510289000,-1669539000,-1720553000,56678000,34425000,38846000,43875000,2730642000,6609565000,6732282000,6774622000,11394559000,11341575000,11224027000,11116235000,11114551000,11110857000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5762000,5400000,5051000,5051000,4106000,1912115000,1972446000,2128592000,2471789000,2741185000,6669470000,6740994000,6784140000,11482691000,11397731000,11272108000,11159909000,11159176000,11154584000
46,Other Assets,- -,- -,611199000,1194070000,1366427000,1298823000,1303771000,1263488000,1239467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,611199000,1194070000,1366427000,1298823000,1303771000,1263488000,1239467000,1406533000,1522307000,1570457000,1746646000,1783822000,1921955000,1986826000,2176048000,2530468000,2751068000,6841925000,6831028000,6847781000,11604491000,11491919000,11323781000,11230450000,11194791000,11285182000
48,Accounts Payable,- -,- -,744000,10098000,10384000,2122000,1740000,1219000,464000,1696000,767000,3278000,2773000,1099000,1234000,1702000,1815000,2091000,4586000,15067000,8395000,5922000,11970000,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1323056000,1399596000,1500193000,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,54256000,90902000,85616000,88878000,87260000,86781000,96536000,91304000,81233000,64722000,99227000,113901000,-1256074000,-1330068000,-1426194000,91718000,94719000,206190000,216478000,226237000,414244000,405560000,413850000,472262000,528274000,584400000
53,Total Current Liabilities,- -,- -,55000000,101000000,96000000,91000000,89000000,88000000,97000000,93000000,82000000,68000000,102000000,115000000,68216000,71230000,75814000,93809000,99305000,221257000,224873000,232159000,426214000,405560000,413850000,472262000,700274000,584400000
54,Long-Term Debt,- -,- -,315239000,632213000,753427000,744238000,781089000,779664000,803703000,951941000,1083473000,1140046000,1196349000,1264620000,1323056000,1399596000,1500193000,1649755000,1673848000,3472718000,3524515000,3427568000,4499712000,4502057000,4528328000,4454598000,4390712000,4516690000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-239000,-213000,-427000,-238000,-89000,336000,297000,59000,-473000,-46000,-349000,380000,88066000,62774000,59413000,43442000,32805000,34413000,29829000,30231000,36464000,10408000,9414000,14131000,- -,- -
58,Total Non-Current Liabilities,- -,- -,315000000,632000000,753000000,744000000,781000000,780000000,804000000,952000000,1083000000,1140000000,1196000000,1265000000,1411122000,1462370000,1559606000,1693197000,1706653000,3507131000,3554344000,3457799000,4536176000,4512465000,4537742000,4468729000,4390712000,4516690000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,330577000,669705000,787687000,778879000,818395000,821228000,867891000,1013220000,1133606000,1178133000,1264980000,1353998000,1479338000,1533600000,1635420000,1787006000,1805958000,3728388000,3779217000,3689958000,4962390000,4918025000,4951592000,4940991000,5090986000,5101090000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,68000,71000,71000,67000,67000,62000,62000,62000,- -,- -,- -,- -,- -,- -,9000,9000,9000,9000,9000,9000
63,Common Stock,- -,- -,109000,185000,189000,190000,175000,175000,178000,200000,209000,220000,251000,257000,282000,290000,348000,389000,422000,747000,752000,753000,1133000,1134000,1136000,1140000,1141000,31336000
64,Retained Earnings,- -,- -,-15174000,-38371000,-63876000,-89869000,-116889000,-145061000,-188155000,-232224000,-269482000,-314352000,-378090000,-414966000,-464617000,-510993000,-575021000,-621833000,-603315000,-653593000,-729086000,-634141000,-707479000,-784500000,-989263000,-1085479000,-1294182000,-1255807000
65,Other Comprehensive Income/Loss,- -,- -,-49558000,-76129000,-117773000,-146611000,-183652000,-229913000,-283593000,-339704000,-399762000,7000000,11000000,-17000000,-73000000,-47435000,-49000000,-36000000,-26000000,- -,- -,-2000000,1000000,2000000,- -,-13000000,-12128000,-11132000
66,Other Total Stockholders Equity,- -,- -,306007000,575815000,698759000,700174000,734359000,770628000,809673000,932951000,1026289000,669591000,815838000,832603000,949419000,988642000,1142176000,1375775000,1547658000,3604707000,3624769000,3635735000,7119229000,7131677000,7147372000,7180026000,7192190000,7230956000
67,Total Stockholders Equity,- -,- -,241384000,461500000,517299000,463884000,433993000,395829000,338171000,361294000,357325000,362526000,449066000,400956000,412146000,430566000,518503000,718331000,918765000,2951861000,2896435000,3000347000,6413892000,6350320000,6159254000,6082696000,5887030000,5995362000
68,Total Liabilities And Stockholders Equity,- -,- -,571961000,1131205000,1304986000,1242763000,1252388000,1217057000,1206062000,1374514000,1490931000,1540659000,1714046000,1754954000,1891484000,1964166000,2153923000,2505337000,2724723000,6680249000,6675652000,6690305000,11376282000,11268345000,11110846000,11023687000,10978016000,11096452000
69,Minority Interest,- -,- -,39238000,62865000,61441000,56060000,51383000,46431000,33405000,32019000,31376000,29798000,32600000,28868000,30471000,22660000,22125000,25131000,26345000,161676000,155376000,157476000,228209000,223574000,212935000,206763000,216775000,188730000
70,Total Liabilities & Equity,- -,- -,611199000,1194070000,1366427000,1298823000,1303771000,1263488000,1239467000,1406533000,1522307000,1570457000,1746646000,1783822000,1921955000,1986826000,2176048000,2530468000,2751068000,6841925000,6831028000,6847781000,11604491000,11491919000,11323781000,11230450000,11194791000,11285182000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912595/000120677404000135/d14130.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677405000343/d16501_10-k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677406000351/d18659_10k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677407000529/midamerica_10-k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677408000381/midamerica_10k.htm,https://www.sec.gov/Archives/edgar/data/912595/000120677409000321/0001206774-09-000321-index.html,- -,https://www.sec.gov/Archives/edgar/data/912595/000114420411010787/0001144204-11-010787-index.html,https://www.sec.gov/Archives/edgar/data/912595/000114420412010851/0001144204-12-010851-index.html,https://www.sec.gov/Archives/edgar/data/912595/000091259513000003/0000912595-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/912595/000091259514000003/maa12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/912595/000091259515000007/maa12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/1581776/000091259516000032/0000912595-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1581776/000091259517000005/0000912595-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/912595/000091259518000011/0000912595-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1581776/000091259519000015/0000912595-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1581776/000156459020005582/0001564590-20-005582-index.html,https://www.sec.gov/Archives/edgar/data/912595/000156459021006666/0001564590-21-006666-index.htm,https://www.sec.gov/Archives/edgar/data/912595/000095017022001423/0000950170-22-001423-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7000000,9800000,14260000,11227000,26757000,33572000,29787000,28698000,16141000,20206000,25198000,19744000,20945000,39946000,30249000,37211000,29761000,48821000,105223000,115281000,147980000,332287000,212222000,328379000,222899000,353811000,254962000,533791000
74,Depreciation and Amortization,9200000,17300000,22243000,28746000,48369000,52757000,54602000,54403000,57975000,61080000,70406000,77061000,81424000,88580000,93181000,98393000,106692000,119329000,132195000,192736000,306233000,294897000,323283000,494540000,490995000,497790000,511678000,534415000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1027000,1679000,3013000,5519000,2233000,2268000,4226000,6147000,11486000,10570000,12444000,13654000,14329000,16665000
77,Change in Working Capital,2400000,- -,-55000000,-46000000,5000000,5000000,2000000,1000000,-9000000,1404771000,127136000,62499000,142189000,25121000,-1723092000,1526000,28492000,-6772000,-54292000,40620000,-86037000,-33679000,-135896000,-6958000,-50805000,-39544000,-262938000,55925000
78,Accounts Receivable,-1800000,5100000,-1500000,-2600000,5200000,-7900000,-7410000,9294000,894000,-4869000,3909000,-3500000,-4942000,2980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3000000,200000,2000000,-4400000,-3200000,3800000,2665000,6132000,3474000,4686000,158000,10019000,2256000,301000,145000,473000,109000,265000,2495000,-48674000,-3348000,-2578000,-24232000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-55000000,-101000000,-96000000,-91000000,-89000000,-88000000,-97000000,1307771000,1434907000,1497406000,1639595000,1664716000,-58376000,-56850000,-28358000,-35130000,-89422000,-48802000,-134839000,-168518000,-304414000,-311372000,-362177000,-401721000,-664659000,- -
82,Other Non-Cash Items,500000,7900000,56515000,50824000,279000,-16351000,-15225000,6540000,15960000,-1406816000,-134511000,-59617000,-143232000,-35757000,1736564000,-1939000,-34164000,5391000,25608000,-86313000,11724000,-135931000,72944000,-168018000,58759000,-44291000,305918000,-245829000
83,Cash Provided by Operating Activities,19100000,35000000,38018000,44797000,80405000,74978000,71164000,90641000,81076000,79241000,88229000,99687000,101326000,117890000,137929000,136870000,133794000,172288000,210967000,264592000,384126000,463721000,484039000,658513000,734292000,781420000,823949000,894967000
84,CAPEX,-217300000,-35000000,-87532000,-112585000,-204031000,-105940000,-85657000,-36113000,-66640000,-144773000,-190723000,-132944000,-225766000,-121418000,-214745000,-171054000,-323017000,-427562000,-47222000,-53439000,-90201000,-88486000,-80392000,-343890000,-254715000,-303097000,-426941000,-279635000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7566000,-2611000,- -,-108000,-218000,63186000,- -,-32000,-427764000,-1500000,-2905000,-5391000,-5349000,-4669000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,17100000,- -,5400000,- -,58428000,- -,36891000,26247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10400000,-4800000,-4000,-25678000,24000,145026000,267000,12870000,-4433000,-21408000,22340000,24592000,-14582000,13313000,-60980000,-15014000,68746000,-66627000,-329005000,-146974000,-203764000,-136183000,-282723000,-281935000,-363445000,-232882000,-479382000,-248917000
89,Cash Used for Investing Activites,-227700000,-39800000,-70436000,-138263000,-198607000,39086000,-26962000,-23243000,-34182000,-139934000,-168383000,-108352000,-240348000,-108105000,-243043000,-150546000,-254271000,-442160000,-329223000,-83788000,-203764000,-136215000,-710487000,-283435000,-366350000,-238273000,-484731000,-253586000
90,Debt Repayment,-66000000,-10900000,-14427000,-267003000,-217668000,-79409000,-17745000,-103890000,-52521000,-180935000,-157090000,-12157000,-32912000,-14541000,-84912000,-44757000,-1924000,-135428000,-333008000,-319103000,-417531000,-459977000,-146026000,-573557000,-2368610000,-1762619000,-696108000,-639153000
91,Common Stock Issued,167500000,300000,271000,165858000,9586000,3549000,2734000,1466000,875000,60083000,25408000,39459000,152286000,26331000,126003000,33754000,305526000,235741000,196325000,25680000,1042000,622000,291000,1557000,585000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-33073000,-6090000,-3280000,-48035000,-148540000,-54000,- -,- -,-11870000,-679000,-964000,-156197000,-2548000,-1990000,-702000,-465000,-958000,-2019000,-4782000,-2921000,- -,- -,- -
93,Dividends Paid,-8000000,-18300000,-27312000,-39771000,-58547000,-66425000,-63705000,-63806000,-63904000,-6376000,-68702000,-6171000,-5897000,-81257000,-84987000,-88498000,-84757000,-92028000,-107749000,-140697000,-219158000,-232079000,-248576000,-398982000,-423537000,-441431000,-461043000,-474089000
94,Other Financing Activites,117100000,31800000,74893000,245134000,377263000,68149000,42607000,98209000,115093000,336019000,280930000,-7535000,17026000,83199000,141923000,118534000,89952000,275510000,316436000,334276000,391818000,375792000,618755000,577900000,2389347000,1679771000,783007000,566844000
95,Cash Used/Provided by Financing Activities,210600000,2900000,33425000,104218000,110634000,-107209000,-42199000,-71301000,-48492000,60251000,80492000,13596000,130503000,1862000,97348000,18069000,152600000,281247000,70014000,-100546000,-244294000,-316600000,222425000,-397864000,-405136000,-524279000,-374144000,-546398000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,210600000,2900000,1007000,10752000,-7568000,6855000,2003000,-3903000,-1598000,-442000,338000,4931000,-8519000,11647000,-7766000,4393000,32123000,11375000,-48242000,80258000,-63932000,10906000,-4023000,-22786000,-37194000,18868000,-34926000,94983000
98,Cash at the End of Period,- -,- -,4053000,14805000,7237000,14092000,16095000,12192000,10594000,10152000,9133000,14064000,5545000,17192000,9426000,13819000,45942000,57317000,9075000,89333000,25401000,37559000,33536000,10750000,51673000,70541000,35615000,130598000
99,Cash at the Beginning of Period,3000000,5000000,3046000,4053000,14805000,7237000,14092000,16095000,12192000,10594000,8795000,9133000,14064000,5545000,17192000,9426000,13819000,45942000,57317000,9075000,89333000,26653000,37559000,33536000,88867000,51673000,70541000,35615000
100,Free Cash Flow,-198200000,- -,-49514000,-67788000,-123626000,-30962000,-14493000,54528000,14436000,-65532000,-102494000,-33257000,-124440000,-3528000,-76816000,-34184000,-189223000,-255274000,163745000,211153000,293925000,375235000,403647000,314623000,479577000,478323000,397008000,615332000
