,https://roic.ai/company/EZPW,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,600000,1200000,2700000,4500000,7400000,7600000,7600000,7600000,9400000,10255000,10808000,10087000,8775000,7512000,8104000,8610000,9812000,12354000,12746000,14661000,18344000,25268000,34918000,38627000,37034000,28651000,23661000,25484000,28797000,76476000,79152000
15,EBITDA,2300000,5800000,11900000,7400000,-16500000,13100000,20700000,22400000,18100000,-26104000,10098000,13585000,7967000,21993000,31154000,54114000,69739000,90425000,119483000,167576000,208745000,242477000,113736000,36525000,-33908000,-26255000,94528000,110526000,66381000,28853000,117391000
16,EBITDA ratio,0.0966,0.1133,0.1096,0.0441,-0.0939,0.0755,0.1148,0.1135,0.0780,-0.1322,0.0542,0.0690,0.0386,0.0965,0.1226,0.1713,0.1874,0.1977,0.2000,0.2286,0.2401,0.2443,0.1126,0.0369,-0.0430,-0.0359,0.1264,0.1359,0.0784,0.0351,0.1609
17,Operating Income,2100000,4000000,8800000,4300000,-20900000,7300000,14100000,16100000,12100000,-5747000,7681000,7991000,9093000,14273000,22231000,42985000,55537000,73680000,101478000,141886000,173963000,201440000,138991000,96617000,-8928000,29173000,53600000,68661000,47009000,-48384000,31169000
18,Operating Income ratio,0.0882,0.0781,0.0810,0.0256,-0.1190,0.0421,0.0782,0.0816,0.0522,-0.0291,0.0413,0.0406,0.0441,0.0627,0.0875,0.1361,0.1492,0.1611,0.1699,0.1936,0.2001,0.2030,0.1376,0.0977,-0.0113,0.0399,0.0717,0.0844,0.0555,-0.0588,0.0427
19,Total Other Income Expenses (Gains),-400000,600000,400000,-1400000,-3000000,-1800000,-1000000,-1300000,-3400000,-16268000,-8391000,-4493000,-1864000,208000,819000,2519000,4390000,4391000,3834000,9644000,14748000,20160000,-47681000,-23917000,-81915000,-28810000,-10361000,-11585000,-42835000,-21711000,-15107000
20,Income Before Tax,1700000,4600000,9200000,2900000,-23900000,5500000,13100000,14800000,8700000,-22015000,-710000,3498000,7229000,14481000,23050000,45504000,59927000,78071000,105312000,151530000,188711000,221600000,91310000,72700000,-90843000,363000,43239000,57076000,4174000,-70095000,16062000
21,Income Before Tax Ratio,0.0714,0.0898,0.0847,0.0173,-0.1360,0.0317,0.0727,0.0750,0.0375,-0.1115,-0.0038,0.0178,0.0350,0.0636,0.0907,0.1441,0.1610,0.1707,0.1763,0.2067,0.2171,0.2233,0.0904,0.0735,-0.1152,0.0005,0.0578,0.0702,0.0049,-0.0852,0.0220
22,Income Tax expense (Gain),600000,1700000,3100000,1100000,-8100000,2000000,4700000,5600000,3200000,-3785000,-142000,1294000,-1170000,5358000,8298000,16245000,22053000,25642000,36840000,54236000,66552000,71023000,29575000,20806000,-26695000,9361000,11206000,18149000,2406000,-1632000,7450000
23,Net Income,1100000,2900000,6100000,1800000,-15800000,3500000,8400000,9200000,5500000,-32574000,-568000,2204000,362000,9123000,14752000,29259000,37874000,52429000,68472000,97294000,122159000,143708000,34077000,-45740000,-86449000,-80744000,31858000,39059000,2541000,-68463000,8612000
24,Net Income ratio,0.0462,0.0566,0.0562,0.0107,-0.0899,0.0202,0.0466,0.0466,0.0237,-0.1650,-0.0031,0.0112,0.0018,0.0400,0.0580,0.0926,0.1018,0.1146,0.1146,0.1327,0.1405,0.1448,0.0337,-0.0463,-0.1097,-0.1105,0.0426,0.0480,0.0030,-0.0832,0.0118
25,EPS,0.02,0.04,0.06,0.02,-0.15,0.10,0.23,0.26,0.15,-0.90,-0.02,0.06,0.01,0.25,0.40,0.25,0.92,1.27,1.41,1.98,2.43,2.81,0.63,-0.87,-1.61,-0.15,0.62,0.73,0.05,-1.24,0.15
26,EPS Diluted,0.02,0.04,0.06,0.02,-0.15,0.10,0.23,0.26,0.15,-0.90,-0.02,0.06,0.01,0.23,0.36,0.23,0.88,1.21,1.41,1.96,2.43,2.81,0.63,-0.87,-1.61,-0.15,0.62,0.69,0.05,-1.24,0.15
27,Weighted Average Shares Outstanding,23900901,29054054,35963964,35948949,35996997,35964000,35985000,35997000,36012000,36051000,36312000,36429000,36543000,36768000,37302000,118296000,41034000,41396000,46932000,49226222,50198781,51225707,54239605,53584938,53696460,54427000,54260000,54456000,55341000,55313000,55744000
28,Weighted Average Shares Outstanding Diluted,23900901,29054054,35963964,35948949,35996997,35964000,106981982,36042000,36024000,36051000,36312000,36876000,37656000,39366000,40722000,126792000,43230000,43327000,48076000,49576000,50369000,51225707,54239605,54292000,54369000,54427000,54368000,57896000,55984000,55313000,55949000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876523/000095013400010776/0000950134-00-010776-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095013401509775/0000950134-01-509775-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876523/000095013407025379/0000950134-07-025379-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095013408022121/0000950134-08-022121-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095012309070576/0000950123-09-070576-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095012310108591/0000950123-10-108591-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095012311100270/0000950123-11-100270-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652312000023/0000876523-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652313000083/0000876523-13-000083-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652314000102/0000876523-14-000102-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652315000120/0000876523-15-000120-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652316000217/0000876523-16-000217-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652317000109/0000876523-17-000109-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652318000057/0000876523-18-000057-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652319000069/0000876523-19-000069-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652320000059/0000876523-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/876523/000087652321000068/0000876523-21-000068-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19400000,5000000,15400000,6300000,4600000,1400000,800000,1300000,2900000,3126000,2186000,1492000,2496000,2506000,4168000,29939000,22533000,27444000,44764000,25854000,23969000,48477000,36317000,56329000,59124000,65737000,164393000,286015000,157567000,304542000,253667000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,16700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19400000,5000000,15400000,6300000,4600000,1400000,800000,1300000,19600000,3126000,2186000,1492000,2496000,2506000,4168000,29939000,22533000,27444000,44764000,25854000,23969000,48477000,36317000,56329000,59124000,65737000,164393000,286015000,157567000,304542000,253667000
34,Net Receivables,9000000,23800000,9000000,9400000,11500000,10300000,13100000,14800000,100000,13674000,8841000,9663000,61638000,10153000,12771000,65396000,81661000,101221000,136019000,164181000,193159000,262128000,304207000,335515000,284381000,260885000,250106000,291913000,248931000,158894000,214560000
35,Inventory,7000000,19900000,38400000,61200000,41600000,35800000,39300000,44000000,58200000,35660000,34231000,32097000,29755000,9711000,30293000,35616000,37942000,43209000,64001000,71502000,90373000,109214000,145200000,139419000,124084000,140224000,154411000,166997000,179355000,95891000,110989000
36,Other Current Assets,800000,1500000,31000000,41900000,49500000,39800000,46700000,55600000,61200000,58117000,57987000,59890000,9889000,89327000,67030000,11057000,15110000,20042000,32597000,40635000,48736000,61580000,51354000,145098000,88292000,15297000,12047000,12221000,19907000,33923000,31645000
37,Total Current Assets,36200000,50200000,93800000,118800000,107200000,87300000,99900000,115700000,139100000,110577000,103245000,103142000,103778000,111697000,114262000,142008000,157246000,191916000,277381000,302172000,356237000,481399000,537078000,676361000,555881000,482143000,580957000,757146000,605760000,593250000,610861000
38,PP&E,5000000,12100000,21400000,33900000,36600000,34300000,32600000,43700000,60600000,61130000,44965000,32190000,25369000,25846000,26964000,29447000,33806000,40079000,51154000,62293000,78498000,108131000,116281000,105900000,75594000,58455000,57959000,73649000,67357000,240795000,254801000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16211000,24376000,100719000,117305000,173206000,374663000,428508000,346577000,327460000,253976000,254760000,297448000,300527000,257582000,285758000
40,Intangible Assets,3100000,10900000,21100000,17200000,13600000,13100000,12500000,13600000,13900000,12160000,11655000,11148000,- -,- -,- -,- -,- -,- -,- -,- -,19790000,45185000,61872000,64624000,50434000,30681000,32420000,54923000,68044000,58638000,62104000
41,Intangible Assets,3100000,10900000,21100000,17200000,13600000,13100000,12500000,13600000,13900000,12160000,11655000,11148000,- -,- -,- -,- -,16211000,24376000,100719000,117305000,192996000,419848000,490380000,411201000,377894000,284657000,287180000,352371000,368571000,316220000,347862000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,19000000,36000000,38000000,38851000,101386000,120319000,126066000,97085000,91098000,56182000,37128000,43319000,49500000,34516000,32458000,37724000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4391000,4946000,4012000,3749000,4765000,8139000,6311000,60000,- -,- -,8214000,13154000,24987000,35303000,16856000,7165000,1998000,8931000,9746000
44,Other Non-Current Assets,1600000,3700000,1000000,4100000,7200000,5700000,6100000,16900000,20500000,19926000,18695000,19490000,20152000,21833000,3210000,3654000,3158000,6210000,18101000,23196000,8400000,82563000,96252000,105757000,121692000,85558000,38092000,7089000,5500000,5369000,5917000
45,Total Non-Current Assets,9700000,26700000,43500000,55200000,57400000,53100000,51200000,74200000,95000000,93216000,75315000,62828000,49912000,52625000,51186000,55850000,93940000,116804000,215136000,304240000,400213000,736608000,808212000,727110000,656349000,501101000,443406000,489774000,477942000,603773000,656050000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45900000,76900000,137300000,174000000,164600000,140400000,151100000,189900000,234100000,203793000,178560000,165970000,153690000,164322000,165448000,197858000,251186000,308720000,492517000,606412000,756450000,1218007000,1345290000,1403471000,1212230000,983244000,1024363000,1246920000,1083702000,1197023000,1266911000
48,Accounts Payable,1100000,2600000,4000000,6300000,10000000,8200000,7700000,8900000,11000000,12011000,9666000,11581000,11101000,14947000,18988000,22579000,6163000,5680000,6544000,9135000,9949000,15172000,22014000,34950000,40439000,21953000,13064000,10500000,25946000,19114000,22462000
49,Short-Term Debt,- -,- -,- -,- -,- -,200000,- -,- -,- -,22087000,15947000,2936000,- -,- -,- -,- -,- -,- -,10000000,10000000,- -,21679000,30969000,11091000,74345000,- -,- -,190181000,214000,49955000,52263000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572000,3687000,11421000,12361000,- -,- -,- -,- -,6325000,2971000,10987000,9934000,10936000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6109000,6176000,14226000,13880000,14286000,14358000,13545000,13515000,14485000,15844000,13994000,12557000
52,Other Current Liabilities,1700000,3000000,5900000,5800000,2300000,2700000,2800000,2200000,2500000,3981000,2298000,2200000,1792000,3688000,2320000,1890000,26212000,26318000,32041000,44215000,48144000,56765000,75038000,64669000,78928000,59480000,45996000,44639000,49082000,49404000,67806000
53,Total Current Liabilities,2800000,5600000,9900000,12100000,12300000,11100000,10500000,11100000,13500000,38079000,27911000,16717000,12893000,18635000,21308000,24469000,32375000,31998000,48585000,69459000,64269000,107842000,141901000,124996000,208070000,94978000,72575000,259805000,91086000,132467000,155088000
54,Long-Term Debt,3000000,2100000,3500000,36800000,42900000,16200000,19100000,48100000,83100000,59025000,44245000,39309000,31000000,25000000,7000000,- -,- -,- -,25000000,15000000,17500000,198836000,215939000,356430000,306337000,283611000,284807000,226702000,238380000,251016000,425516000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102000,- -,17140000,11359000,6157000,10450000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1700000,3639000,1193000,1191000,- -,- -,- -,- -,- -,- -,- -,- -,8331000,7922000,- -,- -,- -,- -,- -,8817000,1985000,524000,3684000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,100000,100000,379000,3254000,4209000,4319000,3958000,3597000,3249000,2886000,3672000,3247000,2525000,- -,14898000,55784000,35498000,3235000,- -,7055000,6890000,7302000,163889000,10385000
58,Total Non-Current Liabilities,3000000,2100000,3500000,36800000,42900000,16300000,19100000,48200000,84900000,63043000,48692000,44709000,35319000,28958000,10597000,3249000,2886000,3672000,28247000,17525000,27933000,221656000,288863000,403287000,315729000,294061000,291862000,242409000,247667000,415429000,439585000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1589000,924000,418000,- -,- -,- -,- -,- -,202782000,213593000
61,Total Liabilities,5800000,7700000,13400000,48900000,55200000,27400000,29600000,59300000,98400000,101122000,76603000,61426000,48212000,47593000,31905000,27718000,35261000,35670000,76832000,86984000,92202000,329498000,430764000,528283000,523799000,389039000,364437000,502214000,338753000,547896000,594673000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,121000,121000,122000,122000,124000,127000,405000,413000,416000,487000,493000,501000,512000,543000,536000,12233000,541000,544000,546000,556000,551000,560000
64,Retained Earnings,800000,3700000,9900000,11600000,-4200000,-700000,7800000,16800000,21700000,-11159000,-11727000,-9523000,-9161000,-38000,14714000,43973000,81847000,134170000,202642000,299936000,422095000,565803000,599880000,547177000,423137000,319808000,351666000,392180000,389163000,318169000,326781000
65,Other Comprehensive Income/Loss,-500000,-1300000,-1300000,-1300000,-10700000,-16200000,-22800000,-29500000,-37600000,-47122000,-49128000,-57157000,-1028000,-5000,518000,1225000,2602000,2581000,-4620000,-6375000,-746000,-113000,-6674000,-12191000,-54019000,-44089000,-38367000,-42616000,-52398000,-68068000,-58415000
66,Other Total Stockholders Equity,39800000,66800000,115300000,114800000,124300000,129900000,136500000,143300000,151500000,160831000,162691000,171102000,115545000,116648000,118184000,124537000,131063000,135883000,217176000,225374000,242398000,268626000,320777000,339666000,307080000,318723000,348532000,397927000,407628000,398475000,- -
67,Total Stockholders Equity,40100000,69200000,123900000,125100000,109400000,113000000,121500000,130600000,135700000,102671000,101957000,104544000,105478000,116729000,133543000,170140000,215925000,273050000,415685000,519428000,664248000,834828000,914526000,875188000,688431000,594983000,662375000,748037000,744949000,649127000,672238000
68,Total Liabilities And Stockholders Equity,45900000,76900000,137300000,174000000,164600000,140400000,151100000,189900000,234100000,203793000,178560000,165970000,153690000,164322000,165448000,197858000,251186000,308720000,492517000,606412000,756450000,1164326000,1345290000,1403471000,1212230000,984022000,1026812000,1250251000,1083702000,1197023000,1266911000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53681000,- -,- -,- -,-778000,-2449000,-3331000,- -,- -,- -
70,Total Liabilities & Equity,45900000,76900000,137300000,174000000,164600000,140400000,151100000,189900000,234100000,203793000,178560000,165970000,153690000,164322000,165448000,197858000,251186000,308720000,492517000,606412000,756450000,1218007000,1345290000,1403471000,1212230000,983244000,1024363000,1246920000,1083702000,1197023000,1266911000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876523/000095013400010776/0000950134-00-010776-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095013401509775/0000950134-01-509775-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876523/000095013407025379/0000950134-07-025379-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095013408022121/0000950134-08-022121-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095012309070576/0000950123-09-070576-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095012310108591/0000950123-10-108591-index.html,https://www.sec.gov/Archives/edgar/data/876523/000095012311100270/0000950123-11-100270-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652312000023/0000876523-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652313000083/0000876523-13-000083-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652314000102/0000876523-14-000102-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652315000120/0000876523-15-000120-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652316000217/0000876523-16-000217-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652317000109/0000876523-17-000109-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652318000057/0000876523-18-000057-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652319000069/0000876523-19-000069-index.html,https://www.sec.gov/Archives/edgar/data/876523/000087652320000059/0000876523-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/876523/000087652321000068/0000876523-21-000068-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,2900000,6100000,1800000,-15800000,3500000,8400000,9200000,5500000,-32574000,-568000,2204000,362000,9123000,14752000,29259000,37874000,52429000,68472000,97294000,122159000,143708000,34077000,-45740000,-86449000,-80744000,31858000,39059000,2541000,-68463000,8612000
74,Depreciation and Amortization,600000,1200000,2700000,4500000,7400000,7600000,7600000,7600000,9400000,10255000,10808000,10087000,8775000,7512000,8104000,8610000,9812000,12354000,12746000,14661000,18344000,25268000,34918000,38627000,37034000,28651000,23661000,25484000,28797000,76476000,79152000
75,Deferred Income Tax,400000,900000,2300000,-3800000,-100000,1200000,- -,- -,1700000,1517000,-223000,993000,-7327000,-2103000,111000,3724000,-2636000,-5291000,2493000,-1287000,13647000,2761000,-14854000,-11973000,-39407000,2674000,6046000,7978000,1616000,-8393000,3283000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3701000,4512000,13208000,6714000,7314000,7341000,2374000,5346000,5866000,10784000,9751000,-5094000,3946000
77,Change in Working Capital,3200000,11200000,39300000,22800000,-11800000,-18700000,13200000,15200000,21000000,-53102000,2836000,11091000,4460000,2177000,-108000,24585000,7332000,35047000,68878000,3917000,59255000,81589000,21620000,156188000,-203554000,39354000,121217000,-11041000,17333000,-53891000,-50361000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7143000,-2967000,-9987000,7677000,-224000,-3153000,-732000,11021000,-7332000
79,Inventory,4100000,4700000,15600000,23000000,21500000,5700000,-3400000,-4300000,-14100000,7512000,1429000,2134000,2342000,83000,193000,-772000,-411000,-874000,-783000,-2144000,-5422000,-4017000,-9722000,-898000,433000,-3735000,721000,-1074000,-493000,17043000,371000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17819000,- -,- -,- -,- -,-54209000
81,Other Working Capital,33400000,44600000,83900000,106700000,94900000,76200000,89400000,104600000,125600000,72498000,75334000,86425000,90885000,93062000,92954000,117539000,124871000,159918000,228796000,232713000,291968000,373557000,395177000,551365000,347811000,387165000,508382000,497341000,514674000,460783000,3436000
82,Other Non-Cash Items,- -,-8000000,-27000000,4300000,28500000,28500000,-18800000,-21200000,-37000000,84842000,-1186000,-8733000,6994000,10516000,8865000,-22940000,1027000,-32195000,-75673000,5628000,-78172000,-109592000,43398000,-55199000,369400000,69122000,-136812000,16460000,43479000,108443000,1806000
83,Cash Provided by Operating Activities,5300000,8200000,23400000,29600000,8200000,22100000,10400000,10800000,600000,10938000,11667000,15642000,13264000,27225000,31724000,43238000,53409000,62344000,80617000,124725000,148441000,150448000,126473000,89244000,79398000,64403000,51836000,88724000,103517000,49078000,46438000
84,CAPEX,-2100000,-7700000,-10900000,-15100000,-10800000,-5800000,-5500000,-22400000,-27600000,-18534000,-4456000,-2042000,-2491000,-7963000,-9227000,-11052000,-13742000,-18159000,-19264000,-25741000,-34776000,-45796000,-46698000,-22964000,-24286000,-9550000,-18853000,-40474000,-38839000,-28526000,-23601000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2194000,-23201000,-15467000,-40922000,-21837000,-67919000,-128647000,-25828000,-13226000,-19942000,29277000,-2250000,-107201000,-8116000,- -,-19015000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,- -,-1217000,- -,- -,- -,- -,- -,-13408000,-15000,-446023000,-604767000,-652403000,-802896000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430490000,510056000,405594000,520193000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-11400000,-40200000,-52000000,-56400000,-5000000,7100000,-8200000,-16800000,-4000000,10134000,13986000,3653000,1476000,-13294000,-3744000,-2655000,-12559000,-24761000,2696000,5188000,212936000,245941000,-87858000,1352000,-23465000,-13011000,13848000,13469000,-19713000,109898000,-65596000
89,Cash Used for Investing Activites,-13500000,-47900000,-62900000,-71500000,-15800000,1300000,-13700000,-39200000,-33400000,-8400000,8313000,1611000,-1015000,-21257000,-12971000,-15901000,-62910000,-58402000,-73023000,-137101000,-136568000,-211205000,-160384000,-34838000,-67693000,6716000,-7255000,-134206000,-27829000,109898000,-84611000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36564000,-10000000,-172004000,-703573000,-460275000,-607553000,-72369000,-112123000,-85388000,-3510000,-196093000,-198000,-15414000
91,Common Stock Issued,29400000,26200000,48600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,909000,4350000,1462000,417000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-442000,- -,- -,- -,- -,-11903000,- -,-11750000,- -,- -,- -,-5158000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-200000,-600000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2000000,-1000000,1300000,32800000,6000000,-26700000,2700000,29000000,35000000,-2011000,-20920000,-17947000,-11245000,-5958000,-18000000,-5916000,633000,552000,46732000,3466000,158246000,787748000,482488000,585594000,74771000,60717000,138739000,171098000,-2224000,-897000,-839000
95,Cash Used/Provided by Financing Activities,27400000,25200000,49900000,32800000,6000000,-26700000,2700000,28800000,34400000,-2311000,-20920000,-17947000,-11245000,-5958000,-17091000,-1566000,2095000,969000,9726000,-6534000,-13758000,84175000,22213000,-33862000,2402000,-63156000,53351000,167588000,-198317000,-6253000,-16253000
