,https://roic.ai/company/SPOK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289945/000095013306002698/w19084e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013307001118/w31807e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013308001051/w50371e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013309000579/0000950133-09-000579-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000095012310017098/0000950123-10-017098-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000095012311017983/w81615e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000119312512075633/0001193125-12-075633-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000119312513154951/d442363d10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994514000012/usmo-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994515000007/spok-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994516000062/0001289945-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994517000006/0001289945-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994518000010/0001289945-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994519000011/0001289945-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994520000017/0001289945-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994521000007/0001289945-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994522000009/0001289945-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,46995000,37547000,66507000,64542000,75032000,109591000,129220000,53655000,61046000,89075000,107869000,111332000,125816000,107157000,83343000,47361000,48729000,44583000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3963000,29899000,29995000,14999000
33,Cash and Short-Term Investments,- -,- -,- -,- -,46995000,37547000,66507000,64542000,75032000,109591000,129220000,53655000,61046000,89075000,107869000,111332000,125816000,107157000,87306000,77260000,78724000,59582000
34,Net Receivables,- -,- -,- -,- -,37750000,38177000,26364000,29799000,26384000,24168000,18423000,35342000,23148000,18990000,25875000,22927000,23666000,32279000,32386000,30174000,29934000,26908000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2268000,3257000,2221000,2673000,2291000,1996000,1672000,1708000,1004000,- -,- -
36,Other Current Assets,211443000,244453000,115231000,110567000,37157000,29555000,30693000,15120000,10985000,4084000,6713000,12955000,8458000,9882000,8538000,5063000,4384000,5752000,9578000,9227000,10227000,7563000
37,Total Current Assets,211443000,244453000,115231000,110567000,121902000,105279000,123564000,109461000,112401000,137843000,154356000,104220000,95909000,120168000,144955000,141613000,155862000,146860000,130978000,117665000,118885000,94053000
38,PP&E,- -,- -,- -,- -,216508000,127802000,91562000,75669000,57867000,41295000,27135000,22421000,20809000,21122000,17395000,15386000,12818000,13399000,10354000,24317000,21831000,22567000
39,Goodwill,- -,- -,- -,- -,- -,149478000,159438000,188170000,- -,- -,- -,130968000,133031000,133031000,133031000,133031000,133031000,133031000,133031000,124182000,99175000,99175000
40,Intangible Assets,- -,- -,- -,- -,218920000,40654000,26339000,16929000,6520000,226000,511000,38757000,30333000,25368000,19698000,14964000,10803000,7917000,5417000,2917000,10596000,- -
41,Intangible Assets,- -,- -,- -,- -,218920000,190132000,185777000,205099000,6520000,226000,511000,169725000,163364000,158399000,152729000,147995000,143834000,140948000,138448000,127099000,109771000,99175000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,233714000,207150000,180244000,86219000,59599000,32123000,47390000,51600000,41239000,25494000,21949000,83983000,73068000,47679000,46484000,48983000,25826000,31653000
44,Other Non-Current Assets,2098166000,407180000,327403000,384928000,2267000,3430000,7067000,7634000,4973000,2061000,1266000,2094000,1306000,1715000,862000,1445000,2505000,1675000,1448000,1808000,978000,706000
45,Total Non-Current Assets,2098166000,407180000,327403000,384928000,671409000,528514000,464650000,374621000,128959000,75705000,76302000,245840000,226718000,206730000,192935000,248809000,232225000,203701000,196734000,202207000,158406000,154101000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2309609000,651633000,442634000,495495000,793311000,633793000,588214000,484082000,241360000,213548000,230658000,350060000,322627000,326898000,337890000,390422000,388087000,350561000,327712000,319872000,277291000,248154000
48,Accounts Payable,- -,- -,- -,- -,6011000,3632000,3634000,3243000,908000,3394000,3284000,1793000,2205000,1726000,2784000,2121000,1909000,1305000,2010000,3615000,6685000,5292000
49,Short-Term Debt,- -,- -,- -,- -,- -,13000,- -,- -,- -,- -,718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5405000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,23623000,17924000,16194000,12059000,9958000,8310000,6986000,16499000,29986000,23023000,24034000,27045000,29145000,31414000,26285000,25944000,27686000,25608000
52,Other Current Liabilities,- -,- -,- -,- -,122285000,65191000,63030000,51860000,41278000,31820000,23493000,38274000,28535000,22078000,22945000,17990000,25273000,18175000,16653000,21624000,23069000,18693000
53,Total Current Liabilities,- -,- -,- -,- -,151919000,86760000,82858000,67162000,52144000,43524000,34481000,56566000,60726000,46827000,49763000,47156000,56327000,50894000,44948000,51183000,57440000,54998000
54,Long-Term Debt,1679219000,- -,162185000,- -,47500000,- -,- -,- -,- -,- -,- -,28250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11883000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,581000,693000,862000,937000,741000,752000,1063000,476000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,10555000,14040000,29384000,43352000,48478000,11228000,11787000,12223000,9789000,9259000,8131000,8972000,8921000,8075000,7734000,18595000,19238000,7582000
58,Total Non-Current Liabilities,1679219000,- -,162185000,- -,58055000,14040000,29384000,43352000,48478000,11228000,11787000,41054000,10482000,10121000,9068000,9713000,9673000,9138000,8210000,18595000,19238000,19465000
59,Other Liabilities,4083092000,2308544000,490595000,169231000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000,355000,596000,546000,- -,- -,- -,17012000,14720000,17288000
61,Total Liabilities,2403873000,2308544000,328410000,169231000,209974000,100800000,112242000,110514000,100622000,54752000,46268000,97620000,71208000,56948000,58831000,56869000,66000000,60032000,53158000,69778000,76678000,74463000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
64,Retained Earnings,- -,- -,- -,- -,28388000,11692000,- -,- -,- -,21416000,54692000,120826000,126205000,142684000,152379000,223116000,217275000,191796000,185294000,164819000,110283000,77986000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-267387000,-265845000,-199027000,-165082000,-148300000,-141521000,-124057000,-109867000,-107027000,-107097000,-108231000,-108917000,-110315000,-1000000,-1000000,-2000000,-95655000,-1588000
66,Other Total Stockholders Equity,- -,- -,114224000,326264000,822333000,787143000,674996000,538647000,289036000,278899000,253753000,241479000,232239000,234361000,234909000,219352000,215125000,99731000,90258000,87273000,185983000,97291000
67,Total Stockholders Equity,-94264000,-1656911000,114224000,326264000,583337000,532993000,475972000,373568000,140738000,158796000,184390000,252440000,251419000,269950000,279059000,333553000,322087000,290529000,274554000,250094000,200613000,173691000
68,Total Liabilities And Stockholders Equity,2309609000,651633000,442634000,495495000,793311000,633793000,588214000,484082000,241360000,213548000,230658000,350060000,322627000,326898000,337890000,390422000,388087000,350561000,327712000,319872000,277291000,248154000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2309609000,651633000,442634000,495495000,793311000,633793000,588214000,484082000,241360000,213548000,230658000,350060000,322627000,326898000,337890000,390422000,388087000,350561000,327712000,319872000,277291000,248154000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289945/000095013306002698/w19084e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013307001118/w31807e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013308001051/w50371e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013309000579/0000950133-09-000579-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000095012310017098/0000950123-10-017098-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000095012311017983/w81615e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000119312512075633/0001193125-12-075633-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000119312513154951/d442363d10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994514000012/usmo-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994515000007/spok-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994516000062/0001289945-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994517000006/0001289945-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994518000010/0001289945-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994519000011/0001289945-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994520000017/0001289945-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994521000007/0001289945-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994522000009/0001289945-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13481000,12907000,40181000,-5198000,-157077000,67558000,77898000,88639000,26984000,27530000,20745000,84235000,13979000,-15306000,-1479000,-10765000,-44225000,-22180000
74,Depreciation and Amortization,- -,- -,- -,- -,114367000,132042000,76027000,50100000,48271000,- -,24127000,19334000,18232000,15167000,16677000,13970000,12963000,11624000,10769000,9249000,9056000,10446000
75,Deferred Income Tax,- -,- -,- -,- -,9278000,7461000,16197000,91995000,36831000,32433000,-18115000,-25067000,17560000,15802000,4430000,-59693000,6656000,24583000,-1895000,-3253000,438000,-5483000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1224000,3045000,3838000,1868000,854000,3688000,4954000,3643000,5508000,7239000
77,Change in Working Capital,- -,- -,- -,- -,-40027000,48536000,22187000,1593000,17958000,34062000,25556000,-72221000,-12471000,38158000,21851000,-735000,5078000,-3569000,-9936000,-19548000,-5037000,1121000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1553000,1216000,-417000,-3008000,1542000,-8013000,1041000,-1790000,-9648000,-915000,964000,-1588000,1833000
79,Inventory,- -,- -,- -,- -,3601000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2375000,-6855000,1192000,-7381000,1083000,-3267000,-1553000,-643000,4027000,-679000
81,Other Working Capital,- -,- -,- -,- -,-30017000,18519000,40706000,42299000,60257000,94319000,119875000,47654000,35183000,73341000,95192000,94457000,99535000,95966000,86030000,66482000,61445000,-3390000
82,Other Non-Cash Items,- -,- -,- -,- -,17166000,-61692000,-7350000,-24205000,160057000,-32193000,-28047000,71751000,21348000,-49246000,-25982000,-1633000,-2069000,-5464000,7902000,32367000,60423000,16825000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,114265000,139254000,147242000,114285000,106040000,101860000,81419000,82436000,72877000,50456000,41559000,38012000,37461000,15556000,10315000,11693000,26163000,7968000
84,CAPEX,- -,- -,- -,- -,-19232000,-13499000,-20990000,-18323000,-18336000,-17229000,-8738000,-7952000,-9989000,-10408000,-7679000,-6374000,-6254000,-9214000,-5915000,-4837000,-14707000,-15235000
85,Acquisitions Net,- -,- -,- -,- -,-117759000,- -,- -,- -,- -,- -,- -,-134250000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3911000,-59385000,-59864000,-44990000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,34000000,60000000,60000000
88,Other Investing Activites,- -,- -,- -,- -,3269000,168000,1625000,323000,179000,168000,75000,7555000,330000,293000,65000,809000,- -,- -,- -,- -,-11252000,-10842000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-133722000,-13046000,-19365000,-18000000,-18157000,-17061000,-8663000,-134647000,-12659000,-10115000,-7614000,-5565000,-6254000,-9214000,-5826000,-30222000,-14571000,-225000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23697000,-28250000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256000,247000,- -,301000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3113000,- -,- -,- -,-38332000,-4738000,-8893000,- -,-8065000,- -,-4325000,-15008000,-6436000,-10023000,-14459000,-7592000,-903000,-1860000
93,Dividends Paid,- -,- -,- -,- -,- -,-40691000,-98904000,-98250000,-39061000,-45502000,-44234000,-22121000,-16512000,-12312000,-10826000,-13976000,-10287000,-15234000,-10064000,-9819000,-9771000,-10025000
94,Other Financing Activites,- -,- -,- -,- -,34983000,-94965000,-13000,- -,- -,- -,- -,22464000,- -,- -,- -,- -,- -,- -,- -,258000,- -,132000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,31870000,-135656000,-98917000,-98250000,-77393000,-50240000,-53127000,-23354000,-52827000,-12312000,-15151000,-28984000,-16723000,-25001000,-24276000,-17153000,-10373000,-11753000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49000,-300000,149000,-136000
97,Net Change In Cash,- -,- -,- -,- -,12413000,-9448000,28960000,-1965000,10490000,34559000,19629000,-75565000,7391000,28029000,18794000,3463000,14484000,-18659000,-19836000,-35982000,1368000,-4146000
98,Cash at the End of Period,- -,- -,- -,- -,46995000,37547000,66507000,64542000,75032000,109591000,129220000,53655000,61046000,89075000,107869000,111332000,125816000,107157000,83343000,47361000,48729000,44583000
99,Cash at the Beginning of Period,- -,- -,- -,- -,34582000,46995000,37547000,66507000,64542000,75032000,109591000,129220000,53655000,61046000,89075000,107869000,111332000,125816000,103179000,83343000,47361000,48729000
100,Free Cash Flow,- -,- -,- -,- -,95033000,125755000,126252000,95962000,87704000,84631000,72681000,74484000,62888000,40048000,33880000,31638000,31207000,6342000,4400000,6856000,11456000,-7267000
101,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1289945/000095013306002698/w19084e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013307001118/w31807e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013308001051/w50371e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000095013309000579/0000950133-09-000579-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000095012310017098/0000950123-10-017098-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000095012311017983/w81615e10vk.htm,https://www.sec.gov/Archives/edgar/data/1289945/000119312512075633/0001193125-12-075633-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000119312513154951/d442363d10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994514000012/usmo-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994515000007/spok-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994516000062/0001289945-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994517000006/0001289945-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994518000010/0001289945-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994519000011/0001289945-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994520000017/0001289945-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1289945/000128994521000007/0001289945-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1289945/000128994522000009/0001289945-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
