,https://roic.ai/company/PNR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.38,0.26,0.33,0.56,0.47,0.41,0.51,-0.12,0.55,1.26,1.81,1.73,2.11,2.46,2.33,1.15,0.67,2.61,2.84,1.68,1.80,1.81,2.10,2.31,1.17,1.99,0.34,-0.84,2.62,1.15,2.57,2.85,3.63,1.96,2.09,2.14,3.30
27,Weighted Average Shares Outstanding,51538462,56296296,57647059,59354839,64400000,63764706,63090909,63478261,71681416,36844000,37300000,37949000,37989000,38444000,43803000,48544000,49047000,49235000,48938000,99316000,100665000,99784000,98762000,97887000,97415000,98037000,98233000,127368000,201100000,190600000,180300000,181300000,181700000,175800000,169400000,166500000,165700000
28,Weighted Average Shares Outstanding Diluted,53600000,58461538,60307692,65714286,67789474,66913580,68712871,63478261,73636364,42080000,42380000,42752000,43067000,43149000,44287000,48645000,49297000,49744000,49810000,101706000,102618000,101371000,100205000,99068000,98522000,99294000,99753000,127368000,204600000,193700000,182600000,183100000,183700000,177300000,170400000,167400000,167600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77360/000007736095000006/0000077360-95-000006-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77360/000095012401001379/0000950124-01-001379-index.html,https://www.sec.gov/Archives/edgar/data/77360/000104596902000450/0001045969-02-000450-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000104596903000642/0001045969-03-000642-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312504035574/0001193125-04-035574-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312505047835/0001193125-05-047835-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013406003965/0000950134-06-003965-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013707002780/0000950137-07-002780-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013708002776/0000950137-08-002776-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013709001270/0000950137-09-001270-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095012310015693/0000950123-10-015693-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095012311016702/0000950123-11-016702-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312512070520/0001193125-12-070520-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312513077034/0001193125-13-077034-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736014000010/0000077360-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736015000007/0000077360-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736016000058/0000077360-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736017000008/0000077360-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736018000007/0000077360-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736019000006/0000077360-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736020000006/0000077360-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736021000005/0000077360-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736022000006/0000077360-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,36600000,23000000,34300000,32000000,66200000,34944000,39844000,39648000,47989000,31495000,48500000,54820000,70795000,39344000,33396000,46056000,50077000,261341000,265100000,110400000,126300000,238500000,113300000,74300000,82500000,82100000,94500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,36600000,23000000,34300000,32000000,66200000,34944000,39844000,39648000,47989000,31495000,48500000,54820000,70795000,39344000,33396000,46056000,50077000,261341000,265100000,110400000,126300000,238500000,113300000,74300000,82500000,82100000,94500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,255100000,362500000,299100000,369200000,396100000,587200000,468081000,398579000,403793000,420403000,396459000,423847000,422134000,472222000,461081000,455090000,516905000,569204000,1417095000,1435100000,1309400000,1282100000,871700000,953000000,524700000,543900000,417600000,583100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,243700000,212700000,256700000,266400000,278600000,425900000,392495000,300923000,293202000,285577000,323676000,349312000,398857000,407127000,417287000,360627000,405356000,449863000,1380271000,1243300000,1130400000,1174300000,524200000,581000000,387500000,377400000,420000000,562900000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,37700000,35400000,35500000,35500000,41900000,71200000,196282000,96257000,74165000,75482000,73507000,73365000,81817000,87877000,114467000,97185000,100980000,168691000,201661000,288600000,343900000,197900000,1037600000,101500000,52900000,58100000,55400000,63500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,569200000,647200000,614300000,705400000,748600000,1150500000,1091802000,835603000,810808000,829451000,825137000,895024000,957628000,1038021000,1032179000,946298000,1069297000,1237835000,3260368000,3232100000,2894100000,2780600000,2672000000,1748800000,1039400000,1061900000,975100000,1304000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384800000,394500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1088206000,- -,- -,- -,- -,1718771000,2021526000,2101851000,2088797000,2066044000,2273918000,4894512000,5134200000,4741900000,5255400000,4217400000,4351100000,2072700000,2258300000,2392200000,2504500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,282400000,298400000,429300000,474500000,1187500000,1141102000,- -,1218341000,1481667000,1878530000,1984740000,287011000,491403000,515508000,486407000,453570000,592285000,1909656000,1776100000,1608100000,2490100000,1631800000,1558400000,276300000,339200000,325900000,428000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,282400000,298400000,429300000,474500000,1187500000,1141102000,1088206000,1218341000,1481667000,1878530000,1984740000,2005782000,2512929000,2617359000,2575204000,2519614000,2866203000,6804168000,6910300000,6350000000,7745500000,5849200000,5909500000,2349000000,2597500000,2718100000,2932500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89040000,93600000,87900000,62800000,39000000,43000000,26200000,29600000,27400000,23100000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,541300000,322900000,376300000,338200000,331600000,465000000,411121000,448389000,485301000,469559000,416908000,373991000,401569000,449664000,403675000,389832000,384622000,482275000,1641735000,1507300000,1323200000,1268100000,2974600000,932400000,391900000,450500000,91800000,99500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,712300000,605300000,674700000,767500000,806100000,1652500000,1552223000,1536595000,1703642000,1951226000,2295438000,2358731000,2407351000,2962593000,3021034000,2965036000,2904236000,3348478000,8534943000,8511200000,7761100000,9076400000,8862800000,6884900000,2767100000,3077600000,3222100000,3449600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281500000,1252500000,1289000000,1472900000,1554700000,2803000000,2644025000,2372198000,2514450000,2780677000,3120575000,3253755000,3364979000,4000614000,4053213000,3911334000,3973533000,4586313000,11795311000,11743300000,10655200000,11857000000,11534800000,8633700000,3806500000,4139500000,4197200000,4753600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,90800000,98100000,152600000,156000000,262800000,250088000,179149000,171709000,170077000,195289000,207320000,206286000,231643000,217898000,207661000,262357000,294858000,569596000,596600000,583100000,578800000,436600000,495700000,378600000,325100000,245100000,385700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,139700000,32900000,34700000,52900000,177800000,132140000,8729000,61174000,73631000,11957000,4137000,22188000,18768000,624000,2286000,4951000,4862000,3096000,2500000,6700000,700000,800000,- -,- -,- -,22100000,25600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,32000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188275000,130500000,154100000,126600000,22500000,29900000,21300000,22500000,22500000,31200000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,163900000,166300000,170600000,204900000,185900000,320300000,266564000,240555000,243317000,253743000,319633000,313213000,292808000,310495000,279982000,236332000,279488000,342121000,776954000,880600000,895600000,780400000,1011300000,673800000,418800000,401400000,482800000,609200000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,285700000,396800000,301600000,392200000,394800000,760900000,648792000,428433000,476200000,497451000,526879000,524670000,521282000,560906000,498504000,446279000,546796000,641841000,1537921000,1610200000,1639500000,1486500000,1471200000,1199400000,818700000,749000000,772500000,1051700000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,408500000,219800000,279900000,294500000,288000000,857300000,781834000,714977000,673911000,732862000,724148000,748477000,721873000,1042223000,953468000,803351000,702521000,1304225000,2454278000,2552600000,2997400000,4709300000,4278400000,1440700000,787600000,1029100000,904700000,956700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73397000,- -,- -,- -,- -,- -,- -,21300000,22600000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,100000,- -,- -,400000,6800000,37133000,34128000,31728000,78532000,142873000,125785000,109781000,170033000,146559000,146630000,169198000,188957000,488102000,580600000,528300000,844200000,609500000,394800000,105900000,104400000,107400000,89800000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,132600000,133000000,143600000,155600000,162100000,184800000,165675000,179658000,226887000,210354000,278881000,299213000,342044000,316581000,434613000,388734000,349986000,403898000,758256000,782200000,826200000,808200000,921300000,561000000,258200000,281800000,283700000,233500000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,563800000,352900000,423500000,450100000,450500000,1048900000,984642000,928763000,932526000,1021748000,1145902000,1173475000,1173698000,1528837000,1534640000,1338715000,1221705000,1897080000,3774033000,3915400000,4351900000,6361700000,5809200000,2396500000,1151700000,1436600000,1318400000,1280000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,87200000,88200000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,849500000,749700000,725100000,842300000,845300000,1809800000,1633434000,1357196000,1408726000,1519199000,1672781000,1698145000,1694980000,2089743000,2033144000,1784994000,1768501000,2538921000,5311954000,5525600000,5991400000,7848200000,7280400000,3595900000,1970400000,2185600000,2090900000,2331700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,8119000,8193000,8204000,8250000,16828000,16867000,16629000,16537000,16379000,16442000,16401000,16437000,113454000,113500000,2000000,1800000,1800000,1800000,1700000,1700000,1700000,1700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,213700000,271200000,322800000,389400000,469100000,544200000,568084000,566626000,660108000,760966000,889063000,1020978000,1148126000,1296226000,1457676000,1502242000,1624605000,1579290000,1292288000,1829100000,2044000000,1791700000,2068100000,2481700000,169200000,401000000,631200000,1051400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-353400000,-185400000,-227100000,-234800000,-284700000,-336700000,-336650000,-379506000,-432349000,-480471000,-354227000,-1000000,17000000,122000000,-27000000,21000000,-22000000,-38000000,-12000000,-44000000,-380000000,-645000000,-736000000,-243000000,-229000000,-227000000,-207300000,-213900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,571700000,417000000,468200000,476000000,525000000,777600000,771038000,819689000,869761000,972733000,896130000,518765000,488244000,476108000,451626000,472404000,474147000,375602000,4973118000,4196700000,2997800000,2860300000,2920500000,2797300000,1894200000,1778200000,1680700000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,432000000,502800000,563900000,630600000,709400000,993200000,1010591000,1015002000,1105724000,1261478000,1447794000,1555610000,1669999000,1910871000,1898681000,2012088000,2093153000,1933329000,6366860000,6095300000,4663800000,4008800000,4254400000,5037800000,1836100000,1953900000,2106300000,2421900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281500000,1252500000,1289000000,1472900000,1554700000,2803000000,2644025000,2372198000,2514450000,2780677000,3120575000,3253755000,3364979000,4000614000,3931825000,3797082000,3861654000,4472250000,11678814000,11620900000,10655200000,11857000000,11534800000,8633700000,3806500000,4139500000,4197200000,4753600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121388000,114252000,111879000,114063000,116497000,122400000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281500000,1252500000,1289000000,1472900000,1554700000,2803000000,2644025000,2372198000,2514450000,2780677000,3120575000,3253755000,3364979000,4000614000,4053213000,3911334000,3973533000,4586313000,11795311000,11743300000,10655200000,11857000000,11534800000,8633700000,3806500000,4139500000,4197200000,4753600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/77360/000007736095000006/0000077360-95-000006-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77360/000095012401001379/0000950124-01-001379-index.html,https://www.sec.gov/Archives/edgar/data/77360/000104596902000450/0001045969-02-000450-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000104596903000642/0001045969-03-000642-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312504035574/0001193125-04-035574-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312505047835/0001193125-05-047835-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013406003965/0000950134-06-003965-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013707002780/0000950137-07-002780-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013708002776/0000950137-08-002776-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095013709001270/0000950137-09-001270-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095012310015693/0000950123-10-015693-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000095012311016702/0000950123-11-016702-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312512070520/0001193125-12-070520-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000119312513077034/0001193125-13-077034-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736014000010/0000077360-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736015000007/0000077360-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736016000058/0000077360-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736017000008/0000077360-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736018000007/0000077360-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736019000006/0000077360-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736020000006/0000077360-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736021000005/0000077360-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/77360/000007736022000006/0000077360-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,33000000,41100000,1200000,46600000,53600000,77200000,74500000,91600000,106800000,103300000,55887000,32869000,129902000,141352000,171225000,185049000,183731000,210927000,228734000,115493000,197828000,34222000,-107186000,536800000,214900000,-76400000,522200000,666500000,347400000,355700000,358600000,553000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,43800000,47200000,47900000,50100000,64100000,48900000,59500000,67800000,68400000,88600000,99028000,104349000,64702000,65643000,60909000,72560000,75096000,84549000,87281000,105480000,84179000,108132000,163792000,286100000,252700000,260900000,181000000,182900000,84600000,80000000,75100000,77500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1400000,-600000,3400000,9000000,5700000,500000,-11300000,5700000,-8800000,13118000,-5315000,11007000,33134000,16736000,5898000,-11085000,-16496000,40754000,30616000,29453000,-5583000,-146896000,55200000,2000000,3000000,-16100000,-159700000,-4100000,-18400000,4600000,-9000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17324000,21468000,19489000,35847000,31100000,33600000,33000000,34200000,39600000,20900000,21400000,20300000,29800000
