,https://roic.ai/company/RDY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1135951/000095012303010987/0000950123-03-010987-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012304011585/0000950123-04-011585-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012305009734/0000950123-05-009734-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012306012239/0000950123-06-012239-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012307012991/0000950123-07-012991-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012308007861/0000950123-08-007861-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012309020226/0000950123-09-020226-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012310088176/0000950123-10-088176-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012311066890/0000950123-11-066890-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312512305011/0001193125-12-305011-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312513286265/0001193125-13-286265-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312514251335/0001193125-14-251335-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312515225688/0001193125-15-225688-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312516630015/0001193125-16-630015-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312517207210/0001193125-17-207210-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000157587218000109/0001575872-18-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000157587219000144/0001575872-19-000144-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,739278410,4915629496,3522180472,2479522894,211266365,1633054152,9348943096,4678040000,-5168000000,1068000000,11040000000,14262000000,16777000000,21515000000,22179000000,20013000000,12039000000,9806000000,18795000000,19498000000,17238000000
74,Depreciation and Amortization,892600226,945255267,1014881625,1130889425,1309301242,1571161271,3017323862,6204840000,3814000000,4160000000,4148000000,5213000000,5549000000,7106000000,8100000000,10250000000,11277000000,11710000000,12190000000,12472000000,12796000000
75,Deferred Income Tax,19462047,-268290917,568720,-135141004,-95589515,-55298104,-1106233997,-2351120000,1172000000,985000000,1403000000,4204000000,4900000000,5094000000,5984000000,7127000000,2614000000,4535000000,3648000000,-1466000000,9175000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,131000000,226000000,265000000,326000000,390000000,436000000,498000000,471000000,398000000,454000000,389000000,521000000,584000000
77,Change in Working Capital,-1287288668,-1297746457,-677772584,168459878,113231435,-1878130357,-3059618757,-3259520000,-8267000000,-1547000000,-6738000000,-8960000000,-13146000000,-10389000000,-15040000000,-188000000,-5350000000,-8964000000,-5771000000,-7536000000,-8197000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-7348000000,900000000,-4579000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-298961246,-364672943,-439573507,-335835157,-514192113,-1856519092,-997710221,-3908720000,-1939000000,-1593000000,-3624000000,-4349000000,-3870000000,-3971000000,-5447000000,-2522000000,-6325000000,-3233000000,-8496000000,-1487000000,-9881000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-1081187098,-720395685,-1170040000,- -,- -,311000000,1360000000,-4781000000,-4406000000,1257000000,755000000,-3948000000,-6135000000,530000000,4821000000,-3258000000
82,Other Non-Cash Items,250818289,352832279,494312849,364164876,753406074,376615288,3632090314,850400000,12823000000,8334000000,-2109000000,1105000000,-1153000000,-4299000000,3312000000,3574000000,535000000,488000000,-547000000,6352000000,4107000000
83,Cash Provided by Operating Activities,614870304,4647679668,4354171082,4007896069,2291615601,1647402250,11832504518,6122640000,4505000000,13226000000,8009000000,16150000000,13317000000,19463000000,25033000000,41247000000,21513000000,18029000000,28704000000,29841000000,35703000000
84,CAPEX,-487203003,-1089146128,-1511374569,-2420867794,-1749170215,-1919748753,-4747612771,-6769600000,-4761000000,-4283000000,-11606000000,-8585000000,-7336000000,-10627000000,-15327000000,-14875000000,-40984000000,-11043000000,-7491000000,-6115000000,-12561000000
85,Acquisitions Net,- -,- -,-346682502,-9457701,-535676828,-27339854803,- -,- -,-3172000000,- -,-1169000000,- -,-1746000000,- -,-276000000,-7936000000,-103000000,- -,- -,- -,-15514000000
86,Purchases of Investments,-275169127,-2447947528,-2925024010,-13270716466,-10226462350,-5087291863,-490473895,-15859880000,-12393000000,-24111000000,-8960000000,-26309000000,-27878000000,-44811000000,-53466000000,-68249000000,-49651000000,-68429000000,-78573000000,-111918000000,-75418000000
87,Sales/Maturities of Investments,- -,2361067270,2931137754,9187028636,13079475302,5288521707,332656478,12477800000,16398000000,21102000000,12602000000,15733000000,21850000000,37721000000,45176000000,69270000000,71595000000,64038000000,76291000000,111704000000,79528000000
88,Other Investing Activites,75427070,-355219903,-97156409,-6160521,64716154,-5555298296,5499286805,551720000,202000000,140000000,-2065000000,-1232000000,500000000,551000000,-4999000000,-1491000000,-28034000000,-1201000000,1510000000,137000000,-1515000000
89,Cash Used for Investing Activites,-686945060,-1531246289,-1949099735,-6520173846,632882063,-34613672008,593856616,-9599960000,-3472000000,-6998000000,-8658000000,-18665000000,-13944000000,-16620000000,-22904000000,-20423000000,-18471000000,-14883000000,-7727000000,-4923000000,-22660000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3057000000,-4011000000,-14071000000,- -,-36000000,-5285000000,-3716000000,-11706000000,-5220000000,- -,- -,-23400000000,-4497000000
91,Common Stock Issued,- -,5776392127,- -,5466378,- -,73834777,10053353989,15240000,5000000,17000000,29000000,6000000,1000000,2000000,206000000,1000000,1000000,1000000,- -,4000000,269000000
92,Common Stock Repurchased,- -,- -,- -,-116225602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15694000000,- -,-535000000,-474000000,-1193000000
93,Dividends Paid,-133999450,-561042793,-190758314,-432537982,-431615698,-437483306,-438544923,-737280000,-738000000,-1233000000,-3063000000,-2216000000,-2714000000,-2985000000,-3587000000,-4106000000,-3390000000,-3992000000,-4002000000,-3916000000,-4147000000
94,Other Financing Activites,46653040,-3795151901,38199056,166377448,2362925641,27644952398,-7856957191,-6105560000,1263000000,-80000000,16728000000,5945000000,957000000,8051000000,2979000000,-1190000000,20611000000,-449000000,-16789000000,2627000000,9270000000
95,Cash Used/Provided by Financing Activities,-87346410,1420197433,-152559258,-376919758,1931309943,27281303870,1757851874,-6827600000,-2527000000,-5307000000,-377000000,3735000000,-1792000000,-217000000,-4118000000,-17001000000,-3692000000,-4440000000,-21326000000,-25159000000,-298000000
96,Effect of Forex Changes on Cash,81200500,88683158,-94739347,-14273320,55807857,95356923,118417066,-278240000,-114000000,246000000,141000000,499000000,94000000,771000000,-1068000000,-4296000000,-492000000,57000000,35000000,-25000000,113000000
97,Net Change In Cash,-78267226,4625313970,2157820136,-2903427470,4911615465,-5589653524,14302630075,-10583160000,-1608000000,1167000000,-885000000,1719000000,-2325000000,3397000000,-3057000000,-473000000,-1142000000,-1237000000,-314000000,-266000000,12858000000
98,Cash at the End of Period,477239180,5103764481,7252512624,4385726889,9287859779,3722217402,18024062414,7398280000,5378000000,6545000000,5660000000,7379000000,5054000000,8451000000,5394000000,4921000000,3779000000,2542000000,2228000000,1962000000,14820000000
99,Cash at the Beginning of Period,555506406,478450511,5094692488,7289154359,4376244314,9311870926,3721432340,17981440000,6986000000,5378000000,6545000000,5660000000,7379000000,5054000000,8451000000,5394000000,4921000000,3779000000,2542000000,2228000000,1962000000
100,Free Cash Flow,127667301,3558533540,2842796513,1587028275,542445387,-272346503,7084891747,-646960000,-256000000,8943000000,-3597000000,7565000000,5981000000,8836000000,9706000000,26372000000,-19471000000,6986000000,21213000000,23726000000,23142000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1135951/000095012303010987/0000950123-03-010987-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012304011585/0000950123-04-011585-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012305009734/0000950123-05-009734-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012306012239/0000950123-06-012239-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012307012991/0000950123-07-012991-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012308007861/0000950123-08-007861-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012309020226/0000950123-09-020226-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012310088176/0000950123-10-088176-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000095012311066890/0000950123-11-066890-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312512305011/0001193125-12-305011-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312513286265/0001193125-13-286265-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312514251335/0001193125-14-251335-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312515225688/0001193125-15-225688-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312516630015/0001193125-16-630015-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000119312517207210/0001193125-17-207210-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000157587218000109/0001575872-18-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1135951/000157587219000144/0001575872-19-000144-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
