,https://roic.ai/company/GILT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,400000,1000000,2000000,9600000,18400000,25700000,48800000,94900000,159813000,287069000,247200000,162905000,141581000,137198000,124245000,121366000,105247000,109369000,100532000,103490000,100926000,94727000,85369000,90893000,81963000,80837000,82246000,84403000,87795000,82051000,76869000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106082000,89691000,65760000,63870000,63870000,43468000,43468000,43468000,43468000,43468000,43468000,43468000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21049000,9617000,7564000,12254000,8887000,3860000,3421000,2988000,57453000,49927000,35991000,28830000,22970000,17154000,11383000,5709000,2434000,1523000,1082000,640000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21049000,9617000,7564000,12254000,8887000,3860000,3421000,2988000,163535000,139618000,101751000,92700000,86840000,60622000,54851000,49177000,45902000,44991000,44550000,44108000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,11000000,- -,- -,9912000,10572000,9722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4127000,18455000,19295000,17551000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,5800000,2000000,3000000,50400000,133000000,159660000,276326000,203157000,50824000,60119000,62189000,43615000,40758000,44781000,26357000,7100000,11121000,22244000,30635000,16413000,20425000,7945000,8227000,9446000,14202000,17111000,14504000,17263000
45,Total Non-Current Assets,- -,- -,- -,400000,1000000,2000000,15400000,20400000,28700000,99200000,227900000,319473000,563395000,450357000,234778000,211317000,206951000,188114000,182011000,153888000,139147000,120532000,288718000,272510000,227113000,194482000,198158000,150530000,143915000,140869000,148634000,168352000,160400000,155791000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2200000,7000000,34700000,41300000,92300000,112200000,212000000,410300000,678853000,1261023000,858623000,474214000,401956000,391448000,372977000,440214000,430102000,410639000,357228000,455378000,446678000,414643000,368768000,364908000,370833000,383198000,386820000,394747000,391836000,393806000,352991000
48,Accounts Payable,- -,- -,- -,500000,1000000,2300000,3300000,6900000,19800000,22400000,25100000,39488000,81957000,46927000,26507000,65215000,61293000,60852000,23965000,25954000,23317000,16838000,18267000,25477000,23240000,20900000,22850000,17210000,29625000,33715000,24636000,20725000,20487000,19776000
49,Short-Term Debt,- -,- -,- -,- -,100000,700000,300000,2100000,600000,2700000,23200000,6986000,14819000,29888000,10023000,15894000,26528000,31386000,7811000,11177000,10846000,5220000,4315000,22063000,11480000,4665000,20452000,11542000,4617000,4479000,4458000,6073000,5911000,1818000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39382000,17963000,10136000,14674000,1004000,1551000,22809000,35133000,19785000,96147000,45157000,18137000,29133000,27220000,28309000,25472000
52,Other Current Liabilities,- -,- -,- -,100000,3600000,800000,600000,300000,1400000,2700000,65400000,47599000,57957000,81879000,75379000,35040000,28011000,22418000,66411000,76003000,74387000,35684000,64266000,62373000,46328000,36281000,37075000,34875000,67275000,90578000,82121000,66937000,92647000,62541000
53,Total Current Liabilities,- -,- -,- -,600000,4700000,3800000,4200000,9300000,21800000,27800000,113700000,94073000,154733000,158694000,111909000,116149000,115832000,114656000,137569000,131097000,118686000,72416000,87852000,111464000,103857000,96979000,100162000,159774000,146674000,146909000,140348000,120955000,147354000,109607000
54,Long-Term Debt,- -,- -,- -,300000,200000,200000,100000,- -,- -,75000000,75000000,75000000,110578000,486073000,503788000,132069000,124353000,112078000,38651000,35019000,30318000,26226000,60156000,40353000,40747000,31251000,26271000,21493000,16932000,12582000,8098000,4000000,- -,2283000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3081000,- -,- -,5411000,76000,32000,15000,- -,- -,- -,2866000,2411000,1595000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,- -,- -,- -,- -,- -,2713000,- -,- -,- -,- -,986000,580000,25000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,200000,200000,400000,400000,600000,900000,1200000,9957000,378366000,25897000,27605000,74391000,83244000,60745000,51871000,36176000,31411000,23210000,43257000,34786000,19958000,14429000,13304000,11469000,9766000,8021000,6649000,10402000,10231000,7412000
58,Total Non-Current Liabilities,- -,- -,- -,300000,400000,400000,500000,400000,600000,75900000,76200000,84957000,488944000,511970000,531393000,206460000,207597000,172823000,90586000,71195000,61729000,52517000,103413000,75139000,68829000,45756000,39607000,32977000,26698000,21589000,15327000,17293000,12642000,11290000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5235000,4896000,4101000
61,Total Liabilities,- -,- -,- -,900000,5100000,4200000,4700000,9700000,22400000,103700000,189900000,179030000,643677000,670664000,643302000,322609000,323429000,287479000,228155000,202292000,180415000,124933000,191265000,186603000,172686000,142735000,139769000,192751000,173372000,168498000,155675000,138248000,159996000,120897000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527116000,69000,69000,70000,980000,984000,995000,1757000,1796000,1821000,1832000,1855000,1882000,1909000,1932000,1966000,2048000,2593000,2601000,2625000,2643000,2647000,2706000
64,Retained Earnings,- -,- -,- -,- -,- -,2700000,8800000,17300000,18100000,35000000,-46600000,-24736000,-5301000,-434413000,-782617000,-638986000,-648437000,-654237000,-643750000,-634969000,-636093000,-634215000,-603596000,-609446000,-632638000,-650535000,-652031000,-704365000,-709705000,-702959000,-683029000,-671355000,-691446000,-694126000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4000000,-3000000,-500000,-1200000,-2400000,-4900000,-7100000,-23400000,-38742000,-66482000,-99717000,-8165000,-3818000,-2624000,16000,702000,1776000,2106000,1341000,774000,541000,2864000,1591000,-1420000,-3727000,-3224000,-3046000,-5380000,-5048000,-6017000,-6357000
66,Other Total Stockholders Equity,- -,- -,- -,5300000,4900000,28300000,29000000,67700000,76600000,80400000,290400000,36185000,689060000,722020000,617797000,718225000,718096000,738724000,853350000,859207000,862390000,863337000,865080000,867098000,869822000,873045000,876624000,884126000,920162000,921726000,924856000,927348000,928626000,929871000
67,Total Stockholders Equity,- -,- -,- -,1300000,1900000,30500000,36600000,82600000,89800000,108300000,220400000,499823000,617346000,187959000,-172915000,76401000,68019000,85498000,212059000,227810000,230224000,232295000,264113000,260075000,241957000,226033000,225139000,178082000,209826000,218322000,239072000,253588000,233810000,232094000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2200000,7000000,34700000,41300000,92300000,112200000,212000000,410300000,678853000,1261023000,858623000,470387000,399010000,391448000,372977000,440214000,430102000,410639000,357228000,455378000,446678000,414643000,368768000,364908000,370833000,383198000,386820000,394747000,391836000,393806000,352991000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3827000,2946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,2200000,7000000,34700000,41300000,92300000,112200000,212000000,410300000,678853000,1261023000,858623000,474214000,401956000,391448000,372977000,440214000,430102000,410639000,357228000,455378000,446678000,414643000,368768000,364908000,370833000,383198000,386820000,394747000,391836000,393806000,352991000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897322/000117891304000313/d40573.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891305000366/zk51380.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897322/000117891310000951/zk1008132.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891311001094/zk1109735.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891312000953/zk1211171.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891313001060/zk1312910.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891314001148/zk1414680.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891315001135/zk1516527.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891316004773/zk1618214.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891317000958/zk1719725.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891318000901/zk1821325.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891319000837/zk1922794.htm,https://www.sec.gov/Archives/edgar/data/897322/000117891320000895/zk2024178.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-800000,-1100000,500000,4100000,6100000,8500000,5500000,16900000,-81600000,19611000,19435000,-429112000,-348204000,143631000,-9451000,-3716000,10487000,10090000,-1124000,1878000,30619000,-5850000,-23192000,-17897000,-1496000,-52334000,-5340000,6801000,18409000,36538000,34911000,-2680000
74,Depreciation and Amortization,- -,- -,30000,50000,120000,300000,700000,1200000,2100000,3100000,5100000,22652000,42431000,61753000,46230000,26293000,31674000,19116000,20728000,17715000,13132000,14509000,14794000,24121000,22582000,17559000,15951000,15072000,13108000,13140000,13149000,10978000,10291000,10991000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,-3575000,-1058000,-40000,4813000,1869000,-473000,-1131000,-891000,-265000,992000,-250000,-428000,-3657000,-2733000,7000,1000,4000,189000,-3672000,-14883000,-867000,1647000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692000,937000,1726000,2009000,2445000,2268000,2427000,1901000,908000,856000,1006000,2135000,1282000,1306000
77,Change in Working Capital,- -,- -,-420000,-410000,1130000,-8200000,-5600000,-10800000,-7800000,-27500000,-15900000,-84698000,-101848000,27499000,97644000,70849000,5300000,-9507000,3796000,-14697000,-36201000,-15011000,-9129000,-26653000,-8516000,8406000,-35018000,-10691000,2938000,-251000,2827000,-796000,-2880000,6962000
78,Accounts Receivable,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15979000,14294000,-1562000,646000,-9891000,-4228000,-2457000,4553000,-37586000,-19588000,2061000,-1323000,19332000,-10789000
79,Inventory,- -,- -,- -,- -,-1700000,-2500000,-4000000,-1600000,-3500000,-14500000,-1500000,13865000,-75318000,-9119000,24742000,26726000,-8848000,-5188000,-11846000,-207000,36000,8995000,-2946000,-4889000,4969000,-6502000,-445000,-2821000,2221000,-10763000,5743000,-8076000,-5050000,2449000
80,Accounts Payable,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3185000,-16764000,-185000,-1906000,-2176000,-1225000,2226000,-5133000,12454000,4087000,-8926000,-3884000,-157000,-712000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15571000,4297000,-16377000,6530000,-5559000,-21062000,2897000,-4448000,14068000,-9363000,-4580000,12979000,10955000,1112000,-1898000,-1122000
82,Other Non-Cash Items,- -,- -,30000,60000,70000,100000,300000,-500000,200000,-400000,82000000,-1571000,-80358000,177296000,197561000,-209067000,1129000,-1733000,3944000,10558000,4146000,-3511000,-24840000,15398000,31909000,8794000,1967000,31264000,-840000,65000,298000,810000,423000,677000
83,Cash Provided by Operating Activities,- -,- -,-1160000,-1400000,1820000,-3700000,1500000,-1600000,- -,-7900000,-10400000,-43741000,-123915000,-163622000,-6809000,36519000,30521000,3687000,37824000,22775000,-19620000,-206000,12920000,8597000,21571000,16397000,-16162000,-14787000,10778000,20800000,32017000,34782000,43160000,18903000
84,CAPEX,- -,- -,-50000,-370000,-710000,-1300000,-8300000,-10000000,-9500000,-25900000,-15800000,-91966000,-147907000,-59235000,-9739000,-14680000,-6163000,-3605000,-6519000,-9269000,-13799000,-4485000,-10153000,-8986000,-4735000,-4079000,-12630000,-3930000,-4307000,-3692000,-10759000,-7982000,-4716000,-8933000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51379000,- -,- -,- -,- -,137000,- -,- -,- -,-153883000,-1867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-4500000,-20900000,-3300000,- -,- -,- -,-20000000,- -,-12900000,- -,-2054000,-442000,-3301000,- -,-74014000,-145202000,-130961000,-35497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2159000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,500000,22400000,5600000,- -,- -,- -,- -,- -,36803000,- -,3600000,442000,- -,3300000,30315000,129696000,165212000,91586000,3034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,40000,10000,10000,- -,-5600000,-1800000,4100000,-54500000,-4800000,-62213000,-34150000,12143000,-5499000,-20966000,-301000,5616000,11394000,-868000,3798000,29423000,-2776000,-184000,4048000,-26845000,-14123000,16270000,-9262000,-283000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-10000,-360000,-700000,-5300000,-12400000,-9500000,-5400000,-80400000,-20600000,-174179000,-182057000,28190000,-15238000,-34100000,-6464000,-1290000,8312000,-53836000,-25507000,59189000,-108208000,-7965000,-598000,-30908000,-26753000,12340000,-13569000,-3975000,-10759000,-7982000,-4716000,-11092000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5362000,-4520000,-9248000,-2060000,-20774000,-16468000,-4867000,-11050000,-11752000,-4673000,-4470000,-4447000,-4096000,-4000000
91,Common Stock Issued,- -,- -,- -,- -,- -,24500000,- -,37500000,200000,1600000,2400000,260149000,7498000,47000,5000,36000,432000,1218000,43844000,4571000,- -,- -,39000,27000,- -,- -,- -,- -,35085000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,1690000,1600000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-324000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
