,https://roic.ai/company/IBKR,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,28000000,29000000,33000000,34000000,37000000,- -
42,Investments,- -,12038979000,15817802000,16857513000,11114661000,9343982000,7422417000,6615078000,3617879000,3285313000,1998427000,1987000000,2104000000,1950000000,1931000000,1755000000,544000000,8965000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,542074000,565467000,480824000,440000000,407000000,249000000,243000000,384000000,490000000,-7495000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4194620000,3883017000,2511074000,2467000000,2552000000,2242000000,2227000000,2235000000,1138000000,1470000000
46,Other Assets,- -,24292147000,32080518000,34542086000,28356635000,26605551000,28498768000,30404365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,24292147000,32080518000,34542086000,28356635000,26605551000,28498768000,30404365000,33199557000,37870700000,43385026000,48734000000,54673000000,61162000000,60547000000,71676000000,95679000000,109113000000
48,Accounts Payable,- -,2525996000,4707197000,9252456000,8560562000,10761284000,15316846000,17553881000,21524673000,26415446000,31891254000,37162000000,41811000000,47695000000,48146000000,56543000000,76180000000,86126000000
49,Short-Term Debt,- -,707296000,1296909000,1415725000,208117000,320803000,187380000,6538000,110420000,24635000,33791000,- -,74000000,15000000,17000000,16000000,118000000,27000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,625783000,621167000,515460000,717000000,530000000,492000000,510000000,401000000,387000000,787000000
53,Total Current Liabilities,- -,3233292000,6004106000,10668181000,8768679000,11082087000,15504226000,17560419000,22260876000,27061248000,32440505000,37879000000,42415000000,48202000000,48673000000,56960000000,76685000000,86940000000
54,Long-Term Debt,- -,164666000,300598000,460456000,443054000,205777000,294603000,101411000,1839274000,2563653000,3199106000,2894000000,4293000000,5760000000,4037000000,6319000000,9838000000,11769000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4286260000,3153673000,2560787000,2617000000,2145000000,767000000,681000000,457000000,153000000,182000000
58,Total Non-Current Liabilities,- -,164666000,300598000,460456000,443054000,205777000,294603000,101411000,6125534000,5717326000,5759893000,5511000000,6438000000,6527000000,4718000000,6776000000,9991000000,11951000000
59,Other Liabilities,- -,19049275000,23575093000,20760537000,15622949000,10852110000,9068658000,8259316000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,22117901000,29278601000,30968262000,23948574000,21728420000,24278281000,25718324000,28386410000,32778574000,38200398000,43390000000,48853000000,54729000000,53391000000,63736000000,86676000000,98891000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,433000,453000,478000,503000,557000,478000,548000,586000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,52269000,141207000,177409000,92504000,138701000,82072000,98868000,120670000,145000000,203000000,251000000,390000000,520000000,683000000,953000000
65,Other Comprehensive Income/Loss,- -,47275000,98568000,4000000,3907000,10914000,21137000,18487000,29754000,27028000,11982000,2000000,-2000000,9000000,-4000000,- -,26000000,4000000
66,Other Total Stockholders Equity,- -,- -,- -,3517122000,4262494000,4688330000,4106343000,4528296000,486194000,580820000,633086000,715000000,772000000,829000000,895000000,931000000,1241000000,- -
67,Total Stockholders Equity,- -,2174246000,2801917000,3573824000,4408061000,4877131000,4220487000,4686041000,598498000,707264000,766324000,863000000,974000000,1090000000,1282000000,1452000000,1951000000,2395000000
68,Total Liabilities And Stockholders Equity,- -,24292147000,32080518000,34542086000,28356635000,26605551000,28498768000,30404365000,28984908000,33485838000,38966722000,44253000000,49827000000,55819000000,54673000000,65188000000,88627000000,101286000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,4214649000,4384862000,4418304000,4481000000,4846000000,5343000000,5874000000,6488000000,7052000000,7827000000
70,Total Liabilities & Equity,- -,24292147000,32080518000,34542086000,28356635000,26605551000,28498768000,30404365000,33199557000,37870700000,43385026000,48734000000,54673000000,61162000000,60547000000,71676000000,95679000000,109113000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1381197/000110465908020387/0001104659-08-020387-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119709000003/0001381197-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746910001544/0001047469-10-001544-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746911001557/0001047469-11-001557-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746912001916/0001047469-12-001916-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746913002439/0001047469-13-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746914001697/0001047469-14-001697-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746915001520/0001047469-15-001520-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746916010549/0001047469-16-010549-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746917001069/0001047469-17-001069-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1381197/000114036119004097/0001140361-19-004097-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119720000006/0001381197-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119721000008/0001381197-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/0001381197-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,270443000,535520000,734169000,868532000,1121378000,490114000,280406000,687179000,40668000,37003000,44533000,49000000,84000000,76000000,169000000,161000000,195000000,308000000
74,Depreciation and Amortization,9049000,10913000,11630000,12068000,17897000,21074000,18702000,18700000,19269000,19244000,19679000,22000000,25000000,25000000,26000000,52000000,62000000,74000000
75,Deferred Income Tax,3677000,17068000,-587000,7079000,50099000,-22073000,5996000,25188000,17784000,11730000,18168000,15000000,27000000,147000000,21000000,24000000,9000000,23000000
76,Stock Based Compensation,- -,- -,- -,13264000,25921000,33192000,38296000,49186000,67092000,40272000,40621000,50000000,51000000,53000000,58000000,60000000,65000000,80000000
77,Change in Working Capital,-486116000,-628981000,-1013461000,-947088000,870986000,-390589000,1089375000,247809000,-49339000,-420666000,-133209000,70000000,-265000000,-802000000,1122000000,1404000000,6773000000,4063000000
78,Accounts Receivable,-135864000,-166753000,-410288000,-1066914000,295559000,-1618959000,-3736448000,-47007000,-2828058000,-3745632000,-3457976000,-144000000,-2365000000,-10414000000,2800000000,-4332000000,-8041000000,-15605000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,4117748000,4897442000,5476433000,5288000000,4647000000,5817000000,445000000,8255000000,19634000000,9754000000
81,Other Working Capital,-823041000,1353615000,-1416613000,-1421875000,5000400000,-2872633000,- -,- -,-2411924000,-1275330000,-1409364000,-5905000000,-2708000000,3785000000,-1910000000,-2229000000,-9997000000,12700000000
82,Other Non-Cash Items,23069000,-45039000,48948000,-43523000,6043000,18935000,260569000,57811000,462894000,453317000,427174000,519000000,622000000,643000000,960000000,965000000,964000000,1348000000
83,Cash Provided by Operating Activities,-179878000,-110519000,-219301000,-89668000,2092324000,150653000,1693344000,1085873000,558368000,140900000,416966000,725000000,544000000,142000000,2356000000,2666000000,8068000000,5896000000
84,CAPEX,-14045000,-12836000,-12349000,-26718000,-26695000,-18492000,-18108000,-13546000,-17997000,-16812000,-19428000,-30000000,-27000000,-28000000,-36000000,-74000000,-50000000,-77000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1687000,- -,-39268000,- -,- -,- -,- -,-193111000,-453161000,-263499000,-443154000,-16000000,-17000000,- -,-22000000,-19000000,-5000000,-116000000
87,Sales/Maturities of Investments,1000,- -,- -,- -,- -,- -,- -,66915000,417158000,236818000,515223000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5305000,3133000,1229000,-1188196000,6501000,-9008000,817000,2715000,1567000,11054000,1484000,11000000,38000000,2000000,1000000,4000000,5000000,5000000
89,Cash Used for Investing Activites,-18411000,-9703000,-50388000,-1214164000,-20194000,-27500000,-17291000,-137027000,-52433000,-32439000,54125000,-35000000,-6000000,-26000000,-57000000,-89000000,-50000000,-188000000
90,Debt Repayment,-270310000,-493170000,-526530000,-536888000,-2323076000,-746193000,-773599000,-771725000,-101411000,-85785000,- -,- -,- -,- -,- -,- -,-20000000,-1524000000
91,Common Stock Issued,- -,- -,- -,1177392000,- -,- -,- -,- -,- -,- -,- -,29000000,25000000,21000000,40000000,26000000,18000000,26000000
92,Common Stock Repurchased,- -,- -,- -,-1376000,-866000,- -,- -,- -,- -,- -,- -,-25000000,-26000000,-21000000,-45000000,-27000000,-17000000,-27000000
93,Dividends Paid,-80800000,-88500000,-164500000,-269658000,-222776000,- -,-75589000,-13472000,-66298000,-20207000,-22731000,-25000000,-26000000,-28000000,-29000000,-31000000,-32000000,-38000000
94,Other Financing Activites,431041000,955758000,1195058000,758124000,948565000,455743000,-325621000,234480000,-423265000,-142458000,-285246000,-274000000,-162000000,-346000000,-365000000,-387000000,-178000000,1040000000
95,Cash Used/Provided by Financing Activities,79931000,374088000,504028000,1127594000,-1598153000,-290450000,-1174809000,-550717000,-590974000,-248450000,-307977000,-295000000,-189000000,-374000000,-399000000,-419000000,-229000000,-523000000
96,Effect of Forex Changes on Cash,4402000,-14471000,26700000,28743000,-52256000,30360000,46415000,-56853000,4136000,-27369000,-107038000,-63000000,-25000000,65000000,-79000000,24000000,124000000,-97000000
97,Net Change In Cash,-113956000,239395000,261039000,-147495000,421721000,-136937000,547659000,341276000,-80903000,-167358000,56076000,332000000,324000000,-193000000,1821000000,2182000000,7913000000,5088000000
98,Cash at the End of Period,168837000,408232000,669271000,521776000,943497000,806560000,1354219000,1695495000,1614592000,1213241000,1269317000,1601000000,1925000000,1732000000,10100000000,12282000000,20195000000,25283000000
99,Cash at the Beginning of Period,282793000,168837000,408232000,669271000,521776000,943497000,806560000,1354219000,1695495000,1380599000,1213241000,1269000000,1601000000,1925000000,8279000000,10100000000,12282000000,20195000000
100,Free Cash Flow,-193923000,-123355000,-231650000,-116386000,2065629000,132161000,1675236000,1072327000,540371000,124088000,397538000,695000000,517000000,114000000,2320000000,2592000000,8018000000,5819000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381197/000110465908020387/0001104659-08-020387-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119709000003/0001381197-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746910001544/0001047469-10-001544-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746911001557/0001047469-11-001557-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746912001916/0001047469-12-001916-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746913002439/0001047469-13-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746914001697/0001047469-14-001697-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746915001520/0001047469-15-001520-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746916010549/0001047469-16-010549-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746917001069/0001047469-17-001069-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1381197/000114036119004097/0001140361-19-004097-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119720000006/0001381197-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119721000008/0001381197-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/0001381197-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,
