,https://roic.ai/company/DCO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,104700000,107100000,22000000,22700000,12800000,15000000,16300000,15000000,14400000,15200000,24000000,27600000,30300000,32900000,28600000,31554000,32761000,24397000,27944000,28857000,31057000,41867000,46191000,50548000,49615000,53678000,85790000,86639000,84849000,88565000,85921000,77625000,79435000,84007000,95964000,89808000,93579000
11,COGS and Expenses,415200000,463800000,72500000,68300000,62200000,67900000,67400000,61700000,58400000,56100000,80700000,102800000,131900000,140900000,123500000,143406000,199711000,195310000,203269000,210201000,229098000,298332000,337647000,372448000,401530000,381938000,560768000,692224000,699082000,690278000,651140000,522074000,534798000,590718000,664855000,581011000,596532000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1242000,2522000,1805000,- -,32798000,29918000,28077000,18709000,8274000,8261000,13024000,18290000,13653000,11187000
14,Depreciation and Amortization,5700000,6900000,4800000,7200000,3300000,3200000,3100000,3200000,3300000,3100000,4400000,4500000,5300000,5900000,6800000,8750000,11080000,8018000,7569000,7499000,7586000,9818000,10061000,9963000,13562000,13597000,21458000,29413000,30926000,29024000,26846000,22860000,22845000,25296000,28305000,28850000,28389000
15,EBITDA,-1700000,-12800000,8100000,-9100000,3900000,5000000,5700000,6400000,14700000,6300000,11300000,18800000,30000000,44800000,28600000,29267000,33905000,20105000,30713000,21964000,28706000,27906000,37316000,28254000,29844000,40065000,-30867000,84226000,68494000,83341000,-61035000,69247000,38715000,48591000,84358000,74484000,210060000
16,EBITDA ratio,-0.0041,-0.0281,0.1062,-0.1522,0.0569,0.0669,0.0766,0.0950,0.2279,0.1021,0.1239,0.1588,0.1907,0.2623,0.1958,0.1766,0.1508,0.0946,0.1360,0.0977,0.1150,0.0875,0.1016,0.0700,0.0693,0.0981,-0.0531,0.1127,0.0930,0.1123,-0.0916,0.1258,0.0694,0.0772,0.1170,0.1184,0.3255
17,Operating Income,1800000,-8600000,3800000,-8500000,6400000,6800000,7000000,5700000,6100000,5600000,10500000,15600000,25400000,29900000,22600000,22305000,25194000,17136000,22637000,14675000,20598000,20689000,29650000,18291000,16282000,26468000,-34127000,54813000,37568000,51767000,-75309000,28568000,15025000,23918000,56233000,45506000,48881000
18,Operating Income ratio,0.0043,-0.0189,0.0498,-0.1421,0.0933,0.0910,0.0941,0.0846,0.0946,0.0908,0.1151,0.1318,0.1615,0.1751,0.1547,0.1346,0.1120,0.0807,0.1002,0.0653,0.0825,0.0649,0.0807,0.0453,0.0378,0.0648,-0.0587,0.0734,0.0510,0.0698,-0.1131,0.0519,0.0269,0.0380,0.0780,0.0724,0.0757
19,Total Other Income Expenses (Gains),-8600000,-11100000,-500000,-900000,-5300000,-5000000,-3900000,-3100000,-2700000,-2400000,-3600000,-1300000,-700000,9000000,-800000,-1788000,-2369000,-1632000,507000,-210000,522000,-2601000,-2395000,-1242000,-2522000,-1805000,-18198000,-32798000,-29918000,-25527000,-31281000,9545000,-7416000,-13647000,-18470000,-13525000,121603000
20,Income Before Tax,-6800000,-19700000,3300000,- -,1100000,1800000,3100000,2600000,3400000,3200000,6900000,14300000,24700000,38900000,21800000,20517000,22825000,15504000,23144000,14465000,21120000,18088000,27255000,17049000,13760000,24663000,-52325000,22015000,7650000,26240000,-106590000,38113000,7609000,10271000,37763000,31981000,170484000
21,Income Before Tax Ratio,-0.0163,-0.0433,0.0433,- -,0.0160,0.0241,0.0417,0.0386,0.0527,0.0519,0.0757,0.1208,0.1570,0.2278,0.1492,0.1238,0.1015,0.0730,0.1024,0.0643,0.0846,0.0567,0.0742,0.0422,0.0319,0.0604,-0.0901,0.0295,0.0104,0.0354,-0.1600,0.0692,0.0136,0.0163,0.0524,0.0508,0.2641
22,Income Tax expense (Gain),-3500000,-500000,1800000,- -,300000,100000,500000,200000,1200000,1000000,1900000,4000000,10400000,15200000,8400000,7797000,8222000,5582000,6943000,3293000,5127000,3791000,7634000,3937000,3577000,4855000,-4742000,5578000,-1693000,6373000,-33308000,12852000,-12468000,1236000,5302000,2807000,34948000
23,Net Income,-3900000,-19200000,1500000,-16300000,300000,1700000,2100000,3000000,10200000,2200000,5000000,10300000,14300000,23700000,13400000,12720000,14603000,6505000,16201000,11172000,15993000,14297000,19621000,13112000,10183000,19808000,-47583000,16437000,9343000,19867000,-73282000,25261000,20077000,9035000,32461000,29174000,135536000
24,Net Income ratio,-0.0094,-0.0422,0.0197,-0.2726,0.0044,0.0228,0.0282,0.0445,0.1581,0.0357,0.0548,0.0870,0.0909,0.1388,0.0917,0.0768,0.0649,0.0306,0.0717,0.0497,0.0640,0.0448,0.0534,0.0325,0.0236,0.0485,-0.0819,0.0220,0.0127,0.0268,-0.1100,0.0459,0.0360,0.0144,0.0450,0.0464,0.2100
25,EPS,-0.76,-3.84,0.31,-3.27,0.06,0.34,0.39,0.50,1.51,0.32,0.69,0.97,1.29,2.13,1.32,1.32,1.51,0.66,1.64,1.12,1.59,1.40,1.89,1.24,0.97,1.89,-4.52,1.55,0.87,1.82,-6.63,2.27,1.78,0.79,2.82,2.50,11.37
26,EPS Diluted,-0.76,-3.84,0.31,-3.27,0.06,0.34,0.39,0.50,1.05,0.32,0.58,0.89,1.21,2.04,1.28,1.30,1.50,0.65,1.63,1.10,1.57,1.39,1.88,1.23,0.97,1.87,-4.52,1.55,0.86,1.79,-6.63,2.24,1.74,0.77,2.75,2.45,11.07
27,Weighted Average Shares Outstanding,5131579,5000000,4838710,4984709,5000000,5000000,5384615,6000000,6754967,6875000,7211538,10655172,11056701,11126761,10151515,9636364,9670861,9856061,9878659,9975000,10058491,10211000,10398000,10563000,10461000,10488000,10536000,10580000,10695000,10897000,11047000,11151000,11290000,11390000,11518000,11676000,11920000
28,Weighted Average Shares Outstanding Diluted,5131579,5000000,4838710,4984709,5000000,5000000,5384615,6000000,6754967,6875000,8620690,11616541,11850829,11617647,10468750,9784615,9735333,10007692,9939264,10156364,10186624,10290000,10457000,10649000,10510000,10596000,10621000,10628000,10852000,11126000,11047000,11299000,11558000,11659000,11792000,11932000,12242000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30305/000089256996000236/0000892569-96-000236-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30305/000089256901500082/0000892569-01-500082-index.html,https://www.sec.gov/Archives/edgar/data/30305/000089256902000401/0000892569-02-000401-index.html,https://www.sec.gov/Archives/edgar/data/30305/000095016803000529/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312504034525/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312505039903/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312506042716/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312507041156/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312508036828/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312509037501/0001193125-09-037501-index.html,https://www.sec.gov/Archives/edgar/data/30305/000119312510036507/0001193125-10-036507-index.html,https://www.sec.gov/Archives/edgar/data/30305/000119312511041192/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312512096819/0001193125-12-096819-index.html,https://www.sec.gov/Archives/edgar/data/30305/000119312513089632/0001193125-13-089632-index.html,https://www.sec.gov/Archives/edgar/data/30305/000144530514000669/dco-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000162828015002233/dco10-k2014.htm,https://www.sec.gov/Archives/edgar/data/30305/000162828016012671/0001628280-16-012671-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828017002221/0001628280-17-002221-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828018002505/0001628280-18-002505-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828019002279/0001628280-19-002279-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828020001898/0001628280-20-001898-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828021001951/0001628280-21-001951-index.htm,https://www.sec.gov/Archives/edgar/data/30305/000162828022003518/0001628280-22-003518-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4800000,3400000,1500000,800000,200000,100000,500000,200000,500000,8500000,400000,600000,2200000,9100000,100000,100000,2422000,174000,3832000,158000,19221000,378000,31571000,3508000,18629000,10268000,41449000,46537000,48814000,45627000,5454000,7432000,2150000,10263000,39584000,56466000,76316000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4800000,3400000,1500000,800000,200000,100000,500000,200000,500000,8500000,400000,600000,2200000,9100000,100000,100000,2422000,174000,3832000,158000,19221000,378000,31571000,3508000,18629000,10268000,41449000,46537000,48814000,45627000,5454000,7432000,2150000,10263000,39584000,56466000,76316000
34,Net Receivables,78600000,69900000,14500000,9100000,10400000,11200000,10800000,10100000,9600000,10400000,13800000,14700000,19200000,19700000,20000000,20844000,29921000,23968000,26275000,26909000,32890000,46140000,44841000,57164000,52585000,51805000,99460000,100856000,91909000,91060000,77089000,76239000,74064000,154484000,173803000,212053000,248666000
35,Inventory,98000000,100100000,21800000,12200000,11600000,10600000,11000000,10200000,9500000,10400000,13400000,22600000,24600000,19500000,26300000,32240000,45069000,41336000,40003000,50460000,53299000,64587000,67769000,83157000,67749000,72597000,154503000,148318000,140507000,142842000,115404000,119896000,122161000,101125000,112482000,129223000,150938000
36,Other Current Assets,6400000,14500000,125600000,2500000,2000000,700000,600000,1200000,1700000,3000000,6200000,6400000,9500000,8100000,8000000,7084000,9662000,11251000,12087000,12384000,10568000,11637000,13055000,15344000,25128000,26722000,45379000,38860000,49534000,49212000,66284000,22374000,22639000,21518000,14899000,12542000,16649000
37,Total Current Assets,187800000,187900000,163400000,24600000,24200000,22600000,22900000,21700000,21300000,32300000,33800000,44300000,55500000,56400000,54400000,60268000,87074000,76729000,82197000,89911000,115978000,122742000,157236000,159173000,164091000,161392000,340791000,334571000,330764000,328741000,264231000,225941000,221014000,287390000,340768000,410284000,492569000
38,PP&E,47600000,53100000,32900000,29400000,27200000,26000000,24800000,24100000,24500000,23600000,23000000,27100000,30600000,41100000,44700000,49579000,66947000,61936000,56929000,54984000,52481000,52987000,56294000,61954000,60923000,59461000,98477000,98383000,96090000,99068000,96551000,101590000,110252000,107045000,134321000,126338000,135684000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59165000,- -,- -,- -,- -,106628000,106632000,114002000,100442000,100442000,163845000,161940000,161940000,157569000,82554000,82554000,117435000,136057000,170917000,170830000,203694000
40,Intangible Assets,9700000,10600000,6800000,3600000,3500000,3400000,3300000,3200000,3100000,14700000,16700000,18300000,16900000,19000000,41900000,39056000,- -,55532000,57201000,57201000,57201000,- -,- -,- -,- -,- -,187854000,176356000,165464000,155104000,110621000,101573000,114693000,112092000,138362000,124744000,141764000
41,Intangible Assets,9700000,10600000,6800000,3600000,3500000,3400000,3300000,3200000,3100000,14700000,16700000,18300000,16900000,19000000,41900000,39056000,59165000,55532000,57201000,57201000,57201000,106628000,106632000,114002000,100442000,100442000,351699000,338296000,327404000,312673000,193175000,184127000,232128000,248149000,309279000,295574000,345458000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000,1049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286000,261000,308000,55000,33000,- -
44,Other Non-Current Assets,22500000,9100000,300000,1200000,1900000,1200000,1000000,700000,6400000,9300000,7500000,6100000,1200000,700000,800000,1461000,2729000,2364000,1714000,2457000,2309000,14676000,12314000,31057000,28453000,24157000,17120000,13824000,9940000,7117000,7463000,3485000,3098000,5251000,6006000,5118000,5024000
45,Total Non-Current Assets,79800000,72800000,40000000,34200000,32600000,30600000,29100000,28000000,34000000,47600000,47200000,51500000,48700000,60800000,87400000,90096000,129001000,120881000,115844000,114642000,111991000,174291000,175240000,207013000,189818000,184060000,467296000,450503000,433434000,418858000,297189000,289488000,345739000,360753000,449661000,427063000,486166000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,267600000,260700000,203400000,58800000,56800000,53200000,52000000,49700000,55300000,79900000,81000000,95800000,104200000,117200000,141800000,150364000,216075000,197610000,198041000,204553000,227969000,297033000,332476000,366186000,353909000,345452000,808087000,785074000,764198000,747599000,561420000,515429000,566753000,648143000,790429000,837347000,978735000
48,Accounts Payable,- -,- -,- -,- -,4100000,4600000,4600000,5500000,3100000,3700000,4900000,8300000,9000000,7400000,8100000,11552000,17599000,16203000,14200000,12772000,17787000,32948000,33845000,35358000,39434000,39925000,60675000,52578000,58111000,58979000,40343000,57024000,51907000,69274000,82597000,63980000,66059000
49,Short-Term Debt,10400000,36500000,84400000,1100000,100000,1100000,- -,200000,500000,12200000,3900000,1100000,900000,1400000,1500000,1409000,3160000,1501000,2185000,1200000,- -,1196000,1859000,2420000,4963000,187000,1960000,3042000,25000,26000,26000,3000,- -,2330000,9956000,10132000,13133000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1820000,3812000,1451000,1580000,1513000,332000,71000,82000,163000,80000,926000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5653000,3236000,1139000,1758000,3204000,3970000,17145000,14517000,28264000,42077000
52,Other Current Liabilities,56700000,16600000,22600000,12100000,9200000,9900000,11100000,6100000,5900000,9700000,13800000,17600000,15400000,16800000,14900000,15904000,24778000,25039000,36152000,30552000,33879000,33243000,43829000,51723000,33869000,31174000,53823000,47063000,42217000,50927000,41480000,26075000,24359000,37786000,37620000,40526000,41291000
53,Total Current Liabilities,67100000,53100000,107000000,13200000,13400000,15600000,15700000,11800000,9500000,25600000,22600000,27000000,25300000,25600000,24500000,28865000,45537000,42743000,52537000,44524000,51666000,67387000,79533000,89501000,78266000,71286000,116458000,108336000,103589000,111071000,83607000,86306000,80236000,126535000,144690000,142902000,162560000
54,Long-Term Debt,122700000,154400000,62600000,54700000,51900000,44000000,40400000,34400000,32000000,37700000,33200000,9200000,4900000,5400000,26300000,18245000,49138000,24349000,400000,- -,- -,29240000,23892000,28299000,23289000,3093000,390280000,362702000,332677000,290026000,245000000,166896000,216055000,226961000,300887000,326477000,307458000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2200000,2409000,2688000,3122000,5313000,6421000,5752000,6670000,5584000,9902000,- -,7691000,72043000,67808000,68489000,69448000,26528000,31417000,15981000,18070000,16766000,16992000,18727000
57,Other Non-Current Liabilities,300000,200000,- -,- -,- -,200000,100000,200000,200000,800000,600000,400000,300000,800000,1000000,1316000,4110000,6954000,2041000,2117000,2700000,6711000,9416000,14038000,18468000,9197000,25022000,23553000,19750000,20484000,18954000,18707000,18898000,19752000,35286000,21642000,15388000
58,Total Non-Current Liabilities,127200000,154600000,62600000,54700000,51900000,44200000,40500000,34600000,32200000,38500000,33800000,9600000,5200000,7900000,29500000,21970000,55936000,34425000,7754000,8538000,8452000,42621000,38892000,52239000,41757000,19981000,487345000,454063000,420916000,379958000,290482000,217020000,250934000,264783000,352939000,365111000,341573000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20521000,17687000,34207000
61,Total Liabilities,194300000,207700000,169600000,67900000,65300000,59800000,56200000,46400000,41700000,64100000,56400000,36600000,30500000,33500000,54000000,50835000,101473000,77168000,60291000,53062000,60118000,110008000,118425000,141740000,120023000,91267000,603803000,562399000,524505000,491029000,374089000,303326000,331170000,391318000,497629000,508013000,504133000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,97000,97000,99000,99000,100000,101000,103000,105000,106000,106000,106000,107000,107000,110000,110000,111000,112000,113000,114000,116000,117000,119000
64,Retained Earnings,23700000,3300000,-16400000,-35800000,-35200000,-33400000,-31000000,-27900000,-17700000,-15500000,-10500000,-200000,14100000,37800000,51300000,63989000,78592000,85097000,101298000,112470000,128463000,142760000,162192000,173718000,180760000,197421000,149048000,165485000,174828000,190905000,117623000,141287000,161364000,180356000,212553000,241727000,377263000
65,Other Comprehensive Income/Loss,-13900000,-18900000,-11500000,-12600000,-15100000,-17800000,-20600000,-23500000,-25100000,-26200000,-30200000,-31300000,-32800000,-35500000,-40200000,-46083000,-53277000,-2679000,-2041000,-2117000,-2700000,-2158000,-1690000,-4432000,-3554000,-3102000,-7325000,-7468000,-3862000,-6651000,-5603000,-6079000,-6117000,-7357000,-8268000,-9600000,-7033000
66,Other Total Stockholders Equity,63500000,68600000,61700000,39300000,41800000,44600000,47400000,54700000,56400000,57500000,65300000,90700000,92400000,81400000,76600000,81526000,89190000,37925000,38394000,41038000,41987000,46320000,53444000,55054000,56574000,59760000,62454000,64551000,68618000,72206000,75200000,76783000,80223000,83712000,88399000,97090000,- -
67,Total Stockholders Equity,73300000,53000000,33800000,-9100000,-8500000,-6600000,-4200000,3300000,13600000,15800000,24600000,59200000,73700000,83700000,87800000,99529000,114602000,120442000,137750000,151491000,167851000,187025000,214051000,224446000,233886000,254185000,204284000,222675000,239694000,256570000,187331000,212103000,235583000,256825000,292800000,329334000,474602000
68,Total Liabilities And Stockholders Equity,267600000,260700000,203400000,58800000,56800000,53200000,52000000,49700000,55300000,79900000,81000000,95800000,104200000,117200000,141800000,150364000,216075000,197610000,198041000,204553000,227969000,297033000,332476000,366186000,353909000,345452000,808087000,785074000,764199000,747599000,561420000,515429000,566753000,648143000,790429000,837347000,978735000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,267600000,260700000,203400000,58800000,56800000,53200000,52000000,49700000,55300000,79900000,81000000,95800000,104200000,117200000,141800000,150364000,216075000,197610000,198041000,204553000,227969000,297033000,332476000,366186000,353909000,345452000,808087000,785074000,764198000,747599000,561420000,515429000,566753000,648143000,790429000,837347000,978735000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30305/000089256996000236/0000892569-96-000236-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30305/000089256901500082/0000892569-01-500082-index.html,https://www.sec.gov/Archives/edgar/data/30305/000089256902000401/0000892569-02-000401-index.html,https://www.sec.gov/Archives/edgar/data/30305/000095016803000529/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312504034525/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312505039903/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312506042716/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312507041156/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312508036828/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312509037501/0001193125-09-037501-index.html,https://www.sec.gov/Archives/edgar/data/30305/000119312510036507/0001193125-10-036507-index.html,https://www.sec.gov/Archives/edgar/data/30305/000119312511041192/d10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000119312512096819/0001193125-12-096819-index.html,https://www.sec.gov/Archives/edgar/data/30305/000119312513089632/0001193125-13-089632-index.html,https://www.sec.gov/Archives/edgar/data/30305/000144530514000669/dco-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/30305/000162828015002233/dco10-k2014.htm,https://www.sec.gov/Archives/edgar/data/30305/000162828016012671/0001628280-16-012671-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828017002221/0001628280-17-002221-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828018002505/0001628280-18-002505-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828019002279/0001628280-19-002279-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828020001898/0001628280-20-001898-index.html,https://www.sec.gov/Archives/edgar/data/30305/000162828021001951/0001628280-21-001951-index.htm,https://www.sec.gov/Archives/edgar/data/30305/000162828022003518/0001628280-22-003518-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,300000,1700000,2100000,3000000,10200000,2200000,5000000,10300000,14300000,23700000,13400000,12720000,14603000,6505000,16201000,11172000,15993000,14297000,19621000,13112000,10183000,19808000,-47583000,16437000,9343000,19867000,-73282000,25261000,20077000,9035000,32461000,29174000,135536000
74,Depreciation and Amortization,- -,- -,- -,- -,3300000,3200000,3100000,3200000,3300000,3100000,4400000,4500000,5300000,5900000,6800000,8750000,11080000,8018000,7569000,7499000,7586000,9818000,10061000,9963000,13562000,13597000,21458000,29413000,30926000,29024000,26846000,22860000,22845000,25296000,28305000,28850000,28389000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1200000,700000,900000,2000000,5200000,1800000,2200000,-856000,-1731000,485000,3734000,-64000,672000,-417000,-1593000,-4459000,1819000,-495000,-6652000,-2350000,-2242000,345000,-30707000,3519000,-15411000,2042000,-1830000,327000,1768000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2623000,2404000,2517000,2363000,1959000,2438000,3725000,3495000,3007000,4675000,5040000,7161000,9299000,11212000
77,Change in Working Capital,- -,- -,- -,- -,-1700000,200000,2700000,1900000,-5100000,4500000,6100000,12900000,600000,-900000,1503000,10134000,-7551000,-4326000,15727000,18925000,-8957000,22348000,-8031000,16153000,4281000,134227000,1902000,940000,-9505000,-37046000,-40989000,1143000,20077000,35223000,71304000,19351000,-47338000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6235000,2836000,584000,-3990000,-1204000,5468000,1086000,4444000,3220000,2720000,7495000,2380000,8877000,-11689000
79,Inventory,- -,- -,- -,- -,700000,900000,-300000,800000,600000,1300000,-1700000,-4100000,-2000000,4300000,-2200000,-5893000,952000,699000,1714000,-10457000,-2839000,-9304000,-3182000,-6581000,5321000,-4848000,-4828000,6185000,7811000,-2335000,20985000,-5182000,-533000,23243000,-8491000,-20183000,-17129000
