,https://roic.ai/company/NSP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0046,0.0072,0.0120,0.0112,0.0097,0.0104,0.0083,0.0215,0.0499,0.0500,0.0541,0.0631,0.0573,0.0508,0.0273,0.0308,0.0334,0.0401,0.0331,0.0293,0.0323,0.0422,0.0459,0.0548,0.0524,0.0533,0.0401
17,Operating Income,2200000,6600000,9200000,11200000,10600000,22234000,18539000,-1850000,24274000,22131000,43767000,61565000,62214000,64982000,27033000,37060000,57314000,67494000,56223000,47474000,65699000,106306000,129941000,179036000,186633000,194689000,173329000
18,Operating Income ratio,0.0031,0.0073,0.0076,0.0067,0.0047,0.0060,0.0042,-0.0022,0.0272,0.0228,0.0374,0.0443,0.0396,0.0377,0.0164,0.0215,0.0290,0.0313,0.0249,0.0201,0.0252,0.0361,0.0394,0.0468,0.0433,0.0454,0.0349
19,Total Other Income Expenses (Gains),- -,-1800000,2700000,3400000,3600000,4380000,848000,-1747000,196000,8605000,3980000,10517000,11225000,7035000,1616000,961000,-6539000,796000,-2491000,153000,-80000,-1129000,200000,3324000,3010000,-5419000,-5011000
20,Income Before Tax,2200000,4800000,11900000,14600000,14200000,26614000,19387000,-3597000,24470000,30736000,47747000,72082000,73439000,72017000,28649000,38021000,50775000,68290000,53732000,47627000,65619000,105177000,130141000,182360000,189643000,189270000,168318000
21,Income Before Tax Ratio,0.0031,0.0053,0.0098,0.0087,0.0063,0.0072,0.0044,-0.0042,0.0274,0.0317,0.0408,0.0519,0.0468,0.0418,0.0173,0.0221,0.0257,0.0316,0.0238,0.0202,0.0252,0.0358,0.0394,0.0476,0.0440,0.0441,0.0338
22,Income Tax expense (Gain),1100000,2200000,4500000,5500000,4900000,9714000,9030000,484000,9485000,11526000,17764000,25576000,25947000,26237000,12075000,15581000,20305000,27888000,21700000,19623000,26229000,39186000,45739000,46947000,38544000,51033000,44238000
23,Net Income,1100000,2600000,7400000,9100000,9400000,16900000,10357000,-4081000,12864000,19210000,29983000,46506000,47492000,45780000,16574000,22440000,30470000,40402000,32032000,28004000,39390000,65991000,84402000,135413000,151099000,138237000,124080000
24,Net Income ratio,0.0015,0.0029,0.0061,0.0054,0.0042,0.0046,0.0024,-0.0048,0.0144,0.0198,0.0256,0.0335,0.0303,0.0265,0.0100,0.0130,0.0154,0.0187,0.0142,0.0119,0.0151,0.0224,0.0256,0.0354,0.0350,0.0322,0.0250
25,EPS,0.03,0.06,0.14,0.16,0.17,0.31,0.19,-0.07,0.24,0.37,0.58,0.84,0.89,0.91,0.34,0.43,0.58,0.79,0.63,0.53,0.79,1.55,2.02,3.24,3.72,3.57,3.22
26,EPS Diluted,0.03,0.06,0.13,0.15,0.17,0.29,0.18,-0.07,0.23,0.36,0.56,0.82,0.87,0.90,0.33,0.43,0.58,0.78,0.63,0.53,0.79,1.54,2.01,3.22,3.70,3.54,3.19
27,Weighted Average Shares Outstanding,36666667,44420000,52857143,57777778,55294118,54516129,54510526,54413333,53600000,51918919,51694828,55036686,53361798,50466000,49536000,50508000,50810000,50014000,49700000,49416000,48618987,41609677,41032178,41215432,40145161,38502801,38524000
28,Weighted Average Shares Outstanding Diluted,44000000,44420000,55849057,58709677,55294118,58275862,57538889,54413333,54740426,53361111,53541071,56714634,54588506,51154000,50216000,50736000,50994000,50134000,49744000,49424000,48618987,41744337,41236318,41471429,40362162,38829096,38881000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1000753/000095012998001035/0000950129-98-001035-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012999000918/0000950129-99-000918-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000753/000095012901001482/0000950129-01-001482-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012902001151/0000950129-02-001151-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095013403004206/0000950134-03-004206-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012904000788/0000950129-04-000788-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012905001518/0000950129-05-001518-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012906001544/h33094e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012907000558/h43428e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012908000591/h53710e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012909000335/0000950129-09-000335-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012310011398/0000950123-10-011398-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000114036111008714/form10k.htm,https://www.sec.gov/Archives/edgar/data/1000753/000114036112007828/0001140361-12-007828-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000114036113005779/0001140361-13-005779-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075314000008/document-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1000753/000100075315000008/document-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1000753/000100075316000075/0001000753-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075317000007/0001000753-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075318000015/0001000753-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075319000007/0001000753-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075320000013/0001000753-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075321000009/0001000753-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1000753/000100075322000009/0001000753-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6500000,13400000,40600000,23500000,25500000,69733000,53000000,71799000,104728000,81740000,137407000,148416000,135793000,252190000,227085000,234829000,211208000,264544000,225755000,276456000,269538000,286034000,354260000,326773000,367342000,554846000,575812000
32,Short-Term Investments,- -,- -,26000000,49700000,30700000,38953000,47961000,14714000,23989000,27950000,57973000,85617000,74880000,225000,6037000,43367000,56987000,16904000,46340000,28631000,9875000,1851000,1960000,60781000,34728000,34529000,31791000
33,Cash and Short-Term Investments,6500000,13400000,66600000,73200000,56200000,108686000,100961000,86513000,128717000,109690000,195380000,234033000,210673000,252415000,233122000,278196000,268195000,281448000,272095000,305087000,279413000,287885000,356220000,387554000,402070000,589375000,607603000
34,Net Receivables,14800000,16900000,21100000,27500000,34200000,65215000,76654000,82475000,61744000,67210000,98411000,125916000,138752000,125093000,125284000,143915000,173835000,190386000,210418000,175116000,200665000,275233000,343805000,400623000,469470000,392746000,513306000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6900000,2700000,1700000,2400000,8300000,7479000,4506000,23176000,38029000,37409000,44770000,55130000,63986000,72112000,59815000,75977000,80758000,79631000,82804000,89306000,61970000,77204000,78910000,78359000,103206000,95147000,123939000
37,Total Current Assets,28200000,33000000,89400000,103100000,98700000,181380000,182121000,192164000,228490000,214309000,338561000,415079000,413411000,449620000,418221000,498088000,522788000,551465000,565317000,569509000,542048000,640322000,778935000,866536000,974746000,1077268000,1244848000
38,PP&E,9100000,11600000,16700000,31000000,44400000,52367000,71894000,92377000,78769000,69057000,83620000,81120000,77941000,89339000,81174000,76027000,92944000,93942000,86415000,84345000,61759000,80261000,95659000,117213000,204592000,276919000,273553000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4785000,8595000,- -,- -,- -,17208000,14440000,12686000,12686000,12686000,12700000,- -,- -,12700000,- -
40,Intangible Assets,600000,700000,800000,3000000,- -,- -,- -,- -,- -,- -,- -,4922000,- -,- -,- -,- -,- -,6567000,3994000,1771000,902000,402000,62000,- -,- -,7000,- -
41,Intangible Assets,600000,700000,800000,3000000,- -,- -,- -,- -,- -,- -,- -,4922000,4785000,8595000,8487000,21251000,28433000,23775000,18434000,14457000,13588000,13088000,12762000,12726000,12714000,12707000,12707000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16976000,14025000,4283000,8816000,3956000,9603000,4892000
44,Other Non-Current Assets,1600000,3100000,2600000,5700000,4600000,9070000,19988000,30623000,40812000,71272000,73258000,60394000,64514000,69286000,68588000,64479000,68094000,81018000,96394000,128359000,150541000,159478000,172056000,186525000,198988000,207779000,217085000
45,Total Non-Current Assets,11300000,15400000,20100000,39700000,49000000,61437000,91882000,123000000,119581000,140329000,156878000,146436000,147240000,167220000,158249000,161757000,189471000,198735000,201243000,227161000,242864000,266852000,284760000,325280000,420250000,507008000,508237000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39500000,48400000,109500000,142800000,147700000,242817000,274003000,315164000,348071000,354638000,495439000,561515000,560651000,616840000,576470000,659845000,712259000,750200000,766560000,796670000,784912000,907174000,1063695000,1191816000,1394996000,1584276000,1753085000
48,Accounts Payable,1500000,600000,1400000,2600000,2800000,1496000,4332000,3069000,4319000,2380000,4979000,3802000,5236000,3007000,1857000,3309000,5085000,3660000,2678000,4674000,5381000,4189000,6447000,10622000,4565000,6203000,6412000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,13500000,2024000,1860000,1649000,1700000,583000,629000,537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64192000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377960000,12413000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,22000000,27800000,41400000,48100000,60100000,128705000,127680000,145833000,166279000,162780000,238647000,282293000,310366000,347663000,288737000,350300000,391141000,432099000,434009000,491777000,482330000,596769000,720034000,761710000,864480000,898721000,1057969000
53,Total Current Liabilities,23500000,28400000,42800000,50700000,62900000,130201000,145512000,150926000,172458000,166809000,245326000,286678000,316231000,351207000,290594000,353609000,396226000,435759000,436687000,496451000,487711000,600958000,726481000,772332000,869045000,904924000,1128573000
54,Long-Term Debt,4600000,4100000,- -,- -,- -,- -,- -,42493000,40502000,34890000,33190000,1166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,104400000,104400000,144400000,269400000,433689000,433592000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,- -,300000,2700000,4300000,7106000,5556000,5396000,5060000,3498000,1802000,5207000,6092000,10565000,10702000,8850000,10772000,9000000,7696000,4075000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,600000,2600000,2600000,2500000,- -,- -,- -,- -,7417000,22912000,32692000,40019000,39653000,46589000,52014000,56991000,60054000,64536000,68905000,92048000,124746000,141291000,166493000,197408000,252472000,201531000,192694000
58,Total Non-Current Liabilities,5300000,6700000,2900000,5200000,4300000,7106000,5556000,47889000,52979000,61300000,67684000,46392000,45745000,57154000,62716000,65841000,70826000,73536000,76601000,96123000,124746000,245691000,270893000,341808000,521872000,635220000,626286000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58863000,64289000,- -
61,Total Liabilities,28800000,35100000,45700000,55900000,67200000,137307000,151068000,198815000,225437000,228109000,313010000,333070000,361976000,408361000,353310000,419450000,467052000,509295000,513288000,592574000,612457000,846649000,997374000,1114140000,1390917000,1540144000,1754859000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,100000,100000,100000,304000,308000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,308000,308000,308000,308000,277000,555000,555000,555000,555000,555000
64,Retained Earnings,4900000,7500000,14900000,24000000,33400000,50299000,60656000,56575000,69439000,88649000,111245000,147730000,183321000,216707000,220009000,228922000,243650000,241324000,255970000,214481000,232771000,278163000,296797000,397947000,499473000,575028000,553590000
65,Other Comprehensive Income/Loss,-2000000,-3400000,-5200000,-8600000,-14300000,-25649000,-41405000,-62417000,-82224000,-94392000,-105307000,-116511000,-127654000,-134152000,-145153000,-154070000,-159008000,-168358000,-181760000,-196341000,-190063000,-202854000,-214690000,-233595000,-255595000,5000,-9000
66,Other Total Stockholders Equity,7800000,9100000,54000000,71400000,61300000,80556000,103376000,121882000,135110000,131963000,176182000,196917000,142699000,125615000,147995000,165234000,160256000,167631000,178754000,185648000,129439000,-15061000,-16341000,-87231000,-240354000,-531456000,- -
67,Total Stockholders Equity,10700000,13300000,63800000,86900000,80500000,105510000,122935000,116349000,122634000,126529000,182429000,228445000,198675000,208479000,223160000,240395000,245207000,240905000,253272000,204096000,172455000,60525000,66321000,77676000,4079000,44132000,-1774000
68,Total Liabilities And Stockholders Equity,39500000,48400000,109500000,142800000,147700000,242817000,274003000,315164000,348071000,354638000,495439000,561515000,560651000,616840000,576470000,659845000,712259000,750200000,766560000,796670000,784912000,907174000,1063695000,1191816000,1394996000,1584276000,1753085000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39500000,48400000,109500000,142800000,147700000,242817000,274003000,315164000,348071000,354638000,495439000,561515000,560651000,616840000,576470000,659845000,712259000,750200000,766560000,796670000,784912000,907174000,1063695000,1191816000,1394996000,1584276000,1753085000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1000753/000095012998001035/0000950129-98-001035-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012999000918/0000950129-99-000918-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000753/000095012901001482/0000950129-01-001482-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012902001151/0000950129-02-001151-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095013403004206/0000950134-03-004206-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012904000788/0000950129-04-000788-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012905001518/0000950129-05-001518-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012906001544/h33094e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012907000558/h43428e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012908000591/h53710e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000753/000095012909000335/0000950129-09-000335-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000095012310011398/0000950123-10-011398-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000114036111008714/form10k.htm,https://www.sec.gov/Archives/edgar/data/1000753/000114036112007828/0001140361-12-007828-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000114036113005779/0001140361-13-005779-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075314000008/document-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1000753/000100075315000008/document-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1000753/000100075316000075/0001000753-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075317000007/0001000753-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075318000015/0001000753-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075319000007/0001000753-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075320000013/0001000753-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1000753/000100075321000009/0001000753-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1000753/000100075322000009/0001000753-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,2600000,7400000,9100000,9400000,16900000,10357000,-4081000,12864000,19210000,29983000,46506000,47492000,45780000,16574000,22440000,30470000,40402000,32032000,28004000,39390000,65991000,84402000,135413000,151099000,138237000,124080000
74,Depreciation and Amortization,1100000,1700000,2700000,4200000,7600000,11969000,17075000,21857000,22185000,17770000,15482000,15531000,16548000,15541000,16561000,14950000,15218000,18183000,21033000,21387000,18565000,16644000,18182000,22842000,28723000,31189000,38547000
75,Deferred Income Tax,2200000,900000,-800000,2700000,1600000,1955000,-1834000,77000,-3018000,2168000,-5222000,4204000,4370000,5363000,-4397000,1179000,-46000,-5743000,-2288000,-1733000,-14733000,2951000,9742000,-4533000,4860000,-5647000,4711000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10064000,8126000,8601000,9814000,11103000,11053000,13345000,16643000,24345000,20425000,23993000,60145000,40623000
77,Change in Working Capital,-7500000,-100000,42000000,5800000,-16600000,15379000,-14570000,4629000,14794000,-8532000,45735000,35166000,-31221000,1233000,29214000,16852000,-17917000,-10856000,12924000,-55572000,-18721000,-14973000,13090000,41750000,11497000,66643000,-56069000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2501000,-18874000,-28826000,-19453000,-19623000,34893000,-25549000,-69619000,-63697000,-66642000,-65156000,73033000,-120560000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1150000,1136000,1776000,-1425000,-982000,1996000,707000,-1192000,2258000,4175000,-6057000,1638000,209000
81,Other Working Capital,4700000,4600000,46600000,52400000,35800000,51179000,36609000,41238000,56032000,47500000,93235000,128401000,97180000,98413000,127627000,144479000,126562000,115706000,128630000,73058000,54337000,39364000,52454000,94204000,105701000,172344000,116275000
82,Other Non-Cash Items,100000,6700000,-30800000,-7900000,15800000,28387000,-490000,-19353000,9069000,-20137000,25695000,-12954000,37795000,49873000,-67185000,15293000,37585000,38998000,-40140000,138574000,27237000,45417000,54664000,-31417000,-15019000,55786000,108263000
83,Cash Provided by Operating Activities,-3000000,11800000,20500000,13900000,17800000,74590000,10538000,3129000,55894000,10479000,111673000,88453000,74984000,117790000,831000,78840000,73911000,90798000,34664000,141713000,65083000,132673000,204425000,184480000,205153000,346353000,260155000
84,CAPEX,-4600000,-4200000,-7100000,-17900000,-13800000,-15445000,-19156000,-36677000,-6771000,-8114000,-28577000,-12931000,-12868000,-26714000,-8019000,-6764000,-31440000,-17631000,-11562000,-19124000,-17844000,-33994000,-33337000,-35328000,-56307000,-98159000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2500000,- -,-51800000,-49000000,-13500000,-27310000,-56604000,-15499000,-25779000,-21644000,-55819000,-70786000,-87643000,- -,-6039000,-60003000,-65952000,-33090000,-54756000,-69578000,-10558000,-1049000,-1752000,-87887000,-110131000,-50624000,- -
87,Sales/Maturities of Investments,6500000,700000,25600000,25300000,31500000,19466000,47822000,48566000,16257000,742000,25463000,43176000,98173000,3895000,225000,21049000,35613000,68510000,23227000,85374000,28462000,8983000,1561000,28924000,136693000,50119000,- -
88,Other Investing Activites,-600000,- -,-200000,-2500000,-5000000,-10334000,-18092000,-5083000,1810000,16912000,-528000,161000,225000,67090000,-684000,-12864000,82000,69000,57000,122000,12312000,43000,278000,151000,21000,43000,-31013000
89,Cash Used for Investing Activites,-1200000,-3500000,-33500000,-44100000,-800000,-33623000,-46030000,-8693000,-14483000,-12104000,-65461000,-40380000,-2113000,44271000,-14517000,-58582000,-61697000,17858000,-43034000,-3206000,12372000,-26017000,-33250000,-94140000,-29724000,-98621000,-31013000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-537000,- -,- -,- -,- -,- -,- -,-20000000,- -,- -,- -,- -,- -
91,Common Stock Issued,400000,- -,47600000,19100000,800000,5820000,26467000,14470000,1403000,1454000,30493000,16833000,3936000,3191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-2500000,-6100000,-16100000,-2581000,-21566000,-30588000,-8233000,-17153000,-12200000,-24174000,-80521000,-38082000,-2024000,-7852000,-25079000,-16935000,-17229000,-20769000,-67113000,-175932000,-38735000,-113327000,-203043000,-99415000,- -
93,Dividends Paid,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,-7387000,-10021000,-11901000,-12411000,-13272000,-13527000,-15742000,-42728000,-17386000,-69493000,-21153000,-20599000,-65768000,-33408000,-48622000,-61869000,-144179000
94,Other Financing Activites,-1300000,-1100000,-5000000,100000,200000,76000,13858000,40481000,-1652000,-5664000,-1451000,-19702000,2992000,1638000,4414000,8865000,4986000,4343000,4196000,2456000,3893000,126371000,1554000,42257000,133312000,107701000,-63894000
95,Cash Used/Provided by Financing Activities,-900000,-1400000,40100000,13100000,-15100000,3315000,18759000,24363000,-8482000,-21363000,9455000,-37064000,-85494000,-45664000,-11419000,-12514000,-35835000,-55320000,-30419000,-87806000,-84373000,-90160000,-102949000,-104478000,-118353000,-53583000,-208073000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,6900000,27200000,-17100000,2000000,44282000,-16733000,18799000,32929000,-22988000,55667000,11009000,-12623000,116397000,-25105000,7744000,-23621000,53336000,-38789000,50701000,-6918000,16496000,68226000,-14138000,57076000,194149000,21069000
98,Cash at the End of Period,- -,13400000,40600000,23500000,25500000,69733000,53000000,71799000,104728000,81740000,137407000,148416000,135793000,252190000,227085000,234829000,211208000,264544000,225755000,276456000,269538000,286034000,354260000,535474000,592550000,786699000,807768000
99,Cash at the Beginning of Period,11500000,6500000,13400000,40600000,23500000,25451000,69733000,53000000,71799000,104728000,81740000,137407000,148416000,135793000,252190000,227085000,234829000,211208000,264544000,225755000,276456000,269538000,286034000,549612000,535474000,592550000,786699000
100,Free Cash Flow,-7600000,7600000,13400000,-4000000,4000000,59145000,-8618000,-33548000,49123000,2365000,83096000,75522000,62116000,91076000,-7188000,72076000,42471000,73167000,23102000,122589000,47239000,98679000,171088000,149152000,148846000,248194000,260155000
