,https://roic.ai/company/ABT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1084000000,1260100000,1524000000,1752700000,1909300000,2198400000,2558600000,3248400000,2799150000,3017971000,3303485000,3664401000,3987358000,3965481000,4051067000,4106695000,5312432000,5540568000,6784373000,6618533000,7317298000,8604956000,9913647000,11124435000,11149637000,14413948000,16886231000,16381677000,9179000000,8430000000,8791000000,8644000000,13327000000,14222000000,14141000000,14248000000,16113000000
11,COGS and Expenses,2623200000,2929000000,3382200000,3835000000,4158600000,4752600000,5319600000,6325900000,6483877000,7011802000,7629290000,8396399000,9033036000,9359922000,10028250000,10345341000,13060814000,14046822000,16257789000,15502690000,17958409000,18420103000,21335693000,23736457000,24358966000,29079140000,32426811000,31501395000,19219000000,17648000000,17538000000,17668000000,25664000000,26928000000,27372000000,29251000000,34650000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201229000,137779000,105453000,85196000,79225000,67000000,77000000,105000000,99000000,124000000,105000000,94000000,46000000,43000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528474000,519656000,553135000,530141000,592403000,157000000,150000000,163000000,431000000,904000000,826000000,670000000,546000000,533000000
14,Depreciation and Amortization,155800000,199500000,243700000,270900000,307300000,355900000,379000000,427800000,484081000,510504000,566423000,686085000,727754000,784243000,828006000,827431000,1168018000,1177345000,1273991000,1288700000,1358939000,1558750000,1854886000,1838829000,2089510000,2624305000,3043894000,2783207000,1719000000,1548000000,1472000000,1353000000,3021000000,3278000000,3014000000,3327000000,3538000000
15,EBITDA,850300000,1018200000,1180900000,1326300000,1501500000,1706700000,1923300000,2166600000,2427311000,2677194000,2961742000,3355635000,3677700000,4024842000,4224894000,4643838000,3051166000,4850758000,5008408000,5474315000,5978859000,3835120000,6324534000,8370092000,9802940000,8890274000,8772677000,9638224000,4590000000,4779000000,6635000000,3534000000,6280000000,7011000000,7761000000,8865000000,12282000000
16,EBITDA ratio,0.2530,0.2674,0.2691,0.2686,0.2791,0.2771,0.2797,0.2759,0.2887,0.2924,0.2958,0.3047,0.3095,0.3226,0.3206,0.3378,0.1874,0.2743,0.2545,0.2782,0.2677,0.1706,0.2441,0.2835,0.3186,0.2528,0.2258,0.2417,0.2101,0.2360,0.3252,0.1695,0.2293,0.2293,0.2433,0.2562,0.2851
17,Operating Income,737100000,878600000,1005700000,1102000000,1221200000,1406100000,1557000000,1526000000,1923966000,2144207000,2382904000,2617061000,2850426000,3117923000,3149375000,3400575000,1894032000,3530141000,3322532000,3898320000,4362268000,2042219000,4578545000,5693839000,6235741000,6087581000,5751948000,8084515000,2629000000,2599000000,2867000000,3185000000,1726000000,3650000000,4532000000,5357000000,8425000000
18,Operating Income ratio,0.2194,0.2307,0.2292,0.2232,0.2270,0.2283,0.2264,0.1943,0.2288,0.2342,0.2380,0.2376,0.2399,0.2499,0.2390,0.2474,0.1163,0.1996,0.1688,0.1981,0.1953,0.0909,0.1767,0.1928,0.2027,0.1731,0.1481,0.2028,0.1203,0.1284,0.1405,0.1527,0.0630,0.1194,0.1421,0.1548,0.1956
19,Total Other Income Expenses (Gains),-42600000,-59900000,-68500000,-46600000,-27000000,-55300000,-12800000,212800000,19264000,22483000,12415000,52489000,99520000,122676000,247513000,415832000,-10884000,143272000,411885000,227280000,257652000,234151000,-108897000,162447000,958033000,-374747000,-553306000,-1821901000,-108000000,-81000000,316000000,-1772000000,505000000,-777000000,-455000000,-389000000,-214000000
20,Income Before Tax,694500000,818700000,937200000,1055400000,1194200000,1350800000,1544200000,1738800000,1943230000,2166690000,2395319000,2669550000,2949946000,3240599000,3396888000,3816407000,1883148000,3673413000,3734417000,4125600000,4619920000,2276370000,4469648000,5856286000,7193774000,5712834000,5198642000,6262614000,2521000000,2518000000,3183000000,1413000000,2231000000,2873000000,4077000000,4968000000,8211000000
21,Income Before Tax Ratio,0.2067,0.2150,0.2136,0.2138,0.2220,0.2193,0.2246,0.2214,0.2311,0.2366,0.2392,0.2424,0.2482,0.2597,0.2578,0.2776,0.1156,0.2077,0.1898,0.2096,0.2068,0.1013,0.1725,0.1983,0.2338,0.1625,0.1338,0.1571,0.1154,0.1244,0.1560,0.0678,0.0815,0.0940,0.1278,0.1436,0.1906
22,Income Tax expense (Gain),229200000,278200000,304600000,303400000,334400000,385000000,455500000,499700000,544104000,650007000,706619000,787517000,855484000,907368000,951129000,1030430000,332758000,879710000,981184000,949764000,1247855000,559615000,863334000,1122070000,1447936000,1086662000,470193000,299694000,138000000,797000000,577000000,350000000,1878000000,539000000,390000000,497000000,1140000000
23,Net Income,465300000,540500000,632600000,752000000,859800000,965800000,1088800000,1239100000,1399126000,1516683000,1688700000,1882033000,2094462000,2333231000,2445759000,2785977000,1550390000,2793703000,2753233000,3235851000,3372065000,1716755000,3606314000,4880719000,5745838000,4626172000,4728449000,5962920000,2576000000,2284000000,4423000000,1400000000,477000000,2368000000,3687000000,4495000000,7071000000
24,Net Income ratio,0.1385,0.1420,0.1442,0.1523,0.1598,0.1568,0.1583,0.1578,0.1664,0.1656,0.1687,0.1709,0.1763,0.1870,0.1856,0.2027,0.0952,0.1580,0.1399,0.1644,0.1510,0.0764,0.1392,0.1653,0.1868,0.1315,0.1217,0.1495,0.1179,0.1128,0.2168,0.0671,0.0174,0.0774,0.1156,0.1299,0.1642
25,EPS,0.25,0.29,0.35,0.42,0.49,0.56,0.64,0.74,0.85,0.94,1.06,1.21,1.36,1.53,1.59,1.80,1.00,1.79,1.76,2.07,2.17,1.12,2.34,3.15,3.70,2.99,3.01,3.78,1.66,1.51,3.00,0.95,0.27,1.35,2.09,2.54,3.99
26,EPS Diluted,0.25,0.29,0.35,0.42,0.49,0.56,0.64,0.74,0.85,0.94,1.06,1.21,1.34,1.51,1.57,1.78,0.99,1.78,1.75,2.06,2.16,1.12,2.31,3.12,3.69,2.96,3.01,3.72,1.62,1.49,2.92,0.94,0.27,1.33,2.06,2.50,3.96
27,Weighted Average Shares Outstanding,1861200000,1863793103,1807428571,1790476190,1754693878,1724642857,1701250000,1674459459,1657976000,1624472000,1590724000,1561853112,1539746000,1522702000,1536762000,1548015000,1550408000,1560956000,1562815000,1560557000,1552457000,1529848000,1543082000,1543605000,1546493000,1546983948,1570378819,1576667492,1548098286,1508035434,1472665052,1472869205,1743602469,1755619422,1762503247,1771230274,1771230274
28,Weighted Average Shares Outstanding Diluted,1861200000,1863793103,1807428571,1790476190,1754693878,1724642857,1701250000,1674459459,1657976000,1624472000,1594642000,1565830000,1561462000,1545658000,1557655000,1565579000,1565963000,1573293000,1571869000,1570611000,1564103000,1536724000,1560057000,1560753000,1555000000,1556000000,1570378819,1592000000,1574000000,1527000000,1506000000,1483000000,1749000000,1770000000,1781000000,1786000000,1786000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205795001314/0000912057-95-001314-index.html,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205797008391/0000912057-97-008391-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746998009108/0001047469-98-009108-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746999008952/0001047469-99-008952-index.html,- -,https://www.sec.gov/Archives/edgar/data/1800/000091205701006039/0000912057-01-006039-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1800/000110465907013496/a07-1583_110k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746908001480/0001047469-08-001480-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746909001642/0001047469-09-001642-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746910001018/0001047469-10-001018-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746911001056/a2201962z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746912001216/0001047469-12-001216-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746913001180/0001047469-13-001180-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746914001176/a2218043z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746915001377/a2222655z10-k.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746916010246/0001047469-16-010246-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746917000744/0001047469-17-000744-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/0001047469-18-000856-index.html,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/0001047469-19-000624-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/0001104659-20-023904-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/0001104659-21-025751-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/0001104659-22-025141-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,437500000,481600000,519900000,582600000,13600000,34000000,60400000,116600000,300676000,290272000,281197000,110209000,230024000,308230000,608097000,914218000,657378000,704450000,995124000,1225628000,2893687000,521192000,2456384000,4112022000,8809339000,3648371000,6812820000,10802163000,3475000000,4063000000,5001000000,18620000000,9407000000,3844000000,3860000000,6838000000,9799000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,78149000,25056000,34500000,12875000,28986000,75087000,115199000,242500000,56162000,261677000,291297000,833334000,62406000,852243000,364443000,967603000,1122709000,1803079000,1284539000,4371821000,4623000000,397000000,1124000000,155000000,203000000,242000000,280000000,310000000,450000000
33,Cash and Short-Term Investments,437500000,481600000,519900000,582600000,13600000,34000000,60400000,116600000,378825000,315328000,315697000,123084000,259010000,383317000,723296000,1156718000,713540000,966127000,1286421000,2058962000,2956093000,1373435000,2820827000,5079625000,9932048000,5451450000,8097359000,15173984000,8098000000,4460000000,6125000000,18775000000,9610000000,4086000000,4140000000,7148000000,10249000000
34,Net Receivables,563300000,624900000,728000000,781800000,892700000,1070200000,1150900000,1244400000,1336222000,1468519000,1563038000,1708807000,1782326000,1950058000,2055839000,2179451000,2812727000,2927370000,3313377000,3696115000,3576794000,4231142000,4946876000,5465660000,6541941000,7184034000,7683920000,7612860000,3986000000,3586000000,3418000000,3248000000,5249000000,5182000000,5425000000,6414000000,6487000000
35,Inventory,463800000,524400000,612200000,611300000,696000000,777600000,815400000,863800000,940533000,1018191000,1110941000,1238205000,1279900000,1410609000,1495444000,1741331000,2212035000,2441302000,2738439000,2620463000,2541979000,2806421000,2951442000,2775849000,3264877000,3188734000,3284249000,3792313000,2693000000,2643000000,2599000000,2434000000,3601000000,3796000000,4316000000,5012000000,5157000000
36,Other Current Assets,215800000,258000000,295400000,377300000,500500000,579400000,864400000,1006900000,929955000,1074290000,1237035000,1410806000,1716972000,1809152000,2145175000,2298741000,2680887000,2786973000,2952178000,2358945000,2311162000,2870885000,3323588000,3721425000,3575025000,6493311000,4703246000,4743426000,4470000000,4572000000,2013000000,2319000000,1687000000,1568000000,1786000000,1867000000,2346000000
37,Total Current Assets,1680400000,1888900000,2155500000,2353000000,2102800000,2461200000,2891100000,3231700000,3585535000,3876328000,4226711000,4480902000,5038208000,5553136000,6419754000,7376241000,8419189000,9121772000,10290415000,10734485000,11386028000,11281883000,14042733000,17042559000,23313891000,22317529000,23768774000,31322583000,19247000000,15261000000,14155000000,26776000000,20147000000,14632000000,15667000000,20441000000,24239000000
38,PP&E,1368500000,1543300000,1741600000,1952600000,2090200000,2375800000,2662100000,3099200000,3510991000,3920850000,4249538000,4461543000,4569691000,4738843000,4770059000,4816911000,5551547000,5828122000,6281806000,6007874000,6003141000,6946435000,7518149000,7219166000,7619489000,7970956000,7873955000,8063047000,5905000000,5935000000,5730000000,5705000000,7607000000,7563000000,8038000000,9029000000,8959000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9449281000,10128841000,9987361000,13200174000,15930077000,15705380000,15774127000,9772000000,10067000000,9638000000,7683000000,24020000000,23254000000,23195000000,23744000000,23231000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979793000,1112126000,1349822000,1574851000,1555260000,7294320000,7651781000,8539290000,10856718000,9960894000,6403619000,5720478000,5151106000,6291989000,12151628000,9989636000,8588285000,5735000000,6198000000,5562000000,4539000000,21473000000,18942000000,17025000000,14784000000,12739000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979793000,1112126000,1349822000,1574851000,1555260000,7294320000,7651781000,8539290000,10856718000,9960894000,15852900000,15849319000,15138467000,19492163000,28081705000,25695016000,24362412000,15507000000,16265000000,15200000000,12222000000,45493000000,42196000000,40220000000,38528000000,35970000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073736000,1132866000,302049000,378225000,273595000,119000000,229000000,4041000000,2947000000,883000000,897000000,883000000,821000000,816000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1406648000,1197474000,952929000,- -,867081000,1178461000,1945276000,858214000,790027000,2560923000,3213307000,2109000000,1651000000,2119000000,2263000000,1944000000,1868000000,3079000000,3729000000,5212000000
44,Other Non-Current Assets,419500000,433400000,488600000,519500000,658600000,726200000,702100000,610300000,592043000,726546000,936331000,1203362000,1341043000,1574412000,1706380000,1534842000,2031367000,250779000,406357000,215488000,1791140000,1229873000,1125262000,- -,- -,- -,- -,- -,66000000,1934000000,2000000,2753000000,176000000,17000000,- -,- -,- -
45,Total Non-Current Assets,1788000000,1976700000,2230200000,2472100000,2748800000,3102000000,3364200000,3709500000,4103034000,4647396000,5185869000,6644698000,7022860000,7663077000,8051290000,7907013000,14877234000,15137330000,16424927000,18033009000,17755175000,24896289000,25671191000,25376645000,29102732000,37144737000,36508119000,35912361000,23706000000,26014000000,27092000000,25890000000,56103000000,52541000000,52220000000,52107000000,50957000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3468400000,3865600000,4385700000,4825100000,4851600000,5563200000,6255300000,6941200000,7688569000,8523724000,9412580000,11125600000,12061068000,13216213000,14471044000,15283254000,23296423000,24259102000,26715342000,28767494000,29141203000,36178172000,39713924000,42419204000,52416623000,59462266000,60276893000,67234944000,42953000000,41275000000,41247000000,52666000000,76250000000,67173000000,67887000000,72548000000,75196000000
48,Accounts Payable,- -,- -,- -,- -,309800000,351200000,522400000,597200000,638509000,671100000,755921000,923018000,1001058000,1056641000,1226854000,1355985000,1525215000,1661650000,1754367000,1054464000,1032516000,1175590000,1219529000,1351436000,1280542000,1535759000,1721127000,1796990000,1026000000,1064000000,1081000000,1178000000,2402000000,2975000000,3252000000,3946000000,4408000000
49,Short-Term Debt,122900000,591700000,606400000,493300000,300500000,663800000,544300000,916300000,843594000,772503000,1049863000,1383727000,1781352000,1759076000,896271000,479454000,2953335000,2148654000,2537357000,1992683000,2062010000,5401261000,2725915000,2731975000,5189620000,6394766000,3374755000,2390662000,3173000000,4437000000,3130000000,1325000000,714000000,207000000,1478000000,220000000,754000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805397000,442140000,1307723000,514947000,655424000,175000000,270000000,430000000,188000000,309000000,305000000,226000000,362000000,306000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,665600000,711800000,880400000,946400000,773300000,986100000,1162600000,1269000000,1612830000,2032263000,1984530000,2036972000,2252058000,2146409000,2393586000,2462101000,3448267000,3191898000,3347811000,3778497000,4320988000,5374344000,5157834000,7508497000,6579327000,9331909000,10384346000,9092524000,5308000000,5031000000,4975000000,4157000000,5796000000,5830000000,6133000000,7741000000,7943000000
53,Total Current Liabilities,788500000,1303500000,1486800000,1439700000,1383600000,2001100000,2229300000,2782500000,3094933000,3475866000,3790314000,4343717000,5034468000,4962126000,4516711000,4297540000,7926817000,7002202000,7639535000,6825644000,7415514000,11951195000,9103278000,11591908000,13049489000,17262434000,15480228000,13280176000,9507000000,10532000000,9186000000,6660000000,8912000000,9012000000,10863000000,11907000000,13105000000
54,Long-Term Debt,443000000,297400000,271000000,349300000,146700000,134800000,125100000,110000000,306840000,287091000,435198000,932898000,937983000,1339694000,1336789000,1076368000,4335493000,4273973000,3452329000,4787934000,4571504000,7009664000,9487789000,8713327000,11266294000,12523517000,12039822000,18085302000,3388000000,3408000000,5871000000,20681000000,27210000000,19359000000,16661000000,19429000000,18252000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,252100000,345500000,365400000,398600000,438800000,409100000,347200000,321300000,51383000,55597000,67993000,153279000,136514000,108964000,23779000,- -,- -,- -,- -,220079000,583077000,- -,- -,- -,- -,- -,- -,710000000,466000000,860000000,808000000,356000000,2006000000,2056000000,1546000000,1406000000,1392000000
57,Other Non-Current Liabilities,114100000,140300000,169000000,172900000,156100000,184600000,350700000,379800000,560484000,655770000,722228000,875524000,953426000,1091768000,1166170000,1338440000,1974681000,2318374000,2551220000,2608054000,2155837000,3163127000,3344317000,4634418000,5202111000,7199851000,8230698000,8346234000,4325000000,4836000000,4056000000,4252000000,7024000000,6024000000,7516000000,6803000000,6423000000
58,Total Non-Current Liabilities,809200000,783200000,805400000,920800000,741600000,728500000,823000000,811100000,918707000,998458000,1225419000,1961701000,2027923000,2540426000,2526738000,2414808000,6310174000,6592347000,6003549000,7616067000,7310418000,10172791000,12832106000,13347745000,16468405000,19723368000,20270520000,27141536000,8179000000,9104000000,10735000000,25289000000,36240000000,27439000000,25723000000,27638000000,26067000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755000000,902000000,956000000
61,Total Liabilities,1597700000,2086700000,2292200000,2360500000,2125200000,2729600000,3052300000,3593600000,4013640000,4474324000,5015733000,6305418000,7062391000,7502552000,7043449000,6712348000,14236991000,13594549000,13643084000,14441711000,14725932000,22123986000,21935384000,24939653000,29517894000,36985802000,35750748000,40421712000,17686000000,19636000000,19921000000,31949000000,45152000000,36451000000,36586000000,39545000000,39172000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,469828000,505170000,581562000,694380000,907106000,1231079000,1939673000,2218234000,2643443000,2891266000,3034054000,3239575000,3523766000,- -,- -,- -,- -,- -,- -,11754552000,12048000000,12383000000,12734000000,13027000000,23206000000,23512000000,23853000000,24145000000,24470000000
64,Retained Earnings,1844200000,1702500000,1926800000,2266000000,2532800000,2528000000,2867900000,2990700000,3364952000,3652434000,3926917000,4262804000,4427997000,4554648000,6174007000,7229586000,7281395000,8601386000,9691484000,10033440000,10404568000,9568728000,10805809000,13825383000,17054027000,18927101000,20907362000,24150996000,21979000000,22874000000,25757000000,25565000000,23978000000,24560000000,25847000000,27627000000,31528000000
65,Other Comprehensive Income/Loss,-707100000,-881800000,-1118000000,-1337100000,-1536600000,-1881800000,-2123100000,-2397900000,-2710155000,-3132754000,-3512904000,-3908740000,-4220466000,-4657393000,-5027508000,-5310987000,-5673858000,-596254000,576416000,1273622000,699192000,389766000,2081763000,-1163839000,854074000,-1366846000,-2597185000,-3593678000,-2012000000,-5053000000,-6658000000,-7263000000,-6062000000,-7586000000,-8465000000,-8946000000,-8374000000
66,Other Total Stockholders Equity,733600000,958200000,1284700000,1535700000,1730200000,2187400000,2458200000,2754800000,2550304000,3024550000,3401272000,3771738000,3884040000,4585327000,4341423000,4434073000,4808452000,-231845000,-229696000,-220854000,-212255000,4095458000,4890731000,4818168000,4990702000,4916363000,6215783000,-5590909000,-6844000000,-8678000000,-10622000000,-10791000000,-10225000000,-9962000000,-10147000000,-10042000000,-11822000000
67,Total Stockholders Equity,1870700000,1778900000,2093500000,2464600000,2726400000,2833600000,3203000000,3347600000,3674929000,4049400000,4396847000,4820182000,4998677000,5713661000,7427595000,8570906000,9059432000,10664553000,13072258000,14325783000,14415271000,14054186000,17778540000,17479551000,22855627000,22388135000,24439833000,26720961000,25171000000,21526000000,21211000000,20538000000,30897000000,30524000000,31088000000,32784000000,35802000000
68,Total Liabilities And Stockholders Equity,3468400000,3865600000,4385700000,4825100000,4851600000,5563200000,6255300000,6941200000,7688569000,8523724000,9412580000,11125600000,12061068000,13216213000,14471044000,15283254000,23296423000,24259102000,26715342000,28767494000,29141203000,36178172000,39713924000,42419204000,52373521000,59373937000,60190581000,67142673000,42857000000,41162000000,41132000000,52487000000,76049000000,66975000000,67674000000,72329000000,74974000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43102000,88329000,86312000,92271000,96000000,113000000,115000000,179000000,201000000,198000000,213000000,219000000,222000000
70,Total Liabilities & Equity,3468400000,3865600000,4385700000,4825100000,4851600000,5563200000,6255300000,6941200000,7688569000,8523724000,9412580000,11125600000,12061068000,13216213000,14471044000,15283254000,23296423000,24259102000,26715342000,28767494000,29141203000,36178172000,39713924000,42419204000,52416623000,59462266000,60276893000,67234944000,42953000000,41275000000,41247000000,52666000000,76250000000,67173000000,67887000000,72548000000,75196000000
