,https://roic.ai/company/DLX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,228200000,265100000,311900000,423500000,486500000,517900000,560300000,575800000,691800000,798800000,917200000,907400000,894900000,858200000,691100000,602715000,522619000,503258000,497255000,683154000,803094000,828076000,752261000,669573000,616496000,624303000,640307000,680460000,691359000,719192000,774859000,805970000,828832000,854000000,891693000,841658000,941000000
11,COGS and Expenses,584300000,651700000,738100000,969200000,1072000000,1139000000,1186500000,1212200000,1349900000,1514200000,1674200000,1696600000,1680800000,1685200000,1348400000,985402000,976437000,939052000,923220000,1219103000,1411455000,1441355000,1338822000,1236086000,1121278000,1112722000,1133709000,1204835000,1252475000,1325470000,1414068000,1473211000,1570922000,1645748000,1704628000,1572429000,1825300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50421000,46280000,44165000,47797000,46847000,38301000,36529000,20299000,22302000,21359000,27112000,34682000,23140000,55600000
14,Depreciation and Amortization,25600000,28500000,30400000,38100000,67300000,74000000,75900000,66600000,72300000,86400000,103300000,106700000,97300000,85800000,83900000,68570000,73982000,58205000,85668000,128384000,143079000,121446000,96080000,90578000,67765000,73915000,73343000,65652000,64473000,65842000,76700000,91583000,122652000,131100000,126036000,110792000,148800000
15,EBITDA,217500000,251500000,267000000,264800000,313600000,356500000,371400000,391400000,308300000,327300000,265200000,225500000,212500000,332300000,408500000,334463000,371516000,398927000,385050000,444600000,393371000,264383000,313734000,296937000,269066000,353258000,337224000,363252000,383833000,399552000,424946000,454271000,456838000,370843000,-24912000,164420000,298000000
16,EBITDA ratio,0.2845,0.2901,0.2816,0.2214,0.2383,0.2522,0.2519,0.2551,0.1949,0.1873,0.1427,0.1190,0.1107,0.1720,0.2475,0.2649,0.2906,0.3107,0.3100,0.2837,0.2292,0.1612,0.1953,0.2022,0.2002,0.2519,0.2379,0.2398,0.2422,0.2387,0.2397,0.2457,0.2324,0.1856,-0.0124,0.0918,0.1474
17,Operating Income,180100000,215100000,209900000,226800000,243800000,274600000,288000000,322200000,231900000,233700000,183800000,199100000,238600000,246600000,302100000,277310000,301938000,344931000,318921000,347912000,304839000,198299000,267545000,209234000,190589000,281544000,271058000,302028000,317914000,332633000,354331000,368727000,331192000,231221000,-158141000,44505000,142154000
18,Operating Income ratio,0.2356,0.2482,0.2214,0.1896,0.1853,0.1943,0.1953,0.2100,0.1466,0.1337,0.0989,0.1050,0.1243,0.1277,0.1830,0.2196,0.2362,0.2686,0.2568,0.2220,0.1776,0.1209,0.1666,0.1425,0.1418,0.2008,0.1912,0.1994,0.2006,0.1987,0.1999,0.1994,0.1685,0.1157,-0.0787,0.0249,0.0703
19,Total Other Income Expenses (Gains),11800000,7900000,26700000,-100000,2500000,7900000,7500000,2600000,4100000,7200000,-14500000,-80300000,-123400000,-100000,22500000,-3881000,-4404000,-4209000,-19541000,-31039000,-54105000,-55758000,-49891000,-49058000,-35568000,-45595000,-54974000,-51275000,-36855000,-35452000,-26384000,-28341000,-18365000,-18590000,-27489000,-13926000,-48354000
20,Income Before Tax,191900000,223000000,236600000,226700000,246300000,282500000,295500000,324800000,236000000,240900000,169300000,118800000,115200000,246500000,324600000,273429000,297534000,340722000,299380000,316873000,250734000,142541000,217654000,160176000,155021000,235949000,216084000,250753000,281059000,297181000,327947000,340386000,312827000,212631000,-185630000,30579000,93800000
21,Income Before Tax Ratio,0.2510,0.2573,0.2496,0.1895,0.1872,0.1998,0.2004,0.2117,0.1492,0.1378,0.0911,0.0627,0.0600,0.1276,0.1967,0.2165,0.2327,0.2654,0.2410,0.2022,0.1461,0.0869,0.1355,0.1091,0.1153,0.1683,0.1524,0.1655,0.1773,0.1775,0.1850,0.1841,0.1592,0.1064,-0.0924,0.0171,0.0464
22,Income Tax expense (Gain),87700000,101900000,88100000,83300000,93700000,110300000,112600000,122000000,94100000,100000000,74900000,53300000,70500000,101100000,121600000,103957000,111634000,126448000,106908000,118225000,92771000,41983000,74139000,54304000,55656000,82554000,71489000,80261000,94407000,97387000,109318000,111004000,82672000,63001000,14267000,21680000,31000000
23,Net Income,104200000,121100000,148500000,143400000,152600000,172200000,182900000,202800000,141900000,140900000,87000000,65500000,44700000,145400000,203000000,161936000,185900000,214274000,192474000,197991000,157521000,100954000,143515000,101634000,99365000,152624000,144595000,170492000,186652000,199794000,218629000,229382000,230155000,149630000,-199897000,8808000,62600000
24,Net Income ratio,0.1363,0.1397,0.1566,0.1199,0.1160,0.1218,0.1240,0.1322,0.0897,0.0806,0.0468,0.0346,0.0233,0.0753,0.1230,0.1282,0.1454,0.1669,0.1550,0.1263,0.0918,0.0616,0.0893,0.0692,0.0739,0.1088,0.1020,0.1125,0.1178,0.1193,0.1233,0.1241,0.1171,0.0749,-0.0995,0.0049,0.0310
25,EPS,1.22,1.42,1.74,1.68,1.79,2.03,2.18,2.42,1.71,1.71,1.06,0.80,0.55,1.80,2.65,2.24,2.72,3.41,3.53,3.95,3.11,1.98,2.79,1.99,1.94,2.97,2.85,3.37,3.71,4.02,4.46,4.73,4.80,3.49,-4.75,0.21,1.49
26,EPS Diluted,1.22,1.42,1.74,1.68,1.79,2.03,2.18,2.41,1.71,1.71,1.06,0.80,0.55,1.80,2.64,2.24,2.69,3.36,3.49,3.92,3.09,1.96,2.76,1.97,1.94,2.96,2.80,3.32,3.65,3.96,1.20,4.65,4.72,3.32,-4.75,0.19,1.49
27,Weighted Average Shares Outstanding,85409836,85281690,85344828,85357143,85251397,84827586,83899083,83801653,82982456,82397661,82075472,81875000,81272727,80777778,76603774,72292857,68345588,62836950,54525212,50124304,50649839,50986869,51439068,50974000,50812000,51123000,50826000,50614000,50344000,49742000,49019000,48546000,47953000,44647000,42126000,41973000,42700000
28,Weighted Average Shares Outstanding Diluted,85409836,85281690,85344828,85357143,85251397,84827586,83899083,84149378,82982456,82704918,82212389,82272727,81272727,80777778,76893939,72292857,69107807,63772024,55150143,50507908,50977670,51507143,51998188,51400000,50900000,51325000,51400000,51100000,51000000,50300000,49800000,49000000,48400000,47000000,43000000,42100000,43100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27996/000089710197000381/0000897101-97-000381-index.html,- -,https://www.sec.gov/Archives/edgar/data/27996/000089710199000319/0000897101-99-000319-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/27996/000104596902000507/0001045969-02-000507-index.html,https://www.sec.gov/Archives/edgar/data/27996/000089710103000235/deluxe031250_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710104000509/deluxe040989_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710105000730/deluxe050979_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710106000492/deluxe060594_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710107000382/deluxe070505_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000095013708002616/c23618e10vk.htm,https://www.sec.gov/Archives/edgar/data/27996/000095013709001188/0000950137-09-001188-index.html,https://www.sec.gov/Archives/edgar/data/27996/000095012310014487/0000950123-10-014487-index.html,https://www.sec.gov/Archives/edgar/data/27996/000114036111011194/form10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000114036112010738/0001140361-12-010738-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799613000005/0000027996-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799614000013/a2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799615000005/a2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799616000050/0000027996-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799617000028/0000027996-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799618000034/0000027996-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799619000036/0000027996-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799620000022/0000027996-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799621000033/0000027996-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799622000078/0000027996-22-000078-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,133500000,169400000,158800000,22000000,3500000,4500000,224400000,275200000,114100000,29100000,13700000,142600000,171400000,268900000,140500000,69762000,9571000,124855000,2968000,15492000,6867000,11599000,21615000,15590000,12789000,17383000,28687000,45435000,121089000,61541000,62427000,76574000,59240000,59740000,73620000,123122000,41200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25700000,18458000,- -,- -,- -,- -,- -,- -,- -,- -,- -,35720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,45919000,- -
33,Cash and Short-Term Investments,133500000,169400000,158800000,22000000,3500000,4500000,224400000,275200000,114100000,29100000,13700000,142600000,171400000,268900000,166200000,88220000,9571000,124855000,2968000,15492000,6867000,11599000,21615000,15590000,12789000,53103000,28687000,45435000,121089000,61541000,62427000,76574000,59240000,59740000,73620000,169041000,41200000
34,Net Receivables,97000000,107100000,101100000,110200000,126800000,125100000,111700000,118700000,123100000,142100000,169300000,145500000,151200000,145100000,115800000,46332000,37703000,32925000,37066000,110529000,105238000,103014000,85687000,68572000,65564000,66471000,69023000,70387000,88049000,113656000,123654000,152649000,149844000,204320000,196211000,179576000,- -
35,Inventory,27600000,33300000,54100000,62500000,62900000,55900000,52200000,65100000,69400000,88200000,75900000,67500000,67000000,17400000,26600000,10560000,11192000,20287000,18652000,38890000,41028000,42854000,32279000,25791000,22122000,21660000,22043000,23291000,28966000,39411000,41956000,40182000,42249000,46441000,39921000,40130000,- -
36,Other Current Assets,9000000,12700000,23300000,25200000,69500000,158800000,150700000,152200000,215800000,161500000,122200000,93900000,123000000,187800000,110100000,63656000,25506000,21579000,20242000,75475000,60805000,44650000,52364000,57133000,59024000,30003000,72822000,80630000,81209000,104282000,97951000,128825000,141633000,139545000,162459000,117884000,579300000
37,Total Current Assets,267100000,322500000,337300000,219900000,262700000,344300000,539000000,611200000,522400000,420900000,381100000,449500000,512600000,619200000,418700000,208768000,83972000,199646000,78928000,240386000,213938000,202117000,191945000,167086000,159499000,171237000,192575000,219743000,319313000,318890000,325988000,398230000,392966000,450046000,472211000,506631000,620500000
38,PP&E,187900000,203300000,267800000,302000000,345900000,356100000,373200000,389000000,401600000,461800000,494200000,446900000,415000000,344600000,294800000,173956000,151069000,140042000,123615000,158162000,152968000,142247000,139245000,128105000,121797000,120221000,113411000,104189000,101343000,87623000,85732000,86896000,84638000,90342000,140839000,124586000,190500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590543000,585294000,653044000,658666000,725937000,776998000,789636000,822777000,868376000,976415000,1105956000,1130934000,1160626000,804487000,736844000,1430100000
40,Intangible Assets,- -,87700000,205800000,201300000,185300000,181800000,166200000,178400000,293200000,328500000,371700000,220900000,167800000,194000000,209300000,222798000,197093000,188213000,160398000,877924000,839127000,178537000,148487000,154081000,145910000,155112000,157339000,150717000,153576000,207180000,285311000,409781000,384266000,359965000,276122000,246760000,504400000
41,Intangible Assets,- -,87700000,205800000,201300000,185300000,181800000,166200000,178400000,293200000,328500000,371700000,220900000,167800000,194000000,209300000,222798000,197093000,188213000,160398000,877924000,839127000,769080000,733781000,807125000,804576000,881049000,934337000,940353000,976353000,1075556000,1261726000,1515737000,1515200000,1520591000,1080609000,983604000,1934500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,36000000,36000000,36794000,39200000,37410000,45147000,46898000,44451000,46451000,41691000,42240000,42607000,43773000,44995000,45919000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1662000,1851000,1411000,1238000,1605000,1428000,2886000,3907000,5444000,- -
44,Other Non-Current Assets,65700000,47500000,55400000,62900000,53100000,41700000,20700000,21000000,34800000,45100000,48100000,59100000,53000000,45200000,69800000,43947000,105587000,141072000,200019000,222607000,170842000,117688000,109784000,79875000,86138000,98774000,103339000,99595000,126218000,158460000,128027000,139630000,171988000,197458000,200750000,208679000,328900000
45,Total Non-Current Assets,253600000,338500000,529000000,566200000,584300000,579600000,560100000,588400000,729600000,835400000,914000000,726900000,635800000,583800000,573900000,440701000,453749000,469327000,484032000,1258693000,1211937000,1065015000,1018810000,1051899000,1051711000,1137454000,1196234000,1192697000,1250216000,1369501000,1518414000,1786108000,1815861000,1855050000,1471100000,1368232000,2453900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,520700000,661000000,866300000,786100000,847000000,923900000,1099100000,1199600000,1252000000,1256300000,1295100000,1176400000,1148400000,1203000000,992600000,649469000,537721000,668973000,562960000,1499079000,1425875000,1267132000,1210755000,1218985000,1211210000,1308691000,1388809000,1412440000,1569529000,1688391000,1844402000,2184338000,2208827000,2305096000,1943311000,1874863000,3074400000
48,Accounts Payable,- -,- -,- -,- -,33600000,38500000,36900000,42700000,50400000,65000000,75600000,63800000,73500000,53600000,60900000,32191000,52834000,57857000,46694000,72984000,88178000,78489000,78871000,61598000,60640000,60478000,64694000,65107000,71492000,87216000,87575000,106793000,104477000,106978000,112198000,116990000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,57600000,23600000,7100000,7300000,67500000,100672000,151381000,1610000,214324000,290359000,263705000,439191000,68954000,79440000,26000000,7000000,85575000,- -,255589000,160911000,435045000,35842000,44040000,791000,12898000,11589000,57200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19708000,17827000,7991000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3820000,16897000,48514000,48119000,48049000,47021000,54313000,46098000,42104000,- -
52,Other Current Liabilities,100300000,178700000,315100000,167200000,134200000,160800000,171100000,181700000,247500000,209800000,235600000,254000000,301000000,390500000,276300000,172310000,162909000,155312000,126821000,207855000,139202000,146823000,149763000,142599000,156408000,144034000,150098000,151183000,146093000,170607000,180304000,225000000,230232000,229968000,236753000,241137000,626200000
53,Total Current Liabilities,100300000,178700000,315100000,167200000,167800000,199300000,208000000,224400000,297900000,290500000,368800000,341400000,381600000,451400000,404700000,305173000,367124000,214779000,387839000,571198000,491085000,664503000,297588000,283637000,243048000,211512000,300367000,220110000,490071000,467248000,751043000,415684000,425770000,392050000,407947000,411820000,683400000
54,Long-Term Debt,13000000,14200000,12900000,10900000,10200000,11900000,110600000,115500000,110800000,110900000,111000000,109000000,110000000,106300000,115500000,10201000,10084000,306589000,380620000,953848000,902805000,576590000,775086000,773896000,742753000,748122000,656131000,652581000,383761000,391933000,195158000,722010000,664154000,910000000,883500000,840000000,1682200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4945000,- -,- -,- -,29855000,21658000,12513000,- -,- -,- -
56,Deferred Tax Liabilities,42000000,44000000,38300000,33100000,32900000,32900000,29600000,27900000,40900000,40600000,34900000,13200000,6000000,36000000,46300000,60712000,44890000,54453000,42654000,82489000,68707000,16315000,10194000,9491000,24800000,46752000,49807000,75147000,82814000,95838000,81076000,85172000,50543000,46680000,14898000,10643000,- -
57,Other Non-Current Liabilities,11300000,11000000,9200000,7200000,5500000,4000000,2900000,2000000,1200000,-100000,- -,-100000,40600000,400000,8800000,10575000,37018000,28836000,49930000,70035000,45304000,75397000,86780000,98895000,83399000,76107000,79815000,26722000,62426000,85875000,72056000,50647000,31689000,28440000,66105000,71562000,134200000
58,Total Non-Current Liabilities,66300000,69200000,60400000,51200000,48600000,48800000,143100000,145400000,152900000,151400000,145900000,122100000,156600000,142700000,170600000,81488000,91992000,389878000,473204000,1106372000,1016816000,668302000,872060000,882282000,850952000,870981000,785753000,759395000,529001000,573646000,348290000,887684000,768044000,997633000,964503000,922205000,1816400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1354000,2379000,2109000,1685000,1914000,1864000,46483000,39933000,56400000
61,Total Liabilities,166600000,247900000,375500000,218400000,216400000,248100000,351100000,369800000,450800000,441900000,514700000,463500000,538200000,594100000,575300000,386661000,459116000,604657000,861043000,1677570000,1507901000,1332805000,1169648000,1165919000,1094000000,1082493000,1086120000,979505000,1019072000,1040894000,1099333000,1303368000,1193814000,1389683000,1372450000,1334025000,2499800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,72555000,64102000,61446000,50173000,50266000,50735000,51519000,51887000,51131000,51189000,51338000,50826000,50614000,50344000,49742000,49019000,48546000,47953000,44647000,42126000,41973000,- -
64,Retained Earnings,311300000,327900000,405800000,475700000,544700000,591700000,664000000,744800000,719000000,732200000,697000000,631200000,525300000,522100000,346600000,146243000,14563000,5380000,-345950000,-235651000,-159401000,-125420000,-37530000,12682000,60768000,161957000,255426000,375000000,510941000,629335000,751253000,882795000,1004657000,927345000,572596000,522599000,- -
65,Other Comprehensive Income/Loss,-160300000,-178300000,-200500000,-225500000,-254600000,-283900000,-314200000,-340800000,-378300000,-407900000,-446700000,-458100000,-475100000,-424400000,-359800000,-295812000,-293413000,-2510000,-2306000,-13867000,-11224000,-41873000,-39046000,-64954000,-52818000,-50012000,-59401000,-40647000,-33424000,-36338000,-55203000,-50371000,-37597000,-56579000,-47947000,-41433000,-31492000
66,Other Total Stockholders Equity,203100000,263500000,285500000,317500000,340500000,368000000,398200000,425800000,460500000,490100000,530100000,539800000,560000000,511200000,358500000,339822000,293353000,- -,- -,20761000,37864000,50101000,65796000,54207000,58071000,62915000,55838000,47968000,22596000,4758000,- -,- -,- -,- -,4086000,17558000,- -
67,Total Stockholders Equity,354100000,413100000,490800000,567700000,630600000,675800000,748000000,829800000,801200000,814400000,780400000,712900000,610200000,608900000,417300000,262808000,78605000,64316000,-298083000,-178491000,-82026000,-65673000,41107000,53066000,117210000,226198000,302689000,432935000,550457000,647497000,745069000,880970000,1015013000,915413000,570861000,540697000,574600000
68,Total Liabilities And Stockholders Equity,520700000,661000000,866300000,786100000,847000000,923900000,1099100000,1199600000,1252000000,1256300000,1295100000,1176400000,1148400000,1203000000,992600000,649469000,537721000,668973000,562960000,1499079000,1425875000,1267132000,1210755000,1218985000,1211210000,1308691000,1388809000,1412440000,1569529000,1688391000,1844402000,2184338000,2208827000,2305096000,1943311000,1874722000,3074400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,- -
70,Total Liabilities & Equity,520700000,661000000,866300000,786100000,847000000,923900000,1099100000,1199600000,1252000000,1256300000,1295100000,1176400000,1148400000,1203000000,992600000,649469000,537721000,668973000,562960000,1499079000,1425875000,1267132000,1210755000,1218985000,1211210000,1308691000,1388809000,1412440000,1569529000,1688391000,1844402000,2184338000,2208827000,2305096000,1943311000,1874863000,3074400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27996/000089710197000381/0000897101-97-000381-index.html,- -,https://www.sec.gov/Archives/edgar/data/27996/000089710199000319/0000897101-99-000319-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/27996/000104596902000507/0001045969-02-000507-index.html,https://www.sec.gov/Archives/edgar/data/27996/000089710103000235/deluxe031250_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710104000509/deluxe040989_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710105000730/deluxe050979_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710106000492/deluxe060594_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000089710107000382/deluxe070505_10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000095013708002616/c23618e10vk.htm,https://www.sec.gov/Archives/edgar/data/27996/000095013709001188/0000950137-09-001188-index.html,https://www.sec.gov/Archives/edgar/data/27996/000095012310014487/0000950123-10-014487-index.html,https://www.sec.gov/Archives/edgar/data/27996/000114036111011194/form10k.htm,https://www.sec.gov/Archives/edgar/data/27996/000114036112010738/0001140361-12-010738-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799613000005/0000027996-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799614000013/a2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799615000005/a2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799616000050/0000027996-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799617000028/0000027996-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799618000034/0000027996-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799619000036/0000027996-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799620000022/0000027996-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/27996/000002799621000033/0000027996-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/27996/000002799622000078/0000027996-22-000078-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,152600000,172200000,182900000,202800000,141900000,140900000,87000000,65500000,44700000,145400000,203000000,161936000,185900000,214274000,192474000,197991000,157521000,100954000,143515000,101634000,99365000,152624000,144595000,170492000,186652000,199794000,218629000,229382000,230155000,149630000,-199897000,8808000,62600000
74,Depreciation and Amortization,- -,- -,- -,- -,67300000,74000000,75900000,66600000,72300000,86400000,103300000,106700000,97300000,85800000,83900000,68570000,73982000,58205000,85668000,128384000,143079000,121446000,96080000,90578000,67765000,73915000,73343000,65652000,64473000,65842000,76700000,91583000,122652000,131100000,126036000,110792000,148800000
75,Deferred Income Tax,- -,- -,- -,- -,5500000,-7200000,-5000000,-2700000,-16100000,4700000,-9200000,-20700000,-25700000,13400000,63900000,9490000,-3441000,11104000,-7494000,-2654000,-11923000,-37375000,5280000,-790000,12039000,20362000,9350000,6270000,-2243000,-7413000,-3256000,1886000,-39177000,-11356000,-34950000,-5244000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9683000,6663000,6150000,5733000,7292000,7562000,9776000,11894000,12459000,15109000,13378000,19702000,21824000,- -
