,https://roic.ai/company/GLT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,222400000,224300000,337700000,442600000,466200000,488700000,453800000,457000000,443800000,464900000,518500000,470000000,494900000,627200000,612230000,651468000,564222000,483498000,502000000,429708000,517452000,966725000,1038915000,1174861000,1036937000,1401395000,1531176000,1492729000,1640975000,1708423000,1591489000,1583029000,1538307000,847600000,875098000,868674000,1061149000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1886000,808000,666000,460000,310000,159000,283000,206000,237000,559000,1123000,399000,73000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19220000,25547000,31794000,18694000,17965000,18921000,17464000,15822000,17772000,15609000,10408000,7022000,12353000
14,Depreciation and Amortization,11400000,11900000,19000000,23200000,27200000,30000000,30700000,31900000,38100000,42900000,32600000,33600000,35800000,47700000,47766000,46106000,44988000,45190000,56029000,51598000,50647000,50021000,56001000,60611000,- -,- -,69313000,- -,- -,- -,- -,- -,- -,- -,- -,56600000,61421000
15,EBITDA,83100000,90100000,115200000,159100000,177000000,174500000,153800000,122600000,69300000,-149900000,140200000,131500000,109400000,106400000,112918000,114709000,56708000,104255000,76120000,142361000,110787000,27793000,149935000,141637000,162366000,59076000,151952000,97635000,87166000,106304000,96040000,26628000,57107000,-154272000,-20375000,96496000,87667000
16,EBITDA ratio,0.2999,0.3164,0.2719,0.2795,0.2956,0.2790,0.2709,0.2270,0.1464,-0.3134,0.2248,0.2323,0.1929,0.1509,0.1659,0.1563,0.0869,0.1883,0.1401,0.2572,0.1880,0.0279,0.1295,0.1112,0.1356,0.0403,0.0942,0.0616,0.0505,0.0587,0.0576,0.0165,0.0358,-0.1781,-0.0220,0.1053,0.0808
17,Operating Income,54700000,60500000,86000000,126700000,132600000,136700000,114000000,83100000,29700000,13400000,105200000,96100000,72200000,77900000,68330000,82495000,88317000,70139000,34250000,103394000,70183000,94000,118818000,99209000,160405000,64589000,85272000,101874000,86519000,106780000,96372000,27693000,58090000,21942000,54635000,49156000,28614000
18,Operating Income ratio,0.1974,0.2124,0.2030,0.2226,0.2214,0.2186,0.2008,0.1539,0.0627,0.0280,0.1687,0.1698,0.1273,0.1105,0.1004,0.1124,0.1353,0.1267,0.0630,0.1868,0.1191,0.0001,0.1026,0.0779,0.1340,0.0441,0.0529,0.0643,0.0501,0.0590,0.0578,0.0172,0.0364,0.0253,0.0589,0.0536,0.0264
19,Total Other Income Expenses (Gains),17000000,17700000,10200000,9200000,17200000,7800000,9100000,7600000,5700000,-206200000,2400000,1800000,1400000,-19200000,-3178000,-13892000,-76597000,-11074000,-13834000,-12631000,-10043000,-22322000,-24884000,-18183000,-17259000,-31060000,-34427000,-22933000,-17318000,-19397000,-17796000,-16887000,-18755000,-14667000,-89088000,-16797000,-14937000
20,Income Before Tax,71700000,78200000,96200000,135900000,149800000,144500000,123100000,90700000,35400000,-192800000,107600000,97900000,73600000,58700000,65152000,68603000,11720000,59065000,20416000,90763000,60140000,-22228000,93934000,81026000,143146000,33529000,50845000,78941000,69201000,87383000,78576000,10806000,39335000,7275000,-34453000,32359000,13677000
21,Income Before Tax Ratio,0.2588,0.2746,0.2270,0.2387,0.2502,0.2311,0.2168,0.1679,0.0748,-0.4031,0.1725,0.1729,0.1298,0.0833,0.0957,0.0935,0.0180,0.1067,0.0376,0.1640,0.1021,-0.0223,0.0811,0.0636,0.1196,0.0229,0.0315,0.0498,0.0401,0.0483,0.0471,0.0067,0.0246,0.0084,-0.0371,0.0353,0.0126
22,Income Tax expense (Gain),32000000,36700000,41200000,53700000,56900000,56200000,47100000,34200000,15000000,-74500000,41800000,37500000,28300000,22600000,23727000,24603000,4762000,21470000,7430000,34661000,21531000,-9992000,30462000,23138000,19704000,-20905000,8151000,19562000,2043000,18137000,14001000,-10748000,31421000,7723000,-9242000,11576000,6956000
23,Net Income,39700000,41500000,55000000,82200000,92900000,88300000,76000000,56500000,16200000,-118300000,65800000,60400000,45300000,36100000,41425000,44000000,6958000,37595000,12661000,56102000,38609000,-12236000,63472000,57888000,123442000,54434000,42694000,59379000,67158000,69246000,64575000,21554000,7914000,-177604000,-21541000,21298000,6937000
24,Net Income ratio,0.1433,0.1457,0.1298,0.1444,0.1551,0.1412,0.1338,0.1046,0.0342,-0.2473,0.1055,0.1067,0.0799,0.0512,0.0609,0.0599,0.0107,0.0679,0.0233,0.1014,0.0655,-0.0123,0.0548,0.0455,0.1031,0.0371,0.0265,0.0375,0.0389,0.0383,0.0387,0.0134,0.0050,-0.2050,-0.0232,0.0232,0.0064
25,EPS,0.20,0.41,0.56,0.85,0.97,0.95,0.84,1.28,0.36,-2.67,1.49,1.41,1.07,0.86,0.98,1.04,0.16,0.87,0.29,1.28,0.88,-0.27,1.41,1.28,2.70,1.19,0.94,1.39,1.56,1.60,1.49,0.49,0.18,-4.06,-0.49,0.48,0.16
26,EPS Diluted,0.20,0.41,0.56,0.85,0.96,0.94,0.83,1.27,0.36,-2.67,1.49,1.41,1.07,0.86,0.98,1.04,0.16,0.86,0.29,1.27,0.87,-0.27,1.40,1.27,2.70,1.17,0.93,1.36,1.52,1.57,1.47,0.49,0.18,-4.06,-0.49,0.48,0.15
27,Weighted Average Shares Outstanding,50884000,49228000,48472000,48022000,46976000,45174000,44630000,44140625,45000000,44307116,44161074,42836879,42336449,41976744,42270408,42307692,43487500,43212644,43658621,43829688,43873864,44584000,45035000,45247000,45678000,45922000,45228000,42851000,43158000,43201000,43397000,43558000,43609000,43768000,44132000,44339000,44551000
28,Weighted Average Shares Outstanding Diluted,50884000,49228000,48472000,48022000,46976000,45174000,44630000,44488189,45000000,45000000,44181818,43069307,42336449,41976744,42343750,42307692,43487500,43715116,43658621,44174803,44378161,44584000,45422000,45572000,45774000,46374000,45794000,43672000,44299000,44066000,43942000,44129000,44439000,43768000,44132000,44614000,44924000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322095000198/0000893220-95-000198-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322096000452/0000893220-96-000452-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322097000640/0000893220-97-000640-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322001000284/0000893220-01-000284-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322002000325/0000893220-02-000325-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322005000600/w06428e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322006000522/w18389e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322007000775/w31558e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322008000703/w47335e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322009000541/0000893220-09-000541-index.html,https://www.sec.gov/Archives/edgar/data/41719/000095012310025244/0000950123-10-025244-index.html,https://www.sec.gov/Archives/edgar/data/41719/000095012311024824/w81919e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/41719/000119312513096334/0001193125-13-096334-index.html,https://www.sec.gov/Archives/edgar/data/41719/000119312514080641/d656787d10k.htm,https://www.sec.gov/Archives/edgar/data/41719/000119312515070196/d852804d10k.htm,https://www.sec.gov/Archives/edgar/data/41719/000119312516481956/0001193125-16-481956-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459017002406/0001564590-17-002406-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459018003072/0001564590-18-003072-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459019004077/0001564590-19-004077-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459020006478/0001564590-20-006478-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459021008961/0001564590-21-008961-index.htm,https://www.sec.gov/Archives/edgar/data/41719/000004171922000012/0000041719-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,51200000,53900000,3400000,4700000,2800000,28500000,44800000,3100000,19200000,3100000,18900000,31800000,66900000,50900000,76035000,110552000,95501000,36074000,15566000,39951000,57442000,21985000,29833000,32234000,135420000,95788000,38277000,97679000,122882000,99837000,105304000,55444000,116219000,142685000,126201000,99581000,138436000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,51200000,53900000,3400000,4700000,2800000,28500000,44800000,3100000,19200000,3100000,18900000,31800000,66900000,50900000,76035000,110552000,95501000,36074000,15566000,39951000,57442000,21985000,29833000,32234000,135420000,95788000,38277000,97679000,122882000,99837000,105304000,55444000,116219000,142685000,126201000,99581000,138436000
34,Net Receivables,21400000,23500000,39700000,185500000,43900000,49800000,42800000,38500000,34300000,48900000,52100000,49700000,50200000,70100000,74638000,72231000,60157000,60377000,59882000,60900000,62524000,128255000,122980000,132635000,119319000,141208000,135412000,139904000,167830000,163760000,167199000,152989000,174154000,119772000,124442000,122817000,- -
35,Inventory,21600000,24300000,77300000,78800000,77900000,86000000,89100000,88400000,98900000,81800000,87100000,101200000,101200000,117900000,115100000,101294000,62815000,70456000,71569000,78836000,81248000,192281000,193042000,193354000,168370000,201077000,206707000,222366000,236310000,248705000,247214000,249669000,252064000,173411000,190415000,196230000,- -
36,Other Current Assets,900000,1200000,200000,300000,- -,400000,200000,500000,28500000,1600000,2300000,5400000,158200000,3000000,2354000,2547000,21955000,9473000,24685000,18765000,22343000,32517000,27557000,33596000,96947000,64617000,42017000,58909000,59560000,62320000,32650000,36157000,42534000,33418000,36274000,34297000,- -
37,Total Current Assets,95100000,102900000,120600000,269300000,124600000,164700000,176900000,130500000,180900000,135400000,160400000,188100000,376500000,241900000,268127000,286624000,240428000,176380000,171702000,198452000,223557000,375038000,373412000,391819000,520056000,502690000,422413000,518858000,586582000,574622000,552367000,494259000,584971000,469286000,477332000,452925000,- -
38,PP&E,125600000,129900000,360200000,382600000,410700000,414700000,429800000,486800000,621100000,460400000,451500000,455200000,475200000,628200000,582213000,552768000,497228000,518913000,542960000,520412000,478828000,528867000,519866000,493564000,470632000,608170000,601950000,618590000,721203000,694283000,695665000,771496000,860913000,556003000,549101000,555038000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16513000,- -,- -,- -,16601000,95948000,84137000,76056000,73094000,82744000,153463000,150816000,164369000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7843000,- -,- -,- -,8301000,96081000,77098000,63057000,56259000,58859000,93614000,83735000,81835000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24356000,26201000,28330000,26051000,24902000,192029000,161235000,139113000,129353000,141603000,247077000,234551000,246204000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100400000,114000000,135600000,11100000,14700000,19400000,23400000,31200000,40100000,55000000,61200000,72000000,85900000,120600000,153440000,173799000,223068000,261735000,312357000,333406000,342592000,321738000,393789000,147570000,173405000,202557000,86511000,80635000,178596000,131364000,116479000,126151000,143308000,67388000,22810000,32714000,- -
45,Total Non-Current Assets,226000000,243900000,495800000,393700000,425400000,434100000,453200000,518000000,661200000,515400000,512700000,527200000,561100000,748800000,735653000,726567000,720296000,780648000,855317000,853818000,821420000,850605000,913655000,665490000,670238000,839057000,714512000,724127000,1091828000,986882000,951257000,1027000000,1145824000,870468000,806462000,833956000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1878271000
47,Total Assets,321100000,346800000,616400000,663000000,550000000,598800000,630100000,648500000,842100000,650800000,673100000,715300000,937600000,990700000,1003780000,1013191000,960724000,957028000,1027019000,1052270000,1044977000,1225643000,1287067000,1057309000,1190294000,1341747000,1136925000,1242985000,1678410000,1561504000,1503624000,1521259000,1730795000,1339754000,1283794000,1286881000,1878271000
48,Accounts Payable,- -,- -,- -,- -,43800000,42500000,35300000,34200000,39900000,44300000,34600000,35200000,36200000,34300000,40047000,45869000,36155000,31608000,31472000,30174000,31132000,86488000,73195000,59750000,63604000,98594000,109490000,133389000,161242000,157070000,172735000,164345000,190478000,120701000,130039000,127505000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,- -,- -,198700000,31100000,28390000,6577000,125162000,1875000,5806000,3949000,23073000,22318000,12144000,19625000,17647000,798000,- -,- -,- -,5734000,7366000,8961000,11298000,10785000,22940000,25057000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4684000,2192000,3543000,2656000,6546000,3502000,2921000,211000,1927000,2147000,2075000,4781000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,34700000,38300000,85200000,220800000,54500000,61200000,62000000,62900000,41600000,35800000,49400000,51000000,54000000,61500000,64194000,66738000,47998000,64465000,75192000,69884000,85673000,84484000,112217000,110727000,104859000,113754000,101750000,117519000,127125000,116927000,124219000,149705000,145400000,101316000,77524000,80781000,- -
53,Total Current Liabilities,34700000,38300000,85200000,220800000,98300000,103700000,97300000,97100000,81500000,104200000,84000000,86200000,288900000,126900000,132631000,119184000,209315000,97948000,112470000,104007000,139878000,193290000,197556000,190102000,186110000,213146000,211240000,250908000,288367000,279731000,304320000,323011000,347176000,232802000,230503000,233343000,- -
54,Long-Term Debt,- -,- -,179200000,52700000,- -,- -,- -,5000000,150000000,150000000,150000000,150000000,150000000,325400000,301380000,300245000,152593000,218709000,248469000,207277000,184000000,375295000,301041000,293660000,236936000,332224000,227000000,250000000,442325000,398878000,356504000,363647000,470098000,400962000,336919000,288464000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,45600000,57800000,72800000,52500000,66400000,76200000,79600000,89300000,130500000,60300000,80600000,99100000,102000000,123300000,147698000,155360000,167623000,184180000,207834000,212074000,206269000,182659000,189156000,90158000,96668000,94918000,69791000,62046000,141020000,104016000,76458000,54995000,83571000,78651000,76374000,77131000,- -
57,Other Non-Current Liabilities,500000,700000,500000,1700000,3200000,6000000,5900000,100000,38700000,40600000,43100000,49000000,56300000,71200000,63947000,65699000,77724000,82358000,86815000,108542000,82518000,86031000,123246000,140682000,159876000,149017000,138490000,140352000,122222000,129770000,103095000,125780000,121022000,88441000,84039000,110011000,- -
58,Total Non-Current Liabilities,46100000,58500000,252500000,106900000,69600000,82200000,85500000,94400000,319200000,250900000,273700000,298100000,308300000,519900000,513025000,521304000,397940000,485247000,543118000,527893000,472787000,643985000,613443000,524500000,493480000,576159000,435281000,452398000,705567000,632664000,536057000,544422000,674691000,568054000,497332000,475606000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1335509000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,80800000,96800000,337700000,327700000,167900000,185900000,182800000,191500000,400700000,355100000,357700000,384300000,597200000,646800000,645656000,640488000,607255000,583195000,655588000,631900000,612665000,837275000,810999000,714602000,679590000,789305000,646521000,703306000,993934000,912395000,840377000,867433000,1021867000,800856000,727835000,708949000,1335509000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,- -
64,Retained Earnings,221900000,250900000,291400000,355000000,424100000,485700000,534800000,560400000,545800000,396600000,431800000,462300000,478100000,484800000,496680000,511019000,488150000,495278000,484756000,525056000,547810000,519489000,563608000,605001000,711765000,749453000,775825000,819593000,869329000,919468000,963143000,962884000,948411000,770305000,725795000,723365000,- -
65,Other Comprehensive Income/Loss,-125000000,-133100000,-149000000,-168500000,-191100000,-218000000,-245900000,-265300000,-296900000,-535100000,-557100000,-586000000,-617600000,-657600000,-699557000,-737985000,-477511000,-3708000,2690000,7493000,-7638000,-32337000,4061000,-176133000,-119885000,-121247000,-166741000,-163966000,-75357000,-154870000,-190486000,-204606000,-140675000,-137440000,-77896000,-58653000,-80304000
66,Other Total Stockholders Equity,143400000,132200000,136300000,148800000,149100000,145200000,158400000,161900000,192500000,434200000,440700000,454700000,479900000,516700000,560457000,599125000,342286000,-118281000,-116559000,-112723000,-108404000,-99328000,-92145000,-86705000,-81720000,-76308000,- -,-116492000,-110040000,-116033000,-109954000,-104996000,-99352000,-94511000,-92484000,-87324000,- -
67,Total Stockholders Equity,240300000,250000000,278700000,335300000,382100000,412900000,447300000,457000000,441400000,295700000,315400000,331000000,340400000,343900000,358124000,372703000,353469000,373833000,371431000,420370000,432312000,388368000,476068000,342707000,510704000,552442000,490404000,539679000,684476000,649109000,663247000,653826000,708928000,538898000,555959000,577932000,542762000
68,Total Liabilities And Stockholders Equity,321100000,346800000,616400000,663000000,550000000,598800000,630100000,648500000,842100000,650800000,673100000,715300000,937600000,990700000,1003780000,1013191000,960724000,957028000,1027019000,1052270000,1044977000,1225643000,1287067000,1057309000,1190294000,1341747000,1136925000,1242985000,1678410000,1561504000,1503624000,1521259000,1730795000,1339754000,1283794000,1286881000,1878271000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,321100000,346800000,616400000,663000000,550000000,598800000,630100000,648500000,842100000,650800000,673100000,715300000,937600000,990700000,1003780000,1013191000,960724000,957028000,1027019000,1052270000,1044977000,1225643000,1287067000,1057309000,1190294000,1341747000,1136925000,1242985000,1678410000,1561504000,1503624000,1521259000,1730795000,1339754000,1283794000,1286881000,1878271000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322095000198/0000893220-95-000198-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322096000452/0000893220-96-000452-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322097000640/0000893220-97-000640-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322001000284/0000893220-01-000284-index.html,https://www.sec.gov/Archives/edgar/data/41719/000089322002000325/0000893220-02-000325-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/41719/000089322005000600/w06428e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322006000522/w18389e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322007000775/w31558e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322008000703/w47335e10vk.htm,https://www.sec.gov/Archives/edgar/data/41719/000089322009000541/0000893220-09-000541-index.html,https://www.sec.gov/Archives/edgar/data/41719/000095012310025244/0000950123-10-025244-index.html,https://www.sec.gov/Archives/edgar/data/41719/000095012311024824/w81919e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/41719/000119312513096334/0001193125-13-096334-index.html,https://www.sec.gov/Archives/edgar/data/41719/000119312514080641/d656787d10k.htm,https://www.sec.gov/Archives/edgar/data/41719/000119312515070196/d852804d10k.htm,https://www.sec.gov/Archives/edgar/data/41719/000119312516481956/0001193125-16-481956-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459017002406/0001564590-17-002406-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459018003072/0001564590-18-003072-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459019004077/0001564590-19-004077-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459020006478/0001564590-20-006478-index.html,https://www.sec.gov/Archives/edgar/data/41719/000156459021008961/0001564590-21-008961-index.htm,https://www.sec.gov/Archives/edgar/data/41719/000004171922000012/0000041719-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,92900000,88300000,76000000,56500000,16200000,-118300000,65800000,60400000,45300000,36100000,41425000,44000000,6958000,37595000,12661000,56102000,38609000,-12236000,63472000,57888000,123442000,54434000,42694000,59379000,67158000,69246000,64575000,21554000,7914000,-177604000,-21541000,21298000,6937000
74,Depreciation and Amortization,- -,- -,- -,- -,27200000,30000000,30700000,31900000,38100000,42900000,32600000,33600000,35800000,47700000,47766000,46106000,44988000,45190000,56029000,51598000,50647000,50021000,56001000,60611000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56600000,- -
75,Deferred Income Tax,- -,- -,- -,- -,13900000,9900000,- -,9700000,100000,-70200000,20400000,18500000,2900000,- -,10371000,8273000,9276000,17891000,7779000,17364000,3020000,-12726000,8004000,3265000,-22981000,-16815000,333000,-2209000,-11485000,-9419000,-1902000,-22055000,19026000,-7704000,-22971000,-2071000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4599000,5767000,5762000,6520000,7337000,7859000,7244000,5889000,6214000,6288000,3583000,5655000,- -
77,Change in Working Capital,- -,- -,- -,- -,-47900000,34700000,18600000,-46200000,66000000,-68200000,45200000,25500000,-14300000,27400000,20496000,31944000,-136327000,47319000,-19200000,35213000,-10766000,98069000,-5892000,25861000,132229000,-44402000,-78371000,56777000,30265000,-3324000,-46844000,-76799000,66547000,-1311000,10345000,-27247000,394141000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16542000,-598000,3771000,-3379000,-777000,-5404000,-13312000,8372000,-10189000,-621000,-5473000,9563000,- -
79,Inventory,- -,- -,- -,- -,1000000,-8200000,-3200000,800000,-10500000,11500000,-5200000,-14200000,- -,16400000,-1965000,11351000,3801000,-2612000,3060000,-4276000,-6195000,-8869000,8493000,-9975000,28207000,-7592000,-7280000,-12615000,2704000,-21456000,-8054000,-10778000,9198000,-32138000,-17387000,6860000,- -
