,https://roic.ai/company/THC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,763000000,129000000,139000000,157000000,170000000,172000000,196000000,199000000,198000000,195000000,321000000,443000000,5100000000,5711000000,5892000000,6226000000,- -,14774000000,5147000000,3800000000,4014000000,3046000000,1005000000,1083000000,3072000000,2458000000,2537000000,3150000000,4859000000,5280000000,5709000000,5431000000,5058000000,5039000000,12518000000,13748000000
11,COGS and Expenses,- -,3278000000,2505000000,2819000000,3250000000,3422000000,3237000000,3472000000,3362000000,2653000000,2890000000,4781000000,8277000000,8546000000,9578000000,10012000000,10506000000,- -,14774000000,11196000000,9962000000,9484000000,8583000000,6349000000,6509000000,8549000000,8122000000,8346000000,10305000000,15512000000,17254000000,18189000000,17790000000,16696000000,16800000000,15500000000,17076000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000000,445000000,424000000,375000000,412000000,474000000,754000000,912000000,979000000,1028000000,1004000000,985000000,1003000000,923000000
14,Depreciation and Amortization,- -,130000000,129000000,139000000,157000000,170000000,172000000,196000000,199000000,198000000,195000000,321000000,443000000,460000000,556000000,533000000,554000000,- -,471000000,388000000,382000000,342000000,362000000,373000000,386000000,425000000,413000000,430000000,545000000,849000000,797000000,850000000,870000000,802000000,850000000,857000000,855000000
15,EBITDA,- -,315000000,331000000,401000000,424000000,575000000,644000000,397000000,458000000,-83100000,513000000,1018800000,241000000,990000000,1030000000,1113000000,1661000000,- -,-1443000000,-2068000000,-413000000,-723000000,215000000,791000000,995000000,1015000000,931000000,1119000000,820000000,1664000000,1637000000,1704000000,1413000000,2093000000,1756000000,2162000000,3103000000
16,EBITDA ratio,- -,0.0876,0.1149,0.1252,0.1153,0.1461,0.1692,0.0997,0.1218,-0.0280,0.1546,0.1833,0.0277,0.1001,0.0947,0.0975,0.1378,- -,-0.1092,-0.2085,-0.0430,-0.0831,0.0243,0.0913,0.1104,0.1103,0.1052,0.1227,0.0739,0.1002,0.0879,0.0868,0.0737,0.1143,0.0950,0.1226,0.1593
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,749000000,663000000,925000000,1056000000,1219000000,1113000000,1647000000,1513000000,1989000000,2871000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0821,0.0597,0.0557,0.0567,0.0621,0.0580,0.0899,0.0819,0.1128,0.1473
19,Total Other Income Expenses (Gains),- -,-108000000,-97000000,-99000000,-110000000,-108000000,-97000000,-280000000,-140800000,45900000,-99000000,-32000000,-435000000,-702000000,-828000000,-784000000,-405000000,- -,-279000000,-336000000,-360000000,-350000000,-376000000,-2277000000,-2300000000,-498000000,-571000000,-415000000,-821000000,-778000000,-912000000,-971000000,-1214000000,-1008000000,-1217000000,-1318000000,-983000000
20,Income Before Tax,- -,209000000,279000000,284000000,316000000,405000000,472000000,230000000,259000000,359900000,329000000,746000000,-21000000,647000000,474000000,618000000,1142000000,- -,-1841000000,-1613000000,-708000000,-1133000000,-107000000,37000000,205000000,158000000,161000000,334000000,-158000000,147000000,144000000,248000000,-101000000,639000000,296000000,671000000,1888000000
21,Income Before Tax Ratio,- -,0.0581,0.0968,0.0887,0.0860,0.1029,0.1240,0.0578,0.0689,0.1213,0.0992,0.1342,-0.0024,0.0654,0.0436,0.0541,0.0947,- -,-0.1393,-0.1626,-0.0736,-0.1302,-0.0121,0.0043,0.0227,0.0172,0.0182,0.0366,-0.0142,0.0088,0.0077,0.0126,-0.0053,0.0349,0.0160,0.0380,0.0969
22,Income Tax expense (Gain),- -,91000000,139000000,114000000,124000000,163000000,195000000,97000000,99000000,144000000,135000000,348000000,52000000,269000000,225000000,278000000,464000000,- -,-437000000,184000000,-87000000,-262000000,-58000000,-25000000,-23000000,-977000000,61000000,125000000,-65000000,49000000,68000000,67000000,219000000,176000000,153000000,-97000000,411000000
23,Net Income,- -,94000000,63000000,148000000,143000000,242000000,277000000,104000000,160000000,-425100000,183000000,349800000,-254000000,261000000,249000000,302000000,643000000,- -,-1477000000,-2640000000,-708000000,-803000000,-89000000,25000000,187000000,1143000000,82000000,152000000,-134000000,12000000,-140000000,-192000000,-704000000,111000000,-232000000,399000000,914000000
24,Net Income ratio,- -,0.0261,0.0219,0.0462,0.0389,0.0615,0.0728,0.0261,0.0425,-0.1433,0.0552,0.0629,-0.0292,0.0264,0.0229,0.0265,0.0533,- -,-0.1118,-0.2662,-0.0736,-0.0923,-0.0101,0.0029,0.0207,0.1242,0.0093,0.0167,-0.0121,0.0007,-0.0075,-0.0098,-0.0367,0.0061,-0.0126,0.0226,0.0469
25,EPS,- -,1.57,1.09,2.67,2.56,4.06,4.62,1.60,2.56,-6.77,2.48,4.45,-2.24,2.27,2.13,2.59,5.36,- -,-12.68,-22.64,-6.16,-6.84,-0.76,0.20,1.52,9.24,0.48,1.35,-1.32,0.12,-1.41,-1.93,-7.00,1.09,-2.24,3.80,8.70
26,EPS Diluted,- -,1.57,1.09,2.45,2.40,3.58,4.11,1.60,2.43,-6.77,2.43,4.35,-2.24,2.24,2.11,2.56,5.25,- -,-12.68,-22.64,-6.16,-6.84,-0.76,0.20,1.48,8.16,0.48,1.30,-1.32,0.12,-1.41,-1.93,-7.00,1.07,-2.24,3.75,8.60
27,Weighted Average Shares Outstanding,- -,59715905,57593155,55472264,55831459,59674110,60013346,64967516,62468766,62634000,66306375,78559500,113947500,114845625,116268750,116992500,119905125,116481750,116481750,116556500,117224500,117711750,118351250,119651500,120060000,121080250,117181500,104200000,101648000,97801000,99167000,99321000,100592000,102110000,103398000,105010000,105010000
28,Weighted Average Shares Outstanding Diluted,- -,59715905,57593155,60295939,59553557,67690036,67417590,64967516,65901115,62634000,75412088,81253500,114057375,117042375,117519750,118094250,122682000,116481750,116481750,116556500,117224500,117711750,118351250,119651500,126819250,140157750,121295250,108926000,101648000,100287000,99167000,99321000,100592000,103881000,103398000,106263000,106263000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000089843094000634/0000898430-94-000634-index.html,https://www.sec.gov/Archives/edgar/data/70318/000089843095001700/0000898430-95-001700-index.html,https://www.sec.gov/Archives/edgar/data/70318/000091205796018792/0000912057-96-018792-index.html,https://www.sec.gov/Archives/edgar/data/70318/000091205797029143/0000912057-97-029143-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000091205700037746/0000912057-00-037746-index.htm,https://www.sec.gov/Archives/edgar/data/70318/000091205701529717/a2056090z10-k405.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000104746905005606/a2152529z10-k.htm,https://www.sec.gov/Archives/edgar/data/70318/000104746906003135/a2167731z10-k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465907014090/a07-2935_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465908012766/a08-2348_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000119312509035651/0001193125-09-035651-index.html,https://www.sec.gov/Archives/edgar/data/70318/000119312510036920/0001193125-10-036920-index.html,https://www.sec.gov/Archives/edgar/data/70318/000119312511046322/d10k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465912013589/0001104659-12-013589-index.html,https://www.sec.gov/Archives/edgar/data/70318/000110465913014113/0001104659-13-014113-index.html,https://www.sec.gov/Archives/edgar/data/70318/000110465914012768/a13-26042_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000155837015000132/thc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/70318/000155837016003350/0001558370-16-003350-index.html,https://www.sec.gov/Archives/edgar/data/70318/000155837017001079/0001558370-17-001079-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031818000011/0000070318-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031819000017/0000070318-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031820000014/0000070318-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031821000008/0000070318-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/70318/000007031822000013/0000070318-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,93000000,74000000,95000000,49000000,101000000,116000000,114000000,141000000,313000000,155000000,89000000,35000000,23000000,29000000,135000000,62000000,210000000,619000000,654000000,1373000000,784000000,572000000,507000000,690000000,405000000,113000000,364000000,113000000,193000000,356000000,716000000,611000000,411000000,262000000,2446000000,2364000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,104000000,85000000,123000000,117000000,5000000,39000000,20000000,16000000,13000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,93000000,74000000,95000000,49000000,101000000,116000000,114000000,141000000,313000000,155000000,89000000,35000000,23000000,29000000,245000000,166000000,295000000,742000000,771000000,1378000000,823000000,592000000,523000000,703000000,406000000,113000000,364000000,113000000,193000000,356000000,716000000,611000000,411000000,262000000,2446000000,2364000000
34,Net Receivables,- -,651000000,669000000,670000000,726000000,625000000,583000000,566000000,600000000,445000000,565000000,838000000,1346000000,1742000000,2318000000,2506000000,2386000000,2590000000,2415000000,2218000000,1525000000,1727000000,1556000000,1549000000,1323000000,1165000000,1450000000,1352000000,2038000000,2406000000,2711000000,2901000000,2621000000,2616000000,2753000000,2691000000,2770000000
35,Inventory,- -,70000000,68000000,56000000,61000000,44000000,51000000,57000000,62000000,55000000,116000000,128000000,193000000,214000000,221000000,223000000,214000000,241000000,224000000,188000000,190000000,184000000,183000000,161000000,153000000,156000000,161000000,153000000,262000000,276000000,309000000,326000000,289000000,305000000,310000000,368000000,384000000
36,Other Current Assets,- -,32000000,73000000,50000000,162000000,165000000,191000000,360000000,265000000,631000000,788000000,490000000,817000000,911000000,1394000000,620000000,460000000,666000000,867000000,815000000,415000000,291000000,229000000,476000000,293000000,584000000,633000000,812000000,1297000000,1842000000,1795000000,1314000000,2052000000,1304000000,1756000000,1642000000,1557000000
37,Total Current Assets,- -,846000000,884000000,871000000,998000000,935000000,941000000,1097000000,1068000000,1444000000,1624000000,1545000000,2391000000,2890000000,3962000000,3594000000,3226000000,3792000000,4248000000,3992000000,3508000000,3025000000,2560000000,2709000000,2472000000,2311000000,2357000000,2681000000,3710000000,4717000000,5171000000,5257000000,5573000000,4636000000,5081000000,7147000000,7075000000
38,PP&E,- -,1831000000,1934000000,2091000000,2318000000,2304000000,2515000000,2645000000,2492000000,1764000000,3319000000,3648000000,5490000000,6014000000,5839000000,5894000000,5976000000,6359000000,5557000000,4820000000,4620000000,4299000000,4645000000,4291000000,4313000000,4304000000,4350000000,4293000000,7691000000,7921000000,8150000000,8257000000,7224000000,7148000000,7959000000,7884000000,7549000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3265000000,- -,- -,- -,- -,601000000,607000000,609000000,607000000,652000000,736000000,916000000,3042000000,3913000000,6970000000,7425000000,7018000000,7281000000,7252000000,8808000000,9261000000
40,Intangible Assets,- -,276000000,269000000,220000000,218000000,225000000,246000000,227000000,218000000,107000000,2511000000,2574000000,3146000000,3414000000,3401000000,3329000000,133000000,3444000000,2107000000,970000000,1041000000,231000000,293000000,323000000,379000000,442000000,489000000,650000000,1192000000,1278000000,1675000000,1845000000,1766000000,1731000000,1602000000,1600000000,1497000000
41,Intangible Assets,- -,276000000,269000000,220000000,218000000,225000000,246000000,227000000,218000000,107000000,2511000000,2574000000,3146000000,3414000000,3401000000,3329000000,3398000000,3444000000,2107000000,970000000,1041000000,832000000,900000000,932000000,986000000,1094000000,1225000000,1566000000,4234000000,5191000000,8645000000,9270000000,8784000000,9012000000,8854000000,10408000000,10758000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,182000000,164000000,156000000,162000000,405000000,133000000,876000000,984000000,1014000000,996000000,980000000,1027000000,1815000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627000000,374000000,342000000,90000000,116000000,776000000,871000000,455000000,312000000,169000000,325000000,65000000
44,Other Non-Current Assets,- -,343000000,347000000,325000000,343000000,343000000,358000000,267000000,395000000,382000000,464000000,565000000,678000000,515000000,569000000,344000000,395000000,185000000,386000000,296000000,643000000,383000000,288000000,- -,- -,- -,- -,- -,- -,63000000,64000000,62000000,335000000,305000000,308000000,315000000,317000000
45,Total Non-Current Assets,- -,2450000000,2550000000,2636000000,2879000000,2872000000,3119000000,3139000000,3105000000,2253000000,6294000000,6787000000,9314000000,9943000000,9809000000,9567000000,9769000000,9988000000,8050000000,6086000000,6304000000,5514000000,5833000000,5465000000,5481000000,6189000000,6105000000,6363000000,12420000000,13424000000,18511000000,19444000000,17812000000,17773000000,18270000000,19959000000,20504000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3296000000,3434000000,3507000000,3877000000,3807000000,4060000000,4236000000,4173000000,3697000000,7918000000,8332000000,11705000000,12833000000,13771000000,13161000000,12995000000,13780000000,12298000000,10078000000,9812000000,8539000000,8393000000,8174000000,7953000000,8500000000,8462000000,9044000000,16130000000,18141000000,23682000000,24701000000,23385000000,22409000000,23351000000,27106000000,27579000000
48,Accounts Payable,- -,- -,- -,- -,141600000,126000000,162000000,169000000,140000000,176000000,359000000,380000000,540000000,657000000,713000000,671000000,775000000,898000000,987000000,937000000,857000000,775000000,780000000,686000000,739000000,720000000,760000000,722000000,1075000000,1179000000,1380000000,1329000000,1175000000,1207000000,1204000000,1207000000,1300000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,612000000,287000000,60000000,28000000,10000000,45000000,9000000,25000000,47000000,18000000,41000000,19000000,22000000,1000000,2000000,2000000,67000000,66000000,94000000,149000000,112000000,127000000,191000000,146000000,182000000,171000000,145000000,135000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,659000000,959000000
52,Other Current Liabilities,- -,593000000,579000000,554000000,410400000,560000000,433000000,705000000,773000000,852000000,710000000,694000000,1301000000,1100000000,1264000000,1232000000,1366000000,1436000000,1389000000,1152000000,1416000000,1128000000,1267000000,1261000000,1042000000,938000000,989000000,947000000,1704000000,2286000000,2801000000,2514000000,3011000000,2468000000,2830000000,2836000000,2715000000
53,Total Current Liabilities,- -,593000000,579000000,554000000,552000000,686000000,595000000,874000000,913000000,1640000000,1356000000,1134000000,1869000000,1767000000,2022000000,1912000000,2166000000,2381000000,2394000000,2130000000,2292000000,1925000000,2048000000,1949000000,1783000000,1725000000,1815000000,1763000000,2928000000,3577000000,4308000000,4034000000,4332000000,3857000000,4205000000,4847000000,5109000000
54,Long-Term Debt,- -,1375000000,1487000000,1252000000,1671000000,1361000000,1140000000,1066000000,892000000,223000000,3273000000,3191000000,5022000000,5829000000,6391000000,5668000000,4202000000,3872000000,4039000000,4395000000,4784000000,4760000000,4771000000,4778000000,4272000000,3997000000,4294000000,5158000000,10690000000,11695000000,14383000000,15064000000,14791000000,14644000000,14580000000,15574000000,15511000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918000000,15000000
56,Deferred Tax Liabilities,- -,205000000,248000000,321000000,355000000,374000000,387000000,332000000,317000000,125000000,301000000,394000000,308000000,423000000,440000000,491000000,554000000,526000000,4000000,311000000,212000000,107000000,119000000,101000000,148000000,- -,- -,- -,- -,- -,- -,279000000,36000000,36000000,27000000,29000000,36000000
57,Other Non-Current Liabilities,- -,113000000,195000000,418000000,198000000,129000000,176000000,290000000,299000000,389000000,1002000000,977000000,1282000000,1256000000,1048000000,1024000000,994000000,1278000000,1500000000,1510000000,1503000000,1483000000,1401000000,1243000000,1053000000,959000000,845000000,905000000,1634000000,2084000000,4033000000,4242000000,3687000000,3185000000,4056000000,4801000000,4854000000
58,Total Non-Current Liabilities,- -,1693000000,1930000000,1991000000,2224000000,1864000000,1703000000,1688000000,1508000000,737000000,4576000000,4562000000,6612000000,7508000000,7879000000,7183000000,5750000000,5676000000,5543000000,6216000000,6499000000,6350000000,6291000000,6122000000,5473000000,4956000000,5139000000,6063000000,12324000000,13779000000,18416000000,19585000000,18514000000,17865000000,18663000000,21322000000,20416000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2286000000,2509000000,2545000000,2776000000,2550000000,2298000000,2562000000,2421000000,2377000000,5932000000,5696000000,8481000000,9275000000,9901000000,9095000000,7916000000,8057000000,7937000000,8346000000,8791000000,8275000000,8339000000,8071000000,7256000000,6681000000,6954000000,7826000000,15252000000,17356000000,22724000000,23619000000,22846000000,21722000000,22868000000,26169000000,25525000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334000000,334000000,334000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,25000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,27000000,27000000,27000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,8000000
64,Retained Earnings,- -,476000000,492000000,593000000,686000000,705000000,914000000,939000000,1019000000,575000000,740000000,1090000000,819000000,1080000000,1329000000,1627000000,2270000000,3514000000,1710000000,-930000000,-1807000000,-2610000000,-2877000000,-2852000000,-2665000000,-1522000000,-1440000000,-1288000000,-1422000000,-1410000000,-1550000000,-1742000000,-2390000000,-2236000000,-2467000000,-2128000000,-1214000000
65,Other Comprehensive Income/Loss,- -,-360000000,-427000000,-467000000,-576000000,-585000000,-668000000,-756000000,-822000000,-772000000,-824000000,-950000000,-1432000000,-1765000000,-1864000000,-2247000000,-2607000000,-15000000,-8000000,-13000000,-39000000,-45000000,-28000000,-37000000,-32000000,-43000000,-52000000,-68000000,-24000000,-182000000,-164000000,-258000000,-204000000,-223000000,-257000000,-281000000,-233000000
66,Other Total Stockholders Equity,- -,894000000,860000000,836000000,991000000,1137000000,1516000000,1491000000,1555000000,1517000000,2070000000,2496000000,3837000000,4243000000,4405000000,4662000000,5391000000,- -,- -,2649000000,2841000000,2893000000,2933000000,2966000000,2982000000,2970000000,2554000000,2492000000,2194000000,2236000000,2398000000,2410000000,2440000000,2333000000,2346000000,2430000000,- -
67,Total Stockholders Equity,- -,1010000000,925000000,962000000,1101000000,1257000000,1762000000,1674000000,1752000000,1320000000,1986000000,2636000000,3224000000,3558000000,3870000000,4066000000,5079000000,5723000000,4361000000,1732000000,1021000000,264000000,54000000,103000000,646000000,1766000000,1423000000,1143000000,755000000,651000000,691000000,417000000,-147000000,-119000000,-371000000,28000000,1028000000
68,Total Liabilities And Stockholders Equity,- -,3296000000,3434000000,3507000000,3877000000,3807000000,4060000000,4236000000,4173000000,3697000000,7918000000,8332000000,11705000000,12833000000,13771000000,13161000000,12995000000,13780000000,12298000000,10078000000,9812000000,8539000000,8393000000,8174000000,7902000000,8447000000,8377000000,8969000000,16007000000,18007000000,23415000000,24036000000,22699000000,21603000000,22497000000,26197000000,26553000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,53000000,85000000,75000000,123000000,134000000,267000000,665000000,686000000,806000000,854000000,909000000,1026000000
70,Total Liabilities & Equity,- -,3296000000,3434000000,3507000000,3877000000,3807000000,4060000000,4236000000,4173000000,3697000000,7918000000,8332000000,11705000000,12833000000,13771000000,13161000000,12995000000,13780000000,12298000000,10078000000,9812000000,8539000000,8393000000,8174000000,7953000000,8500000000,8462000000,9044000000,16130000000,18141000000,23682000000,24701000000,23385000000,22409000000,23351000000,27106000000,27579000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000089843094000634/0000898430-94-000634-index.html,https://www.sec.gov/Archives/edgar/data/70318/000089843095001700/0000898430-95-001700-index.html,https://www.sec.gov/Archives/edgar/data/70318/000091205796018792/0000912057-96-018792-index.html,https://www.sec.gov/Archives/edgar/data/70318/000091205797029143/0000912057-97-029143-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000091205700037746/0000912057-00-037746-index.htm,https://www.sec.gov/Archives/edgar/data/70318/000091205701529717/a2056090z10-k405.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/70318/000104746905005606/a2152529z10-k.htm,https://www.sec.gov/Archives/edgar/data/70318/000104746906003135/a2167731z10-k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465907014090/a07-2935_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465908012766/a08-2348_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000119312509035651/0001193125-09-035651-index.html,https://www.sec.gov/Archives/edgar/data/70318/000119312510036920/0001193125-10-036920-index.html,https://www.sec.gov/Archives/edgar/data/70318/000119312511046322/d10k.htm,https://www.sec.gov/Archives/edgar/data/70318/000110465912013589/0001104659-12-013589-index.html,https://www.sec.gov/Archives/edgar/data/70318/000110465913014113/0001104659-13-014113-index.html,https://www.sec.gov/Archives/edgar/data/70318/000110465914012768/a13-26042_110k.htm,https://www.sec.gov/Archives/edgar/data/70318/000155837015000132/thc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/70318/000155837016003350/0001558370-16-003350-index.html,https://www.sec.gov/Archives/edgar/data/70318/000155837017001079/0001558370-17-001079-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031818000011/0000070318-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031819000017/0000070318-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031820000014/0000070318-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/70318/000007031821000008/0000070318-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/70318/000007031822000013/0000070318-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
