,https://roic.ai/company/RHI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.3994,0.2603,0.1637,0.1505,0.1296,0.0949,0.0702,0.0559,0.0833,0.1049,0.1091,0.1128,0.1187,0.1202,0.1098,0.1079,0.0765,-0.0006,0.0046,0.0863,0.1142,0.1120,0.1027,0.0900,0.0215,0.0365,0.0660,0.0837,0.0934,0.1058,0.1139,0.1054,0.0979,0.1012,0.1021,0.0676,0.1247
19,Total Other Income Expenses (Gains),- -,5000000,-3700000,-7300000,-6800000,-8600000,-6600000,-4400000,-4000000,-1600000,500000,2200000,4100000,5600000,6100000,10439000,8519000,4585000,2603000,3770000,10948000,16752000,13127000,5200000,1443000,-579000,951000,- -,1002000,724000,550000,888000,1799000,4382000,5125000,76531000,-2044000
20,Income Before Tax,- -,6900000,13600000,20100000,23600000,15000000,8100000,7900000,21500000,45200000,69100000,103600000,158800000,221200000,234700000,301627000,196284000,3497000,11715000,234665000,392174000,466202000,490404000,419276000,66763000,115168000,250216000,344245000,397579000,497349000,581030000,554110000,517516000,591602000,625515000,421882000,803780000
21,Income Before Tax Ratio,- -,0.9452,0.1287,0.1104,0.1006,0.0603,0.0387,0.0359,0.0702,0.1013,0.1099,0.1153,0.1219,0.1234,0.1128,0.1117,0.0800,0.0018,0.0059,0.0877,0.1175,0.1162,0.1056,0.0911,0.0220,0.0363,0.0662,0.0837,0.0936,0.1059,0.1140,0.1055,0.0983,0.1020,0.1030,0.0826,0.1244
22,Income Tax expense (Gain),- -,2600000,6300000,8100000,10100000,6100000,4000000,3500000,9800000,19100000,28800000,42500000,65100000,89600000,93300000,115524000,75177000,1329000,5325000,94061000,154304000,183024000,194192000,169095000,29500000,49099000,100294000,134303000,145384000,191421000,223234000,210721000,226932000,157314000,171082000,115606000,205154000
23,Net Income,6900000,3900000,7700000,12000000,13500000,8900000,4100000,4400000,11700000,26100000,40300000,61100000,93700000,131600000,141400000,186103000,121107000,2168000,6390000,140604000,237870000,283178000,296212000,250181000,37263000,66069000,149922000,209942000,252195000,305928000,357796000,343389000,290584000,434288000,454433000,306276000,598626000
24,Net Income ratio,0.2104,0.5342,0.0728,0.0659,0.0576,0.0358,0.0196,0.0200,0.0382,0.0585,0.0641,0.0680,0.0719,0.0734,0.0679,0.0689,0.0494,0.0011,0.0032,0.0525,0.0713,0.0706,0.0638,0.0544,0.0123,0.0208,0.0397,0.0511,0.0594,0.0652,0.0702,0.0654,0.0552,0.0749,0.0748,0.0599,0.0926
25,EPS,0.05,0.03,0.07,0.09,0.10,0.07,0.03,0.04,0.08,0.15,0.23,0.33,0.52,0.72,0.79,1.05,0.69,0.01,0.04,0.83,1.42,1.71,1.85,1.65,0.24,0.44,1.05,1.51,1.85,2.28,2.72,2.68,2.34,3.60,3.93,2.72,1.52
26,EPS Diluted,0.05,0.03,0.07,0.09,0.10,0.07,0.03,0.04,0.08,0.15,0.23,0.33,0.50,0.69,0.77,1.00,0.67,0.01,0.04,0.79,1.36,1.65,1.81,1.63,0.24,0.44,1.04,1.50,1.83,2.26,2.69,2.67,2.33,3.57,3.90,2.70,1.51
27,Weighted Average Shares Outstanding,138000000,130000000,110000000,133333333,135000000,127142857,136666667,110000000,146250000,170217391,177794118,183300000,181941748,182777778,180127389,177240952,175517391,216800000,159750000,169742000,167664000,166003000,159767000,151607000,145912000,142833000,140479000,138201000,136153000,134358000,131749000,127991000,124152000,120513000,115656000,112729000,110176000
28,Weighted Average Shares Outstanding Diluted,138000000,130000000,110000000,133333333,135000000,127142857,136666667,110000000,146250000,170217391,177794118,183300000,187400000,189352518,184836601,186103000,180756716,216800000,159750000,176866000,174382000,171712000,163479000,153289000,146611000,144028000,141790000,139409000,137589000,135541000,132930000,128766000,124892000,121602000,116411000,113318000,111490000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315213/000091205796005084/0000912057-96-005084-index.html,- -,https://www.sec.gov/Archives/edgar/data/315213/0001047469-98-009798-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315213/000091205702010203/a2066962z10-k405.htm,https://www.sec.gov/Archives/edgar/data/315213/000104746903010372/a2095565z10-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000104746904006986/a2124746z10-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312505035210/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312506046180/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312507038451/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312508034558/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312509033115/0001193125-09-033115-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312510034421/0001193125-10-034421-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312511038990/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312512067457/0001193125-12-067457-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312513062356/0001193125-13-062356-index.html,- -,https://www.sec.gov/Archives/edgar/data/315213/000162828015000736/rhi10k123114.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828016011322/0001628280-16-011322-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828017001192/0001628280-17-001192-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828018001911/0001628280-18-001911-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828019001488/0001628280-19-001488-index.html,https://www.sec.gov/Archives/edgar/data/315213/000031521320000029/0000315213-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/315213/000031521321000025/0000315213-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/315213/000031521322000018/0000315213-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,41300000,80200000,131300000,166100000,151100000,239192000,346768000,316927000,376523000,436809000,458358000,447479000,310000000,354756000,365794000,315137000,279336000,287635000,275764000,287119000,224577000,260201000,294753000,276579000,270478000,574426000,619001000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,41300000,80200000,131300000,166100000,151100000,239192000,346768000,316927000,376523000,436809000,458358000,447479000,310000000,354756000,365794000,315137000,279336000,287635000,275764000,287119000,224577000,260201000,294753000,276579000,270478000,574426000,619001000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,85000000,125400000,186900000,240700000,309300000,390369000,272886000,223396000,242348000,391641000,451260000,531824000,593169000,484808000,362392000,423175000,493327000,512852000,551905000,657676000,704640000,703228000,732405000,794446000,832797000,714163000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,7400000,12100000,15800000,23600000,30100000,42049000,66352000,102849000,79748000,87866000,107290000,133052000,156469000,193335000,194448000,233548000,234015000,264198000,344859000,378488000,414464000,320805000,404711000,402585000,525574000,554149000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,67700000,133700000,217700000,334000000,430400000,490500000,671610000,686006000,643172000,698619000,916316000,1016908000,1112355000,1059638000,1032899000,922634000,971860000,1006678000,1064685000,1172528000,1323283000,1343681000,1284234000,1431869000,1473610000,1628849000,1842738000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49900000,95000000,110900000,131369000,147524000,130587000,113119000,95783000,110515000,132081000,152311000,145699000,124658000,103651000,107972000,107680000,112644000,121754000,142906000,161509000,144887000,125176000,369414000,372505000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177125000,191068000,187530000,189336000,189787000,189423000,- -,200833000,199488000,208579000,209793000,210885000,209958000,210364000,223055000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,152800000,155400000,174700000,177400000,178400000,175700000,168050000,160632000,161912000,162508000,167931000,165857000,1540000,4075000,1852000,392000,219000,50000,2256000,556000,- -,4508000,3671000,4946000,3149000,1752000,5594000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,152800000,155400000,174700000,177400000,178400000,175700000,168050000,160632000,161912000,162508000,167931000,165857000,178665000,195143000,189382000,189728000,190006000,189473000,2256000,201389000,199488000,213087000,213464000,215831000,213107000,212116000,228649000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5657000,18627000,25406000,35920000,43206000,43870000,46515000,8467000,- -,- -,- -,- -,- -,- -,74867000,91204000,101029000,113532000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,12000000,23600000,100000,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7713000,- -,3710000,2742000,3286000,118764000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,160100000,167400000,198300000,227400000,273300000,286700000,299419000,308156000,292499000,281284000,282341000,301778000,346666000,390660000,378951000,360901000,302124000,305158000,109936000,317743000,323984000,359279000,493737000,435585000,429487000,682559000,714686000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2952359000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,227800000,301100000,416000000,561400000,703700000,777200000,971029000,994162000,935671000,979903000,1198657000,1318686000,1459021000,1450298000,1411850000,1283535000,1273984000,1311836000,1174621000,1490271000,1647267000,1702960000,1777971000,1867454000,1903097000,2311408000,2557424000,2952359000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,12600000,15000000,20300000,23700000,29800000,51073000,33384000,47807000,45094000,72034000,89133000,99484000,108070000,111645000,- -,- -,- -,139879000,139683000,175107000,148108000,135540000,126937000,168031000,123841000,130770000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,4200000,1500000,3600000,1300000,900000,1223000,202000,66000,71000,77000,356000,363000,370000,105000,113000,123000,111000,117000,128000,140000,153000,167000,183000,200000,218000,78843000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34658000,- -,- -,- -,- -,- -,- -,71727000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102993000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21300000,39100000,70100000,98200000,127800000,145500000,184860000,143061000,136342000,143734000,208234000,247212000,302893000,339512000,301102000,366855000,408337000,472890000,258648000,396042000,448115000,507288000,544189000,620776000,651305000,816633000,837013000,1358673000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29600000,55900000,86600000,122100000,152800000,176200000,237156000,176647000,184215000,188899000,280345000,336701000,402740000,447952000,412852000,366968000,408460000,473001000,501637000,535853000,623362000,655549000,679896000,747896000,819536000,940692000,1046626000,1358673000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,1500000,5100000,4500000,3400000,2600000,2541000,2480000,2414000,2343000,2266000,2698000,3831000,3753000,1892000,1779000,1656000,1545000,- -,1300000,1159000,1007000,840000,657000,457000,239000,223869000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,15800000,15900000,15900000,25000000,22300000,12793000,9339000,4076000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,4176000,8414000,9779000,14544000,13218000,14978000,29497000,36785000,- -,33475000,42888000,42623000,10636000,13636000,19906000,226794000,81640000,212635000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,17300000,21000000,20500000,28400000,24900000,15334000,11819000,6490000,2343000,6442000,11112000,13610000,18297000,15110000,16757000,31153000,38330000,- -,34775000,44047000,43630000,11476000,14293000,20363000,227033000,305509000,212635000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37623000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273369000,302473000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,50800000,73200000,107600000,142600000,181200000,201100000,252490000,188466000,190705000,191242000,286787000,347813000,416350000,466249000,427962000,383725000,439613000,511331000,539260000,570628000,667409000,699179000,691372000,762189000,839899000,1167725000,1352135000,1571308000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,176000,175000,171000,172000,173000,171000,168000,158000,151000,149000,146000,142000,139000,137000,135000,131000,128000,124000,119000,115000,113000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,100400000,137700000,194700000,267400000,309800000,329500000,388954000,391255000,246803000,220828000,240740000,156050000,- -,- -,- -,- -,- -,- -,- -,13315000,36836000,34467000,84562000,37033000,- -,36067000,29936000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-48900000,-82400000,-118940000,-185554000,-250351000,-307525000,-340232000,25000000,39000000,69000000,34000000,46000000,47000000,41000000,44000000,38071000,15000000,-10000000,-21000000,4000000,-16000000,-20000000,-4732000,-22622000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,76600000,90200000,113700000,181400000,261600000,328900000,448349000,599820000,748343000,875186000,1011189000,789652000,1003503000,914891000,949737000,853661000,787225000,759363000,797872000,868120000,927887000,979183000,1022909000,1064108000,1079079000,1127501000,1179972000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000000,227900000,308400000,418800000,522500000,576100000,718539000,805696000,744966000,788661000,911870000,970873000,1042671000,984049000,983888000,899810000,834371000,800505000,842011000,919643000,979858000,1003781000,1086599000,1105265000,1063198000,1143683000,1205289000,1381051000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,227800000,301100000,416000000,561400000,703700000,777200000,971029000,994162000,935671000,979903000,1198657000,1318686000,1459021000,1450298000,1411850000,1283535000,1273984000,1311836000,1381271000,1490271000,1647267000,1702960000,1777971000,1867454000,1903097000,2311408000,2557424000,2952359000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-206650000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,227800000,301100000,416000000,561400000,703700000,777200000,971029000,994162000,935671000,979903000,1198657000,1318686000,1459021000,1450298000,1411850000,1283535000,1273984000,1311836000,1174621000,1490271000,1647267000,1702960000,1777971000,1867454000,1903097000,2311408000,2557424000,2952359000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/315213/000091205796005084/0000912057-96-005084-index.html,- -,https://www.sec.gov/Archives/edgar/data/315213/0001047469-98-009798-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315213/000091205702010203/a2066962z10-k405.htm,https://www.sec.gov/Archives/edgar/data/315213/000104746903010372/a2095565z10-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000104746904006986/a2124746z10-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312505035210/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312506046180/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312507038451/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312508034558/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312509033115/0001193125-09-033115-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312510034421/0001193125-10-034421-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312511038990/d10k.htm,https://www.sec.gov/Archives/edgar/data/315213/000119312512067457/0001193125-12-067457-index.html,https://www.sec.gov/Archives/edgar/data/315213/000119312513062356/0001193125-13-062356-index.html,- -,https://www.sec.gov/Archives/edgar/data/315213/000162828015000736/rhi10k123114.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828016011322/0001628280-16-011322-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828017001192/0001628280-17-001192-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828018001911/0001628280-18-001911-index.html,https://www.sec.gov/Archives/edgar/data/315213/000162828019001488/0001628280-19-001488-index.html,https://www.sec.gov/Archives/edgar/data/315213/000031521320000029/0000315213-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/315213/000031521321000025/0000315213-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/315213/000031521322000018/0000315213-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13500000,8900000,4100000,4400000,11700000,26100000,40300000,61100000,93700000,131600000,141400000,186103000,121107000,2168000,6390000,140604000,237870000,283178000,296212000,250181000,37263000,66069000,149922000,209942000,252195000,305928000,357796000,343389000,290584000,434288000,454433000,306276000,598626000
74,Depreciation and Amortization,- -,- -,- -,- -,5200000,6000000,6400000,6400000,6700000,7200000,8400000,11900000,17700000,24600000,39100000,56639000,73116000,72308000,65904000,72308000,79814000,61085000,71441000,73210000,65266000,55958000,51415000,48724000,48772000,49681000,53465000,64315000,65493000,65949000,65625000,63500000,- -
75,Deferred Income Tax,- -,- -,- -,- -,2600000,1300000,1900000,1900000,1100000,1100000,-700000,-1700000,-5100000,1900000,-6900000,-16156000,-11419000,567000,-5019000,-12925000,-13371000,-19318000,-7242000,-6043000,5752000,7370000,17156000,-14993000,-13259000,-3643000,-8579000,-1868000,44091000,-15885000,-9473000,-13146000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68680000,61148000,57119000,50906000,41464000,38867000,40821000,41292000,42699000,42191000,44953000,48300000,52486000,- -
77,Change in Working Capital,- -,- -,- -,- -,-16300000,- -,- -,- -,- -,38100000,39700000,53300000,80800000,65700000,36700000,120154000,74905000,-50402000,50763000,126251000,44236000,29408000,-97929000,8361000,-64381000,7734000,-29723000,29371000,73627000,63246000,-11789000,-83794000,79635000,-29899000,34083000,107955000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67283000,133541000,-68008000,-81314000,-21354000,-47699000,-134917000,-75745000,-15888000,-17039000,-86217000,-48461000,127740000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16672000,38356000,71740000,60232000,19726000,47832000,89715000,-9204000,1098000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,38100000,77800000,131100000,211900000,277600000,314300000,434454000,509359000,458957000,509720000,635971000,680207000,709615000,611686000,620047000,555666000,563400000,533677000,563048000,636675000,699921000,688132000,604338000,683973000,654074000,688157000,796112000,- -
