,https://roic.ai/company/HBIO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,881000,-28025510,-46103906,-440577,5462063,12853785,10936000,-25024000,3200000,4455000,7398000,13231000,13800000,9316000,7856000,2826000,9285000,1819000,1838000,2426000,6651000,7641000,5171000,752000
16,EBITDA ratio,0.0725,-1.0706,-1.5079,-0.0108,0.0952,0.1475,0.1181,-0.3711,0.0420,0.0534,0.0840,0.1543,0.1276,0.0856,0.0707,0.0269,0.0854,0.0167,0.0176,0.0238,0.0551,0.0658,0.0506,0.0227
17,Operating Income,2412000,1133387,-10326192,-4660561,1640970,7665016,4380000,7924000,8690000,9533000,8479000,8055000,10218000,6077000,3166000,1537000,6618000,-1713000,-2997000,-101000,984000,377000,221000,2066000
18,Operating Income ratio,0.1985,0.0433,-0.3377,-0.1140,0.0286,0.0880,0.0473,0.1175,0.1141,0.1143,0.0963,0.0939,0.0945,0.0558,0.0285,0.0146,0.0609,-0.0158,-0.0287,-0.0010,0.0081,0.0032,0.0022,0.0625
19,Total Other Income Expenses (Gains),-1558000,-30415824,-38184192,1242096,707375,-428287,-584000,-784000,-294000,35000,-829000,1757000,-655000,-1535000,-938000,-1102000,-2201000,-1895000,-81000,-1987000,-8959000,-5879000,-7513000,-935000
20,Income Before Tax,854000,-29282437,-48510384,-3418465,2348345,7236729,3796000,7140000,8396000,9568000,7650000,9812000,9563000,4542000,2228000,435000,4417000,-3608000,-3078000,-2088000,-7975000,-5502000,-7292000,1131000
21,Income Before Tax Ratio,0.0703,-1.1186,-1.5866,-0.0836,0.0409,0.0830,0.0410,0.1059,0.1102,0.1147,0.0869,0.1144,0.0884,0.0417,0.0200,0.0041,0.0406,-0.0332,-0.0294,-0.0205,-0.0660,-0.0474,-0.0714,0.0342
22,Income Tax expense (Gain),783000,137480,1359401,1789953,1611018,2977137,1467000,899000,1775000,1970000,2240000,2673000,-9452000,730000,696000,-288000,2062000,15431000,1229000,-1223000,-3676000,-815000,518000,170000
23,Net Income,71000,-29419917,-49869785,-5208418,737327,4259592,2329000,-31877000,-2341000,-1354000,1673000,7233000,19015000,3812000,2370000,-1830000,2355000,-19039000,-4307000,-865000,-2922000,-4687000,-7810000,961000
24,Net Income ratio,0.0058,-1.1238,-1.6311,-0.1274,0.0128,0.0489,0.0252,-0.4727,-0.0307,-0.0162,0.0190,0.0843,0.1758,0.0350,0.0213,-0.0174,0.0217,-0.1752,-0.0412,-0.0085,-0.0242,-0.0403,-0.0765,0.0291
25,EPS,-0.01,-5.28,-6.25,-0.20,0.03,0.14,0.08,-1.05,-0.08,-0.04,0.05,0.24,0.66,0.13,0.08,-0.06,0.07,-0.57,-0.13,-0.02,-0.09,-0.12,-0.20,0.02
26,EPS Diluted,-0.01,-5.28,-6.25,-0.20,0.03,0.14,0.07,-1.05,-0.08,-0.04,0.05,0.24,0.65,0.13,0.08,-0.06,0.07,-0.57,-0.13,-0.02,-0.09,-0.12,-0.20,0.02
27,Weighted Average Shares Outstanding,5598626,5598626,8005386,25784852,27090054,29923709,30269000,30442000,30519000,30647000,30882000,29649000,28967000,28451000,28799000,30384000,32171000,33593000,34212000,34753000,36453000,37814000,38640000,40754000
28,Weighted Average Shares Outstanding Diluted,5598626,5598626,8005386,25784852,27597564,30711782,31103000,30781000,31148000,31406000,31354000,29946000,29405000,29819000,29424000,31914000,33237000,33593000,34212000,34753000,36453000,37814000,38640000,40754000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123494/000110465902001297/0001104659-02-001297-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465903005531/0001104659-03-005531-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465904007469/0001104659-04-007469-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000104746905006773/0001047469-05-006773-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465906017303/0001104659-06-017303-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312507055676/0001193125-07-055676-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312508053010/0001193125-08-053010-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312509050973/0001193125-09-050973-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312510053862/0001193125-10-053862-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312511068577/0001193125-11-068577-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312512116670/0001193125-12-116670-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312513112305/0001193125-13-112305-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184314001247/0001171843-14-001247-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184315001376/0001171843-15-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184316009551/0001171843-16-009551-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184317001588/0001171843-17-001588-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184318002041/0001171843-18-002041-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184319001793/0001171843-19-001793-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184320001755/0001171843-20-001755-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184321001737/0001171843-21-001737-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184322001806/0001171843-22-001806-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,957000,2396053,35816994,29385455,15313280,8222797,13867000,7632000,9357000,17889000,13698000,16588000,19704000,17916000,20681000,25771000,14134000,6744000,5596000,5733000,8173000,8335000,8317000,7821000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,957000,2396053,35816994,29385455,15313280,8222797,13867000,7632000,9357000,17889000,13698000,16588000,19704000,17916000,20681000,25771000,14134000,6744000,5596000,5733000,8173000,8335000,8317000,7821000
34,Net Receivables,- -,4393796,6448535,7604331,14395129,20354099,21482000,13429000,15724000,17171000,17559000,16632000,17589000,17579000,18976000,17655000,20883000,21420000,19921000,20449000,24572000,20704000,17766000,21834000
35,Inventory,- -,2849670,3722180,5972708,15467268,24679131,25465000,9086000,10743000,14983000,11901000,14406000,15832000,18160000,17762000,15777000,20531000,22343000,19955000,21353000,25087000,22061000,22262000,27587000
36,Other Current Assets,- -,1648030,931771,1790396,3238576,2522306,495000,25249000,17461000,4268000,306000,573000,5441000,3908000,1553000,1547000,1515000,42000,- -,- -,- -,2472000,3355000,4341000
37,Total Current Assets,- -,11287549,46919480,44752890,48414253,55778333,61309000,55396000,53285000,54311000,43464000,48199000,58566000,57563000,58972000,60750000,57063000,50549000,45472000,47535000,57832000,53572000,51700000,61583000
38,PP&E,- -,1559922,1715726,3505742,5918029,6745819,7143000,3983000,4610000,4465000,3221000,3545000,3146000,3086000,4551000,4375000,5190000,5902000,4296000,4140000,5898000,13239000,11721000,3415000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,22906000,29028000,24827000,32108000,33416000,34209000,36200000,36605000,39822000,40357000,38032000,39969000,57304000,57381000,58590000,57689000
40,Intangible Assets,- -,6583354,9562385,33194508,51345704,64553990,69938000,32227000,11513000,10640000,8955000,22405000,23184000,23636000,22501000,20298000,22405000,22095000,18680000,17204000,45764000,38405000,33151000,27385000
41,Intangible Assets,- -,6583354,9562385,33194508,51345704,64553990,69938000,32227000,34419000,39668000,33782000,54513000,56600000,57845000,58701000,56903000,62227000,62452000,56712000,57173000,103068000,95786000,91741000,85074000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,256131,668902,399546,810000,273000,695000,346000,238000,318000,6125000,7925000,10770000,13116000,11056000,995000,1157000,182000,211000,- -,- -,- -
44,Other Non-Current Assets,- -,1179045,610933,652500,1236613,951710,681000,156000,219000,63000,566000,656000,360000,215000,490000,316000,380000,319000,128000,324000,1604000,2273000,1092000,12272000
45,Total Non-Current Assets,- -,9322321,11889044,37608881,59169248,72651065,78572000,36639000,39943000,44542000,37807000,59032000,66231000,69071000,74512000,74710000,78853000,69668000,62293000,61819000,110781000,111298000,104554000,100761000
46,Other Assets,7220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7220000,20609870,58808524,82361771,107583501,128429398,139881000,92035000,93228000,98853000,81271000,107231000,124797000,126634000,133484000,135460000,135916000,120217000,107765000,109354000,168613000,164870000,156254000,162344000
48,Accounts Payable,- -,1880246,2117446,3100414,5524688,6456768,6251000,4026000,4490000,5611000,4665000,4856000,4921000,4959000,4680000,4682000,6294000,8782000,6196000,5404000,7359000,5339000,5972000,4911000
49,Short-Term Debt,- -,- -,- -,3894088,699005,398186,20000,21000,- -,2169000,1361000,13000,4000,- -,- -,5000000,5000000,2450000,2372000,2765000,1999000,6900000,1721000,5377000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,599535,1458703,2079712,2159000,275000,238000,442000,589000,434000,451000,483000,482000,640000,655000,752000,500000,633000,4192000,3949000,3771000,4266000
52,Other Current Liabilities,- -,5624261,4250067,4561851,8916229,6661420,7634000,8674000,9956000,8119000,4600000,6955000,5920000,4117000,4739000,5763000,6150000,7425000,5533000,5239000,7956000,9124000,9589000,10762000
53,Total Current Liabilities,- -,7504507,6367513,12155888,16598625,15596086,16064000,12996000,14684000,16341000,11215000,12258000,11296000,9559000,9901000,16085000,18099000,19409000,14601000,14041000,21506000,25312000,21053000,25316000
54,Long-Term Debt,- -,5072941,1142,637153,399965,12787259,16520000,8500000,3000000,5578000,59000,13308000,18009000,16300000,12950000,19750000,16450000,16450000,11374000,8983000,58796000,46917000,46286000,45095000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1558000
56,Deferred Tax Liabilities,- -,48649,104946,2756861,930251,207144,1507000,1235000,1342000,1560000,1216000,2037000,954000,369000,277000,160000,1325000,3775000,6417000,3964000,2301000,1974000,1899000,1558000
57,Other Non-Current Liabilities,- -,- -,- -,- -,1273433,960364,1433000,888000,2319000,1237000,2063000,4371000,4290000,4907000,6143000,4980000,4574000,2985000,3177000,1466000,3286000,8973000,10335000,-3116000
58,Total Non-Current Liabilities,- -,5121590,106088,3394014,2603649,13954767,19460000,10623000,6661000,8375000,3338000,19716000,23253000,21576000,19370000,24890000,22349000,23210000,20968000,14413000,64383000,57864000,58520000,45095000
59,Other Liabilities,6542000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10648000,9592000,- -
61,Total Liabilities,6542000,12626097,6473601,15549902,19202274,29550853,35524000,23619000,21345000,24716000,14553000,31974000,34549000,31135000,29271000,40975000,40448000,42619000,35569000,28454000,85889000,83176000,79573000,70411000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,102604,294426,313394,346921,347966,351000,351000,352000,355000,358000,360000,361000,362000,370000,390000,397000,416000,418000,419000,436000,438000,444000,452000
64,Retained Earnings,- -,-28373931,-78379867,-83588285,-82850958,-78591366,-76262000,-108139000,-110009000,-111363000,-109690000,-102457000,-83442000,-79630000,-77260000,-95039000,-92684000,-111723000,-116030000,-116967000,-119889000,-124576000,-132386000,-132674000
65,Other Comprehensive Income/Loss,- -,-631752,-955178,-1925472,-3125495,-5285446,-7043000,3000000,6000000,7000000,-3000000,-2000000,-4000000,-6000000,-5000000,-3000000,-8000000,-12000000,-17000000,-11000000,-14000000,-13000000,-13066000,-10027000
66,Other Total Stockholders Equity,678000,36886852,131375542,152012232,174010759,182407391,187311000,173204000,175540000,178145000,179050000,179354000,177329000,180767000,186103000,192134000,195755000,200905000,204808000,208448000,216177000,218832000,221689000,225650000
67,Total Stockholders Equity,678000,7983773,52334923,66811869,88381227,98878545,104357000,68416000,71883000,74137000,66718000,75257000,90248000,95499000,104213000,94485000,95468000,77598000,72196000,80900000,82724000,81694000,76681000,91933000
68,Total Liabilities And Stockholders Equity,7220000,20609870,58808524,82361771,107583501,128429398,139881000,92035000,93228000,98853000,81271000,107231000,124797000,126634000,133484000,135460000,135916000,120217000,107765000,109354000,168613000,164870000,156254000,162344000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7220000,20609870,58808524,82361771,107583501,128429398,139881000,92035000,93228000,98853000,81271000,107231000,124797000,126634000,133484000,135460000,135916000,120217000,107765000,109354000,168613000,164870000,156254000,162344000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123494/000110465902001297/0001104659-02-001297-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465903005531/0001104659-03-005531-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465904007469/0001104659-04-007469-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000104746905006773/0001047469-05-006773-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465906017303/0001104659-06-017303-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312507055676/0001193125-07-055676-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312508053010/0001193125-08-053010-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312509050973/0001193125-09-050973-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312510053862/0001193125-10-053862-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312511068577/0001193125-11-068577-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312512116670/0001193125-12-116670-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312513112305/0001193125-13-112305-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184314001247/0001171843-14-001247-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184315001376/0001171843-15-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184316009551/0001171843-16-009551-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184317001588/0001171843-17-001588-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184318002041/0001171843-18-002041-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184319001793/0001171843-19-001793-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184320001755/0001171843-20-001755-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184321001737/0001171843-21-001737-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184322001806/0001171843-22-001806-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,71000,-29419917,-49869785,-5208418,737327,4259592,2329000,-31877000,-2341000,-1354000,1673000,7233000,19015000,3812000,2370000,-1830000,2355000,-19039000,-4307000,-865000,-2922000,-4687000,-7810000,961000
74,Depreciation and Amortization,27000,1256927,1490268,2971019,3009543,5289827,6346000,5037000,3337000,3474000,3096000,3048000,3560000,4022000,4206000,3989000,3878000,4573000,4274000,3801000,7882000,7733000,7632000,- -
75,Deferred Income Tax,- -,-1310325,927665,-193628,-555462,726380,-918000,-99000,682000,-474000,-757000,469000,-11732000,-849000,-731000,-2441000,1412000,15116000,-279000,-1584000,-2861000,-398000,-143000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2514000,2756000,2863000,3321000,2670000,2156000,2755000,3497000,3500000,3044000,3034000,3647000,- -
77,Change in Working Capital,- -,3783042,36768925,-7954965,-781374,8366619,5062753,-2845000,-3799000,-631000,-5721000,3692000,11329000,734000,1067000,-4406000,-5701000,-7824000,-269000,2623000,2832000,-8066000,2387000,5620000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3233000,-1088000,232000,1154000,436000,-735000,-1340000,566000,196000,-2792000,468000,3105000,- -
79,Inventory,- -,215152,-737737,-637426,1312088,-1075518,582000,1568000,1922000,-950000,511000,-41000,-1238000,-1705000,1174000,1921000,-3056000,-1223000,1248000,-548000,2554000,3260000,413000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1024000,56000,69000,-905000,-41000,1069000,2577000,-2413000,-918000,1593000,-2048000,511000,- -
81,Other Working Capital,- -,3783042,40551967,32597002,31815628,40182247,45245000,42400000,38601000,37970000,32249000,35941000,47270000,48004000,49071000,44665000,38964000,31140000,30871000,33494000,36326000,28260000,30647000,36267000
82,Other Non-Cash Items,-98000,28616714,12828737,14481024,-1610570,-16614604,-1381753,34979000,10477000,11040000,10911000,-447000,-12635000,-3934000,-2171000,6078000,251000,5124000,2467000,-6418000,-5091000,10429000,3618000,-5319000
83,Cash Provided by Operating Activities,- -,2926441,2145810,4095032,799464,2027814,11438000,5195000,8356000,12055000,9202000,16509000,12293000,6648000,8062000,4060000,4351000,705000,5383000,1057000,2884000,8045000,9331000,1262000
84,CAPEX,- -,-332474,-629518,-1838851,-1306730,-1349165,-3011000,-1100000,-2386000,-1452000,-1308000,-1376000,-844000,-1506000,-1831000,-1679000,-2005000,-2978000,-1479000,-929000,-1006000,-1216000,-1152000,-1195000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-5000000,-1000000,-21000000,-7000000,-5000000,-3000000,2000000,-13000000,-5000000,1000000,- -,-53000000,1000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-8213734,-4702778,-18336904,-11059970,-21048202,-7408000,24000,-395000,-395000,432000,76000,-502000,-692000,93000,-1991000,1488000,443000,383000,-27000,190000,-13000,-250000,-150000
89,Cash Used for Investing Activites,- -,-8546208,-5332296,-20175755,-12366700,-22397367,-10419000,-1076000,-3781000,-6847000,-1876000,-22300000,-8346000,-7198000,-4676000,-1613000,-13517000,-7517000,-62000,-917000,-53796000,-229000,-1402000,-1345000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4982000,-5663000,-1708000,-3850000,-2750000,-5500000,-8350000,-9050000,-4702000,-20198000,-11703000,-66912000,-4200000
91,Common Stock Issued,- -,925174,46250994,5880318,600374,1272007,871000,225000,235000,722000,911000,271000,282000,567000,2287000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,-2596000,-2404000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-121666,-171072,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6189337,-8059328,3818124,-3744850,11781809,3339000,-8018000,-5521000,2308000,-6270000,16900000,10350000,- -,500000,2818000,4266000,7810000,4182000,2910000,73251000,4079000,58945000,3948000
95,Cash Used/Provided by Financing Activities,- -,6992845,36520594,9698442,-3144476,13053816,4210000,-7793000,-5286000,3030000,-7955000,9785000,-31000,-1141000,-1063000,68000,-1234000,-540000,-4868000,-1792000,53053000,-7624000,-7967000,-252000
96,Effect of Forex Changes on Cash,- -,66204,86833,-49258,639537,225254,415000,-422000,691000,-80000,-3125000,-1104000,-800000,-97000,442000,791000,-1237000,-38000,-1601000,1789000,299000,-30000,20000,-161000
97,Net Change In Cash,- -,1439282,33420941,-6431539,-14072175,-7090483,5644000,-4096000,-20000,8453000,-4506000,2890000,3116000,-1788000,2765000,5090000,-11637000,-7390000,-1148000,137000,2440000,162000,-18000,-496000
98,Cash at the End of Period,- -,2396053,35816994,29385455,15313280,8222797,13867000,9771000,9751000,18204000,13698000,16588000,19704000,17916000,20681000,25771000,14134000,6744000,5596000,5733000,8173000,8335000,8317000,7821000
99,Cash at the Beginning of Period,- -,956771,2396053,35816994,29385455,15313280,8223000,13867000,9771000,9751000,18204000,13698000,16588000,19704000,17916000,20681000,25771000,14134000,6744000,5596000,5733000,8173000,8335000,8317000
100,Free Cash Flow,- -,2593967,1516292,2256181,-507266,678649,8427000,4095000,5970000,10603000,7894000,15133000,11449000,5142000,6231000,2381000,2346000,-2273000,3904000,128000,1878000,6829000,8179000,67000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123494/000110465902001297/0001104659-02-001297-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465903005531/0001104659-03-005531-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465904007469/0001104659-04-007469-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000104746905006773/0001047469-05-006773-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000110465906017303/0001104659-06-017303-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312507055676/0001193125-07-055676-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312508053010/0001193125-08-053010-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312509050973/0001193125-09-050973-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312510053862/0001193125-10-053862-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312511068577/0001193125-11-068577-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312512116670/0001193125-12-116670-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000119312513112305/0001193125-13-112305-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184314001247/0001171843-14-001247-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184315001376/0001171843-15-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184316009551/0001171843-16-009551-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184317001588/0001171843-17-001588-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184318002041/0001171843-18-002041-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184319001793/0001171843-19-001793-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184320001755/0001171843-20-001755-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184321001737/0001171843-21-001737-index.htm,https://www.sec.gov/Archives/edgar/data/1123494/000117184322001806/0001171843-22-001806-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
