,https://roic.ai/company/CRI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,undefined,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000110465906016954/0001104659-06-016954-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000110465907014975/0001104659-07-014975-index.htm,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082212000006/0001060822-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082213000008/0001060822-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082214000009/0001060822-14-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082215000006/0001060822-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082217000008/0001060822-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082218000006/0001060822-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082219000004/0001060822-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082220000004/0001060822-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082221000006/0001060822-21-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3986000,3415000,3700000,24700000,35600000,36061000,- -,84276000,68500000,49012000,162349000,335041000,- -,233494000,382200000,286500000,- -,340638000,299358000,178494000,170077000,214311000,- -,1102323000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3986000,3415000,3700000,24700000,35600000,36061000,- -,84276000,68500000,49012000,162349000,335041000,- -,233494000,382200000,286500000,- -,340638000,299358000,178494000,170077000,214311000,- -,1102323000
34,Net Receivables,34834000,34405000,33800000,35400000,53600000,65318000,- -,96144000,110600000,119707000,106060000,82094000,- -,157754000,168000000,193600000,- -,184563000,202471000,240561000,258259000,251005000,- -,186512000
35,Inventory,101408000,79636000,92400000,89100000,105700000,104760000,- -,188454000,193600000,225494000,203486000,214000000,- -,347215000,349500000,417800000,- -,444844000,487591000,548722000,574226000,593987000,- -,599262000
36,Other Current Assets,15158000,15139000,14500000,15800000,14900000,15670000,- -,30171000,29700000,39436000,41196000,44533000,- -,43684000,58000000,72500000,- -,71413000,67666000,52935000,40396000,48454000,- -,57927000
37,Total Current Assets,155386000,132595000,144400000,165000000,209800000,221809000,- -,399045000,402400000,433649000,513091000,675668000,- -,782147000,957700000,970400000,- -,1041458000,1057086000,1020712000,1042958000,1107757000,- -,1946024000
38,PP&E,59674000,51776000,54400000,46500000,50500000,50502000,- -,79458000,87900000,75053000,86229000,86077000,- -,122346000,170100000,307900000,- -,333097000,385874000,377924000,350437000,1007192000,- -,855353000
39,Goodwill,30191000,27457000,26600000,139500000,139300000,139282000,- -,284172000,279800000,136570000,136570000,136570000,- -,188679000,189700000,186100000,- -,181975000,176009000,230424000,227101000,229026000,- -,211776000
40,Intangible Assets,94583000,92083000,89600000,233400000,228400000,223358000,- -,339383000,336300000,317148000,310993000,307510000,- -,306434000,306100000,330300000,- -,317297000,308928000,413547000,410203000,375768000,- -,345403000
41,Intangible Assets,124774000,119540000,116200000,372900000,367700000,362640000,- -,623555000,616100000,453718000,447563000,444080000,- -,495113000,495800000,516400000,- -,499272000,484937000,643971000,637304000,604794000,- -,557179000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,35100000,84400000,83900000,- -,- -,- -,125800000,- -,- -,- -,- -,- -,114300000,121400000,- -,121536000,- -,84944000,87347000,74370000,- -,- -
44,Other Non-Current Assets,11461000,11033000,-22600000,-64600000,-68600000,11151000,- -,14669000,-109000000,12248000,4174000,2774000,- -,3103000,-107800000,-103600000,- -,-102267000,18700000,-56509000,-59188000,-40996000,- -,34024000
45,Total Non-Current Assets,195909000,182349000,183100000,439200000,433500000,424293000,- -,717682000,720800000,541019000,537966000,532931000,- -,620562000,672400000,842100000,- -,851638000,889511000,1050330000,1015900000,1645360000,- -,1446556000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,351295000,314944000,327500000,604200000,643300000,646102000,- -,1116727000,1123200000,974668000,1051057000,1208599000,- -,1402709000,1630100000,1812500000,- -,1893096000,1946597000,2071042000,2058858000,2753117000,- -,3392580000
48,Accounts Payable,18887000,19532000,19200000,18800000,34700000,30436000,- -,63735000,70900000,56589000,79011000,97546000,- -,102804000,149600000,164000000,- -,150243000,158432000,182114000,199076000,183641000,- -,472140000
49,Short-Term Debt,900000,900000,- -,- -,6346000,3336000,- -,3241000,2627000,3503000,3503000,3503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,160228000,- -,185152000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5232000,5402000,8486000,- -,6010000,- -,- -,- -,- -,- -,32064000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,22377000,- -,- -,- -,- -,- -,35675000,37313000,- -,36625000,- -,84848000,87347000,74370000,- -,- -
52,Other Current Liabilities,35075000,28692000,37400000,35000000,37654000,37405000,- -,87037000,40596000,46666000,57613000,69568000,- -,49949000,58925000,67787000,- -,61103000,119177000,64286000,40998000,57261000,- -,135240000
53,Total Current Liabilities,54862000,49124000,56600000,53800000,78700000,71177000,- -,154013000,136500000,106758000,140127000,170617000,- -,152753000,244200000,269100000,- -,247971000,277609000,331248000,327421000,475500000,- -,792532000
54,Long-Term Debt,186700000,161400000,156000000,297500000,291300000,209377000,- -,426791000,342400000,338026000,334523000,331020000,- -,236000000,186000000,586000000,- -,586000000,580376000,617306000,593264000,594672000,- -,1544027000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,38964000,35902000,- -,- -,- -,83196000,- -,124439000,- -,113706000,108989000,110676000,- -,114421000,114341000,121434000,- -,121536000,130656000,84848000,87347000,74370000,- -,52770000
57,Other Non-Current Liabilities,9569000,11565000,45300000,94500000,94000000,9816000,- -,24840000,148800000,34049000,40822000,40262000,- -,93826000,100059000,135266000,- -,150905000,169832000,180224000,181393000,728445000,- -,65218000
58,Total Non-Current Liabilities,235233000,208867000,201300000,392000000,385300000,302389000,- -,576070000,491200000,485781000,484334000,481958000,- -,444247000,400400000,842700000,- -,858441000,880864000,882378000,862004000,1397487000,- -,1662015000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,824600000,- -,739649000
61,Total Liabilities,290095000,257991000,257900000,445800000,464000000,373566000,- -,730083000,627700000,592539000,624461000,652575000,- -,597000000,644600000,1111800000,- -,1106412000,1158473000,1213626000,1189425000,1872987000,- -,2454547000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,60000000,60000000,- -,100000,200000,280000,- -,289000,600000,576000,563000,581000,- -,586000,600000,500000,- -,527000,489000,472000,456000,440000,- -,438000
64,Retained Earnings,2613000,-1187000,11500000,12800000,32100000,30476000,- -,127336000,214600000,146526000,221584000,324179000,- -,584667000,745800000,705900000,- -,809194000,822375000,886037000,909816000,915324000,- -,952603000
65,Other Comprehensive Income/Loss,- -,- -,-41800000,-5000000,-18400000,- -,- -,-1395000,5301000,2671000,-7318000,-4066000,- -,-11282000,-11205000,-10082000,- -,-23037000,-34740000,-29093000,-40839000,-35634000,- -,-32760000
66,Other Total Stockholders Equity,- -,- -,99900000,150400000,165459000,- -,- -,260414000,274990000,- -,- -,235330000,- -,231738000,250284000,4413000,- -,- -,- -,-323000,- -,- -,- -,17752000
67,Total Stockholders Equity,61200000,56953000,69600000,158300000,179359000,272536000,- -,386644000,495491000,382129000,426596000,556024000,- -,805709000,985479000,700731000,- -,786684000,788124000,857093000,869433000,880130000,- -,938033000
68,Total Liabilities And Stockholders Equity,351295000,314944000,327500000,604100000,643359000,646102000,- -,1116727000,1123191000,974668000,1051057000,1208599000,- -,1402709000,1630079000,1812531000,- -,1893096000,1946597000,2070719000,2058858000,2753117000,- -,3392580000
69,Minority Interest,- -,- -,- -,100000,-59000,- -,- -,- -,9000,- -,- -,- -,- -,- -,21000,-31000,- -,- -,- -,323000,- -,- -,- -,- -
70,Total Liabilities & Equity,351295000,314944000,327500000,604200000,643300000,646102000,- -,1116727000,1123200000,974668000,1051057000,1208599000,- -,1402709000,1630100000,1812500000,- -,1893096000,1946597000,2071042000,2058858000,2753117000,- -,3392580000
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000110465906016954/0001104659-06-016954-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000110465907014975/0001104659-07-014975-index.htm,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082212000006/0001060822-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082213000008/0001060822-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082214000009/0001060822-14-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082215000006/0001060822-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082217000008/0001060822-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082218000006/0001060822-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082219000004/0001060822-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082220000004/0001060822-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082221000006/0001060822-21-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3510000,- -,12700000,-4200000,19300000,23278000,- -,47202000,87200000,-70618000,75058000,115640000,- -,114016000,161200000,160400000,- -,194670000,258106000,302848000,282068000,263802000,- -,109717000
74,Depreciation and Amortization,17205000,- -,17520000,19163000,20454000,24281000,- -,38614000,28843000,31079000,31303000,32274000,- -,32548000,39848000,68503000,- -,74924000,73441000,84412000,89653000,95954000,- -,93999000
75,Deferred Income Tax,1092000,- -,248000,675000,-1264000,299000,- -,380000,502000,-9630000,-1979000,2270000,- -,9128000,-9651000,596000,- -,3911000,1294000,-54892000,-1018000,-13300000,- -,-23254000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6775000,- -,9644000,13049000,16040000,- -,17598000,16847000,17549000,14673000,16529000,- -,12830000
77,Change in Working Capital,-15130000,- -,4329000,23400000,19900000,19532000,- -,61332000,20868000,60991000,46073000,132087000,- -,96494000,84106000,-12200000,- -,92187000,-88413000,-90013000,26073000,-83280000,- -,521235000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3358000,- -,-33222000,-10200000,-26064000,- -,8405000,5041000,-18046000,-34448000,8121000,- -,58275000
79,Inventory,-13769000,- -,-12799000,7897000,-16631000,940000,- -,4639000,-5134000,-31906000,22008000,-10514000,- -,-20571000,-1790000,-70691000,- -,-32151000,-17482000,-20922000,-30646000,-16683000,- -,-8063000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18535000,- -,-18745000,89709000,86515000,- -,16043000,32061000,41175000,4982000,692100000,- -,284824000
81,Other Working Capital,100524000,- -,87800000,111200000,131100000,150632000,- -,245032000,265900000,326891000,372964000,505051000,- -,629394000,713500000,701300000,- -,793487000,779477000,689464000,715537000,632257000,- -,1153492000
82,Other Non-Cash Items,387000,- -,-10600000,-7757000,-31086000,-26884000,- -,-10261000,-49189000,40165000,33168000,-100807000,- -,-180756000,-9933000,-23643000,- -,-100893000,107954000,69717000,-55251000,107510000,- -,-124633000
83,Cash Provided by Operating Activities,7064000,- -,24197000,31281000,27304000,40506000,- -,137267000,88224000,51987000,183623000,188239000,- -,81074000,278619000,209696000,- -,282397000,369229000,329621000,356198000,387215000,- -,589894000
84,CAPEX,-17991000,- -,-17179000,-19036000,-18009000,-17347000,- -,-22588000,-30848000,-21876000,-37529000,-32980000,- -,-45495000,-83398000,-220532000,- -,-107003000,-88556000,-69473000,-63783000,-61419000,- -,-32871000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-309984000,- -,- -,- -,- -,- -,-61207000,- -,- -,- -,- -,- -,-158457000,96000,- -,- -,- -
86,Purchases of Investments,- -,- -,-4336000,- -,- -,- -,- -,-210825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1500000,- -,- -,- -,- -,229180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-17960000,- -,-16381000,-256725000,2455000,875000,- -,5814000,348000,57000,- -,-28896000,- -,-45485000,-83392000,-220532000,- -,-104732000,-88340000,-69458000,-63403000,-60670000,- -,-32871000
89,Cash Used for Investing Activites,-17960000,- -,-19217000,-256725000,-15554000,-16472000,- -,-308403000,-30500000,-21819000,-37529000,-28896000,- -,-106692000,-83392000,-220532000,- -,-104732000,-88340000,-227915000,-63307000,-60670000,- -,-32871000
90,Debt Repayment,-104250000,- -,-64725000,-197720000,- -,- -,- -,- -,- -,- -,- -,-3503000,- -,- -,-52500000,- -,- -,- -,- -,-163965000,-315000000,-766252000,- -,-744000000
91,Common Stock Issued,60000,- -,- -,127220000,1000000,94469000,- -,1986000,2390000,3039000,852000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-320000,- -,-70000,-60000,- -,- -,- -,- -,- -,-57467000,-33637000,- -,- -,- -,-2846000,-459185000,- -,-86647000,-309118000,-194515000,-199858000,-201238000,- -,-50266000
93,Dividends Paid,- -,- -,- -,- -,- -,-24893000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27715000,- -,-40477000,-66355000,-70914000,-83717000,-89591000,- -,-26260000
94,Other Financing Activites,115133000,- -,60097000,316999000,-1880000,-93111000,- -,220161000,-75845000,4727000,28000,16852000,- -,11505000,9029000,402242000,- -,4686000,11966000,206319000,299629000,773697000,- -,1145369000
95,Cash Used/Provided by Financing Activities,10623000,- -,-4698000,246439000,-880000,-23535000,- -,222147000,-73455000,-49701000,-32757000,13349000,- -,11505000,-46317000,-84658000,- -,-122438000,-363507000,-223075000,-298946000,-283384000,- -,324843000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,-168000,-196000,- -,-1135000,767000,505000,-2362000,1073000,- -,6146000
97,Net Change In Cash,-273000,- -,282000,20995000,10870000,499000,- -,51011000,-15731000,-19533000,113337000,172692000,- -,-13888000,148742000,-95690000,- -,54092000,-81851000,-120864000,-8417000,44234000,- -,888012000
98,Cash at the End of Period,3986000,- -,3697000,24692000,35562000,36061000,- -,84276000,68545000,49012000,162349000,335041000,- -,233494000,382236000,286546000,- -,340638000,299358000,178494000,170077000,214311000,- -,1102323000
99,Cash at the Beginning of Period,4259000,- -,3415000,3697000,24692000,35562000,- -,33265000,84276000,68545000,49012000,162349000,- -,247382000,233494000,382236000,- -,286546000,381209000,299358000,178494000,170077000,- -,214311000
100,Free Cash Flow,-10927000,- -,7018000,12245000,9295000,23159000,- -,114679000,57376000,30111000,146094000,155259000,- -,35579000,195221000,-10836000,- -,175394000,280673000,260148000,292415000,325796000,- -,557023000
101,SEC Link,- -,undefined,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000110465906016954/0001104659-06-016954-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000110465907014975/0001104659-07-014975-index.htm,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082212000006/0001060822-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082213000008/0001060822-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082214000009/0001060822-14-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082215000006/0001060822-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082217000008/0001060822-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082218000006/0001060822-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082219000004/0001060822-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060822/000106082220000004/0001060822-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1060822/000106082221000006/0001060822-21-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
