,https://roic.ai/company/APD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,46200000,116700000,96600000,36200000,49500000,74400000,104400000,116800000,238400000,99900000,87000000,79000000,52500000,61500000,61600000,94100000,66200000,253700000,76200000,146300000,55800000,35200000,42300000,103500000,488200000,374300000,422500000,454400000,450400000,336600000,206400000,1501300000,3273600000,2791300000,2248700000,5253000000,4468900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000000,184700000,166000000,1104900000,1331900000
33,Cash and Short-Term Investments,46200000,116700000,96600000,36200000,49500000,74400000,104400000,116800000,238400000,99900000,87000000,79000000,52500000,61500000,61600000,94100000,66200000,253700000,76200000,146300000,55800000,35200000,42300000,103500000,488200000,374300000,422500000,454400000,450400000,336600000,206400000,1501300000,3677600000,2976000000,2414700000,6357900000,5800800000
34,Net Receivables,381500000,375600000,289900000,344700000,377300000,437300000,421300000,495500000,576700000,662000000,748000000,785000000,1000900000,975200000,974500000,1076100000,981300000,1049000000,1271300000,1526000000,1589000000,1876300000,2082700000,1883100000,1763000000,1854000000,1861300000,1923800000,1967900000,1909200000,1770400000,1807200000,1540100000,1515800000,1415400000,1417400000,1655100000
35,Inventory,187400000,171200000,154800000,206200000,215100000,210600000,227300000,254400000,293600000,292400000,335000000,371000000,386500000,428600000,424900000,388800000,410500000,392600000,483100000,505900000,494800000,509500000,516700000,503700000,641900000,735200000,681400000,786600000,706100000,706000000,657800000,619900000,335400000,396100000,388300000,404800000,453900000
36,Other Current Assets,23000000,41000000,36600000,39200000,114900000,115000000,148200000,131400000,87600000,123400000,162000000,140000000,184400000,176400000,321400000,246000000,226800000,214000000,237300000,238700000,275100000,191600000,216700000,357800000,104700000,70300000,224600000,251000000,314700000,343000000,276200000,388900000,323600000,194300000,399900000,504800000,466500000
37,Total Current Assets,638100000,704500000,577900000,626300000,756800000,837300000,901200000,998100000,1196300000,1177700000,1332000000,1375000000,1624300000,1641700000,1782400000,1805000000,1684800000,1909300000,2067900000,2416900000,2414700000,2612600000,2858400000,2848100000,2997800000,3033800000,3189800000,3415800000,3439100000,3294800000,2910800000,4317300000,5876700000,5082200000,4618300000,8684900000,8376300000
38,PP&E,1782300000,1829100000,1920500000,2061600000,2217600000,2485100000,2622600000,2745700000,2705600000,2992600000,3502000000,3959000000,4441200000,4786100000,5192900000,5256700000,5118500000,5377800000,5637100000,5702200000,5868800000,6162000000,6770000000,6614800000,6859600000,7051300000,7412000000,8240600000,8974000000,9532100000,9636900000,8852700000,8440200000,9923700000,10337600000,12341500000,14020800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989100000,1229600000,928100000,916000000,914600000,892400000,1598400000,1653800000,1237300000,1131300000,1150200000,721500000,788900000,797100000,891500000,911500000
40,Intangible Assets,53900000,5600000,6100000,37200000,52400000,54700000,64800000,71500000,64500000,67200000,81000000,84000000,248600000,324900000,350400000,742200000,781300000,431100000,829900000,931900000,1018700000,113000000,276200000,289600000,262600000,285700000,260700000,761600000,717300000,615800000,508300000,488000000,368300000,438500000,419500000,435800000,420700000
41,Intangible Assets,53900000,5600000,6100000,37200000,52400000,54700000,64800000,71500000,64500000,67200000,81000000,84000000,248600000,324900000,350400000,742200000,781300000,431100000,829900000,931900000,1018700000,1102100000,1505800000,1217700000,1178600000,1200300000,1153100000,2360000000,2371100000,1853100000,1639600000,1638200000,1089800000,1227400000,1216600000,1327300000,1332200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,868100000,912800000,1011600000,1175700000,1195500000,1257900000,1265700000,1288100000,1286900000,1277200000,1276200000,1432200000,1716200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,71100000,- -,- -,- -,73700000,53100000,56600000,69000000,192700000,174500000,121400000,115200000,115100000,100200000
44,Other Non-Current Assets,119200000,166500000,197200000,274400000,338900000,522400000,638900000,676300000,795100000,798700000,901000000,1104000000,930000000,736900000,909800000,466600000,499500000,776800000,897000000,989400000,1106600000,1304000000,1478300000,1819600000,1125000000,1307700000,1524200000,1676000000,1817300000,1784600000,1916100000,1766300000,1599100000,1546400000,1378900000,1267500000,1313500000
45,Total Non-Current Assets,1955400000,2001200000,2123800000,2373200000,2608900000,3062200000,3326300000,3493500000,3565200000,3858500000,4484000000,5147000000,5619800000,5847900000,6453100000,6465500000,6399300000,6585700000,7364000000,7623500000,7994100000,8568100000,9801100000,9723200000,10031300000,10472100000,11100900000,13526000000,14411000000,14484300000,14527300000,13738000000,12590500000,14096100000,14324500000,16483600000,18482900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2593500000,2705700000,2701700000,2999500000,3365700000,3899500000,4227500000,4491600000,4761500000,5036200000,5816000000,6522000000,7244100000,7489600000,8235500000,8270500000,8084100000,8495000000,9431900000,10040400000,10408800000,11180700000,12659500000,12571300000,13029100000,13505900000,14290700000,16941800000,17850100000,17779100000,17438100000,18055300000,18467200000,19178300000,18942800000,25168500000,26859200000
48,Accounts Payable,- -,- -,- -,- -,312900000,350800000,389200000,364100000,425500000,488100000,519000000,526000000,616600000,478700000,505800000,578400000,512200000,403300000,547300000,1319600000,1378000000,1655100000,943400000,755200000,1020300000,1702000000,1641800000,1004900000,1025500000,740600000,638900000,676100000,659500000,594600000,519300000,546200000,736800000
49,Short-Term Debt,67700000,33600000,51600000,97600000,46600000,103400000,190400000,120800000,234600000,321000000,487000000,456000000,176400000,423200000,880600000,429200000,450200000,344000000,342100000,280100000,447000000,569600000,700700000,451400000,785900000,468500000,634700000,707700000,1217300000,1294000000,1929900000,1307100000,560400000,460900000,98600000,548400000,565500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73600000,65500000,48500000,63000000,78000000,55800000,146600000,98600000,59600000,86600000,105800000,93900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90200000,- -,- -,- -,- -,155000000,162700000,172100000,195300000,376100000,438900000,156600000,247400000,313800000,366800000
52,Other Current Liabilities,425500000,438300000,381800000,419100000,135000000,168800000,204900000,234400000,213900000,267300000,305000000,281000000,331600000,363700000,471400000,367200000,390000000,508900000,691800000,105900000,118200000,98700000,688400000,1005400000,697400000,73600000,65500000,822300000,822100000,756300000,884000000,924000000,830200000,1126200000,955600000,1008300000,1130000000
53,Total Current Liabilities,493200000,471900000,433400000,516700000,494500000,623000000,784500000,719300000,874000000,1076400000,1311000000,1263000000,1124600000,1265600000,1857800000,1374800000,1352400000,1256200000,1581200000,1705600000,1943200000,2323400000,2422700000,2212000000,2503600000,2244100000,2342000000,2689900000,3227600000,2963000000,3648100000,3283300000,2489000000,2338300000,1820900000,2416700000,2799100000
54,Long-Term Debt,520800000,700200000,616400000,667900000,853700000,953900000,944600000,956200000,1016400000,922500000,1194000000,1739000000,2291700000,2274300000,1961600000,2615800000,2027500000,2041000000,2168600000,2113600000,2052900000,2280200000,2976500000,3515400000,3715600000,3659800000,3927500000,4584200000,5056300000,4824500000,3949100000,4918100000,3402400000,3351700000,3227400000,7430100000,7653700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1522000000,- -,- -,32700000,31000000,57600000,135100000,43800000,39000000,58200000,49200000,57900000,58400000
56,Deferred Tax Liabilities,322400000,318500000,374400000,397300000,416900000,451500000,476900000,502400000,489100000,423500000,478000000,582000000,730000000,703000000,731100000,781800000,778400000,725600000,705600000,788000000,834500000,833100000,712500000,626600000,357900000,335100000,570100000,670800000,827200000,995500000,903300000,767100000,778400000,775100000,793800000,962600000,1180900000
57,Other Non-Current Liabilities,94100000,115000000,130900000,145400000,155700000,182700000,180200000,216000000,280100000,407400000,435000000,364000000,449700000,579400000,596100000,561300000,702000000,827400000,1005900000,820300000,821600000,642000000,874900000,1050400000,- -,1569300000,1512400000,2340900000,1509100000,1417100000,1421400000,1829600000,1572900000,1478700000,1663200000,1858100000,1079100000
58,Total Non-Current Liabilities,937300000,1133700000,1121700000,1210600000,1426300000,1588100000,1601700000,1674600000,1785600000,1753400000,2107000000,2685000000,3471400000,3556700000,3288800000,3958900000,3507900000,3594000000,3880100000,3721900000,3709000000,3755300000,4563900000,5192400000,5595500000,5564200000,6010000000,7628600000,7423600000,7294700000,6408900000,7558600000,5792700000,5663700000,5733600000,10308700000,9972100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406500000,582000000
61,Total Liabilities,1430500000,1605600000,1555100000,1727300000,1920800000,2211100000,2386200000,2393900000,2659600000,2829800000,3418000000,3948000000,4596000000,4822300000,5146600000,5333700000,4860300000,4850200000,5461300000,5427500000,5652200000,6078700000,6986600000,7404400000,8099100000,7808300000,8352000000,10318500000,10651200000,10257700000,10057000000,10841900000,8281700000,8002000000,7554500000,12725400000,12771200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,124700000,125000000,125000000,124700000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000,249400000
64,Retained Earnings,1028600000,988200000,1093300000,1246800000,1399600000,1552800000,1717700000,1895400000,1994700000,2134700000,2388000000,2687000000,2990200000,3400000000,3701800000,3667900000,3965900000,4312800000,4516600000,4887100000,5317200000,5743500000,6458500000,6990200000,7234600000,7852200000,8599500000,9234500000,9646400000,9993200000,10580400000,10475500000,12846600000,13409900000,14138400000,14875700000,15678300000
65,Other Comprehensive Income/Loss,-1395300000,-1607100000,-1793700000,-2024100000,-2224300000,-2525100000,-2709600000,-3038800000,-3247200000,-3526900000,-3848000000,-4144000000,-4286100000,-4703400000,-4995000000,-5054200000,-5108000000,-5502000000,-711300000,-479500000,-433200000,-221700000,-142900000,-549300000,-1161800000,-1159400000,-1253400000,-1348800000,-1020600000,-1241900000,-2125900000,-2388300000,-1847400000,-1741900000,-2375600000,-2140100000,-1515900000
66,Other Total Stockholders Equity,1529700000,1719000000,1847000000,2049500000,2269600000,2660700000,2833200000,3241100000,3354400000,3473900000,3733000000,3906000000,3819300000,3721300000,4132700000,4073700000,4116500000,4584600000,-272200000,-213000000,-557900000,-847200000,-1069400000,-1659600000,-1530300000,-1395300000,-1799700000,-1657900000,-1833100000,-1634900000,-1454900000,-1257000000,-1162400000,-1059900000,-958600000,-905200000,-872100000
67,Total Stockholders Equity,1163000000,1100100000,1146600000,1272200000,1444900000,1688400000,1841300000,2097700000,2101900000,2206400000,2398000000,2574000000,2648100000,2667300000,3088900000,2936800000,3223800000,3644800000,3782500000,4444000000,4575500000,4924000000,5495600000,5030700000,4791900000,5546900000,5795800000,6477200000,7042100000,7365800000,7249000000,7079600000,10086200000,10857500000,11053600000,12079800000,13539700000
68,Total Liabilities And Stockholders Equity,2593500000,2705700000,2701700000,2999500000,3365700000,3899500000,4227500000,4491600000,4761500000,5036200000,5816000000,6522000000,7244100000,7489600000,8235500000,8270500000,8084100000,8495000000,9243800000,9871500000,10227700000,11002700000,12482200000,12435100000,12891000000,13355200000,14147800000,16795700000,17693300000,17623500000,17306000000,17921500000,18367900000,18859500000,18608100000,24805200000,26310900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188100000,168900000,181100000,178000000,177300000,136200000,138100000,150700000,142900000,146100000,156800000,155600000,132100000,133800000,99300000,318800000,334700000,363300000,548300000
70,Total Liabilities & Equity,2593500000,2705700000,2701700000,2999500000,3365700000,3899500000,4227500000,4491600000,4761500000,5036200000,5816000000,6522000000,7244100000,7489600000,8235500000,8270500000,8084100000,8495000000,9431900000,10040400000,10408800000,11180700000,12659500000,12571300000,13029100000,13505900000,14290700000,16941800000,17850100000,17779100000,17438100000,18055300000,18467200000,19178300000,18942800000,25168500000,26859200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2969/000000296901500028/0000002969-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296902000029/0000002969-02-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/2969/000095012304014695/y68942e10vk.htm,https://www.sec.gov/Archives/edgar/data/2969/000095012305013994/y14674e10vk.htm,https://www.sec.gov/Archives/edgar/data/2969/000095012306015112/y27203e10vk.htm,https://www.sec.gov/Archives/edgar/data/2969/000095012307016020/0000950123-07-016020-index.html,https://www.sec.gov/Archives/edgar/data/2969/000095012308016491/0000950123-08-016491-index.html,https://www.sec.gov/Archives/edgar/data/2969/000095012309066095/0000950123-09-066095-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/0001193125-10-266784-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312511319887/0001193125-11-319887-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312512476878/0001193125-12-476878-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312513453925/0001193125-13-453925-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312514423115/0001193125-14-423115-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312515386399/0001193125-15-386399-index.html,https://www.sec.gov/Archives/edgar/data/2969/000119312516773346/0001193125-16-773346-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296917000039/0000002969-17-000039-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296918000044/0000002969-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296919000051/0000002969-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/2969/000000296920000049/0000002969-20-000049-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,222100000,229900000,248900000,271000000,200900000,247800000,368000000,416000000,429300000,546800000,450500000,124200000,560200000,525400000,397300000,604100000,711700000,723400000,1035600000,909700000,631300000,1029100000,1224200000,1167300000,994200000,991700000,1277900000,631100000,3000400000,1497800000,1760000000,1886700000,2099100000
