,https://roic.ai/company/TPR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,253390000,248171000,295444000,295884000,349800000,433700000,545600000,688900000,874300000,1029589000,1259900000,1350700000,1483600000,1718600000,1954089000,2173607000,2259100000,2300300000,2397800000,2293700000,3183100000,3267400000,3915400000,3113900000
11,COGS and Expenses,488902000,474361000,492901000,514391000,585800000,709500000,876600000,1088600000,1346900000,1619059000,2033600000,2258600000,2457500000,2853600000,3251191000,3550849000,3686200000,3573600000,3838300000,3700900000,5209200000,5213000000,5512200000,4778300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000,1031000,720000,2369000,2181000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60100000,71400000
14,Depreciation and Amortization,- -,- -,22628000,24131000,25494000,30231000,42854000,57033000,65115000,80887000,100704000,123014000,126744000,125106000,132909000,162987000,189360000,191800000,210600000,212800000,260300000,268200000,248300000,218700000
15,EBITDA,20663000,16715000,78258000,123561000,158619000,176840000,472420000,681010000,862365000,1142693000,1295714000,1100126000,1278632000,1426325000,1638572000,1683513000,1311579000,803400000,837200000,971800000,857100000,1066300000,-315800000,1187400000
16,EBITDA ratio,0.0402,0.0334,0.1426,0.2006,0.2205,0.1855,0.3576,0.3982,0.4084,0.4374,0.4074,0.3405,0.3544,0.3430,0.3440,0.3317,0.2729,0.1917,0.1864,0.2165,0.1458,0.1769,-0.0637,0.2066
17,Operating Income,25013000,19475000,56017000,101688000,133635000,243762000,444465000,621810000,764604000,993397000,1147129000,971913000,1150171000,1304924000,1511989000,1524541000,1120074000,618000000,653500000,787400000,670800000,814100000,-550800000,968000000
18,Operating Income ratio,0.0487,0.0389,0.1020,0.1651,0.1858,0.2557,0.3364,0.3635,0.3621,0.3803,0.3606,0.3009,0.3188,0.3138,0.3174,0.3004,0.2330,0.1474,0.1455,0.1754,0.1141,0.1351,-0.1110,0.1685
19,Total Other Income Expenses (Gains),-236000,-414000,-387000,-2258000,-335000,1038000,3235000,15790000,32596000,41273000,47771000,5187000,1729000,-3724000,-6326000,-4015000,2226000,-6400000,-26900000,-28400000,-74000000,-47900000,-73400000,-70700000
20,Income Before Tax,24777000,19061000,55630000,99430000,133300000,244800000,447700000,637600000,797200000,1034670000,1194900000,977100000,1151900000,1301200000,1505663000,1520526000,1122300000,611600000,626600000,759000000,596800000,766200000,-624200000,897300000
21,Income Before Tax Ratio,0.0482,0.0381,0.1013,0.1614,0.1853,0.2568,0.3389,0.3728,0.3776,0.3961,0.3757,0.3025,0.3193,0.3129,0.3161,0.2996,0.2335,0.1459,0.1395,0.1691,0.1015,0.1271,-0.1258,0.1562
22,Income Tax expense (Gain),- -,- -,17027000,35400000,47325000,9000,167866000,235277000,302950000,398141000,411910000,353712000,416988000,420419000,466753000,486106000,340919000,209200000,166100000,168000000,199300000,154700000,27900000,63100000
23,Net Income,20663000,16715000,38603000,64030000,85800000,146600000,261700000,388700000,494300000,663665000,783100000,623400000,734900000,880800000,1038910000,1034420000,781300000,402400000,460500000,591000000,397500000,643400000,-652100000,834200000
24,Net Income ratio,0.0402,0.0334,0.0703,0.1039,0.1193,0.1538,0.1981,0.2273,0.2341,0.2540,0.2462,0.1930,0.2037,0.2118,0.2181,0.2038,0.1626,0.0960,0.1025,0.1317,0.0676,0.1068,-0.1314,0.1452
25,EPS,0.07,0.06,0.10,0.20,0.24,0.41,0.70,1.03,1.30,1.80,2.20,1.93,2.36,2.99,3.60,3.66,2.81,1.46,1.66,2.11,1.39,2.22,-2.34,3.00
26,EPS Diluted,0.07,0.06,0.10,0.19,0.23,0.40,0.68,1.00,1.27,1.76,2.17,1.91,2.33,2.92,3.53,3.61,2.79,1.45,1.65,2.09,1.38,2.21,-2.34,2.95
27,Weighted Average Shares Outstanding,280208000,280208000,339248000,327440000,352192000,359116000,372120000,378670000,379635000,369661000,355731000,323714000,311413000,294877000,288284000,282494000,277790000,275700000,277600000,280600000,285400000,289400000,278600000,277900000
28,Weighted Average Shares Outstanding Diluted,280208000,280208000,340512000,337248000,363808000,371684000,385558000,390191000,388495000,377356000,360332000,325620000,315848000,301558000,294129000,286307000,280379000,277200000,279300000,282800000,288600000,290800000,278600000,283000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1116132/000095012302009068/0000950123-02-009068-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012303010503/0000950123-03-010503-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012304011048/0000950123-04-011048-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012305010967/y12642e10vk.htm,https://www.sec.gov/Archives/edgar/data/1116132/000095013606007118/file1.htm,https://www.sec.gov/Archives/edgar/data/1116132/000114420407046122/0001144204-07-046122-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420408049205/0001144204-08-049205-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420409044645/0001144204-09-044645-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420410046620/0001144204-10-046620-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420411048771/0001144204-11-048771-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420412047660/0001144204-12-047660-index.html,- -,https://www.sec.gov/Archives/edgar/data/1116132/000111613214000003/0001116132-14-000003-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613215000010/0001116132-15-000010-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613216000026/coh7022016-10k.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613217000011/0001116132-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613218000021/0001116132-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000016/tpr6302018-10k1.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000022/0001116132-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613221000020/0001116132-21-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,3691000,94000000,229200000,262700000,154600000,143400000,556956000,698900000,800400000,596500000,699800000,917215000,1062785000,591900000,1291800000,859000000,2672900000,1243400000,969200000,1426300000,2007700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,171700000,228500000,394200000,628860000,- -,- -,99900000,2300000,- -,72106000,276700000,234000000,460400000,410700000,6600000,264600000,8100000,- -
33,Cash and Short-Term Investments,- -,- -,- -,3691000,94000000,229200000,434400000,383100000,537600000,1185816000,698900000,800400000,696400000,702100000,917215000,1134891000,868600000,1525800000,1319400000,3083600000,1250000000,1233800000,1434400000,2007700000
34,Net Receivables,- -,- -,- -,20608000,30900000,35500000,55700000,65400000,84400000,107814000,106700000,108700000,109100000,142900000,174462000,175477000,198600000,219500000,245200000,309500000,339900000,353900000,239300000,454800000
35,Inventory,- -,- -,- -,105162000,136400000,143800000,161900000,184400000,233500000,291192000,345500000,326100000,363300000,421800000,504490000,524706000,526200000,485100000,459200000,469700000,673800000,778300000,736900000,734800000
36,Other Current Assets,- -,- -,- -,22106000,26300000,40000000,53600000,76500000,119000000,155374000,234600000,161200000,133800000,185600000,208361000,235873000,261800000,276100000,149100000,90500000,168900000,190800000,142500000,178000000
37,Total Current Assets,- -,- -,- -,151567000,287600000,448500000,705600000,709400000,974500000,1740196000,1385700000,1396400000,1302600000,1452400000,1804528000,2070947000,1855200000,2506500000,2172900000,3953300000,2432600000,2556800000,2553100000,3375300000
38,PP&E,- -,- -,- -,72388000,90600000,118500000,148500000,203900000,298500000,368461000,464200000,593000000,548500000,582300000,644449000,694771000,713900000,732600000,919500000,691400000,885400000,938800000,2532200000,2174700000
39,Goodwill,- -,- -,- -,- -,13000000,13000000,13600000,238700000,227800000,213794000,247000000,283400000,305900000,331000000,376035000,345039000,361400000,434200000,502400000,480500000,1484300000,1516200000,1301100000,1297300000
40,Intangible Assets,- -,- -,- -,15695000,9400000,9400000,9800000,9800000,9800000,11865000,11900000,9800000,9800000,9800000,9788000,9788000,9800000,359900000,346800000,340800000,1732900000,1711900000,1379400000,1373400000
41,Intangible Assets,- -,- -,- -,15695000,22400000,22400000,23400000,248500000,237600000,225659000,258900000,293200000,315700000,340800000,385823000,354827000,371200000,794100000,849200000,821300000,3217200000,3228100000,2680500000,2670700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6000000,- -,- -,197340000,484518000,406000000,558600000,75100000,- -,100000,100000,- -
43,Tax Assets,- -,- -,- -,19061000,- -,- -,15800000,4500000,31700000,86046000,26400000,- -,- -,- -,95223000,84845000,- -,- -,- -,- -,24300000,234100000,155100000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,40000000,28300000,135400000,180800000,84200000,29150000,138600000,275700000,294300000,259600000,174298000,129167000,238282000,227700000,392500000,290500000,118800000,-80600000,3200000,161700000
45,Total Non-Current Assets,- -,- -,- -,107144000,153000000,169200000,323100000,637700000,652000000,709316000,888100000,1167900000,1164500000,1182700000,1299793000,1460950000,1807900000,2160400000,2719800000,1878300000,4245700000,4320500000,5371100000,5007100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,258711000,440600000,617700000,1028700000,1347100000,1626500000,2449512000,2273800000,2564300000,2467100000,2635100000,3104321000,3531897000,3663100000,4666900000,4892700000,5831600000,6678300000,6877300000,7924200000,8382400000
48,Accounts Payable,- -,- -,- -,14313000,25800000,26600000,44800000,65000000,79800000,109309000,134700000,103000000,105600000,118600000,155387000,178857000,153900000,222800000,186700000,194600000,264300000,243600000,130800000,445200000
49,Short-Term Debt,- -,- -,- -,7745000,34200000,26551000,1814000,12442000,170000,235000,285000,8004000,742000,795000,22375000,500000,140485000,11300000,15000000,- -,700000,800000,1100300000,319400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100500000,52000000
51,Deferred Revenue,- -,- -,- -,- -,14123000,21264000,34521000,50820000,78019000,- -,69557000,49476000,77355000,93902000,- -,- -,112630000,98000000,248000000,170000000,- -,27500000,55000000,- -
52,Other Current Liabilities,- -,- -,- -,82390000,85277000,87085000,100765000,137538000,183811000,298452000,246358000,299220000,345303000,379703000,540398000,543153000,406085000,502600000,377000000,389200000,673200000,646100000,456000000,661200000
53,Total Current Liabilities,- -,- -,- -,104448000,159400000,161500000,181900000,265800000,341800000,407996000,450900000,459700000,529000000,593000000,718160000,722510000,813100000,834700000,826700000,753800000,938200000,918000000,1742100000,1425800000
54,Long-Term Debt,- -,- -,- -,3690000,3600000,3500000,3400000,3300000,3100000,2865000,2600000,25100000,24200000,23400000,985000,485000,- -,879100000,861200000,1579500000,1593900000,1601900000,1592300000,3116600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138822000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,36448000,- -,- -,77355000,93902000,- -,- -,112630000,98400000,57300000,63300000,206200000,234100000,155100000,203900000
57,Other Non-Current Liabilities,- -,- -,- -,2259000,17200000,25700000,61100000,45300000,92900000,91849000,304500000,383500000,331245000,312198000,253423000,399744000,316770000,364800000,464600000,433100000,695400000,609900000,2158300000,376800000
58,Total Non-Current Liabilities,- -,- -,- -,5949000,20800000,29200000,64500000,48600000,96000000,131162000,307100000,408600000,432800000,429500000,393230000,400229000,429400000,1342300000,1383100000,2075900000,2495500000,2445900000,3905700000,3697300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,6100000,2188600000,1845300000
61,Total Liabilities,- -,- -,- -,110397000,180200000,190700000,246400000,314400000,437800000,539158000,758000000,868300000,961800000,1022500000,1111390000,1122739000,1242500000,2177000000,2209800000,2829700000,3433700000,3363900000,5647800000,5123100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,437000,900000,900000,1900000,3800000,3700000,3725000,3400000,3200000,3000000,2900000,2851000,2819000,2700000,2800000,2800000,2800000,2900000,2900000,2800000,2800000
64,Retained Earnings,- -,- -,- -,23000000,105500000,217600000,430500000,576100000,417100000,940757000,375900000,500000000,-30100000,-445700000,-387450000,-101884000,-219500000,-189600000,-104100000,107700000,119000000,291600000,-992700000,-158500000
65,Other Comprehensive Income/Loss,- -,- -,- -,-130059000,-3000000,-7007000,-7097000,-12164000,-7260000,-12792000,21463000,3851000,29395000,54911000,50475000,-12246000,-8759000,-77700000,-72900000,-86900000,-82800000,-83200000,-92200000,-72000000
66,Other Total Stockholders Equity,- -,- -,- -,254936000,157000000,215436000,356983000,465040000,775194000,978664000,1115057000,1188991000,1502998000,2000458000,2327055000,2520469000,2646212000,2754400000,2857100000,2978300000,3205500000,3302100000,3358500000,3487000000
67,Total Stockholders Equity,- -,- -,- -,148314000,260400000,426929000,782286000,1032776000,1188734000,1910354000,1515820000,1696042000,1505293000,1612569000,1992931000,2409158000,2420653000,2489900000,2682900000,3001900000,3244600000,3513400000,2276400000,3259300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,258711000,440600000,617629000,1028686000,1347176000,1626534000,2449512000,2273820000,2564342000,2467093000,2635069000,3104321000,3531897000,3663153000,4666900000,4892700000,5831600000,6678300000,6877300000,7924200000,8382400000
69,Minority Interest,- -,- -,- -,- -,- -,71000,14000,-76000,-34000,- -,-20000,-42000,7000,31000,- -,- -,-53000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,258711000,440600000,617700000,1028700000,1347100000,1626500000,2449512000,2273800000,2564300000,2467100000,2635100000,3104321000,3531897000,3663100000,4666900000,4892700000,5831600000,6678300000,6877300000,7924200000,8382400000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1116132/000095012302009068/0000950123-02-009068-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012303010503/0000950123-03-010503-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012304011048/0000950123-04-011048-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012305010967/y12642e10vk.htm,https://www.sec.gov/Archives/edgar/data/1116132/000095013606007118/file1.htm,https://www.sec.gov/Archives/edgar/data/1116132/000114420407046122/0001144204-07-046122-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420408049205/0001144204-08-049205-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420409044645/0001144204-09-044645-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420410046620/0001144204-10-046620-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420411048771/0001144204-11-048771-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420412047660/0001144204-12-047660-index.html,- -,https://www.sec.gov/Archives/edgar/data/1116132/000111613214000003/0001116132-14-000003-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613215000010/0001116132-15-000010-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613216000026/coh7022016-10k.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613217000011/0001116132-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613218000021/0001116132-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000016/tpr6302018-10k1.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000022/0001116132-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613221000020/0001116132-21-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,38603000,64030000,85800000,146600000,261700000,388700000,494300000,663665000,783100000,623400000,734900000,880800000,1038910000,1034420000,781300000,402400000,460500000,591000000,397500000,643400000,-652100000,834200000
74,Depreciation and Amortization,- -,- -,22628000,24131000,25494000,30231000,42854000,57033000,65115000,80887000,100704000,123014000,126744000,125106000,132909000,162987000,189360000,191800000,210600000,212800000,260300000,268200000,248300000,218700000
75,Deferred Income Tax,- -,- -,2661000,-5797000,-4969000,8778000,11646000,-56247000,-22943000,6638000,-16907000,13660000,-17129000,39724000,27568000,-6520000,-22787000,21500000,-52300000,78000000,-50900000,34500000,-115700000,52600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67542000,81420000,95830000,107511000,120460000,95106000,88900000,86800000,73600000,81300000,84800000,53100000,64100000
77,Change in Working Capital,- -,- -,21834000,47119000,81081000,158800000,236700000,-80100000,189100000,699500000,-397400000,1900000,-163100000,85800000,226968000,262069000,-306337000,629700000,-325600000,1853300000,-1705100000,144400000,-827800000,1138500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3309000,4344000,-31831000,-26565000,-14231000,-23713000,300000,-28300000,-29400000,-5600000,25700000,61900000,-9600000
79,Inventory,- -,- -,-725000,-3065000,-16638000,-7403000,-18106000,-22506000,-49075000,-57698000,-32080000,4070000,-33878000,-64720000,-71680000,-38630000,-64074000,29200000,40700000,-20000000,30400000,-104700000,-58600000,32200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37017000,1019000,9742000,36494000,30394000,-30212000,64400000,-48400000,8400000,-77300000,-39800000,-91700000,307300000
81,Other Working Capital,- -,- -,- -,47119000,128200000,287000000,523700000,443600000,632700000,1332200000,934800000,936700000,773600000,859400000,1086368000,1348437000,1042100000,1671800000,1346200000,3199500000,1494400000,1638800000,811000000,1949500000
82,Other Non-Cash Items,- -,- -,-1688000,-5154000,-79469000,-122785000,-104333000,234877000,-128969000,-671588000,453864000,-20364000,228042000,-193989000,-312177000,-159442000,248768000,-396900000,378600000,-1954900000,2013600000,-383600000,1701200000,-984400000
83,Cash Provided by Operating Activities,- -,- -,84038000,124329000,107937000,221624000,448567000,544263000,596603000,779102000,923361000,809152000,990877000,1033271000,1221689000,1413974000,985410000,937400000,758600000,853800000,996700000,791700000,407000000,1323700000
84,CAPEX,- -,- -,-26060000,-31868000,-42764000,-57112000,-67693000,-94592000,-133876000,-140872000,-174720000,-240329000,-81116000,-147744000,-184309000,-241353000,-219587000,-209800000,-405300000,-283100000,-267400000,-274200000,-205400000,-116000000
85,Acquisitions Net,- -,- -,- -,- -,-14805000,- -,- -,-228431000,- -,- -,- -,- -,-1200000,- -,-53235000,-147267000,-90992000,-658700000,-165900000,126000000,-2375800000,-43500000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-301723000,-379530000,-1195934000,-920999000,-162300000,- -,-229860000,-233566000,- -,-170792000,-543389000,-49600000,-664700000,-523500000,-3800000,-415500000,-212400000,-700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,330703000,1148618000,685789000,782460000,- -,129932000,321679000,2256000,- -,146260000,305200000,425900000,1271800000,482200000,159000000,462100000,1800000
88,Other Investing Activites,- -,- -,2695000,799000,1592000,27000,58000,18000,237000,156000,- -,-24400000,- -,- -,-24138000,-11088000,- -,-10500000,-8900000,1800000,- -,- -,- -,23900000
89,Cash Used for Investing Activites,- -,- -,-23365000,-31069000,-55977000,-57085000,-369358000,-371832000,-180955000,-375926000,445440000,-264729000,-182244000,-59631000,-259426000,-570500000,-707708000,-612900000,-810000000,593000000,-2164800000,-574200000,44300000,-91000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-285000,-679000,-746000,-795000,-22375000,-310500000,-480500000,-15000000,-285000000,-1100000000,- -,-800000,-712300000
91,Common Stock Issued,- -,- -,- -,124046000,20802000,28395000,34141000,46835000,86550000,112119000,83320000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-9848000,-49947000,-54954000,-264971000,-600271000,-149999000,-1336599000,-453786000,-1149998000,-1098000000,-700000000,-400000000,-524926000,- -,- -,- -,- -,-100000000,-300000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94324000,-178115000,-260276000,-339724000,-376498000,-371800000,-374500000,-378000000,-384100000,-390700000,-380300000,- -
94,Other Financing Activites,- -,- -,-60659000,-213777000,27357000,-7773000,-24852000,-62449000,86895000,48272000,23018000,13988000,225102000,401735000,219190000,72993000,463875000,1241600000,4600000,1032500000,1234200000,5800000,687000000,46300000
95,Cash Used/Provided by Financing Activities,- -,- -,-60659000,-89731000,38311000,-29325000,-45665000,-280585000,-426826000,10392000,-1230261000,-440083000,-1019899000,-875126000,-741881000,-689106000,-748049000,389300000,-384900000,369500000,-249900000,-484900000,5900000,-666000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3409000,-2883000,7374000,4798000,-2949000,-8798000,-515000,-13900000,3500000,-2400000,-11500000,-6800000,-100000,14700000
97,Net Change In Cash,- -,- -,14000,3529000,90271000,135214000,33544000,-108154000,-11178000,413568000,141949000,101457000,-203892000,103312000,217433000,145570000,-470862000,699900000,-432800000,1813900000,-1429500000,-274200000,457100000,581400000
98,Cash at the End of Period,- -,- -,162000,3691000,93962000,229176000,262720000,154566000,143388000,556956000,698905000,800362000,596470000,699782000,917215000,1062785000,591923000,1291800000,859000000,2672900000,1243400000,969200000,1426300000,2007700000
99,Cash at the Beginning of Period,- -,- -,148000,162000,3691000,93962000,229176000,262720000,154566000,143388000,556956000,698905000,800362000,596470000,699782000,917215000,1062785000,591900000,1291800000,859000000,2672900000,1243400000,969200000,1426300000
100,Free Cash Flow,- -,- -,57978000,92461000,65173000,164512000,380874000,449671000,462727000,638230000,748641000,568823000,909761000,885527000,1037380000,1172621000,765823000,727600000,353300000,570700000,729300000,517500000,201600000,1207700000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1116132/000095012302009068/0000950123-02-009068-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012303010503/0000950123-03-010503-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012304011048/0000950123-04-011048-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000095012305010967/y12642e10vk.htm,https://www.sec.gov/Archives/edgar/data/1116132/000095013606007118/file1.htm,https://www.sec.gov/Archives/edgar/data/1116132/000114420407046122/0001144204-07-046122-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420408049205/0001144204-08-049205-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420409044645/0001144204-09-044645-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420410046620/0001144204-10-046620-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420411048771/0001144204-11-048771-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000114420412047660/0001144204-12-047660-index.html,- -,https://www.sec.gov/Archives/edgar/data/1116132/000111613214000003/0001116132-14-000003-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613215000010/0001116132-15-000010-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613216000026/coh7022016-10k.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613217000011/0001116132-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613218000021/0001116132-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000016/tpr6302018-10k1.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000022/0001116132-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1116132/000111613221000020/0001116132-21-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
