,https://roic.ai/company/CVM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,100000,400000,- -,- -,- -,100000,3200000,2200000,3400000,3900000,3500000,3500000,2800000,5900000,10670185,2377374,2079276,1753307,4263631,1957614,8080365,10993021,911258,33567516,26568243,4260594,3941042,41612,8513620,5726682,2917996,2369438,10310044,8444774,15508909,36060148
34,Net Receivables,- -,- -,- -,- -,- -,1100000,200000,500000,100000,100000,100000,100000,100000,100000,39252,40376,31477,47051,21256,21164,35626,57476,- -,- -,- -,457337,158614,74263,81820,87214,394515,218481,118657,62765,- -,54922
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390644,385650,395170,399474,1476234,1571182,1384484,1016628,1452020,1401839,1008642,672522,645238,782363,- -,- -
36,Other Current Assets,100000,100000,200000,100000,200000,100000,10000000,8300000,2800000,500000,6900000,1500000,10500000,600000,1839104,866058,629118,388602,523425,432652,541326,49406,42037,1625036,1050057,2731805,1957809,1379240,1601600,1617448,1566493,976429,364622,524953,2188406,9156451
37,Total Current Assets,200000,500000,200000,100000,200000,1300000,13400000,11000000,6300000,4500000,10500000,5100000,13400000,6600000,12548541,3283808,2739871,2188960,4808312,2411430,9047961,11485553,1348465,35592026,29094534,9020918,7441949,2511743,11649060,8833183,5887646,4236870,11438561,9814855,17697315,45271521
38,PP&E,100000,100000,100000,-200000,-200000,-200000,-200000,300000,1200000,1100000,900000,800000,600000,500000,594919,620608,473555,278706,233612,181541,92117,233876,1324686,1200611,1264831,1032881,630948,489336,403004,307466,226216,16793220,16218851,15825636,5843993,26355483
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,300000,300000,300000,300000,300000,300000,300000,200000,400000,500000,400000,400000,525594,464676,418004,- -,- -,484553,513199,541380,587439,423104,356079,414158,384278,318195,323588,291564,256547,223167,258093,311586,- -,- -
41,Intangible Assets,- -,- -,300000,300000,300000,300000,300000,300000,300000,200000,400000,500000,400000,400000,525594,464676,418004,- -,- -,484553,513199,541380,587439,423104,356079,414158,384278,318195,323588,291564,256547,223167,258093,311586,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,- -,300000,200000,200000,300000,- -,300000,600000,100000,-100000,- -,100000,139828,139828,139828,447540,471886,14828,- -,8469993,11423082,8811857,7089541,8157483,7610275,7519298,6854782,6015390,5227838,1670917,1670917,1670917,- -,4242961
45,Total Non-Current Assets,100000,200000,400000,400000,300000,300000,400000,600000,1800000,1900000,1400000,1200000,1000000,1000000,1260341,1225112,1031387,726246,705498,680922,605316,9245249,13335207,10435572,8710451,9604522,8625501,8326829,7581374,6614420,5710601,18687304,18147861,17808139,5843993,30598444
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,300000,700000,600000,500000,500000,1600000,13800000,11600000,8100000,6400000,11900000,6300000,14400000,7600000,13808882,4508920,3771258,2915206,5513810,3092352,9653277,20730802,14683672,46027598,37804985,18625440,16067450,10838572,19230434,15447603,11598247,22924174,29586422,27622994,23541308,75869965
48,Accounts Payable,- -,- -,- -,400000,500000,400000,100000,200000,300000,200000,300000,500000,400000,400000,822601,476048,735646,481985,143300,74354,98056,248120,427509,793148,1497383,738951,592867,1924482,1160783,5128682,3091512,8196334,5743913,1586478,2023067,1675813
49,Short-Term Debt,- -,- -,100000,- -,- -,- -,- -,- -,100000,200000,- -,- -,- -,- -,- -,- -,1135017,840406,- -,- -,- -,- -,200000,1107339,1104057,4999000,- -,1112269,1112552,1258209,- -,994258,- -,- -,1070123,1397330
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,400000,200000,300000,100000,- -,200000,300000,300000,100000,100000,- -,- -,- -,- -,- -,461,178404,334827,72681,98779,1840026,979865,3213511,35272162,693790,1486618,1319644,508362,879649,463703,920260,1653962,3482886,1433272,1172324,863924
53,Total Current Liabilities,400000,200000,400000,500000,500000,600000,400000,500000,500000,500000,300000,500000,400000,400000,822601,476509,2049067,1657218,215981,173133,1938082,1227985,3841020,37172649,3295230,7224569,1912511,3545113,3152984,6850594,4011772,10844554,9226799,3019750,4265514,3937067
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,- -,- -,- -,- -,24822,- -,639288,32882,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133225,125000,126500,126545,126591,126639,125000,125000,126795,125000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,300000,- -,- -,100000,100000,200000,300000,500000,20000,30000,30000,100000,- -,31218,20732,- -,- -,811180,8645796,4832718,6617,14305,6521765,2197047,7001007,466824,5507459,13700613,8417543,15291597,20231912,19344577,- -,15398672
58,Total Non-Current Liabilities,- -,100000,300000,- -,- -,100000,100000,200000,900000,1100000,20000,30000,30000,100000,24822,31218,660020,32882,- -,814180,8645796,4832718,6617,14305,6654990,2322047,7127507,593369,5634050,13827252,8542543,15416597,20358707,19469577,- -,15398672
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16544266,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29137,17523,9028,- -,13211925,13379962,13508156,13937563,- -
61,Total Liabilities,400000,300000,700000,500000,500000,700000,500000,700000,1400000,1600000,300000,500000,400000,500000,847423,507727,2709087,1690100,215981,987313,10583878,6060703,3847637,37186954,9950220,9546616,9040018,4138482,8787034,20677846,12554315,26261151,29585506,22489327,20809780,19335739
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,204597,219521,372551,611663,721474,744942,826974,1156787,1207961,1919720,2048689,2147230,2731133,310250,819025,1123606,1559621,119031,280346,352318,387302,- -
64,Retained Earnings,-5700000,-7400000,-8500000,-9500000,-10500000,-11600000,-13300000,-15700000,-20100000,-24000000,-30400000,-38700000,-45100000,-52600000,-61106227,-71839906,-80182150,-86553648,-90753370,-98999199,-106938409,-116568066,-124696296,-166097054,-161799968,-187512311,-202989621,-212160568,-239526833,-274201479,-285667977,-299754409,-331591614,-353726254,- -,-418196412
65,Other Comprehensive Income/Loss,-100000,-100000,-200000,-200000,-200000,-200000,-200000,-200000,-400000,-600000,-900000,-1100000,-1400000,-1600000,-1721336,-1864182,-2027225,-2002232,-14237,-1690788,-1773102,-1859644,-1964597,-2259237,-2626759,-3034018,-2711792,-2967345,-3101057,-3234548,-3197826,-7815973,-8383335,-354000000,-382000000,- -
66,Other Total Stockholders Equity,5700000,7900000,8600000,- -,- -,12700000,26800000,26800000,27200000,29400000,42900000,45600000,60500000,61100000,75584425,77485760,82898995,89169323,95343962,102050084,106953936,131941022,136288967,175277215,190232803,197477923,209997712,221517753,252252265,271082178,286350114,304114374,339695519,712507603,401339372,474730638
67,Total Stockholders Equity,-100000,400000,-100000,- -,- -,900000,13300000,10900000,6700000,4800000,11600000,5800000,14000000,7100000,12961459,4001193,1062171,1225106,5297829,2105039,-930601,14670099,10836035,8840644,27854765,9078824,7027432,6700090,10443400,-5230243,-956068,-3336977,916,5133667,19726674,56534226
68,Total Liabilities And Stockholders Equity,300000,700000,600000,-9000000,-10000000,1600000,13800000,11600000,8100000,6400000,11900000,6300000,14400000,7600000,13808882,4508920,3771258,2915206,5513810,3092352,9653277,20730802,14683672,46027598,37804985,18625440,16067450,10838572,19230434,15447603,11598247,22924174,29586422,27622994,40536454,75869965
69,Minority Interest,- -,- -,- -,9500000,10500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16995146,- -
70,Total Liabilities & Equity,300000,700000,600000,500000,500000,1600000,13800000,11600000,8100000,6400000,11900000,6300000,14400000,7600000,13808882,4508920,3771258,2915206,5513810,3092352,9653277,20730802,14683672,46027598,37804985,18625440,16067450,10838572,19230434,15447603,11598247,22924174,29586422,27622994,23541308,75869965
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487896000111/0001004878-96-000111-index.html,https://www.sec.gov/Archives/edgar/data/725363/000100487897000096/0001004878-97-000096-index.html,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487899000059/0001004878-99-000059-index.html,https://www.sec.gov/Archives/edgar/data/725363/000100487800000202/0001004878-00-000202-index.html,https://www.sec.gov/Archives/edgar/data/725363/000100487801500141/0001004878-01-500141-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487809000010/0001004878-09-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/725363/000100487810000213/0001004878-10-000213-index.html,https://www.sec.gov/Archives/edgar/data/725363/000135448811005189/0001354488-11-005189-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448812006445/0001354488-12-006445-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448813007041/0001354488-13-007041-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448814006305/0001354488-14-006305-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000135448815005519/0001354488-15-005519-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495416004867/0001654954-16-004867-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495417011928/0001654954-17-011928-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495418014104/0001654954-18-014104-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495419013971/0001654954-19-013971-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495420013975/0001654954-20-013975-index.htm,https://www.sec.gov/Archives/edgar/data/725363/000165495421013417/0001654954-21-013417-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1100000,-900000,-1200000,-1700000,-2400000,-4400000,-3900000,-6300000,-8200000,-6400000,-7500000,-8478397,-10733679,-8342244,-6371498,-4199722,-3039607,-7939210,-9629657,-7703415,-40910030,10483429,-25712343,-15477310,-9170947,-27366265,-34674646,-11466498,-14363287,-31837205,-22134640,-30255244,-36361109
74,Depreciation and Amortization,- -,- -,- -,100000,- -,- -,- -,100000,200000,300000,300000,300000,300000,300000,220994,209121,2305793,2435828,312546,190420,275253,1356607,464166,417205,516117,531316,533468,364124,231752,206750,150243,632915,650131,633529,2159729,2231108
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364988,154516,2636905,3958637,5105827,2113433,1380500,2743267,4428174,10112968,13685046
77,Change in Working Capital,- -,- -,- -,-200000,100000,1000000,12300000,-2500000,-4700000,-1800000,6200000,-5600000,8400000,-6800000,5525940,-8918641,-2116495,-159062,4060589,-2354034,4871582,3147689,-12750123,911932,27379927,-24002955,3733089,-6562808,9529446,-6513487,-106715,-8483558,8819446,4583343,6636696,27902653
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7843,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-454651,4994,-9520,-4304,-1076760,-94948,186698,367856,-435392,50181,393197,336120,27284,-137125,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343208,693799,-788254,-168463,1316964,-751971,3981886,-2389931,5420816,-2514488,-4084410,-766073,445981
81,Other Working Capital,- -,- -,- -,-400000,-300000,700000,13000000,10500000,5800000,4000000,10200000,4600000,13000000,6200000,11725940,2807299,690804,531742,4592331,2238297,7109879,10257568,-2492555,-1580623,25799304,1796349,5529438,-1033370,8496076,1982589,1875874,-6607684,2211762,6795105,13431801,41334454
82,Other Non-Cash Items,- -,- -,- -,700000,100000,-700000,-12000000,2600000,4900000,1900000,-5500000,7600000,-8200000,7700000,-5797544,10856815,3920903,1555924,-4571206,2133849,-5883452,235284,12047582,33067584,-51183680,26263583,-1133776,-815854,-9281589,12042223,-13772956,7041536,6234803,-3831091,26854760,-26244714
83,Cash Provided by Operating Activities,- -,- -,- -,-500000,-700000,-900000,-1400000,-2200000,-4000000,-3500000,-5300000,-5900000,-5900000,-6300000,-8529007,-8586384,-4232043,-2538808,-4397793,-3069372,-8675827,-4890077,-7941790,-6513309,-12804207,-22555411,-12190013,-13548580,-22928019,-23833333,-23082493,-13791894,-13389558,-16320685,15508909,-18787016
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-200000,- -,-300000,-100000,-100000,-284043,-204334,-15313,-6905,-52175,-153702,-90704,-319343,-3504100,-750383,-551135,-339467,-133596,-132761,-138864,-93531,-34224,-17002,-58140,-335839,-2654906,-9016329
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-15400000,-6100000,-1500000,-400000,-6500000,-1700000,-13500000,-200000,-2000587,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,5300000,7700000,7000000,3000000,200000,7600000,4500000,6500000,1436289,3219064,596352,- -,- -,- -,- -,- -,5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
