,https://roic.ai/company/CIGI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,13400000,1400000,24800000,21400000,30000000,37900000,51900000,66400000,86011000,103774000,124231000,132089000,147551000,234099000,318628000,416462000,- -,573052000,668287000,685247000,692780000,733020000,820846000,576504000,567219000,666327000,784528000,839538000,835571000,1167828000
11,COGS and Expenses,- -,31500000,30400000,62200000,39400000,85700000,120600000,181200000,242000000,312200000,388200000,467600000,503800000,570700000,760300000,999100000,1275000000,- -,1665000000,1888700000,2129200000,2227100000,2253400000,1504115000,1641209000,1750112000,2267824000,2624029000,2827614000,2576431000,3687694000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1417000,950000,1167000,1015000,1046000,865000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-7800000,-9800000,-11600000,-9000000,-7900000,-11019000,-13128000,-16807000,- -,-13923000,-18347000,-17975000,-20616000,-22547000,-15102000,-9039000,-8296000,-11895000,-19356000,-29452000,30949000,31819000
14,Depreciation and Amortization,- -,1100000,1100000,2400000,2500000,3000000,3700000,5200000,8100000,10107000,11929000,12079000,13617000,15223000,27195000,23578000,31587000,- -,46383000,47886000,50926000,53502000,75352000,62516000,38624000,44924000,52992000,78730000,94664000,125906000,145094000
15,EBITDA,- -,1800000,2300000,4900000,-12400000,5800000,8800000,13400000,21700000,20207000,25329000,29279000,31217000,35523000,50676000,97150000,71380000,- -,26660000,72339000,80251000,59086000,57429000,122529000,85484000,152422000,141041000,210292000,221128000,247975000,-127915000
16,EBITDA ratio,- -,0.0531,0.0721,0.0745,-0.5188,0.0642,0.0683,0.0689,0.0826,0.0594,0.0597,0.0571,0.0575,0.0583,0.0624,0.0910,0.0525,- -,0.0157,0.0364,0.0361,0.0256,0.0245,0.0774,0.0496,0.0804,0.0579,0.0744,0.0726,0.0890,-0.0313
17,Operating Income,- -,2400000,1500000,3600000,-15500000,4600000,8200000,13200000,20700000,27870000,35926000,45043000,38600000,38174000,51568000,65226000,82988000,- -,38181000,97532000,98061000,78397000,90234000,134427000,80384000,146173000,166827000,201398000,218197000,164578000,-131501000
18,Operating Income ratio,- -,0.0708,0.0470,0.0547,-0.6485,0.0509,0.0637,0.0679,0.0788,0.0820,0.0847,0.0879,0.0711,0.0626,0.0635,0.0611,0.0610,- -,0.0224,0.0491,0.0441,0.0340,0.0385,0.0850,0.0467,0.0771,0.0685,0.0713,0.0716,0.0591,-0.0322
19,Total Other Income Expenses (Gains),- -,-1700000,-300000,-1100000,600000,-1800000,-3100000,-5000000,-7100000,-7870000,-9726000,-11643000,-8700000,-6974000,-10668000,-8126000,-8288000,- -,-6381000,-20432000,-23161000,-17197000,-19934000,-62313000,-7917000,-6773000,-10846000,-19564000,-27599000,-28043000,-20546000
20,Income Before Tax,- -,700000,1200000,2500000,-14900000,2800000,5100000,8200000,13600000,20000000,26200000,33400000,29900000,31200000,40900000,57100000,74700000,- -,31800000,77100000,74900000,61200000,70300000,72114000,72467000,139400000,155981000,181834000,190598000,136535000,-152047000
21,Income Before Tax Ratio,- -,0.0206,0.0376,0.0380,-0.6234,0.0310,0.0396,0.0422,0.0518,0.0588,0.0618,0.0651,0.0551,0.0512,0.0504,0.0535,0.0549,- -,0.0187,0.0388,0.0337,0.0265,0.0300,0.0456,0.0421,0.0735,0.0641,0.0644,0.0626,0.0490,-0.0372
22,Income Tax expense (Gain),- -,500000,100000,700000,-1700000,300000,1700000,3100000,5800000,8000000,10500000,11400000,8200000,9200000,11300000,17200000,21700000,- -,39100000,29200000,-26800000,20300000,22624000,31799000,32552000,47829000,48582000,53260000,53013000,42046000,85510000
23,Net Income,- -,200000,1100000,1800000,-13200000,2500000,3400000,5100000,7800000,9900000,12700000,17400000,18400000,19000000,23200000,69500000,34900000,- -,-44900000,13600000,74100000,5900000,-18000000,43316000,23347000,67965000,51362000,97658000,102903000,49074000,-390338000
24,Net Income ratio,- -,0.0059,0.0345,0.0274,-0.5523,0.0277,0.0264,0.0262,0.0297,0.0291,0.0299,0.0339,0.0339,0.0312,0.0286,0.0651,0.0257,- -,-0.0264,0.0068,0.0333,0.0026,-0.0077,0.0274,0.0136,0.0358,0.0211,0.0346,0.0338,0.0176,-0.0955
25,EPS,- -,0.05,0.07,0.13,-0.83,0.16,0.19,0.24,0.31,0.38,0.48,0.64,0.68,0.67,0.78,2.30,1.17,- -,-1.87,0.12,2.13,-0.12,-0.64,1.20,0.63,1.76,1.27,2.49,2.60,1.23,-9.09
26,EPS Diluted,- -,0.05,0.07,0.13,-0.83,0.16,0.19,0.24,0.31,0.36,0.46,0.59,0.65,0.65,0.74,2.21,1.08,- -,-1.87,0.11,2.03,-0.12,-0.64,1.19,0.62,1.75,1.25,2.45,2.57,1.22,-9.09
27,Weighted Average Shares Outstanding,- -,4000000,15714286,13846154,15808383,15625000,17894737,20816327,25161290,25968421,26200000,27209375,27905185,28607519,29752564,30216087,29797436,29879000,29438000,30081000,30094000,30026000,32928000,35917000,37196000,38596000,38830000,39155000,39550000,39986000,42920089
28,Weighted Average Shares Outstanding Diluted,- -,4000000,15714286,13846154,15808383,15625000,17894737,20816327,25161290,27411111,27623913,29267227,28978462,29267692,31360811,31446606,32280556,29879000,29438000,30367000,30551000,30376000,33262000,36309000,37586000,38868000,39308000,39795000,39981000,40179000,42920089
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913353/000091205700030417/0000912057-00-030417-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913353/000127956905000452/ex2.htm,https://www.sec.gov/Archives/edgar/data/913353/000127956906000648/ex2.htm,https://www.sec.gov/Archives/edgar/data/913353/000127956907000758/0001279569-07-000758-index.html,- -,https://www.sec.gov/Archives/edgar/data/913353/000117184310000314/0001171843-10-000314-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184311000584/exh_2.htm,https://www.sec.gov/Archives/edgar/data/913353/000117184312000746/0001171843-12-000746-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184313000701/0001171843-13-000701-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184314000883/exh_2.htm,https://www.sec.gov/Archives/edgar/data/913353/000117184315001008/exh_2.htm,https://www.sec.gov/Archives/edgar/data/913353/000117184316008010/0001171843-16-008010-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184317001060/0001171843-17-001060-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184318001568/0001171843-18-001568-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184319001159/0001171843-19-001159-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184320001077/0001171843-20-001077-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1400000,7300000,5600000,200000,-2300000,3800000,2600000,4600000,3297000,5115000,7332000,5378000,15620000,37458000,167938000,99038000,79642000,99778000,100359000,97799000,108684000,142704000,156793000,116150000,113148000,108523000,127032000,114993000,156614000,396745000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12650000,16443000,22224000
33,Cash and Short-Term Investments,- -,1400000,7300000,5600000,200000,-2300000,3800000,2600000,4600000,3297000,5115000,7332000,5378000,15620000,37458000,167938000,99038000,79642000,99778000,100359000,97799000,108684000,142704000,156793000,116150000,113148000,108523000,127032000,127643000,173057000,418969000
34,Net Receivables,- -,3800000,3900000,12800000,9000000,11300000,20500000,30900000,41300000,53170000,79473000,88587000,85484000,97367000,168927000,141815000,186093000,193600000,228738000,269865000,295680000,330958000,388912000,438620000,332358000,356090000,438570000,567790000,465600000,699069000,784830000
35,Inventory,- -,700000,600000,3500000,3200000,3200000,4400000,5500000,8000000,8929000,9627000,9078000,15095000,15229000,20878000,27267000,31768000,10572000,9458000,9140000,11831000,14918000,15804000,18950000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,900000,1400000,1800000,900000,2200000,4000000,5200000,6800000,9554000,11893000,15874000,16425000,19017000,21507000,18389000,45458000,57044000,44319000,40266000,44894000,55981000,67840000,93456000,47471000,55398000,54741000,65491000,124814000,163685000,324405000
37,Total Current Assets,- -,6800000,13200000,23700000,13300000,14400000,32700000,44200000,60700000,74950000,106108000,120871000,122382000,147233000,248770000,355409000,362357000,340858000,382293000,419630000,450204000,510541000,615260000,707819000,495979000,524636000,601834000,760313000,718057000,1035811000,1528204000
38,PP&E,- -,5500000,6100000,7000000,7200000,11700000,13500000,24500000,25900000,29693000,40741000,45367000,46600000,49826000,57241000,48733000,66297000,76789000,75939000,86134000,94150000,107011000,101554000,120394000,62553000,65274000,83899000,93482000,370835000,417355000,461272000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196487000,251130000,348897000,340227000,379857000,395487000,402645000,427178000,503554000,305680000,348006000,455130000,887894000,949221000,1088984000,1091048000
40,Intangible Assets,- -,- -,4700000,8800000,12500000,16300000,24200000,53900000,87200000,117495000,155313000,180676000,198149000,223296000,297963000,70775000,95809000,178227000,164592000,193194000,188909000,177949000,177179000,197689000,120962000,139557000,183036000,497930000,477453000,610330000,561830000
41,Intangible Assets,- -,- -,4700000,8800000,12500000,16300000,24200000,53900000,87200000,117495000,155313000,180676000,198149000,223296000,297963000,267262000,346939000,527124000,504819000,573051000,584396000,580594000,604357000,701243000,426642000,487563000,638166000,1385824000,1426674000,1699314000,1652878000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5455000,4946000,5168000,5897000,7028000,5756000,7768000,15680000,20363000,42160000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1472000,972000,103000,2167000,8992000,4381000,5238000,10072000,12152000,22922000,87940000,99464000,102629000,83639000,84038000,68446000,52394000,34195000,37420000,45008000,68502000
44,Other Non-Current Assets,- -,4400000,1100000,5900000,2900000,3800000,6300000,4100000,11200000,8749000,10026000,10319000,8616000,15031000,13762000,35219000,36167000,35794000,34327000,27804000,17028000,14845000,14765000,21164000,17312000,41832000,59876000,75998000,324048000,74316000,120714000
45,Total Non-Current Assets,- -,9900000,11900000,21700000,22600000,31800000,44000000,82500000,124300000,155937000,207552000,237334000,253468000,290320000,377958000,355595000,454641000,649779000,627237000,709911000,783514000,807369000,828251000,931608000,596442000,670143000,840091000,1597267000,2174657000,2256356000,2345526000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,16700000,25100000,45400000,35900000,46200000,76700000,126700000,185000000,230887000,313660000,358205000,375850000,437553000,626728000,711004000,816998000,990637000,1009530000,1129541000,1233718000,1317910000,1443511000,1639427000,1092421000,1194779000,1441925000,2357580000,2892714000,3292167000,3873730000
48,Accounts Payable,- -,2700000,3100000,8600000,8500000,9900000,14000000,19700000,26000000,11752000,22220000,20587000,22564000,20526000,41905000,41790000,35668000,58172000,61788000,72263000,82114000,88593000,92937000,107349000,77464000,83617000,102514000,240513000,261910000,297766000,391170000
49,Short-Term Debt,- -,1700000,900000,1100000,1500000,2000000,3500000,7200000,1700000,2733000,3050000,7193000,3030000,3502000,18206000,18646000,22119000,20899000,22347000,39249000,216373000,39038000,44785000,36396000,3200000,1961000,2426000,1834000,74089000,305965000,245297000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7665000,3261000,3214000,6477000,18317000,15249000,44344000,40545000,47144000,30034000,15756000,26783000,35446000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9736000,5154000,5349000,20632000,27600000,21343000,- -,19448000,24471000,25704000,28747000,11537000,14498000,24845000,39635000,24133000,21076000,30397000
52,Other Current Liabilities,- -,900000,700000,2500000,6500000,6200000,8300000,9500000,7300000,37076000,46500000,50765000,44914000,52604000,117517000,118923000,178408000,178408000,215545000,300392000,276315000,315795000,406738000,457667000,386940000,410527000,543244000,516719000,564134000,483479000,847302000
53,Total Current Liabilities,- -,5300000,4700000,12200000,16500000,18100000,25800000,36400000,35000000,51561000,71770000,78545000,70508000,86368000,182782000,184708000,256827000,285079000,321023000,411904000,594250000,467897000,570164000,630159000,479141000,510603000,673029000,798701000,924266000,1108286000,1514166000
54,Long-Term Debt,- -,4000000,5100000,6600000,9000000,11300000,28700000,38200000,84500000,102177000,149374000,158418000,155610000,160386000,201809000,230040000,213030000,245470000,290647000,278491000,177042000,375167000,328009000,456952000,257747000,260537000,247467000,670289000,607181000,694828000,1051443000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21241000,24469000,27137000,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,200000,900000,- -,- -,- -,- -,- -,1836000,4236000,7881000,11277000,19594000,29802000,30041000,29084000,42072000,40052000,33175000,38160000,34683000,31165000,36205000,18414000,18714000,18579000,27550000,28018000,50523000,42371000
57,Other Non-Current Liabilities,- -,800000,1300000,- -,- -,- -,- -,- -,-100000,- -,- -,2070000,- -,- -,- -,- -,4876000,22110000,27606000,32365000,39243000,48259000,265124000,282896000,187626000,171171000,188924000,441930000,815950000,852421000,143578000
58,Total Non-Current Liabilities,- -,4900000,6600000,7500000,9000000,11300000,28700000,38200000,84400000,104013000,153610000,168369000,166887000,179980000,231611000,260081000,246990000,309652000,358305000,344031000,254445000,458109000,624298000,776053000,463787000,471663000,479439000,1166906000,1451149000,1597772000,1237392000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299090000,330603000,377561000
61,Total Liabilities,- -,10200000,11300000,19700000,25500000,29400000,54500000,74600000,119400000,155574000,225380000,246914000,237395000,266348000,414393000,444789000,503817000,594731000,679328000,755935000,848695000,926006000,1194462000,1406212000,942928000,982266000,1152468000,1965607000,2375415000,2706058000,2751558000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144307000,144307000,144307000,140561000,130762000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,53849000,54863000,57712000,54888000,68557000,73542000,75687000,- -,- -,- -,- -,- -,118821000,300765000,310401000,396066000,399774000,406984000,415805000,442153000,457993000,852167000
64,Retained Earnings,- -,- -,800000,2500000,-10800000,-8800000,-5700000,4900000,11900000,15614000,27972000,45386000,69648000,81972000,103011000,160392000,175346000,88349000,-114016000,-110553000,-63958000,-74024000,-123111000,-118242000,-238411000,-174311000,-128411000,-21751000,77181000,119421000,-279724000
65,Other Comprehensive Income/Loss,- -,-3000000,-1200000,-9200000,-9900000,-10800000,-13300000,-18600000,-24700000,-24700000,-36754000,-46975000,-113000,4572000,9318000,-490000,2864000,371000,18721000,32239000,28225000,34595000,26757000,-13887000,-63569000,-71273000,-43354000,-61218000,-67164000,-61979000,-70251000
66,Other Total Stockholders Equity,- -,9500000,14200000,32400000,31100000,36400000,41200000,65800000,78400000,30550000,42199000,55168000,- -,- -,- -,2163000,199737000,- -,552112000,621025000,607849000,29781000,37510000,46931000,47603000,51540000,50219000,54717000,60706000,66971000,79407000
67,Total Stockholders Equity,- -,6500000,13800000,25700000,10400000,16800000,22200000,52100000,65600000,75313000,88280000,111291000,124423000,155101000,185871000,237752000,264875000,345839000,166034000,199248000,243619000,239935000,241921000,225203000,141689000,205730000,285438000,387553000,512876000,582406000,581599000
68,Total Liabilities And Stockholders Equity,- -,16700000,25100000,45400000,35900000,46200000,76700000,126700000,185000000,230887000,313660000,358205000,361818000,421449000,600264000,682541000,768692000,940570000,845362000,955183000,1092314000,1165941000,1436383000,1631415000,1084617000,1187996000,1437906000,2353160000,2888291000,3288464000,3333157000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14032000,16104000,26464000,28463000,48306000,50067000,164168000,174358000,141404000,151969000,7128000,8012000,7804000,6783000,4019000,4420000,4423000,3703000,540573000
70,Total Liabilities & Equity,- -,16700000,25100000,45400000,35900000,46200000,76700000,126700000,185000000,230887000,313660000,358205000,375850000,437553000,626728000,711004000,816998000,990637000,1009530000,1129541000,1233718000,1317910000,1443511000,1639427000,1092421000,1194779000,1441925000,2357580000,2892714000,3292167000,3873730000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913353/000091205700030417/0000912057-00-030417-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913353/000127956905000452/ex2.htm,https://www.sec.gov/Archives/edgar/data/913353/000127956906000648/ex2.htm,https://www.sec.gov/Archives/edgar/data/913353/000127956907000758/0001279569-07-000758-index.html,- -,https://www.sec.gov/Archives/edgar/data/913353/000117184310000314/0001171843-10-000314-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184311000584/exh_2.htm,https://www.sec.gov/Archives/edgar/data/913353/000117184312000746/0001171843-12-000746-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184313000701/0001171843-13-000701-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184314000883/exh_2.htm,https://www.sec.gov/Archives/edgar/data/913353/000117184315001008/exh_2.htm,https://www.sec.gov/Archives/edgar/data/913353/000117184316008010/0001171843-16-008010-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184317001060/0001171843-17-001060-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184318001568/0001171843-18-001568-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184319001159/0001171843-19-001159-index.html,https://www.sec.gov/Archives/edgar/data/913353/000117184320001077/0001171843-20-001077-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,200000,1100000,1800000,-13200000,2500000,3400000,5100000,7800000,9900000,12700000,17400000,18400000,19000000,23200000,69500000,34900000,68798000,-44900000,13600000,74100000,5900000,-18000000,43316000,23347000,67965000,51362000,97658000,102903000,49074000,-390338000
74,Depreciation and Amortization,- -,1100000,1100000,2400000,2500000,3000000,3700000,5200000,8100000,10107000,11929000,12079000,13617000,15223000,27195000,23578000,31587000,38479000,46383000,47886000,50926000,53502000,75352000,62516000,38624000,44924000,52992000,78730000,94664000,125906000,145094000
75,Deferred Income Tax,- -,100000,100000,100000,-1700000,200000,300000,400000,-200000,1087000,1056000,489000,3149000,-683000,-5287000,-4901000,-9531000,-20785000,-3178000,-7440000,-64977000,-18660000,-23868000,-991000,2752000,9998000,19723000,6137000,-6699000,-13184000,-37538000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3169000,4166000,4077000,39653000,3279000,4425000,6394000,7831000,9628000,14349000
77,Change in Working Capital,- -,-1400000,100000,- -,- -,- -,- -,- -,- -,-3999000,-6841000,-10724000,-6005000,-1267000,-15426000,-8992000,-20850000,-23738000,15240000,23888000,-20899000,22154000,17552000,8285000,3476000,-5111000,15625000,3356000,-88347000,149715000,21959000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38301000,-39078000,-22452000,-19889000,-33613000,-22052000,-5574000,-16737000,-40045000,-54229000,-74535000,49039000,-322331000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-949000,-450000,782000,-4239000,839000,-6425000,-8622000,-4684000,-5087000,1114000,299000,-2359000,-3046000,-1226000,-3415000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3383000,4603000,10956000,-963000,-2455000,19287000,-7868000,6228000,9238000,14180000,-8980000,-13901000,153119000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,-3345000,3994000,5527000,-6901000,3460000,48000,901000,-16439000,-3991000,-1536000,167000,38966000,18300000,-78591000,246278000
82,Other Non-Cash Items,- -,100000,-600000,-4100000,7800000,-2500000,-3100000,-1100000,-7300000,2578000,3446000,5721000,3393000,2784000,7349000,-19836000,23684000,-5584000,67504000,37117000,41064000,36926000,61075000,41865000,49386000,35207000,68723000,65213000,200406000,-154660000,535454000
83,Cash Provided by Operating Activities,- -,100000,1800000,200000,-4600000,3200000,4300000,9600000,8400000,19673000,22290000,24965000,32554000,35057000,37031000,59349000,59790000,57170000,81049000,115051000,80214000,102991000,116277000,159068000,157238000,156262000,212850000,257488000,310758000,166479000,288980000
84,CAPEX,- -,-6300000,-1900000,-4800000,-2100000,-3300000,-4400000,-5800000,-48500000,-8824000,-10502000,-15611000,-10660000,-17117000,-17028000,-18837000,-26723000,-32183000,-24234000,-32460000,-37400000,-44395000,-34824000,-52506000,-22515000,-25046000,-39472000,-35579000,-44197000,-40353000,-57951000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22069000,-40583000,-15363000,-9907000,-13121000,-56869000,-14105000,-66826000,-152529000,-16831000,-34710000,-22975000,-19153000,11725000,-99872000,-44108000,-82073000,-58674000,-568956000,-80576000,-205608000,-60832000
86,Purchases of Investments,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6603000,- -,-13955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8042000,- -,356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3100000,-1200000,-5300000,-1400000,-5000000,-13900000,-34300000,-3300000,-1913000,-4768000,-5013000,-5604000,1155000,51000,89424000,-10035000,5147000,-33133000,1045000,1529000,1694000,-4198000,-3799000,-18790000,-26570000,-43101000,-23599000,-93495000,132503000,69369000
89,Cash Used for Investing Activites,- -,-3800000,-3100000,-10100000,-3500000,-8300000,-18300000,-40100000,-51800000,-32806000,-55853000,-35987000,-26171000,-29083000,-73846000,56482000,-102145000,-179565000,-87797000,-66125000,-58846000,-61854000,-27297000,-156177000,-85413000,-133689000,-141247000,-628134000,-218268000,-113458000,-49414000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143965000,-84793000,-133854000,-376349000,-516479000,-193033000,-707284000,-201103000,-336514000,-800032000,-644670000,-779185000,-819914000
91,Common Stock Issued,- -,3400000,8800000,8800000,100000,3000000,2000000,20400000,4600000,465000,580000,2849000,3002000,7847000,5515000,3740000,6435000,1174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-692000,-564000,- -,-400000,- -,-2698000,-13711000,-16593000,-6570000,- -,-39058000,-80675000,-9896000,-39232000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-800000,-100000,- -,-200000,- -,-300000,-200000,-200000,-190000,-475000,-139000,-191000,-510000,-606000,-1939000,- -,-6952000,-23394000,-18755000,-20588000,-9603000,-9427000,-14361000,-7178000,-3471000,-3875000,-3906000,-3940000,-3992000,-4209000
94,Other Financing Activites,- -,300000,-1100000,-600000,3100000,-400000,18400000,9200000,41200000,11805000,36368000,11107000,-13541000,-2594000,53307000,27631000,-18766000,109043000,186075000,91556000,212862000,363709000,516960000,226497000,625831000,189719000,256456000,1199166000,547622000,784226000,842724000
95,Cash Used/Provided by Financing Activities,- -,2900000,7600000,8200000,3000000,2600000,20100000,29400000,45600000,11388000,35909000,13817000,-11130000,4743000,55518000,15721000,-28924000,96695000,18716000,-51050000,-22255000,-32139000,-48178000,19103000,-88631000,-14855000,-83933000,395228000,-100988000,1049000,18601000
