,https://roic.ai/company/GBLI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,104973000,40356000,59289000,167961000,180780000,148019000,-18231000,-52643000,-1026000,-7738000,-35013000,-4921000,-12002000,3750000,-24396000,-23650000,42069000,32376000,32670000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-11522000,- -,-58762000,- -,- -,- -,- -,-14970000,- -,- -,25885000,-113696000,27319000,26372000,17040000,-3515000,- -,- -,- -
86,Purchases of Investments,- -,- -,-14475000,-11555000,-392611000,-663831000,-673969000,-435218000,-207574000,-840187000,-794437000,-791145000,-514672000,-571561000,-711614000,-676588000,-562765000,-1138846000,-423103000,-1515759000,-1324822000,- -
87,Sales/Maturities of Investments,- -,- -,10347000,19873000,353337000,518254000,513190000,320365000,341016000,695684000,745011000,902804000,579315000,536613000,716072000,846512000,578554000,1097596000,431938000,1435515000,1499407000,- -
88,Other Investing Activites,- -,- -,-104960000,-84184000,- -,-1249000,34300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-109088000,-87388000,-39274000,-205588000,-126479000,-114853000,133442000,-144503000,-64396000,111659000,64643000,-9063000,-109238000,197243000,42161000,-24210000,5320000,-80244000,174585000,- -
90,Debt Repayment,- -,- -,-17600000,-4650000,- -,-78086000,-5175000,-24441000,-15757000,-276000,-284000,-18285000,-18071000,-84929000,- -,-99027000,-9000000,- -,-6412000,- -,-173629000,- -
91,Common Stock Issued,- -,- -,- -,165557000,7312000,732000,5575000,2904000,- -,91833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-150000000,- -,-732000,-725000,-479000,-52024000,-274000,-192000,-29532000,-82959000,-55000,-139000,-190103000,-805000,-84174000,-1867000,-947000,-153000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14027000,-14222000,-14385000,- -
94,Other Financing Activites,- -,- -,- -,42974000,- -,93734000,4258000,-40574000,950000,-794000,-258000,-132000,- -,100000000,74710000,96351000,113000,131338000,- -,7811000,4000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,53881000,7312000,15626000,3933000,-62590000,-66831000,90489000,-734000,-47949000,-101030000,15016000,74571000,-192779000,-9692000,47164000,-22306000,-7358000,-184167000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-97000,140000,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-4115000,6849000,27327000,-22001000,58234000,-29424000,48283000,-106517000,-66199000,55972000,-71400000,1032000,-46669000,8214000,8073000,-696000,25083000,-55226000,23088000,- -
98,Cash at the End of Period,- -,- -,72942000,319791000,242123000,220122000,273745000,244321000,292604000,186087000,119888000,175860000,104460000,105492000,58823000,67037000,75110000,74414000,99497000,44271000,67359000,- -
99,Cash at the Beginning of Period,- -,- -,77057000,312942000,214796000,242123000,215511000,273745000,244321000,292604000,186087000,119888000,175860000,104460000,105492000,58823000,67037000,75110000,74414000,99497000,44271000,67359000
100,Free Cash Flow,- -,- -,104973000,40356000,59289000,167961000,180780000,148019000,-18231000,-52643000,-1026000,-7738000,-35013000,-4921000,-12002000,3750000,-24396000,-23650000,42069000,32376000,32670000,- -
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494904/000095012311026044/w82021e10vk.htm,https://www.sec.gov/Archives/edgar/data/1494904/000119312512114901/0001193125-12-114901-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312513109940/0001193125-13-109940-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312514100033/d654929d10k.htm,https://www.sec.gov/Archives/edgar/data/1494904/000119312515093663/d831640d10k.htm,https://www.sec.gov/Archives/edgar/data/1494904/000119312516503372/0001193125-16-503372-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312517078607/0001193125-17-078607-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000119312518076967/0001193125-18-076967-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000156459019007822/0001564590-19-007822-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000156459020009076/0001564590-20-009076-index.html,https://www.sec.gov/Archives/edgar/data/1494904/000156459021012923/0001564590-21-012923-index.htm,https://www.sec.gov/Archives/edgar/data/1494904/000156459022010614/0001564590-22-010614-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
