,https://roic.ai/company/INSG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022652/000093639202000184/0000936392-02-000184-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000093639203000405/0000936392-03-000405-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312504042311/0001193125-04-042311-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312505052906/0001193125-05-052906-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312506056825/0001193125-06-056825-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312507057240/0001193125-07-057240-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312508044369/0001193125-08-044369-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312509055490/0001193125-09-055490-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312510055554/0001193125-10-055554-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312511068720/0001193125-11-068720-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312512097385/0001193125-12-097385-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312513088274/0001193125-13-088274-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312514094271/0001193125-14-094271-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000162828015001638/0001628280-15-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265216000089/0001022652-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265217000020/0001022652-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265218000015/0001022652-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265219000012/0001022652-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265220000007/0001022652-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265221000017/0001022652-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265222000011/0001022652-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25455000,66826000,29229000,1571000,3942000,16486000,36653000,34612000,84600000,77733000,100025000,17375000,47069000,16044000,2911000,17853000,12570000,9894000,21198000,31015000,12074000,40015000,46474000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,36591000,47075000,48071000,68412000,58536000,27664000,59775000,28267000,38064000,19178000,- -,1267000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,25455000,66826000,29229000,1571000,3942000,53077000,83728000,82683000,153012000,136269000,127689000,77150000,75336000,54108000,22089000,17853000,13837000,9894000,21198000,31015000,12074000,40015000,46474000
34,Net Receivables,- -,1345000,20879000,7484000,7213000,9385000,14061000,28121000,47774000,71943000,40072000,36299000,63570000,36849000,42652000,39985000,24213000,35263000,22203000,15674000,20633000,19656000,29940000,26781000
35,Inventory,- -,4706000,7783000,6470000,4250000,2349000,9653000,23132000,25662000,25876000,23229000,24973000,43094000,42279000,39016000,27793000,37803000,55837000,31142000,20403000,26431000,25290000,33952000,37402000
36,Other Current Assets,- -,5212000,3388000,2194000,1666000,2013000,2182000,15074000,9275000,13178000,17436000,11203000,7179000,5723000,4955000,5762000,7912000,6039000,5208000,9162000,6273000,7117000,10201000,16962000
37,Total Current Assets,- -,36718000,98876000,45377000,14700000,17689000,78973000,150055000,165394000,264009000,217006000,200164000,190993000,160187000,140731000,95629000,87781000,110976000,68447000,66437000,84352000,64137000,114108000,127619000
38,PP&E,- -,1346000,8986000,7744000,4101000,1915000,4476000,13865000,15501000,22151000,20225000,14911000,21281000,18496000,15229000,9901000,5279000,8812000,8392000,6991000,6698000,18798000,28900000,15941000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22258000,19772000,- -,- -,- -,29520000,34428000,37681000,32942000,33659000,32511000,20336000
40,Intangible Assets,- -,- -,2260000,6596000,5054000,4629000,32764000,3459000,2411000,1535000,1860000,1513000,44265000,35702000,3163000,2131000,1493000,43054000,40283000,38671000,31985000,44392000,51487000,46995000
41,Intangible Assets,- -,- -,2260000,6596000,5054000,4629000,32764000,3459000,2411000,1535000,1860000,1513000,66523000,55474000,3163000,2131000,1493000,72574000,74711000,76352000,64927000,78051000,83998000,67331000
42,Investments,- -,- -,- -,- -,- -,- -,- -,7000000,1000000,- -,6962000,48355000,20676000,13495000,1201000,3443000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1849000,6630000,8619000,14402000,17248000,2103000,1023000,584000,81000,- -,3492000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,54000,702000,192000,192000,188000,110000,-164000,709000,315000,276000,316000,532000,504000,623000,280000,467000,2864000,7166000,8427000,6279000,387000,388000,4952000
45,Total Non-Current Assets,- -,1400000,11948000,14532000,9347000,6732000,37350000,26009000,26251000,32620000,43725000,82343000,111115000,88992000,20800000,15836000,7239000,87742000,90269000,91770000,77904000,97236000,113286000,88224000
46,Other Assets,6184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6184000,38118000,110824000,59909000,24047000,24421000,116323000,176064000,191645000,296629000,260731000,282507000,302108000,249179000,161531000,111465000,95020000,198718000,158716000,158207000,162256000,161373000,227394000,215843000
48,Accounts Payable,- -,11560000,23829000,12321000,6919000,6730000,5952000,34226000,39346000,38547000,23225000,27460000,77769000,54030000,45732000,24538000,34540000,35286000,31242000,29332000,39245000,26482000,52339000,48577000
49,Short-Term Debt,- -,- -,- -,1719000,2367000,- -,1127000,3891000,- -,- -,- -,- -,- -,- -,- -,2566000,- -,3313000,3238000,3192000,1412000,1288000,1619000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,336000,977000,6218000,531000,- -,- -,- -,- -,- -,- -,1135000,4630000,2999000,962000,1836000,1656000,1823000,2048000,2235000,2853000,- -
52,Other Current Liabilities,- -,9389000,7568000,15774000,6580000,2483000,8535000,16888000,18063000,24771000,20628000,23236000,26050000,23909000,23170000,24598000,22882000,23777000,26241000,25618000,10976000,14525000,18901000,26253000
53,Total Current Liabilities,- -,20949000,31397000,30150000,16843000,15431000,16145000,55005000,57409000,63318000,43853000,50696000,103819000,79074000,73532000,54701000,58384000,64212000,62377000,59965000,53681000,44530000,75712000,74830000
54,Long-Term Debt,- -,106000,205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5158000,82461000,90908000,128828000,138100000,147872000,165147000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3475000,4439000,5261000,4457000,3949000,4505000,852000
57,Other Non-Current Liabilities,- -,- -,- -,4332000,703000,354000,- -,- -,1700000,15566000,18916000,20656000,12886000,4080000,2552000,11848000,932000,18142000,18719000,9768000,2543000,2380000,9929000,165015000
58,Total Non-Current Liabilities,- -,106000,205000,4332000,703000,354000,- -,- -,1700000,15566000,18916000,20656000,12886000,4080000,2552000,11848000,6090000,104078000,114066000,143857000,145100000,154201000,179581000,165867000
59,Other Liabilities,20809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,38000,- -,- -,- -,- -,362000,269000,184000,55000,- -,- -,- -,- -,- -,- -,- -,- -,1101000,1619000,- -
61,Total Liabilities,20809000,21055000,31602000,34482000,17546000,15785000,16145000,55005000,57409000,78884000,62769000,71352000,116705000,83154000,76084000,66549000,64474000,168290000,176443000,203822000,198781000,198731000,255293000,240697000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,54000,55000,7000,13000,29000,29000,30000,33000,30000,31000,32000,32000,34000,34000,46000,53000,54000,59000,74000,82000,99000,105000
64,Retained Earnings,- -,-35122000,-85898000,-176936000,-230417000,-246447000,-233460000,-222344000,-221901000,-183139000,-184382000,-180470000,-213920000,-238812000,-328078000,-371491000,-411165000,-463451000,-524024000,-569759000,-577817000,-618303000,-732422000,-787047000
65,Other Comprehensive Income/Loss,- -,-1756000,-3609000,-10104000,-1729000,-142000,-336000,-364000,-31000,65000,62000,15000,21000,-8000,14000,5000,- -,-8507000,-1409000,4604000,-4877000,-3879000,-6972000,-8531000
66,Other Total Stockholders Equity,- -,53931000,168675000,212412000,238640000,255212000,333945000,343738000,356138000,400786000,382252000,391579000,399270000,404813000,413477000,416368000,441665000,502337000,507616000,519531000,546230000,584862000,711487000,770619000
67,Total Stockholders Equity,-14625000,17063000,79222000,25427000,6501000,8636000,100178000,121059000,134236000,217745000,197962000,211155000,185403000,166025000,85447000,44916000,30546000,30432000,-17763000,-45565000,-36390000,-37238000,-27808000,-24854000
68,Total Liabilities And Stockholders Equity,6184000,38118000,110824000,59909000,24047000,24421000,116323000,176064000,191645000,296629000,260731000,282507000,302108000,249179000,161531000,111465000,95020000,198722000,158680000,158257000,162391000,161493000,227485000,215843000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,36000,-50000,-135000,-120000,-91000,- -
70,Total Liabilities & Equity,6184000,38118000,110824000,59909000,24047000,24421000,116323000,176064000,191645000,296629000,260731000,282507000,302108000,249179000,161531000,111465000,95020000,198718000,158716000,158207000,162256000,161373000,227394000,215843000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022652/000093639202000184/0000936392-02-000184-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000093639203000405/0000936392-03-000405-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312504042311/0001193125-04-042311-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312505052906/0001193125-05-052906-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312506056825/0001193125-06-056825-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312507057240/0001193125-07-057240-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312508044369/0001193125-08-044369-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312509055490/0001193125-09-055490-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312510055554/0001193125-10-055554-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312511068720/0001193125-11-068720-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312512097385/0001193125-12-097385-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312513088274/0001193125-13-088274-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312514094271/0001193125-14-094271-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000162828015001638/0001628280-15-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265216000089/0001022652-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265217000020/0001022652-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265218000015/0001022652-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265219000012/0001022652-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265220000007/0001022652-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265221000017/0001022652-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265222000011/0001022652-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-18469000,-46924000,-90877000,-28318000,-11638000,13819000,11116000,443000,38762000,-1243000,3912000,-33450000,-24892000,-89266000,-43413000,-39229000,-52286000,-60573000,-45735000,-8058000,-40125000,-111215000,-47911000
74,Depreciation and Amortization,- -,672000,1853000,4743000,4943000,4427000,3797000,4472000,8037000,10953000,11563000,12994000,11711000,17868000,12337000,8949000,7408000,8323000,14053000,14274000,13733000,18426000,27946000,25330000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12545000,- -,462000,220000,87000,106000,196000,319000,14000,-598000,659000,-53000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6183000,6882000,6471000,5983000,7500000,3443000,3588000,6350000,4588000,3748000,4876000,7302000,10419000,16649000
77,Change in Working Capital,- -,9134000,51710000,-52252000,-17370000,4401000,60570000,32222000,12935000,92706000,-27538000,-23685000,-62294000,-6061000,-13914000,-26271000,-11531000,17367000,-40694000,402000,24199000,-11064000,18789000,14393000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30615000,3738000,-19963000,26437000,-6242000,730000,15688000,4760000,11616000,5638000,-6883000,377000,-10797000,-1148000
79,Inventory,- -,-4050000,-3077000,-9557000,-286000,-59000,-7435000,-16415000,-5454000,-3012000,-6851000,-5514000,-9527000,122000,420000,6879000,-13392000,-3960000,-3159000,3020000,-11437000,-3077000,-13336000,657000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15551000,3930000,46020000,-24293000,-10433000,-19237000,10036000,-11187000,-7825000,-730000,9646000,-12996000,27087000,-3108000
81,Other Working Capital,- -,15769000,67479000,15227000,-2143000,2258000,62828000,95050000,107985000,200691000,173153000,149468000,87174000,81113000,67199000,40928000,29397000,46764000,6070000,6472000,30671000,19607000,38396000,52789000
82,Other Non-Cash Items,- -,3477000,-47680000,83101000,12032000,2453000,-72543000,-35304000,-12799000,-91577000,36835000,36558000,71228000,5571000,53002000,30445000,23410000,-6796000,75851000,12355000,-36529000,8060000,73452000,-33620000
83,Cash Provided by Operating Activities,- -,-5186000,-41041000,-55285000,-28713000,-357000,5643000,12506000,8616000,50844000,25800000,36661000,6211000,-1531000,-29879000,-26627000,-16267000,-26936000,-6579000,-14637000,-1765000,-17999000,20050000,-25212000
84,CAPEX,- -,-880000,-9170000,-5887000,-198000,-225000,-2378000,-6752000,-8125000,-16444000,-9898000,-6836000,-10895000,-6271000,-4683000,-5011000,-2184000,-3132000,-4354000,-4628000,-4378000,-28730000,-35105000,-3731000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72247000,- -,- -,- -,- -,-85991000,-3750000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-75789000,-43664000,-60758000,-88336000,-85094000,-76967000,-178712000,-36992000,-44216000,-24262000,-1359000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,296000,- -,- -,- -,- -,10718000,54684000,65227000,69570000,88005000,66399000,174286000,74922000,46696000,40897000,23975000,265000,1210000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-2260000,-4453000,-102000,-74000,-1789000,-390000,-500000,125000,-1289000,-1066000,-110000,-284000,-104000,- -,-431000,-9386000,9014000,-2586000,-2896000,-21592000,-28977000,11006000
89,Cash Used for Investing Activites,- -,-584000,-11430000,-10340000,-300000,-299000,-69238000,3878000,-4156000,-35085000,-6987000,-17404000,-87568000,31659000,-2203000,11624000,20432000,-97087000,5035000,-4375000,-4234000,-28213000,-34713000,6078000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133000,-197000,-30134000,-12109000,-14046000,-17734000,-2566000,-347000,-1983000,-33140000,-3246000,-2069000,-51586000,-3200000
91,Common Stock Issued,- -,24655000,93965000,26525000,2772000,4330000,77214000,1031000,1674000,24990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19661000,- -,100000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2354000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3073000,-123000,1503000,283000,-1303000,-1075000,2752000,-8175000,9239000,552000,2952000,29018000,11804000,15166000,19748000,13474000,119514000,692000,63506000,1252000,29538000,-3979000,33121000
95,Cash Used/Provided by Financing Activities,- -,27728000,93842000,28028000,1455000,3027000,76139000,3783000,-6501000,34229000,-24581000,2755000,-1116000,-305000,1120000,2014000,10908000,119167000,-1291000,30366000,17667000,27469000,42081000,29921000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1099000,280000,-177000,-129000,-63000,-144000,-131000,-427000,159000,-50000,-1851000,-259000,523000,-990000
97,Net Change In Cash,- -,21958000,41371000,-37597000,-27558000,2371000,12544000,20167000,-2041000,49988000,-6867000,22292000,-82650000,29694000,-31025000,-13133000,14942000,-5283000,-2676000,11304000,9817000,-19002000,27941000,9797000
98,Cash at the End of Period,- -,25455000,66826000,29229000,1571000,3942000,16486000,36653000,34612000,84600000,77733000,100025000,17375000,47069000,16044000,2911000,17853000,12570000,9894000,21198000,31076000,12074000,40015000,49812000
99,Cash at the Beginning of Period,- -,3497000,25455000,66826000,29129000,1571000,3942000,16486000,36653000,34612000,84600000,77733000,100025000,17375000,47069000,16044000,2911000,17853000,12570000,9894000,21259000,31076000,12074000,40015000
100,Free Cash Flow,- -,-6066000,-50211000,-61172000,-28911000,-582000,3265000,5754000,491000,34400000,15902000,29825000,-4684000,-7802000,-34562000,-31638000,-18451000,-30068000,-10933000,-19265000,-6143000,-46729000,-15055000,-28943000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1022652/000093639202000184/0000936392-02-000184-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000093639203000405/0000936392-03-000405-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312504042311/0001193125-04-042311-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312505052906/0001193125-05-052906-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312506056825/0001193125-06-056825-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312507057240/0001193125-07-057240-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312508044369/0001193125-08-044369-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312509055490/0001193125-09-055490-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312510055554/0001193125-10-055554-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312511068720/0001193125-11-068720-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312512097385/0001193125-12-097385-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312513088274/0001193125-13-088274-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000119312514094271/0001193125-14-094271-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000162828015001638/0001628280-15-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265216000089/0001022652-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265217000020/0001022652-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265218000015/0001022652-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265219000012/0001022652-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265220000007/0001022652-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265221000017/0001022652-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022652/000102265222000011/0001022652-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
