,https://roic.ai/company/URI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-114400000,-167600000,-246443000,-247484000,-213267000,-342379000,-345000000,-190000000,-221000000,-81000000,-183000000,-221000000,-260000000,-232000000,-503000000,-473000000,-541000000,-555000000,-506000000,-459000000,-475000000,-638000000,-661000000,-431000000
20,Income Before Tax,78300000,241800000,301496000,214550000,-101384000,-303222000,-88000000,310000000,405000000,578000000,-813000000,-107000000,-63000000,164000000,88000000,605000000,850000000,963000000,909000000,1048000000,1476000000,1514000000,1139000000,1846000000
21,Income Before Tax Ratio,0.0642,0.1083,0.1033,0.0743,-0.0359,-0.1058,-0.0284,0.0870,0.1113,0.1549,-0.2489,-0.0454,-0.0282,0.0628,0.0214,0.1221,0.1495,0.1655,0.1578,0.1578,0.1834,0.1619,0.1335,0.1900
22,Income Tax expense (Gain),43500000,99100000,125121000,91977000,8102000,-58912000,-4000000,123000000,156000000,215000000,-109000000,-47000000,-41000000,63000000,13000000,218000000,310000000,378000000,343000000,-298000000,380000000,340000000,249000000,460000000
23,Net Income,13500000,142700000,176375000,111256000,-397825000,-244310000,-84000000,187000000,224000000,362000000,-704000000,-62000000,-26000000,101000000,75000000,387000000,540000000,585000000,566000000,1346000000,1096000000,1174000000,890000000,1386000000
24,Net Income ratio,0.0111,0.0639,0.0604,0.0385,-0.1410,-0.0852,-0.0271,0.0525,0.0615,0.0970,-0.2155,-0.0263,-0.0116,0.0387,0.0182,0.0781,0.0950,0.1006,0.0982,0.2027,0.1362,0.1255,0.1043,0.1427
25,EPS,0.20,2.00,2.48,1.54,-5.25,-3.35,-1.07,1.97,2.32,3.60,-12.62,-1.02,-0.44,1.62,0.90,4.14,5.54,6.14,6.49,15.91,13.25,15.19,12.24,19.06
26,EPS Diluted,0.18,1.53,1.89,1.18,-5.25,-3.35,-1.07,1.80,2.06,3.25,-12.62,-1.02,-0.44,1.38,0.79,3.64,5.15,6.07,6.45,15.73,13.12,15.11,12.20,19.01
27,Weighted Average Shares Outstanding,67500000,71350000,71118952,72244156,75776190,72928358,78504673,94923858,96551724,100555556,74734000,60100000,60455000,62184000,83000000,93436000,97489000,95200000,87200000,84600000,82700000,77300000,72700000,72700000
28,Weighted Average Shares Outstanding Diluted,75000000,93267974,91636842,94284746,75776190,72928358,78504673,94923858,96551724,111384615,74734000,60100000,60455000,73349000,94800000,106291000,104956000,96400000,87800000,85600000,83500000,77700000,72900000,72900000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1047166/000095013000001778/0000950130-00-001778-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000095013001500286/0000950130-01-500286-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000095013002002206/0000950130-02-002206-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000095013003002528/0000950130-03-002528-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000119312504042021/0001193125-04-042021-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000119312506070435/d10k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000119312506070481/d10k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000119312507040088/d10k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000119312508042082/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047166/000119312509037714/0001193125-09-037714-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000119312510020819/0001193125-10-020819-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000119312511020326/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047166/000144530512000134/0001445305-12-000134-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000106770113000004/0001067701-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/uri-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770115000006/uri-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770116000039/0001067701-16-000039-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770117000006/0001067701-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770118000006/0001067701-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770119000007/0001067701-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770120000008/0001067701-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770121000008/0001067701-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770122000008/0001067701-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23800000,34384000,27326000,19231000,79449000,303000000,316000000,119000000,381000000,77000000,169000000,203000000,36000000,106000000,175000000,158000000,179000000,312000000,352000000,43000000,52000000,202000000,144000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,23800000,34384000,27326000,19231000,79449000,303000000,316000000,119000000,381000000,77000000,169000000,203000000,36000000,106000000,175000000,158000000,179000000,312000000,352000000,43000000,52000000,202000000,144000000
34,Net Receivables,- -,435000000,469594000,450273000,466196000,499433000,490000000,572000000,502000000,519000000,454000000,337000000,377000000,464000000,793000000,804000000,940000000,930000000,920000000,1233000000,1545000000,1530000000,1315000000,1677000000
35,Inventory,- -,129500000,133380000,85764000,91798000,105987000,119000000,174000000,139000000,91000000,59000000,44000000,39000000,44000000,68000000,70000000,78000000,69000000,68000000,75000000,109000000,120000000,125000000,164000000
36,Other Current Assets,- -,81500000,104493000,124398000,131293000,118145000,120000000,154000000,245000000,129000000,113000000,155000000,106000000,179000000,376000000,313000000,370000000,116000000,61000000,112000000,64000000,140000000,375000000,166000000
37,Total Current Assets,- -,669800000,741851000,687761000,708518000,803014000,1032000000,1216000000,1005000000,1120000000,703000000,705000000,725000000,723000000,1343000000,1362000000,1546000000,1294000000,1361000000,1772000000,1761000000,1842000000,2017000000,2151000000
38,PP&E,- -,1964600000,2155074000,2130442000,2271027000,2478093000,397000000,445000000,2920000000,3266000000,3193000000,2848000000,2673000000,2983000000,5394000000,5795000000,6446000000,6631000000,6619000000,8291000000,10214000000,11060000000,9997000000,11956000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1404000000,190000000,196000000,198000000,289000000,2970000000,2953000000,3272000000,3243000000,3260000000,4082000000,5058000000,5154000000,5168000000,5528000000
40,Intangible Assets,- -,1863400000,2227008000,2207701000,1711012000,1441034000,1330000000,1361000000,1376000000,- -,39000000,35000000,29000000,83000000,1200000000,1018000000,1106000000,905000000,742000000,875000000,1084000000,895000000,648000000,615000000
41,Intangible Assets,- -,1863400000,2227008000,2207701000,1711012000,1441034000,1330000000,1361000000,1376000000,1404000000,229000000,231000000,227000000,372000000,4170000000,3971000000,4378000000,4148000000,4002000000,4957000000,6142000000,6049000000,5816000000,6143000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-100000,- -,- -,- -,- -,2123000000,2252000000,65000000,52000000,66000000,75000000,68000000,65000000,119000000,103000000,97000000,10000000,6000000,10000000,16000000,19000000,38000000,42000000
45,Total Non-Current Assets,- -,3827900000,4382082000,4338143000,3982039000,3919127000,3850000000,4058000000,4361000000,4722000000,3488000000,3154000000,2968000000,3420000000,9683000000,9869000000,10921000000,10789000000,10627000000,13258000000,16372000000,17128000000,15851000000,18141000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4497700000,5123933000,5025904000,4690557000,4722141000,4882000000,5274000000,5366000000,5842000000,4191000000,3859000000,3693000000,4143000000,11026000000,11231000000,12467000000,12083000000,11988000000,15030000000,18133000000,18970000000,17868000000,20292000000
48,Accounts Payable,- -,242900000,260155000,204773000,207038000,150796000,217000000,211000000,218000000,195000000,157000000,128000000,132000000,206000000,289000000,292000000,414000000,275000000,245000000,409000000,536000000,454000000,466000000,816000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,37000000,15000000,13000000,125000000,229000000,395000000,630000000,604000000,618000000,607000000,597000000,723000000,903000000,1175000000,882000000,1108000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,29000000,35000000,22000000,23000000,25000000,103000000,26000000,45000000,42000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,- -,- -,- -,- -,28000000,32000000,39000000,38000000,40000000,46000000,56000000,55000000,51000000,83000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,323000000,420000000,344000000,294000000,257000000,208000000,208000000,263000000,404000000,358000000,407000000,313000000,302000000,490000000,621000000,514000000,491000000,596000000
53,Total Current Liabilities,- -,242900000,260155000,204773000,207038000,150796000,540000000,631000000,599000000,520000000,427000000,461000000,569000000,864000000,1351000000,1286000000,1478000000,1233000000,1184000000,1668000000,2116000000,2198000000,1890000000,2603000000
54,Long-Term Debt,- -,2266100000,2675367000,2459522000,2512798000,2817088000,3167000000,3152000000,2665000000,2555000000,3332000000,2950000000,2700000000,2647000000,6734000000,6569000000,7434000000,7555000000,7193000000,8717000000,10844000000,10431000000,9527000000,9400000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,81200000,206243000,297024000,225587000,165052000,149000000,262000000,463000000,539000000,414000000,424000000,385000000,470000000,1302000000,1459000000,1692000000,1765000000,1896000000,1419000000,1687000000,1887000000,1768000000,2154000000
57,Other Non-Current Liabilities,- -,210000000,136225000,166154000,413629000,448330000,- -,- -,101000000,210000000,47000000,43000000,59000000,98000000,65000000,69000000,65000000,54000000,67000000,120000000,83000000,624000000,138000000,144000000
58,Total Non-Current Liabilities,- -,2557300000,3017835000,2922700000,3152014000,3430470000,3316000000,3414000000,3229000000,3304000000,3793000000,3417000000,3144000000,3215000000,8101000000,8097000000,9191000000,9374000000,9156000000,10256000000,12614000000,12942000000,11433000000,11698000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711000000,727000000,823000000
61,Total Liabilities,- -,2800200000,3277990000,3127473000,3359052000,3581266000,3856000000,4045000000,3828000000,3824000000,4220000000,3878000000,3713000000,4079000000,9452000000,9383000000,10669000000,10607000000,10340000000,11924000000,14730000000,15140000000,13323000000,14301000000
62,Preferred Stock,- -,- -,- -,- -,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,700000,711000,- -,765000,771000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,179500000,355850000,410480000,69281000,-189300000,-342000000,-155000000,69000000,431000000,-512000000,-574000000,-600000000,-499000000,-424000000,-37000000,503000000,1088000000,1654000000,3005000000,4101000000,5275000000,6165000000,7551000000
65,Other Comprehensive Income/Loss,- -,-515000000,-106211000,-106211000,-79836000,-547000,18000000,38000000,47000000,92000000,16000000,67000000,87000000,75000000,84000000,19000000,-74000000,-250000000,-218000000,-151000000,-237000000,-186000000,-146000000,-171000000
66,Other Total Stockholders Equity,- -,1732300000,1295593000,1594162000,1341290000,1329946000,1349000000,1345000000,1421000000,1494000000,466000000,487000000,492000000,487000000,1913000000,1865000000,1368000000,637000000,211000000,251000000,-462000000,-1260000000,-1475000000,- -
67,Total Stockholders Equity,- -,1397500000,1545943000,1898431000,1331505000,1140875000,1026000000,1229000000,1538000000,2018000000,-29000000,-19000000,-20000000,64000000,1574000000,1848000000,1798000000,1476000000,1648000000,3106000000,3403000000,3830000000,4545000000,5991000000
68,Total Liabilities And Stockholders Equity,- -,4197700000,4823933000,5025904000,4690557000,4722141000,4882000000,5274000000,5366000000,5842000000,4191000000,3859000000,3693000000,4143000000,11026000000,11231000000,12467000000,12083000000,11988000000,15030000000,18133000000,18970000000,17868000000,20292000000
69,Minority Interest,- -,300000000,300000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4497700000,5123933000,5025904000,4690557000,4722141000,4882000000,5274000000,5366000000,5842000000,4191000000,3859000000,3693000000,4143000000,11026000000,11231000000,12467000000,12083000000,11988000000,15030000000,18133000000,18970000000,17868000000,20292000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1047166/000095013000001778/0000950130-00-001778-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000095013001500286/0000950130-01-500286-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000095013002002206/0000950130-02-002206-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000095013003002528/0000950130-03-002528-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000119312504042021/0001193125-04-042021-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000119312506070435/d10k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000119312506070481/d10k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000119312507040088/d10k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000119312508042082/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047166/000119312509037714/0001193125-09-037714-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000119312510020819/0001193125-10-020819-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000119312511020326/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047166/000144530512000134/0001445305-12-000134-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000106770113000004/0001067701-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/uri-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770115000006/uri-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770116000039/0001067701-16-000039-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770117000006/0001067701-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770118000006/0001067701-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770119000007/0001067701-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770120000008/0001067701-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1067701/000106770121000008/0001067701-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770122000008/0001067701-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13500000,142700000,176375000,111256000,-397825000,-244310000,-84000000,187000000,224000000,362000000,-704000000,-62000000,-26000000,101000000,75000000,387000000,540000000,585000000,566000000,1346000000,1096000000,1174000000,890000000,1386000000
74,Depreciation and Amortization,212400000,343500000,414432000,433902000,396293000,428325000,468000000,462000000,503000000,497000000,513000000,474000000,449000000,480000000,897000000,1098000000,1194000000,1244000000,1245000000,1383000000,1671000000,2038000000,1988000000,1983000000
75,Deferred Income Tax,27300000,41800000,109280000,100683000,5871000,-70237000,-8000000,112000000,119000000,61000000,-129000000,- -,-58000000,39000000,-16000000,167000000,261000000,336000000,123000000,-533000000,257000000,204000000,-121000000,268000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,8000000,8000000,12000000,32000000,46000000,74000000,49000000,45000000,87000000,102000000,61000000,70000000,119000000
77,Change in Working Capital,-18900000,164700000,54796000,1292000,18492000,150738000,-160218000,93000000,-179000000,194000000,-324000000,-32000000,-88000000,-297000000,133000000,84000000,-8000000,-7000000,116000000,-73000000,-459000000,-1000000,483000000,351000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,128000000,-38000000,-62000000,-86000000,-20000000,-101000000,-11000000,15000000,-184000000,-115000000,39000000,218000000,-300000000
79,Inventory,-6400000,-6500000,69706000,87084000,21189000,10817000,12000000,-32000000,21000000,51000000,31000000,16000000,5000000,-3000000,-2000000,-2000000,11000000,8000000,1000000,1000000,-20000000,-8000000,-5000000,9000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000000,-32000000,4000000,68000000,-223000000,9000000,-23000000,-8000000,-29000000,141000000,49000000,-86000000,10000000,307000000
81,Other Working Capital,- -,426900000,481696000,482988000,501480000,652218000,492000000,585000000,406000000,600000000,276000000,244000000,156000000,-141000000,-8000000,76000000,68000000,61000000,177000000,104000000,-355000000,-356000000,127000000,- -
82,Other Non-Cash Items,-18200000,-271300000,-242162000,49577000,495078000,77790000,521218000,-211000000,191000000,-246000000,1402000000,50000000,167000000,273000000,-400000000,-231000000,-260000000,-212000000,-142000000,20000000,186000000,-452000000,-652000000,-418000000
83,Cash Provided by Operating Activities,216100000,421400000,512721000,696710000,517909000,342306000,737000000,643000000,858000000,868000000,764000000,438000000,452000000,608000000,721000000,1551000000,1801000000,1995000000,1953000000,2230000000,2853000000,3024000000,2658000000,3689000000
84,CAPEX,-1475900000,-1828600000,-961974000,-497318000,-530858000,-713301000,-751000000,-863000000,-965000000,-990000000,-704000000,-311000000,-374000000,-810000000,-1369000000,-1684000000,-1821000000,-1636000000,-1339000000,-1889000000,-2291000000,-2350000000,-1158000000,-3198000000
85,Acquisitions Net,- -,- -,-347337000,-57323000,-176925000,-5420000,- -,- -,-39000000,-23000000,-17000000,-25000000,- -,-276000000,-1165000000,-9000000,-756000000,-86000000,-28000000,-2377000000,-2966000000,-249000000,-2000000,-1436000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-2000000,-5000000,-3000000,-3000000,-3000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,126000000,233000000,346373000,144998000,171535000,181282000,298000000,310000000,356000000,342000000,275000000,242000000,151000000,225000000,430000000,516000000,577000000,555000000,510000000,566000000,709000000,892000000,940000000,1023000000
89,Cash Used for Investing Activites,-1349900000,-1595600000,-962938000,-409643000,-536248000,-537439000,-453000000,-553000000,-648000000,-671000000,-446000000,-94000000,-223000000,-861000000,-2104000000,-1177000000,-2000000000,-1170000000,-859000000,-3705000000,-4551000000,-1710000000,-223000000,-3611000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000000,-3691000000,-3606000000,-1824000000,-4370000000,-3965000000,-6283000000,-8482000000,-9223000000,-10207000000,-9942000000,-9678000000,-11245000000,-8462000000
91,Common Stock Issued,207600000,522500000,331000,10417000,63755000,1102000,6000000,2000000,78000000,32000000,3000000,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-30950000,-24758000,-26726000,-3575000,-5000000,-8000000,-4000000,-5000000,-605000000,-1000000,-1000000,-7000000,-131000000,-115000000,-613000000,-789000000,-528000000,-56000000,-817000000,-870000000,-286000000,-34000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-257000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,874500000,654500000,498673000,-263647000,-27720000,257430000,-65000000,-74000000,-478000000,-40000000,6347000000,3424000000,3403000000,1911000000,5954000000,3785000000,7092000000,8496000000,8787000000,11760000000,12156000000,9243000000,9238000000,8356000000
95,Cash Used/Provided by Financing Activities,1082100000,1177000000,468054000,-277988000,9309000,254957000,-64000000,-80000000,-404000000,-13000000,-612000000,-268000000,-203000000,80000000,1453000000,-295000000,196000000,-775000000,-964000000,1497000000,1397000000,-1305000000,-2293000000,-140000000
96,Effect of Forex Changes on Cash,-300000,600000,-7264000,-16137000,935000,394000,4000000,3000000,-3000000,11000000,-10000000,16000000,8000000,6000000,- -,-10000000,-14000000,-29000000,3000000,18000000,-8000000,- -,8000000,4000000
97,Net Change In Cash,1082100000,3400000,10573000,-7058000,-8095000,60218000,224000000,13000000,-197000000,262000000,-304000000,92000000,34000000,-167000000,70000000,69000000,-17000000,21000000,133000000,40000000,-309000000,9000000,150000000,-58000000
98,Cash at the End of Period,- -,23800000,34384000,27326000,19231000,79449000,303000000,316000000,119000000,381000000,77000000,169000000,203000000,36000000,106000000,175000000,158000000,179000000,312000000,352000000,43000000,52000000,202000000,144000000
99,Cash at the Beginning of Period,72400000,20400000,23811000,34384000,27326000,19231000,79000000,303000000,316000000,119000000,381000000,77000000,169000000,203000000,36000000,106000000,175000000,158000000,179000000,312000000,352000000,43000000,52000000,202000000
100,Free Cash Flow,-1259800000,-1407200000,-449253000,199392000,-12949000,-370995000,-14000000,-220000000,-107000000,-122000000,60000000,127000000,78000000,-202000000,-648000000,-133000000,-20000000,359000000,614000000,341000000,562000000,674000000,1500000000,491000000
