,https://roic.ai/company/GE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,32563000000,26305000000,35211000000,39820000000,52908000000,64981000000,58432000000,63572000000,68761000000,98352000000,109934000000,134202000000,97112000000,129630000000,119178000000,139048000000,70935000000,112962000000,101211000000,73147000000,69460000000,179578000000,67153000000,64385000000,44628000000,37371000000,30449000000,20501000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,67401000000,65326000000,80013000000,91257000000,112273000000,132013000000,141343000000,154315000000,186598000000,231984000000,256508000000,283456000000,258511000000,304819000000,294444000000,285763000000,279167000000,263394000000,256388000000,234207000000,229097000000,319049000000,206379000000,228707000000,185578000000,130832000000,165039000000,132478000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457416000000,371160000000,261665000000,330080000000,265003000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,194484000000,228035000000,272402000000,304012000000,355935000000,405200000000,437006000000,495023000000,575244000000,647483000000,750330000000,673342000000,697239000000,795337000000,797769000000,781818000000,751216000000,717242000000,685328000000,656560000000,648349000000,492692000000,365183000000,377945000000,309129000000,266048000000,253452000000,198874000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6766000000,9061000000,10205000000,10407000000,12502000000,13676000000,14853000000,18158000000,18874000000,19824000000,24729000000,21273000000,21697000000,21398000000,20819000000,19703000000,14657000000,16400000000,15675000000,16471000000,16338000000,13680000000,14435000000,15153000000,17153000000,15926000000,16476000000,16243000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,57781000000,64463000000,80200000000,98075000000,115378000000,130346000000,119180000000,153076000000,138775000000,134917000000,157746000000,158156000000,172153000000,195101000000,193695000000,133054000000,128458000000,180726000000,156948000000,140298000000,142070000000,50812000000,31035000000,24655000000,13073000000,22073000000,4777000000,4361000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8307000000,8477000000,10102000000,12186000000,13699000000,17194000000,22079000000,27670000000,24178000000,21789000000,23805000000,25498000000,26664000000,29614000000,34096000000,26719000000,50070000000,27340000000,27909000000,28732000000,30911000000,42401000000,37087000000,39550000000,38043000000,37919000000,34815000000,31348000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,72854000000,82001000000,100507000000,120668000000,141579000000,161216000000,156112000000,198904000000,181827000000,176530000000,206280000000,204927000000,220514000000,246113000000,248610000000,179476000000,193185000000,224466000000,200532000000,185501000000,189319000000,106893000000,82557000000,79358000000,68269000000,75918000000,56068000000,51952000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,36979000000,51027000000,49246000000,46603000000,59663000000,71427000000,82132000000,79806000000,140632000000,170004000000,213161000000,212281000000,260804000000,319015000000,330067000000,338215000000,312884000000,272717000000,257112000000,242742000000,222910000000,147466000000,105178000000,109933000000,96883000000,71973000000,70289000000,33671000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1801000000,1989000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5205000000,7380000000,8273000000,8651000000,9340000000,9238000000,8690000000,9130000000,12517000000,12647000000,14414000000,16330000000,14171000000,12144000000,4584000000,2173000000,2840000000,-131000000,-75000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,51212000000,55062000000,80244000000,89970000000,102198000000,115548000000,134644000000,147144000000,171089000000,203342000000,189808000000,122396000000,81858000000,94502000000,100896000000,136818000000,118109000000,102056000000,99289000000,91534000000,99287000000,138195000000,99957000000,106668000000,92496000000,88296000000,88220000000,69650000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,93396000000,113469000000,137763000000,145224000000,171201000000,196213000000,225466000000,236080000000,324238000000,385993000000,417383000000,351007000000,356833000000,425661000000,435547000000,477206000000,433833000000,374642000000,356326000000,334276000000,322197000000,285661000000,205135000000,216601000000,189379000000,160269000000,160310000000,105310000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
