,https://roic.ai/company/UTHR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-128.0000,-83.7500,-36.8955,-6.5055,-0.7852,-0.1869,0.2099,0.5609,0.4633,0.0941,-0.1520,0.0526,0.1754,0.2932,0.3323,0.1563,0.2639,0.4446,0.4464,0.2422,0.3620,-0.0721,0.3466,0.2823
25,EPS,-0.77,-1.25,-1.97,-0.92,-0.57,-0.23,0.35,1.43,1.60,0.47,-0.94,0.37,1.89,3.81,5.84,3.49,7.06,14.17,16.29,9.50,13.54,-2.39,11.65,10.76
26,EPS Diluted,-0.77,-1.25,-1.97,-0.92,-0.57,-0.23,0.33,1.29,1.53,0.44,-0.94,0.35,1.78,3.67,5.71,3.28,6.28,12.72,15.25,9.31,13.39,-2.39,11.54,10.67
27,Weighted Average Shares Outstanding,30454000,26748588,38474946,40571464,41288616,42269214,43451742,45650000,46020000,42448000,45802000,53314000,56142000,57163000,52093000,50076000,48176000,46000000,43800000,44000000,43500000,43800000,44200000,44200000
28,Weighted Average Shares Outstanding Diluted,30454000,26748588,38474946,40571464,41288616,42269214,46702334,50412000,48276000,44902000,45802000,56133000,59516000,59395000,53280000,53231000,54155000,51221000,46800000,44900000,44000000,43800000,44600000,44600000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1082554/000095013300001052/0000950133-00-001052-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013301500347/0000950133-01-500347-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013302001055/0000950133-02-001055-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000095013303000824/0000950133-03-000824-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000095013304000857/0000950133-04-000857-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013305000741/0000950133-05-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465906012236/0001104659-06-012236-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465907014511/0001104659-07-014511-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746908001971/0001047469-08-001971-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746909001859/0001047469-09-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746910001503/0001047469-10-001503-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746911001229/0001047469-11-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746912001646/0001047469-12-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746913001660/0001047469-13-001660-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746914001267/0001047469-14-001267-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746915001069/0001047469-15-001069-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746916010392/0001047469-16-010392-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746917000802/0001047469-17-000802-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746918000911/0001047469-18-000911-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746919000724/0001047469-19-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465920025009/0001104659-20-025009-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000108255421000008/0001082554-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000108255422000004/0001082554-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18300000,200935244,24372675,122655000,68562000,82586000,69180000,91067000,139323000,129452000,100352000,252162000,162676000,154030000,278889000,397697000,831798000,1023000000,705100000,669200000,738400000,738000000,894800000
32,Short-Term Investments,- -,33300000,14483637,31676959,- -,- -,200000,56304000,136682000,150729000,106596000,129140000,374921000,240803000,325175000,409645000,297842000,121974000,27800000,222300000,746700000,747500000,1096000000,1035900000
33,Cash and Short-Term Investments,- -,51600000,215418881,56049634,122655000,68562000,82786000,125484000,227749000,290052000,236048000,229492000,627083000,403479000,479205000,688534000,695539000,953772000,1050800000,927400000,1415900000,1485900000,1834000000,1930700000
34,Net Receivables,- -,400000,2351100,4223683,9659000,10612000,14766000,18807000,25579000,29662000,30600000,53264000,73707000,88680000,116626000,126297000,162287000,192827000,214500000,297100000,175700000,151400000,157000000,198700000
35,Inventory,- -,- -,2896469,6024574,7164000,8116000,8014000,11263000,12047000,13211000,14372000,26360000,35520000,45981000,37254000,47758000,66927000,81334000,100000000,107900000,101000000,93400000,86000000,93800000
36,Other Current Assets,- -,700000,1453654,2704790,2379000,2431000,4926000,11203000,11999000,19536000,16427000,15391000,28177000,24315000,35385000,46424000,49444000,47402000,59500000,115500000,75400000,133800000,90000000,100400000
37,Total Current Assets,- -,52700000,222120104,69002681,141857000,89721000,110492000,166757000,277374000,352461000,297447000,324507000,764487000,562455000,668470000,909013000,974197000,1275335000,1424800000,1447900000,1768000000,1864500000,2167000000,2323600000
38,PP&E,- -,3800000,5939036,6403414,9120000,15225000,17799000,21802000,34681000,69354000,221066000,303859000,306044000,366046000,453685000,464950000,478421000,495774000,489300000,545700000,699700000,738500000,731000000,780900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,7465000,7465000,7465000,8763000,2487000,8123000,10530000,10703000,10264000,10264000,10300000,13700000,31500000,28000000,- -,28000000
40,Intangible Assets,- -,2700000,17549224,15365275,14466000,13910000,13432000,12952000,3140000,962000,373000,9655000,7374000,13964000,5878000,3412000,19201000,18114000,23500000,31900000,139300000,130300000,- -,16600000
41,Intangible Assets,- -,2700000,17549224,15365275,14466000,13910000,13432000,12952000,10605000,8427000,7838000,18418000,9861000,22087000,16408000,14115000,29465000,28378000,33800000,45600000,170800000,158300000,158000000,44600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146025000,188604000,137971000,349022000,311103000,453503000,122787000,38002000,2300000,502700000,442600000,767500000,1149600000,1649900000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,15100000,66887000,93700000,175969000,200969000,202135000,190745000,150147000,192718000,181721000,192676000,178300000,113400000,95700000,230000000,238000000,261900000
44,Other Non-Current Assets,- -,700000,5036620,121350001,19123000,60646000,65435000,74802000,89003000,63076000,22974000,15187000,11137000,27724000,26782000,53268000,97819000,154280000,197100000,224100000,224200000,154600000,-1387600000,108200000
45,Total Non-Current Assets,- -,7200000,28524880,143118690,42709000,89781000,96666000,124656000,201176000,234557000,573872000,727037000,667148000,955624000,958125000,1178554000,910213000,909110000,900800000,1431500000,1633000000,2048900000,889000000,2845500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,59900000,250644984,212121371,184566000,179502000,207158000,291413000,478550000,587018000,871319000,1051544000,1431635000,1518079000,1626595000,2087567000,1884410000,2184445000,2325600000,2879400000,3401000000,3913400000,3056000000,5169100000
48,Accounts Payable,- -,2300000,5952342,6667108,2988000,4326000,6127000,3980000,3093000,2000000,20334000,18750000,16146000,47257000,10203000,6708000,6995000,7502000,8100000,8400000,23100000,9900000,187000000,3800000
49,Short-Term Debt,- -,100000,70803,101794,111000,773000,16000,15000,10000,250012000,- -,220272000,235968000,- -,- -,282458000,126481000,5387000,- -,- -,- -,250000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2200000,5469047,4028965,6208000,5519000,7721000,10528000,16147000,20748000,37492000,91165000,176572000,165320000,166552000,398508000,370834000,427935000,324400000,436300000,253500000,203100000,136000000,301600000
53,Total Current Liabilities,- -,4600000,11492192,10797867,9307000,10618000,13864000,14523000,19250000,272760000,57826000,330187000,428686000,212577000,176755000,687674000,504310000,440824000,332500000,444700000,276600000,463000000,323000000,305400000
54,Long-Term Debt,- -,1800000,1835960,1836406,1767000,25000,10000,8000,250015000,2000,249978000,- -,68929000,194180000,275010000,3724000,- -,- -,- -,250000000,250000000,600000000,800000000,800000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1579000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-100000,2579050,3087974,1834000,1094000,1648000,1780000,3100000,18466000,55816000,68348000,50134000,162834000,79967000,91858000,114526000,143974000,130900000,63700000,66600000,70000000,-704000000,104800000
58,Total Non-Current Liabilities,- -,1700000,4415010,4924380,3601000,1119000,1658000,1788000,254694000,18468000,305794000,68348000,119063000,357014000,354977000,95582000,114526000,143974000,130900000,313700000,316600000,670000000,96000000,904800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,992000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29261000,30327000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,6300000,15907202,15722247,12908000,11737000,15522000,16311000,273944000,291228000,363620000,398535000,547749000,569591000,531732000,783256000,618836000,584798000,463400000,758400000,593200000,1133000000,1219000000,1210200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10882000,45037000,23218000,11095000,10900000,19200000,19200000,- -,- -,- -
63,Common Stock,- -,200000,207401,207519,215000,218000,229000,239000,246000,266000,276000,567000,600000,615000,621000,630000,660000,690000,700000,700000,700000,700000,- -,700000
64,Retained Earnings,- -,-49300000,-124881888,-162169637,-185821000,-195390000,-180341000,-115325000,-41360000,-21501000,-78514000,-74746000,31170000,249038000,553480000,728040000,1068114000,1719753000,2433500000,2845600000,3434800000,3325200000,3839000000,4315000000
65,Other Comprehensive Income/Loss,- -,-200000,-491659,-1366712,8000,1674000,2677000,3593000,1476000,317000,-5913000,-4314000,-9175000,-10885000,-14957000,-13183000,-16734000,-20401000,-16800000,-19600000,-7900000,-14200000,-14200000,-23000000
66,Other Total Stockholders Equity,- -,102900000,359903928,359727954,357256000,361263000,369071000,386595000,244244000,316708000,591850000,731502000,861291000,709720000,544837000,543787000,190316000,-111490000,-566100000,-724900000,-639000000,-531300000,- -,-333800000
67,Total Stockholders Equity,- -,53600000,234737782,196399124,171658000,167765000,191636000,275102000,204606000,295790000,507699000,653009000,883886000,948488000,1094863000,1304311000,1265574000,1599647000,1862200000,2121000000,2807800000,2780400000,3395200000,3958900000
68,Total Liabilities And Stockholders Equity,- -,59900000,250644984,212121371,184566000,179502000,207158000,291413000,478550000,587018000,871319000,1051544000,1431635000,1518079000,1626595000,2087567000,1884410000,2184445000,2325600000,2879400000,3401000000,3913400000,4614200000,5169100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1558200000,- -
70,Total Liabilities & Equity,- -,59900000,250644984,212121371,184566000,179502000,207158000,291413000,478550000,587018000,871319000,1051544000,1431635000,1518079000,1626595000,2087567000,1884410000,2184445000,2325600000,2879400000,3401000000,3913400000,3056000000,5169100000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1082554/000095013300001052/0000950133-00-001052-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013301500347/0000950133-01-500347-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013302001055/0000950133-02-001055-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000095013303000824/0000950133-03-000824-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000095013304000857/0000950133-04-000857-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013305000741/0000950133-05-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465906012236/0001104659-06-012236-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465907014511/0001104659-07-014511-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746908001971/0001047469-08-001971-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746909001859/0001047469-09-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746910001503/0001047469-10-001503-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746911001229/0001047469-11-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746912001646/0001047469-12-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746913001660/0001047469-13-001660-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746914001267/0001047469-14-001267-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746915001069/0001047469-15-001069-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746916010392/0001047469-16-010392-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746917000802/0001047469-17-000802-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746918000911/0001047469-18-000911-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746919000724/0001047469-19-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465920025009/0001104659-20-025009-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000108255421000008/0001082554-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000108255422000004/0001082554-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12800000,-33500000,-75608490,-37287749,-23651000,-9969000,15449000,65016000,73965000,19859000,-42789000,19462000,105916000,217868000,304442000,174560000,340074000,651639000,713700000,417900000,589200000,-104500000,514000000,475800000
74,Depreciation and Amortization,- -,-1300000,-79736,3514785,3135000,2325000,2276000,2414000,1464000,957000,4536000,11394000,17920000,20535000,27145000,31259000,32245000,32921000,31600000,31000000,35900000,45900000,49000000,49900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-37047000,-3276000,-31211000,-1038000,41923000,- -,136229000,104343000,185106000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28703000,101015000,113942000,-15715000,30115000,320786000,190054000,280254000,12100000,73500000,-26400000,45400000,163000000,138500000
77,Change in Working Capital,1200000,48100000,162527912,-152423098,74345186,-53447000,17525000,55606000,105890000,-178423000,159920000,-245301000,341481000,14077000,141837000,-270376000,248548000,364624000,257789000,-89100000,488200000,-89900000,442500000,-174200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2329000,-21956000,-23452000,-16158000,-23991000,-10027000,-35689000,-30540000,-21700000,-82700000,121400000,24400000,-6000000,-41300000
79,Inventory,- -,- -,-2115049,-4035729,-1867000,-1202000,-385000,-3461000,-1006000,-2339000,-2630000,-9061000,-9196000,-16055000,-5933000,-12394000,-21032000,-6794000,-24500000,-500000,9300000,12900000,10000000,-7500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18509000,-3645000,-2734000,16656000,-37207000,7507000,-6753000,16972000,600000,66200000,- -,- -,38000000,- -
81,Other Working Capital,- -,48100000,210627912,58204814,132550000,79103000,96628000,152234000,258124000,79701000,239621000,-5680000,335801000,349878000,491715000,221339000,469887000,834511000,1092300000,1003200000,1491400000,1401500000,1844000000,-112900000
82,Other Non-Cash Items,2000000,-37000000,-117954533,147297285,-76087186,52529000,-14472000,-79336000,-92488000,209966000,-168331000,212092000,-409650000,13430000,-316140000,64695000,-640768000,-946677000,-371589000,40900000,-308500000,-103500000,-413500000,108200000
83,Cash Provided by Operating Activities,-9600000,-23700000,-31114847,-38898777,-22258000,-8562000,20778000,43700000,51784000,49083000,-49172000,97624000,211532000,250195000,323628000,425267000,355259000,382761000,643600000,474200000,778400000,-206600000,755000000,598200000
84,CAPEX,-1000000,-2300000,-639875,-687293,-3581000,-7004000,-5217000,-6117000,-15634000,-38658000,-124415000,-95400000,-18640000,-35977000,-111905000,-31910000,-47439000,-49792000,-43200000,-86300000,-184400000,-83700000,-59000000,-120800000
85,Acquisitions Net,- -,- -,-8131432,- -,- -,- -,- -,- -,- -,- -,- -,1208000,- -,-3547000,- -,-30766000,- -,- -,-2100000,100000,-129100000,-20500000,- -,- -
86,Purchases of Investments,-10500000,-114300000,-56658901,-152519965,-11218000,-44711000,-37474000,-78059000,-207151000,-301986000,-345963000,-310634000,-662225000,-815684000,-579316000,-762198000,-163672000,-116998000,-36800000,-830600000,-862000000,-1271500000,-2308000000,-1895300000
87,Sales/Maturities of Investments,- -,92600000,76453000,18385765,140567000,- -,30000000,12900000,118760000,318938000,297901000,249083000,457728000,733876000,527858000,529900000,549576000,320369000,130400000,72900000,400900000,1040300000,1523000000,1529200000
88,Other Investing Activites,- -,-100000,-3865896,40000,-5413000,4177000,-179000,- -,- -,- -,- -,-4776000,13901000,-1000,- -,- -,- -,350000000,-5200000,8300000,-46000000,- -,105800000,- -
89,Cash Used for Investing Activites,-11500000,-24100000,7156896,-134781493,120355000,-47538000,-12870000,-71276000,-104025000,-21706000,-172477000,-160519000,-209236000,-121333000,-163363000,-294974000,338465000,503579000,48300000,-835600000,-820600000,-335400000,-738500000,-486900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000,- -,-31442000,-251039000,-999000,-1320000,-317800000,-133150000,-8800000,- -,-250000000,-200000000,-1000000,- -
91,Common Stock Issued,22900000,58400000,210584729,- -,245000,4085000,7090000,14965000,14445000,58344000,150000000,- -,- -,- -,- -,2734000,3329000,3954000,4300000,4100000,3900000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-4072316,-2801840,- -,- -,- -,- -,-193086000,-67059000,- -,- -,- -,- -,-188000000,-42439000,-483077000,-394484000,-500000000,-250000000,- -,- -,- -,-10800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29604000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,900000,100899,-80459,-60000,-2078000,-774000,-795000,252769000,59198000,63026000,36477000,178198000,32960000,19859000,35910000,221013000,76737000,6800000,289200000,252400000,811200000,-15900000,55600000
95,Cash Used/Provided by Financing Activities,22900000,59300000,206613312,-2882299,185000,2007000,6316000,14170000,74128000,20879000,213003000,36477000,146756000,-218079000,-169140000,-5115000,-576535000,-446943000,-497700000,43300000,6300000,611200000,-16900000,44800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1225000,-2682000,2758000,-269000,229000,-319000,-3750000,-5296000,-3000000,200000,- -,- -,- -,- -
97,Net Change In Cash,22900000,11500000,182655361,-176562569,98282000,-54093000,14224000,-13406000,21887000,48256000,-9871000,-29100000,151810000,-89486000,-8646000,124859000,113439000,434101000,191200000,-317900000,-35900000,69200000,- -,156100000
98,Cash at the End of Period,- -,18300000,200935244,24372675,122655000,68562000,82586000,69180000,91067000,139323000,129452000,100352000,252162000,162676000,154030000,278889000,397697000,831798000,1023000000,705100000,669200000,738400000,738000000,894800000
99,Cash at the Beginning of Period,5000000,6800000,18279883,200935244,24373000,122655000,68362000,82586000,69180000,91067000,139323000,129452000,100352000,252162000,162676000,154030000,284258000,397697000,831800000,1023000000,705100000,669200000,738000000,738700000
100,Free Cash Flow,-10600000,-26000000,-31754722,-39586070,-25839000,-15566000,15561000,37583000,36150000,10425000,-173587000,2224000,192892000,214218000,211723000,393357000,307820000,332969000,600400000,387900000,594000000,-290300000,696000000,477400000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1082554/000095013300001052/0000950133-00-001052-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013301500347/0000950133-01-500347-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013302001055/0000950133-02-001055-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000095013303000824/0000950133-03-000824-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000095013304000857/0000950133-04-000857-index.html,https://www.sec.gov/Archives/edgar/data/1082554/000095013305000741/0000950133-05-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465906012236/0001104659-06-012236-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465907014511/0001104659-07-014511-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746908001971/0001047469-08-001971-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746909001859/0001047469-09-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746910001503/0001047469-10-001503-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746911001229/0001047469-11-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746912001646/0001047469-12-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746913001660/0001047469-13-001660-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746914001267/0001047469-14-001267-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746915001069/0001047469-15-001069-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746916010392/0001047469-16-010392-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746917000802/0001047469-17-000802-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746918000911/0001047469-18-000911-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000104746919000724/0001047469-19-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000110465920025009/0001104659-20-025009-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000108255421000008/0001082554-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1082554/000108255422000004/0001082554-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
