,https://roic.ai/company/SPXC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1163,0.1146,0.0976,0.1153,0.1826,0.0682,-0.0021,0.0699,0.0175,0.0571,0.0346,-0.0124,0.0353,0.0134,0.1453,0.1634,0.1188,0.0879,0.1006,0.0111,0.2908,0.0701,0.0960,0.1061,0.0571,0.0939,0.0792,0.1014,0.1044,0.1675,-0.0194,-0.0114,0.0587,0.0866,0.0880,0.1110,0.4034
17,Operating Income,64200000,63700000,81600000,83700000,40700000,47600000,17900000,58100000,13000000,67700000,41300000,65500000,-42000000,62200000,351800000,367000000,420300000,586600000,531700000,-9100000,210200000,314300000,425600000,473400000,170300000,343200000,338900000,9000000,329600000,201900000,-170000000,55000000,54800000,107600000,107900000,132000000,73700000
18,Operating Income ratio,0.1028,0.0957,0.1054,0.0954,0.0644,0.0672,0.0266,0.0725,0.0172,0.0620,0.0376,0.0590,-0.0455,0.0341,0.1297,0.1370,0.1022,0.1163,0.1046,-0.0021,0.0490,0.0729,0.0883,0.0808,0.0351,0.0702,0.0620,0.0018,0.0699,0.0428,-0.0989,0.0374,0.0384,0.0699,0.0707,0.0846,0.0604
19,Total Other Income Expenses (Gains),-13900000,-13600000,-35900000,-13800000,-2700000,-19200000,-43100000,-21700000,31600000,-43800000,-42900000,-113500000,59900000,-107100000,-57000000,-31400000,-106300000,-133400000,-115500000,-163200000,-182900000,-37500000,-35800000,-67300000,-74900000,-98500000,-119200000,-55500000,-73500000,392300000,-33000000,-15600000,-18700000,-28000000,-24700000,-15500000,-3800000
20,Income Before Tax,50300000,50100000,45700000,69900000,38000000,28400000,-25200000,36400000,44600000,23900000,-1600000,-48000000,17900000,-44900000,294800000,335600000,314000000,453200000,416200000,-172300000,27300000,276800000,389800000,406100000,95400000,244700000,219700000,-46500000,256100000,594200000,-203000000,39400000,36100000,79600000,83200000,116500000,69900000
21,Income Before Tax Ratio,0.0805,0.0752,0.0590,0.0796,0.0601,0.0401,-0.0374,0.0454,0.0590,0.0219,-0.0015,-0.0433,0.0194,-0.0246,0.1087,0.1253,0.0763,0.0898,0.0819,-0.0394,0.0064,0.0642,0.0808,0.0694,0.0197,0.0501,0.0402,-0.0091,0.0543,0.1259,-0.1181,0.0268,0.0253,0.0517,0.0545,0.0747,0.0573
22,Income Tax expense (Gain),20400000,21600000,19600000,25000000,14400000,10700000,-5800000,14300000,29400000,9800000,-200000,7600000,21300000,-3200000,187300000,137300000,141000000,177200000,151600000,-31600000,70400000,56300000,89500000,152900000,47200000,53100000,34400000,31900000,54800000,214100000,-11800000,9100000,-47900000,1400000,13500000,15800000,10900000
23,Net Income,29900000,28500000,26100000,44900000,81300000,17700000,-19400000,16400000,-40600000,14100000,-5300000,-62200000,-13700000,-41700000,101500000,189500000,173000000,127400000,236000000,-17100000,1090000000,170700000,294200000,247900000,31700000,205600000,180600000,259200000,210200000,397900000,-82700000,-67200000,89300000,81200000,65300000,97200000,425400000
24,Net Income ratio,0.0479,0.0428,0.0337,0.0512,0.1286,0.0250,-0.0288,0.0205,-0.0537,0.0129,-0.0048,-0.0561,-0.0149,-0.0228,0.0374,0.0707,0.0420,0.0252,0.0464,-0.0039,0.2539,0.0396,0.0610,0.0423,0.0065,0.0421,0.0331,0.0508,0.0446,0.0843,-0.0481,-0.0456,0.0626,0.0528,0.0428,0.0623,0.3488
25,EPS,0.61,0.58,0.53,0.91,1.43,0.32,-0.35,0.29,-0.81,0.55,-0.20,-2.23,-0.54,-0.97,1.65,3.08,2.38,1.56,3.07,-0.23,15.33,2.93,5.36,4.67,0.64,4.14,3.58,5.18,4.63,9.38,-2.03,-2.05,2.11,1.89,1.61,2.18,9.38
26,EPS Diluted,0.59,0.56,0.52,0.86,1.43,0.32,-0.35,0.29,-0.81,0.55,-0.20,-2.23,-0.54,-0.97,1.64,2.98,2.33,1.54,3.04,-0.23,15.33,2.83,5.22,4.59,0.64,4.08,3.54,5.18,4.57,9.25,-2.03,-2.05,2.03,1.82,1.58,2.12,9.11
27,Weighted Average Shares Outstanding,24844000,24844000,24844000,24844000,27540000,27650000,27674000,27806000,27846000,25610000,26348000,27996000,25508000,43092000,61530000,61592000,72616000,81440000,76802000,74271000,71084000,58254000,54842000,53046000,49363000,49718000,50499000,50031000,45384000,42400000,40733000,41610000,42413000,43054000,43942000,44628000,45331000
28,Weighted Average Shares Outstanding Diluted,24844000,24844000,24844000,24844000,27540000,27650000,27674000,27806000,27846000,25610000,26348000,27996000,25508000,43092000,62110000,63502000,74120000,82959000,77684000,74271000,71084000,60724000,56307000,54062000,49797000,50347000,50946000,50031000,46006000,43031000,40733000,42161000,43905000,44660000,44957000,45766000,46650000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88205/000095016803000755/d10k.htm,https://www.sec.gov/Archives/edgar/data/88205/000119312504030268/d10k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746905006807/a2153642z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746906003567/0001047469-06-003567-index.html,https://www.sec.gov/Archives/edgar/data/88205/000110465907015603/a07-4950_110k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746908002174/a2182978z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746909002043/0001047469-09-002043-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746910001447/0001047469-10-001447-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746911001138/a2202081z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746912001395/0001047469-12-001395-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746913001513/0001047469-13-001513-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746914001163/a2218170z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746915001007/a2223096z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000008820516000007/0000088205-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820517000008/0000088205-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820518000002/0000088205-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820519000008/0000088205-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820520000008/0000088205-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820521000009/0000088205-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/88205/000008820522000013/0000088205-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6100000,7800000,6700000,9400000,22100000,12500000,11100000,9700000,117800000,9900000,17100000,12300000,12100000,70300000,78800000,73700000,460000000,555900000,721600000,581400000,576300000,477200000,354100000,475900000,522900000,455400000,551000000,984100000,691800000,427600000,101400000,99600000,124300000,68800000,54700000,68300000,388200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6100000,7800000,6700000,9400000,22100000,12500000,11100000,9700000,117800000,9900000,17100000,12300000,12100000,70300000,78800000,73700000,460000000,555900000,721600000,581400000,576300000,477200000,354100000,475900000,522900000,455400000,551000000,984100000,691800000,427600000,101400000,99600000,124300000,68800000,54700000,68300000,388200000
34,Net Receivables,82300000,88400000,108800000,131400000,101100000,120800000,89000000,84900000,156900000,128500000,130200000,96500000,172800000,458700000,473700000,547700000,976200000,1053300000,1002500000,980400000,961800000,1127000000,1299900000,1306900000,1046300000,1164800000,1416300000,1333000000,1206700000,1067400000,367000000,251700000,267500000,360300000,329300000,352900000,252300000
35,Inventory,155800000,151400000,162000000,207800000,182700000,197000000,175500000,171600000,159200000,151800000,150900000,109300000,92900000,282100000,274000000,299600000,625500000,632500000,652300000,509500000,463400000,514300000,703800000,667000000,560300000,564300000,719600000,555600000,502200000,497800000,170700000,145700000,143000000,128800000,154900000,162000000,189800000
36,Other Current Assets,11200000,14300000,33100000,34600000,34400000,47000000,55600000,41500000,84300000,116100000,65300000,190000000,105700000,164600000,150000000,141900000,367300000,331400000,285300000,1799500000,226800000,340000000,271600000,362400000,183000000,244000000,208400000,242300000,372200000,222300000,143200000,30600000,97700000,40500000,93200000,99400000,73100000
37,Total Current Assets,255400000,261900000,310600000,383200000,340300000,377300000,331200000,307700000,518200000,406300000,363500000,408100000,383500000,975700000,976500000,1062900000,2429000000,2573100000,2661700000,3870800000,2228300000,2458500000,2629400000,2812200000,2312500000,2428500000,2895300000,3115000000,2772900000,2215100000,782300000,527600000,632500000,598400000,632100000,682600000,903400000
38,PP&E,176600000,188000000,183600000,196900000,109100000,117900000,116300000,116800000,198100000,214900000,213000000,123900000,122100000,433100000,444700000,492000000,839500000,784000000,734700000,497000000,474200000,374600000,492200000,500600000,546400000,545200000,698700000,745000000,692300000,670900000,219500000,195500000,186600000,184200000,179100000,189700000,113300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1762200000,1979100000,1779700000,1600000000,1634600000,1941800000,1574000000,1517000000,1455400000,342800000,340400000,345900000,394400000,449300000,499900000,457300000
40,Intangible Assets,38800000,37700000,37500000,90400000,98900000,96300000,98300000,94900000,204100000,199100000,192300000,58700000,60200000,1219500000,1103600000,1211800000,3061700000,3233500000,3551600000,2573400000,2249600000,488000000,727400000,646800000,708300000,719500000,1088200000,962400000,924700000,831000000,154200000,117900000,117600000,198400000,251700000,305000000,415500000
41,Intangible Assets,38800000,37700000,37500000,90400000,98900000,96300000,98300000,94900000,204100000,199100000,192300000,58700000,60200000,1219500000,1103600000,1211800000,3061700000,3233500000,3551600000,2573400000,2249600000,2250200000,2706500000,2426500000,2308300000,2354100000,3030000000,2536400000,2441700000,2286400000,497000000,458300000,463500000,592800000,701000000,804900000,872800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114700000,- -,- -,- -,- -,- -,50900000,50600000,50900000,24400000,16400000,3900000,11000000
44,Other Non-Current Assets,34500000,30700000,30700000,31900000,26300000,32600000,33500000,40900000,104000000,111400000,62600000,25300000,18000000,340000000,321200000,397900000,749900000,500900000,677000000,647300000,354300000,353800000,409300000,382300000,442500000,665500000,767800000,733700000,949300000,729800000,631600000,680500000,706900000,657700000,605900000,616600000,728100000
45,Total Non-Current Assets,249900000,256400000,251800000,319200000,234300000,246800000,248100000,252600000,506200000,525400000,467900000,207900000,200300000,1992600000,1869500000,2101700000,4651100000,4518400000,4963300000,3717700000,3078100000,2978600000,3608000000,3309400000,3411900000,3564800000,4496500000,4015100000,4083300000,3687100000,1399000000,1384900000,1407900000,1459100000,1502400000,1615100000,1725200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,505300000,518300000,562400000,702400000,574600000,624100000,579300000,560300000,1024400000,931700000,831400000,616000000,583800000,2968300000,2846000000,3164600000,7080100000,7091500000,7625000000,7588500000,5306400000,5437100000,6237400000,6121600000,5724400000,5993300000,7391800000,7130100000,6856200000,5902200000,2181300000,1912500000,2040400000,2057500000,2134500000,2297700000,2628600000
48,Accounts Payable,- -,- -,- -,- -,68300000,46800000,47100000,50000000,63000000,83300000,71400000,53000000,91500000,226600000,238300000,289400000,514300000,515300000,615800000,516700000,535000000,521100000,733800000,634000000,475800000,538800000,752700000,571400000,494600000,462000000,176900000,137600000,159700000,153600000,141600000,138500000,119600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,900000,1400000,2800000,49100000,97700000,- -,161600000,280300000,87900000,111800000,67500000,211000000,334400000,189300000,150400000,87100000,75500000,42100000,585600000,211900000,31200000,32700000,7500000,49900000,143600000,108400000,15200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476400000,460700000,375400000,193300000,117800000,100100000,79500000,100800000,103500000,44700000
52,Other Current Liabilities,75700000,80700000,121000000,124900000,85900000,69800000,75700000,75500000,335800000,137500000,138700000,120000000,192200000,403700000,418900000,347700000,856900000,824500000,826600000,1185600000,868200000,991300000,1088800000,1201000000,1013100000,1096400000,1119600000,646700000,633500000,560600000,253400000,188200000,193700000,187200000,222600000,234500000,260000000
53,Total Current Liabilities,75700000,80700000,121000000,124900000,154200000,116600000,122800000,125500000,398800000,221900000,211000000,174400000,286500000,679400000,754900000,637100000,1532800000,1620100000,1530300000,1814100000,1470700000,1723400000,2157000000,2024300000,1639300000,1722300000,1947800000,1736600000,2174400000,1609900000,654800000,476300000,461000000,470200000,608600000,584900000,439500000
54,Long-Term Debt,157700000,142300000,129700000,231100000,152700000,226100000,199700000,160300000,336000000,414100000,318900000,227900000,292700000,1466500000,1017000000,1295600000,2450800000,2414600000,2530200000,2414300000,720900000,753600000,1240700000,1155400000,1128600000,1110500000,1925600000,1649900000,1090000000,1157800000,342600000,323500000,349300000,331900000,249900000,304000000,230800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,16300000,22300000,23500000,25000000,62600000,64900000,67600000,60000000,20800000,16400000,25500000,15200000,46100000,217400000,322400000,403400000,752600000,632200000,850800000,600600000,345100000,194400000,246600000,124700000,92100000,86900000,137700000,251100000,427200000,294900000,55200000,42400000,29600000,23200000,26300000,23800000,31300000
57,Other Non-Current Liabilities,100000,100000,- -,- -,100000,- -,- -,18900000,123400000,120600000,113800000,92600000,- -,214500000,199400000,192100000,603600000,720500000,644100000,627800000,656600000,652800000,576700000,788900000,962900000,969600000,1143400000,1212500000,992600000,1018500000,820400000,878700000,885800000,817300000,747300000,755800000,824100000
58,Total Non-Current Liabilities,174100000,164700000,153200000,256100000,215400000,291000000,267300000,239200000,480200000,551100000,458200000,335700000,338800000,1898400000,1538800000,1891100000,3807000000,3767300000,4025100000,3642700000,1722600000,1600800000,2064000000,2069000000,2183600000,2167000000,3206700000,3113500000,2509800000,2471200000,1218200000,1244600000,1264700000,1172400000,1023500000,1083600000,1086200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,249800000,245400000,274200000,381000000,369600000,407600000,390100000,364700000,879000000,773000000,669200000,510100000,625300000,2577800000,2293700000,2528200000,5339800000,5387400000,5555400000,5456800000,3193300000,3324200000,4221000000,4093300000,3822900000,3889300000,5154500000,4850100000,4684200000,4081100000,1873000000,1720900000,1725700000,1642600000,1632100000,1668500000,1525700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354900000,357700000,416500000,868000000,878100000,899900000,920800000,937400000,963500000,972300000,979000000,986700000,993600000,998900000,1004500000,1008200000,1000000,500000,500000,500000,500000,500000,500000
64,Retained Earnings,141400000,157000000,169900000,201000000,88800000,93500000,64800000,75800000,20300000,29400000,19000000,-48700000,-63800000,-113200000,-11700000,177800000,350800000,478200000,714200000,622600000,1642000000,1754200000,2045900000,2240500000,2223000000,2358600000,2488300000,2696600000,2303100000,2637800000,897800000,-831600000,-742300000,-650100000,-584800000,-488100000,-51800000
65,Other Comprehensive Income/Loss,-130200000,-153700000,-158200000,-174800000,-56900000,-68800000,-85800000,-101300000,-169700000,-193500000,-212600000,-127400000,-141700000,-358000000,-355100000,-392700000,-439700000,-540000000,-566600000,-447400000,-174000000,-87000000,38000000,-180000000,-214000000,-193000000,-247000000,285000000,288000000,63000000,283000000,235000000,250000000,245000000,244000000,248000000,263900000
66,Other Total Stockholders Equity,244300000,269600000,276500000,295200000,173100000,191800000,210200000,221100000,294800000,322800000,355800000,282000000,162200000,861700000,564200000,465400000,1387700000,886200000,1041500000,1052700000,-277600000,-495200000,-1041400000,-1022000000,-1097200000,-1054600000,-1007600000,-1711800000,-1437600000,-1891100000,-836400000,787700000,806500000,819500000,842700000,868800000,- -
67,Total Stockholders Equity,255500000,272900000,288200000,321400000,205000000,216500000,189200000,195600000,145400000,158700000,162200000,105900000,-43300000,390500000,552300000,608200000,1715300000,1692400000,2067200000,2127800000,2111200000,2109400000,2006000000,2010800000,1890800000,2097700000,2227300000,2268700000,2158000000,1817900000,345400000,191600000,314700000,414900000,502400000,629200000,1102900000
68,Total Liabilities And Stockholders Equity,505300000,518300000,562400000,702400000,574600000,624100000,579300000,560300000,1024400000,931700000,831400000,616000000,582000000,2968300000,2846000000,3136400000,7055100000,7079800000,7622600000,7584600000,5304500000,5433600000,6227000000,6104100000,5713700000,5987000000,7381800000,7118800000,6842200000,5899000000,2218400000,1912500000,2040400000,2057500000,2134500000,2297700000,2628600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,- -,- -,28200000,25000000,11700000,2400000,3900000,1900000,3500000,10400000,17500000,10700000,6300000,10000000,11300000,14000000,3200000,-37100000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,505300000,518300000,562400000,702400000,574600000,624100000,579300000,560300000,1024400000,931700000,831400000,616000000,583800000,2968300000,2846000000,3164600000,7080100000,7091500000,7625000000,7588500000,5306400000,5437100000,6237400000,6121600000,5724400000,5993300000,7391800000,7130100000,6856200000,5902200000,2181300000,1912500000,2040400000,2057500000,2134500000,2297700000,2628600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88205/000095016803000755/d10k.htm,https://www.sec.gov/Archives/edgar/data/88205/000119312504030268/d10k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746905006807/a2153642z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746906003567/0001047469-06-003567-index.html,https://www.sec.gov/Archives/edgar/data/88205/000110465907015603/a07-4950_110k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746908002174/a2182978z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746909002043/0001047469-09-002043-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746910001447/0001047469-10-001447-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746911001138/a2202081z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746912001395/0001047469-12-001395-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746913001513/0001047469-13-001513-index.html,https://www.sec.gov/Archives/edgar/data/88205/000104746914001163/a2218170z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000104746915001007/a2223096z10-k.htm,https://www.sec.gov/Archives/edgar/data/88205/000008820516000007/0000088205-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820517000008/0000088205-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820518000002/0000088205-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820519000008/0000088205-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820520000008/0000088205-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/88205/000008820521000009/0000088205-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/88205/000008820522000013/0000088205-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,81300000,17700000,-19400000,16400000,-40600000,14100000,-5300000,-62200000,-13700000,-41700000,101500000,189500000,173000000,127400000,236000000,-17100000,1090000000,170700000,294200000,247900000,31700000,205600000,180600000,259200000,210200000,397900000,-82700000,-67200000,89300000,81200000,65300000,97200000,425400000
74,Depreciation and Amortization,- -,- -,- -,- -,19700000,19900000,23800000,25300000,24400000,38500000,43500000,40800000,25000000,69400000,105400000,110900000,174900000,139100000,123600000,97100000,87900000,75200000,79000000,104500000,105900000,113000000,120700000,111800000,114800000,109200000,39200000,26500000,25200000,29200000,34500000,41700000,42300000
75,Deferred Income Tax,- -,- -,- -,- -,-1800000,2300000,2700000,8500000,-15300000,-5800000,18800000,-5200000,6800000,-19500000,68100000,107600000,103400000,136500000,138900000,-106900000,39900000,5400000,-9500000,49400000,-21000000,61000000,-25100000,11000000,95000000,-81700000,-4200000,- -,-21000000,-300000,14800000,11300000,-1400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41500000,27600000,31100000,41400000,39400000,32800000,38400000,34500000,13700000,15800000,15500000,13600000,14000000,12800000
