,https://roic.ai/company/CLMT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0298,0.0289,-0.0061,-0.0226,0.0510,0.0740,0.0618,0.0517,0.0365,0.0326,0.0400,0.0614,0.0169,0.0081,0.0178,-0.0110,0.0420,0.0351,0.0221,-0.0317,-0.0272
19,Total Other Income Expenses (Gains),2107000,-3847000,-2327000,29872000,-33729000,-27365000,-17825000,-84046000,-5424000,-54191000,-81327000,-79438000,-87700000,-159800000,-242800000,-296600000,-189400000,-173200000,-119400000,-76000000,-173000000
20,Income Before Tax,- -,5281000,-4931000,- -,- -,94072000,83375000,44694000,61936000,17299000,43965000,206490000,3900000,-113000000,-167800000,-336300000,-31400000,-50300000,-43100000,-147900000,-258600000
21,Income Before Tax Ratio,- -,0.0167,-0.0115,- -,- -,0.0573,0.0509,0.0180,0.0335,0.0079,0.0140,0.0443,0.0007,-0.0195,-0.0398,-0.0934,-0.0083,-0.0144,-0.0125,-0.0652,-0.0821
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,190000,501000,257000,151000,598000,929000,753000,400000,-800000,-28400000,-7700000,-100000,700000,500000,1100000,1500000
23,Net Income,-13284000,5281000,-4931000,8970000,11328000,93882000,82874000,44437000,60549000,16367000,86072000,204538000,3300000,-112200000,-139400000,-328600000,-103800000,-55100000,-43600000,-149000000,-260100000
24,Net Income ratio,-0.0433,0.0167,-0.0115,0.0166,0.0088,0.0572,0.0506,0.0179,0.0328,0.0075,0.0275,0.0439,0.0006,-0.0194,-0.0331,-0.0913,-0.0276,-0.0158,-0.0126,-0.0657,-0.0826
25,EPS,-13284.00,5281.00,-4931.00,0.35,10195.00,2.81,2.63,1.37,1.87,0.46,0.98,3.51,-0.17,-1.80,-2.05,-4.18,-1.31,-0.69,-0.55,-1.86,-3.29
26,EPS Diluted,-13284.00,5281.00,-4931.00,0.35,10195.00,2.81,2.63,1.37,1.87,0.46,0.98,3.50,-0.17,-1.80,-2.05,-4.18,-1.31,-0.69,-0.55,-1.86,-3.29
27,Weighted Average Shares Outstanding,1000,1000,1000,25277015,1000,14642000,16678000,32232000,32372000,35335000,42599000,55559000,67938784,69671827,74896096,77043935,77598950,77943992,78212136,78369091,78924380
28,Weighted Average Shares Outstanding Diluted,1000,1000,1000,25277015,1000,14642000,16680000,32232000,32372000,35351000,42644000,55677000,67938784,69671827,74896096,77043935,77598950,77943992,78212136,78369091,78971518
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340122/000095013407003992/0000950134-07-003992-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012908001492/0000950129-08-001492-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095013409004364/0000950134-09-004364-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012310017905/0000950123-10-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012311016186/0000950123-11-016186-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000119312512089069/0001193125-12-089069-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012213000022/0001340122-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012214000008/0001340122-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012215000007/0001340122-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012216000150/0001340122-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012217000074/0001340122-17-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012218000067/0001340122-18-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012219000040/0001340122-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012220000034/0001340122-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012221000035/0001340122-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012222000036/0001340122-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,18087000,12173000,80955000,35000,48000,49000,37000,64000,32174000,121100000,8500000,5600000,4200000,164300000,155700000,19100000,109400000,38100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,18087000,12173000,80955000,35000,48000,49000,37000,58566000,32174000,121100000,8500000,5600000,4200000,164300000,155700000,19100000,109400000,38100000
34,Net Receivables,- -,- -,- -,58710000,115294000,99000000,113997000,109556000,122768000,157961000,212065000,226783000,263300000,349800000,210700000,238700000,354100000,198000000,188500000,160400000,253000000
35,Inventory,- -,- -,- -,82990000,108431000,110985000,107664000,118524000,137250000,147110000,497740000,553574000,567400000,513500000,384400000,386200000,314400000,284100000,292600000,254900000,326600000
36,Other Current Assets,- -,- -,- -,24433000,23009000,44269000,7588000,77023000,39576000,4003000,10273000,21415000,22600000,34700000,8300000,11800000,358700000,32200000,11900000,10200000,14900000
37,Total Current Assets,- -,- -,- -,184220000,258907000,335209000,229284000,305151000,299643000,309111000,778644000,833946000,974400000,906500000,609000000,640900000,1191500000,670000000,512100000,534900000,632600000
38,PP&E,76316000,85995000,89938000,126585000,127846000,191732000,442882000,659684000,629275000,612433000,842101000,986875000,1160400000,1464400000,1719200000,1678000000,1159200000,1098100000,1066600000,1005600000,1107400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,48335000,48335000,48335000,48335000,187013000,207000000,245800000,212000000,177200000,171400000,171400000,171400000,173000000,173000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,49502000,38093000,29666000,22675000,197083000,212900000,257500000,214100000,178500000,107900000,88000000,71200000,57600000,45800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,97837000,86428000,78001000,71010000,384096000,419900000,503300000,426100000,355700000,279300000,259400000,242600000,230600000,218800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33400000,137300000,126000000,10300000,35000000,25400000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,7401000,12964000,3233000,6691000,18390000,16510000,17127000,40303000,48128000,100000000,108300000,64400000,40300000,23800000,34600000,36500000,37200000,169100000
45,Total Non-Current Assets,- -,- -,- -,133986000,140810000,194965000,449573000,775911000,732213000,707561000,953414000,1419099000,1713700000,2213300000,2335700000,2084300000,1497300000,1417500000,1345700000,1273400000,1495300000
46,Other Assets,192118000,217915000,219066000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,192118000,217915000,219066000,318206000,399717000,530174000,678857000,1081062000,1031856000,1016672000,1732058000,2253045000,2688100000,3119800000,2944700000,2725200000,2688800000,2087500000,1857800000,1808300000,2127900000
48,Accounts Payable,- -,34072000,32263000,58027000,44759000,78752000,167977000,93855000,109976000,174715000,313326000,333416000,355800000,419900000,316600000,295500000,282300000,200600000,230200000,179300000,301000000
49,Short-Term Debt,- -,- -,- -,19795000,500000,500000,943000,4811000,5009000,4844000,551000,771000,400000,600000,75200000,3500000,354100000,3800000,62400000,44300000,72500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,7551000,7174000,13068000,41253000,18400000,17900000,17900000,20800000,16100000,15200000,11800000,9500000,11600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,11596000,47919000,23237000,71345000,39187000,24931000,64152000,74730000,141211000,145900000,123000000,234800000,199200000,289300000,210700000,272400000,320900000,526300000
53,Total Current Liabilities,- -,- -,- -,89418000,93178000,102489000,240265000,137853000,139916000,243711000,388607000,475398000,502100000,543500000,626600000,498200000,925700000,415100000,565000000,544500000,899800000
54,Long-Term Debt,- -,- -,- -,194274000,267485000,49000000,38948000,460280000,396049000,364431000,586539000,862730000,1110400000,1712900000,1698200000,1993700000,1638200000,1600700000,1242500000,1364200000,1511900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32300000,2100000,2300000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9717000,10544000,10251000,28012000,25124000,12800000,20900000,13900000,12300000,5000000,6000000,28700000,28200000,101300000
58,Total Non-Current Liabilities,- -,- -,- -,194274000,267485000,49000000,38948000,469997000,406593000,374682000,614551000,887854000,1123200000,1766100000,1714200000,2008300000,1643200000,1606700000,1271200000,1392400000,1613200000
59,Other Liabilities,174756000,186947000,189545000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96300000,89900000,158200000
61,Total Liabilities,174756000,186947000,189545000,283692000,360663000,151489000,279213000,607850000,546509000,618393000,1003158000,1363252000,1625300000,2309600000,2340800000,2506500000,2568900000,2021800000,1836200000,1936900000,2513000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,34514000,39054000,378685000,-20277000,73499000,13000000,-27619000,38527000,-25479000,-53400000,13700000,-1600000,-8300000,-7200000,-8700000,-10600000,-12300000,-10100000
66,Other Total Stockholders Equity,17362000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,17362000,- -,- -,34514000,39054000,378685000,399644000,473212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,192118000,217915000,189545000,318206000,399717000,530174000,678857000,1081062000,1031856000,1016672000,1732058000,2253045000,2688100000,3119800000,2944700000,2725200000,2688800000,2087500000,1857800000,1808300000,2513000000
69,Minority Interest,- -,- -,29521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-385100000
70,Total Liabilities & Equity,192118000,217915000,219066000,318206000,399717000,530174000,678857000,1081062000,1031856000,1016672000,1732058000,2253045000,2688100000,3119800000,2944700000,2725200000,2688800000,2087500000,1857800000,1808300000,2127900000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340122/000095013407003992/0000950134-07-003992-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012908001492/0000950129-08-001492-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095013409004364/0000950134-09-004364-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012310017905/0000950123-10-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012311016186/0000950123-11-016186-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000119312512089069/0001193125-12-089069-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012213000022/0001340122-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012214000008/0001340122-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012215000007/0001340122-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012216000150/0001340122-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012217000074/0001340122-17-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012218000067/0001340122-18-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012219000040/0001340122-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012220000034/0001340122-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012221000035/0001340122-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012222000036/0001340122-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4931000,8970000,11328000,93882000,82874000,44437000,60549000,16367000,86072000,204538000,3300000,-112200000,-139400000,-328600000,-103800000,-55100000,-43600000,-149000000,-260100000
74,Depreciation and Amortization,- -,- -,- -,6927000,10386000,11821000,17775000,61729000,72663000,64151000,74393000,91669000,117800000,138600000,145400000,171100000,154800000,118100000,110100000,105100000,107700000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,-28500000,-700000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4895000,6512000,4800000,6500000,9800000,5600000,11600000,-1200000,5900000,5500000,50700000
77,Change in Working Capital,- -,- -,- -,94802000,70927000,66991000,-243701000,178279000,-7571000,-94327000,324637000,-31489000,113752000,-109300000,-380600000,160300000,123100000,-10900000,-307800000,43300000,104400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-12296000,-35267000,-54484000,34609000,-32300000,-400000,138000000,-28400000,-158900000,109800000,-37000000,25500000,-91400000
79,Inventory,- -,- -,- -,-20304000,-25441000,-2554000,3321000,55532000,-18726000,-9860000,-167028000,17898000,14300000,43900000,47300000,49600000,-8500000,-300000,16300000,14000000,-27000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,15951000,64739000,138611000,11859000,6800000,-13100000,-119900000,21400000,70600000,-78200000,71300000,-38100000,71000000
81,Other Working Capital,- -,- -,- -,94802000,165729000,232720000,-10981000,167298000,159727000,65400000,390037000,358548000,472300000,363000000,-17600000,142700000,265800000,254900000,-52900000,-9600000,- -
82,Other Non-Cash Items,- -,- -,11979000,-111311000,-126642000,-5926000,310598000,-154104000,-24787000,147952000,-426219000,108878000,-200552000,304400000,769700000,-3600000,-212200000,24300000,427300000,57900000,-46700000
83,Cash Provided by Operating Activities,- -,- -,7048000,-612000,-34001000,166768000,167546000,130341000,100854000,134143000,63778000,380108000,39100000,226800000,376400000,4100000,-26500000,75200000,191900000,62800000,-44000000
84,CAPEX,- -,- -,- -,-43033000,-12963000,-76064000,-261015000,-167702000,-23521000,-35001000,-49478000,-57053000,-160800000,-289900000,-339300000,-139400000,-70000000,-49800000,-54900000,-44000000,-82900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-269118000,- -,- -,-413173000,-569191000,-209500000,-369000000,-50200000,-16700000,484500000,50900000,60100000,-3300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31800000,-105400000,-58600000,-45700000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-11940000,103000,60000,261000,140000,-43641000,807000,242000,2227000,2010000,31800000,105500000,59100000,47600000,38900000,7200000,9300000,1000000,100000
89,Cash Used for Investing Activites,- -,- -,-11940000,-42930000,-12903000,-75803000,-260875000,-480461000,-22714000,-34759000,-460424000,-624234000,-370300000,-658800000,-389000000,-154200000,453400000,8300000,14500000,-46300000,-82800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-876405000,-1049705000,-1977966000,-1559822000,-978600000,-1976200000,-1712800000,-1296400000,-913700000,-576300000,-1407900000,-1023200000,-1380700000
91,Common Stock Issued,- -,- -,- -,- -,- -,242222000,98206000,- -,51225000,793000,294702000,146558000,392500000,3600000,164100000,- -,100000,100000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-69000,- -,-115000,-164000,-248000,-620000,-2110000,-7100000,-2200000,-3600000,-1800000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-38286000,-77045000,-66140000,-59258000,-65739000,-82743000,-132400000,-201600000,-210200000,-224600000,-57400000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4884000,61561000,40990000,-226050000,-8752000,416388000,806463000,1015503000,2163300000,1824010000,1214900000,2504400000,1786600000,1504300000,996800000,134100000,1064900000,1097000000,1520000000
95,Cash Used/Provided by Financing Activities,- -,- -,4884000,61561000,40990000,-22183000,12409000,350133000,-78139000,-99396000,396673000,276236000,420100000,319400000,9700000,148700000,83200000,-442100000,-343000000,73800000,139300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,4884000,18019000,-5914000,68782000,-80920000,13000,1000,-12000,27000,32110000,88900000,-112600000,-2900000,-1400000,510100000,-358600000,-136600000,90300000,12500000
98,Cash at the End of Period,- -,- -,- -,18087000,12173000,80955000,35000,48000,49000,37000,64000,32174000,121100000,8500000,5600000,4200000,514300000,155700000,19100000,109400000,121900000
99,Cash at the Beginning of Period,- -,- -,- -,68000,18087000,12173000,80955000,35000,48000,49000,37000,64000,32200000,121100000,8500000,5600000,4200000,514300000,155700000,19100000,109400000
100,Free Cash Flow,- -,- -,7048000,-43645000,-46964000,90704000,-93469000,-37361000,77333000,99142000,14300000,323055000,-121700000,-63100000,37100000,-135300000,-96500000,25400000,137000000,18800000,-126900000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340122/000095013407003992/0000950134-07-003992-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012908001492/0000950129-08-001492-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095013409004364/0000950134-09-004364-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012310017905/0000950123-10-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000095012311016186/0000950123-11-016186-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000119312512089069/0001193125-12-089069-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012213000022/0001340122-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012214000008/0001340122-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012215000007/0001340122-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012216000150/0001340122-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012217000074/0001340122-17-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012218000067/0001340122-18-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012219000040/0001340122-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012220000034/0001340122-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012221000035/0001340122-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1340122/000134012222000036/0001340122-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
