,https://roic.ai/company/KWR,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,3100000,3100000,3500000,3000000,4400000,4600000,4500000,3300000,-10000000,2300000,-1900000,-22300000,2100000,-5100000,-400000,199000,239000,-1894000,3000,566000,3461000,-3192000,-2472000,-3314000,-2396000,-1918000,1465000,-276000,1583000,937000,-1030000,958000,-2076000,-4683000,-17230000,-32221000,-3475000
20,Income Before Tax,- -,- -,12900000,14100000,17500000,18900000,19600000,22600000,16900000,19000000,-1600000,15300000,11600000,-7100000,20500000,17400000,26600000,25374000,14430000,22079000,24118000,17457000,6615000,18440000,22735000,16629000,23692000,46213000,59377000,62948000,72826000,78293000,70230000,84009000,60668000,83098000,28904000,27139000,146991000
21,Income Before Tax Ratio,- -,- -,0.1051,0.1101,0.1186,0.1120,0.1079,0.1122,0.0884,0.0894,-0.0082,0.0786,0.0506,-0.0295,0.0849,0.0677,0.1029,0.0948,0.0575,0.0804,0.0709,0.0436,0.0156,0.0400,0.0417,0.0286,0.0525,0.0849,0.0869,0.0889,0.0998,0.1022,0.0952,0.1125,0.0740,0.0958,0.0255,0.0191,0.0835
22,Income Tax expense (Gain),- -,- -,5300000,5600000,7100000,7200000,6800000,8500000,6100000,6900000,200000,5900000,4900000,500000,7900000,6700000,10900000,8211000,4473000,7782000,7488000,5499000,3336000,6224000,6668000,4977000,7065000,12616000,14256000,15575000,20489000,23539000,17785000,23226000,41653000,25050000,2084000,-5296000,34939000
23,Net Income,- -,- -,7600000,8500000,10400000,11700000,12800000,14100000,10800000,12100000,-1800000,9400000,6700000,-7600000,12600000,10700000,15700000,17163000,7665000,14297000,14833000,8974000,1688000,11667000,15471000,11132000,16220000,31807000,43569000,47405000,56339000,56492000,51180000,61403000,20278000,59473000,31622000,39658000,121369000
24,Net Income ratio,- -,- -,0.0619,0.0664,0.0705,0.0694,0.0704,0.0700,0.0565,0.0569,-0.0092,0.0483,0.0292,-0.0316,0.0522,0.0416,0.0607,0.0641,0.0305,0.0521,0.0436,0.0224,0.0040,0.0253,0.0284,0.0191,0.0359,0.0585,0.0638,0.0669,0.0772,0.0738,0.0694,0.0822,0.0247,0.0686,0.0279,0.0280,0.0689
25,EPS,- -,- -,0.73,0.84,1.05,1.21,1.35,1.51,1.20,1.33,-0.19,1.03,0.76,-0.88,1.45,1.21,1.76,1.94,0.85,1.56,1.58,0.93,0.17,1.19,1.55,1.07,1.48,2.82,3.52,3.64,4.28,4.27,3.84,4.64,1.53,4.46,2.08,2.23,6.82
26,EPS Diluted,- -,- -,0.73,0.84,1.05,1.21,1.35,1.51,1.20,1.33,-0.19,1.03,0.76,-0.88,1.45,1.20,1.74,1.93,0.84,1.51,1.52,0.90,0.17,1.18,1.53,1.05,1.47,2.77,3.47,3.63,4.27,4.26,3.84,4.63,1.52,4.45,2.08,2.22,6.80
27,Weighted Average Shares Outstanding,- -,- -,10410959,10119048,9904762,9669421,9481481,9337748,9000000,9097744,9473684,9126214,8815789,8636364,8689655,8842975,8920455,8846907,9054000,9172000,9381000,9606000,9679000,9779000,9986000,10420000,10806518,11039410,12159958,12871703,13163318,13126759,13328125,13136138,13204872,13268047,15126928,17719792,17812216
28,Weighted Average Shares Outstanding Diluted,- -,- -,10410959,10119048,9904762,9669421,9481481,9337748,9000000,9097744,9473684,9189189,8815789,8888889,8689655,8916667,9022989,8892746,9114000,9474000,9761000,9969000,9816000,9854000,10107000,10553000,10865762,11241961,12318173,12930501,13194145,13148068,13328125,13160469,13245946,13304732,15163171,17750879,17870392
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81362/000092004995000033/0000920049-95-000033-index.html,https://www.sec.gov/Archives/edgar/data/81362/000089155496000183/0000891554-96-000183-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81362/000119312504040386/0001193125-04-040386-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312505049314/0001193125-05-049314-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312506052033/0001193125-06-052033-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312507050444/0001193125-07-050444-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312508049776/0001193125-08-049776-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312509045897/0001193125-09-045897-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312510046944/0001193125-10-046944-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312511053672/0001193125-11-053672-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136212000005/0000081362-12-000005-index.htm,- -,https://www.sec.gov/Archives/edgar/data/81362/000008136214000006/0000081362-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136215000004/0000081362-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136216000025/0000081362-16-000025-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136217000006/0000081362-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136218000003/0000081362-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136219000002/0000081362-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136220000002/0000081362-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136221000004/0000081362-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136222000003/0000081362-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,22100000,23900000,22600000,20500000,17500000,18000000,21000000,24400000,19300000,11300000,7200000,8500000,18400000,10200000,8700000,16552000,20549000,13857000,21915000,29078000,16121000,16062000,20195000,20892000,25051000,25766000,16909000,32547000,68492000,64731000,81053000,88818000,89879000,104147000,123524000,181833000,165176000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93822000,- -,- -
33,Cash and Short-Term Investments,- -,- -,22100000,23900000,22600000,20500000,17500000,18000000,21000000,24400000,19300000,11300000,7200000,8500000,18400000,10200000,8700000,16552000,20549000,13857000,21915000,29078000,16121000,16062000,20195000,20892000,25051000,25766000,16909000,32547000,68492000,64731000,81053000,88818000,89879000,104147000,217346000,181833000,165176000
34,Net Receivables,- -,- -,22900000,21600000,27800000,30000000,33300000,36300000,35100000,37500000,37100000,43800000,47000000,45600000,48600000,52400000,55100000,54401000,44787000,53353000,78121000,87527000,93943000,107340000,118135000,98702000,108793000,116266000,150676000,154197000,165629000,189484000,188297000,195225000,208358000,202139000,375982000,372974000,430676000
35,Inventory,- -,- -,10200000,10700000,13300000,15700000,16600000,18700000,17100000,17700000,17600000,17900000,21700000,21000000,21700000,24500000,23400000,22716000,18785000,23636000,32211000,41298000,45818000,51984000,60738000,57419000,50040000,60841000,74758000,72471000,71557000,77708000,75099000,77082000,87221000,94090000,174950000,187764000,264531000
36,Other Current Assets,- -,- -,2300000,2300000,2900000,3100000,8000000,11800000,9500000,6000000,10400000,10400000,10800000,11500000,9400000,9000000,9000000,9512000,7966000,12827000,11277000,13284000,10111000,10855000,14433000,23813000,15014000,12609000,17206000,18595000,23169000,19595000,21404000,15343000,21128000,18134000,-52306000,50156000,59871000
37,Total Current Assets,- -,- -,57500000,58500000,66600000,69300000,75400000,84800000,82700000,85600000,84400000,83400000,86700000,86600000,98100000,96100000,96200000,103181000,92087000,103673000,143524000,171187000,165993000,186241000,213501000,200826000,198898000,215482000,259549000,277810000,328847000,351518000,365853000,376468000,406586000,418510000,715972000,792727000,920254000
38,PP&E,- -,- -,24600000,29500000,32600000,32800000,36500000,46300000,48700000,52200000,56600000,51600000,56300000,44000000,40700000,49600000,44800000,42459000,38244000,48512000,62391000,62888000,56897000,60927000,62287000,60945000,67426000,76535000,82916000,85112000,85488000,85763000,87619000,85734000,86704000,83923000,256374000,242390000,234155000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38740000,43789000,40997000,46515000,52758000,58152000,59169000,58151000,77933000,79111000,80804000,86034000,83333000,607205000,631212000,631194000
40,Intangible Assets,- -,- -,- -,- -,9100000,8900000,8600000,8600000,8200000,9500000,14500000,12300000,19000000,16200000,14500000,21400000,16000000,17370000,16402000,27779000,42917000,43427000,44121000,8330000,7873000,6417000,5579000,24030000,31783000,32809000,31272000,70408000,73287000,73071000,71603000,63582000,1121765000,1081358000,1027782000
41,Intangible Assets,- -,- -,- -,- -,9100000,8900000,8600000,8600000,8200000,9500000,14500000,12300000,19000000,16200000,14500000,21400000,16000000,17370000,16402000,27779000,42917000,43427000,44121000,47070000,51662000,47414000,52094000,76788000,89935000,91978000,89423000,148341000,152398000,153875000,157637000,146915000,1728970000,1712570000,1658976000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8824000,9218000,7942000,16603000,19397000,21751000,20354000,22817000,25690000,21316000,93822000,95785000,95278000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10609000,12846000,18825000,24385000,28573000,30257000,34179000,31692000,28846000,29823000,30673000,24724000,24411000,27071000,24382000,15460000,6946000,14745000,16566000,16138000
44,Other Non-Current Assets,- -,- -,11800000,10500000,10100000,10100000,10900000,12700000,16000000,19300000,15500000,22900000,23400000,18800000,17300000,22800000,25200000,25151000,32090000,23285000,25669000,28566000,40599000,34571000,41342000,42075000,39537000,42561000,35356000,34458000,36267000,33742000,32218000,28752000,30049000,32055000,40433000,31796000,30959000
45,Total Non-Current Assets,- -,- -,36400000,40000000,51800000,51800000,56000000,67600000,72900000,81000000,86600000,86800000,98700000,79000000,72500000,93800000,86000000,84980000,86736000,110185000,143823000,153706000,166002000,171141000,185548000,184613000,199573000,233948000,245972000,258824000,255299000,314008000,319660000,315560000,315540000,291155000,2134344000,2099107000,2035506000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,93900000,98500000,118400000,121100000,131400000,152400000,155600000,166600000,171000000,170200000,185400000,165600000,170600000,189900000,182200000,188161000,178823000,213858000,287347000,324893000,331995000,357382000,399049000,385439000,398471000,449430000,505521000,536634000,584146000,665526000,685513000,692028000,722126000,709665000,2850316000,2891834000,2955760000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,11200000,13100000,11100000,14000000,18100000,8100000,21000000,23400000,22900000,26100000,22400000,21762000,20196000,27461000,39240000,40183000,50832000,54212000,65202000,48849000,58389000,61192000,65026000,67586000,72281000,74987000,67291000,77583000,93008000,87819000,164101000,191821000,234083000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20600000,25500000,17400000,- -,1400000,400000,2914000,2858000,12205000,42992000,60695000,5094000,4950000,4288000,4631000,2431000,890000,636000,1468000,1395000,403000,662000,707000,5736000,670000,49509000,49868000,56935000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6364000,12874000,11927000,13349000,12031000,10037000,9820000,28679000,39204000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1507000,2187000,5554000,6380000,- -
52,Other Current Liabilities,- -,- -,19400000,16200000,29500000,26900000,16700000,27300000,25500000,14100000,24500000,14700000,14200000,23200000,24900000,22900000,21900000,25524000,21609000,26478000,23573000,24740000,30962000,31017000,36861000,30384000,39147000,39109000,40987000,38738000,57180000,49511000,56602000,49121000,54492000,60794000,140770000,134891000,139449000
53,Total Current Liabilities,- -,- -,19400000,16200000,29500000,26900000,27900000,40400000,36600000,28100000,42600000,43400000,60700000,64000000,47800000,50400000,44700000,50200000,44663000,66144000,105805000,125618000,86888000,90179000,106351000,83864000,99967000,101191000,106649000,107792000,130856000,124901000,124555000,127411000,154743000,151470000,359934000,382960000,430467000
54,Long-Term Debt,- -,- -,9000000,8700000,5000000,5000000,5700000,5500000,5200000,18600000,16100000,12200000,9300000,5200000,25200000,25300000,25100000,22295000,19380000,16590000,15827000,14848000,67410000,85237000,78487000,84236000,63685000,73855000,46701000,30000000,17321000,75328000,81439000,65769000,61068000,35934000,882437000,849068000,862747000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2900000,3000000,1000000,1200000,1700000,1600000,- -,- -,3000000,3100000,3000000,3200000,3800000,3900000,3900000,3633000,1233000,1518000,2688000,5588000,4608000,5317000,7583000,7156000,8605000,6108000,7094000,6383000,6394000,8584000,15003000,12008000,9653000,10003000,211094000,192763000,179025000
57,Other Non-Current Liabilities,- -,- -,3400000,3900000,4800000,5100000,4500000,4400000,13300000,16600000,15900000,15200000,15400000,15100000,14700000,18300000,19200000,18749000,24212000,33889000,40967000,43828000,60573000,61783000,71722000,80308000,69919000,81177000,89351000,102783000,84544000,91578000,83273000,74234000,87044000,75889000,154485000,146129000,95599000
58,Total Non-Current Liabilities,- -,- -,15300000,15600000,10800000,11300000,11900000,11500000,18500000,35200000,35000000,30500000,27700000,23500000,43700000,47500000,48200000,44677000,44825000,51997000,59482000,64264000,132591000,152337000,157792000,171700000,142209000,161140000,143146000,139166000,108259000,175490000,179715000,152011000,157765000,121826000,1248016000,1187960000,1137371000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42450000,37971000,26335000
61,Total Liabilities,- -,- -,34700000,31800000,40300000,38200000,39800000,51900000,55100000,63300000,77600000,73900000,88400000,87500000,91500000,97900000,92900000,94877000,89488000,118141000,165287000,189882000,219479000,242516000,264143000,255564000,242176000,262331000,249795000,246958000,239115000,300391000,304270000,279422000,312508000,273296000,1607950000,1570920000,1567838000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,9664000,9664000,9664000,9664000,9669000,9726000,9926000,10147000,10833000,11086000,11492000,12912000,13095000,13196000,13301000,13288000,13278000,13308000,13338000,17735000,17851000,17897000
64,Retained Earnings,- -,- -,55100000,60700000,67700000,75900000,84800000,83700000,83900000,90800000,83500000,170200000,87900000,74300000,80700000,84900000,93700000,103760000,103953000,110448000,117308000,117981000,111317000,114498000,115767000,117089000,123140000,144347000,175932000,215390000,258620000,299524000,326740000,364414000,365936000,405125000,412979000,423940000,516334000
65,Other Comprehensive Income/Loss,- -,- -,-18500000,-21900000,-27100000,-29200000,-32500000,-37400000,-40300000,-45500000,-50500000,-54000000,-62300000,-55000000,-56400000,-62300000,-64200000,-65575000,- -,-28323000,-16027000,-7695000,-18710000,-19059000,-5625000,-27237000,-10439000,-13736000,-29820000,-41855000,-34700000,-54406000,-73316000,-87407000,-65100000,-80715000,-78170000,-26598000,-63990000
66,Other Total Stockholders Equity,- -,- -,22600000,27900000,37500000,36200000,39300000,54200000,56900000,58000000,60400000,- -,71400000,58800000,54800000,69400000,50100000,45435000,- -,-3734000,1407000,2632000,3574000,5466000,10104000,25238000,27527000,38275000,89725000,- -,99038000,99056000,106333000,112475000,93528000,97304000,888218000,905171000,- -
67,Total Stockholders Equity,- -,- -,59200000,66700000,78100000,82900000,91600000,100500000,100500000,103300000,93400000,96300000,97000000,78100000,79100000,92000000,89300000,93284000,89335000,88055000,112352000,122587000,105907000,110831000,130393000,125923000,151314000,180378000,248749000,281100000,336154000,357475000,373045000,402760000,407672000,435052000,1240762000,1320364000,1387294000
68,Total Liabilities And Stockholders Equity,- -,- -,93900000,98500000,118400000,121100000,131400000,152400000,155600000,166600000,171000000,170200000,185400000,165600000,170600000,189900000,182200000,188161000,178823000,206196000,277639000,312469000,325386000,353347000,394536000,381487000,393490000,442709000,498544000,528058000,575269000,657866000,677315000,682182000,720180000,708348000,2848712000,2891284000,2955132000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7662000,9708000,12424000,6609000,4035000,4513000,3952000,4981000,6721000,6977000,8576000,8877000,7660000,8198000,9846000,1946000,1317000,1604000,550000,628000
70,Total Liabilities & Equity,- -,- -,93900000,98500000,118400000,121100000,131400000,152400000,155600000,166600000,171000000,170200000,185400000,165600000,170600000,189900000,182200000,188161000,178823000,213858000,287347000,324893000,331995000,357382000,399049000,385439000,398471000,449430000,505521000,536634000,584146000,665526000,685513000,692028000,722126000,709665000,2850316000,2891834000,2955760000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81362/000092004995000033/0000920049-95-000033-index.html,https://www.sec.gov/Archives/edgar/data/81362/000089155496000183/0000891554-96-000183-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81362/000119312504040386/0001193125-04-040386-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312505049314/0001193125-05-049314-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312506052033/0001193125-06-052033-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312507050444/0001193125-07-050444-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312508049776/0001193125-08-049776-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312509045897/0001193125-09-045897-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312510046944/0001193125-10-046944-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000119312511053672/0001193125-11-053672-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136212000005/0000081362-12-000005-index.htm,- -,https://www.sec.gov/Archives/edgar/data/81362/000008136214000006/0000081362-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136215000004/0000081362-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136216000025/0000081362-16-000025-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136217000006/0000081362-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136218000003/0000081362-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136219000002/0000081362-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136220000002/0000081362-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136221000004/0000081362-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/81362/000008136222000003/0000081362-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,7600000,8500000,- -,11700000,12800000,14100000,10800000,12100000,-1800000,9400000,6700000,-7600000,12600000,10700000,15700000,17163000,7665000,14297000,14833000,8974000,1688000,11667000,15471000,11132000,16220000,31807000,43569000,47405000,56339000,56492000,51180000,61403000,20278000,59473000,31622000,39658000,121369000
74,Depreciation and Amortization,- -,- -,2600000,3100000,- -,4500000,4800000,5900000,6700000,7800000,7600000,7300000,8600000,8700000,7300000,7100000,7000000,6812000,6380000,6237000,7637000,9767000,10531000,11563000,12883000,12056000,10603000,10855000,13793000,15358000,15784000,16631000,19206000,19566000,19966000,19714000,44895000,83246000,86550000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,500000,100000,-500000,-200000,-500000,-3700000,700000,-100000,1000000,-1821000,-627000,328000,1389000,-1872000,-4476000,404000,-354000,1014000,-505000,1849000,2431000,947000,-1856000,-249000,-3523000,2282000,18762000,-73000,-22428000,-37206000,-13428000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2130000,3096000,3513000,3807000,4161000,5309000,5919000,6349000,4190000,3724000,4861000,10996000,11038000
