,https://roic.ai/company/BLL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117200000,158200000,177100000,179800000,183800000,159900000,143200000,229000000,285000000,301000000,317000000,275000000,270000000
14,Depreciation and Amortization,39200000,44200000,41300000,43900000,50100000,53500000,108000000,105500000,116300000,127000000,113600000,93500000,117500000,154600000,162900000,159100000,152500000,149200000,205500000,215100000,213500000,252600000,281000000,297400000,285200000,265500000,301100000,282900000,299900000,280900000,285500000,453000000,729000000,702000000,678000000,668000000,700000000
15,EBITDA,131800000,154500000,154800000,92000000,98700000,123400000,214400000,210800000,30000000,244700000,94900000,124900000,207800000,180000000,332000000,270100000,43600000,389200000,535500000,649900000,574300000,713800000,658000000,764300000,953100000,1067500000,1123500000,1031200000,1040100000,1060700000,756600000,819000000,1553000000,1642000000,1632000000,1627000000,2004000000
16,EBITDA ratio,0.1191,0.1444,0.1469,0.0857,0.0807,0.0909,0.0946,0.0968,0.0123,0.0943,0.0366,0.0572,0.0870,0.0621,0.0926,0.0737,0.0118,0.1009,0.1076,0.1195,0.0999,0.1078,0.0890,0.1011,0.1298,0.1399,0.1302,0.1180,0.1228,0.1238,0.0946,0.0904,0.1414,0.1411,0.1422,0.1381,0.1451
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8900000,-6300000,-5400000,-2300000,-11100000,-15600000,-44600000,-40400000,-48200000,-51200000,-158900000,-63600000,-40100000,-65100000,-109700000,-188600000,-88300000,-75600000,-141100000,-103700000,- -,-94400000,-194000000,-182700000,-161700000,-147200000,-207400000,-297700000,-290600000,-273500000,-454400000,-675000000,-509000000,-493000000,-568000000,-578000000,-425000000
20,Income Before Tax,92600000,110300000,113500000,48100000,48600000,69900000,106400000,99100000,-53700000,117700000,-18700000,20300000,90300000,40800000,169100000,111000000,-113700000,235400000,319700000,435200000,462500000,446900000,364500000,452800000,537400000,606400000,659800000,595600000,583600000,645600000,345500000,125000000,514000000,633000000,608000000,687000000,1008000000
21,Income Before Tax Ratio,0.0837,0.1031,0.1077,0.0448,0.0398,0.0515,0.0469,0.0455,-0.0220,0.0454,-0.0072,0.0093,0.0378,0.0141,0.0472,0.0303,-0.0308,0.0610,0.0642,0.0800,0.0804,0.0675,0.0493,0.0599,0.0732,0.0795,0.0764,0.0682,0.0689,0.0753,0.0432,0.0138,0.0468,0.0544,0.0530,0.0583,0.0730
22,Income Tax expense (Gain),41400000,51400000,47200000,15400000,12800000,19700000,40200000,36200000,-21200000,44700000,-100000,7200000,32000000,8800000,64900000,42800000,-9700000,83900000,100100000,139200000,99300000,131600000,95700000,147400000,162800000,175800000,201300000,165000000,149600000,149900000,47000000,-126000000,165000000,185000000,71000000,99000000,156000000
23,Net Income,51200000,58900000,66300000,32700000,35800000,50200000,66200000,69100000,-65100000,73000000,-18600000,24200000,58300000,16600000,104200000,68200000,-99200000,156100000,229900000,295600000,261500000,329600000,281300000,319500000,387900000,468000000,444000000,403500000,406800000,470000000,280900000,263000000,374000000,454000000,566000000,585000000,878000000
24,Net Income ratio,0.0463,0.0550,0.0629,0.0305,0.0293,0.0370,0.0292,0.0317,-0.0267,0.0281,-0.0072,0.0111,0.0244,0.0057,0.0291,0.0186,-0.0269,0.0405,0.0462,0.0543,0.0455,0.0498,0.0381,0.0423,0.0528,0.0613,0.0514,0.0462,0.0480,0.0548,0.0351,0.0290,0.0341,0.0390,0.0493,0.0497,0.0636
25,EPS,0.04,0.04,0.04,0.02,0.02,0.03,0.04,0.04,-0.04,0.15,-0.04,0.04,0.12,0.03,0.21,0.14,-0.12,0.35,0.52,0.67,0.61,0.80,0.69,0.83,1.03,1.29,1.34,1.30,1.40,1.70,1.02,0.71,1.14,1.32,1.71,1.79,2.69
26,EPS Diluted,0.04,0.04,0.04,0.02,0.02,0.03,0.04,0.04,-0.04,0.14,-0.04,0.04,0.11,0.03,0.20,0.13,-0.12,0.34,0.50,0.65,0.59,0.79,0.69,0.82,1.02,1.27,1.31,1.27,1.36,1.65,0.99,0.69,1.12,1.29,1.66,1.76,2.64
27,Weighted Average Shares Outstanding,368128000,368832000,373248000,376256000,352352000,353472000,412288000,422864000,459392000,475234043,482222222,486857143,482608696,490666667,483333333,464424779,438592965,450830325,446840000,443384000,431032000,413352000,404744000,383428000,375144000,361492000,330550000,309296000,291886000,277016000,274600000,316542000,350269000,344796000,331102000,326260000,326260000
28,Weighted Average Shares Outstanding Diluted,368128000,368832000,373248000,376256000,352352000,353472000,412288000,422864000,459392000,507636364,482222222,501176471,510344828,501818182,515555556,490467290,438592965,460811808,457096000,455160000,438928000,419804000,411040000,388076000,379956000,367076000,337180000,316168000,298446000,284860000,281968000,322884000,356985000,352321000,340121000,332815000,332815000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/0000009389-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/9389/0000009389-97-000006-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/000000938904000059/0000009389-04-000059-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938905000060/0000009389-05-000060-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/000000938908000054/0000009389-08-000054-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938909000006/0000009389-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938910000007/0000009389-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938911000014/0000009389-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465912011588/0001104659-12-011588-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465913013165/0001104659-13-013165-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465914012614/0001104659-14-012614-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465915012578/0001104659-15-012578-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465916097390/0001104659-16-097390-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837017001300/0001558370-17-001300-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837018001345/0001558370-18-001345-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837019000909/0001558370-19-000909-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837020001005/0001558370-20-001005-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837021001121/0001558370-21-001121-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837022001251/0001558370-22-001251-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15000000,10200000,16600000,15700000,10400000,30000000,20800000,14500000,8200000,10400000,5100000,169200000,25500000,34000000,35800000,25600000,83100000,259200000,36500000,198700000,61000000,151500000,151600000,127400000,210600000,152000000,165800000,174100000,416000000,191400000,224000000,597000000,448000000,721000000,1798000000,1366000000,563000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100100000,102600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15000000,10200000,16600000,15700000,10400000,30000000,20800000,14500000,8200000,10400000,5100000,169200000,25500000,34000000,35800000,25600000,83100000,259200000,36500000,198700000,61000000,151500000,151600000,127400000,310700000,254600000,165800000,174100000,416000000,191400000,224000000,597000000,448000000,721000000,1798000000,1366000000,563000000
34,Net Receivables,98800000,109000000,114600000,133900000,176200000,217900000,246100000,200900000,191300000,204500000,200000000,245900000,301400000,273500000,220200000,230200000,172000000,345900000,250100000,346800000,376600000,579500000,582700000,737400000,562400000,849700000,910400000,930100000,859400000,957100000,885400000,1491000000,1634000000,1802000000,1631000000,1738000000,2560000000
35,Inventory,147200000,185500000,163000000,155500000,165300000,272500000,336900000,375200000,409300000,414000000,318500000,302000000,413300000,483800000,565900000,627500000,449300000,552500000,546200000,629500000,670300000,935400000,998100000,974200000,944200000,1083900000,1072500000,1044400000,1028300000,1016700000,898400000,1413000000,1526000000,1271000000,1274000000,1353000000,1795000000
36,Other Current Assets,3900000,26500000,21500000,26600000,22100000,21800000,30200000,28600000,83300000,69200000,69100000,49500000,57900000,94300000,73900000,86000000,89100000,66900000,90700000,70600000,117900000,94900000,110500000,326300000,106000000,117500000,173200000,190800000,162000000,148300000,176200000,152000000,150000000,146000000,181000000,218000000,305000000
37,Total Current Assets,264900000,331200000,315700000,331700000,374000000,542200000,634000000,619200000,692100000,698100000,592700000,766600000,798100000,885600000,895800000,969300000,793500000,1224500000,923500000,1245600000,1225800000,1761300000,1842900000,2165300000,1923300000,2305700000,2321900000,2339400000,2465700000,2313500000,2184000000,3653000000,3758000000,3940000000,4884000000,4675000000,5223000000
38,PP&E,337300000,366000000,401900000,433000000,434700000,610100000,760500000,709900000,822700000,779900000,628600000,699000000,919500000,1174400000,1121200000,1003700000,904400000,1445900000,1471100000,1532400000,1556600000,1876000000,1941200000,1866900000,1949000000,2048200000,2265400000,2288600000,2372300000,2430700000,2685900000,4387000000,4610000000,4542000000,4709000000,5653000000,6922000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1148100000,- -,- -,- -,1773700000,1863100000,1825500000,2114800000,2105300000,2247100000,2359400000,2404300000,2254500000,2176500000,5095000000,4933000000,4475000000,4419000000,4484000000,4378000000
40,Intangible Assets,- -,- -,- -,- -,- -,13100000,40800000,45100000,101500000,93800000,66100000,- -,- -,794800000,715100000,676800000,615700000,- -,1336900000,1699700000,1258600000,116200000,121900000,511000000,420600000,417600000,180600000,213300000,231100000,199700000,195000000,1934000000,2462000000,2188000000,2002000000,1883000000,1688000000
41,Intangible Assets,- -,- -,- -,- -,- -,13100000,40800000,45100000,101500000,93800000,66100000,- -,- -,794800000,715100000,676800000,615700000,1148100000,1336900000,1699700000,1258600000,1889900000,1985000000,2336500000,2535400000,2522900000,2427700000,2572700000,2635400000,2454200000,2371500000,7029000000,7395000000,6663000000,6421000000,6367000000,6066000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26400000,32200000,33700000,33200000,34300000,204000000,274000000,302000000,291000000,321000000,184000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34900000,4300000,- -,- -,- -,29700000,- -,- -,66500000,59600000,443000000,325000000,237000000,241000000,227000000,126000000
44,Other Non-Current Assets,39500000,35500000,77300000,111800000,129300000,142200000,123300000,189700000,179300000,188000000,325100000,235200000,372500000,- -,- -,- -,- -,313900000,338100000,- -,302400000,278800000,247200000,- -,80600000,50900000,213500000,274200000,312700000,272900000,2441700000,457000000,807000000,870000000,814000000,1009000000,1193000000
45,Total Non-Current Assets,376800000,401500000,479200000,544800000,564000000,765400000,924600000,944700000,1103500000,1061700000,1019800000,934200000,1292000000,1969200000,1836300000,1680500000,1520100000,2907900000,3146100000,3232100000,3117600000,4079600000,4177700000,4203400000,4565000000,4622000000,4962700000,5167700000,5354100000,5257500000,7593000000,12520000000,13411000000,12614000000,12476000000,13577000000,14491000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,641700000,732700000,794900000,876500000,938000000,1307600000,1558600000,1563900000,1795600000,1759800000,1612500000,1700800000,2090100000,2854800000,2732100000,2649800000,2313600000,4132400000,4069600000,4477700000,4343400000,5840900000,6020600000,6368700000,6488300000,6927700000,7284600000,7507100000,7819800000,7571000000,9777000000,16173000000,17169000000,16554000000,17360000000,18252000000,19714000000
48,Accounts Payable,- -,- -,- -,- -,105700000,141500000,153600000,140400000,157300000,209200000,195300000,214300000,258600000,350300000,345500000,332100000,258500000,439600000,349700000,453000000,552400000,732400000,763600000,763700000,623100000,700300000,847300000,946900000,998800000,1340000000,1500800000,2033000000,2762000000,3095000000,3136000000,3430000000,4759000000
49,Short-Term Debt,8000000,22400000,46900000,37100000,55200000,83300000,158900000,89800000,123900000,116700000,155000000,175200000,407000000,126800000,104000000,125700000,115000000,127000000,107600000,123000000,116400000,181300000,176800000,303000000,312300000,110700000,447400000,219800000,422600000,175100000,77300000,222000000,453000000,219000000,1538000000,80000000,95000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,127500000,142900000,156500000,145900000,58400000,98200000,129200000,128900000,170000000,173800000,147200000,121500000,172200000,210500000,220600000,201300000,201200000,502300000,403800000,420300000,507200000,540600000,572700000,795700000,493200000,572300000,561400000,519100000,506000000,491700000,563500000,714000000,892000000,781000000,903000000,934000000,1099000000
53,Total Current Liabilities,135500000,165300000,203400000,183000000,219300000,323000000,441700000,359100000,451200000,499700000,497500000,511000000,837800000,687600000,670100000,659100000,574700000,1068900000,861100000,996300000,1176000000,1454300000,1513100000,1862400000,1428600000,1383300000,1856100000,1685800000,1927400000,2006800000,2141600000,2969000000,4107000000,4095000000,5577000000,4444000000,5953000000
54,Long-Term Debt,89900000,101600000,100700000,196300000,262800000,404800000,333900000,451700000,513300000,377000000,320400000,407700000,366100000,1229800000,1092700000,1011600000,949100000,1854000000,1579300000,1537700000,1473300000,2270400000,2181800000,2107100000,2283900000,2701600000,2696700000,3085300000,3182500000,2993800000,5054200000,7310000000,6518000000,6510000000,6337000000,7783000000,8062000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,71900000,85200000,76400000,56100000,51200000,68400000,103500000,86500000,65100000,56600000,28000000,34700000,60500000,- -,- -,- -,- -,64500000,113500000,116400000,69500000,102100000,183100000,330500000,131600000,218800000,210100000,207900000,285600000,152500000,172700000,856000000,695000000,645000000,561000000,634000000,665000000
57,Other Non-Current Liabilities,13600000,15300000,17000000,19700000,20400000,40700000,43200000,45600000,191400000,193700000,177900000,136000000,139800000,290700000,258700000,281800000,276000000,646500000,701700000,734300000,784200000,847700000,799000000,981400000,1061200000,965900000,1143700000,1238100000,1033000000,1178300000,1147200000,1497000000,1803000000,1742000000,1866000000,2054000000,1349000000
58,Total Non-Current Liabilities,175400000,202100000,194100000,272100000,334400000,513900000,480600000,583800000,769800000,627300000,526300000,578400000,566400000,1520500000,1351400000,1293400000,1225100000,2565000000,2394500000,2388400000,2327000000,3220200000,3163900000,3419000000,3476700000,3886300000,4050500000,4531300000,4501100000,4324600000,6374100000,9663000000,9016000000,8897000000,8764000000,10471000000,10076000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000,63000000,420000000
61,Total Liabilities,310900000,367400000,397500000,455100000,553700000,836900000,922300000,942900000,1221000000,1127000000,1023800000,1089400000,1404200000,2208100000,2021500000,1952500000,1799800000,3633900000,3255600000,3384700000,3503000000,4674500000,4677000000,5281400000,4905300000,5269600000,5906600000,6217100000,6428500000,6331400000,8515700000,12632000000,13123000000,12992000000,14341000000,14915000000,16029000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413000000,443900000,478900000,514500000,567300000,610800000,633600000,- -,- -,- -,830800000,893400000,941700000,1026300000,1078400000,1131300000,961700000,1038000000,1084000000,1157000000,1178000000,1167000000,1220000000
64,Retained Earnings,291500000,332300000,380900000,401600000,410000000,429700000,458900000,482400000,332200000,378600000,336400000,344500000,379500000,397900000,481200000,529300000,410000000,562000000,748800000,1007500000,1227900000,1535300000,1765000000,2047100000,2397100000,2829800000,3228300000,3580800000,3913800000,4346900000,4557500000,4739000000,4987000000,5341000000,5803000000,6192000000,6843000000
65,Other Comprehensive Income/Loss,-231700000,-261300000,-227700000,-250800000,-280700000,-441800000,-564700000,-532300000,-626600000,-706100000,-518200000,-570500000,-636600000,-708500000,-813400000,-897500000,-1000400000,-138300000,-1400000,33200000,-100700000,-29500000,106900000,-182500000,-63800000,-82100000,-335200000,-352400000,-240700000,-522100000,-639900000,-941000000,-656000000,-835000000,-910000000,-954000000,-582000000
66,Other Total Stockholders Equity,271000000,294300000,244200000,270600000,255000000,482800000,742100000,670900000,869000000,960300000,770500000,837400000,943000000,957300000,629800000,621600000,625300000,-445300000,-506900000,-564900000,-925500000,- -,- -,- -,-1582800000,-2123100000,-2615700000,-3140100000,-3551600000,-3923000000,-3628000000,-1401000000,-1474000000,-2205000000,-3122000000,-3130000000,- -
67,Total Stockholders Equity,330800000,365300000,397400000,421400000,384300000,470700000,636300000,621000000,574600000,632800000,588700000,611400000,685900000,646700000,710600000,697300000,513800000,492900000,807800000,1086600000,835300000,1165400000,1342500000,1085800000,1581300000,1518000000,1219100000,1114600000,1199900000,1033100000,1251300000,3435000000,3941000000,3458000000,2949000000,3275000000,3627000000
68,Total Liabilities And Stockholders Equity,641700000,732700000,794900000,876500000,938000000,1307600000,1558600000,1563900000,1795600000,1759800000,1612500000,1700800000,2090100000,2854800000,2732100000,2649800000,2313600000,4126800000,4063400000,4471300000,4338300000,5839900000,6019500000,6367200000,6486600000,6787600000,7125700000,7331700000,7628400000,7364500000,9767000000,16067000000,17064000000,16450000000,17290000000,18190000000,19656000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,6200000,6400000,5100000,1000000,1100000,1500000,1700000,140100000,158900000,175400000,191400000,206500000,10000000,106000000,105000000,104000000,70000000,62000000,58000000
70,Total Liabilities & Equity,641700000,732700000,794900000,876500000,938000000,1307600000,1558600000,1563900000,1795600000,1759800000,1612500000,1700800000,2090100000,2854800000,2732100000,2649800000,2313600000,4132400000,4069600000,4477700000,4343400000,5840900000,6020600000,6368700000,6488300000,6927700000,7284600000,7507100000,7819800000,7571000000,9777000000,16173000000,17169000000,16554000000,17360000000,18252000000,19714000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/0000009389-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/9389/0000009389-97-000006-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/000000938904000059/0000009389-04-000059-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938905000060/0000009389-05-000060-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/000000938908000054/0000009389-08-000054-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938909000006/0000009389-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938910000007/0000009389-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938911000014/0000009389-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465912011588/0001104659-12-011588-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465913013165/0001104659-13-013165-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465914012614/0001104659-14-012614-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465915012578/0001104659-15-012578-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465916097390/0001104659-16-097390-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837017001300/0001558370-17-001300-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837018001345/0001558370-18-001345-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837019000909/0001558370-19-000909-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837020001005/0001558370-20-001005-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837021001121/0001558370-21-001121-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837022001251/0001558370-22-001251-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,35800000,50200000,66200000,69100000,-65100000,73000000,-18600000,24200000,58300000,16600000,104200000,68200000,-99200000,156100000,229900000,295600000,261500000,329600000,281300000,319500000,387900000,468000000,444000000,403500000,406800000,470000000,280900000,263000000,374000000,454000000,566000000,585000000,878000000
74,Depreciation and Amortization,- -,- -,- -,- -,50100000,53500000,108000000,105500000,116300000,127000000,113600000,93500000,117500000,154600000,162900000,159100000,152500000,149200000,205500000,215100000,213500000,252600000,281000000,297400000,285200000,265500000,301100000,282900000,299900000,280900000,285500000,453000000,729000000,702000000,678000000,668000000,700000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1800000,-8700000,-1600000,-41800000,7700000,-14300000,12400000,17100000,- -,34300000,9800000,2500000,30700000,17800000,42800000,-58500000,38200000,-21000000,19600000,-24300000,-28700000,28400000,14000000,-1600000,11900000,-61800000,-293000000,82000000,35000000,-45000000,17000000,35000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-32700000,64500000,-26900000,67800000,-19200000,-42500000,-103200000,160400000,-295300000,237700000,27700000,84500000,-91400000,-63200000,-93200000,186900000,-199500000,257200000,22800000,-26900000,191800000,427700000,-456600000,187800000,-115300000,-231600000,-264300000,641600000,-1033000000,194000000,-538000000,924000000,120000000
