,https://roic.ai/company/BXMT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1853000,- -,-3704000,-2972000,-3413000,17394000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15800000,- -,-60300000,-185900000,-36606000,-257877000,-39999000,-6157000,-68010000,-249835000,-1822494000,-134672000,-660000,- -,- -,- -,- -,- -,- -,- -,-14730000,-41031000,-153402000,-66244000,-480070000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,57900000,3300000,1446000,103038000,199227000,43409000,30043000,23151000,69375000,88399000,30552000,25198000,55864000,94407000,56544000,416000,- -,- -,41573000,22573000,90637000,78593000,416817000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-600000,100000,4900000,200000,500000,13600000,-243100000,-445500000,106000000,190712000,114805000,142108000,-31536000,-378740000,-436290000,589501000,-310471000,124698000,100755000,276035000,2003224000,115663000,-1782907000,-2412896000,-4820985000,416800000,-762294000,-4188894000,-1883497000,-24998000,-5627461000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-600000,- -,4900000,- -,500000,-500000,-243100000,-447900000,-76600000,155552000,-40034000,301336000,5716000,-416707000,-662974000,-1163618000,-358597000,154590000,122249000,328927000,2094218000,189601000,-1782491000,-2412896000,-4820985000,443643000,-780752000,-4251659000,-1871148000,-88251000,-5627461000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-400000,-100000,-100000,-100000,-400000,-100000,-6200000,-382100000,-298100000,-238583000,-365383000,-602259000,-206415000,-343880000,-169880000,-40643000,-94892000,-35945000,-198096000,-368809000,-2183690000,-300409000,-688508000,-1771576000,-3268255000,-3670803000,-5159504000,-5718177000,-5645985000,-5083353000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,633807000,766138000,1029540000,27000,391558000,476420000,372337000,278322000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85000,-356000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-1800000,-2000000,-900000,- -,- -,-1300000,-3100000,-2400000,-1615000,-737000,- -,-8297000,-15474000,-32493000,-43686000,-66362000,-95786000,- -,- -,- -,-48960000,-7776000,-84238000,-166978000,-232775000,-234989000,-277260000,-320961000,-348907000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,292300000,815700000,345000000,45374000,393648000,323446000,194016000,772326000,814976000,1184291000,432484000,-57376000,18666000,- -,71855000,123961000,1853195000,3423612000,7099811000,3203954000,5577677000,9476725000,7207161000,5043169000,5508224000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-600000,-1900000,-2100000,-1000000,-400000,-100000,284800000,430500000,44500000,-194824000,27528000,-278813000,-20696000,412972000,612603000,1099962000,271230000,-189107000,-179430000,-368809000,-2111920000,-215764000,1790718000,2333936000,4694118000,-699597000,574742000,3957708000,1612552000,-110769000,5508224000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2209000,113000,-1581000,5500000,7093000,-1013000,2293000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,100000,- -,- -,-7800000,-27394000,263000,-1465000,-1448000,15845000,391000,1168000,-313000,19553000,-17428000,-3505000,10369000,-19395000,36919000,-532000,44640000,-20883000,26951000,3144000,44428000,139880000,263246000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,11388000,11651000,10186000,8738000,24583000,24974000,26142000,25829000,45382000,27954000,24449000,34818000,15423000,52342000,51810000,96450000,75567000,102518000,105662000,150090000,289970000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,400000,700000,400000,3500000,3400000,4800000,4700000,49300000,46600000,38782000,11388000,11651000,10186000,8738000,24583000,24974000,26142000,25829000,45382000,27954000,24449000,34818000,15423000,52342000,51810000,96450000,75567000,102518000,105662000,150090000,- -
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,500000,1600000,-1300000,700000,1000000,300000,2400000,14300000,24100000,11383000,12586000,-23993000,13506000,19461000,50739000,64824000,86266000,54035000,39753000,36377000,28071000,6768000,28692000,80637000,171394000,236652000,227461000,290002000,304037000,336607000,382483000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061630/000090311200000612/0000903112-00-000612-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667901000733/0001116679-01-000733-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667902000931/0001116679-02-000931-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667903001050/0001116679-03-001050-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667904000403/0001116679-04-000403-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000111667905000714/0001116679-05-000714-index.html,- -,https://www.sec.gov/Archives/edgar/data/1061630/000110465907014972/a07-4641_110k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380508000742/e603095_10k-capitaltrust.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380509000597/0001193805-09-000597-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380510000613/0001193805-10-000613-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380511000609/e608154_10k-ct.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119380512000210/0001193805-12-000210-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119380513000696/0001193805-13-000696-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312514057078/d649651d10k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000095012315002980/d843917d10k.htm,https://www.sec.gov/Archives/edgar/data/1061630/000119312516465332/0001193125-16-465332-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312517043457/0001193125-17-043457-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312518042819/0001193125-18-042819-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312519035956/0001193125-19-035956-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312520031332/0001193125-20-031332-index.html,https://www.sec.gov/Archives/edgar/data/1061630/000119312521035299/0001193125-21-035299-index.htm,https://www.sec.gov/Archives/edgar/data/1061630/000106163022000016/0001061630-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
