,https://roic.ai/company/UHS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,72300000,68400000,50100000,54300000,53800000,66900000,65300000,90000000,74700000,89300000,104400000,151900000,186600000,228500000,231100000,288858000,284412000,401865000,500398000,437306000,499793000,610366000,458218000,572592000,681361000,684473000,1142286000,1158020000,1274317000,1345350000,1570782000,1636711000,1697798000,1623493000,1705524000,1857890000,1911442000
16,EBITDA ratio,0.1429,0.1026,0.0646,0.0980,0.0916,0.1067,0.0945,0.1231,0.0981,0.1142,0.1121,0.1276,0.1293,0.1219,0.1132,0.1288,0.1001,0.1233,0.1373,0.1110,0.1270,0.1456,0.0964,0.1140,0.1310,0.1229,0.1523,0.1663,0.1750,0.1668,0.1737,0.1676,0.1631,0.1507,0.1499,0.1607,0.1512
17,Operating Income,67900000,66800000,57100000,43000000,39000000,40600000,38000000,52300000,43700000,53200000,75800000,105300000,125300000,159300000,161300000,197477000,260453000,329513000,369464000,334764000,314041000,323269000,370270000,410219000,520532000,505697000,897128000,942581000,1015463000,1063305000,1259395000,1281411000,1280178000,1175262000,1215908000,1358354000,1363094000
18,Operating Income ratio,0.1342,0.1002,0.0737,0.0776,0.0664,0.0647,0.0550,0.0715,0.0574,0.0680,0.0814,0.0885,0.0869,0.0850,0.0790,0.0881,0.0917,0.1011,0.1014,0.0850,0.0798,0.0771,0.0779,0.0817,0.1001,0.0908,0.1196,0.1354,0.1394,0.1318,0.1393,0.1312,0.1230,0.1091,0.1069,0.1175,0.1078
19,Total Other Income Expenses (Gains),-24400000,-38500000,-43400000,-28100000,-24900000,-22200000,-7700000,-11400000,-8600000,-6300000,-22800000,-25300000,-19400000,-36200000,-38500000,-51369000,-102556000,-52442000,-51765000,-63621000,-141897000,89203000,-95201000,-93900000,-45810000,-77600000,-200792000,-178918000,-146131000,-133638000,-113494000,-125053000,-145169000,-140737000,-149571000,-106271000,-69781000
20,Income Before Tax,43500000,28300000,13700000,14900000,14100000,18400000,30300000,40900000,35100000,46900000,53000000,80000000,105900000,123100000,122800000,146108000,157897000,277071000,317699000,271143000,172144000,412472000,275069000,316319000,474722000,428097000,696336000,763663000,869332000,929667000,1145901000,1156358000,1135009000,1034525000,1066337000,1252083000,1293313000
21,Income Before Tax Ratio,0.0860,0.0424,0.0177,0.0269,0.0240,0.0293,0.0439,0.0559,0.0461,0.0600,0.0569,0.0672,0.0734,0.0657,0.0601,0.0652,0.0556,0.0850,0.0872,0.0688,0.0437,0.0984,0.0579,0.0630,0.0913,0.0769,0.0928,0.1097,0.1194,0.1153,0.1267,0.1184,0.1090,0.0960,0.0937,0.1083,0.1023
22,Income Tax expense (Gain),21800000,17100000,11300000,8500000,5100000,6800000,10000000,20900000,11100000,18200000,17500000,29300000,38600000,43500000,45000000,52746000,57147000,101710000,118430000,101137000,62301000,152878000,104550000,123378000,170475000,152302000,247466000,274616000,315309000,324671000,395203000,409187000,363697000,236642000,238794000,299293000,305681000
23,Net Income,21700000,11200000,300000,6400000,9000000,11600000,20300000,20000000,24000000,28700000,35500000,50700000,67300000,79600000,77800000,93362000,99742000,175361000,199269000,169492000,240845000,259458000,170387000,199377000,260373000,230183000,398167000,443446000,510733000,545343000,680528000,702409000,752303000,779705000,814854000,943953000,991590000
24,Net Income ratio,0.0429,0.0168,0.0004,0.0116,0.0153,0.0185,0.0294,0.0274,0.0315,0.0367,0.0381,0.0426,0.0466,0.0425,0.0381,0.0416,0.0351,0.0538,0.0547,0.0430,0.0612,0.0619,0.0359,0.0397,0.0500,0.0413,0.0531,0.0637,0.0701,0.0676,0.0753,0.0719,0.0723,0.0724,0.0716,0.0817,0.0784
25,EPS,0.15,0.08,0.00,0.06,0.08,0.10,0.18,0.18,0.22,0.26,0.32,0.41,0.52,0.61,0.62,0.78,0.83,1.47,1.73,1.47,2.17,2.38,1.59,1.97,2.65,2.37,4.09,4.57,5.21,5.52,6.89,7.22,7.86,8.35,9.16,11.06,11.66
26,EPS Diluted,0.15,0.08,0.00,0.06,0.08,0.10,0.18,0.18,0.21,0.25,0.32,0.41,0.51,0.60,0.61,0.75,0.80,1.37,1.60,1.38,2.00,2.28,1.59,1.97,2.64,2.34,4.04,4.53,5.14,5.42,6.76,7.14,7.81,8.31,9.13,10.99,11.59
27,Weighted Average Shares Outstanding,140000000,140000000,120000000,116363636,116129032,110476190,111232877,111111111,107865169,114352941,112632000,123392000,129284000,130044000,125668000,120440000,119748000,119460000,115376000,115306000,111316000,109114000,106762000,101222000,97794000,96786000,97199000,96821000,98033000,98826000,98797000,97208000,95652000,93276000,88762000,85061000,85061000
28,Weighted Average Shares Outstanding Diluted,140000000,140000000,120000000,116363636,116129032,110476190,111232877,111111111,111627907,115112000,112632000,123392000,132392000,133172000,127960000,129640000,134440000,134150000,130178000,129730000,125294000,115816000,107138000,101464122,98275000,97973000,98537000,97711000,99361000,100544000,100694000,98380000,96325000,93750000,89040000,85587000,85587000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352915/000095011695000067/0000950116-95-000067-index.html,- -,https://www.sec.gov/Archives/edgar/data/352915/000095010997002516/0000950109-97-002516-index.html,https://www.sec.gov/Archives/edgar/data/352915/000103605098000452/0001036050-98-000452-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352915/000103605001000510/0001036050-01-000510-index.html,https://www.sec.gov/Archives/edgar/data/352915/000092838502001053/0000928385-02-001053-index.html,https://www.sec.gov/Archives/edgar/data/352915/000093176303000570/0000931763-03-000570-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312504040653/0001193125-04-040653-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312505052511/0001193125-05-052511-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312506054843/0001193125-06-054843-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312507042808/0001193125-07-042808-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312508041955/0001193125-08-041955-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312509039205/0001193125-09-039205-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312510040694/0001193125-10-040694-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312511050142/0001193125-11-050142-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312512081900/0001193125-12-081900-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312513084679/0001193125-13-084679-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312514073337/0001193125-14-073337-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312515065954/0001193125-15-065954-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459016013375/0001564590-16-013375-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459017002860/0001564590-17-002860-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459018003808/0001564590-18-003808-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459019004919/0001564590-19-004919-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459020006793/0001564590-20-006793-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459021008851/0001564590-21-008851-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459022006717/0001564590-22-006717-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,300000,300000,1300000,6200000,10545000,22848000,17750000,34863000,33125000,7963000,14939000,16354000,5460000,9180000,29474000,41229000,23471000,17238000,32069000,61228000,33747000,74423000,105220000,61268000,1224490000,115301000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,300000,300000,1300000,6200000,10545000,22848000,17750000,34863000,33125000,7963000,14939000,16354000,5460000,9180000,29474000,41229000,23471000,17238000,32069000,61228000,33747000,74423000,105220000,61268000,1224490000,115301000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,84800000,114200000,145400000,180300000,256400000,307300000,376601000,418083000,474763000,503929000,552538000,499726000,595009000,627186000,625437000,602559000,837820000,969802000,1067197000,1116961000,1282735000,1302429000,1439553000,1500898000,1509909000,1560847000,1728928000,1746635000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,18200000,22000000,28200000,38800000,41200000,45518000,- -,58217000,61736000,60729000,52835000,64532000,72399000,76043000,84272000,94330000,96775000,99000000,101781000,108115000,116037000,125365000,136177000,148206000,159889000,190417000,206839000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,24500000,26300000,21200000,23100000,48500000,43791000,107331000,55846000,45263000,162533000,47774000,54026000,58908000,82477000,100186000,369492000,257099000,217828000,196349000,192219000,238610000,82706000,86504000,174467000,133930000,138034000,194781000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,118400000,156900000,194000000,230000000,319600000,403200000,476455000,548262000,606576000,645791000,808925000,608298000,728506000,774847000,789417000,796197000,1331116000,1364905000,1407496000,1432329000,1615138000,1718304000,1681371000,1798002000,1937802000,1915934000,3281869000,2263556000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,331600000,393000000,567600000,663100000,808800000,777100000,875627000,1031205000,1167287000,1304341000,1448066000,1429653000,1685085000,1933916000,2100292000,2315238000,3252967000,3287980000,3382235000,3442169000,3679689000,3835978000,4330956000,4571837000,4847940000,5343216000,5709637000,6241752000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,719991000,750395000,732937000,732685000,2589914000,2627602000,3036765000,3049016000,3291213000,3596114000,3784106000,3825157000,3844628000,3869760000,3882715000,3962624000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,136200000,150300000,149800000,279100000,276000000,316777000,372627000,410320000,442504000,619064000,686211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,136200000,150300000,149800000,279100000,276000000,316777000,372627000,410320000,442504000,619064000,686211000,719991000,750395000,732937000,732685000,2589914000,2627602000,3036765000,3049016000,3291213000,3596114000,3784106000,3825157000,3844628000,3869760000,3882715000,3962624000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000,3007000,5280000,16189000,22689000,45707000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,62000000,53900000,42400000,40600000,41700000,73518000,162490000,139046000,380094000,146788000,134547000,143460000,149499000,119816000,120343000,353939000,384758000,374347000,388209000,388403000,483717000,520135000,563825000,629830000,523151000,579969000,579904000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,403100000,591200000,771800000,855300000,1128500000,1094800000,1265922000,1566322000,1716653000,2126939000,2213918000,2250411000,2548536000,2833810000,2953045000,3168266000,6196820000,6300340000,6793347000,6879394000,7359305000,7915809000,8636431000,8963826000,9327678000,9752316000,10195010000,10829987000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,521500000,748100000,965800000,1085300000,1448100000,1498000000,1742377000,2114584000,2323229000,2772730000,3022843000,2858709000,3277042000,3608657000,3742462000,3964463000,7527936000,7665245000,8200843000,8311723000,8974443000,9634113000,10317802000,10761828000,11265480000,11668250000,13476879000,13093543000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,37200000,52900000,57100000,5700000,83100000,105300000,113294000,144163000,170471000,178824000,190181000,177600000,190159000,175222000,192078000,194969000,252487000,228043000,247033000,276911000,336447000,366238000,439672000,441984000,445652000,446957000,570523000,658900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,7100000,6900000,- -,4100000,3500000,689000,2436000,8253000,10871000,16968000,5191000,1938000,3116000,8708000,2573000,3449000,2479000,2589000,99312000,68319000,62722000,105895000,545619000,63446000,143992000,391794000,112893000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30736000,- -,35175000,45359000,50891000,66600000,113565000,64242000,70348000,104134000,58646000,74120000,196650000,171513000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376151000,6000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,59400000,75000000,76100000,154800000,82900000,108400000,134857000,176117000,191689000,206058000,262507000,341379000,310354000,309373000,360339000,385275000,570363000,606411000,644436000,683665000,778061000,671446000,771806000,860431000,939640000,972441000,1142571000,1212310000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,103800000,135000000,140100000,160500000,170100000,217200000,248840000,322716000,370413000,395753000,469656000,524170000,502451000,487711000,561125000,582817000,826299000,836933000,894058000,1059888000,1182827000,1100406000,1317373000,1848034000,1448738000,1563390000,2481039000,1984109000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,85100000,237100000,275600000,272500000,418200000,419200000,548064000,718830000,680514000,868566000,852229000,637654000,821363000,1008786000,990661000,956429000,3912102000,3651428000,3727431000,3209762000,3210215000,3387303000,4030230000,3494390000,3935187000,3896577000,3524253000,4446503000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322617000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,23300000,30600000,36381000,28839000,14266000,41841000,50212000,42713000,35888000,40022000,12439000,60091000,173354000,209592000,183747000,239148000,282214000,315900000,88119000,54962000,49661000,25071000,5582000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,78300000,97100000,125200000,80100000,73800000,71730000,110385000,206238000,216094000,243617000,289195000,340815000,344755000,634387000,375580000,380649000,401908000,629658000,502696000,508107000,521343000,284486000,313006000,366101000,604341000,741421000,469878000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,157100000,315400000,372700000,398200000,521600000,523600000,656175000,858054000,901018000,1126501000,1146058000,969562000,1198066000,1393563000,1637487000,1392100000,4466105000,4262928000,4540836000,3951606000,4000536000,4224546000,4402835000,3862358000,4350949000,4525989000,4593873000,4916381000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326518000,338099000,369108000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,260900000,450400000,512800000,558700000,691700000,740800000,905015000,1180770000,1271431000,1522254000,1615714000,1493732000,1700517000,1881274000,2198612000,1974917000,5292404000,5099861000,5434894000,5011494000,5183363000,5324952000,5720208000,5710392000,5799687000,6089379000,7074912000,6900490000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,299000,598000,589000,580000,577000,539000,538000,525000,494000,970000,971000,966000,976000,983000,987000,983000,966000,942000,914000,867000,851000,771000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,172200000,207700000,258400000,325600000,405200000,483000000,576322000,676064000,851425000,1050694000,1220186000,1256437000,1425379000,1599326000,1575052000,1879981000,1997940000,2346561000,2962433000,3499337000,4015387000,4566521000,4891274000,5353209000,5793262000,5933504000,6747678000,6604089000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-265100000,-248500000,-271900000,-328900000,-396500000,-437800000,-512704000,-594602000,-18690000,-2832000,-21408000,-51878000,-23453000,-82652000,-31696000,-21253000,-20139000,-51175000,-44154000,-24810000,-25232000,-23129000,-25417000,7177000,4242000,31893000,48120000,30291000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,353500000,338500000,466500000,529900000,618300000,596100000,652657000,725840000,84135000,42480000,21231000,- -,- -,- -,- -,-108627000,- -,- -,-205910000,-225531000,-255196000,-294728000,-333603000,-371814000,-409156000,-462159000,-479503000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,260600000,297700000,453000000,526600000,627000000,641600000,716574000,807900000,917459000,1090922000,1220586000,1205098000,1402464000,1517199000,1543850000,1751071000,1978772000,2296352000,2713345000,3249979000,3735946000,4249647000,4533220000,4989514000,5389262000,5504105000,6317146000,6089664000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,521500000,748100000,965800000,1085300000,1318700000,1382400000,1621589000,1988670000,2188890000,2613176000,2836300000,2698830000,3102981000,3398473000,3742462000,3725988000,7271176000,7396213000,8148239000,8261473000,8919309000,9574599000,10253428000,10699906000,11188949000,11593484000,13392058000,12990154000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129400000,115600000,120788000,125914000,134339000,159554000,186543000,159879000,174061000,210184000,- -,238475000,256760000,269032000,52604000,50250000,55134000,59514000,64374000,61922000,76531000,74766000,84821000,103389000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,521500000,748100000,965800000,1085300000,1448100000,1498000000,1742377000,2114584000,2323229000,2772730000,3022843000,2858709000,3277042000,3608657000,3742462000,3964463000,7527936000,7665245000,8200843000,8311723000,8974443000,9634113000,10317802000,10761828000,11265480000,11668250000,13476879000,13093543000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/352915/000095011695000067/0000950116-95-000067-index.html,- -,https://www.sec.gov/Archives/edgar/data/352915/000095010997002516/0000950109-97-002516-index.html,https://www.sec.gov/Archives/edgar/data/352915/000103605098000452/0001036050-98-000452-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352915/000103605001000510/0001036050-01-000510-index.html,https://www.sec.gov/Archives/edgar/data/352915/000092838502001053/0000928385-02-001053-index.html,https://www.sec.gov/Archives/edgar/data/352915/000093176303000570/0000931763-03-000570-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312504040653/0001193125-04-040653-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312505052511/0001193125-05-052511-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312506054843/0001193125-06-054843-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312507042808/0001193125-07-042808-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312508041955/0001193125-08-041955-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312509039205/0001193125-09-039205-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312510040694/0001193125-10-040694-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312511050142/0001193125-11-050142-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312512081900/0001193125-12-081900-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312513084679/0001193125-13-084679-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312514073337/0001193125-14-073337-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312515065954/0001193125-15-065954-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459016013375/0001564590-16-013375-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459017002860/0001564590-17-002860-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459018003808/0001564590-18-003808-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459019004919/0001564590-19-004919-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459020006793/0001564590-20-006793-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459021008851/0001564590-21-008851-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459022006717/0001564590-22-006717-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,9000000,11600000,20300000,20000000,24000000,28700000,35500000,50700000,67300000,79600000,77800000,93362000,99742000,175361000,199269000,169492000,240845000,259458000,170387000,199377000,260373000,230183000,398167000,443446000,510733000,545343000,680528000,702409000,752303000,779705000,814854000,943953000,991590000
74,Depreciation and Amortization,- -,- -,- -,- -,39700000,48500000,35000000,49100000,39600000,42400000,51400000,71900000,80700000,105400000,108300000,112809000,127523000,124794000,144466000,166677000,163714000,163694000,183281000,195766000,204703000,223997000,295861000,308690000,337356000,375624000,398618000,416608000,447883000,453076000,490392000,510493000,533213000
75,Deferred Income Tax,- -,- -,- -,- -,-3700000,1700000,-10600000,-10000000,-9000000,-9900000,-20800000,15700000,16200000,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
