,https://roic.ai/company/FLT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,34025000,34025000,35434000,80610000,83328000,81793000,84317000,92023000,92597000,91129000,88750000,86401000,84005000,81836000
28,Weighted Average Shares Outstanding Diluted,80691000,80691000,80751000,83654000,85736000,84655000,86982000,94139000,95213000,93594000,92151000,90070000,86719000,83716000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175454/000119312512089630/0001193125-12-089630-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312513087935/0001193125-13-087935-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/0001193125-14-080429-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/0001193125-15-073581-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312516485752/0001193125-16-485752-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545417000005/0001175454-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545418000007/0001175454-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545419000004/0001175454-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545420000008/0001175454-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545421000022/0001175454-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000162828022004531/0001628280-22-004531-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,70355000,84701000,114804000,285159000,283649000,338105000,477069000,447152000,475018000,913595000,1031145000,1271494000,934900000,1520027000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7480000,- -
33,Cash and Short-Term Investments,70355000,84701000,114804000,285159000,283649000,338105000,477069000,447152000,475018000,913595000,1031145000,1271494000,942380000,1520027000
34,Net Receivables,158007000,163461000,404163000,761791000,525441000,573351000,673797000,638954000,1202009000,1420011000,1425815000,1568961000,1366775000,1731574000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,109728000,99080000,100016000,75975000,386264000,442056000,986484000,859066000,850666000,1216095000,1419026000,1778116000,1647163000,2198243000
37,Total Current Assets,338090000,347242000,618983000,1122925000,1195354000,1353512000,2137350000,1945172000,2527693000,3549701000,3875986000,4618571000,3956318000,5449844000
38,PP&E,20041000,27223000,26818000,32724000,45196000,53956000,73563000,80760000,142504000,180057000,186201000,199825000,202509000,236294000
39,Goodwill,407437000,590336000,601666000,823549000,926609000,1552725000,3811862000,3546034000,4195150000,4715823000,4542074000,4833047000,4719181000,5107878000
40,Intangible Assets,111522000,197430000,193861000,299460000,463864000,871263000,2437367000,2183595000,2653233000,2724957000,2407910000,2341882000,2115882000,2306485000
41,Intangible Assets,518959000,787766000,795527000,1123009000,1390473000,2423988000,6249229000,5729629000,6848383000,7440780000,6949984000,7174929000,6835063000,7414363000
42,Investments,- -,- -,- -,- -,- -,- -,141933000,76568000,36200000,32859000,42674000,30440000,7480000,52016000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,51972000,47314000,42790000,45834000,90847000,100779000,72431000,59739000,71952000,114962000,147632000,224776000,193209000,213932000
45,Total Non-Current Assets,590972000,862303000,865135000,1201567000,1526516000,2578723000,6537156000,5946696000,7099039000,7768658000,7326491000,7629970000,7238261000,7916605000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,929062000,1209545000,1484118000,2324492000,2721870000,3932235000,8674506000,7891868000,9626732000,11318359000,11202477000,12248541000,11194579000,13366449000
48,Accounts Payable,131092000,175578000,177644000,478882000,418609000,467202000,716676000,669528000,1151432000,1437314000,1117649000,1249586000,1054478000,1406350000
49,Short-Term Debt,10563000,22621000,11617000,140354000,460174000,1011439000,1424764000,875647000,1336506000,1616512000,2070616000,1746838000,1205697000,1517628000
50,Tax Payable,- -,- -,- -,10256000,48792000,63202000,28974000,5977000,104623000,63698000,85346000,70350000,78771000,- -
51,Deferred Revenue,- -,- -,78685000,180269000,187627000,182541000,492257000,507233000,530787000,732171000,926685000,1007631000,1175322000,1788705000
52,Other Current Liabilities,113402000,122542000,193176000,322242000,75812000,247716000,262921000,195613000,277593000,309505000,380263000,459013000,532814000,539464000
53,Total Current Liabilities,255057000,320741000,461122000,1121747000,1142222000,1908898000,2896618000,2248021000,3296318000,4095502000,4495213000,4463068000,3968311000,5252147000
54,Long-Term Debt,360184000,328930000,313796000,278429000,485217000,474939000,2168953000,2061415000,2521727000,2902104000,2748431000,3289947000,3126926000,4460039000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,40557000,85825000,83255000,112880000,180609000,249504000,815169000,713428000,668580000,518912000,491946000,519980000,498154000,566291000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,55001000,40629000,38957000,56069000,125319000,126707000,263930000,245777000,221392000
58,Total Non-Current Liabilities,400741000,414755000,397051000,391309000,665826000,779444000,3024751000,2813800000,3246376000,3546335000,3367084000,4073857000,3870857000,5247722000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,655798000,735496000,858173000,1513056000,1808048000,2688342000,5921369000,5061821000,6542694000,7641837000,7862297000,8536925000,7839168000,10499869000
62,Preferred Stock,212864000,330654000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,65000,66000,112000,114000,116000,117000,120000,121000,121000,122000,123000,124000,126000,127000
64,Retained Earnings,162464000,235726000,387163000,534498000,750697000,1035198000,1403905000,1766336000,2218721000,2958921000,3817656000,4712729000,5416945000,6256442000
65,Other Comprehensive Income/Loss,-19278000,-12173000,-8101000,-13716000,-3346000,-47426000,-156933000,-570811000,-666403000,-551857000,-913858000,-972465000,-1363158000,-1464616000
66,Other Total Stockholders Equity,-82851000,-80224000,246771000,290540000,166355000,256004000,1506045000,1634401000,1531599000,1269336000,436259000,-28772000,-698502000,- -
67,Total Stockholders Equity,273264000,474049000,625945000,811436000,913822000,1243893000,2753137000,2830047000,3084038000,3676522000,3340180000,3711616000,3355411000,2866580000
68,Total Liabilities And Stockholders Equity,929062000,1209545000,1484118000,2324492000,2721870000,3932235000,8674506000,7891868000,9626732000,11318359000,11202477000,12248541000,11194579000,13366449000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,929062000,1209545000,1484118000,2324492000,2721870000,3932235000,8674506000,7891868000,9626732000,11318359000,11202477000,12248541000,11194579000,13366449000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175454/000119312512089630/0001193125-12-089630-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312513087935/0001193125-13-087935-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/0001193125-14-080429-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/0001193125-15-073581-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312516485752/0001193125-16-485752-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545417000005/0001175454-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545418000007/0001175454-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545419000004/0001175454-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545420000008/0001175454-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545421000022/0001175454-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000162828022004531/0001628280-22-004531-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,97282000,89052000,107896000,147335000,216199000,284501000,368707000,362431000,452385000,740200000,811483000,895073000,704216000,839497000
74,Depreciation and Amortization,20646000,23548000,28466000,31041000,46492000,66198000,107246000,190202000,198091000,258448000,269266000,274210000,254801000,284196000
75,Deferred Income Tax,8728000,4395000,-3952000,-2920000,-3337000,-5453000,-41716000,30626000,-28681000,-247712000,-2750000,37883000,147058000,24970000
76,Stock Based Compensation,2758000,2666000,26755000,21743000,19275000,26676000,37649000,90122000,63946000,93297000,69939000,60953000,43384000,80071000
77,Change in Working Capital,-111947000,-56532000,131360000,-156683000,51954000,-608518000,-203882000,456419000,-465776000,222824000,-73426000,774730000,-167496000,-93622000
78,Accounts Receivable,-9372000,1945000,-38960000,-80024000,-71102000,-45005000,246465000,40017000,-338796000,-438290000,-155648000,- -,158549000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416028000
81,Other Working Capital,83033000,26501000,157861000,1178000,53132000,-555386000,-759268000,-302849000,-768625000,-545801000,-619227000,155503000,-11993000,- -
82,Other Non-Cash Items,41518000,115661000,-150770000,239109000,-195123000,612281000,340330000,-375216000,485947000,-391334000,-171130000,-880778000,485734000,60151000
83,Cash Provided by Operating Activities,58985000,178790000,139755000,279625000,135460000,375685000,608334000,754584000,705912000,675723000,903382000,1162071000,1467697000,1195263000
84,CAPEX,-7088000,-9677000,-11194000,-13454000,-19111000,-20785000,-27070000,-41875000,-59011000,-70093000,-81387000,-75170000,-78425000,-111530000
85,Acquisitions Net,-55924000,-231097000,-10022000,-333763000,-190447000,-728343000,-2567017000,-57539000,-1331985000,-388756000,77892000,-448277000,-80787000,-602120000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52963000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,1411000,-38953000,-22775000,-255000,- -,-2281000
89,Cash Used for Investing Activites,-63012000,-240774000,-21216000,-347217000,-209558000,-749128000,-2594087000,-99414000,-1389585000,-497802000,-26270000,-523702000,-106249000,-715931000
90,Debt Repayment,-35013000,-21724000,-24651000,-338965000,-512288000,-462276000,-1337812000,-651864000,-928349000,-1478564000,-1522345000,-2430849000,-1672192000,-2537400000
91,Common Stock Issued,763000,266000,10098000,8477000,27187000,30438000,29641000,19926000,21231000,44690000,55680000,168925000,136797000,48781000
92,Common Stock Repurchased,- -,- -,- -,- -,-200000000,- -,- -,- -,-187678000,-402393000,-958696000,-694909000,-849910000,-1355722000
93,Dividends Paid,- -,- -,-7634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,48285000,93696000,-64357000,566709000,747089000,867563000,3470436000,-16127000,1848765000,2088205000,1847546000,2646662000,968504000,4188269000
95,Cash Used/Provided by Financing Activities,14035000,72238000,-86544000,236221000,61988000,435725000,2162265000,-648065000,753969000,251938000,-577815000,-310171000,-1416801000,343928000
96,Effect of Forex Changes on Cash,-8517000,4092000,-1892000,1726000,10600000,-7826000,-37548000,-37022000,-42430000,8718000,-65274000,-17854000,-148157000,-49184000
97,Net Change In Cash,1491000,14346000,30103000,170355000,-1510000,54456000,138964000,-29917000,27866000,438577000,234023000,310344000,-198618000,774076000
98,Cash at the End of Period,70355000,84701000,114804000,285159000,283649000,338105000,477069000,447152000,475018000,913595000,1364893000,1675237000,1476619000,2250695000
99,Cash at the Beginning of Period,68864000,70355000,84701000,114804000,285159000,283649000,338105000,477069000,447152000,475018000,1130870000,1364893000,1675237000,1476619000
100,Free Cash Flow,51897000,169113000,128561000,266171000,116349000,354900000,581264000,712709000,646901000,605630000,821995000,1086901000,1389272000,1083733000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175454/000119312512089630/0001193125-12-089630-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312513087935/0001193125-13-087935-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/0001193125-14-080429-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/0001193125-15-073581-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000119312516485752/0001193125-16-485752-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545417000005/0001175454-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545418000007/0001175454-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545419000004/0001175454-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545420000008/0001175454-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000117545421000022/0001175454-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000162828022004531/0001628280-22-004531-index.htm
102,false,,,,,,,,,,,,,,
