,https://roic.ai/company/MTX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,96300000,101500000,112600000,120500000,130500000,138400000,150400000,153300000,160200000,164494000,97934000,103821000,117467000,123416000,129201000,136409000,225067000,124909000,111016000,110051000,111388000,109333000,106793000,206600000,213700000,203200000,206100000,201300000,207800000,196400000,205700000
11,COGS and Expenses,332400000,358400000,381900000,420000000,465800000,488500000,522100000,516700000,540100000,581211000,600459000,671806000,733216000,832448000,914008000,974424000,1070203000,1016647000,862519000,903212000,944045000,895578000,891329000,1496200000,1540300000,1380800000,1414600000,1547500000,1558200000,1385800000,1617500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4905000,2874000,2700000,3907000,3168000,3016000,- -,- -,- -,- -,2100000,2300000,- -,3400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5181000,3490000,3336000,3254000,3221000,3263000,41800000,60900000,54400000,43400000,45900000,43200000,38200000,37200000
14,Depreciation and Amortization,24700000,28500000,33500000,35800000,40300000,46200000,52900000,53100000,58700000,60795000,66518000,68960000,66340000,70467000,74960000,83204000,84565000,- -,- -,63981000,- -,51209000,47289000,84400000,98300000,91900000,91000000,94300000,- -,93000000,94600000
15,EBITDA,50400000,64000000,77000000,85300000,98700000,108800000,126300000,137700000,149700000,138738000,137459000,142932000,140542000,153329000,151513000,157743000,32317000,94547000,-25693000,163149000,98261000,159354000,165397000,249400000,289900000,315000000,322900000,343600000,198700000,268000000,332800000
16,EBITDA ratio,0.1403,0.1624,0.1798,0.1805,0.1882,0.1957,0.2097,0.2260,0.2348,0.2068,0.2008,0.1899,0.1727,0.1660,0.1521,0.1489,0.0300,0.0850,-0.0283,0.1628,0.0940,0.1585,0.1624,0.1446,0.1613,0.1923,0.1927,0.1901,0.1109,0.1680,0.1791
17,Operating Income,26900000,35600000,46400000,52600000,58700000,67500000,80200000,92500000,97400000,89706000,80557000,80874000,77204000,89077000,81830000,84883000,-8499000,81991000,-17053000,98277000,100338000,110041000,126852000,168800000,200300000,220900000,242700000,255900000,208700000,187900000,235700000
18,Operating Income ratio,0.0749,0.0904,0.1083,0.1113,0.1119,0.1214,0.1332,0.1518,0.1528,0.1337,0.1177,0.1074,0.0949,0.0964,0.0822,0.0801,-0.0079,0.0737,-0.0188,0.0980,0.0960,0.1094,0.1246,0.0979,0.1114,0.1349,0.1448,0.1416,0.1165,0.1178,0.1268
19,Total Other Income Expenses (Gains),-1200000,-1500000,-2900000,-3100000,-300000,-4900000,-6800000,-7900000,-6400000,-11763000,-9616000,-6902000,-4860000,-4505000,-3545000,-5304000,-3000000,276000,-6087000,572000,-2598000,-2995000,-3142000,-45800000,-67700000,-50600000,-51800000,-51800000,-51400000,-49900000,-33400000
20,Income Before Tax,25700000,34100000,43500000,49500000,58400000,62600000,73400000,84600000,91000000,77943000,70941000,73972000,72344000,84572000,78285000,79579000,-11499000,82267000,-23140000,98849000,97740000,107046000,123710000,123000000,132600000,170300000,190900000,204100000,157300000,138000000,202300000
21,Income Before Tax Ratio,0.0715,0.0865,0.1016,0.1047,0.1113,0.1126,0.1219,0.1389,0.1427,0.1162,0.1037,0.0983,0.0889,0.0916,0.0786,0.0751,-0.0107,0.0740,-0.0255,0.0986,0.0935,0.1064,0.1215,0.0713,0.0738,0.1040,0.1139,0.1129,0.0878,0.0865,0.1089
22,Income Tax expense (Gain),5700000,9900000,14500000,16200000,18900000,19500000,23100000,27400000,28900000,23735000,21148000,20220000,4116000,24299000,23289000,24588000,11266000,24079000,-5387000,28963000,27486000,30777000,34515000,30800000,22800000,35300000,-6600000,34400000,22800000,24400000,36600000
23,Net Income,20000000,25600000,29000000,33300000,39500000,43100000,50300000,57200000,62100000,54208000,49793000,53752000,70086000,58563000,53264000,49951000,-63514000,65287000,-23796000,66869000,67521000,74147000,80330000,92400000,107900000,133400000,195100000,169000000,132700000,112400000,164400000
24,Net Income ratio,0.0557,0.0650,0.0677,0.0705,0.0753,0.0775,0.0835,0.0939,0.0974,0.0808,0.0728,0.0714,0.0861,0.0634,0.0535,0.0472,-0.0589,0.0587,-0.0262,0.0667,0.0646,0.0737,0.0789,0.0536,0.0600,0.0814,0.1164,0.0935,0.0741,0.0705,0.0885
25,EPS,0.40,0.51,0.63,0.74,0.88,0.95,1.11,1.28,1.45,1.32,1.27,1.33,1.56,1.43,1.31,1.27,-1.66,1.73,-0.64,1.79,1.88,2.10,2.32,2.68,3.11,3.82,5.54,4.79,3.79,3.29,4.89
26,EPS Diluted,0.40,0.51,0.62,0.73,0.86,0.95,1.09,1.25,1.40,1.29,1.24,1.30,1.54,1.41,1.29,1.26,-1.66,1.72,-0.64,1.79,1.86,2.09,2.30,2.65,3.08,3.79,5.48,4.75,3.78,3.29,4.86
27,Weighted Average Shares Outstanding,50000000,50196078,46400000,45000000,45142857,45130890,45112108,44513619,42827586,40911698,39207087,40415038,44783387,41096842,40659542,39177255,38377039,37786000,37448000,37228000,36018000,35340000,34690000,34500000,34700000,34900000,35200000,35300000,35000000,34200000,33300000
28,Weighted Average Shares Outstanding Diluted,50000000,50196078,46774194,45616438,45930233,46222222,46146789,45760000,44357143,42021705,40155645,41189272,45363107,41534043,41130502,39486957,38377039,37966000,37448000,37386000,36236000,35529000,34976000,34800000,35000000,35200000,35600000,35600000,35100000,34200000,33500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101402000005/form10k01final2.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101403000013/form10-k2003.htm,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101405000081/form10k-04.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101406000048/form10k05final.htm,https://www.sec.gov/Archives/edgar/data/891014/000093041307001756/c46802_10-k.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101408000026/frm10k-07.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101409000016/0000891014-09-000016-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101410000009/0000891014-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101412000009/0000891014-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101413000010/0000891014-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101414000006/form10k2013.htm,https://www.sec.gov/Archives/edgar/data/891014/000114036115007848/0001140361-15-007848-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036116054076/0001140361-16-054076-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036117008053/0001140361-17-008053-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036118008762/0001140361-18-008762-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101419000010/0000891014-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101420000010/0000891014-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101421000011/0000891014-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101422000009/0000891014-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14300000,23200000,38100000,56200000,11300000,15400000,41500000,20700000,20400000,6692000,13046000,31762000,90515000,105767000,51100000,67929000,128985000,181876000,310946000,367827000,395152000,454092000,490267000,249600000,229400000,188500000,212200000,208800000,241600000,367700000,299500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,2350000,8380000,9697000,9258000,8940000,16707000,18494000,14178000,15769000,800000,2600000,2000000,2700000,3800000,1600000,4100000,4900000
33,Cash and Short-Term Investments,14300000,23200000,38100000,56200000,11300000,15400000,41500000,20700000,20400000,6692000,13046000,31762000,90515000,112967000,53450000,76309000,138682000,191134000,319886000,384534000,413646000,468270000,506036000,250400000,232000000,190500000,214900000,212600000,243200000,371800000,304400000
34,Net Receivables,74700000,76200000,89700000,92600000,100500000,102500000,108100000,110200000,118300000,116192000,125289000,129608000,147600000,156276000,184272000,188784000,180868000,163475000,173665000,181128000,194317000,193328000,204449000,412600000,348700000,341300000,383000000,387300000,376200000,369000000,367800000
35,Inventory,54700000,45700000,46300000,44400000,64600000,70400000,61200000,63700000,67400000,71883000,77633000,82909000,86378000,106125000,118895000,129894000,103373000,133983000,82483000,86464000,90760000,84569000,89200000,211800000,194900000,186900000,219300000,239200000,253300000,248200000,297700000
36,Other Current Assets,4800000,4000000,4000000,3400000,6000000,14000000,15800000,16200000,13800000,20590000,30822000,46686000,15632000,20303000,20583000,16775000,50387000,42955000,24679000,23446000,21566000,18318000,15432000,49800000,28000000,32400000,35000000,37200000,46500000,44600000,58600000
37,Total Current Assets,148500000,149100000,178100000,196600000,182400000,202300000,226600000,210800000,219900000,215357000,246790000,290965000,340125000,395671000,377200000,411762000,473310000,531547000,600713000,675572000,720289000,764485000,815117000,924600000,803600000,751100000,852200000,876300000,919200000,1033600000,1028500000
38,PP&E,321300000,342500000,360800000,382500000,455800000,501100000,500700000,524500000,522000000,548209000,536339000,537424000,561588000,614285000,628745000,652797000,489386000,429593000,359378000,332797000,318134000,317669000,306100000,1182100000,1104300000,1051800000,1061300000,1102800000,1052800000,1039600000,1049100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51291000,- -,- -,- -,68977000,71964000,66414000,68101000,67156000,64671000,65829000,64432000,770900000,781200000,778700000,779300000,812400000,807400000,808500000,907500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52721000,53729000,53612000,- -,- -,- -,- -,- -,- -,- -,3000000,212100000,212700000,204400000,196500000,214100000,203000000,195800000,251600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51291000,52721000,53729000,53612000,68977000,71964000,66414000,68101000,67156000,64671000,65829000,67432000,983000000,993900000,983100000,975800000,1026500000,1010400000,1004300000,1159100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55600000,30600000,27100000,25600000,26300000,23000000,25300000,23000000
44,Other Non-Current Assets,6200000,4900000,10300000,9000000,10900000,10500000,14100000,25600000,27200000,36266000,64681000,20197000,81066000,91217000,96746000,59588000,94233000,40066000,43946000,40580000,61861000,63206000,28898000,81400000,47600000,50300000,55500000,55100000,107200000,106600000,114500000
45,Total Non-Current Assets,327500000,347400000,371100000,391500000,466700000,511600000,514800000,550100000,549200000,584475000,601020000,608912000,695375000,759231000,779103000,781362000,655583000,536073000,471425000,440533000,444666000,446704000,402430000,2302100000,2176400000,2112300000,2118200000,2210700000,2193400000,2175800000,2345700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,476000000,496500000,549200000,588100000,649100000,713900000,741400000,760900000,769100000,799832000,847810000,899877000,1035500000,1154902000,1156303000,1193124000,1128893000,1067620000,1072138000,1116105000,1164955000,1211189000,1217547000,3226700000,2980000000,2863400000,2970400000,3087000000,3112600000,3209400000,3374200000
48,Accounts Payable,24600000,25700000,33300000,32200000,30400000,29200000,33200000,32100000,46700000,36153000,37705000,37435000,44217000,56381000,61323000,60963000,66084000,67393000,74513000,80728000,103354000,98371000,94855000,170400000,152400000,144900000,179000000,169100000,163400000,148300000,196100000
49,Short-Term Debt,- -,- -,- -,- -,- -,25300000,14000000,13500000,13400000,48870000,71934000,31331000,33522000,33917000,116545000,89707000,16728000,18984000,11492000,4611000,14398000,84088000,13704000,5900000,9600000,12900000,10100000,108500000,103300000,1000000,80800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6606000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -
52,Other Current Liabilities,166500000,27700000,32600000,28500000,65300000,32200000,47000000,52300000,57400000,48504000,50890000,55171000,44296000,62555000,53384000,61393000,84337000,64476000,66909000,69898000,63150000,67639000,72335000,176600000,156600000,137700000,120900000,104300000,131800000,121500000,142900000
53,Total Current Liabilities,191100000,53400000,65900000,60700000,95700000,86700000,94200000,97900000,117500000,133527000,160529000,123937000,122035000,152853000,231252000,212063000,167149000,150853000,152914000,155237000,180902000,250098000,180894000,352900000,318600000,295500000,310000000,381900000,398500000,295800000,419800000
54,Long-Term Debt,14000000,14100000,79000000,83000000,67900000,104900000,101600000,88200000,75200000,89857000,88097000,89020000,98159000,94811000,40306000,113351000,111006000,97221000,92621000,92621000,85449000,8478000,75000000,1455500000,1255300000,1069900000,959800000,907800000,824300000,933200000,936200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,17000000,24700000,28000000,31900000,37100000,39200000,44700000,46300000,50000000,50438000,50435000,48183000,51617000,45238000,49374000,18605000,2539000,- -,- -,- -,- -,- -,- -,314500000,252000000,238800000,159400000,196800000,180600000,163700000,188100000
57,Other Non-Current Liabilities,26100000,31800000,30900000,29500000,30000000,30200000,33900000,39300000,41400000,42371000,40930000,44580000,56308000,62687000,64209000,96548000,97026000,107962000,78860000,85552000,130584000,138894000,87245000,214900000,216400000,228300000,262100000,215300000,274600000,318000000,250600000
58,Total Non-Current Liabilities,57100000,70600000,137900000,144400000,135000000,174300000,180200000,173800000,166600000,182666000,179462000,181783000,206084000,202736000,153889000,228504000,210571000,205183000,171481000,178173000,216033000,147372000,162245000,1984900000,1723700000,1537000000,1381300000,1319900000,1279500000,1414900000,1374900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,248200000,124000000,203800000,205100000,230700000,261000000,274400000,271700000,284100000,316193000,339991000,305720000,328119000,355589000,385141000,440567000,377720000,356036000,324395000,333410000,396935000,397470000,343139000,2337800000,2042300000,1832500000,1691300000,1701800000,1678000000,1710700000,1794700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2600000,2585000,2596000,2694000,2742000,2778000,2800000,2810000,2854000,2883000,2888000,2897000,2913000,4700000,4756000,4800000,4800000,4800000,4900000,4900000,4900000,4900000,4900000
64,Retained Earnings,210900000,228400000,255000000,286100000,323400000,364200000,412300000,467300000,527000000,579181000,627014000,678740000,739936000,779397000,828591000,867512000,802096000,863601000,836062000,899211000,963130000,1032869000,1106252000,1191800000,1292700000,1419100000,1607200000,1769100000,1905700000,2011300000,2168900000
65,Other Comprehensive Income/Loss,-146100000,-146100000,-197700000,-238400000,-275700000,-311800000,-349500000,-381700000,-433000000,-466534000,-509288000,-578580000,2594000,-715891000,-6000000,-21000000,45000000,-32000000,3000000,-3590000,-45000000,-51000000,-31000000,-113000000,-181000000,-221000000,-186000000,-234000000,-290000000,-308000000,-333600000
66,Other Total Stockholders Equity,162100000,290200000,285700000,333400000,368500000,395900000,404200000,403600000,388400000,368407000,387497000,491303000,- -,733029000,-54229000,-96765000,-98777000,-122900000,-117789000,-142995000,-179431000,-196158000,-232470000,-220600000,-206000000,-196400000,-174400000,-186500000,-217900000,-247400000,-300900000
67,Total Stockholders Equity,226900000,372500000,343000000,381100000,416200000,448300000,467000000,489200000,485000000,483639000,507819000,594157000,707381000,799313000,771162000,752557000,751173000,711584000,724161000,755523000,741612000,790411000,847538000,863000000,910500000,1006500000,1251700000,1353500000,1402700000,1460800000,1539300000
68,Total Liabilities And Stockholders Equity,475100000,496500000,546800000,586200000,646900000,709300000,741400000,760900000,769100000,799832000,847810000,899877000,1035500000,1154902000,1156303000,1193124000,1128893000,1067620000,1048556000,1088933000,1138547000,1187881000,1190677000,3200800000,2952800000,2839000000,2943000000,3055300000,3080700000,3171500000,3334000000
69,Minority Interest,900000,- -,2400000,1900000,2200000,4600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23582000,27172000,26408000,23308000,26870000,25900000,27200000,24400000,27400000,31700000,31900000,37900000,40200000
70,Total Liabilities & Equity,476000000,496500000,549200000,588100000,649100000,713900000,741400000,760900000,769100000,799832000,847810000,899877000,1035500000,1154902000,1156303000,1193124000,1128893000,1067620000,1072138000,1116105000,1164955000,1211189000,1217547000,3226700000,2980000000,2863400000,2970400000,3087000000,3112600000,3209400000,3374200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101402000005/form10k01final2.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101403000013/form10-k2003.htm,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101405000081/form10k-04.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101406000048/form10k05final.htm,https://www.sec.gov/Archives/edgar/data/891014/000093041307001756/c46802_10-k.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101408000026/frm10k-07.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101409000016/0000891014-09-000016-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101410000009/0000891014-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101412000009/0000891014-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101413000010/0000891014-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101414000006/form10k2013.htm,https://www.sec.gov/Archives/edgar/data/891014/000114036115007848/0001140361-15-007848-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036116054076/0001140361-16-054076-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036117008053/0001140361-17-008053-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036118008762/0001140361-18-008762-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101419000010/0000891014-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101420000010/0000891014-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101421000011/0000891014-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101422000009/0000891014-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,20000000,25600000,29000000,33300000,39500000,43100000,50300000,57200000,62100000,54208000,49793000,53752000,70086000,58563000,53264000,49951000,-63514000,65287000,-23796000,66869000,67521000,74147000,80330000,92400000,107900000,133400000,195100000,169000000,132700000,112400000,164400000
74,Depreciation and Amortization,24700000,28500000,33500000,35800000,40300000,46200000,52900000,53100000,58700000,60795000,66518000,68960000,66340000,70467000,74960000,83204000,84565000,- -,- -,- -,- -,51209000,47289000,84400000,98300000,91900000,91000000,94300000,- -,93000000,- -
75,Deferred Income Tax,- -,7000000,3100000,3400000,5900000,3400000,3700000,1200000,5900000,1202000,-131000,2643000,5085000,-8070000,5914000,4345000,-15148000,-3001000,-23989000,1772000,1250000,1257000,4421000,-21100000,-2500000,-10900000,-76100000,15400000,-1400000,-2700000,2100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4952000,5780000,5860000,7237000,5476000,5249000,5900000,11200000,6300000,8100000,6200000,8100000,10200000,10700000
77,Change in Working Capital,35900000,138300000,16500000,23700000,-49200000,28900000,16800000,-19500000,-10500000,-20570000,4431000,80767000,51062000,24728000,-96870000,53751000,106462000,74533000,67105000,72536000,19052000,-25000000,119836000,-62523000,-86700000,-29400000,86600000,-47800000,26300000,217100000,-68100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9060000,-7680000,-7577000,-14186000,537000,-10460000,5200000,36600000,-4900000,-27300000,-3000000,9900000,13700000,-7200000
79,Inventory,1100000,8900000,- -,2500000,-20500000,-7000000,7500000,-1700000,-4700000,-5123000,-2182000,5166000,767000,-17483000,-16817000,-6679000,15223000,-35595000,58835000,-3713000,-7340000,6675000,-6534000,19500000,3100000,3100000,-25200000,-14700000,-16000000,8300000,-58200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3959000,5455000,6351000,24824000,-5231000,-776000,16000000,-9700000,-4800000,28000000,-11200000,-5100000,-16700000,43000000
81,Other Working Capital,-42600000,95700000,112200000,135900000,86700000,115600000,132400000,112900000,102400000,81830000,86261000,167028000,218090000,242818000,145948000,199699000,306161000,380694000,447799000,520335000,539387000,514387000,634223000,571700000,485000000,455600000,542200000,494400000,520700000,737800000,-11100000
82,Other Non-Cash Items,1000000,-118100000,-13300000,-29400000,21800000,-51700000,-3100000,25000000,14000000,-4522000,-22284000,-88284000,-92485000,-16465000,41249000,-55652000,67326000,-7560000,135729000,-4618000,38599000,32829000,-122328000,211723000,141800000,33800000,-97100000,-33500000,72600000,-189400000,123300000
83,Cash Provided by Operating Activities,81600000,81300000,68800000,66800000,58300000,69900000,120600000,117000000,130200000,91113000,98327000,117838000,100088000,129223000,78517000,135599000,179691000,134211000,160829000,142419000,133659000,139918000,134797000,310800000,270000000,225100000,207600000,203600000,238300000,240600000,232400000
84,CAPEX,-86800000,-57300000,-53500000,-51600000,-115100000,-97300000,-77300000,-116600000,-73800000,-103286000,-63078000,-37107000,-52665000,-106423000,-111539000,-85159000,-46072000,-31027000,-26591000,-34518000,-52060000,-52130000,-43831000,-81800000,-86000000,-62400000,-76700000,-75900000,-65000000,-66800000,-86000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12580000,-37363000,-34100000,-1958000,- -,-3170000,-32416000,- -,- -,- -,- -,- -,- -,- -,-1802300000,- -,- -,- -,-122500000,- -,- -,-194400000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12875000,-2350000,-12590000,-14798000,-10007000,-7144000,-10738000,-12423000,-5390000,-5407000,-6300000,-4700000,-6700000,3800000,-7700000,-5500000,-8700000,-9400000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5675000,7200000,6440000,14147000,6654000,10052000,4125000,9380000,9310000,3049000,18700000,1100000,8000000,-4500000,6100000,7700000,5300000,8300000
88,Other Investing Activites,1100000,700000,-100000,-300000,1100000,1100000,3900000,31000000,400000,1814000,5193000,280000,1874000,1655000,311000,3073000,-22000,15587000,5266000,39000,78000,169000,28000,8700000,5000000,-500000,-100000,- -,800000,-8500000,2900000
89,Cash Used for Investing Activites,-85700000,-56600000,-53600000,-51900000,-114000000,-96200000,-73400000,-85600000,-73400000,-114052000,-95248000,-70927000,-52749000,-111968000,-109548000,-120652000,-46745000,-18793000,-18417000,-41092000,-55025000,-48041000,-46161000,-1863000000,-84600000,-61600000,-77500000,-200000000,-62000000,-78700000,-278600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17114000,-12249000,-4600000,-275000,-8558000,-77277000,-175000000,-191800000,-193200000,-118900000,-80300000,-92200000,-391300000,-21700000
91,Common Stock Issued,- -,- -,- -,- -,700000,2500000,2400000,6500000,6200000,4044000,3158000,29384000,15884000,14173000,8747000,3741000,17953000,11538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-60000000,- -,- -,-5900000,-6700000,-42600000,-50900000,-43048000,-16000000,-17332000,-6016000,-16225000,-47618000,-53372000,-25339000,-45281000,- -,-27922000,-48004000,-25884000,-51776000,- -,- -,-2600000,-700000,-21700000,-41000000,-40700000,-74700000
