,https://roic.ai/company/VOD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,19678950,18600582,22822319,8180925,55751904,111883116,162377542,141872417,19394827,15308916,59016879,23759768,9127058,315065243,110002409,114000000,687352750,2107881020,4154921980,4002123510,11023294560,2133850300,5267384640,4965184945,7115834544,8566719937,9044378631,12264774793,9410559980,12956749989,7703000000,3225000000,13637000000,11824000000,4080000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,33433856,22034681,- -,- -,- -,- -,- -,50222400,21371203325,2553000000,421015000,6553342840,1189545060,2639905812,- -,- -,- -,435562233,767126117,1587807576,5868227300,5348138919,5271390398,5351094632,5011000000,8795000000,13012000000,7089000000,6052000000
33,Cash and Short-Term Investments,- -,19678950,18600582,22822319,8180925,55751904,111883116,195811398,163907098,19394827,15308916,59016879,23759768,9127058,365287643,21481205734,2667000000,1108367750,8661223860,5344467040,6642029322,11023294560,2133850300,5267384640,5400747178,7882960661,10154527513,14912605932,17612913712,14681950378,18307844622,12714000000,12020000000,26649000000,18913000000,10132000000
34,Net Receivables,- -,41012325,44609188,56604534,84942775,120083636,- -,183619648,250931200,342779424,389289363,613017977,- -,1108875678,3564744100,3697480450,- -,- -,4782300720,4887009050,6378977320,- -,5175061870,4990949529,10075183106,10858135245,13295338115,11703233743,11732260395,11798069094,12997327010,10011000000,- -,- -,- -,- -
35,Inventory,- -,10449000,11112036,6381654,8714523,3560689,1897509,4048514,15205218,14881565,9962946,27814175,44879562,66881885,316732255,511187666,- -,528099250,685041040,627172590,426530170,424433520,523648130,444887756,486078472,611196921,583276252,533906649,533724658,659094727,716438025,576000000,581000000,714000000,585000000,676000000
36,Other Current Assets,- -,17850375,19969456,41304289,45954746,78984552,191788241,-2245710,728046,-1357279,116009,-682560,848829366,-611431,-50895123,3722829114,210292000000,10789882250,5541202820,6334983160,-2639905812,7432452240,3122893080,3365813432,- -,- -,0,479329525,41148840,- -,3665880233,16813000000,25350000000,12223000000,14753000000,17462000000
37,Total Current Assets,- -,88990650,94291262,127112796,147792969,258380781,305568866,381233850,430771562,375698537,414677234,699166471,917468696,1184273190,4195868876,29412702963,212959000000,12426349250,19669768440,17193631840,10807631000,18880180320,10955453380,14069035357,15962008756,19352292826,24033141881,27629075848,29920047605,27139114199,35687489890,40114000000,37951000000,39586000000,34251000000,28270000000
38,PP&E,- -,- -,- -,308310037,452433734,600691674,574029335,559668506,687069689,787747128,1041370809,1779401259,2440733835,3217512404,10513843862,17124786798,- -,28313258750,27050192820,26821849670,19601412590,19810640400,21016209290,20786624500,23172359852,22969394903,22388926930,24121902395,27655651154,36377379707,35608871912,30204000000,28325000000,27432000000,39197000000,41243000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75485939970,59777007360,64468239850,58265178431,58192461487,51486227036,46026017035,36035139419,28217211791,30817464439,28897179047,26808000000,26734000000,23353000000,31271000000,31731000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108498907,208112152,213682621,492711512,37017665578,176089591665,150970000000,156341174500,140047874700,121677653900,23693462190,23141732400,23854166870,22654721144,25168312561,26544384714,25400120587,26131764313,28287406871,28651476788,30406137012,19412000000,16523000000,17652000000,22252000000,21818000000
41,Intangible Assets,- -,1393200,1207830,882504,943325,509288,398519,82462957,85174993,76725448,108498907,208112152,213682621,492711512,37017665578,176089591665,150970000000,156341174500,140047874700,121677653900,99179402160,82918739760,88322406720,80919899575,83360774049,78030611750,71426137622,62166903732,56504618662,59468941227,59303316059,46220000000,43257000000,41005000000,53523000000,53549000000
42,Investments,- -,- -,- -,9686056,5726647,14782341,8504532,14935432,68681197,179310666,251746624,135541158,214459084,411615356,34423795109,51464950614,- -,38748711405,26817015601,30029483702,33662025498,- -,- -,- -,48922170447,44174627370,41496624902,40888944087,-910115516,-138109061,-811540418,1586000000,-3053000000,-8190000000,-466000000,-457000000
43,Tax Assets,- -,- -,- -,22822319,8180925,55751904,111883116,162377542,141872417,19394827,15308916,59016879,23759768,9127058,315065243,110002409,- -,- -,2110834345,1726048567,201302440,604087920,547709350,680289529,1159628317,2296825673,2364309089,3464460921,24939827724,32606045150,28381090063,24300000000,26200000000,24753000000,23606000000,21569000000
44,Other Non-Current Assets,- -,196876575,210565030,-21361199,2903480,-41734217,-81829202,-118433982,-55537704,280432122,310916801,538070158,75782790,136456999,169200037760,4670249338,- -,348938095,4393228033,-2233677599,18409305662,39310628400,38984875110,48432295174,3651762746,5290210966,5803958758,11034070743,9348048204,12154964787,11383122397,12260000000,12931000000,18276000000,18057000000,10889000000
45,Total Non-Current Assets,- -,198269775,211772860,320339717,470188111,630000990,612986300,701010456,927260593,1343610191,1727842057,2720141606,2968418098,4267423329,251470407552,249459580824,150970000000,223752082750,200419145500,178021358240,171053448350,142644096480,148871200470,150819108778,160266695411,152761670663,143479957301,141676281877,117538030227,140469221809,133864860013,114570000000,107660000000,103276000000,133917000000,126793000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,287260425,306064122,447452513,617981080,888381772,918555165,1082244305,1358032155,1719308728,2142519290,3419308078,3885886794,5451696519,255666276428,278872283787,363929000000,236178432000,220088913940,195214990080,181861079350,161524276800,159826653850,164888144134,176228704167,172113963489,167513099182,169305357725,147458077832,167608336009,169552349903,154684000000,145611000000,142862000000,168168000000,155063000000
48,Accounts Payable,- -,- -,- -,52080010,71589219,42363252,23362992,40619595,55537704,65503284,90274007,239314856,307789938,322589134,1176910380,3071979041,- -,3611576500,4251475080,4208922080,10729255050,3295909680,15021799560,3412245892,3652885329,5068267950,5431910120,5134995503,5700324578,6910922717,7439543177,6212000000,6185000000,6541000000,6599000000,6739000000
49,Short-Term Debt,- -,- -,- -,- -,4658091,10383419,15807914,1607205,18426663,43790836,97320968,281671468,759536119,564381361,1323607425,5841451457,2156924000,2068465000,3072944760,552343880,4947584970,7097845920,5691111720,10392232426,12531394876,11274705213,7510581867,14580397350,9375884184,17260897795,20313871093,12051000000,10351000000,4270000000,11826000000,7526000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6404412226,6345852543,6378218931,7496207841,6436941640,5738188187,4346641670,3473692743,3568066457,3800228881,2323699191,2224786557,2003490407,1922000000,1718000000,1814000000,1775000000,1965000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971789610,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,90906300,102585028,115575784,173213730,229789950,240820041,253266189,338251675,430467577,521110652,909537643,1147767626,1402125592,4902681909,11108625632,210802076000,14994540750,15152880540,16868859810,6581929780,17523789600,6880875730,16373381158,15939557094,14472960982,15891277485,17330609821,15227491261,15342412522,12620721535,15264000000,22488000000,14712000000,15082000000,14446000000
53,Total Current Liabilities,- -,90906300,102585028,167655794,249461039,282536621,279990948,295492990,412216042,539761697,708705627,1430523967,2215093683,2289096088,7403199713,20022056131,212959000000,20674582250,22477300380,21630125770,22258769800,27917545200,27593787010,30177859476,32123837299,30815934145,28833769472,37046002674,30303700023,39514233034,42345925415,33527000000,39024000000,25523000000,33507000000,28711000000
54,Long-Term Debt,- -,159695550,152186580,2089734,- -,887287,5519136,4698368,2448298,170772062,170099070,738275743,998842020,1701074150,10065417669,17425675741,-3542000000,19057335500,18285888140,16930574210,24035016330,26225799600,28459357740,34283352793,32141798629,32295554252,32501448952,32927802723,25964917940,30677987961,37187571632,34523000000,32908000000,48685000000,62892000000,59272000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164844147,204000000,237000000,574000000,612000000,519000000
56,Deferred Tax Liabilities,- -,696600,644176,194918,230046,161587,352375,510422,773147,3903361,10084445,10306776,8385801,14962390,175036246,1640330041,- -,- -,5405174108,7068926942,8136248620,6816387360,6416114270,7172195321,8281295351,7382166163,7917435055,7946903853,904064217,813612785,565542229,535000000,644000000,478000000,2043000000,2095000000
57,Other Non-Current Liabilities,- -,3134700,2979314,421182,1489173,1442743,447460,38968817,42909641,7074843,10084445,70311975,74229864,63590159,706813033,1292528306,- -,6187090000,1996353432,688573138,5013585770,1405795680,1324633480,1710442245,1740003768,1961065726,4405775972,5380592561,3411722927,3983284107,3928362837,12176000000,4191000000,4157000000,6489000000,6650000000
58,Total Non-Current Liabilities,- -,163526850,155810070,2705834,1719219,2491617,6318971,44177607,46131086,181750266,190267960,818894494,1081457684,1779626699,10947266948,20358534088,-3542000000,25244425500,25687415680,24688074290,37184850720,34447982640,36200105490,43165990359,42163097747,41638786141,44824659980,46255299137,30280705083,35474884853,41846320845,47438000000,37980000000,53894000000,72036000000,68536000000
59,Other Liabilities,- -,- -,- -,- -,- -,4983233,12637941,- -,- -,363500533,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60561410167,70949769706,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261761500,185870140,165086020,- -,86832960,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12063000000,13032000000
61,Total Liabilities,- -,254433150,258395098,170361628,251180259,285028238,286309918,339670597,458347127,721511964,898973587,2249418461,3296551367,4068722787,18350466661,40380590219,-216501000000,45919007750,48164716060,46318200060,59443620520,62365527840,63793892500,73343849835,74286935046,72454720287,73658429452,83301301811,60584405107,74989117887,84192246260,80965000000,77004000000,79417000000,105543000000,97247000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,76739472,68060940,72137133,70228808,62551537,65330895,185897588,185650985,216442286,239616486,231917049,6329644069,6558084799,- -,6183429000,6402374080,6248583000,5976372440,6147923280,5251677860,4484511769,4662087514,4646007135,4639806567,4586851343,4589305902,5185243162,4808376978,4796000000,4796000000,4796000000,4797000000,4797000000
64,Retained Earnings,- -,28212300,42918226,70258056,183296278,408925206,423179466,553167479,651891515,758959837,996173056,787691790,77956886,843130692,-958531825,-10118603951,- -,-39700799250,-64344346500,-75353282400,-96651571520,-125623339200,-102950995290,-90510902110,-89419354909,-88391367005,-101034008293,-105339781816,-62241251040,-67647458989,-71780749989,-105851000000,-106695000000,-116725000000,-120349000000,-121587000000
65,Other Comprehensive Income/Loss,- -,-38574225,-40905176,-71232672,-63479186,-176515476,- -,-303422304,-419314688,-505442880,-640665999,-945823140,-1331944652,-1566412638,-2850590297,-4419508552,- -,- -,147351191380,137671712090,-5710719220,-63000000,25884807200,22154762331,22658216804,17692841968,13166921327,13224274462,-51770081561,2481860849,7248070360,30057000000,36889000000,34183000000,35734000000,- -
66,Other Total Stockholders Equity,- -,43189200,45655974,201326029,178860174,298806671,138836973,429920946,601133017,557528359,700686671,1028842099,1453072882,1710201208,232249760695,242555311973,186067000000,219635288250,78016759200,76221912580,218965904100,218364055680,169821558000,156911479449,163559231573,165704932088,175561351339,172333201653,195110854889,150428115784,143268584609,143198000000,132650000000,139964000000,141228000000,172594000000
67,Total Stockholders Equity,- -,32827275,47669024,277090885,366738205,603353534,632245247,742217658,899040739,996942904,1241844713,1087153035,438701602,1218836312,234770282642,234575284269,186067000000,186117918000,167425978160,144788925270,122579985800,98825639760,98007047770,93039851439,101460180981,99652414187,92334070940,84804545642,85688828190,90447760806,83544281957,72200000000,67640000000,62218000000,61410000000,55804000000
68,Total Liabilities And Stockholders Equity,- -,287260425,306064122,447452513,617918464,888381772,918555165,1081888255,1357387866,1718454868,2140818300,3336571496,3735252970,5287559098,253120749303,274955874488,-30434000000,232036925750,215590694220,191107125330,182023606320,161191167600,161800940270,166383701274,175747116027,172107134473,165992500392,168105847454,146273233297,165436878693,167736528217,153165000000,144644000000,141635000000,166953000000,153051000000
69,Minority Interest,- -,- -,- -,- -,62616,- -,-0,356050,644289,853860,1700991,82736582,150633824,164137421,2545527125,3916409299,394363000000,4141506250,4498219720,4107864750,-162526970,333109200,-1974286420,-1495557139,481588140,6829016,1520598790,1199510271,1184844535,2171457316,1815821686,1519000000,967000000,1227000000,1215000000,2012000000
70,Total Liabilities & Equity,- -,287260425,306064122,447452513,617981080,888381772,918555165,1082244305,1358032155,1719308728,2142519290,3419308078,3885886794,5451696519,255666276428,278872283787,363929000000,236178432000,220088913940,195214990080,181861079350,161524276800,159826653850,164888144134,176228704167,172113963489,167513099182,169305357725,147458077832,167608336009,169552349903,154684000000,145611000000,142862000000,168168000000,155063000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/839923/000102123103000664/0001021231-03-000664-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000102123104000405/0001021231-04-000405-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000102123105000453/0001021231-05-000453-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000102123106000376/0001021231-06-000376-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000115697307000970/0001156973-07-000970-index.htm,- -,https://www.sec.gov/Archives/edgar/data/839923/000095012309010070/0000950123-09-010070-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000095012310055041/0000950123-10-055041-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000095012311059893/0000950123-11-059893-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000119312512256443/0001193125-12-256443-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000119312513251392/0001193125-13-251392-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000119312514231067/0001193125-14-231067-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000110465915043811/0001104659-15-043811-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000110465916126489/0001104659-16-126489-index.htm,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-19531730,44498724,95273589,161334374,292966208,257637537,276044684,315701564,289580626,376404943,513644512,650365420,952655389,811834781,-15990791376,-26417729800,-14202849500,-13485730900,-10992106070,-31447731180,-7995369360,8363806710,3325859920,9704730691,9068933085,8349491539,508991005,71712745764,7877686144,-5102560379,-6297000000,2439000000,-8020000000,-920000000,112000000
74,Depreciation and Amortization,- -,12774187,21342188,31354213,45363977,73119640,85073285,85801861,102957367,112587581,142032724,217854173,369751687,444233367,1263594997,2615792580,22691299400,23008469750,26260447640,26050419670,8355701280,7527519360,7420353610,7357925161,8879632130,8964221508,9432033061,9135735991,9149565565,13079338304,12043767019,11086000000,10409000000,9795000000,14174000000,14101000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1197525536,62864652,1852939641,3055599462,3063437705,-18000196911,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137017950,134443247,138217555,168387461,177554413,171622436,158985535,111343920,120332647,148359733,95000000,128000000,147000000,146000000,146000000
