,https://roic.ai/company/RADA,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0583,0.0603,0.0408,0.0070,-0.0935,0.0061,0.0064,0.1235,0.0391,-0.5282,-9.3707,-0.6957,-1.5983,-0.4039,-0.2388,0.0616,0.0581,-0.1735,-0.1534,-0.0769,-0.0322,0.0115,0.0267,-0.0786,-0.0952,-0.1211,0.0093,-0.4347,-0.3830,0.0855,0.0058,-0.0458,0.0740,0.2139
25,EPS,85.50,94.50,33.75,6.75,-77.85,3.60,3.60,56.70,15.75,-103.50,-277.20,-33.75,-20.70,-1.44,-0.90,0.24,0.24,-0.60,-1.38,-0.24,-0.14,0.04,0.16,-0.34,-0.46,-0.60,0.04,-1.08,-0.35,0.09,0.01,-0.05,0.13,0.66
26,EPS Diluted,85.50,94.50,33.75,6.75,-77.85,3.60,3.60,56.70,15.75,-103.50,-277.20,-33.75,-20.70,-1.44,-0.90,0.24,0.18,-0.60,-1.38,-0.24,-0.14,0.04,0.16,-0.34,-0.46,-0.60,0.04,-1.09,-0.35,0.08,0.01,-0.05,0.13,0.66
27,Weighted Average Shares Outstanding,214200,214200,214200,269933,282733,391333,395666,419133,419133,95644,127431,216035,295666,2302831,2759163,3158330,3424997,3881663,1453916,4491667,4427602,5325000,4434428,4449580,4459323,4459323,4472401,5952044,14029346,24956915,33184570,38148756,43321058,38148756
28,Weighted Average Shares Outstanding Diluted,214200,214200,214200,269933,282733,391333,395666,419133,419133,95644,127431,216035,295666,2302831,2759163,3158330,3424997,3881663,1453916,4491667,4427602,5325000,4434428,4449580,4459323,4459323,4472401,5952044,14029346,28126509,33716931,38841266,44412391,38148756
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/761238/000117891306000553/0001178913-06-000553-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/761238/000117891309000790/0001178913-09-000790-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891310000891/0001178913-10-000891-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891311000991/zk1109697.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891312000879/0001178913-12-000879-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891313001202/zk1312773.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891314001450/zk1414811.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891315001367/zk1516633.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891316005445/zk1618494.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891317000925/0001178913-17-000925-index.html,https://www.sec.gov/Archives/edgar/data/761238/000149315218004037/0001493152-18-004037-index.html,https://www.sec.gov/Archives/edgar/data/761238/000149315219004421/0001493152-19-004421-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891320001060/zk2024233.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,525000,416000,178000,20000,74000,570000,467000,3464000,350000,990000,835000,964000,987000,850000,1107000,1164000,2137000,1786000,1754000,1205000,12417000,20814000,13754000,36289000,78746000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000,416000,178000,20000,74000,570000,467000,3464000,350000,990000,835000,964000,987000,850000,1107000,1164000,2137000,1786000,1754000,1205000,12417000,20814000,13754000,36289000,78746000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,14540000,3594000,3623000,1569000,946000,1925000,3922000,3236000,6472000,5164000,5913000,4031000,5279000,10272000,6920000,8068000,7037000,6165000,6257000,6153000,8392000,14524000,15842000,15067000,35623000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,10726000,2197000,1164000,1641000,2022000,1077000,873000,1824000,1942000,2468000,2609000,4409000,5685000,6215000,7655000,7272000,6798000,6651000,6565000,7102000,7910000,11244000,17196000,28783000,48882000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,204000,47000,- -,- -,- -,1017000,704000,598000,3003000,2051000,4146000,2926000,1311000,1329000,724000,803000,2869000,3009000,2209000,1245000,1988000,492000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25794000,6457000,4965000,3434000,3089000,3572000,5262000,8524000,9781000,9326000,9955000,12407000,14002000,21483000,18608000,17815000,17301000,15326000,15379000,17329000,31728000,48791000,48037000,82127000,163743000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24549000,31175000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,214000,557000,587000,587000,587000,587000,587000,587000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3127000,1987000,1709000,2469000,1906000,1414000,972000,530000,309000,155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3127000,1987000,1709000,2469000,2072000,1628000,1529000,1117000,896000,742000,587000,587000,587000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5681000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,31784000,20709000,14953000,13935000,11892000,7908000,7300000,8064000,6640000,6057000,5823000,4558000,3870000,4719000,4840000,4484000,4119000,4184000,3197000,3658000,4302000,4711000,16878000,230000,244000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,31784000,20709000,14953000,13935000,11892000,11035000,9287000,9773000,9109000,8129000,7451000,6087000,4987000,5615000,5582000,5071000,4706000,4771000,3197000,3658000,4302000,4711000,16878000,24779000,40100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,57578000,27166000,19918000,17369000,14981000,14607000,14549000,18297000,18890000,17455000,17406000,18494000,18989000,27098000,24190000,22886000,22007000,20097000,18576000,20987000,36030000,53502000,64915000,106906000,203843000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6726000,4002000,1704000,1020000,797000,635000,3957000,1080000,1671000,1896000,1560000,2760000,2590000,3430000,2380000,1948000,2909000,1315000,1961000,2557000,2904000,5650000,7661000,10603000,19890000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7937000,9471000,5378000,5624000,5920000,5697000,1123000,14000,877000,3417000,490000,162000,2666000,4274000,9148000,10140000,10194000,9709000,4050000,575000,- -,- -,- -,454000,2262000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1771000,1062000,488000,50000,84000,181000,- -,- -,- -,- -,- -,- -,- -,- -,839000,41000,1093000,1759000,2555000,2237000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4828000,9222000,6302000,5458000,5412000,3524000,1836000,4677000,3608000,3419000,3666000,3903000,3973000,6185000,4126000,3750000,4350000,4267000,2846000,2252000,3142000,4208000,6812000,11740000,13445000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19491000,22695000,13384000,12102000,12129000,11627000,7978000,6259000,6206000,8816000,5897000,6825000,9229000,13889000,15654000,15838000,17453000,15291000,8857000,6223000,6087000,10951000,16232000,25352000,37834000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2316000,2153000,36000,8000,1061000,- -,1220000,2346000,2560000,142000,1883000,3559000,1410000,3479000,176000,- -,- -,- -,- -,3072000,- -,- -,- -,- -,9160000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,633000,1331000,1380000,433000,433000,2043000,2048000,2063000,2009000,2026000,2442000,558000,489000,547000,516000,519000,569000,634000,660000,663000,758000,690000,7263000,9521000,783000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3158000,3484000,1416000,441000,1494000,2043000,3268000,4409000,4569000,2168000,4325000,4117000,1899000,4026000,692000,519000,569000,634000,660000,3735000,758000,690000,7263000,9521000,9943000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7739000,10617000,11422000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22649000,26179000,14800000,12543000,13623000,13670000,11246000,10668000,10775000,10984000,10222000,10942000,11128000,17915000,16346000,16357000,18022000,15925000,9517000,9958000,6845000,11641000,23495000,34873000,47777000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000,94000,101000,103000,103000,108000,108000,110000,116000,116000,116000,119000,119000,119000,119000,119000,119000,119000,146000,250000,335000,386000,394000,440000,489000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3922000,-39364000,-46581000,-52680000,-56049000,-58532000,-57774000,-56952000,-59281000,-61281000,-62359000,-62935000,-62722000,-61988000,-63514000,-65565000,-68200000,-67992000,-74453000,-79363000,-77124000,-76961000,-78991000,-73351000,-48277000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12306000,-12083000,-11066000,-11768000,-12010000,-10845000,-11777000,-12555000,-13380000,-14188000,-14176000,-11861000,-10887000,-11305000,-12260000,-9535000,-10089000,1000000,-10952000,-9058000,-9696000,-9465000,-1000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,48991000,51259000,61875000,68414000,68656000,69754000,72321000,76629000,80280000,81427000,83144000,81673000,80781000,81757000,82879000,80887000,81520000,70420000,93766000,98687000,115011000,128253000,121017000,144944000,203854000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,32856000,-94000,4329000,4069000,700000,485000,2878000,7232000,7735000,6074000,6725000,6996000,7291000,8583000,7224000,5906000,3350000,3547000,8507000,10516000,28526000,42213000,41420000,72033000,156066000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,55505000,26085000,19129000,16612000,14323000,14155000,14124000,17900000,18510000,17058000,16947000,17938000,18419000,26498000,23570000,22263000,21372000,19472000,18024000,20474000,35371000,53854000,64915000,106906000,203843000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,2073000,1081000,789000,757000,658000,452000,425000,397000,380000,397000,459000,556000,570000,600000,620000,623000,635000,625000,552000,513000,659000,-352000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,57578000,27166000,19918000,17369000,14981000,14607000,14549000,18297000,18890000,17455000,17406000,18494000,18989000,27098000,24190000,22886000,22007000,20097000,18576000,20987000,36030000,53502000,64915000,106906000,203843000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/761238/000117891306000553/0001178913-06-000553-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/761238/000117891309000790/0001178913-09-000790-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891310000891/0001178913-10-000891-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891311000991/zk1109697.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891312000879/0001178913-12-000879-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891313001202/zk1312773.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891314001450/zk1414811.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891315001367/zk1516633.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891316005445/zk1618494.htm,https://www.sec.gov/Archives/edgar/data/761238/000117891317000925/0001178913-17-000925-index.html,https://www.sec.gov/Archives/edgar/data/761238/000149315218004037/0001493152-18-004037-index.html,https://www.sec.gov/Archives/edgar/data/761238/000149315219004421/0001493152-19-004421-index.html,https://www.sec.gov/Archives/edgar/data/761238/000117891320001060/zk2024233.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,1400000,1000000,200000,-2900000,200000,200000,3100000,1100000,-9914000,-35215000,-7217000,-6099000,-3369000,-2483000,758000,822000,-2329000,-2000000,-1078000,-576000,213000,734000,-1526000,-2051000,-2635000,208000,-6461000,-4910000,2239000,163000,-2030000,5640000,- -
74,Depreciation and Amortization,800000,700000,1100000,1400000,2000000,2100000,2700000,3600000,- -,5855000,7111000,2437000,1950000,1710000,2388000,2072000,1172000,1561000,1696000,1406000,1154000,1176000,962000,951000,897000,752000,690000,651000,554000,638000,799000,1223000,2289000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,62000,31000,- -,- -,- -,- -,- -,111000,559000,898000,1148000,1436000,- -
77,Change in Working Capital,- -,- -,-2100000,-2300000,600000,- -,- -,-600000,- -,9431000,22067000,-2435000,-513000,512000,-650000,-686000,-987000,-4341000,776000,-685000,-1729000,-1635000,-4263000,-1399000,-271000,2769000,-797000,-243000,-1830000,-2013000,-5388000,-3567000,-5753000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1252000,-1271000,-4777000,2115000,1539000,491000,1435000,-583000,-1360000,-2280000,-6096000,-383000,-330000,- -
79,Inventory,- -,- -,-400000,-1500000,500000,- -,- -,-2500000,- -,-774000,7974000,878000,-658000,7000,539000,204000,-951000,200000,-526000,104000,-2214000,-1315000,-501000,-2069000,325000,449000,111000,-487000,-1503000,-890000,-3865000,-6613000,-12820000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,787000,-170000,840000,-697000,-463000,981000,-1594000,584000,592000,303000,2610000,1439000,1872000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1554000,854000,-1659000,1224000,142000,15000,- -,- -,403000,- -,366000,-170000,36000,- -
82,Other Non-Cash Items,-2100000,-2100000,-100000,-200000,200000,-3900000,-1400000,-2200000,-1100000,-80000,2538000,3705000,514000,246000,320000,-1123000,-10000,-17000,245000,239000,704000,506000,672000,220000,673000,546000,21000,3288000,1156000,299000,-330000,-235000,2000,- -
83,Cash Provided by Operating Activities,- -,- -,-100000,-900000,-100000,-1600000,1500000,3900000,- -,5326000,-3499000,-3510000,-4148000,-901000,-425000,1021000,997000,-5126000,717000,-118000,-316000,322000,-1864000,-1754000,-752000,1432000,122000,-2765000,-4919000,1722000,-3858000,-3461000,3614000,- -
84,CAPEX,- -,- -,-4700000,-1500000,-1900000,-2800000,-2100000,-3600000,- -,-2259000,-32000,-1231000,-1020000,-236000,-85000,-49000,-349000,-411000,-236000,-353000,-498000,-261000,-603000,-218000,-688000,-370000,-328000,-374000,-411000,-1777000,-1207000,-4551000,-4947000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-351000,- -,- -,-235000,-93000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-500000,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1002000,-15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,100000,- -,300000,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-200000,-1600000,-2700000,-3600000,-2700000,1200000,- -,-6331000,-243000,-308000,-243000,-127000,44000,-1000,-23000,27000,307000,127000,-194000,24000,-1424000,365000,469000,285000,394000,-4000,367000,-34000,259000,-582000,17000,- -
89,Cash Used for Investing Activites,- -,- -,-4800000,-3600000,-4300000,-6600000,-4500000,-2400000,- -,-8590000,-275000,-1539000,-1263000,-363000,-41000,-50000,-1374000,-750000,71000,-226000,-927000,-330000,-2027000,147000,-219000,-85000,66000,-378000,-44000,-1811000,-948000,-5133000,-4930000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-490000,-162000,- -,- -,-2990000,-1285000,-1528000,-5030000,-4829000,-575000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,100000,3400000,1100000,10100000,600000,900000,- -,1832000,- -,6434000,5007000,- -,835000,- -,3352000,2832000,28000,- -,- -,- -,- -,- -,- -,- -,- -,7430000,5796000,9726000,12252000,1500000,23534000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4200000,1500000,2500000,-1000000,1600000,-1500000,- -,816000,3667000,-1623000,246000,1318000,127000,-1074000,22000,-70000,-176000,189000,1823000,194000,3731000,1857000,3998000,850000,1000000,827000,4475000,2141000,546000,-534000,504000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,4300000,4900000,3600000,9100000,2200000,-600000,- -,2648000,3667000,4811000,5253000,1318000,962000,-1074000,3374000,2762000,-148000,189000,1333000,32000,3731000,1857000,1008000,-435000,-528000,3227000,5442000,11292000,12798000,966000,24038000,- -
