,https://roic.ai/company/ONCT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-7.70,-228.20,-80.50,-192.50,-863.80,-17.50,-99.40,-79.80,-81.20,-100.10,-88.90,27.30,-40.60,-30.10,-46.90,-33.60,-9.10,-8.54,-12.25,-11.55,-3.31,-0.85,-0.64
26,EPS Diluted,-7.70,-228.20,-80.50,-192.50,-863.80,-65.10,-99.40,-79.80,-81.20,-100.10,-88.90,27.30,-40.60,-30.10,-46.90,-33.60,-10.50,-8.54,-12.25,-11.55,-3.31,-0.85,-0.64
27,Weighted Average Shares Outstanding,110499,110499,110683,110499,110501,328474,371177,445000,499144,518593,520219,555352,819420,897273,900815,1168680,2005207,2079932,2491608,3335172,10329000,20305000,49321000
28,Weighted Average Shares Outstanding Diluted,110499,110499,110683,110499,110501,343746,371177,445000,499144,518593,520219,555352,819420,897273,900815,1168680,2111055,2079932,2491608,3335172,10329000,20305000,49321000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260990/000095014404003065/0000950144-04-003065-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260990/000119312512093770/0001193125-12-093770-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746913002200/0001047469-13-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000110465914018791/0001104659-14-018791-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746915002283/0001047469-15-002283-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746916011178/0001047469-16-011178-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746917001982/0001047469-17-001982-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1260990/000104746919002764/0001047469-19-002764-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459020011213/0001564590-20-011213-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459021012588/0001564590-21-012588-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459022009702/0001564590-22-009702-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1542000,2667000,8834000,8925000,14769000,64528000,74014000,119550000,100178000,95510000,40219000,58181000,63745000,48044000,14529000,17880000,14056000,8910000,15816000,28258000,20051000,116737000,90765000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,9810000,2157000,8825000,450000,10695000,8045000,200000,31415000,15200000,12959000,28083000,200000,- -,- -,- -
33,Cash and Short-Term Investments,1542000,2667000,8834000,8925000,14769000,64528000,74014000,119550000,109988000,97667000,49044000,58631000,74440000,56089000,14729000,49295000,29256000,21869000,43899000,28458000,20051000,116737000,90765000
34,Net Receivables,- -,- -,- -,- -,- -,- -,153000,61000,40836000,1264000,595000,683000,981000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,194000,448000,135000,207000,78000,92000,116000,171000,161000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,41000,61000,1176000,1702000,1882000,1362000,1001000,920000,875000,1266000,717000,442000,856000,2633000,2429000,2178000,2750000,736000,1266000,2088000
37,Total Current Assets,- -,- -,- -,8966000,15024000,66152000,76004000,121700000,152264000,100024000,50675000,60360000,76848000,56815000,15171000,50151000,31889000,24298000,46077000,31208000,20787000,118003000,92853000
38,PP&E,- -,- -,- -,1064000,815000,1537000,1746000,1448000,2308000,3988000,3291000,2040000,1096000,507000,112000,29000,5000,81000,51000,19000,190000,40000,75000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,4943000,4978000,4714000,4430000,4093000,3755000,1850000,- -,- -,- -,471000,137000,123000,108000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,4943000,4978000,4714000,4430000,4093000,3755000,1850000,240000,452000,322000,471000,137000,123000,108000,94000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1471000,450000,83000,1393000,728000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767000,766000,657000
45,Total Non-Current Assets,- -,- -,- -,1064000,2286000,6930000,6807000,7555000,7466000,8085000,7046000,3890000,1336000,959000,434000,500000,142000,204000,159000,113000,957000,806000,732000
46,Other Assets,1678000,3201000,10117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1678000,3201000,10117000,10030000,17310000,73082000,82811000,129255000,159730000,108109000,57721000,64250000,78184000,57774000,15605000,50651000,32031000,24502000,46236000,31321000,21744000,118809000,93585000
48,Accounts Payable,- -,- -,- -,601000,461000,900000,1407000,1336000,1614000,2821000,1268000,848000,1219000,1707000,808000,512000,382000,1220000,2604000,3279000,871000,1143000,1959000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,1337000,1337000,- -,10934000,11490000,9954000,1345000,- -,- -,- -,- -,- -,- -,- -,- -,3640000,1633000,- -
52,Other Current Liabilities,- -,- -,- -,711000,1788000,2617000,3230000,9001000,6784000,6666000,4730000,3112000,4857000,7788000,3759000,32280000,29790000,3391000,5371000,1931000,2830000,3042000,3506000
53,Total Current Liabilities,- -,- -,- -,1312000,2249000,4854000,5974000,10337000,19332000,20977000,15952000,5305000,6076000,9495000,4567000,32792000,30172000,4611000,7975000,5210000,7341000,5858000,5465000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,54732000,49898000,6721000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,64026000,165292000,4319000,3258000,21869000,61481000,382000,621000,497000,234000,578000,354000,30000,- -,- -,- -,- -,91000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,64026000,165292000,4319000,3258000,21869000,61481000,55114000,50519000,7218000,234000,578000,354000,30000,- -,- -,- -,- -,91000,- -,- -
59,Other Liabilities,1657000,28366000,44192000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,24000,20000,15000,10000,- -,- -,- -,- -,7000,- -,- -,- -,- -,- -,- -,190000,40000,- -
61,Total Liabilities,1657000,28366000,44192000,65338000,167541000,9173000,9232000,32206000,80813000,76091000,66471000,12523000,6310000,10073000,4921000,32822000,30172000,4611000,7975000,5210000,7432000,5858000,5465000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,8000,8000,25000,31000,35000,36000,36000,36000,52000,63000,63000,63000,140000,141000,16000,22000,24000,15000,49000,49000
64,Retained Earnings,-949000,-26135000,-35045000,-56278000,-151752000,-157430000,-194269000,-229779000,-270138000,-321918000,-368174000,-352880000,-386174000,-413249000,-455360000,-494771000,-513474000,-531198000,-561637000,-600055000,-65572000,-82797000,-114130000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1014000,-1445000,-2043000,-2679000,-3841000,-5066000,-6492000,-7140000,-8108000,-8761000,-3666000,-3747000,-2849000,-2636000,-2667000,-2625000,- -,- -,- -
66,Other Total Stockholders Equity,970000,970000,970000,962000,2527000,222759000,269860000,329472000,352860000,358966000,365880000,411695000,466093000,469648000,469647000,516207000,518041000,553709000,602543000,628767000,79869000,195699000,202201000
67,Total Stockholders Equity,21000,-25165000,-34075000,-55308000,-150231000,63909000,73579000,97049000,78917000,32018000,-8750000,51727000,71874000,47701000,10684000,17829000,1859000,19891000,38261000,26111000,14312000,112951000,88120000
68,Total Liabilities And Stockholders Equity,1678000,3201000,10117000,10030000,17310000,73082000,82811000,129255000,159730000,108109000,57721000,64250000,78184000,57774000,15605000,50651000,32031000,24502000,46236000,31321000,21744000,118809000,93585000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1678000,3201000,10117000,10030000,17310000,73082000,82811000,129255000,159730000,108109000,57721000,64250000,78184000,57774000,15605000,50651000,32031000,24502000,46236000,31321000,21744000,118809000,93585000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260990/000095014404003065/0000950144-04-003065-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260990/000119312512093770/0001193125-12-093770-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746913002200/0001047469-13-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000110465914018791/0001104659-14-018791-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746915002283/0001047469-15-002283-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746916011178/0001047469-16-011178-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746917001982/0001047469-17-001982-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1260990/000104746919002764/0001047469-19-002764-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459020011213/0001564590-20-011213-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459021012588/0001564590-21-012588-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459022009702/0001564590-22-009702-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-750000,-3812000,- -,-11866000,-14194000,-22348000,-36839000,-35510000,-40359000,-51780000,-46256000,15294000,-33294000,-27075000,-42111000,-39411000,-18703000,-17724000,-30439000,-38418000,-34188000,-17225000,-31333000
74,Depreciation and Amortization,45000,80000,- -,332000,357000,-580000,-299000,-5008000,-4900000,1562000,1785000,1573000,1040000,750000,384000,102000,43000,28000,47000,46000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3714000,5174000,4886000,4226000,2648000,3733000,4428000,2620000,2957000,3151000,2197000,507000,1556000,- -
77,Change in Working Capital,- -,- -,- -,7654000,5121000,48523000,8732000,41333000,21569000,-53885000,-44324000,20332000,15717000,-23452000,-36716000,6755000,-15642000,17970000,18415000,-12104000,-12552000,98699000,-24757000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-370000,81000,-277000,-298000,972000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,154000,-194000,-448000,313000,-72000,129000,-14000,-24000,-55000,-24000,133000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1207000,-1553000,-420000,371000,488000,-899000,-296000,-130000,838000,1384000,675000,-4762000,272000,- -
81,Other Working Capital,- -,- -,- -,7654000,12775000,61298000,70030000,111363000,132932000,79047000,34723000,55055000,70772000,47320000,10604000,17359000,1717000,19687000,38102000,25998000,13446000,112145000,87388000
82,Other Non-Cash Items,705000,3732000,- -,-6673000,-4281000,-41266000,-6413000,-12275000,-13944000,97464000,37624000,-72612000,-20778000,10020000,30739000,-633000,11647000,-24009000,-14634000,8933000,29487000,-100525000,56090000
83,Cash Provided by Operating Activities,- -,- -,- -,-10553000,-12997000,-15671000,-34819000,-11460000,-37634000,-2925000,-45997000,-30527000,-33089000,-37109000,-43971000,-28759000,-20035000,-20778000,-23460000,-39346000,-16746000,-17495000,- -
84,CAPEX,- -,- -,- -,-313000,-108000,-1174000,-935000,-578000,-1736000,-2905000,-600000,-95000,-54000,-142000,-32000,-5000,-4000,-90000,-2000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11275000,-8569000,-15145000,-11980000,-1425000,-41905000,-55219000,-35404000,-39283000,-44155000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2450000,16944000,4900000,14630000,9270000,10690000,71434000,37645000,24159000,72038000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-4826000,-446000,- -,- -,- -,- -,- -,- -,18897000,1424000,- -,- -,- -,- -,- -,18137000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-313000,-108000,-6000000,-1381000,-578000,-1736000,-2905000,-9425000,8280000,-10299000,21405000,9237000,-31220000,16211000,2151000,-15126000,27883000,16137000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-5000,-88000,- -,-82000,-7000,-2000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,19987000,71863000,45690000,57579000,20003000,- -,- -,40288000,48982000,- -,- -,63949000,- -,13692000,45648000,24474000,1000,113876000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,10957000,-1038000,-433000,-4000,-5000,-5000,1167000,136000,9000,-30000,85000,1226000,-617000,- -,-211000,-156000,-569000,14000,305000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,10957000,18949000,71430000,45686000,57574000,19998000,1162000,131000,40209000,48952000,3000,1219000,63330000,- -,13481000,45492000,23905000,15000,114181000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,91000,5844000,49759000,9486000,45536000,-19372000,-4668000,-55291000,17962000,5564000,-15701000,-33515000,3351000,-3824000,-5146000,6906000,12442000,-594000,96686000,- -
98,Cash at the End of Period,- -,- -,- -,8925000,14769000,64528000,74014000,119550000,100178000,95510000,40219000,58181000,63745000,48044000,14529000,17880000,14056000,8910000,15816000,28258000,20051000,116737000,- -
99,Cash at the Beginning of Period,- -,- -,- -,8834000,8925000,14769000,64528000,74014000,119550000,100178000,95510000,40219000,58181000,63745000,48044000,14529000,17880000,14056000,8910000,15816000,20645000,20051000,116737000
100,Free Cash Flow,- -,- -,- -,-10866000,-13105000,-16845000,-35754000,-12038000,-39370000,-5830000,-46597000,-30622000,-33143000,-37251000,-44003000,-28764000,-20039000,-20868000,-23462000,-39346000,-16746000,-17495000,- -
101,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1260990/000095014404003065/0000950144-04-003065-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260990/000119312512093770/0001193125-12-093770-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746913002200/0001047469-13-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000110465914018791/0001104659-14-018791-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746915002283/0001047469-15-002283-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746916011178/0001047469-16-011178-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000104746917001982/0001047469-17-001982-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1260990/000104746919002764/0001047469-19-002764-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459020011213/0001564590-20-011213-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459021012588/0001564590-21-012588-index.htm,https://www.sec.gov/Archives/edgar/data/1260990/000156459022009702/0001564590-22-009702-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
