,https://roic.ai/company/NEPT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,16748,672865,1303366,679509,673196,1215577,1593921,3168239,4792090,5700000,3954785,6271944,9836362,10033166,18970940,8743081,10864339,13699400,5640444,5806388,10793571,10887748
35,Inventory,- -,- -,106930,924629,1247782,813642,1256573,2115652,1383176,1800000,2645752,4544917,6832910,11709613,13596775,13383148,18119480,13242740,5261329,5038161,9092538,21754147
36,Other Current Assets,- -,13157,25148,89003,60837,62673,137438,53039,224878,300000,99859,968530,430368,139656,1196113,539589,1091374,-6842860,2722944,1093677,2296003,4631422
37,Total Current Assets,1540112,844158,3396631,2628138,1981815,2273842,4013833,8746607,9112439,11900000,8794601,15298249,33576215,50505613,63312145,50291568,43075235,43428760,37930914,24640577,38795188,112464467
38,PP&E,- -,127023,2309660,4713829,4425784,3881552,3457394,4310360,4050095,5000000,7398231,7023842,7552126,15476660,37034030,46871217,45547665,45864370,41880847,47023973,61414828,50454835
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6816139,6750630,6750626,6750626,42333174,31974526
40,Intangible Assets,- -,65201,200369,358941,486367,553833,507576,560620,1098658,1300000,1223309,1268867,1357740,1510528,1878270,1573878,6825156,11947690,5236363,7650598,25518287,32606969
41,Intangible Assets,- -,65201,200369,358941,486367,553833,507576,560620,1098658,1300000,1223309,1268867,1357740,1510528,1878270,1573878,13641295,18698320,11986989,14401224,67851461,64581495
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318750,174479,65750,6585740,4002337,530000,7243774
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,453980,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,283842,460844,1433179,1027622,588118,135009,18385,95977,100000,150000,150000,1250000,- -,- -,- -,3152913,3162920,212464,152464,184470,- -
45,Total Non-Current Assets,- -,476066,2970873,6505949,5939773,5023503,4099979,4889365,5244730,6400000,8771540,8442709,11159866,16987188,38912300,48763845,62970332,67791360,60666040,65579998,129980759,122280104
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1540112,1320224,6367504,9134087,7921588,7297345,8113812,13635972,14357169,18300000,17566141,23740958,44736081,67492801,102224445,99055413,106045567,111220120,98596954,90220575,168775947,234744571
48,Accounts Payable,- -,- -,1527423,1349143,1198452,1070439,1448115,1478919,59728,- -,2241236,- -,2531416,4853790,9474873,4523542,5650043,5650040,2425617,3002341,5157772,15268779
49,Short-Term Debt,- -,- -,597000,106643,685761,841917,782571,1152969,2805487,- -,1002337,1655024,2908898,5060,18048,540039,7527359,- -,4661356,3466501,3631052,288947
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301287,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,878814,- -,- -,849659,900282,1303808,741079,549675000,109954,25070,17601,2499376
52,Other Current Liabilities,124076,1080597,- -,40346,- -,- -,- -,- -,- -,4000000,175177,4081676,3826493,3180279,5365902,3091804,4469031,-537590030,4322272,13481474,8409600,12527980
53,Total Current Liabilities,124076,1080597,2124423,1496132,1884213,1912356,2230686,2631888,2865215,4000000,4297564,5736700,9266807,8888788,15759105,9459193,18387512,17735010,11519199,19975386,17216025,30585082
54,Long-Term Debt,- -,- -,1955590,2942222,3151258,2868780,2946263,3295312,2524023,5200000,5272888,3799831,2845272,1865981,10081195,14006847,20154023,17145590,- -,- -,1141314,17837913
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27170,197181,5015106,- -
57,Other Non-Current Liabilities,- -,- -,- -,3043030,4544797,5156430,- -,- -,873260,- -,- -,- -,- -,- -,11330883,2731622,579151,12592090,516815,1063082,1773209,12138429
58,Total Non-Current Liabilities,- -,- -,1955590,5985252,7696055,8025210,2946263,3295312,3397283,5200000,5272888,3799831,2845272,1865981,21412078,16738469,20733174,29737680,543985,1260263,7929629,29976342
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7518,95591,- -,- -,- -,18683,- -,1591439,3915521
61,Total Liabilities,124076,1080597,4080013,7481384,9580268,9937566,5176949,5927200,6262498,9200000,9570452,9536531,12112079,10754769,37171183,26197662,39120686,47472690,12063184,21235649,25145654,60561424
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1902054,1902054,- -,- -,- -,- -,- -,- -,- -,25200000,25237122,31291533,45841986,83561499,88745590,123685960,127201343,127201340,128483507,131083698,213876454,379643670
64,Retained Earnings,-486018,-1662427,-5159563,-8660371,-12194383,-13982437,-15237262,-18448233,-23233037,-25100000,-26813240,-26480537,-31973311,-45457773,-62097779,-96453762,-103923751,-96361700,-79479665,-102671364,-163534626,-330681375
65,Other Comprehensive Income/Loss,- -,- -,-45223,4005,187754,345387,-1829006,-2352472,-2813247,-3200000,-3893819,-4692910,-6349435,18143149,23386025,-131250,-352396,-854700,525559,758066,5517376,1202409
66,Other Total Stockholders Equity,- -,- -,7492277,- -,- -,- -,- -,- -,- -,12200000,13465626,14086341,20249543,- -,464800,28183502,30519934,33762490,37004369,39814526,87771089,95938439
67,Total Stockholders Equity,1416036,239627,2287491,1652703,-1658680,-2640221,2936863,7708772,8094671,9100000,7995689,14204427,27768783,56246875,50498636,55284450,53445130,63747430,86533770,68984926,143630293,146103143
68,Total Liabilities And Stockholders Equity,1540112,1320224,6367504,9134087,7921588,7297345,8113812,13635972,14357169,18300000,17566141,23740958,39880862,67001644,87669819,81482112,92565816,111220120,98596954,90220575,168775947,206664567
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4855219,491157,14554626,17573301,13479751,- -,- -,- -,- -,28080004
70,Total Liabilities & Equity,1540112,1320224,6367504,9134087,7921588,7297345,8113812,13635972,14357169,18300000,17566141,23740958,44736081,67492801,102224445,99055413,106045567,111220120,98596954,90220575,168775947,234744571
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401395/000120445908001778/0001204459-08-001778-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000120445909001585/neptune20f.htm,https://www.sec.gov/Archives/edgar/data/1401395/000120445910002092/form20f.htm,https://www.sec.gov/Archives/edgar/data/1401395/000120445911001551/0001204459-11-001551-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000117184312002035/exh_992.htm,https://www.sec.gov/Archives/edgar/data/1401395/000117184313002321/0001171843-13-002321-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000119312514219419/0001193125-14-219419-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000117184315003145/0001171843-15-003145-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000119907316000203/0001199073-16-000203-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000117184317003885/0001171843-17-003885-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000156459018016387/0001564590-18-016387-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000156459019022350/0001564590-19-022350-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000156459020028900/0001564590-20-028900-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-181785,-1176409,-2550159,-3334851,-3534012,-1767586,-886150,-2677433,-4784804,-1890000,-1535198,515917,-4592683,-16770358,-16640006,-27960545,-7469989,- -,17530858,-23191699,-60863262,-167146749
74,Depreciation and Amortization,- -,-8870,36353,54761,987683,1000248,1063652,569181,596455,410000,768319,922566,763981,613197,352942,1718690,2579565,3816800,3541882,3056322,8384236,25678736
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,2200000,- -,245093,-2080828,- -,292631,170011,4601340,-4600426
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2171668000,484606,719823,3449426,7711510,12658586,4952101,1639849,- -,2283756,3712415,16594588,13069174
77,Change in Working Capital,45720,287247,-302596,647262,-627511,-182344,-459406,-2355171,-585251,-1220000,1380927,-4345090,-4870871,-938211,-10808329,10463612,-135011,-1947830,7515995,8004507,-8684797,-18292867
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1766776,-2336537,-2893647,1473706,-9912364,10767193,-1072469,- -,10547497,-165944,- -,- -
79,Inventory,- -,- -,-106930,-817699,-323153,434140,-442931,-859079,732476,- -,-872189,-1899165,-2287993,-7134268,-1887162,213627,143153,- -,-5581135,223168,-4737264,-23096133
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164403,- -,343378,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,7616918000,84895,-94156,- -,25195,485734,22493,44474,31240423000,109950,7987327,-1212334,1644586
82,Other Non-Cash Items,- -,17740,56250,524374,603907,748574,286435,2858724,4382476,-2169258000,-1605285,-2358384,203781,5421881,-3776871,-12172893,-5929095,5944460,-38751641,93984,8536908,77731940
83,Cash Provided by Operating Activities,-136065,-880292,-2760152,-2108454,-2569933,-201108,4531,-1604699,-391124,-290000,-506631,-4545168,-7246366,-1761981,-18213678,-22753942,-11395509,7813430,-7586519,-8154460,-31430987,-73560192
84,CAPEX,- -,-201094,-2218990,-2164005,-114984,-10320,-369244,-1024486,-188647,400273000,-3657133,-1033540,-1025645,-19411948,-16894533,-18042562,-1299539,-4657740,-5051033,-9090759,-14272885,-9266415
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6879943,- -,- -,- -,-15770400,-3982101
86,Purchases of Investments,- -,- -,-116627,- -,- -,- -,- -,-2600323,-553099,- -,- -,-2511847,-17588500,-7000000,-27683133,-45320519,-15632099,- -,-184000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,116627,- -,- -,- -,- -,583624,- -,2317243,- -,8500000,6106790,18375096,47214888,29297300,- -,623110,2374000,5329770,11950
88,Other Investing Activites,- -,-201094,-596012,-1139591,-156563,-71557,- -,100000,- -,-402613000,-76597,190929,-104386,-343177,-180434,-47617,123977,7670660,36853261,-2129505,-328862,-446105
89,Cash Used for Investing Activites,- -,-201094,-2931629,-3186969,-271547,-81877,-369244,-3524809,-158122,-2340000,-1339890,-3316359,-10100236,-20272207,-25991103,-16079913,5709514,3012920,36025007,-6494059,-24555193,-13167259
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3396823000,-761290,-1042342,-958369,-5773716,-22265,-18048,-632886,- -,-18899098,-1357454,-4811626,-3703634
91,Common Stock Issued,1700000,- -,5545000,1000000,- -,315092,1609200,4980126,77609,- -,- -,2002500,11477130,30004850,21164508,31457096,- -,- -,- -,- -,61040087,152047818
92,Common Stock Repurchased,- -,- -,-663135,-165957,- -,- -,- -,- -,- -,50000,- -,-164828,- -,- -,- -,- -,- -,6881020,-421070,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-41238,-283842,2496340,3551817,1859843,196483,-550536,-67165,357879,3399693000,3234886,5999147,10702666,8450694,13768116,4856952,7332789,-7247370,-564851,1546423,6284557,444937
95,Cash Used/Provided by Financing Activities,1658762,-283842,7378205,4385860,1859843,511575,1058664,4912961,435488,2920000,2473596,6794477,21221427,32681828,34910359,36296000,6699903,-366350,-19885019,188969,62513018,148789121
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369653,-65677,-70027,489554,914329,268562,205946,-130560,-68725,-8206,230887,-3471646
97,Net Change In Cash,1522697,-1365228,1686424,-909563,-981637,228590,693951,-216547,-113758,290000,257422,-1132727,3804798,11137194,-8380093,-2269293,1219854,10329440,8484744,-14467756,6757725,58590024
98,Cash at the End of Period,1523364,158136,1844560,934997,-46640,181950,875901,659354,545596,790000,1093194,-39533,3765265,14902459,6522366,4253073,5472927,15802370,24287107,9819351,16577076,75167100
99,Cash at the Beginning of Period,667,1523364,158136,1844560,934997,-46640,181950,875901,659354,500000,835772,1093194,-39533,3765265,14902459,6522366,4253073,5472930,15802363,24287107,9819351,16577076
100,Free Cash Flow,-136065,-1081386,-4979142,-4272459,-2684917,-211428,-364713,-2629185,-579771,-1450000,-4163764,-5578708,-8272011,-21173929,-35108211,-40796504,-12695048,3155690,-12637552,-17245219,-45703872,-82826607
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401395/000120445908001778/0001204459-08-001778-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000120445909001585/neptune20f.htm,https://www.sec.gov/Archives/edgar/data/1401395/000120445910002092/form20f.htm,https://www.sec.gov/Archives/edgar/data/1401395/000120445911001551/0001204459-11-001551-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000117184312002035/exh_992.htm,https://www.sec.gov/Archives/edgar/data/1401395/000117184313002321/0001171843-13-002321-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000119312514219419/0001193125-14-219419-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000117184315003145/0001171843-15-003145-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000119907316000203/0001199073-16-000203-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000117184317003885/0001171843-17-003885-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000156459018016387/0001564590-18-016387-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000156459019022350/0001564590-19-022350-index.html,https://www.sec.gov/Archives/edgar/data/1401395/000156459020028900/0001564590-20-028900-index.htm,- -
102,Forex Rate,0.6681,0.65,0.6523,0.7318,0.7339,0.7973,0.908,0.9342,1.0066,0.7853,0.9497,1.0292,1.0104,0.9701,0.9036,0.7994,0.7384,0.7509,0.7754,0.7492,0.711,0.7961
