,https://roic.ai/company/ATR,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,66101695,63888889,65783133,71400000,71770335,71814672,71952663,72469136,71851111,71760976,71663441,72107692,72315504,70446479,69760000,68805340,67851000,67643000,67344000,66553000,66392000,66090000,65009000,62585000,62804000,62435000,62437000,63574000,64418000,64418000
28,Weighted Average Shares Outstanding Diluted,66101695,63888889,65783133,72121212,71770335,72941176,73696970,73836478,72658427,73098137,73238462,73776852,74332271,72226715,71704530,71585354,70518000,69785000,69815000,69274000,68395000,68208000,67292000,64492000,64849000,64596000,64958000,66150000,66657000,66657000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896622/000095013103001299/d10k.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013704001405/c83140e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013705002363/c92455e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013706002247/c02667e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013707002945/c12684e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013708002942/c23999e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013709001365/0000950137-09-001365-index.html,https://www.sec.gov/Archives/edgar/data/896622/000095012310018017/0000950123-10-018017-index.html,https://www.sec.gov/Archives/edgar/data/896622/000104746911001408/a2202140z10-k.htm,https://www.sec.gov/Archives/edgar/data/896622/000104746912001460/0001047469-12-001460-index.html,https://www.sec.gov/Archives/edgar/data/896622/000104746913001923/0001047469-13-001923-index.html,https://www.sec.gov/Archives/edgar/data/896622/000104746914001554/a2218401z10-k.htm,https://www.sec.gov/Archives/edgar/data/896622/000104746915001367/a2223201z10-k.htm,https://www.sec.gov/Archives/edgar/data/896622/000155837016003527/0001558370-16-003527-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837017001060/0001558370-17-001060-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837018001077/0001558370-18-001077-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837019000824/0001558370-19-000824-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837020001217/0001558370-20-001217-index.html,https://www.sec.gov/Archives/edgar/data/896622/000089662221000005/0000896622-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/896622/000089662222000006/0000896622-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10800000,16400000,20100000,17300000,16400000,17700000,25200000,32400000,55559000,48013000,90205000,164982000,170368000,117635000,170576000,313739000,192072000,332964000,376427000,377616000,229755000,309861000,399762000,489901000,466287000,712640000,261823000,241970000,300137000,122925000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29816000,- -,- -,- -,- -,243000,740000
33,Cash and Short-Term Investments,10800000,16400000,20100000,17300000,16400000,17700000,25200000,32400000,55559000,48013000,90205000,164982000,170368000,117635000,170576000,313739000,192072000,332964000,376427000,377616000,229755000,309861000,399762000,519717000,466287000,712640000,261823000,241970000,300380000,123665000
34,Net Receivables,74500000,76500000,90900000,119000000,130900000,145000000,173300000,188500000,210794000,185131000,197881000,231976000,266894000,260175000,320969000,360736000,343937000,319787000,357110000,389020000,396788000,438221000,406976000,391571000,433127000,510426000,569630000,558428000,566623000,671350000
35,Inventory,39200000,49200000,57100000,73300000,75900000,79300000,101100000,109200000,121522000,120531000,127828000,165207000,189349000,184241000,226455000,272556000,244775000,230807000,272255000,285155000,321885000,353159000,311072000,294912000,296914000,337216000,381110000,375795000,379379000,441464000
36,Other Current Assets,9100000,15500000,16300000,14300000,14000000,14200000,17000000,21100000,19674000,21240000,31282000,40289000,34618000,43240000,44820000,56414000,78965000,59933000,58191000,92159000,90505000,97170000,96128000,88794000,73842000,109791000,118245000,115048000,122613000,121729000
37,Total Current Assets,133600000,157600000,184400000,223900000,237200000,256200000,316600000,351200000,407549000,374915000,447196000,602454000,661229000,605291000,762820000,1003445000,859749000,943491000,1063983000,1143950000,1038933000,1198411000,1213938000,1294994000,1270170000,1670073000,1330808000,1291241000,1368995000,1358208000
38,PP&E,134100000,195600000,216300000,246000000,255300000,251700000,325200000,358600000,377433000,381102000,434817000,483431000,534762000,536820000,591077000,656508000,720882000,764068000,724984000,754715000,848233000,864662000,811655000,765383000,784321000,867906000,991613000,1160055000,1268593000,1338331000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184763000,207882000,222668000,227041000,230578000,227029000,233689000,351552000,358865000,329741000,310240000,407522000,443887000,712095000,763461000,898521000,974157000
40,Intangible Assets,19000000,39900000,39900000,48400000,47300000,40500000,49700000,127200000,127754000,122569000,143974000,151352000,154711000,16927000,19820000,17814000,23438000,17158000,5242000,4374000,51960000,49951000,40045000,33210000,94489000,95460000,254904000,291084000,344309000,362343000
41,Intangible Assets,19000000,39900000,39900000,48400000,47300000,40500000,49700000,127200000,127754000,122569000,143974000,151352000,154711000,201690000,227702000,240482000,250479000,247736000,232271000,238063000,403512000,408816000,369786000,343450000,502011000,539347000,966999000,1054545000,1242830000,1336500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,712000,898000,853000,3812000,3693000,8243000,5760000,4590000,4241000,9444000,25448000,8396000,50087000,59485000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14800000,14900000,24800000,40900000,36300000,37000000,23200000,26300000,39503000,36741000,21684000,27106000,23324000,13518000,10413000,11515000,- -,- -,10627000,18755000,30041000,17630000,36051000,30309000,46042000,51053000,62867000,47882000,59548000,48840000
45,Total Non-Current Assets,167900000,250400000,281000000,335300000,338900000,329200000,398100000,512100000,544690000,540412000,600475000,661889000,712797000,752028000,829192000,908505000,972073000,1012702000,968735000,1015345000,1285479000,1299351000,1223252000,1143732000,1336615000,1467750000,2046927000,2270878000,2621058000,2783156000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,301500000,408000000,465400000,559200000,576100000,585400000,714700000,863300000,952239000,915327000,1047671000,1264343000,1374026000,1357319000,1592012000,1911950000,1831822000,1956193000,2032718000,2159295000,2324412000,2497762000,2437190000,2438726000,2606785000,3137823000,3377735000,3562119000,3990053000,4141364000
48,Accounts Payable,36900000,79600000,95900000,106100000,102600000,122500000,66100000,65900000,163528000,140983000,154966000,186510000,213569000,218659000,272761000,349030000,- -,- -,- -,108973000,136941000,150122000,116374000,115061000,115514000,153862000,164528000,192739000,243742000,285262000
49,Short-Term Debt,39500000,73000000,10400000,17100000,13700000,2900000,37200000,35100000,39574000,13168000,7722000,96710000,63292000,102103000,127424000,216159000,64619000,128355000,95566000,183668000,74654000,139770000,251976000,56972000,173816000,66169000,163971000,110247000,117866000,289627000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17164000,42148000,37084000,42641000,33253000,44068000,45196000,67775000,86820000,87052000,86953000
52,Other Current Liabilities,27100000,- -,- -,- -,- -,- -,64100000,58900000,- -,- -,- -,- -,- -,- -,- -,- -,310408000,288960000,327756000,209044000,201580000,215845000,193747000,206614000,209557000,262521000,292896000,293469000,331669000,320650000
53,Total Current Liabilities,103500000,152600000,106300000,123200000,116300000,125400000,167400000,159900000,203102000,154151000,162688000,283220000,276861000,320762000,400185000,565189000,375027000,417315000,423322000,518849000,455323000,542821000,604738000,411900000,542955000,527748000,689170000,683275000,780329000,982492000
54,Long-Term Debt,28600000,41300000,53800000,80700000,76600000,70700000,80900000,235600000,252752000,239387000,219182000,125196000,142581000,144541000,168877000,146711000,226888000,209616000,258773000,254910000,350342000,352429000,587103000,761417000,771998000,1191011000,1125993000,1085453000,1107210000,955034000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,15600000,14800000,20200000,22000000,22900000,21400000,25000000,25500000,35873000,28026000,37855000,39757000,45169000,45056000,33741000,28613000,24561000,20992000,22134000,27390000,33451000,42072000,25521000,20486000,16803000,20995000,53917000,41388000,37242000,27547000
57,Other Non-Current Liabilities,5400000,8300000,14100000,20000000,20200000,21200000,21700000,17900000,14922000,19460000,28248000,26662000,28986000,32872000,42246000,51866000,73548000,54634000,48715000,67574000,104798000,80132000,115912000,95217000,100787000,86021000,85784000,179751000,214487000,191691000
58,Total Non-Current Liabilities,49600000,64400000,88100000,122700000,119700000,113300000,127600000,279000000,303547000,286873000,285285000,191615000,216736000,222469000,244864000,227190000,324997000,285242000,329622000,349874000,488591000,474633000,728536000,877120000,889588000,1298027000,1265694000,1306592000,1358939000,1174272000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50126000,- -,2938000,2909000,2424000,1628000,1542000,741000,- -,55276000,52212000,51754000
61,Total Liabilities,153100000,217000000,194400000,245900000,236000000,238700000,295000000,438900000,506649000,441024000,447973000,474835000,493597000,543231000,645049000,792379000,700024000,702557000,752944000,868723000,943914000,1017454000,1333274000,1289020000,1432543000,1825775000,1954864000,1989867000,2139268000,2156764000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,400000,366000,370000,372000,377000,382000,386000,392000,794000,801000,806000,817000,827000,840000,853000,862000,667000,660000,667000,673000,686000,695000,704000
64,Retained Earnings,- -,146400000,169800000,200900000,233400000,274500000,329600000,381800000,439258000,490229000,548258000,618547000,695901000,771304000,844921000,950566000,1065998000,1150017000,1279013000,1409388000,1513558000,1619419000,1740005000,1185681000,1197234000,1301147000,1371826000,1523820000,1643825000,1789413000
65,Other Comprehensive Income/Loss,-133600000,-152000000,-187300000,-231200000,-265800000,-281900000,-335700000,-357700000,-402412000,-441829000,-46027000,65708000,120323000,24289000,109505000,214294000,139300000,186099000,123766000,60318000,60683000,109751000,-110045000,-262347000,-319709000,-253302000,-310504000,-341948000,-281709000,-316041000
66,Other Total Stockholders Equity,282000000,196600000,288500000,343600000,372500000,354100000,425800000,399900000,408378000,425533000,91864000,98419000,56591000,13409000,-8418000,-46636000,-75069000,-84077000,-124673000,-180757000,-195191000,-250266000,-527415000,225410000,295765000,263226000,360561000,389358000,487578000,- -
67,Total Stockholders Equity,148400000,191000000,271000000,313300000,340100000,346700000,419700000,424400000,445590000,474303000,594467000,783051000,873197000,809388000,946400000,1119018000,1131030000,1252845000,1278923000,1289776000,1379890000,1479757000,1103407000,1149411000,1173950000,1311738000,1422556000,1571916000,1850389000,1969407000
68,Total Liabilities And Stockholders Equity,301500000,408000000,465400000,559200000,576100000,585400000,714700000,863300000,952239000,915327000,1042440000,1257886000,1366794000,1352619000,1591449000,1911397000,1831054000,1955402000,2031867000,2158499000,2323804000,2497211000,2436681000,2438431000,2606493000,3137513000,3377420000,3561783000,3989657000,4126171000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5231000,6457000,7232000,4700000,563000,553000,768000,791000,851000,796000,608000,551000,509000,295000,292000,310000,315000,336000,396000,15193000
70,Total Liabilities & Equity,301500000,408000000,465400000,559200000,576100000,585400000,714700000,863300000,952239000,915327000,1047671000,1264343000,1374026000,1357319000,1592012000,1911950000,1831822000,1956193000,2032718000,2159295000,2324412000,2497762000,2437190000,2438726000,2606785000,3137823000,3377735000,3562119000,3990053000,4141364000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896622/000095013103001299/d10k.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013704001405/c83140e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013705002363/c92455e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013706002247/c02667e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013707002945/c12684e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013708002942/c23999e10vk.htm,https://www.sec.gov/Archives/edgar/data/896622/000095013709001365/0000950137-09-001365-index.html,https://www.sec.gov/Archives/edgar/data/896622/000095012310018017/0000950123-10-018017-index.html,https://www.sec.gov/Archives/edgar/data/896622/000104746911001408/a2202140z10-k.htm,https://www.sec.gov/Archives/edgar/data/896622/000104746912001460/0001047469-12-001460-index.html,https://www.sec.gov/Archives/edgar/data/896622/000104746913001923/0001047469-13-001923-index.html,https://www.sec.gov/Archives/edgar/data/896622/000104746914001554/a2218401z10-k.htm,https://www.sec.gov/Archives/edgar/data/896622/000104746915001367/a2223201z10-k.htm,https://www.sec.gov/Archives/edgar/data/896622/000155837016003527/0001558370-16-003527-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837017001060/0001558370-17-001060-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837018001077/0001558370-18-001077-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837019000824/0001558370-19-000824-index.html,https://www.sec.gov/Archives/edgar/data/896622/000155837020001217/0001558370-20-001217-index.html,https://www.sec.gov/Archives/edgar/data/896622/000089662221000005/0000896622-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/896622/000089662222000006/0000896622-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,19500000,23000000,27300000,35700000,37500000,46500000,60800000,58700000,64666000,58844000,66647000,79679000,93287000,100034000,102896000,141739000,153495000,124623000,173481000,183683000,162612000,171994000,191658000,199348000,205590000,220030000,194745000,242202000,214040000,244097000
74,Depreciation and Amortization,26200000,32100000,38400000,43500000,47900000,49900000,54400000,68700000,70949000,73584000,72141000,85851000,94493000,99242000,114606000,123466000,131145000,133013000,132959000,134243000,137022000,149956000,152218000,138893000,154802000,153094000,171747000,194552000,220300000,234853000
75,Deferred Income Tax,1600000,-3600000,800000,2800000,4100000,- -,5000000,5600000,3870000,-4723000,6150000,4836000,-2170000,-6244000,-10142000,-11783000,-1326000,-1329000,503000,2004000,-9015000,6844000,-18973000,-7141000,-11112000,2238000,-23352000,8746000,-8198000,-14356000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11054000,9761000,11215000,13753000,12695000,13728000,17971000,20612000,19824000,18924000,19561000,23893000,34148000,38870000
77,Change in Working Capital,-7000000,-25100000,73100000,22600000,20200000,9900000,18400000,42100000,13147000,16317000,63744000,34726000,65134000,-99839000,78106000,75621000,46466000,41454000,114485000,-15560000,-41491000,71980000,-46390000,273894000,-155879000,415110000,-500687000,-33672000,-19300000,-169695000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1600000,-1000000,-5200000,-9100000,-5200000,-11600000,-8700000,-6700000,-19625000,-4766000,2834000,-18504000,-14282000,-351000,-22801000,-26261000,16800000,21768000,-47388000,-22332000,-19712000,-29918000,5205000,-18925000,-834000,-12989000,-25183000,605000,13722000,-79961000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-824000,1144000,-24319000,39330000,-12474000,58245000,37155000,-779000,65592000,52305000
81,Other Working Capital,30100000,5000000,78100000,100700000,120900000,130800000,149200000,191300000,204447000,220764000,284508000,319234000,384368000,284529000,362635000,438256000,484722000,526176000,640661000,625101000,583610000,655590000,609200000,883094000,727215000,1142325000,641638000,607966000,588666000,-8619000
82,Other Non-Cash Items,4900000,16400000,-84600000,-42900000,-42400000,-20100000,-53600000,-56700000,-24834000,-16144000,-54230000,-65312000,-67519000,100862000,-88005000,-55580000,-70623000,-13931000,-170928000,-57081000,52069000,-129066000,18067000,-301091000,113968000,-484667000,451614000,78736000,129163000,29674000
83,Cash Provided by Operating Activities,45200000,42800000,55000000,61700000,67300000,86200000,85000000,118400000,127798000,127878000,154452000,139780000,183225000,194055000,197461000,273463000,270211000,293591000,261715000,261042000,313892000,285436000,314551000,324515000,327193000,324729000,313628000,514457000,570153000,363443000
84,CAPEX,-37800000,-41600000,-41900000,-55500000,-62800000,-71200000,-99800000,-232800000,-93933000,-92221000,-89778000,-77269000,-119745000,-104428000,-112359000,-139139000,-204923000,-145234000,-119263000,-179692000,-174053000,-152235000,-161949000,-149323000,-131478000,-156624000,-211863000,-247082000,-252046000,-307935000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2271000,- -,- -,- -,- -,-89761000,-36787000,1502000,-19501000,-7577000,-3014000,-14883000,-188119000,-5256000,- -,- -,-201781000,-5000000,-527916000,-106328000,-164181000,-148420000
86,Purchases of Investments,-300000,-800000,- -,- -,- -,-1200000,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,-801000,- -,- -,-3145000,- -,- -,- -,-32769000,- -,-66155000,-10000000,-3530000,-39871000,-7367000
87,Sales/Maturities of Investments,600000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29485000,- -,- -,16487000,- -,2434000
88,Other Investing Activites,500000,4000000,400000,-29200000,3600000,2700000,900000,2100000,-1539000,1722000,2041000,3286000,4774000,612000,7303000,6394000,-205239000,-143487000,-117985000,-177795000,-171340000,-151864000,-159200000,-143461000,-128206000,-153645000,-197545000,-242897000,-247926000,-303886000
89,Cash Used for Investing Activites,-37000000,-37200000,-41500000,-84700000,-59200000,-69700000,-98900000,-232700000,-97743000,-90499000,-87737000,-73983000,-114971000,-193566000,-141843000,-131243000,-225541000,-151064000,-120999000,-195823000,-359459000,-157120000,-159200000,-176230000,-300502000,-224800000,-735461000,-336268000,-451978000,-457239000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174350000,-26993000,-84626000,-50490000,-137076000,-25326000,-778000,-228343000,-55314000,-335011000,-102284000,-120545000,-101049000,-82546000
91,Common Stock Issued,- -,- -,44000000,200000,600000,1100000,1200000,3200000,2114000,7896000,4075000,9716000,13320000,17544000,19535000,19050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-6200000,-18743000,-4964000,-5216000,-3156000,-55536000,-61081000,-57682000,-76391000,-57569000,-29623000,-86473000,-102595000,-79793000,-118813000,-340517000,-13887000,-131371000,-161534000,-61691000,-86497000,- -,-78148000
93,Dividends Paid,- -,-1600000,-3800000,-4700000,-5000000,-5400000,-5800000,-6500000,-7170000,-7873000,-8618000,-9390000,-15933000,-24631000,-29279000,-34439000,-38063000,-40604000,-44485000,-53308000,-58442000,-66133000,-71072000,-71247000,-76659000,-79944000,-82346000,-90208000,-92658000,-98509000
94,Other Financing Activites,-4300000,3000000,-51400000,24200000,-4200000,-8700000,25000000,133600000,18068000,-37047000,-24731000,-10002000,-16821000,33606000,50080000,68877000,118360000,84034000,135993000,177847000,175928000,143138000,393407000,280411000,231735000,691281000,231449000,100115000,119984000,177685000
