,https://roic.ai/company/BEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-37200000,-76400000,-92600000,-92900000,-112100000,98200000,107500000,-46800000,353900000,457288000,477662000,563101000,859487000,1093470000,1044887000,1053553000,1205980000,1216796000,1215529000,1472272000,1615585000,1707544000,1977591000,1996271000,1639471000,1890854000,1767398000,1716200000,637100000,714100000,705500000,681500000,663300000,770200000,812800000,940600000,1473400000
11,COGS and Expenses,-37200000,-76400000,-92600000,-92900000,-112100000,131400000,144100000,-46800000,361200000,475688000,500262000,1083301000,859487000,1093470000,1044887000,1053553000,1205980000,1216796000,1215529000,1472272000,1615585000,1707544000,1977591000,3933384000,2991493000,3894319000,4480212000,4455900000,5063700000,5270200000,4921100000,4252300000,4127900000,4200500000,4217100000,4517600000,6550500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100428000,31918000,12917000,11013000,12500000,7500000,9100000,10800000,36500000,74900000,76500000,31000000,14300000,8800000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,- -,- -,- -,- -,125800000,- -,52100000,63000000,132500000,29221000,- -,15758000,3771000,16506000,37436000,36700000,46900000,47400000,39600000,49900000,51500000,48700000,24700000,33400000,85400000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,-4400000,-4700000,4300000,-24300000,36693000,40940000,40491000,123908000,191374000,200014000,199639000,223846000,183121000,177420000,183437000,212173000,215271000,198619000,215222000,181272000,267445000,243574000,212000000,93500000,94600000,97400000,87100000,80300000,76400000,93400000,128500000,310600000
15,EBITDA,26200000,66300000,113400000,109300000,129700000,140000000,158000000,209100000,250100000,399214000,427595000,535821000,739621000,867658000,774098000,939230000,987436000,761396000,929723000,1245082000,1765528000,2080058000,2663920000,2467569000,1466135000,2347952000,3008014000,2942800000,3146500000,3524200000,3096000000,2605800000,2587900000,2362000000,1756100000,1191600000,2576800000
16,EBITDA ratio,0.4139,0.4633,0.5486,0.5395,0.5120,0.4863,0.4962,0.5431,0.3904,0.4828,0.5055,0.3519,0.3419,0.3367,0.3421,0.4014,0.4193,0.3023,0.3543,0.3621,0.4096,0.4118,0.4293,0.4091,0.3496,0.4012,0.4213,0.4144,0.3941,0.4150,0.3895,0.3937,0.4049,0.3738,0.3041,0.2141,0.3058
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,369583000,368141000,417108000,591460000,642096000,539108000,663443000,511995000,585502000,648076000,930825000,1288376000,1633381000,2067547000,2099002000,1202594000,1958680000,2659827000,2515200000,2921300000,3221200000,3027600000,2365700000,2264300000,2118600000,1557400000,1048900000,1875000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4470,0.4353,0.2740,0.2734,0.2491,0.2383,0.2835,0.2174,0.2325,0.2469,0.2707,0.2989,0.3234,0.3332,0.3480,0.2867,0.3346,0.3725,0.3542,0.3658,0.3793,0.3809,0.3575,0.3542,0.3353,0.2697,0.1884,0.2225
19,Total Other Income Expenses (Gains),-74300000,-153200000,-185900000,-186200000,-235700000,-12100000,-11600000,-227000000,-5100000,-7062000,18514000,39122000,24253000,34188000,34976000,76148000,125795000,-7227000,52127000,63041000,132479000,202185000,397754000,137587000,78498000,111128000,-35627000,163000000,105300000,188400000,800000,134100000,284800000,96600000,90400000,-31000000,569200000
20,Income Before Tax,26200000,66300000,113400000,109300000,129700000,144400000,162700000,204800000,274400000,362521000,386655000,456230000,615713000,676284000,574084000,739591000,637790000,578275000,700203000,993866000,1420855000,1835566000,2465301000,2236589000,1281092000,2069808000,2624200000,2678200000,3026600000,3409600000,3028400000,2499800000,2549100000,2215200000,1647800000,1017900000,2444200000
21,Income Before Tax Ratio,0.4139,0.4633,0.5486,0.5395,0.5120,0.5016,0.5110,0.5319,0.4283,0.4384,0.4571,0.2996,0.2846,0.2624,0.2537,0.3160,0.2708,0.2296,0.2668,0.2891,0.3297,0.3634,0.3973,0.3708,0.3055,0.3536,0.3675,0.3772,0.3790,0.4015,0.3810,0.3777,0.3988,0.3506,0.2854,0.1829,0.2901
22,Income Tax expense (Gain),12700000,34200000,54500000,43000000,51100000,55000000,64500000,80700000,98900000,111213000,117710000,141500000,181650000,175834000,147373000,177502000,153069000,145552000,197373000,291981000,363224000,567998000,692363000,648376000,384314000,618312000,803424000,762700000,855900000,997900000,923700000,742100000,759400000,1472500000,442300000,230800000,349600000
23,Net Income,13500000,32100000,58900000,66300000,78600000,89400000,98200000,124100000,175500000,251308000,268945000,314730000,434063000,500450000,426711000,562089000,484721000,432723000,502830000,706664000,1057631000,1267568000,1772938000,1588213000,896778000,1445689000,1923580000,1931400000,2150200000,2384300000,2035300000,1726700000,1696700000,764400000,1195700000,798900000,1831200000
24,Net Income ratio,0.2133,0.2243,0.2850,0.3272,0.3103,0.3105,0.3084,0.3223,0.2739,0.3039,0.3180,0.2067,0.2007,0.1942,0.1886,0.2402,0.2058,0.1718,0.1916,0.2055,0.2454,0.2510,0.2857,0.2633,0.2138,0.2470,0.2694,0.2720,0.2693,0.2808,0.2561,0.2609,0.2654,0.1210,0.2071,0.1435,0.2173
25,EPS,0.02,0.05,0.08,0.09,0.11,0.13,0.14,0.18,0.24,0.33,0.36,0.42,0.57,0.66,0.56,0.76,0.64,0.55,0.66,0.95,1.41,1.66,2.37,2.24,1.30,2.12,2.89,2.99,3.37,3.79,3.29,2.94,3.01,1.39,2.35,1.59,3.58
26,EPS Diluted,0.02,0.05,0.08,0.09,0.11,0.13,0.14,0.18,0.23,0.33,0.36,0.42,0.57,0.66,0.56,0.76,0.64,0.55,0.66,0.93,1.35,1.62,2.34,2.22,1.29,2.11,2.87,2.98,3.37,3.79,3.29,2.94,3.01,1.39,2.35,1.59,3.57
27,Weighted Average Shares Outstanding,675000000,687857143,706800000,710357143,693529412,705789474,701428571,702452830,741549296,753924000,747069444,749357143,759293878,758257576,757475148,739590789,757376562,782029518,761863636,746476056,751870379,765131590,748075105,709188000,691002000,678312000,663120000,641400000,633100000,624800000,614800000,583800000,558800000,537400000,503600000,491900000,489900000
28,Weighted Average Shares Outstanding Diluted,675000000,687857143,706800000,710357143,693529412,705789474,701428571,702452830,752142857,753924000,756407812,753343085,759293878,758257576,757475148,743410588,761341885,786769091,765730964,757140000,781500739,782449383,756588051,714843000,694362000,682059000,666252000,643200000,634100000,625200000,614900000,583800000,559100000,538000000,504300000,492400000,490600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38777/000003877794000129/0000038777-94-000129-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877795000111/0000038777-95-000111-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877796000161/0000038777-96-000161-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877797000384/0000038777-97-000384-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877798000595/0000038777-98-000595-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877799000471/0000038777-99-000471-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877700000380/0000038777-00-000380-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877701500097/0000038777-01-500097-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877702000444/0000038777-02-000444-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38777/000119312506257302/d10k.htm,https://www.sec.gov/Archives/edgar/data/38777/000119312507255169/0001193125-07-255169-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312508243375/0001193125-08-243375-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312509241304/0001193125-09-241304-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312510261858/0001193125-10-261858-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877711000225/0000038777-11-000225-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877712000243/0000038777-12-000243-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877713000227/0000038777-13-000227-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877714000259/0000038777-14-000259-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877715000278/0000038777-15-000278-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877716000609/0000038777-16-000609-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877717000268/0000038777-17-000268-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877718000233/0000038777-18-000233-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877719000186/0000038777-19-000186-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/0000038777-20-000203-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877721000205/0000038777-21-000205-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,5000000,4000000,- -,303000000,210376000,261699000,502189000,442741000,556043000,819244000,746005000,568977000,980604000,1053695000,2917188000,3076318000,3310545000,3584183000,2314818000,2982539000,3985312000,4788232000,6051400000,6323100000,7596000000,8368100000,8483300000,8749700000,6910600000,5957600000,3957500000,4647200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,429400000,617300000,- -,179637000,232133000,199481000,213906000,491912000,412506000,662670000,1512255000,1553092000,1880320000,955864000,873176000,934264000,1065242000,1793211000,1581846000,1567899000,1913517000,2583800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,5000000,433400000,617300000,303000000,390013000,493832000,701670000,656647000,1047955000,1231750000,1408675000,2081232000,2533696000,2934015000,3873052000,3949494000,4244809000,4649425000,4108029000,4564385000,5553211000,6701749000,8635200000,6323100000,7596000000,8368100000,8483300000,8749700000,6910600000,5957600000,3957500000,4647200000
34,Net Receivables,- -,- -,- -,- -,- -,83000000,118500000,- -,119600000,516785000,599392000,533579000,530050000,395673000,444495000,524803000,296165000,292325000,338292000,406247000,549203000,628812000,865128000,690351000,581810000,684223000,772475000,850200000,1268600000,952500000,838000000,794300000,1001900000,847900000,839000000,1200600000,1428200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,373100000,4300000,- -,84200000,13520000,14043000,14612000,23778000,27128000,27422000,22378000,782123000,588010000,614945000,590757000,121891000,95980000,990351000,51252000,98225000,125359000,142544000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,461100000,556200000,- -,506800000,920318000,1107267000,1249861000,1210475000,1470756000,1703667000,1955856000,3159520000,3414031000,3887252000,4870056000,4620588000,4969601000,6504904000,4849632000,5244420000,6362793000,7616768000,9485400000,7591700000,8548500000,9206100000,9277600000,9751600000,7758500000,6796600000,5158100000,6075400000
38,PP&E,- -,- -,- -,- -,- -,17300000,22300000,34800000,66000000,94218000,118628000,161613000,217085000,349229000,416395000,444694000,449626000,394172000,356772000,470578000,489366000,506291000,559483000,554706000,535459000,548956000,589748000,582700000,564100000,530700000,510100000,523200000,517200000,535000000,683700000,1348600000,1218400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,678668000,660363000,- -,- -,- -,- -,- -,- -,1321939000,1335517000,1381757000,1390851000,1406825000,1456411000,1438093000,1436626000,1444269000,1536212000,1540800000,1701500000,1691000000,1661200000,1661200000,1687200000,1794800000,2130300000,4500800000,4457700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,697000000,- -,- -,641983000,1224019000,1253713000,1202777000,1169485000,1988820000,697246000,684281000,671500000,656593000,574633000,601833000,579572000,567974000,562360000,611979000,601100000,657700000,634900000,595800000,550100000,540500000,538600000,864200000,4914200000,4710200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,697000000,678668000,660363000,641983000,1224019000,1253713000,1202777000,1169485000,1988820000,2019185000,2019798000,2053257000,2047444000,1981458000,2058244000,2017665000,2004600000,2006629000,2148191000,2141900000,2359200000,2325900000,2257000000,2211300000,2227700000,2333400000,2994500000,9415000000,9167900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280356000,388819000,452831000,471553000,523901000,916059000,1090488000,1134235000,2277221000,2030700000,4583500000,4678200000,4109100000,3930000000,4861000000,3535900000,3859700000,3979700000,7330400000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94900000,112400000,98100000,100700000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,100000,100000,- -,311700000,44781000,358423000,320710000,443621000,406351000,343951000,472408000,667684000,595350000,426571000,445425000,1283698000,1570956000,296718000,838458000,593496000,655475000,1143915000,415900000,179400000,175700000,152700000,156700000,176500000,220700000,197700000,319500000,376300000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,17400000,22400000,- -,1074700000,817667000,1137414000,1124306000,1884725000,2009293000,1963123000,2086587000,3106130000,3008707000,3083497000,3358079000,4273339000,4530258000,3438346000,4326888000,4224043000,4345295000,6159075000,5266100000,7798600000,7808600000,7129600000,6821200000,7782400000,6625000000,7735600000,15062800000,18093000000
46,Other Assets,32500000,88200000,137900000,177200000,394000000,- -,- -,834300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32500000,88200000,137900000,177200000,394000000,478500000,578600000,834300000,1581500000,1737985000,2244681000,2374167000,3095200000,3480049000,3666790000,4042443000,6265650000,6422738000,6970749000,8228135000,8893927000,9499859000,9943250000,9176520000,9468463000,10708088000,13775843000,14751500000,15390300000,16357100000,16335700000,16098800000,17534000000,14383500000,14532200000,20220900000,24168400000
48,Accounts Payable,- -,- -,- -,- -,- -,32000000,35900000,- -,91700000,126800000,117700000,208859000,171879000,19963000,130146000,179481000,423207000,205441000,171994000,287573000,205853000,263019000,283226000,520013000,393881000,509809000,697842000,241600000,262800000,314400000,232100000,233300000,291500000,226900000,304400000,793800000,1037300000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,51700000,84482000,87204000,427000,118372000,117956000,108985000,68776000,8361000,7830000,287000,170000000,169389000,232330000,660773000,13287000,64156000,29997000,84511000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43500000,76862000,25730000,97936000,119667000,66032000,28363000,99197000,128826000,11400000,- -,- -,- -,- -,- -,1034800000,824700000,703300000,693600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,44500000,198408000,481890000,342391000,419653000,517555000,423765000,480256000,1096526000,1125684000,1118225000,463542000,476655000,466847000,1243649000,402590000,267503000,466836000,529711000,1467500000,- -,- -,92600000,104600000,113300000,1162500000,962100000,846500000,693600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,32000000,35900000,- -,187900000,409690000,686794000,551677000,709904000,655474000,662896000,728513000,1528094000,1338955000,1290506000,921115000,851897000,962196000,2187648000,935890000,725540000,1006642000,1312064000,1709100000,262800000,314400000,324700000,337900000,404800000,1389400000,1266500000,1640300000,1730900000
54,Long-Term Debt,400000,6700000,3600000,2600000,6100000,4200000,5500000,155500000,649700000,383668000,382367000,399462000,493244000,494459000,294260000,294090000,566013000,595148000,1108881000,1196409000,1208390000,627919000,162125000,118433000,- -,898903000,2083926000,2839100000,2295100000,2149000000,2155300000,2083400000,1097600000,728500000,747700000,4350500000,7588800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -,- -,- -,- -,- -,- -,- -,- -,175176000,203498000,236126000,235005000,211588000,214511000,146489000,218845000,237810000,274435000,276300000,272500000,259300000,241400000,161500000,170600000,126500000,120100000,305300000,311700000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,153500000,174200000,- -,12500000,13812000,14477000,22437000,37831000,49349000,52640000,54347000,193647000,46513000,57756000,691612000,838144000,917632000,5287000,824182000,824517000,814754000,982948000,139800000,1874400000,1422000000,1118500000,987800000,2925200000,1931200000,1773700000,2951000000,2726400000
58,Total Non-Current Liabilities,400000,6700000,3600000,2600000,6100000,157700000,179700000,155500000,673200000,397480000,396844000,421899000,531075000,543808000,346900000,348437000,759660000,816837000,1370135000,2124147000,2281539000,1757139000,381923000,1089104000,1043362000,1951467000,3341309000,3255200000,4442000000,3830300000,3515200000,3232700000,4193400000,2786200000,2641500000,7606800000,10626900000
59,Other Liabilities,10500000,42700000,36900000,29300000,183600000,- -,- -,522600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000000,518400000
61,Total Liabilities,10100000,36000000,33300000,26700000,177500000,189700000,215600000,367100000,861100000,807170000,1083638000,973576000,1240979000,1199282000,1009796000,1076950000,2287754000,2155792000,2660641000,3045262000,3133436000,2719335000,2569571000,2024994000,1768902000,2958109000,4653373000,4964300000,4704800000,4144700000,3839900000,3570600000,4598200000,4175600000,3908000000,9247100000,12357800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,8226000,8226000,8226000,12623000,25174000,25101000,24373000,26080000,25856000,24593000,24968000,25274000,25325000,24547000,23278000,22932000,22401000,21769000,21200000,63100000,62300000,60400000,57000000,55500000,51900000,49900000,49500000,50200000
64,Retained Earnings,21500000,50600000,103700000,159000000,226100000,297900000,378200000,477900000,630400000,855513000,1091204000,1370513000,1757536000,2194835000,2566048000,2932166000,3342979000,3702636000,4129644000,4751504000,5206485000,6333843000,7049417000,7044732000,7505890000,7530877000,8462500000,9118100000,10003900000,11639500000,12094800000,12226200000,12849300000,10217900000,10288200000,10472600000,11550800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44100000,-57600000,-71400000,- -,- -,- -,- -,- -,- -,47847000,75175000,99723000,139977000,258311000,6354000,103351000,173716000,40462000,62000000,6100000,-117700000,-314200000,-347400000,-284800000,-370600000,-431600000,-407600000,-377600000
66,Other Total Stockholders Equity,900000,1600000,900000,- -,- -,- -,- -,- -,90000000,111176000,119213000,93252000,84062000,60758000,65845000,8954000,608837000,538454000,108024000,255137000,352902000,185583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,22400000,52200000,104600000,150500000,216500000,288800000,363000000,467200000,720400000,930815000,1161043000,1400591000,1854221000,2280767000,2656994000,2965493000,3977896000,4266946000,4310108000,5106784000,5684384000,6684728000,7332275000,7074364000,7632173000,7726994000,8524731000,9201300000,10073100000,11584100000,11841000000,11935800000,12620000000,9899200000,9906500000,10114500000,11223400000
68,Total Liabilities And Stockholders Equity,32500000,88200000,137900000,177200000,394000000,478500000,578600000,834300000,1581500000,1737985000,2244681000,2374167000,3095200000,3480049000,3666790000,4042443000,6265650000,6422738000,6970749000,8152046000,8817820000,9404063000,9901846000,9099358000,9401075000,10685103000,13178104000,14165600000,14777900000,15728800000,15680900000,15506400000,17218200000,14074800000,13814500000,19361600000,23581200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76089000,76107000,95796000,41404000,77162000,67388000,22985000,597739000,585900000,612400000,628300000,654800000,592400000,315800000,308700000,717700000,859300000,587200000
70,Total Liabilities & Equity,32500000,88200000,137900000,177200000,394000000,478500000,578600000,834300000,1581500000,1737985000,2244681000,2374167000,3095200000,3480049000,3666790000,4042443000,6265650000,6422738000,6970749000,8228135000,8893927000,9499859000,9943250000,9176520000,9468463000,10708088000,13775843000,14751500000,15390300000,16357100000,16335700000,16098800000,17534000000,14383500000,14532200000,20220900000,24168400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38777/000003877794000129/0000038777-94-000129-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877795000111/0000038777-95-000111-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877796000161/0000038777-96-000161-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877797000384/0000038777-97-000384-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877798000595/0000038777-98-000595-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877799000471/0000038777-99-000471-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877700000380/0000038777-00-000380-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877701500097/0000038777-01-500097-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877702000444/0000038777-02-000444-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38777/000119312506257302/d10k.htm,https://www.sec.gov/Archives/edgar/data/38777/000119312507255169/0001193125-07-255169-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312508243375/0001193125-08-243375-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312509241304/0001193125-09-241304-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312510261858/0001193125-10-261858-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877711000225/0000038777-11-000225-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877712000243/0000038777-12-000243-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877713000227/0000038777-13-000227-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877714000259/0000038777-14-000259-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877715000278/0000038777-15-000278-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877716000609/0000038777-16-000609-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877717000268/0000038777-17-000268-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877718000233/0000038777-18-000233-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877719000186/0000038777-19-000186-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/0000038777-20-000203-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877721000205/0000038777-21-000205-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,89400000,98200000,124100000,175500000,251308000,268945000,314730000,434063000,500450000,426711000,562089000,484721000,432723000,502830000,706664000,1057631000,1267568000,1772938000,1588213000,896778000,1445689000,1923580000,1931400000,2150200000,2384300000,2035300000,1726700000,1696700000,764400000,1195700000,798900000,1831200000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-4400000,-4700000,4300000,-24300000,36693000,40940000,40491000,123908000,191374000,200014000,199639000,223846000,183121000,177420000,183437000,212173000,215271000,198619000,215222000,181272000,267445000,243574000,212000000,93500000,94600000,97400000,87100000,80300000,76400000,93400000,128500000,310600000
