,https://roic.ai/company/CNXN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,-100000,300000,200000,432000,258000,5334000,208000,189000,359000,355000,318000,385000,482000,405000,652000,714000,720000,724000,1052000,1373000,5638000,1211000,947000,1345000,910000
45,Total Non-Current Assets,8400000,23000000,32700000,38606000,36537000,68779000,69261000,72563000,80306000,81127000,81307000,75148000,62241000,63751000,79703000,81851000,82450000,81814000,86223000,126963000,131756000,136176000,160924000,156393000,150970000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,105400000,164500000,223500000,250413000,243645000,268682000,309286000,286542000,337705000,346684000,380879000,378167000,401095000,420941000,468019000,468323000,500944000,539960000,639074000,686134000,747851000,805355000,937335000,1015373000,1084158000
48,Accounts Payable,38200000,77600000,105500000,86216000,75399000,85493000,112538000,79709000,114413000,110977000,111140000,101783000,125120000,114632000,130900000,126110000,124821000,124893000,166516000,177862000,194257000,201640000,235641000,266846000,281836000
49,Short-Term Debt,29600000,100000,1100000,1153000,1171000,200000,5948000,5574000,20803000,859000,527000,699000,780000,870000,6238000,989000,- -,- -,- -,- -,- -,- -,4316000,3928000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7632000,9374000,8400000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8880000,13871000,28438000,- -
52,Other Current Liabilities,10300000,10100000,12000000,12769000,10096000,22921000,24656000,25059000,21290000,26756000,31373000,26330000,29284000,36615000,43866000,36386000,37297000,39804000,55487000,52392000,53758000,49279000,55095000,43048000,93571000
53,Total Current Liabilities,78100000,87800000,118600000,100138000,86666000,108614000,143142000,110342000,156506000,138592000,143040000,128812000,155184000,152117000,181004000,163485000,162118000,164697000,222003000,230254000,248015000,259799000,308923000,342260000,375407000
54,Long-Term Debt,3300000,7100000,8900000,7792000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6789000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1600000,3555000,3523000,3503000,2867000,3486000,4105000,6352000,5436000,6183000,3849000,5822000,9026000,10514000,16224000,18803000,21615000,19602000,15696000,17184000,20170000,18525000,19278000
57,Other Non-Current Liabilities,-100000,-100000,200000,241000,6694000,6421000,6088000,6556000,5695000,4836000,8093000,7848000,6796000,5363000,4460000,3021000,2773000,2452000,3005000,2836000,1888000,2469000,10930000,18261000,211000
58,Total Non-Current Liabilities,3200000,7000000,10700000,11588000,10217000,9924000,8955000,10042000,9800000,11188000,13529000,14031000,10645000,11185000,13486000,13535000,18997000,21255000,24620000,22438000,17584000,19653000,31100000,36786000,26278000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,6421000,6088000,6556000,5695000,4836000,4309000,3610000,3610000,2830000,1960000,989000,- -,- -,- -,- -,- -,- -,14646000,13559000,6789000
61,Total Liabilities,81300000,94800000,129300000,111726000,96883000,118538000,152097000,120384000,166306000,149780000,156569000,142843000,165829000,163302000,194490000,177020000,181115000,185952000,246623000,252692000,265599000,279452000,340023000,379046000,401685000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,244000,247000,250000,253000,255000,256000,269000,273000,273000,274000,275000,276000,278000,281000,282000,284000,285000,287000,288000,288000,289000,290000
64,Retained Earnings,19900000,12700000,35400000,66901000,73659000,76906000,82794000,91098000,95545000,109321000,131970000,142336000,141114000,164075000,182274000,205271000,230478000,262632000,298868000,337938000,383673000,441010000,514694000,562084000,605766000
65,Other Comprehensive Income/Loss,-17500000,-20300000,-23300000,-27902000,-34634000,-42484000,-48057000,-51403000,-55707000,-58134000,-57527000,-59104000,-64461000,-63311000,-67916000,-65553000,-71104000,-69357000,-66028000,-68122000,-57792000,-67978000,-75602000,-83219000,- -
66,Other Total Stockholders Equity,21700000,77300000,81900000,99444000,107490000,115472000,122199000,126208000,131305000,145448000,149594000,151819000,158339000,156600000,158895000,151307000,160174000,160451000,159327000,163341000,156084000,152583000,157932000,157173000,- -
67,Total Stockholders Equity,24100000,69700000,94200000,138687000,146762000,150144000,157189000,166158000,171399000,196904000,224310000,235324000,235266000,257639000,273529000,291303000,319829000,354008000,392451000,433442000,482252000,525903000,597312000,636327000,682473000
68,Total Liabilities And Stockholders Equity,105400000,164500000,223500000,250413000,243645000,268682000,309286000,286542000,337705000,346684000,380879000,378167000,401095000,420941000,468019000,468323000,500944000,539960000,639074000,686134000,747851000,805355000,937335000,1015373000,1084158000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,105400000,164500000,223500000,250413000,243645000,268682000,309286000,286542000,337705000,346684000,380879000,378167000,401095000,420941000,468019000,468323000,500944000,539960000,639074000,686134000,747851000,805355000,937335000,1015373000,1084158000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050377/000092701699001264/0000927016-99-001264-index.html,https://www.sec.gov/Archives/edgar/data/1050377/000102140800001361/0001021408-00-001361-index.html,https://www.sec.gov/Archives/edgar/data/1050377/000092701601001583/0000927016-01-001583-index.html,https://www.sec.gov/Archives/edgar/data/1050377/000092701602001788/0000927016-02-001788-index.html,https://www.sec.gov/Archives/edgar/data/1050377/000092701603001539/0000927016-03-001539-index.html,https://www.sec.gov/Archives/edgar/data/1050377/000119312504053463/0001193125-04-053463-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312505067087/0001193125-05-067087-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312506068834/0001193125-06-068834-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312507067244/0001193125-07-067244-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312508057567/0001193125-08-057567-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312509055199/0001193125-09-055199-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312510057207/0001193125-10-057207-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312511063441/0001193125-11-063441-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312512084856/0001193125-12-084856-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312513089191/0001193125-13-089191-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312514090858/0001193125-14-090858-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000119312515080522/0001193125-15-080522-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837016003815/0001558370-16-003815-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837017001339/0001558370-17-001339-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837018001807/0001558370-18-001807-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837019000459/0001558370-19-000459-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837020000576/0001558370-20-000576-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837021003067/0001558370-21-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1050377/000155837022003574/0001558370-22-003574-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5200000,18600000,22700000,31463000,7379000,3247000,5888000,8304000,4447000,13776000,22995000,10366000,-1222000,22961000,28787000,33071000,35682000,42681000,46827000,48111000,54857000,64592000,82111000,55765000,69906000
74,Depreciation and Amortization,3700000,2900000,5300000,6566000,7815000,8145000,8363000,7127000,7197000,7049000,6781000,6965000,6796000,5430000,5951000,6895000,7089000,8092000,8961000,10453000,11839000,14063000,13314000,13603000,12202000
75,Deferred Income Tax,-200000,-1900000,2500000,1540000,-375000,1475000,-888000,632000,-111000,2179000,670000,-639000,-1476000,1546000,2581000,887000,4578000,1212000,2652000,3506000,-3906000,1488000,2986000,-1645000,753000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1314000,1531000,936000,1494000,958000,929000,994000,1049000,741000,1080000,1863000,2668000,4231000
77,Change in Working Capital,-23400000,34800000,18500000,39469000,8773000,-29153000,5594000,6754000,-2744000,26072000,29567000,17675000,9463000,21403000,2239000,15675000,33389000,37073000,37399000,-1931000,39163000,41300000,58108000,49232000,-32609000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34564000,-22288000,-56682000,26317000,-16819000,-11359000,-64215000,-33835000,-39457000,14872000,-101953000,-63650000,-2093000
79,Inventory,-19300000,300000,-300000,9669000,11508000,5295000,-27661000,1750000,3016000,5967000,-6683000,15277000,-6578000,-6902000,-2850000,7800000,-9504000,-11776000,-11863000,12401000,-16218000,-23311000,-5471000,-16201000,-65688000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23471000,-10329000,14497000,-4613000,-1371000,202000,41324000,-3012000,15807000,5722000,34960000,32515000,14814000
81,Other Working Capital,18900000,53700000,72200000,111669000,120442000,91289000,96883000,103637000,100893000,126965000,156532000,174207000,183670000,205073000,207312000,222987000,256376000,293449000,330848000,328917000,368080000,409380000,467488000,516720000,- -
82,Other Non-Cash Items,4300000,-25000000,-33000000,-83046000,10581000,21274000,-15656000,-9499000,840000,-22714000,-59580000,10788000,-9165000,-53733000,-45786000,11637000,-62040000,-54589000,-65971000,-27602000,-83374000,-35684000,-121779000,-83525000,3271000
83,Cash Provided by Operating Activities,-10400000,29400000,16000000,-4008000,34173000,4988000,3301000,13318000,9629000,26362000,433000,45155000,5710000,-862000,-5292000,69659000,19656000,35398000,30862000,33586000,19320000,86839000,36603000,36098000,57754000
84,CAPEX,-4500000,-9900000,-10900000,-12581000,-6122000,-5075000,-2517000,-2804000,-6572000,-7981000,-7066000,-10370000,-5569000,-7187000,-16050000,-9250000,-7607000,-7609000,-12787000,-11885000,-11803000,-21238000,-25656000,-11033000,-10302000
85,Acquisitions Net,- -,- -,- -,-2158000,- -,-22585000,-10829000,-11095000,-7779000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42990000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,2200000,2074000,269000,-9983000,5002000,5003000,-7383000,21000,- -,44000,2000,-791000,-5191000,10000,2000,13000,-450000,- -,- -,- -,- -,- -,1569000
89,Cash Used for Investing Activites,-4500000,-9900000,-8700000,-12665000,-5853000,-37643000,-8344000,-8896000,-21734000,-7960000,-7066000,-10326000,-5567000,-7178000,-16046000,-9240000,-7605000,-7596000,-12787000,-54875000,-11803000,-21238000,-25656000,-11033000,-8733000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22401000,-10265000,-54976000,-13442000,-989000,- -,- -,- -,- -,-859000,- -,- -,- -
91,Common Stock Issued,- -,57500000,1300000,4757000,2612000,767000,808000,568000,678000,9973000,3204000,460000,275000,294000,380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1537000,-749000,- -,- -,- -,- -,- -,-1537000,-425000,-3067000,-4029000,-7813000,- -,- -,- -,- -,- -,-15375000,-4478000,-10222000,- -
93,Dividends Paid,- -,-33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10588000,-10074000,-10475000,-10527000,- -,-10591000,-9041000,-9122000,-8452000,-8427000,-34599000
94,Other Financing Activites,15500000,-32900000,-100000,-1137000,-1153000,-1171000,5415000,-1138000,14368000,-20563000,-412000,-490000,21702000,10155000,59792000,6202000,2053000,1087000,1204000,872000,2334000,1468000,340000,-821000,-1767000
95,Cash Used/Provided by Financing Activities,15500000,-8400000,1200000,3620000,-78000,-1153000,6223000,-570000,15046000,-10590000,2792000,-1567000,-849000,-2883000,-9421000,-25127000,-9411000,-9440000,1204000,-9719000,-6707000,-23888000,-12590000,-19470000,-36366000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,15500000,-8400000,8500000,-13053000,28242000,-33808000,1180000,3852000,2941000,7812000,-3841000,33262000,-706000,-10923000,-30759000,35292000,2640000,18362000,19279000,-31008000,810000,41713000,-1643000,5595000,12655000
98,Cash at the End of Period,- -,- -,20400000,7363000,35605000,1797000,2977000,6829000,9770000,17582000,13741000,47003000,46297000,35374000,4615000,39907000,42547000,60909000,80188000,49180000,49990000,91703000,90060000,95655000,108310000
99,Cash at the Beginning of Period,200000,800000,11900000,20416000,7363000,35605000,1797000,2977000,6829000,9770000,17582000,13741000,47003000,46297000,35374000,4615000,39907000,42547000,60909000,80188000,49180000,49990000,91703000,90060000,95655000
100,Free Cash Flow,-14900000,19500000,5100000,-16589000,28051000,-87000,784000,10514000,3057000,18381000,-6633000,34785000,141000,-8049000,-21342000,60409000,12049000,27789000,18075000,21701000,7517000,65601000,10947000,25065000,47452000
