,https://roic.ai/company/UEPEP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1048000000,1055000000,683000000,1888000000,178000000,1698000000,2461000000,2249000000,2093000000,2674000000,2940000000,2687000000,2505000000,833000000,1217000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3208000000,3673000000,4018000000,6853000000,- -,6626000000,5504000000,6120000000,6880000000,6595000000,7094000000,7859000000,8915000000,5096000000,5564000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000000,1452000000,1739000000,2886000000,- -,2792000000,3166000000,3923000000,3885000000,4264000000,2506000000,2623000000,2919000000,1742000000,1852000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1804000000,615000000,- -,668000000,622000000,514000000,531000000,477000000,460000000,408000000,467000000,3902000000,4178000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4566000000,5125000000,7561000000,10354000000,- -,10086000000,9292000000,10557000000,11296000000,11336000000,10060000000,10890000000,12301000000,10740000000,11594000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10820000000,12032000000,- -,24251000000,- -,23607000000,21329000000,24271000000,25897000000,26258000000,25881000000,27787000000,30670000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7302000000,7962000000,8244000000,15785000000,- -,15219000000,14498000000,15963000000,16694000000,17596000000,18761000000,19584000000,20874000000,11573000000,12811000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511000000,511000000,511000000,2000000,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,511000000,511000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1855000000,1794000000,1878000000,2225000000,- -,1006000000,907000000,1103000000,1331000000,1568000000,1660000000,2024000000,2380000000,2101000000,2595000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,25000000,- -,-17000000,- -,-8000000,3000000,-9000000,-3000000,-23000000,-18000000,-22000000,-17000000,-9689000000,13000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1232000000,1232000000,1668000000,1943000000,- -,3054000000,3081000000,2876000000,2672000000,2463000000,2357000000,2145000000,1904000000,12207000000,2712000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3601000000,3562000000,4057000000,4153000000,4037000000,4054000000,3993000000,4052000000,4082000000,4090000000,4081000000,4229000000,4349000000,5210000000,5911000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10903000000,11524000000,12301000000,19938000000,- -,19273000000,18491000000,20015000000,20776000000,21686000000,22842000000,23813000000,25223000000,16783000000,18722000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3577000000,- -,2562000000,2551000000,2661000000,2864000000,3013000000,3103000000,3402000000,3710000000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10903000000,11524000000,12301000000,23515000000,- -,21835000000,21042000000,22676000000,23640000000,24699000000,25945000000,27215000000,28933000000,16783000000,18722000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100826/000119312512085489/0001193125-12-085489-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000144530513000414/0001445305-13-000414-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291014000054/0001002910-14-000054-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291015000075/0001002910-15-000075-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291016000205/0001002910-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291017000054/0001002910-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291018000069/0001002910-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291019000094/0001002910-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291020000077/0001002910-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291021000065/0001002910-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291022000038/0001002910-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,320800000,314100000,304900000,301700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,342000000,251000000,265000000,139000000,- -,-974000000,289000000,586000000,630000000,653000000,523000000,478000000,426000000,439000000,521000000
74,Depreciation and Amortization,-261000000,-258800000,-269500000,-275900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,370000000,366000000,410000000,382000000,438000000,490000000,490000000,523000000,573000000,594000000,590000000,628000000,643000000,681000000,762000000
75,Deferred Income Tax,-18400000,-5600000,4900000,-23800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,89000000,276000000,228000000,155000000,287000000,65000000,245000000,82000000,179000000,82000000,-9000000,-19000000,17000000,3000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,-187000000,617000000,461000000,-1006000000,671000000,-1160000000,286000000,27000000,-905000000,-247000000,174000000,80000000,1433000000,-356000000
78,Accounts Receivable,23000000,-41400000,-11000000,14300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-10600000,11900000,-18900000,11200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000000,-32000000,-2000000,7000000,-7000000,-48000000,45000000,8000000,-39000000,-4000000,18000000,30000000,-13000000,-11000000,-32000000
80,Accounts Payable,-94200000,109000000,4700000,-22300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,-89000000,16000000,-17000000,13000000,-27000000,42000000,25000000,3000000,- -,27000000,-21000000,16000000,26000000,28000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,-72000000,545000000,1006000000,- -,671000000,-489000000,-203000000,-176000000,-1081000000,-1328000000,-1154000000,-1074000000,359000000,-209000000
82,Other Non-Cash Items,502700000,589800000,564400000,600100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-240000000,26000000,-596000000,-232000000,1469000000,530000000,1459000000,-690000000,-65000000,648000000,68000000,-11000000,-83000000,-1659000000,-1000000
83,Cash Provided by Operating Activities,544100000,639500000,604700000,602100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,588000000,545000000,972000000,978000000,1056000000,1004000000,1143000000,950000000,1247000000,1169000000,1016000000,1260000000,1067000000,911000000,929000000
84,CAPEX,-344500000,-353700000,-376200000,-294800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-693000000,-1047000000,-952000000,-698000000,-612000000,-686000000,-693000000,-821000000,-674000000,-793000000,-836000000,-966000000,-1107000000,-1732000000,-2059000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142000000,-520000000,-383000000,-271000000,-220000000,-403000000,-214000000,-405000000,-363000000,-392000000,-413000000,-315000000,-256000000,-224000000,-452000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,497000000,380000000,256000000,199000000,384000000,196000000,391000000,349000000,377000000,396000000,299000000,260000000,183000000,439000000
88,Other Investing Activites,11300000,12900000,13400000,11100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-686000000,-1010000000,-952000000,-601000000,-544000000,-593000000,-624000000,-749000000,-658000000,-864000000,-605000000,-908000000,-1068000000,-1233000000,-1909000000
89,Cash Used for Investing Activites,-333200000,-340800000,-362800000,-283700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000000,-1033000000,-955000000,-706000000,-627000000,-703000000,-687000000,-837000000,-724000000,-934000000,-685000000,-976000000,-1095000000,-1904000000,-1922000000
90,Debt Repayment,-116700000,-108400000,-78100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000000,-382000000,-347000000,-70000000,-5000000,-427000000,-249000000,-109000000,-120000000,-266000000,-431000000,-384000000,-787000000,-92000000,-8000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-5000000,-14000000,-33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-257800000,-264000000,-269300000,-268200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-273000000,-270000000,-181000000,-240000000,-406000000,-403000000,-463000000,-343000000,-578000000,-358000000,-365000000,-378000000,-433000000,-69000000,-27000000
94,Other Financing Activites,163900000,73200000,109400000,-51900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,728000000,960000000,792000000,6000000,-19000000,476000000,109000000,339000000,373000000,190000000,465000000,479000000,1211000000,1260000000,891000000
95,Cash Used/Provided by Financing Activities,-210600000,-299200000,-238000000,-320100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,296000000,303000000,250000000,-337000000,-430000000,-354000000,-603000000,-113000000,-325000000,-434000000,-331000000,-283000000,59000000,1099000000,856000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-210600000,-299200000,-238000000,-320100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,303000000,250000000,-65000000,-1000000,-53000000,-147000000,- -,198000000,-434000000,-331000000,1000000,31000000,106000000,-137000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000000,- -,267000000,202000000,201000000,148000000,1000000,1000000,199000000,- -,- -,8000000,39000000,145000000,8000000
99,Cash at the Beginning of Period,1300000,1500000,1000000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,185000000,- -,267000000,202000000,201000000,148000000,1000000,1000000,199000000,- -,7000000,8000000,39000000,145000000
100,Free Cash Flow,199600000,285800000,228500000,307300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105000000,-502000000,20000000,280000000,444000000,318000000,450000000,129000000,573000000,376000000,180000000,294000000,-40000000,-821000000,-1130000000
101,SEC Link,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100826/000119312512085489/0001193125-12-085489-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000144530513000414/0001445305-13-000414-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291014000054/0001002910-14-000054-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291015000075/0001002910-15-000075-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291016000205/0001002910-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291017000054/0001002910-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291018000069/0001002910-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291019000094/0001002910-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291020000077/0001002910-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291021000065/0001002910-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100826/000100291022000038/0001002910-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
